代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11206144.979999998584390
真實報酬,1206144.979999998584390

夏普值報酬,0.111914498000000
夏普值風險,0.034105279444649
夏普值,3.281442047165517

二次趨勢線,247.476537610779758 x^2 + 2532.957562060840701 x + 10000000.000000000000000
二次平均預期報酬,18618.932506761524564
風險,50129.216296202786907
二次平均趨勢值,0.371418782945782
一次趨勢線,14503.915660442738954 x + 10000000.000000000000000
一次預期報酬,14503.915660442738954
一次風險,125935.693803331087111
一次趨勢值,0.115169220277556
找到最佳解世代,3186
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,6
BA[2](2),JNJ[12](6),JPM[13](10),MCD[15](1),NKE[19](8),V[25](7),
FS( 26 ),1706503.320000000065193,1767870.880000000121072,1588179.699999999720603,1785680.559999999823049,1590592.919999999692664,1749392.860000000102445,10188224.239999998360872
FS( 27 ),1718838.270000000018626,1766789.919999999925494,1606365.549999999813735,1794063.530000000027940,1613323.919999999692664,1754871.459999999962747,10254256.649999998509884
FS( 28 ),1735558.980000000214204,1764087.520000000018626,1626274.270000000018626,1788041.959999999962747,1612414.679999999934807,1754871.459999999962747,10281252.870000001043081
FS( 29 ),1736472.680000000167638,1777329.280000000027940,1664751.699999999720603,1788632.309999999823049,1620294.759999999776483,1726930.599999999860302,10314415.330000000074506
FS( 30 ),1736198.570000000065193,1781247.759999999776483,1665134.560000000055879,1753093.239999999990687,1637570.319999999832362,1707572.879999999888241,10280821.330000001937151
FS( 31 ),1746157.900000000139698,1783950.160000000149012,1670686.029999999795109,1769032.689999999944121,1646056.559999999823049,1736426.839999999850988,10352314.179999999701977
FS( 32 ),1757944.630000000121072,1794084.160000000149012,1667240.290000000037253,1779186.709999999962747,1656664.359999999636784,1740809.719999999739230,10395933.870000001043081
FS( 33 ),1785995.219999999972060,1797732.399999999906868,1657285.929999999701977,1784972.139999999897555,1603322.279999999795109,1719808.419999999925494,10349120.389999998733401
FS( 34 ),1795040.850000000093132,1815433.119999999878928,1649820.160000000149012,1794653.880000000121072,1548767.879999999888241,1719808.419999999925494,10323528.310000000521541
FS( 35 ),1819162.530000000260770,1811649.759999999776483,1686000.429999999701977,1808231.929999999701977,1576651.239999999990687,1731130.860000000102445,10432830.749999998137355
FS( 36 ),1812309.780000000260770,1813676.559999999823049,1675471.779999999795109,1819212.439999999944121,1562709.559999999823049,1723643.439999999711290,10407027.559999998658895
FS( 37 ),1819984.859999999869615,1822999.839999999850988,1667814.580000000074506,1815198.059999999823049,1593926.800000000046566,1726565.360000000102445,10446493.499999998137355
FS( 38 ),1822451.850000000093132,1838403.520000000018626,1665900.279999999795109,1827831.550000000046566,1588168.279999999795109,1715790.780000000027940,10458550.259999999776483
FS( 39 ),1847944.080000000074506,1843538.080000000074506,1662837.399999999906868,1825942.429999999701977,1601806.879999999888241,1745557.839999999850988,10527630.710000000894070
FS( 40 ),1827385.830000000074506,1842322.000000000000000,1670111.739999999757856,1817913.670000000158325,1614839.319999999832362,1738983.519999999785796,10511560.080000000074506
FS( 41 ),1817426.500000000000000,1824351.039999999804422,1685617.569999999832362,1815079.989999999990687,1604837.679999999934807,1733139.679999999934807,10480456.459999999031425
FS( 42 ),1824096.510000000009313,1808271.759999999776483,1719500.679999999701977,1821928.050000000046566,1617263.959999999729916,1757428.139999999897555,10548493.099999999627471
FS( 43 ),1804360.590000000083819,1792327.599999999627471,1744960.870000000111759,1808113.859999999869615,1611505.439999999944121,1724373.919999999925494,10485646.279999999329448
FS( 44 ),1807010.320000000065193,1787598.399999999906868,1749746.620000000111759,1808468.069999999832362,1788201.079999999841675,1712686.239999999990687,10653714.730000000447035
FS( 45 ),1814685.400000000139698,1795840.719999999972060,1775589.669999999925494,1800675.449999999953434,1777593.279999999795109,1704833.579999999841675,10669222.099999999627471
FS( 46 ),1844106.540000000037253,1805839.599999999627471,1793392.660000000149012,1807405.439999999944121,1744557.559999999823049,1716886.500000000000000,10712192.300000000745058
FS( 47 ),1841091.330000000074506,1790706.160000000149012,1787649.759999999776483,1807641.580000000074506,1732434.359999999636784,1703007.379999999888241,10662534.570000000298023
FS( 48 ),1849223.260000000009313,1790976.399999999906868,1796646.969999999739230,1845187.840000000083819,1757286.919999999692664,1715242.919999999925494,10754568.309999998658895
FS( 49 ),1863751.090000000083819,1777599.520000000018626,1784012.589999999850988,1836332.590000000083819,1780017.919999999692664,1736609.459999999962747,10778327.169999998062849
FS( 50 ),1884857.560000000055879,1773275.679999999701977,1777121.109999999869615,1829130.319999999832362,1763348.519999999785796,1742453.299999999813735,10770190.489999998360872
FS( 51 ),1886410.850000000093132,1786787.679999999701977,1770995.350000000093132,1848848.010000000009313,1764560.839999999850988,1756515.040000000037253,10814121.769999999552965
FS( 52 ),1884492.080000000074506,1781788.240000000223517,1782289.719999999739230,1830665.229999999748543,1756074.599999999860302,1752132.159999999916181,10787446.029999999329448
FS( 53 ),1905324.439999999944121,1791787.119999999878928,1766018.169999999925494,1833498.909999999916181,1757893.079999999841675,1770211.540000000037253,10824737.259999997913837
FS( 54 ),1909801.570000000065193,1785706.719999999972060,1749555.189999999944121,1833262.769999999785796,1751528.399999999906868,1768385.339999999850988,10798243.990000000223517
FS( 55 ),1902857.450000000186265,1816919.439999999944121,1743429.429999999701977,1817913.670000000158325,1747285.279999999795109,1782081.839999999850988,10810491.109999999403954
FS( 56 ),1926979.130000000121072,1827053.439999999944121,1745918.020000000018626,1817087.179999999701977,1750922.239999999990687,1794317.379999999888241,10862281.390000000596046
FS( 57 ),1921496.930000000167638,1845429.759999999776483,1745918.020000000018626,1820865.420000000158325,1791231.879999999888241,1791760.699999999953434,10916706.709999999031425
FS( 58 ),1938491.750000000000000,1828404.639999999897555,1739983.689999999944121,1817441.389999999897555,1816993.679999999934807,1818971.079999999841675,10960290.230000000447035
FS( 59 ),1938857.230000000214204,1797327.039999999804422,1747449.459999999962747,1793000.899999999906868,1786685.679999999934807,1833032.820000000065193,10896357.130000000819564
FS( 60 ),1941415.590000000083819,1782058.479999999748543,1776546.819999999832362,1878247.439999999944121,1800021.199999999953434,1826093.259999999776483,11004386.789999999105930
FS( 61 ),2133201.219999999739230,1769492.319999999832362,1759892.410000000149012,1848021.519999999785796,1768803.959999999729916,1841798.579999999841675,11121214.009999997913837
FS( 62 ),2202185.570000000298023,1767870.880000000121072,1752618.069999999832362,1853216.599999999860302,1762439.279999999795109,1818423.219999999739230,11156757.619999997317791
FS( 63 ),2204652.560000000521541,1781653.119999999878928,1747449.459999999962747,1840228.899999999906868,1778199.439999999944121,1810753.179999999934807,11162940.660000000149012
FS( 64 ),2215525.589999999850988,1793408.559999999823049,1757403.819999999832362,1831845.929999999701977,1789716.479999999748543,1818240.599999999860302,11206144.979999998584390
