代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11867153.740000000223517
真實報酬,1867153.740000000223517

夏普值報酬,0.178015374000000
夏普值風險,0.050045487582168
夏普值,3.557071428422477

二次趨勢線,130.242595836998049 x^2 + 21915.874612203733705 x + 10000000.000000000000000
二次平均預期報酬,30251.400745771603397
風險,112714.892705736114294
二次平均趨勢值,0.268388675352322
一次趨勢線,28118.293664346645528 x + 10000000.000000000000000
一次預期報酬,28118.293664346645528
一次風險,127191.849142603663495
一次趨勢值,0.221069933756693
找到最佳解世代,4218
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
CAT[3](3),IBM[10](9),WBA[27](2),XOM[29](1),
FS( 54 ),3034867.520000000484288,2627857.190000000409782,3081494.320000000298023,2939130.159999999683350,11683349.190000001341105
FS( 55 ),3013106.990000000223517,2715769.910000000149012,3030833.830000000074506,2921579.889999999664724,11681290.620000001043081
FS( 56 ),2952240.580000000074506,2717688.640000000596046,3055062.760000000242144,2903282.799999999813735,11628274.780000001192093
FS( 57 ),2925118.760000000242144,2712455.740000000223517,3060936.439999999944121,2949212.229999999981374,11647723.169999999925494
FS( 58 ),2982516.100000000093132,2784495.330000000074506,3046252.240000000223517,2934649.239999999757856,11747912.910000000149012
FS( 59 ),2976839.440000000409782,2816067.160000000149012,3027896.990000000223517,2938009.930000000167638,11758813.519999999552965
FS( 60 ),3019729.760000000242144,2809089.959999999962747,3031568.040000000037253,2974604.109999999869615,11834991.870000001043081
FS( 61 ),3047482.320000000298023,2809613.250000000000000,3015415.420000000391155,2982819.129999999422580,11855330.119999999180436
FS( 62 ),3017522.170000000391155,2777169.270000000484288,2963286.510000000242144,2949585.639999999664724,11707563.589999999850988
FS( 63 ),3059466.380000000353903,2825835.240000000223517,2969160.189999999944121,3012691.930000000167638,11867153.740000000223517
