代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12530189.710000000894070
真實報酬,2530189.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21003.355702137585467
風險,104420.545802107066265
起點值,0.201141983512921
找到最佳解世代,4611
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
MCD[15](6),TRV[22](1),V[25](2),
FS( 58 ),3549536.439999999944121,3833456.999999999534339,3894556.260000000242144,11277550.699999999254942
FS( 59 ),3550104.399999999906868,3872365.000000000000000,3867473.100000000093132,11289943.500000000000000
FS( 60 ),3585696.559999999590218,3887985.000000000000000,3878757.750000000000000,11352440.309999998658895
FS( 61 ),3595351.880000000353903,3895369.000000000000000,3916874.790000000037253,11407596.670000001788139
FS( 62 ),3566764.559999999590218,3919793.000000000465661,3943707.179999999701977,11430265.740000000223517
FS( 63 ),3566007.279999999795109,3885429.000000000000000,3956747.220000000204891,11408184.500000000000000
FS( 64 ),3566007.279999999795109,3879465.000000000000000,3973799.580000000540167,11419272.859999999403954
FS( 65 ),3594783.920000000391155,3877193.000000000465661,3953236.439999999944121,11425214.360000001266599
FS( 66 ),3610686.800000000279397,3873785.000000000000000,3953487.210000000428408,11437960.010000001639128
FS( 67 ),3594405.279999999795109,3859017.000000000000000,3955994.910000000149012,11409418.189999999478459
FS( 68 ),3598759.640000000130385,3839421.000000000000000,3949474.890000000596046,11387656.530000001192093
FS( 69 ),3582478.120000000111759,3847089.000000000000000,3976307.280000000260770,11405875.400000000372529
FS( 70 ),3576041.239999999757856,3870377.000000000000000,3958753.380000000353903,11405172.620000001043081
FS( 71 ),3627536.279999999795109,3911273.000000000000000,4003390.439999999944121,11542200.719999998807907
FS( 72 ),3632269.279999999795109,3884861.000000000000000,4023452.040000000037253,11540583.320000000298023
FS( 73 ),3629429.479999999981374,3928881.000000000000000,4018185.870000000111759,11576497.350000001490116
FS( 74 ),3627725.600000000558794,3858733.000000000000000,4023452.040000000037253,11509911.640000000596046
FS( 75 ),3690201.200000000186265,3945637.000000000000000,4016430.479999999981374,11652269.679999999701977
FS( 76 ),3671458.520000000018626,3879749.000000000465661,4022448.960000000428408,11573657.480000000447035
FS( 77 ),3696827.399999999906868,3919508.999999999534339,4054045.979999999981374,11670383.379999998956919
FS( 78 ),3741696.239999999757856,3952737.000000000000000,4049782.890000000596046,11744217.130000000819564
FS( 79 ),3747375.840000000316650,3953021.000000000000000,4037996.700000000186265,11738394.539999999105930
FS( 80 ),3737720.520000000018626,3982841.000000000465661,4085893.770000000484288,11806456.290000000968575
FS( 81 ),3732040.920000000391155,4017489.000000000000000,4116487.710000000428408,11866018.630000000819564
FS( 82 ),3740560.319999999832362,4082525.000000000000000,4123509.270000000484288,11946595.589999999850988
FS( 83 ),3676191.520000000018626,4063497.000000000465661,4082382.989999999757856,11822072.509999999776483
FS( 84 ),3684521.600000000558794,4052704.999999999534339,4040504.400000000372529,11777732.000000000000000
FS( 85 ),3739613.720000000204891,4071165.000000000000000,4063575.239999999757856,11874354.960000000894070
FS( 86 ),3765739.880000000353903,4073437.000000000000000,4069593.720000000204891,11908771.600000001490116
FS( 87 ),3749458.359999999869615,4024589.000000000000000,4017684.330000000540167,11791732.689999999478459
FS( 88 ),3749269.040000000037253,4019477.000000000000000,4031476.679999999701977,11800223.719999998807907
FS( 89 ),3743589.439999999944121,4027997.000000000465661,4007653.530000000260770,11779240.970000000670552
FS( 90 ),3786375.760000000242144,4088489.000000000000000,4030222.830000000540167,11905088.589999999850988
FS( 91 ),3768201.040000000037253,4072869.000000000000000,3945462.570000000298023,11786533.609999999403954
FS( 92 ),3748890.399999999906868,4138189.000000000000000,4017684.330000000540167,11904764.730000000447035
FS( 93 ),3768958.319999999832362,4161193.000000000465661,4082382.989999999757856,12012535.310000000521541
FS( 94 ),3786375.760000000242144,4186469.000000000000000,4134543.150000000372529,12107388.910000000149012
FS( 95 ),3771798.120000000111759,4188741.000000000465661,4114983.090000000316650,12075523.210000000894070
FS( 96 ),3767443.760000000242144,4208053.000000000000000,4099435.350000000093132,12074933.109999999403954
FS( 97 ),3783535.959999999962747,4188173.000000000000000,4109215.380000000353903,12080925.339999999850988
FS( 98 ),3785807.800000000279397,4202089.000000000000000,4118744.640000000596046,12106642.440000001341105
FS( 99 ),3767065.120000000111759,4173121.000000000000000,4050284.429999999701977,11990471.550000000745058
FS( 100 ),3744346.720000000204891,4201521.000000000000000,4078621.439999999944121,12024490.160000000149012
FS( 101 ),3723521.520000000018626,4154377.000000000000000,4105453.830000000540167,11983353.349999999627471
FS( 102 ),3711215.720000000204891,4120013.000000000000000,4080878.370000000111759,11912108.089999999850988
FS( 103 ),3772176.760000000242144,4138756.999999999534339,4081630.679999999701977,11992565.439999999478459
FS( 104 ),3753812.720000000204891,4134213.000000000000000,4045770.570000000298023,11933797.290000000968575
FS( 105 ),3763468.040000000037253,4168861.000000000000000,3977310.359999999869615,11909640.400000000372529
FS( 106 ),3779560.239999999757856,4190445.000000000465661,4070847.570000000298023,12040853.810000000521541
FS( 107 ),3789026.239999999757856,4255765.000000000000000,4147583.189999999944121,12192375.429999999701977
FS( 108 ),3844307.680000000167638,4231625.000000000000000,4185951.000000000000000,12261884.679999999701977
FS( 109 ),3890312.439999999944121,4246677.000000000000000,4264442.010000000707805,12401432.449999999254942
FS( 110 ),3811176.680000000167638,4240713.000000000000000,4283751.299999999813735,12335641.980000000447035
FS( 111 ),3848283.399999999906868,4237021.000000000000000,4270962.030000000260770,12356267.429999999701977
FS( 112 ),3879899.840000000316650,4252357.000000000000000,4303060.589999999850988,12435318.429999999701977
FS( 113 ),3871569.760000000242144,4243269.000000000000000,4246888.110000000335276,12361727.870000001043081
FS( 114 ),3886715.359999999869615,4263149.000000000000000,4254661.980000000447035,12404527.339999999850988
FS( 115 ),3858696.000000000000000,4257753.000000000000000,4252154.280000000260770,12368604.280000001192093
FS( 116 ),3871948.399999999906868,4269397.000000000000000,4245132.719999999739230,12386479.120000001043081
FS( 117 ),3872705.680000000167638,4305465.000000000000000,4280491.290000000037253,12458662.969999998807907
FS( 118 ),3883496.920000000391155,4322221.000000000000000,4356976.140000000596046,12562695.060000000521541
FS( 119 ),3867215.399999999906868,4302057.000000000000000,4349453.040000000037253,12518726.440000001341105
FS( 120 ),3860778.520000000018626,4317393.000000000000000,4359734.610000000335276,12537907.129999998956919
FS( 121 ),3894666.800000000279397,4348917.000000000000000,4295286.719999999739230,12538871.519999999552965
FS( 122 ),3872705.680000000167638,4223105.000000000000000,4289769.780000000260770,12385581.460000000894070
FS( 123 ),3905268.720000000204891,4237305.000000000000000,4294032.870000000111759,12436607.589999999850988
FS( 124 ),3931584.200000000186265,4246393.000000000000000,4352211.510000000707805,12530189.710000000894070
