代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12077175.689999999478459
真實報酬,2077175.689999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16916.099101401850930
風險,82979.409459722141037
起點值,0.203858996003254
找到最佳解世代,1816
找到最佳解實驗#,3
找到最佳解次數,24

stock[index](rank)
投資組合檔數,8
AXP[1](8),BA[2](5),CAT[3](1),HD[9](13),JNJ[12](11),MCD[15](6),UNH[23](2),V[25](3),
FS( 30 ),1245864.699999999953434,1290616.239999999757856,1387502.050000000046566,1341302.750000000000000,1273055.199999999953434,1410765.479999999981374,1294835.119999999878928,1304133.560000000055879,10548075.099999999627471
FS( 31 ),1242683.699999999953434,1292809.799999999813735,1386418.290000000037253,1349231.000000000000000,1280873.919999999925494,1420505.919999999925494,1269096.439999999944121,1303014.520000000251457,10544633.589999999850988
FS( 32 ),1214690.900000000139698,1265071.879999999888241,1356614.890000000130385,1330731.750000000000000,1269847.520000000018626,1412019.199999999953434,1274681.959999999962747,1283571.200000000186265,10407229.300000000745058
FS( 33 ),1214849.949999999953434,1255307.000000000000000,1357698.650000000139698,1327407.000000000000000,1272854.719999999972060,1417805.599999999860302,1294231.279999999795109,1282871.800000000046566,10423026.000000000000000
FS( 34 ),1221530.050000000046566,1279082.359999999869615,1387637.520000000251457,1332522.000000000000000,1273155.439999999944121,1428799.760000000009313,1302836.000000000000000,1293642.560000000055879,10519205.690000001341105
FS( 35 ),1224392.950000000186265,1299673.519999999785796,1385740.940000000176951,1329623.500000000000000,1275761.679999999934807,1429185.519999999785796,1318762.279999999795109,1305252.600000000093132,10568392.989999998360872
FS( 36 ),1227892.050000000046566,1298399.839999999850988,1403893.919999999925494,1319990.250000000000000,1278367.919999999925494,1425617.239999999757856,1322687.239999999990687,1312946.000000000000000,10589794.459999999031425
FS( 37 ),1226619.650000000139698,1310853.599999999860302,1408228.960000000195578,1321439.500000000000000,1278267.679999999934807,1441819.159999999916181,1325480.000000000000000,1326234.600000000093132,10638943.150000000372529
FS( 38 ),1231709.250000000000000,1323731.919999999925494,1422724.250000000000000,1333886.000000000000000,1278468.159999999916181,1444519.479999999981374,1344048.080000000074506,1329451.840000000083819,10708538.980000000447035
FS( 39 ),1232027.349999999860302,1320335.439999999944121,1431394.330000000074506,1320587.000000000000000,1272353.520000000018626,1445291.000000000000000,1339896.679999999934807,1324276.280000000027940,10686161.599999999627471
FS( 40 ),1226142.500000000000000,1322387.479999999748543,1428820.400000000139698,1311891.500000000000000,1274258.079999999841675,1445966.080000000074506,1333028.000000000000000,1324975.679999999934807,10667469.719999998807907
FS( 41 ),1223756.750000000000000,1327694.479999999748543,1428278.520000000251457,1308737.250000000000000,1285685.439999999944121,1455224.319999999832362,1322385.320000000065193,1332109.560000000055879,10683871.640000000596046
FS( 42 ),1245069.449999999953434,1325500.919999999925494,1431258.860000000102445,1322718.250000000000000,1290998.159999999916181,1469690.319999999832362,1355596.520000000018626,1334487.520000000251457,10775320.000000000000000
FS( 43 ),1248409.500000000000000,1346092.079999999841675,1435322.960000000195578,1324423.250000000000000,1304029.360000000102445,1482709.719999999972060,1354162.399999999906868,1344978.520000000251457,10840127.789999999105930
FS( 44 ),1256043.900000000139698,1337034.799999999813735,1425162.710000000195578,1319649.250000000000000,1306836.080000000074506,1473547.919999999925494,1354011.439999999944121,1350573.719999999972060,10822859.820000000298023
FS( 45 ),1254135.300000000046566,1321467.599999999860302,1416357.159999999916181,1314619.500000000000000,1311547.360000000102445,1458503.279999999795109,1364956.039999999804422,1339942.840000000083819,10781529.079999998211861
FS( 46 ),1269404.100000000093132,1331020.199999999720603,1402268.280000000027940,1321098.500000000000000,1310745.439999999944121,1465350.519999999785796,1382995.760000000009313,1344139.240000000223517,10827022.039999999105930
FS( 47 ),1271630.800000000046566,1343969.279999999795109,1422588.780000000027940,1308652.000000000000000,1308740.640000000130385,1460432.080000000074506,1371522.799999999813735,1344139.240000000223517,10831675.619999999180436
FS( 48 ),1277356.600000000093132,1344676.879999999888241,1434916.550000000046566,1304048.500000000000000,1318564.159999999916181,1460914.279999999795109,1369786.760000000009313,1322737.600000000093132,10833001.330000000074506
FS( 49 ),1275129.900000000139698,1344464.599999999860302,1436948.599999999860302,1297399.000000000000000,1321471.119999999878928,1431885.839999999850988,1353105.679999999934807,1307910.320000000065193,10768315.060000000521541
FS( 50 ),1281810.000000000000000,1352177.439999999944121,1432613.560000000055879,1312829.250000000000000,1323475.920000000158325,1444905.239999999757856,1366692.080000000074506,1330011.360000000102445,10844514.849999999627471
FS( 51 ),1285786.250000000000000,1361305.479999999748543,1418524.679999999934807,1336443.500000000000000,1330993.920000000158325,1453199.080000000074506,1376579.959999999962747,1333368.479999999981374,10896201.349999999627471
FS( 52 ),1283559.550000000046566,1383028.799999999813735,1441419.110000000102445,1336528.750000000000000,1333700.399999999906868,1457924.639999999897555,1361634.919999999925494,1317282.280000000027940,10915078.449999997392297
FS( 53 ),1295488.300000000046566,1390034.039999999804422,1457675.510000000009313,1335420.500000000000000,1346831.839999999850988,1465832.719999999972060,1371069.919999999925494,1317282.280000000027940,10979635.109999997541308
FS( 54 ),1302327.449999999953434,1408714.679999999934807,1456185.340000000083819,1353919.750000000000000,1344025.119999999878928,1476923.319999999832362,1381561.639999999897555,1325954.840000000083819,11049612.140000000596046
FS( 55 ),1312347.600000000093132,1403407.679999999934807,1450089.190000000176951,1344201.250000000000000,1345528.719999999972060,1485892.239999999757856,1383448.639999999897555,1320219.760000000009313,11045135.080000000074506
FS( 56 ),1307576.099999999860302,1409351.519999999785796,1401726.400000000139698,1334994.250000000000000,1352445.279999999795109,1482613.279999999795109,1395902.839999999850988,1322457.840000000083819,11007067.509999997913837
FS( 57 ),1308212.300000000046566,1411262.039999999804422,1406738.790000000037253,1325531.500000000000000,1363872.640000000130385,1492932.360000000102445,1407828.679999999934807,1314204.920000000158325,11030583.230000000447035
FS( 58 ),1307735.150000000139698,1431004.079999999841675,1410396.479999999981374,1289982.250000000000000,1367681.760000000009313,1491389.319999999832362,1398393.679999999934807,1337005.360000000102445,11033588.079999998211861
FS( 59 ),1319504.849999999860302,1415083.079999999841675,1412293.060000000055879,1290920.000000000000000,1366779.600000000093132,1484831.399999999906868,1397412.439999999944121,1331969.679999999934807,11018794.109999999403954
FS( 60 ),1321413.449999999953434,1407370.239999999757856,1407958.020000000251457,1297910.500000000000000,1353447.679999999934807,1482516.839999999850988,1393487.479999999981374,1327493.520000000251457,10991597.729999998584390
FS( 61 ),1335568.900000000139698,1412535.719999999972060,1442096.460000000195578,1306350.250000000000000,1341519.119999999878928,1488110.360000000102445,1401790.279999999795109,1346097.560000000055879,11074068.650000000372529
FS( 62 ),1330161.199999999953434,1397251.559999999823049,1431123.390000000130385,1297228.500000000000000,1329690.799999999813735,1476826.879999999888241,1398544.639999999897555,1320779.280000000027940,10981606.250000000000000
FS( 63 ),1339863.250000000000000,1399303.599999999860302,1455778.929999999934807,1307799.500000000000000,1326182.399999999906868,1477116.199999999953434,1399676.839999999850988,1311826.960000000195578,11017547.679999999701977
FS( 64 ),1353541.550000000046566,1405247.439999999944121,1449140.900000000139698,1312999.750000000000000,1332297.040000000037253,1470751.159999999916181,1408960.879999999888241,1305812.119999999878928,11038750.839999999850988
FS( 65 ),1350201.500000000000000,1428032.159999999916181,1456185.340000000083819,1301746.750000000000000,1339714.799999999813735,1476248.239999999757856,1421037.679999999934807,1315044.200000000186265,11088210.669999998062849
FS( 66 ),1331910.750000000000000,1425697.079999999841675,1442909.280000000027940,1296290.750000000000000,1328487.920000000158325,1476441.119999999878928,1411149.799999999813735,1304413.320000000065193,11017300.019999999552965
FS( 67 ),1341294.699999999953434,1431994.719999999972060,1448463.550000000046566,1297825.250000000000000,1328688.399999999906868,1507109.040000000037253,1418848.760000000009313,1313785.280000000027940,11088009.699999999254942
FS( 68 ),1340817.550000000046566,1443245.559999999823049,1460926.790000000037253,1288874.000000000000000,1318764.640000000130385,1499876.040000000037253,1411225.279999999795109,1330151.240000000223517,11093881.100000001490116
FS( 69 ),1338590.850000000093132,1459591.119999999878928,1466345.590000000083819,1283929.500000000000000,1315556.959999999729916,1493993.199999999953434,1403677.279999999795109,1334627.399999999906868,11096311.900000000372529
FS( 70 ),1349088.149999999906868,1460794.039999999804422,1476099.429999999934807,1300894.250000000000000,1325580.959999999729916,1510098.679999999934807,1409262.799999999813735,1345398.160000000149012,11177216.469999998807907
FS( 71 ),1357835.900000000139698,1459308.079999999841675,1469461.400000000139698,1306861.750000000000000,1321872.080000000074506,1495246.919999999925494,1400129.719999999972060,1342041.040000000037253,11152756.890000000596046
FS( 72 ),1356404.449999999953434,1475441.359999999869615,1473525.500000000000000,1303366.500000000000000,1329289.839999999850988,1497561.479999999981374,1410847.879999999888241,1355889.160000000149012,11202326.169999998062849
FS( 73 ),1355450.150000000139698,1478908.599999999860302,1474473.790000000037253,1311976.750000000000000,1324779.040000000037253,1497368.599999999860302,1406696.479999999981374,1354490.360000000102445,11204143.769999999552965
FS( 74 ),1360221.649999999906868,1473530.839999999850988,1450495.599999999860302,1297313.750000000000000,1347934.479999999981374,1484831.399999999906868,1410470.479999999981374,1364981.360000000102445,11189779.560000000521541
FS( 75 ),1366742.700000000186265,1492211.479999999748543,1461062.260000000009313,1306947.000000000000000,1355452.479999999981374,1484156.319999999832362,1428132.799999999813735,1374353.320000000065193,11269058.359999999403954
FS( 76 ),1357517.800000000046566,1487965.879999999888241,1453882.349999999860302,1253495.250000000000000,1369085.119999999878928,1487242.399999999906868,1445568.679999999934807,1372395.000000000000000,11227152.479999998584390
FS( 77 ),1361335.000000000000000,1501127.239999999757856,1443993.040000000037253,1250255.750000000000000,1356454.879999999888241,1484445.639999999897555,1447682.119999999878928,1393237.119999999878928,11238530.789999997243285
FS( 78 ),1351951.050000000046566,1501410.279999999795109,1465532.770000000251457,1232609.000000000000000,1333399.679999999934807,1464482.559999999823049,1440964.399999999906868,1404007.880000000121072,11194357.620000001043081
FS( 79 ),1358472.100000000093132,1503391.559999999823049,1551691.690000000176951,1252983.750000000000000,1322072.559999999823049,1534112.239999999757856,1437265.879999999888241,1398692.439999999944121,11358682.220000000670552
FS( 80 ),1356722.550000000046566,1651916.799999999813735,1537873.750000000000000,1250596.750000000000000,1312750.239999999757856,1509423.599999999860302,1439907.679999999934807,1410722.119999999878928,11469913.489999998360872
FS( 81 ),1333660.300000000046566,1705340.599999999860302,1549388.700000000186265,1259462.750000000000000,1311547.360000000102445,1513666.959999999729916,1426170.320000000065193,1392817.479999999981374,11492054.470000000670552
FS( 82 ),1348770.050000000046566,1707251.119999999878928,1545731.010000000009313,1262446.500000000000000,1321771.839999999850988,1503058.559999999823049,1442926.879999999888241,1386942.520000000251457,11518898.480000000447035
FS( 83 ),1355609.200000000186265,1715671.559999999823049,1543698.960000000195578,1275404.500000000000000,1330492.719999999972060,1496211.319999999832362,1447908.560000000055879,1392677.600000000093132,11557674.419999999925494
FS( 84 ),1355768.250000000000000,1694302.039999999804422,1532184.010000000009313,1277535.750000000000000,1328387.679999999934807,1485602.919999999925494,1451078.719999999972060,1411001.880000000121072,11535861.250000000000000
FS( 85 ),1356722.550000000046566,1683758.799999999813735,1532048.540000000037253,1283077.000000000000000,1324879.279999999795109,1510195.119999999878928,1456890.679999999934807,1416736.960000000195578,11564308.929999999701977
FS( 86 ),1360539.750000000232831,1685881.599999999860302,1538415.630000000121072,1285549.250000000000000,1336807.839999999850988,1492160.839999999850988,1470250.639999999897555,1407085.240000000223517,11576690.790000000968575
FS( 87 ),1367378.900000000139698,1682060.559999999823049,1549117.760000000009313,1302258.250000000000000,1335103.760000000009313,1483481.239999999757856,1471080.919999999925494,1411281.640000000130385,11601763.029999999329448
FS( 88 ),1365470.300000000046566,1699892.079999999841675,1553994.679999999934807,1307373.250000000000000,1331896.080000000074506,1494571.839999999850988,1470326.119999999878928,1419674.439999999944121,11643198.789999999105930
FS( 89 ),1366901.750000000000000,1694726.599999999860302,1549930.580000000074506,1307373.250000000000000,1325981.920000000158325,1494089.639999999897555,1471231.879999999888241,1416736.960000000195578,11626972.580000001937151
FS( 90 ),1362925.500000000000000,1658002.159999999916181,1548982.290000000037253,1323656.000000000000000,1335604.959999999729916,1494089.639999999897555,1470703.520000000018626,1412400.679999999934807,11606364.750000000000000
FS( 91 ),1344952.850000000093132,1647883.479999999748543,1532861.360000000102445,1311891.500000000000000,1334201.600000000093132,1510484.439999999944121,1453645.039999999804422,1391698.439999999944121,11527618.709999999031425
FS( 92 ),1340658.500000000232831,1662035.479999999748543,1528797.260000000009313,1320416.500000000000000,1334301.839999999850988,1517042.360000000102445,1457041.639999999897555,1400091.240000000223517,11560384.820000000298023
FS( 93 ),1359426.400000000139698,1678098.000000000000000,1540447.679999999934807,1315131.000000000000000,1338110.959999999729916,1516656.599999999860302,1462249.760000000009313,1424989.880000000121072,11635110.280000001192093
FS( 94 ),1380421.000000000232831,1692391.519999999785796,1539634.860000000102445,1280263.750000000000000,1337108.559999999823049,1520128.439999999944121,1468212.679999999934807,1435620.760000000009313,11653781.569999998435378
FS( 95 ),1389964.000000000000000,1681211.439999999944121,1546001.950000000186265,1297995.750000000000000,1345027.519999999785796,1532472.760000000009313,1462702.639999999897555,1445272.479999999981374,11700648.540000000968575
FS( 96 ),1369287.500000000000000,1667059.439999999944121,1532725.890000000130385,1276001.250000000000000,1333700.399999999906868,1522732.319999999832362,1454626.279999999795109,1429046.399999999906868,11585179.480000000447035
FS( 97 ),1357994.949999999953434,1668333.119999999878928,1543292.550000000046566,1257416.750000000000000,1329590.559999999823049,1521478.599999999860302,1440436.039999999804422,1433942.200000000186265,11552484.769999999552965
FS( 98 ),1356722.550000000046566,1667696.279999999795109,1538957.510000000009313,1271994.500000000000000,1337810.239999999757856,1527265.000000000000000,1449569.119999999878928,1443873.679999999934807,11593888.879999998956919
FS( 99 ),1356722.550000000046566,1696495.599999999860302,1569031.849999999860302,1278047.250000000000000,1350340.239999999757856,1539609.319999999832362,1470401.599999999860302,1455763.479999999981374,11716411.890000000596046
FS( 100 ),1356404.449999999953434,1684749.439999999944121,1554536.560000000055879,1271142.000000000000000,1331294.640000000130385,1531604.800000000046566,1466250.199999999953434,1443314.160000000149012,11639296.250000000000000
FS( 101 ),1357676.850000000093132,1689348.839999999850988,1554942.969999999972060,1263895.750000000000000,1332196.799999999813735,1527747.199999999953434,1470099.679999999934807,1443873.679999999934807,11639781.769999999552965
FS( 102 ),1359426.400000000139698,1669182.239999999757856,1562664.760000000009313,1275830.750000000000000,1320067.760000000009313,1531701.239999999757856,1467155.959999999962747,1445692.119999999878928,11631721.229999998584390
FS( 103 ),1358472.100000000093132,1678310.279999999795109,1558871.599999999860302,1290664.250000000000000,1320669.199999999953434,1539898.639999999897555,1472666.000000000000000,1451706.960000000195578,11671259.030000001192093
FS( 104 ),1358631.150000000139698,1701731.839999999850988,1571605.780000000027940,1277450.500000000000000,1325380.479999999981374,1537101.879999999888241,1485044.719999999972060,1451567.080000000074506,11708513.429999999701977
FS( 105 ),1362925.500000000000000,1701519.559999999823049,1592468.159999999916181,1278814.500000000000000,1313953.119999999878928,1538548.479999999981374,1478628.919999999925494,1451007.560000000055879,11717865.800000000745058
FS( 106 ),1369446.550000000046566,1695858.759999999776483,1591655.340000000083819,1277706.250000000000000,1326984.320000000065193,1542791.839999999850988,1501423.879999999888241,1448070.080000000074506,11753937.019999997690320
FS( 107 ),1370082.750000000000000,1700599.679999999934807,1602357.469999999972060,1285464.000000000000000,1313552.159999999916181,1541248.800000000046566,1507839.679999999934807,1453385.520000000251457,11774530.059999998658895
FS( 108 ),1356881.600000000093132,1677036.599999999860302,1602628.409999999916181,1303792.750000000000000,1302225.040000000037253,1534401.559999999823049,1504518.560000000055879,1440936.200000000186265,11722420.720000002533197
FS( 109 ),1355609.200000000186265,1660195.719999999972060,1584746.370000000111759,1334738.500000000000000,1309943.519999999785796,1525914.839999999850988,1497498.919999999925494,1443314.160000000149012,11711961.229999998584390
FS( 110 ),1342567.100000000093132,1672154.159999999916181,1595448.500000000000000,1346417.750000000000000,1325180.000000000000000,1542116.760000000009313,1495913.839999999850988,1462617.600000000093132,11782415.709999999031425
FS( 111 ),1340022.300000000046566,1689631.879999999888241,1596125.849999999860302,1361166.000000000000000,1313050.959999999729916,1540284.399999999906868,1492743.679999999934807,1460799.160000000149012,11793824.229999998584390
FS( 112 ),1362925.500000000000000,1702439.439999999944121,1610350.200000000186265,1350168.750000000000000,1335404.479999999981374,1557836.479999999981374,1506556.520000000018626,1484858.520000000251457,11910539.890000000596046
FS( 113 ),1376603.800000000046566,1702368.679999999934807,1638392.489999999990687,1363297.250000000000000,1329590.559999999823049,1507687.679999999934807,1490630.239999999990687,1485697.800000000046566,11894268.500000000000000
FS( 114 ),1378035.250000000000000,1711921.279999999795109,1620645.919999999925494,1364235.000000000000000,1327786.239999999757856,1514149.159999999916181,1497121.520000000018626,1480382.360000000102445,11894276.729999998584390
FS( 115 ),1370878.000000000000000,1735272.079999999841675,1632160.870000000111759,1358779.000000000000000,1345127.760000000009313,1514149.159999999916181,1492592.719999999972060,1483879.360000000102445,11932838.949999999254942
FS( 116 ),1383602.000000000000000,1761948.599999999860302,1644217.700000000186265,1350424.500000000000000,1347834.239999999757856,1513377.639999999897555,1495989.320000000065193,1472968.719999999972060,11970362.720000000670552
FS( 117 ),1397598.400000000139698,1790818.679999999934807,1677543.320000000065193,1345394.750000000000000,1357156.559999999823049,1511063.080000000074506,1496064.799999999813735,1466394.360000000102445,12042033.949999999254942
FS( 118 ),1415571.050000000046566,1786431.559999999823049,1689871.090000000083819,1344116.000000000000000,1355552.719999999972060,1518296.080000000074506,1469344.879999999888241,1474507.399999999906868,12053690.779999999329448
FS( 119 ),1406505.200000000186265,1807659.559999999823049,1691361.260000000009313,1352811.500000000000000,1335504.719999999972060,1541923.879999999888241,1477647.679999999934807,1474507.399999999906868,12087921.199999999254942
FS( 120 ),1406346.150000000139698,1811763.639999999897555,1690548.440000000176951,1357159.250000000000000,1320769.439999999944121,1533726.479999999981374,1473571.760000000009313,1473108.600000000093132,12066993.759999999776483
FS( 121 ),1406028.050000000046566,1814664.799999999813735,1685671.520000000251457,1363808.750000000000000,1317160.799999999813735,1532569.199999999953434,1457117.119999999878928,1476605.600000000093132,12053625.839999997988343
FS( 122 ),1403006.099999999860302,1799592.919999999925494,1684181.349999999860302,1373442.000000000000000,1314955.519999999785796,1507012.599999999860302,1447455.679999999934807,1441076.080000000074506,11970722.249999998137355
FS( 123 ),1410640.500000000000000,1795205.799999999813735,1686755.280000000027940,1374806.000000000000000,1312650.000000000000000,1478948.559999999823049,1454626.279999999795109,1439957.040000000037253,11953589.460000000894070
FS( 124 ),1423364.500000000000000,1806385.879999999888241,1686890.750000000000000,1371907.500000000000000,1300721.439999999944121,1485699.360000000102445,1468137.199999999953434,1453245.640000000130385,11996352.269999999552965
FS( 125 ),1433702.750000000000000,1799239.119999999878928,1696509.120000000111759,1384183.500000000000000,1297914.719999999972060,1518874.719999999972060,1480289.479999999981374,1462897.360000000102445,12073610.769999999552965
FS( 126 ),1438792.349999999860302,1798814.559999999823049,1689464.679999999934807,1394413.500000000000000,1303327.679999999934807,1511063.080000000074506,1478402.479999999981374,1462897.360000000102445,12077175.689999999478459
