代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12531415.000000000000000
真實報酬,2531415.000000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20744.493700004539278
風險,137046.071051224425901
起點值,0.151368758993833
找到最佳解世代,3387
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](18),KO[14](1),MCD[15](10),XOM[29](4),
FS( 58 ),2765041.359999999869615,2909672.000000000000000,2815539.500000000465661,2713739.240000000223517,11203992.099999999627471
FS( 59 ),2761459.719999999739230,2891686.400000000372529,2797176.750000000465661,2700490.939999999944121,11150813.810000000521541
FS( 60 ),2833092.520000000018626,2928656.799999999813735,2814415.250000000465661,2726987.540000000037253,11303152.109999999403954
FS( 61 ),2829510.879999999888241,2927657.600000000093132,2801673.750000000465661,2725221.100000000093132,11284063.330000000074506
FS( 62 ),2848314.489999999757856,2952637.600000000093132,2796802.000000000465661,2740677.450000000186265,11338431.539999999105930
FS( 63 ),2848314.489999999757856,2935651.200000000186265,2790056.500000000465661,2719921.780000000260770,11293943.969999998807907
FS( 64 ),2836674.159999999683350,2923660.800000000279397,2792305.000000000465661,2728753.979999999981374,11281393.940000001341105
FS( 65 ),2849209.899999999906868,2953636.799999999813735,2807669.750000000465661,2761874.729999999981374,11372391.179999999701977
FS( 66 ),2835778.750000000000000,2941646.400000000372529,2808794.000000000465661,2746418.379999999888241,11332637.530000001192093
FS( 67 ),2842046.619999999646097,2980615.199999999720603,2841397.250000000000000,2793670.649999999906868,11457729.720000000670552
FS( 68 ),2834883.339999999850988,2985611.200000000186265,2825657.750000000465661,2813984.709999999962747,11460137.000000000000000
FS( 69 ),2842046.619999999646097,2969624.000000000000000,2842896.250000000465661,2819725.640000000130385,11474292.509999999776483
FS( 70 ),2855477.770000000018626,2968624.800000000279397,2851890.250000000465661,2843130.969999999739230,11519123.789999999105930
FS( 71 ),2846523.669999999925494,2975619.200000000186265,2832778.000000000465661,2850638.339999999850988,11505559.210000000894070
FS( 72 ),2812498.089999999850988,2977617.600000000093132,2832403.250000000465661,2857262.490000000223517,11479781.429999999701977
FS( 73 ),2775786.279999999795109,2994604.000000000000000,2838774.000000000465661,2872277.230000000447035,11481441.509999999776483
FS( 74 ),2758773.489999999757856,2993604.800000000279397,2887116.750000000931323,2883759.089999999850988,11523254.130000000819564
FS( 75 ),2748923.979999999515712,2994604.000000000000000,2903605.750000000465661,2878901.379999999888241,11526035.109999999403954
FS( 76 ),2733702.009999999776483,2997601.600000000093132,2897609.750000000000000,2927036.870000000111759,11555950.230000000447035
FS( 77 ),2722957.089999999850988,3014588.000000000465661,2885243.000000000465661,2875810.110000000335276,11498598.199999999254942
FS( 78 ),2751610.209999999962747,3055555.199999999720603,2900982.500000000465661,2915113.400000000372529,11623261.310000000521541
FS( 79 ),2848314.489999999757856,3071542.399999999906868,2939581.750000000465661,2928803.309999999590218,11788241.949999999254942
FS( 80 ),2818765.959999999962747,3078536.799999999813735,2943704.000000000465661,2929686.530000000260770,11770693.289999999105930
FS( 81 ),2811602.679999999701977,3048560.800000000279397,2949325.250000000465661,2923503.990000000223517,11732992.720000000670552
FS( 82 ),2801753.169999999925494,3059552.000000000000000,2951573.750000000465661,2938077.120000000111759,11750956.039999999105930
FS( 83 ),2766832.179999999701977,3057553.600000000093132,2903605.750000000465661,2900098.660000000149012,11628090.189999999478459
FS( 84 ),2792799.069999999832362,3058552.799999999813735,2903605.750000000465661,2924387.209999999962747,11679344.829999998211861
FS( 85 ),2766832.179999999701977,3063548.800000000279397,2914473.500000000465661,2936310.679999999701977,11681165.160000000149012
FS( 86 ),2749819.389999999664724,3083532.799999999813735,2918595.750000000465661,2956624.740000000223517,11708572.679999999701977
FS( 87 ),2821452.189999999944121,3090527.200000000186265,2938082.750000000465661,2995928.030000000260770,11845990.170000001788139
FS( 88 ),2816975.139999999664724,3095523.200000000186265,2941830.250000000465661,3001668.959999999962747,11855997.550000000745058
FS( 89 ),2859954.819999999832362,3120503.200000000186265,2967313.250000000931323,3063935.969999999739230,12011707.239999998360872
FS( 90 ),2858164.000000000000000,3126498.399999999906868,2971810.250000000465661,3091315.790000000037253,12047788.440000001341105
FS( 91 ),2819661.369999999646097,3120503.200000000186265,2972185.000000000465661,3105447.309999999590218,12017796.879999998956919
FS( 92 ),2817870.549999999813735,3129496.000000000000000,2964315.250000000465661,3119137.219999999739230,12030819.019999999552965
FS( 93 ),2836674.159999999683350,3125499.200000000186265,2979305.250000000465661,3141217.719999999739230,12082696.329999998211861
FS( 94 ),2838464.979999999515712,3137489.600000000093132,2986800.250000000465661,3172130.419999999925494,12134885.250000000000000
FS( 95 ),2815184.319999999832362,3143484.800000000279397,2954946.500000000465661,3135035.179999999701977,12048650.800000000745058
FS( 96 ),2810707.270000000018626,3145483.200000000186265,2963191.000000000000000,3112513.070000000298023,12031894.540000000968575
FS( 97 ),2839360.389999999664724,3101518.399999999906868,2901357.250000000465661,3044505.129999999888241,11886741.169999998062849
FS( 98 ),2760564.309999999590218,3123500.800000000279397,2936958.500000000465661,3047596.400000000372529,11868620.009999999776483
FS( 99 ),2764145.949999999720603,3189448.000000000465661,2961317.250000000465661,3105005.700000000186265,12019916.900000002235174
FS( 100 ),2795485.299999999813735,3213428.799999999813735,2984551.750000000465661,3115162.730000000447035,12108628.580000000074506
FS( 101 ),2783844.969999999739230,3211430.400000000372529,2980054.750000000465661,3099706.379999999888241,12075036.500000000000000
FS( 102 ),2767727.589999999850988,3178456.799999999813735,2960942.500000000465661,3046271.570000000298023,11953398.460000000894070
FS( 103 ),2790112.839999999850988,3228416.800000000279397,2978555.750000000465661,3086016.469999999739230,12083101.859999999403954
FS( 104 ),2775786.279999999795109,3203436.800000000279397,2943329.250000000931323,3057311.820000000298023,11979864.150000002235174
FS( 105 ),2748028.569999999832362,3167465.600000000093132,2932836.250000000465661,3067027.240000000223517,11915357.660000000149012
FS( 106 ),2705048.889999999664724,3156474.399999999906868,2934335.250000000465661,3071884.950000000186265,11867743.489999998360872
FS( 107 ),2830406.289999999571592,3232413.600000000093132,2971435.500000000931323,3150049.919999999925494,12184305.310000000521541
FS( 108 ),2987103.039999999571592,3242405.600000000558794,2974808.250000000465661,3156674.070000000298023,12360990.960000000894070
FS( 109 ),2997847.959999999497086,3222421.600000000093132,2989048.750000000465661,3143867.379999999888241,12353185.690000001341105
FS( 110 ),2985312.220000000204891,3197441.600000000093132,2982303.250000000465661,3149166.700000000186265,12314223.769999999552965
FS( 111 ),3004115.829999999608845,3204436.000000000000000,3010784.250000000465661,3155790.849999999627471,12375126.929999999701977
FS( 112 ),3047095.509999999776483,3217425.600000000558794,2950824.250000000465661,3173013.639999999664724,12388359.000000000000000
FS( 113 ),3073062.399999999906868,3239408.000000000465661,2908477.500000000465661,3179637.790000000037253,12400585.690000001341105
FS( 114 ),3080225.679999999701977,3230415.199999999720603,2906603.750000000465661,3187586.770000000484288,12404831.399999998509884
FS( 115 ),3094552.240000000223517,3239408.000000000465661,2889740.000000000465661,3195535.750000000000000,12419235.990000000223517
FS( 116 ),3108878.799999999813735,3192445.600000000093132,2889740.000000000465661,3187586.770000000484288,12378651.170000001788139
FS( 117 ),3115146.669999999925494,3234412.000000000000000,2884868.250000000465661,3173013.639999999664724,12407440.559999998658895
FS( 118 ),3144695.199999999720603,3264388.000000000465661,2874750.000000000000000,3189353.209999999962747,12473186.410000000149012
FS( 119 ),3142904.379999999888241,3282373.600000000093132,2878497.500000000465661,3187145.160000000149012,12490920.640000000596046
FS( 120 ),3151858.479999999981374,3263388.799999999813735,2882619.750000000465661,3189353.209999999962747,12487220.239999998360872
FS( 121 ),3141113.559999999590218,3271382.400000000372529,2880371.250000000465661,3211433.709999999962747,12504300.920000001788139
FS( 122 ),3150067.659999999683350,3277377.599999999627471,2885992.500000000465661,3214966.589999999850988,12528404.349999999627471
FS( 123 ),3142008.970000000204891,3276378.399999999906868,2884118.750000000000000,3232630.990000000223517,12535137.110000001266599
FS( 124 ),3155440.120000000111759,3250399.200000000186265,2864257.000000000931323,3224240.400000000372529,12494336.720000000670552
FS( 125 ),3142008.970000000204891,3265387.200000000186265,2864257.000000000931323,3242346.410000000149012,12513999.580000001937151
FS( 126 ),3124100.770000000018626,3270383.199999999720603,2885243.000000000465661,3240138.360000000335276,12519865.330000001937151
FS( 127 ),3121414.539999999571592,3272381.600000000093132,2876623.750000000465661,3239696.750000000000000,12510116.640000000596046
FS( 128 ),3139322.740000000223517,3286370.400000000372529,2876623.750000000465661,3229098.110000000335276,12531415.000000000000000
