代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12021839.610000001266599
真實報酬,2021839.610000001266599

夏普值報酬,0.193483961000000
夏普值風險,0.054251845547709
夏普值,3.566403300139356

預期報酬,30498.924914356011868
風險,124279.882876902207499
趨勢值,0.245405162994600
找到最佳解世代,2246
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
JPM[13](2),KO[14](22),PG[21](23),TRV[22](14),WBA[27](10),
20090901,2443265.479999999981374,2022499.909999999916181,2075144.959999999962747,2400577.040000000037253,2315645.280000000260770,11257132.670000001788139
20090902,2395772.750000000000000,2074999.699999999953434,2066534.599999999860302,2395216.519999999552965,2299999.070000000298023,11232522.640000000596046
20090903,2469064.000000000000000,2065833.069999999832362,2069274.259999999776483,2432740.160000000149012,2282312.049999999813735,11319223.539999999105930
20090904,2482549.590000000316650,2081666.340000000083819,2068882.879999999888241,2442486.559999999590218,2302039.880000000353903,11377625.250000001862645
20090908,2494276.189999999944121,2100832.930000000167638,2121327.799999999813735,2386444.759999999776483,2311563.660000000149012,11414445.339999999850988
20090909,2513038.750000000000000,2109999.560000000055879,2104107.080000000074506,2394729.200000000186265,2306121.500000000000000,11427996.089999999850988
20090910,2522420.030000000260770,2107499.569999999832362,2193341.719999999739230,2364515.360000000335276,2325849.330000000074506,11513626.009999999776483
20090911,2491930.870000000111759,2146666.080000000074506,2177686.519999999552965,2359154.839999999850988,2318366.359999999869615,11493804.669999998062849
20090914,2565222.120000000111759,2173332.639999999664724,2164379.599999999627471,2387419.400000000372529,2329250.680000000167638,11619604.439999999478459
20090915,2532387.640000000130385,2185832.589999999850988,2153812.339999999850988,2388394.040000000037253,2317005.820000000298023,11577432.429999999701977
20090916,2617991.819999999832362,2194999.220000000204891,2164770.980000000447035,2380596.919999999925494,2354420.669999999925494,11712779.610000001266599
20090917,2636168.050000000279397,2225832.430000000167638,2173381.339999999850988,2324555.120000000111759,2334692.840000000316650,11694629.780000001192093
20090918,2635581.720000000204891,2239999.040000000037253,2243438.360000000335276,2308473.559999999590218,2346937.700000000186265,11774430.379999998956919
20090921,2612128.520000000018626,2208332.500000000000000,2234828.000000000000000,2328941.000000000000000,2349658.780000000260770,11733888.800000000745058
20090922,2724703.879999999888241,2202499.189999999944121,2240307.320000000298023,2319194.600000000558794,2355781.210000000428408,11842486.200000002980232
20090923,2642031.350000000093132,2190832.569999999832362,2240698.700000000186265,2304575.000000000000000,2329250.680000000167638,11707388.300000000745058
20090924,2601574.580000000074506,2180832.610000000335276,2263790.120000000111759,2315783.360000000335276,2289114.750000000000000,11651095.420000001788139
20090925,2559358.819999999832362,2207499.169999999925494,2270443.580000000074506,2326991.719999999739230,2291155.560000000055879,11655448.849999999627471
20090928,2627373.100000000093132,2214165.810000000055879,2276314.280000000260770,2395703.839999999850988,2325849.330000000074506,11839406.360000001266599
20090929,2631477.410000000149012,2221665.779999999795109,2266529.780000000260770,2385957.440000000409782,2540814.650000000372529,12046445.060000000521541
20090930,2569326.430000000167638,2237499.050000000279397,2266921.160000000149012,2399115.080000000074506,2548977.890000000130385,12021839.610000001266599
