代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11471184.149999998509884
真實報酬,1471184.149999998509884

夏普值報酬,0.138418415000000
夏普值風險,0.041185658961903
夏普值,3.360840119810609

預期報酬,24573.120998781392700
風險,56666.151038023388537
趨勢值,0.433647257642268
找到最佳解世代,2382
找到最佳解實驗#,9
找到最佳解次數,12

stock[index](rank)
投資組合檔數,5
CSCO[4](18),HD[9](21),MRK[17](1),MSFT[18](9),PFE[20](2),
20180718,1961887.219999999972060,2060173.370000000111759,2073803.519999999785796,2132029.310000000521541,2076073.879999999888241,10303967.300000000745058
20180719,1970718.229999999748543,2077190.030000000027940,2059635.879999999888241,2117426.990000000223517,2059536.079999999841675,10284507.209999999031425
20180720,1952591.419999999692664,2075344.850000000093132,2059965.360000000102445,2155352.459999999962747,2057882.299999999813735,10301136.390000000596046
20180723,1954915.369999999878928,2073089.630000000121072,2065566.519999999785796,2189830.160000000149012,2051267.179999999934807,10334668.859999999403954
20180724,1970253.439999999944121,2070629.390000000130385,2089618.560000000055879,2183543.049999999813735,2078278.920000000158325,10392323.360000001266599
20180725,2006042.269999999785796,2060480.900000000139698,2124872.919999999925494,2247833.820000000298023,2094265.460000000195578,10533495.370000001043081
20180726,2023239.500000000000000,2044079.300000000279397,2109057.879999999888241,2223293.810000000521541,2103636.879999999888241,10503307.370000001043081
20180727,1978619.659999999916181,2020912.040000000037253,2091924.919999999925494,2183948.669999999925494,2117418.379999999888241,10392823.669999999925494
20180730,1960028.060000000055879,2022347.180000000167638,2135416.279999999795109,2137099.560000000521541,2127341.060000000521541,10382232.140000000596046
20180731,1965605.539999999804422,2024807.420000000158325,2170341.160000000149012,2151499.070000000298023,2201209.900000000372529,10513463.089999999850988
20180801,1945619.569999999832362,2012301.200000000186265,2157820.919999999925494,2155555.270000000484288,2219952.740000000223517,10491249.699999999254942
20180802,1976760.500000000000000,2005740.560000000055879,2148924.959999999962747,2181717.759999999776483,2185774.620000000111759,10498918.399999998509884
20180803,1990704.199999999720603,2005535.540000000037253,2172318.040000000037253,2191249.830000000074506,2234836.759999999776483,10594644.369999999180436
20180806,2012549.329999999841675,2006048.090000000083819,2181872.959999999962747,2193075.120000000111759,2262399.759999999776483,10655945.259999999776483
20180807,2025563.449999999720603,2019989.450000000186265,2193734.239999999757856,2208285.870000000111759,2251374.560000000521541,10698947.570000000298023
20180808,2037647.989999999990687,2029932.920000000158325,2197358.520000000018626,2220657.280000000260770,2282796.379999999888241,10768393.089999999850988
20180809,2034859.250000000000000,2030547.980000000214204,2174624.399999999906868,2224307.860000000335276,2260194.719999999739230,10724534.210000000894070
20180810,2034859.250000000000000,2012301.200000000186265,2176930.759999999776483,2210719.589999999850988,2256335.900000000372529,10691146.700000001117587
20180813,2033464.879999999888241,1990159.040000000037253,2198346.959999999962747,2194697.599999999627471,2249720.780000000260770,10666389.260000001639128
20180814,2045084.629999999888241,1979498.000000000000000,2189780.479999999515712,2222076.950000000186265,2244208.179999999701977,10680648.239999998360872
20180815,2038577.569999999832362,1988621.390000000130385,2219763.160000000149012,2183543.049999999813735,2269014.879999999888241,10699520.050000000745058
20180816,2099000.269999999552965,2002972.790000000037253,2268526.199999999720603,2183137.429999999701977,2283347.639999999664724,10836984.329999998211861
20180817,2132000.359999999869615,2004715.460000000195578,2275445.279999999795109,2181920.570000000298023,2320282.060000000521541,10914363.730000000447035
20180820,2148268.009999999776483,2029010.330000000307336,2312017.560000000055879,2167521.060000000521541,2333512.299999999813735,10990329.260000001639128
20180821,2127817.250000000000000,2052587.630000000121072,2279069.560000000055879,2149470.969999999739230,2324140.879999999888241,10933086.289999999105930
20180822,2137577.839999999850988,2039671.370000000111759,2274786.320000000298023,2171374.450000000186265,2319179.540000000037253,10942589.519999999552965
20180823,2138972.209999999962747,2051870.060000000055879,2272479.959999999962747,2181514.950000000186265,2326345.919999999925494,10971183.099999999627471
20180824,2152915.909999999683350,2063556.200000000186265,2274786.320000000298023,2198550.990000000223517,2337371.120000000111759,11027180.539999999105930
20180827,2165465.240000000223517,2070526.880000000121072,2273138.919999999925494,2222888.190000000409782,2292167.799999999813735,11024187.030000001192093
20180828,2182197.680000000167638,2070424.370000000111759,2261277.639999999664724,2236273.650000000372529,2287757.719999999739230,11037931.059999998658895
20180829,2206831.549999999813735,2067451.580000000307336,2267208.279999999795109,2271968.209999999962747,2287757.719999999739230,11101217.339999999850988
20180830,2191493.479999999981374,2042644.160000000149012,2258312.320000000298023,2270548.540000000037253,2287757.719999999739230,11050756.219999998807907
20180831,2220310.459999999962747,2058123.170000000158325,2259959.720000000204891,2278255.320000000298023,2288860.240000000223517,11105508.910000000149012
20180904,2218451.299999999813735,2102304.980000000447035,2238873.000000000000000,2265681.099999999627471,2280591.339999999850988,11105901.719999998807907
20180905,2197070.959999999962747,2092771.550000000279397,2260948.160000000149012,2200376.280000000260770,2307051.820000000298023,11058218.769999999552965
20180906,2197535.750000000000000,2110608.290000000037253,2285988.639999999664724,2205446.530000000260770,2303193.000000000000000,11102772.210000000894070
20180907,2186845.579999999608845,2114093.629999999888241,2295543.560000000055879,2194697.599999999627471,2326345.919999999925494,11117526.289999999105930
20180910,2187775.159999999683350,2159813.089999999850988,2291919.279999999795109,2218426.370000000111759,2318628.280000000260770,11176562.179999999701977
20180911,2185916.000000000000000,2192206.250000000000000,2276104.239999999757856,2256149.030000000260770,2332409.780000000260770,11242785.300000000745058
20180912,2179408.939999999944121,2173036.879999999888241,2301803.679999999701977,2265681.099999999627471,2337922.379999999888241,11257852.980000000447035
20180913,2195676.589999999850988,2147101.849999999627471,2333763.239999999757856,2290018.299999999813735,2362177.820000000298023,11328737.800000000745058
20180914,2203113.229999999981374,2143206.469999999739230,2305757.439999999944121,2299347.560000000521541,2368241.679999999701977,11319666.379999998956919
20180917,2189634.319999999832362,2136338.299999999813735,2320254.560000000055879,2274401.929999999701977,2370997.979999999515712,11291627.089999999850988
20180918,2205901.969999999739230,2163195.919999999925494,2320254.560000000055879,2296102.599999999627471,2398560.979999999515712,11384016.029999997466803
20180919,2197535.750000000000000,2169961.580000000074506,2305757.439999999944121,2265478.290000000037253,2384779.479999999515712,11323512.539999999105930
20180920,2218451.299999999813735,2163605.959999999962747,2332115.839999999850988,2303403.759999999776483,2411791.219999999739230,11429368.079999998211861
20180921,2257028.870000000111759,2177239.790000000037253,2342659.199999999720603,2317397.650000000372529,2428880.280000000260770,11523205.789999999105930
20180924,2251451.389999999664724,2132135.390000000596046,2332115.839999999850988,2325712.860000000335276,2421713.900000000372529,11463129.380000000819564
20180925,2252845.759999999776483,2126702.360000000335276,2327832.600000000093132,2321251.040000000037253,2413996.259999999776483,11442628.020000001415610
20180926,2250057.019999999552965,2127317.419999999925494,2317289.239999999757856,2311718.969999999739230,2407932.400000000372529,11414315.049999998882413
20180927,2246338.699999999720603,2120346.740000000223517,2330138.959999999962747,2320439.799999999813735,2420060.120000000111759,11437324.320000000298023
20180928,2261211.979999999981374,2123524.549999999813735,2337387.520000000018626,2319628.560000000521541,2429431.540000000037253,11471184.149999998509884
