代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10769874.450000001117587
真實報酬,769874.450000001117587

夏普值報酬,0.068287445000000
夏普值風險,0.022691789298924
夏普值,3.009345984154596

預期報酬,12650.715348940762851
風險,47575.681594671048515
趨勢值,0.265907180410375
找到最佳解世代,2324
找到最佳解實驗#,2
找到最佳解次數,27

stock[index](rank)
投資組合檔數,7
AXP[1](11),CAT[3](1),HD[9](21),MCD[15](12),PG[21](4),UNH[23](5),V[25](2),
20170724,1441459.080000000074506,1438141.959999999962747,1346439.160000000149012,1416352.629999999888241,1445454.760000000009313,1470711.879999999888241,1528956.469999999972060,10087518.939999999478459
20170725,1448411.860000000102445,1522685.439999999944121,1368694.839999999850988,1483693.569999999832362,1461191.080000000074506,1466936.920000000158325,1523167.929999999934807,10274784.639999998733401
20170726,1446546.479999999981374,1509126.579999999841675,1366087.479999999981374,1459816.449999999953434,1463813.799999999813735,1469633.320000000065193,1536268.309999999823049,10251295.419999999925494
20170727,1421957.379999999888241,1520425.630000000121072,1375771.959999999962747,1463920.329999999841675,1486434.760000000009313,1455612.040000000037253,1516770.069999999832362,10240895.169999999925494
20170728,1438067.479999999981374,1516836.519999999785796,1379031.160000000149012,1453660.629999999888241,1478730.519999999785796,1472714.920000000158325,1510372.210000000195578,10249416.440000001341105
20170731,1445359.420000000158325,1514842.570000000065193,1393185.399999999906868,1447038.459999999729916,1488729.639999999897555,1477799.560000000055879,1516617.739999999990687,10283575.790000000968575
20170801,1445529.000000000000000,1503543.519999999785796,1395513.399999999906868,1436778.759999999776483,1493319.399999999906868,1481035.239999999990687,1536572.969999999972060,10292295.290000000968575
20170802,1446546.479999999981374,1503410.590000000083819,1401566.199999999953434,1460562.609999999869615,1492335.880000000121072,1486967.320000000065193,1542818.500000000000000,10334210.580000000074506
20170803,1450616.400000000139698,1509658.300000000046566,1404266.679999999934807,1443121.119999999878928,1489385.319999999832362,1500603.400000000139698,1532307.729999999981374,10329961.950000001117587
20170804,1457908.340000000083819,1520159.769999999785796,1422518.199999999953434,1434726.819999999832362,1486270.840000000083819,1501450.840000000083819,1536877.630000000121072,10359915.439999999478459
20170807,1455873.379999999888241,1524945.250000000000000,1428105.399999999906868,1445452.869999999878928,1498892.679999999934807,1500680.440000000176951,1546017.429999999934807,10399970.449999999254942
20170808,1457399.600000000093132,1520957.349999999860302,1428105.399999999906868,1444986.519999999785796,1501187.559999999823049,1501604.920000000158325,1542818.500000000000000,10397062.849999999627471
20170809,1453160.100000000093132,1520026.840000000083819,1445891.319999999832362,1444986.519999999785796,1506760.840000000083819,1501065.640000000130385,1538096.270000000018626,10409990.529999999329448
20170810,1433997.560000000055879,1504208.170000000158325,1433040.760000000009313,1460842.419999999925494,1503810.279999999795109,1483654.600000000093132,1515551.429999999934807,10335108.219999998807907
20170811,1429418.900000000139698,1500220.269999999785796,1442352.760000000009313,1467184.780000000027940,1497253.479999999981374,1487121.400000000139698,1524691.229999999981374,10348245.820000000298023
20170814,1449429.340000000083819,1511652.250000000000000,1436579.319999999832362,1466811.699999999953434,1502335.000000000000000,1492437.160000000149012,1551805.969999999972060,10411053.740000000223517
20170815,1471813.900000000139698,1510854.670000000158325,1398493.239999999757856,1470169.419999999925494,1511350.600000000093132,1498523.320000000065193,1563383.050000000046566,10424591.200000001117587
20170816,1481988.700000000186265,1517102.380000000121072,1417862.199999999953434,1482107.979999999981374,1515284.679999999934807,1492899.400000000139698,1573893.819999999832362,10481142.160000000149012
20170817,1459943.300000000046566,1504075.239999999990687,1393837.239999999757856,1472687.709999999729916,1509219.639999999897555,1484656.119999999878928,1556223.540000000037253,10380645.789999999105930
20170818,1447903.120000000111759,1514443.780000000027940,1373537.080000000074506,1471475.199999999953434,1515776.439999999944121,1470172.600000000093132,1561555.090000000083819,10354866.310000000521541
20170821,1446546.479999999981374,1510190.019999999785796,1389460.599999999860302,1477071.400000000139698,1522169.319999999832362,1479494.440000000176951,1572370.520000000018626,10397305.779999999329448
20170822,1446546.479999999981374,1539700.479999999981374,1396072.119999999878928,1489009.959999999729916,1521021.880000000121072,1500757.479999999981374,1585318.569999999832362,10478429.970000000670552
20170823,1446207.320000000065193,1525476.969999999972060,1388529.399999999906868,1481268.550000000046566,1515284.679999999934807,1496520.280000000027940,1571761.200000000186265,10425051.399999998509884
20170824,1447563.959999999962747,1525875.760000000009313,1380614.199999999953434,1477537.750000000000000,1512498.039999999804422,1500449.320000000065193,1572370.520000000018626,10416912.549999998882413
20170825,1449429.340000000083819,1533452.769999999785796,1393651.000000000000000,1481361.819999999832362,1516432.120000000111759,1497444.760000000242144,1574350.809999999823049,10446125.620000001043081
20170828,1448411.860000000102445,1529730.729999999981374,1409853.879999999888241,1489289.769999999785796,1515776.439999999944121,1503068.680000000167638,1580901.000000000000000,10477035.359999999403954
20170829,1448581.440000000176951,1542226.150000000139698,1395420.280000000027940,1486584.939999999944121,1513317.639999999897555,1515703.239999999990687,1580748.669999999925494,10482585.359999999403954
20170830,1453160.100000000093132,1562697.369999999878928,1396910.199999999953434,1487983.989999999990687,1505941.239999999990687,1509154.840000000083819,1580139.350000000093132,10495990.089999999850988
20170831,1460112.879999999888241,1561899.789999999804422,1395699.639999999897555,1492087.869999999878928,1512498.039999999804422,1532420.920000000158325,1576940.419999999925494,10531662.560000000521541
20170901,1460791.200000000186265,1572401.260000000009313,1404173.560000000055879,1490595.550000000046566,1516759.959999999962747,1538969.320000000065193,1582728.960000000195578,10566422.810000000521541
20170905,1446716.060000000055879,1572667.119999999878928,1424194.360000000102445,1483973.379999999888241,1519874.439999999944121,1535579.560000000055879,1569171.590000000083819,10552179.509999999776483
20170906,1445359.420000000158325,1555120.360000000102445,1457996.919999999925494,1475765.619999999878928,1519874.439999999944121,1528414.840000000083819,1571761.200000000186265,10554295.800000000745058
20170907,1431453.860000000102445,1565621.829999999841675,1470754.360000000102445,1491434.979999999981374,1523972.439999999944121,1526797.000000000000000,1592782.739999999990687,10602820.209999999031425
20170908,1428740.580000000074506,1566286.479999999981374,1486864.119999999878928,1489662.850000000093132,1521841.479999999981374,1523561.320000000065193,1590802.450000000186265,10607762.280000001192093
20170911,1453160.100000000093132,1580244.130000000121072,1474851.639999999897555,1506637.989999999990687,1540692.279999999795109,1537659.640000000130385,1617003.210000000195578,10710251.990000002086163
20170912,1467743.979999999981374,1607760.639999999897555,1489192.119999999878928,1458137.590000000083819,1532824.120000000111759,1521404.199999999953434,1617917.189999999944121,10694982.839999999850988
20170913,1469270.200000000186265,1590346.809999999823049,1490216.439999999944121,1464386.679999999934807,1533479.799999999813735,1528029.640000000130385,1612128.649999999906868,10687861.219999998807907
20170914,1461639.100000000093132,1601645.860000000102445,1484256.760000000009313,1464386.679999999934807,1533479.799999999813735,1523407.239999999990687,1615936.899999999906868,10684755.339999999850988
20170915,1475205.500000000000000,1613476.630000000121072,1475131.000000000000000,1463640.519999999785796,1528890.039999999804422,1526874.040000000037253,1604055.159999999916181,10687275.890000000596046
20170918,1490128.540000000037253,1646177.409999999916181,1469636.919999999925494,1461402.040000000037253,1526923.000000000000000,1526951.080000000074506,1596895.649999999906868,10718117.640000000596046
20170919,1509291.080000000074506,1658274.039999999804422,1468240.119999999878928,1468397.290000000037253,1543642.840000000083819,1499678.920000000158325,1605730.790000000037253,10753258.080000001937151
20170920,1499625.020000000251457,1659736.269999999785796,1477738.360000000102445,1491248.439999999944121,1547413.000000000000000,1508153.320000000065193,1605730.790000000037253,10789648.199999999254942
20170921,1499455.440000000176951,1658938.689999999944121,1482487.479999999981374,1483320.489999999990687,1518563.080000000074506,1503993.160000000149012,1604207.489999999990687,10750968.830000000074506
20170922,1499116.280000000260770,1654153.209999999962747,1489750.839999999850988,1482201.250000000000000,1512006.279999999795109,1487198.440000000176951,1608015.739999999990687,10732445.039999999105930
20170925,1495894.260000000009313,1652690.979999999981374,1500273.399999999906868,1457484.699999999953434,1519874.439999999944121,1477337.320000000065193,1569323.919999999925494,10672882.020000001415610
20170926,1504034.100000000093132,1655216.650000000139698,1501763.319999999832362,1430343.129999999888241,1518727.000000000000000,1484656.119999999878928,1568105.280000000027940,10662848.599999999627471
20170927,1517600.500000000000000,1655349.579999999841675,1498597.239999999757856,1436872.030000000027940,1489549.239999999990687,1498446.280000000027940,1582576.630000000121072,10678994.500000001862645
20170928,1528623.200000000186265,1664787.610000000102445,1512006.520000000018626,1468956.909999999916181,1489877.080000000074506,1510849.719999999972060,1593087.399999999906868,10768191.440000001341105
20170929,1534049.760000000009313,1657875.250000000000000,1523180.919999999925494,1461402.040000000037253,1491352.360000000102445,1508923.719999999972060,1593087.399999999906868,10769874.450000001117587
