代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12072299.049999998882413
真實報酬,2072299.049999998882413

夏普值報酬,0.198529905000000
夏普值風險,0.062659360458620
夏普值,3.168399797682401

預期報酬,9022.274779385941656
風險,161582.976826390367933
趨勢值,0.055836790215096
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](5),INTC[11](15),JPM[13](2),MRK[17](3),PG[21](16),UNH[23](1),V[25](12),
20160509,1502692.299999999813735,1315965.549999999813735,1476575.770000000018626,1460701.000000000000000,1425273.550000000046566,1470350.139999999897555,1461072.459999999729916,10112633.769999997690320
20160510,1516468.379999999888241,1330979.609999999869615,1496597.859999999869615,1476361.000000000000000,1431521.350000000093132,1480323.939999999944121,1479377.879999999888241,10211633.019999999552965
20160511,1514521.760000000009313,1327446.889999999897555,1491049.570000000065193,1466371.000000000000000,1425794.199999999953434,1448407.780000000027940,1443887.779999999795109,10117481.979999998584390
20160512,1529196.280000000027940,1314199.189999999944121,1490084.649999999906868,1461241.000000000000000,1430306.500000000000000,1437879.880000000121072,1454908.389999999897555,10117818.890000000596046
20160513,1508532.159999999916181,1320823.039999999804422,1476334.540000000037253,1454761.000000000000000,1409827.600000000093132,1429679.199999999953434,1435108.649999999906868,10035069.189999999478459
20160516,1531741.860000000102445,1342019.359999999869615,1487431.119999999878928,1475551.000000000000000,1416769.599999999860302,1447853.679999999701977,1453227.279999999795109,10154596.899999998509884
20160517,1508681.899999999906868,1323914.169999999925494,1487431.119999999878928,1466641.000000000000000,1399241.050000000046566,1435885.119999999878928,1434361.489999999990687,10056158.849999999627471
20160518,1498349.839999999850988,1324355.759999999776483,1544843.860000000102445,1476091.000000000000000,1385877.699999999953434,1446413.019999999785796,1446316.050000000046566,10122250.230000000447035
20160519,1495205.299999999813735,1308458.519999999785796,1529163.909999999916181,1473661.000000000000000,1391778.399999999906868,1440761.199999999953434,1436042.599999999860302,10075073.929999997839332
20160520,1494306.860000000102445,1331421.199999999720603,1532058.669999999925494,1487971.000000000000000,1388828.049999999813735,1451178.280000000027940,1450799.009999999776483,10136566.069999998435378
20160523,1488167.519999999785796,1334953.919999999925494,1530852.520000000018626,1482841.000000000000000,1391951.949999999953434,1445415.639999999897555,1442206.669999999692664,10116392.219999998807907
20160524,1500296.459999999962747,1371605.889999999897555,1556905.360000000102445,1501201.000000000000000,1405315.300000000046566,1469463.580000000074506,1482740.099999999860302,10287530.689999999478459
20160525,1523955.379999999888241,1386178.359999999869615,1580545.899999999906868,1527391.000000000000000,1414166.350000000093132,1478661.639999999897555,1476762.819999999832362,10387664.450000001117587
20160526,1519912.399999999906868,1390594.259999999776483,1568725.629999999888241,1522531.000000000000000,1409654.050000000046566,1473785.559999999823049,1475642.079999999841675,10360847.979999998584390
20160527,1527698.879999999888241,1394126.979999999981374,1578374.830000000074506,1524961.000000000000000,1413298.600000000093132,1485089.199999999953434,1487970.219999999739230,10411522.709999997168779
20160531,1512425.399999999906868,1395010.159999999916181,1574515.149999999906868,1519021.000000000000000,1406530.150000000139698,1481432.139999999897555,1474521.339999999850988,10363458.339999999850988
20160601,1514372.019999999785796,1398101.289999999804422,1584646.809999999823049,1520911.000000000000000,1419546.400000000139698,1490962.659999999916181,1479751.459999999729916,10408294.639999998733401
20160602,1505387.619999999878928,1402517.189999999944121,1587541.570000000065193,1534141.000000000000000,1422323.199999999953434,1507696.479999999981374,1493387.129999999888241,10452997.190000001341105
20160603,1507334.239999999757856,1396334.929999999934807,1559317.659999999916181,1529281.000000000000000,1431347.800000000046566,1516562.080000000074506,1493200.339999999850988,10433381.050000000745058
20160606,1514970.979999999981374,1398984.469999999739230,1574756.379999999888241,1543591.000000000000000,1436554.299999999813735,1531079.500000000000000,1504407.739999999990687,10504347.369999999180436
20160607,1547165.079999999841675,1407816.269999999785796,1569449.320000000065193,1539001.000000000000000,1428744.549999999813735,1517670.280000000027940,1505528.479999999748543,10515377.980000000447035
20160608,1543721.060000000055879,1408257.859999999869615,1574032.689999999944121,1555741.000000000000000,1434471.699999999953434,1556014.000000000000000,1525141.429999999934807,10597382.739999998360872
20160609,1539528.339999999850988,1410465.809999999823049,1561971.189999999944121,1543861.000000000000000,1443496.300000000046566,1559116.959999999962747,1517856.619999999878928,10576299.219999998807907
20160610,1527099.919999999925494,1414881.709999999729916,1540019.260000000009313,1533871.000000000000000,1444016.949999999953434,1543158.880000000121072,1497683.300000000046566,10500734.020000001415610
20160613,1528896.799999999813735,1420622.379999999888241,1526269.149999999906868,1514971.000000000000000,1433083.299999999813735,1530414.580000000074506,1464434.679999999934807,10418694.890000000596046
20160614,1516618.119999999878928,1419297.609999999869615,1497562.779999999795109,1518751.000000000000000,1446620.199999999953434,1527976.540000000037253,1467610.109999999636784,10394439.359999999403954
20160615,1506885.019999999785796,1395893.339999999850988,1494909.250000000000000,1514431.000000000000000,1439678.199999999953434,1521216.519999999785796,1460138.509999999776483,10333154.839999999850988
20160616,1513473.579999999841675,1399426.059999999823049,1500940.000000000000000,1552501.000000000000000,1447661.500000000000000,1536731.319999999832362,1463500.729999999748543,10414237.189999999478459
20160617,1520960.579999999841675,1402517.189999999944121,1502387.379999999888241,1509031.000000000000000,1442802.099999999860302,1525981.780000000027940,1438097.289999999804422,10341780.319999998435378
20160620,1536533.539999999804422,1420622.379999999888241,1504558.449999999953434,1515781.000000000000000,1441240.150000000139698,1535179.840000000083819,1444634.939999999944121,10398553.300000000745058
20160621,1545967.159999999916181,1427246.229999999981374,1518549.790000000037253,1518751.000000000000000,1447661.500000000000000,1531522.780000000027940,1444448.149999999906868,10434149.609999999403954
20160622,1531741.860000000102445,1425921.459999999729916,1512760.270000000018626,1540081.000000000000000,1450438.299999999813735,1528309.000000000000000,1429504.949999999953434,10418759.839999999850988
20160623,1563935.959999999962747,1456832.760000000009313,1545085.089999999850988,1557361.000000000000000,1461545.499999999767169,1542604.780000000027940,1461259.250000000000000,10588627.339999999850988
20160624,1525902.000000000000000,1393243.799999999813735,1437737.739999999990687,1508761.000000000000000,1427703.250000000000000,1521548.979999999981374,1401860.029999999795109,10216759.799999998882413
20160627,1502842.039999999804422,1356591.829999999841675,1389732.969999999972060,1493371.000000000000000,1409827.600000000093132,1519554.220000000204891,1369918.939999999944121,10041841.599999999627471
20160628,1521859.019999999785796,1377346.559999999823049,1435807.899999999906868,1500661.000000000000000,1431174.249999999767169,1537285.419999999925494,1403914.719999999739230,10208051.869999997317791
20160629,1548662.479999999981374,1410024.219999999739230,1476334.540000000037253,1540351.000000000000000,1456339.000000000000000,1557343.840000000083819,1433427.539999999804422,10422485.619999999180436
20160630,1569775.819999999832362,1448442.549999999813735,1499010.159999999916181,1555471.000000000000000,1469528.800000000046566,1564879.599999999860302,1385422.509999999776483,10492533.439999999478459
20160701,1559593.500000000000000,1446234.599999999860302,1477781.919999999925494,1564381.000000000000000,1471437.849999999860302,1561111.720000000204891,1391213.000000000000000,10471756.589999999850988
20160705,1550908.579999999841675,1443143.469999999739230,1436531.589999999850988,1566001.000000000000000,1482892.149999999906868,1568869.119999999878928,1394762.009999999776483,10443110.919999998062849
20160706,1566032.319999999832362,1455949.579999999841675,1451970.309999999823049,1597321.000000000000000,1475776.599999999860302,1577956.359999999869615,1383367.819999999832362,10508376.989999998360872
20160707,1543122.099999999860302,1466106.149999999906868,1451970.309999999823049,1587061.000000000000000,1472305.599999999860302,1560446.800000000046566,1383367.819999999832362,10464382.779999999329448
20160708,1568877.379999999888241,1501433.349999999860302,1491532.029999999795109,1602451.000000000000000,1488619.299999999813735,1565655.340000000083819,1427450.259999999776483,10646021.660000000149012
20160711,1578161.260000000009313,1518213.770000000018626,1502146.149999999906868,1602181.000000000000000,1488272.199999999953434,1555127.439999999944121,1429318.159999999683350,10673422.980000000447035
20160712,1598975.119999999878928,1542942.809999999823049,1524580.540000000037253,1609201.000000000000000,1488272.199999999953434,1550029.720000000204891,1447250.000000000000000,10761254.390000000596046
20160713,1597028.500000000000000,1546033.939999999711290,1523615.619999999878928,1607851.000000000000000,1490701.899999999906868,1567982.559999999823049,1446876.419999999692664,10780092.939999999478459
20160714,1597777.199999999953434,1554424.149999999906868,1546773.699999999953434,1610551.000000000000000,1490354.800000000046566,1560890.080000000074506,1459578.139999999897555,10820352.070000000298023
20160715,1602718.619999999878928,1548683.479999999981374,1548221.080000000074506,1610011.000000000000000,1492784.500000000000000,1566320.260000000009313,1462566.779999999795109,10831308.719999998807907
20160718,1588643.060000000055879,1547800.299999999813735,1542914.020000000018626,1593541.000000000000000,1491396.100000000093132,1559892.699999999953434,1462753.569999999832362,10786943.750000000000000
20160719,1587894.360000000102445,1552216.199999999720603,1540501.719999999972060,1583821.000000000000000,1495561.300000000046566,1580283.580000000074506,1470411.959999999729916,10810693.119999999180436
20160720,1581156.060000000055879,1576062.059999999823049,1542190.329999999841675,1587331.000000000000000,1480809.549999999813735,1585048.840000000083819,1482366.519999999785796,10834967.359999999403954
20160721,1578161.260000000009313,1513356.280000000027940,1536400.809999999823049,1587331.000000000000000,1479768.250000000000000,1583386.540000000037253,1471719.489999999990687,10750126.630000000819564
20160722,1582204.239999999757856,1530578.289999999804422,1544843.860000000102445,1588141.000000000000000,1487751.550000000046566,1592473.780000000027940,1492639.969999999739230,10818635.689999997615814
20160725,1543421.579999999841675,1531903.059999999823049,1540742.949999999953434,1581121.000000000000000,1489139.949999999953434,1570753.059999999823049,1474521.339999999850988,10731605.939999999478459
20160726,1537581.719999999972060,1549566.659999999916181,1547014.929999999934807,1575721.000000000000000,1479941.799999999813735,1570420.599999999860302,1466115.789999999804422,10726365.499999998137355
20160727,1531292.639999999897555,1538085.319999999832362,1551839.529999999795109,1582201.000000000000000,1465884.249999999767169,1570198.959999999962747,1466862.949999999953434,10706367.649999998509884
20160728,1524254.860000000102445,1535435.780000000027940,1546291.239999999757856,1577611.000000000000000,1471958.500000000000000,1582167.519999999785796,1479191.089999999850988,10716912.990000000223517
20160729,1534586.919999999925494,1539410.089999999850988,1543155.250000000000000,1583821.000000000000000,1485495.399999999906868,1587043.599999999860302,1457897.029999999795109,10731412.289999999105930
20160801,1484124.539999999804422,1538968.500000000000000,1539054.339999999850988,1583821.000000000000000,1499726.500000000000000,1590479.019999999785796,1461819.619999999878928,10697996.519999999552965
20160802,1491312.060000000055879,1526162.389999999897555,1535435.889999999897555,1574911.000000000000000,1505800.750000000000000,1586711.139999999897555,1462193.199999999953434,10682529.429999999701977
20160803,1506585.539999999804422,1512473.099999999860302,1559800.119999999878928,1556551.000000000000000,1492090.300000000046566,1583497.359999999869615,1470225.169999999692664,10681225.589999999850988
20160804,1503291.260000000009313,1527045.569999999832362,1557387.820000000065193,1561681.000000000000000,1493478.699999999953434,1581613.419999999925494,1484608.000000000000000,10709108.769999999552965
20160805,1505088.139999999897555,1544709.169999999692664,1599361.839999999850988,1724221.000000000000000,1488792.849999999860302,1584716.380000000121072,1496936.139999999897555,10943828.519999999552965
20160808,1515420.199999999953434,1547358.709999999729916,1594537.239999999757856,1697221.000000000000000,1488445.750000000000000,1575185.859999999869615,1493387.129999999888241,10911558.890000000596046
20160809,1517217.079999999841675,1542059.629999999888241,1588988.949999999953434,1687231.000000000000000,1492437.399999999906868,1571750.439999999944121,1495441.819999999832362,10895129.320000000298023
20160810,1499547.760000000009313,1524837.619999999878928,1574756.379999999888241,1691281.000000000000000,1497991.000000000000000,1575850.780000000027940,1488343.800000000046566,10852611.339999999850988
20160811,1518415.000000000000000,1531461.469999999739230,1579098.519999999785796,1718011.000000000000000,1505280.100000000093132,1580726.859999999869615,1496562.559999999823049,10929558.509999999776483
20160812,1529795.239999999757856,1526603.979999999981374,1575721.299999999813735,1710451.000000000000000,1510660.150000000139698,1583497.359999999869615,1494694.659999999683350,10931426.689999999478459
20160815,1538929.379999999888241,1541618.039999999804422,1585370.500000000000000,1709641.000000000000000,1510313.049999999813735,1569534.040000000037253,1511318.969999999739230,10966727.980000000447035
20160816,1536683.280000000027940,1554865.739999999990687,1585129.269999999785796,1702081.000000000000000,1502676.849999999860302,1563549.760000000009313,1509451.069999999832362,10954439.970000000670552
20160817,1530693.679999999934807,1546475.530000000027940,1589471.409999999916181,1708831.000000000000000,1509271.749999999767169,1570531.419999999925494,1510011.439999999944121,10965289.229999998584390
20160818,1550609.099999999860302,1544267.579999999841675,1590918.790000000037253,1718011.000000000000000,1517602.149999999906868,1575629.139999999897555,1499364.409999999683350,10996405.169999999925494
20160819,1532191.079999999841675,1556190.510000000009313,1588747.719999999972060,1710721.000000000000000,1515346.000000000000000,1574188.479999999981374,1503100.209999999729916,10980487.999999998137355
20160822,1526500.959999999962747,1561489.589999999850988,1587300.339999999850988,1715851.000000000000000,1507362.699999999953434,1574742.580000000074506,1514120.819999999832362,10987370.990000000223517
20160823,1522607.719999999972060,1563255.949999999720603,1586576.649999999906868,1716661.000000000000000,1516907.949999999953434,1573856.019999999785796,1509264.279999999795109,10989132.570000000298023
20160824,1530394.199999999953434,1552216.199999999720603,1590918.790000000037253,1693711.000000000000000,1515346.000000000000000,1550140.540000000037253,1499737.989999999990687,10932467.720000000670552
20160825,1525752.260000000009313,1549566.659999999916181,1593813.549999999813735,1682641.000000000000000,1525585.449999999953434,1521659.800000000046566,1500298.359999999636784,10899320.080000000074506
20160826,1517217.079999999841675,1557073.689999999711290,1597432.000000000000000,1696951.000000000000000,1520031.849999999860302,1514124.040000000037253,1504968.109999999636784,10907800.769999999552965
20160829,1528148.099999999860302,1569879.799999999813735,1615041.790000000037253,1701271.000000000000000,1532527.449999999953434,1521327.340000000083819,1510571.809999999823049,10978770.290000000968575
20160830,1522907.199999999953434,1576503.649999999906868,1628309.439999999944121,1693171.000000000000000,1519337.650000000139698,1516894.540000000037253,1516175.509999999776483,10973301.990000000223517
20160831,1506136.319999999832362,1584893.859999999869615,1628309.439999999944121,1695331.000000000000000,1515346.000000000000000,1507807.300000000046566,1511132.179999999934807,10948959.099999999627471
20160901,1500595.939999999711290,1590634.530000000027940,1621313.769999999785796,1698301.000000000000000,1532701.000000000000000,1504371.880000000121072,1518603.779999999795109,10966524.899999998509884
20160902,1511377.219999999972060,1593284.069999999832362,1628068.209999999729916,1700461.000000000000000,1530791.949999999953434,1514013.220000000204891,1531679.079999999841675,11009677.750000000000000
20160906,1533838.219999999972060,1614921.979999999981374,1626862.059999999823049,1707481.000000000000000,1538428.149999999906868,1506920.739999999990687,1541578.949999999953434,11070034.099999999627471
20160907,1540576.519999999785796,1610064.489999999990687,1620107.619999999878928,1697491.000000000000000,1526453.199999999953434,1496060.380000000121072,1554841.039999999804422,11045597.250000000000000
20160908,1559144.280000000027940,1609181.309999999823049,1622278.689999999944121,1707481.000000000000000,1523502.849999999860302,1501047.280000000027940,1549797.709999999729916,11072436.119999997317791
20160909,1516468.379999999888241,1565022.309999999823049,1607804.890000000130385,1687231.000000000000000,1496776.149999999906868,1480878.040000000037253,1519164.149999999906868,10873347.919999999925494
20160912,1531142.899999999906868,1593284.069999999832362,1617695.320000000065193,1706131.000000000000000,1531659.699999999953434,1502044.659999999916181,1549797.709999999729916,11031758.359999999403954
20160913,1488916.219999999972060,1572529.339999999850988,1604910.129999999888241,1668871.000000000000000,1510833.699999999953434,1484535.099999999860302,1529624.389999999897555,10860222.880000000819564
20160914,1473792.479999999981374,1572970.929999999701977,1601774.140000000130385,1656451.000000000000000,1510139.500000000000000,1481653.780000000027940,1522152.789999999804422,10818937.619999999180436
20160915,1489964.399999999906868,1614480.389999999897555,1607563.659999999916181,1684261.000000000000000,1528362.250000000000000,1502931.220000000204891,1531865.869999999878928,10959431.789999999105930
20160916,1465107.560000000055879,1663496.879999999888241,1587782.799999999813735,1681561.000000000000000,1528188.699999999953434,1534625.739999999990687,1532986.609999999636784,10993752.289999999105930
20160919,1468102.360000000102445,1640975.789999999804422,1596708.309999999823049,1655911.000000000000000,1533742.300000000046566,1525870.959999999962747,1541205.369999999878928,10962519.089999997988343
20160920,1463011.199999999953434,1640092.609999999869615,1603221.519999999785796,1672381.000000000000000,1537386.849999999860302,1523543.739999999990687,1540645.000000000000000,10980284.919999998062849
20160921,1491911.019999999785796,1653781.899999999906868,1612388.260000000009313,1692901.000000000000000,1523849.949999999953434,1550583.819999999832362,1554467.459999999729916,11079886.409999998286366
20160922,1497151.919999999925494,1658197.799999999813735,1625655.909999999916181,1701541.000000000000000,1544502.399999999906868,1563106.479999999981374,1557082.519999999785796,11147241.029999999329448
20160923,1485771.679999999934807,1642300.559999999823049,1622278.689999999944121,1699921.000000000000000,1523155.750000000000000,1557233.019999999785796,1541765.739999999990687,11072429.439999999478459
20160926,1479183.119999999878928,1618454.699999999720603,1586817.879999999888241,1678051.000000000000000,1524717.699999999953434,1548478.239999999990687,1528130.069999999832362,10963835.709999999031425
20160927,1482177.919999999925494,1641858.969999999739230,1600809.219999999972060,1689391.000000000000000,1533568.750000000000000,1560335.979999999981374,1534667.719999999739230,11042812.559999998658895
20160928,1529645.500000000000000,1653340.309999999823049,1609252.269999999785796,1709101.000000000000000,1552659.249999999767169,1556124.819999999832362,1549797.709999999729916,11159923.859999997541308
20160929,1516468.379999999888241,1648041.229999999981374,1583681.890000000130385,1671571.000000000000000,1531312.600000000093132,1532963.439999999944121,1530184.759999999776483,11014226.299999998882413
20160930,1541175.479999999981374,1667029.599999999860302,1606357.510000000009313,1685071.000000000000000,1557692.199999999953434,1551581.199999999953434,1544754.379999999888241,11153664.370000001043081
20161003,1534137.699999999953434,1663055.289999999804422,1604427.670000000158325,1688041.000000000000000,1538775.250000000000000,1534847.380000000121072,1547743.019999999785796,11111030.310000000521541
20161004,1516468.379999999888241,1657756.209999999729916,1606598.739999999757856,1686421.000000000000000,1533395.199999999953434,1531190.319999999832362,1545314.750000000000000,11077147.599999999627471
20161005,1530843.419999999925494,1677627.760000000009313,1632892.809999999823049,1695601.000000000000000,1542072.699999999953434,1524984.399999999906868,1556895.729999999748543,11160920.820000000298023
20161006,1530094.719999999972060,1681160.479999999981374,1637234.949999999953434,1691821.000000000000000,1548494.050000000046566,1512461.739999999990687,1557082.519999999785796,11158352.459999999031425
20161007,1531442.379999999888241,1682485.250000000000000,1643024.469999999972060,1694791.000000000000000,1562030.949999999953434,1514567.319999999832362,1548116.599999999860302,11176460.969999998807907
20161010,1557047.919999999925494,1678952.530000000027940,1655809.659999999916181,1725301.000000000000000,1545717.250000000000000,1530303.760000000009313,1552599.559999999823049,11245734.680000001564622
20161011,1542972.360000000102445,1645833.280000000027940,1647849.070000000065193,1672111.000000000000000,1536692.650000000139698,1493400.699999999953434,1532426.239999999990687,11071288.300000000745058
20161012,1529645.500000000000000,1639651.020000000018626,1643506.929999999934807,1664821.000000000000000,1537213.299999999813735,1497279.399999999906868,1536348.829999999841675,11048468.980000000447035
20161013,1509280.860000000102445,1632585.579999999841675,1634098.959999999729916,1687771.000000000000000,1531486.149999999906868,1487194.780000000027940,1529250.809999999823049,11011671.139999998733401
20161014,1513623.319999999832362,1653781.899999999906868,1628791.899999999906868,1677781.000000000000000,1534783.600000000093132,1484202.639999999897555,1540084.629999999888241,11033051.989999998360872
20161017,1517816.039999999804422,1646716.459999999729916,1620348.850000000093132,1661041.000000000000000,1524370.599999999860302,1486529.859999999869615,1534480.929999999934807,10991306.739999998360872
20161018,1524254.860000000102445,1667029.599999999860302,1633134.040000000037253,1676431.000000000000000,1517775.699999999953434,1589149.179999999701977,1523833.899999999906868,11131611.279999999329448
20161019,1531442.379999999888241,1568113.439999999711290,1648813.989999999757856,1670491.000000000000000,1484627.650000000139698,1600009.540000000037253,1546809.069999999832362,11050310.070000000298023
20161020,1525452.780000000027940,1564580.719999999739230,1646642.920000000158325,1671841.000000000000000,1474041.100000000093132,1607766.939999999944121,1541018.579999999841675,11031347.039999999105930
20161021,1516917.599999999860302,1552216.199999999720603,1652191.209999999729916,1652401.000000000000000,1463628.099999999860302,1611091.540000000037253,1538216.729999999748543,10986665.379999998956919
20161024,1507334.239999999757856,1557073.689999999711290,1661357.949999999953434,1640251.000000000000000,1459636.449999999953434,1603555.780000000027940,1553533.509999999776483,10982745.619999999180436
20161025,1508981.379999999888241,1550008.250000000000000,1659669.339999999850988,1672651.000000000000000,1509445.300000000046566,1593471.159999999916181,1532239.449999999953434,11026468.879999998956919
20161026,1515270.459999999962747,1542059.629999999888241,1667629.929999999934807,1643491.000000000000000,1516907.949999999953434,1576294.059999999823049,1527009.329999999841675,10988665.359999999403954
20161027,1496253.479999999981374,1537202.139999999897555,1670042.229999999981374,1654831.000000000000000,1502676.849999999860302,1573080.280000000027940,1530184.759999999776483,10964273.739999998360872
20161028,1554652.079999999841675,1534111.010000000009313,1667147.469999999972060,1588681.000000000000000,1507189.149999999906868,1555459.899999999906868,1535788.459999999729916,10943032.069999998435378
20161031,1568577.899999999906868,1539851.679999999701977,1670765.920000000158325,1585441.000000000000000,1506494.949999999953434,1566320.260000000009313,1541205.369999999878928,10978660.080000000074506
20161101,1594482.919999999925494,1524396.030000000027940,1663770.250000000000000,1601101.000000000000000,1507362.699999999953434,1545264.459999999962747,1524581.059999999823049,10960961.419999999925494
20161102,1578161.260000000009313,1527928.750000000000000,1656774.580000000074506,1588681.000000000000000,1505453.649999999906868,1540277.559999999823049,1505154.899999999906868,10902434.700000001117587
20161103,1578161.260000000009313,1498342.219999999739230,1649537.679999999934807,1577611.000000000000000,1503023.949999999953434,1527533.260000000009313,1506462.429999999934807,10840674.799999998882413
20161104,1569027.119999999878928,1484211.339999999850988,1634581.420000000158325,1588141.000000000000000,1476644.349999999860302,1526203.419999999925494,1501045.519999999785796,10779857.169999998062849
20161107,1600023.299999999813735,1531903.059999999823049,1685722.179999999934807,1621351.000000000000000,1502329.750000000000000,1572969.459999999962747,1541205.369999999878928,11055507.119999999180436
20161108,1606611.860000000102445,1534111.010000000009313,1689340.629999999888241,1633771.000000000000000,1517949.249999999767169,1583719.000000000000000,1548116.599999999860302,11113622.349999999627471
20161109,1611852.760000000009313,1534552.599999999860302,1767016.689999999944121,1732861.000000000232831,1491396.100000000093132,1572637.000000000000000,1554841.039999999804422,11265160.189999999478459
20161110,1614098.860000000102445,1523512.849999999860302,1849034.890000000130385,1753920.999999999767169,1439851.749999999767169,1619513.859999999869615,1529250.809999999823049,11329187.019999999552965
