代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16170162.640000000596046
真實報酬,6170162.640000000596046

夏普值報酬,0.608316264000000
夏普值風險,0.137477899917776
夏普值,4.424829477056510

預期報酬,27166.869673789198714
風險,364205.417617667932063
趨勢值,0.074592162443636
找到最佳解世代,2271
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](3),UNH[23](1),WBA[27](4),
20100817,3803178.540000000037253,3796944.500000000000000,3523094.359999999869615,11123218.400000000372529
20100818,3763440.360000000335276,3819244.799999999813735,3521845.930000000167638,11104532.089999999850988
20100819,3747077.580000000074506,3731217.299999999813735,3515603.779999999795109,10993899.660000000149012
20100820,3721364.640000000130385,3710090.699999999720603,3551808.250000000000000,10983264.589999999850988
20100823,3763440.360000000335276,3697180.000000000000000,3555553.540000000037253,11016174.900000000372529
20100824,3697989.240000000223517,3643189.799999999813735,3489386.750000000000000,10830566.789999999105930
20100825,3737727.419999999925494,3751170.200000000186265,3433207.399999999906868,10922106.019999999552965
20100826,3716689.560000000055879,3738259.500000000000000,3388263.919999999925494,10843213.980000000447035
20100827,3761102.819999999832362,3799291.899999999906868,3410735.660000000149012,10971131.379999998956919
20100830,3707339.399999999906868,3745301.700000000186265,3394506.070000000298023,10847148.169999999925494
20100831,3719027.100000000093132,3723001.399999999906868,3355804.739999999757856,10797834.240000000223517
20100901,3805516.080000000074506,3825113.300000000279397,3456927.570000000298023,11087557.950000001117587
20100902,3833566.559999999590218,3856803.199999999720603,3533081.799999999813735,11223452.559999998658895
20100903,3847591.800000000279397,3980041.699999999720603,3533081.799999999813735,11360716.300000000745058
20100907,3817203.779999999795109,3964783.600000000093132,3556801.969999999739230,11338790.349999999627471
20100908,3870967.199999999720603,3972999.500000000000000,3579273.709999999962747,11423241.410000000149012
20100909,3920055.540000000037253,3992952.400000000372529,3585515.859999999869615,11498524.800000000745058
20100910,3971481.419999999459833,4048116.300000000279397,3615478.180000000167638,11635076.900000000372529
20100913,3966806.339999999850988,4075111.399999999906868,3627962.479999999515712,11669881.219999998807907
20100914,3992519.279999999795109,4062200.699999999720603,3647937.359999999869615,11702658.339999999850988
20100915,4036932.540000000037253,4022294.900000000372529,3646688.930000000167638,11705917.370000001043081
20100916,4013557.140000000130385,4018773.800000000279397,3635453.060000000055879,11667785.000000000000000
20100917,3987844.199999999720603,4005863.100000000093132,3646688.930000000167638,11640397.230000000447035
20100920,4036932.540000000037253,4099759.100000000093132,3650434.219999999739230,11787126.859999999403954
20100921,4006544.520000000018626,4138491.199999999720603,3710358.859999999869615,11855395.580000000074506
20100922,4025244.839999999850988,4187786.600000000093132,3719097.869999999646097,11932130.309999998658895
20100923,3983169.119999999646097,4159617.799999999813735,3684141.830000000074506,11826929.750000000000000
20100924,4067320.559999999590218,4193655.099999999627471,3790258.379999999888241,12051235.039999999105930
20100927,4013557.140000000130385,4149054.500000000000000,3789009.950000000186265,11951622.589999999850988
20100928,4074333.179999999701977,4112669.799999999813735,4220966.730000000447035,12407970.710000000894070
20100929,4067320.559999999590218,4131449.000000000465661,4198494.990000000223517,12397265.550000000745058
20100930,4013557.140000000130385,4120885.699999999720603,4182265.399999999906868,12316709.240000000223517
20101001,4015894.679999999701977,4158444.100000000093132,4204737.140000000596046,12379076.919999999925494
20101004,3950443.559999999590218,4053984.799999999813735,4133576.629999999888241,12138005.989999998360872
20101005,4027582.379999999888241,4116190.899999999906868,4242190.039999999105930,12385964.319999998435378
20101006,4018232.220000000204891,3996473.499999999534339,4248432.189999999478459,12263138.910000000149012
20101007,4062645.479999999515712,4030510.800000000279397,4228457.309999998658895,12321614.589999997988343
20101008,4081345.800000000279397,4031684.500000000000000,4242190.039999999105930,12355221.339999999850988
20101011,4062645.479999999515712,4066895.500000000000000,4213476.150000000372529,12343018.129999998956919
20101012,4086020.879999999888241,4110322.400000000372529,4249680.619999999180436,12446024.899999998509884
20101013,4144459.379999999888241,4145533.399999999906868,4344561.299999998882413,12634555.079999998211861
20101014,4128096.600000000093132,4199523.600000000558794,4305859.970000000670552,12633481.170000001788139
20101015,4149134.459999999962747,4222997.599999999627471,4317095.839999999850988,12689228.899999998509884
20101018,4160822.160000000149012,4254687.500000000000000,4295872.529999999329448,12711383.189999999478459
20101019,4064983.020000000018626,4143185.999999999534339,4198494.990000000223517,12406665.009999999776483
20101020,4128096.600000000093132,4311025.099999999627471,4248432.189999999478459,12687554.889999998733401
20101021,4121083.979999999515712,4282856.299999999813735,4257171.199999999254942,12661112.479999998584390
20101022,4090695.959999999962747,4373231.200000000186265,4253425.910000000149012,12717354.070000000298023
20101025,4118746.440000000409782,4408442.200000000186265,4299617.820000000298023,12826807.460000000894070
20101026,4088358.419999999459833,4409615.900000000372529,4262164.919999999925494,12760140.240000000223517
20101027,4039270.080000000074506,4217129.099999999627471,4238444.750000000000000,12494844.929999999701977
20101028,4107058.740000000223517,4254687.500000000000000,4262164.919999999925494,12623912.160000000149012
20101029,4071995.640000000130385,4231213.500000000000000,4229705.740000000223517,12532915.880000000819564
20101101,4118746.440000000409782,4238255.700000000186265,4250929.049999998882413,12607932.189999999478459
20101102,4079008.259999999776483,4342715.000000000000000,4305859.970000000670552,12727584.230000000447035
20101103,4111733.819999999832362,4302809.199999999254942,4392001.640000000596046,12806545.660000000149012
20101104,4062645.479999999515712,4319241.000000000000000,4488130.750000000000000,12870018.230000000447035
20101105,4015894.679999999701977,4326283.200000000186265,4387007.919999999925494,12729186.800000000745058
20101108,3985506.660000000149012,4356799.399999999441206,4380765.769999999552965,12723072.829999998211861
20101109,3971481.419999999459833,4340367.599999999627471,4399492.220000000670552,12711342.240000000223517
20101110,3934080.779999999795109,4361494.199999999254942,4383262.629999998956919,12678838.609999997541308
20101111,3969143.879999999888241,4397878.899999999441206,4395746.929999999701977,12762770.709999999031425
20101112,3938755.860000000335276,4303982.900000000372529,4348306.589999999850988,12591046.350000001490116
20101115,3915380.459999999962747,4163138.899999999906868,4308356.830000000074506,12386877.189999999478459
20101116,3880317.360000000335276,4109148.699999999720603,4245935.330000000074506,12235402.390000000596046
20101117,3852266.879999999888241,4146707.099999999627471,4245935.330000000074506,12244910.309999998658895
20101118,3934080.779999999795109,4181918.100000000093132,4297120.960000000894070,12413120.839999999850988
20101119,3927068.160000000149012,4225345.000000000000000,4339567.580000000074506,12491981.740000000223517
20101122,3887329.979999999515712,4279335.200000000186265,4355797.169999999925494,12522463.349999999627471
20101123,3873304.740000000223517,4231213.500000000000000,4242190.039999999105930,12346709.279999999329448
20101124,3901355.220000000204891,4246471.599999999627471,4283388.230000000447035,12431216.050000000745058
20101126,3854604.419999999459833,4211260.600000000558794,4204737.140000000596046,12270603.160000000149012
20101129,3870967.199999999720603,4294593.300000000745058,4344561.299999998882413,12510122.799999998882413
20101130,3810191.160000000149012,4286377.400000000372529,4350803.449999999254942,12447373.009999999776483
20101201,3903692.759999999776483,4421352.900000000372529,4453174.710000000894070,12778221.370000001043081
20101202,3901355.220000000204891,4465953.500000000000000,4508105.629999998956919,12875415.349999999627471
20101203,3908367.839999999850988,4438958.400000000372529,4601737.879999998956919,12949065.119999999180436
20101206,3929405.699999999720603,4376752.299999999813735,4538067.949999999254942,12844226.949999999254942
20101207,3920055.540000000037253,4315719.900000000372529,4521838.359999999403954,12757614.800000000745058
20101208,3908367.839999999850988,4323935.800000000745058,4553049.109999999403954,12785353.750000000000000
20101209,3917718.000000000465661,4301635.500000000000000,4540564.809999998658895,12759919.309999998658895
20101210,3978494.040000000037253,4303982.900000000372529,4548055.390000000596046,12830533.330000001937151
20101213,4018232.220000000204891,4330978.000000000000000,4549303.820000000298023,12898515.040000000968575
20101214,3999531.899999999906868,4284030.000000000000000,4588005.150000000372529,12871568.050000000745058
20101215,3992519.279999999795109,4160791.500000000465661,4635445.490000000223517,12788757.269999999552965
20101216,4025244.839999999850988,4179570.699999999720603,4709102.859999999403954,12913919.399999998509884
20101217,3980831.580000000074506,4113843.499999999534339,4691624.839999999850988,12786300.919999999925494
20101220,4013557.140000000130385,4129101.600000000093132,4654171.939999999478459,12796831.679999999701977
20101221,4062645.479999999515712,4146707.099999999627471,4597992.589999999850988,12807346.169999998062849
20101222,4104721.199999999720603,4206565.800000000745058,4850175.449999999254942,13161463.449999999254942
20101223,4116408.899999999906868,4198349.900000000372529,4892622.070000000298023,13207381.870000001043081
20101227,4088358.419999999459833,4171354.799999999813735,4863908.179999999701977,13123622.399999998509884
20101228,4111733.819999999832362,4192481.399999999906868,4927578.109999999403954,13231794.329999998211861
20101229,4114071.360000000335276,4214781.699999999254942,4928826.539999999105930,13257680.599999997764826
20101230,4088358.419999999459833,4218302.799999999813735,4898864.220000000670552,13205526.439999999478459
20101231,4093033.500000000465661,4238255.700000000186265,4863908.179999999701977,13195198.380000000819564
20110103,4132771.679999999701977,4357973.100000000558794,4908851.660000000149012,13399597.440000001341105
20110104,4205235.419999999925494,4397878.899999999441206,4950049.849999999627471,13553165.169999999925494
20110105,4233285.899999999441206,4411963.300000000745058,5018713.500000000000000,13663963.699999999254942
20110106,4249648.679999999701977,4503511.899999999441206,5033694.660000000149012,13786856.239999998360872
20110107,4287049.320000000298023,4512901.500000000000000,5003732.339999999850988,13803684.160000000149012
20110110,4268349.000000000000000,4512901.500000000000000,5112345.750000000000000,13893597.250000000000000
20110111,4258998.839999999850988,4586844.599999999627471,5097364.589999999850988,13943209.029999999329448
20110112,4294061.940000000409782,4561023.200000000186265,5143556.500000000000000,13998642.640000000596046
20110113,4258998.839999999850988,4647877.000000000000000,5198487.419999999925494,14105364.259999999776483
20110114,4287049.320000000298023,4785199.900000000372529,5173518.820000000298023,14245769.040000000968575
20110118,4296399.479999999515712,4798110.600000000558794,5239685.609999999403954,14334196.689999999478459
20110119,4282374.240000000223517,4760552.200000000186265,5153543.939999999478459,14196471.380000000819564
20110120,4263673.919999999925494,4731209.700000000186265,5194742.129999998956919,14189626.750000000000000
20110121,4291724.399999999441206,4742946.699999999254942,5204729.570000000298023,14239401.669999998062849
20110124,4312762.259999999776483,4672524.700000000186265,5179760.970000000670552,14165048.930000001564622
20110125,4317437.339999999850988,4767594.399999999441206,5148550.220000000670552,14233582.959999999031425
20110126,4291724.399999999441206,4724167.500000000000000,5154792.369999999180436,14170685.269999997690320
20110127,4319774.879999999888241,4963602.299999999813735,5127326.910000000149012,14410705.089999999850988
20110128,4242636.059999999590218,4803979.099999999627471,5038688.379999998956919,14085304.539999999105930
20110131,4258998.839999999850988,4818063.500000000000000,5048675.820000000298023,14125739.160000000149012
20110201,4492752.839999999850988,4937780.900000000372529,5272144.789999999105930,14702679.529999999329448
20110202,4431976.799999999813735,4923696.500000000000000,5239685.609999999403954,14595359.910000000149012
20110203,4481065.140000000596046,5051629.799999999813735,5282132.230000000447035,14814828.170000001788139
20110204,4511453.160000000149012,4987076.299999999813735,5289622.809999998658895,14788153.269999999552965
20110207,4450677.120000000111759,4907264.700000000186265,5282132.230000000447035,14640075.050000000745058
20110208,4478727.599999999627471,4926043.899999999441206,5340808.439999999478459,14745580.939999999478459
20110209,4453014.660000000149012,4937780.900000000372529,5325827.279999999329448,14716623.839999999850988
20110210,4448339.580000000074506,4980034.099999999627471,5315839.839999999850988,14744214.519999999552965
20110211,4401588.779999999329448,4974165.600000000558794,5315839.839999999850988,14691595.219999998807907
20110214,4453014.660000000149012,4983555.200000000186265,5264654.210000000894070,14701225.070000000298023
20110215,4453014.660000000149012,4933086.100000000558794,5285877.519999999552965,14671979.280000001192093
20110216,4506778.080000000074506,4988250.000000000000000,5267151.070000000298023,14762180.150000000372529
20110217,4527815.940000000409782,4998813.300000000745058,5319585.129999998956919,14846215.370000001043081
20110218,4485740.220000000670552,5028155.800000000745058,5335814.720000000670552,14849711.740000002086163
20110222,4415614.020000000484288,5042240.200000000186265,5265902.640000000596046,14723757.860000001266599
20110223,4385226.000000000000000,5036371.699999999254942,5147301.789999999105930,14568900.489999998360872
20110224,4417951.559999999590218,5017592.500000000000000,5158537.660000000149012,14594082.719999998807907
20110225,4408601.399999999441206,4990597.400000000372529,5239685.609999999403954,14638885.410000000149012
20110228,4497427.919999999925494,4997639.599999999627471,5410720.519999999552965,14905789.039999999105930
20110301,4474052.520000000484288,4982381.500000000000000,5333317.859999999403954,14789752.879999998956919
20110302,4485740.220000000670552,5112662.200000000186265,5223456.019999999552965,14821859.440000001341105
20110303,4621317.540000000037253,5257027.299999999813735,5309597.689999999478459,15187943.529999999329448
20110304,4595604.599999999627471,5217121.500000000000000,5272144.789999999105930,15084871.889999998733401
20110307,4583916.899999999441206,5112662.200000000186265,5224704.449999999254942,14921284.549999998882413
20110308,4600279.679999999701977,5144352.099999999627471,5292119.669999999925494,15036752.449999999254942
20110309,4595604.599999999627471,5221816.299999999813735,5319585.129999998956919,15137007.029999997466803
20110310,4525478.399999999441206,5139657.299999999813735,5238437.179999999701977,14903573.879999998956919
20110311,4551191.339999999850988,5116183.300000000745058,5234691.890000000596046,14902067.530000001192093
20110314,4630667.699999999254942,5065714.199999999254942,5192245.269999999552965,14888628.169999998062849
20110315,4618980.000000000000000,5022287.299999999813735,5127326.910000000149012,14768595.210000000894070
20110316,4511453.160000000149012,4913133.200000000186265,5069899.129999998956919,14494486.489999998360872
20110317,4647030.479999999515712,4961254.900000000372529,5139811.210000000894070,14748097.589999999850988
20110318,4717156.679999999701977,4999987.000000000000000,5107352.029999999329448,14824496.709999999031425
20110321,4670405.879999999888241,5069235.299999999813735,5239685.609999999403954,14979327.789999999105930
20110322,4661055.720000000670552,5016418.799999999813735,4895118.929999999701977,14572594.449999999254942
20110323,4656380.640000000596046,5017592.500000000000000,4972521.589999999850988,14646495.730000000447035
20110324,4745207.160000000149012,5140831.000000000000000,4987502.750000000000000,14873541.910000000149012
20110325,4756894.860000000335276,5134962.500000000000000,4948801.419999999925494,14840659.779999999329448
20110328,4738194.540000000037253,5149046.899999999441206,4903857.939999999478459,14791100.379999998956919
20110329,4763907.479999999515712,5220642.599999999627471,4985005.890000000596046,14969556.969999998807907
20110330,4754557.320000000298023,5328623.000000000000000,4993744.900000000372529,15076926.220000000670552
20110331,4747544.699999999254942,5305149.000000000000000,5011222.919999999925494,15063917.619999999180436
20110401,4763907.479999999515712,5353270.700000000186265,5111097.320000000298023,15228276.500000000000000
20110404,4801308.120000000111759,5352097.000000000000000,5097364.589999999850988,15250770.710000000894070
20110405,4780270.259999999776483,5292238.300000000745058,5132320.629999998956919,15204830.189999999478459
20110406,4742869.620000000111759,5276980.200000000186265,5146053.359999999403954,15165904.179999999701977
20110407,4752219.779999999329448,5214774.099999999627471,5159786.089999999850988,15126780.969999998807907
20110408,4782607.799999999813735,5208905.600000000558794,5119836.330000000074506,15111350.730000000447035
20110411,4831696.140000000596046,5201863.400000000372529,5161034.519999999552965,15194595.060000000521541
20110412,4782607.799999999813735,5259374.700000000186265,5152295.509999999776483,15194279.009999999776483
20110413,4782607.799999999813735,5203037.099999999627471,5158537.660000000149012,15144183.559999998658895
20110414,4789620.419999999925494,5260548.400000000372529,5174767.250000000000000,15224937.070000000298023
20110415,4798970.580000000074506,5279327.599999999627471,5227201.309999998658895,15305500.489999998360872
20110418,4768582.559999999590218,5111488.500000000000000,5199735.849999999627471,15079807.909999998286366
20110419,4798970.580000000074506,5159610.200000000186265,5289622.809999998658895,15248204.589999999850988
20110420,4766245.020000000484288,5192473.799999999813735,5313342.980000000447035,15272062.800000000745058
20110421,4625992.620000000111759,5611484.700000000186265,5329572.570000000298023,15567050.890000000596046
20110425,4707806.520000000484288,5599747.700000000186265,5299610.250000000000000,15607165.470000000670552
20110426,4719494.220000000670552,5557494.500000000000000,5352044.309999998658895,15629034.029999999329448
20110427,4822345.979999999515712,5658432.700000000186265,5353292.740000000223517,15834072.419999999925494
20110428,4869096.779999999329448,5762892.000000000000000,5389497.210000000894070,16021486.990000000223517
20110429,4901822.339999999850988,5778150.099999999627471,5333317.859999999403954,16013291.299999998882413
20110502,4913510.040000000037253,5854440.600000000558794,5282132.230000000447035,16050083.870000001043081
20110503,4777932.720000000670552,5830966.599999999627471,5383255.059999998658895,15992155.379999998956919
20110504,4824683.520000000484288,5816882.200000000186265,5340808.439999999478459,15982375.160000000149012
20110505,4766245.020000000484288,5819229.599999999627471,5305852.400000000372529,15891328.020000001415610
20110506,4803645.660000000149012,5882609.399999999441206,5285877.519999999552965,15972133.579999998211861
20110509,4815333.360000000335276,5923688.899999999441206,5380758.199999999254942,16119781.459999999031425
20110510,4876109.399999999441206,5928383.700000000186265,5430695.400000000372529,16235189.500000000000000
20110511,4817670.899999999441206,5870872.400000000372529,5504352.769999999552965,16192897.070000000298023
20110512,4883122.020000000484288,5877914.599999999627471,5609220.890000000596046,16370258.510000001639128
20110513,4890134.640000000596046,5862656.500000000000000,5614214.609999999403954,16367006.750000000000000
20110516,4904159.879999999888241,5888477.900000000372529,5632941.059999998658895,16425579.839999999850988
20110517,4941560.520000000484288,5867351.299999999813735,5530569.799999998882413,16339482.619999999180436
20110518,4950910.679999999701977,5940120.700000000186265,5516837.070000000298023,16407869.449999999254942
20110519,4915847.580000000074506,5933078.500000000000000,5521830.789999999105930,16370757.869999999180436
20110520,4836371.220000000670552,5838008.799999999813735,5539308.809999998658895,16213689.829999998211861
20110523,4812995.820000000298023,5769934.199999999254942,5555538.400000000372529,16138469.419999999925494
20110524,4796633.040000000037253,5629090.200000000186265,5529321.369999999180436,15955045.609999999403954
20110525,4857409.080000000074506,5618526.899999999441206,5510594.919999999925494,15986531.900000000372529
20110526,4885459.559999999590218,5598574.000000000000000,5455664.000000000000000,15939698.559999998658895
20110527,4892472.179999999701977,5668996.000000000000000,5456912.429999999701977,16018381.609999999403954
20110531,5014024.259999999776483,5745286.500000000000000,5446924.990000000223517,16206236.750000000000000
20110601,4920522.660000000149012,5674864.500000000000000,5408223.660000000149012,16003611.820000000298023
20110602,4908834.959999999962747,5796929.299999999813735,5395739.359999999403954,16101504.619999999180436
20110603,4871434.320000000298023,5733549.500000000000000,5387000.349999999627471,15991985.169999999925494
20110606,4848058.919999999925494,5651390.500000000000000,5360783.320000000298023,15860233.740000000223517
20110607,4848058.919999999925494,5630263.899999999441206,5359534.890000000596046,15837858.710000000894070
20110608,4834033.679999999701977,5657259.000000000000000,5390745.640000000596046,15882039.320000000298023
20110609,4850396.459999999962747,5938947.000000000000000,5443179.699999999254942,16232524.160000000149012
20110610,4700793.899999999441206,5799276.699999999254942,5364528.609999999403954,15864600.209999997168779
20110613,4782607.799999999813735,5764065.700000000186265,5430695.400000000372529,15977369.900000000372529
20110614,4810658.279999999329448,5821577.000000000000000,5505601.199999999254942,16137837.479999998584390
20110615,4719494.220000000670552,5792234.500000000000000,5466899.869999999180436,15978629.589999999850988
20110616,4731181.919999999925494,5828619.199999999254942,5540557.240000000223517,16100359.359999999403954
20110617,4735857.000000000000000,5863830.200000000186265,5576761.710000000894070,16176449.910000000149012
20110620,4738194.540000000037253,6017584.900000000372529,5640431.640000000596046,16396212.080000001937151
20110621,4775595.179999999701977,6129086.399999999441206,5403229.939999999478459,16307912.519999997690320
20110622,4740532.080000000074506,6077443.600000000558794,5324578.849999999627471,16142555.529999999329448
20110623,4827021.059999999590218,6003500.500000000000000,5317088.269999999552965,16147610.829999998211861
20110624,4693781.279999999329448,5922515.200000000186265,5167276.669999999925494,15783574.150000000372529
20110627,4714819.140000000596046,5989416.100000000558794,5208474.859999999403954,15912711.100000001490116
20110628,4803645.660000000149012,6076269.900000000372529,5192245.269999999552965,16072161.830000000074506
20110629,4831696.140000000596046,6049274.799999999813735,5213468.580000000074506,16094440.520000001415610
20110630,4815333.360000000335276,6053969.599999999627471,5300858.679999999701977,16170162.640000000596046
