代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13422152.160000000149012
真實報酬,3422152.160000000149012

夏普值報酬,0.333515216000000
夏普值風險,0.087458212057965
夏普值,3.813423670026037

預期報酬,14617.002568484173025
風險,161114.791172152588842
趨勢值,0.090724150539759
找到最佳解世代,2306
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
20160808,1889285.410000000381842,1696438.560000000055879,1834403.919999999925494,1608956.260000000009313,1891080.189999999944121,1796542.599999999860302,10716710.939999999478459
20160809,1896955.930000000167638,1701956.750000000000000,1820993.679999999934807,1610864.019999999785796,1895640.130000000121072,1799014.299999999813735,10725428.809999998658895
20160810,1882835.200000000186265,1697593.530000000027940,1817036.560000000055879,1592104.379999999888241,1889777.350000000093132,1790475.699999999953434,10669826.720000000670552
20160811,1881614.890000000363216,1706833.290000000037253,1830007.119999999878928,1612135.860000000102445,1898897.229999999748543,1800362.500000000000000,10729854.890000000596046
20160812,1885973.140000000363216,1708116.589999999850988,1824730.959999999962747,1624218.339999999850988,1887171.669999999925494,1798115.499999999767169,10728330.199999999254942
20160815,1908636.040000000270084,1728136.070000000065193,1850012.560000000055879,1633916.119999999878928,1893034.449999999953434,1818113.799999999813735,10831853.039999999105930
20160816,1906892.739999999990687,1732499.290000000037253,1853090.320000000065193,1631531.419999999925494,1870886.169999999925494,1815866.799999999813735,10810770.740000002086163
20160817,1904103.460000000195578,1728906.050000000046566,1855728.399999999906868,1625172.219999999972060,1874794.689999999944121,1816540.899999999906868,10805249.720000000670552
20160818,1901662.840000000083819,1732499.290000000037253,1833084.879999999888241,1646316.559999999823049,1876097.530000000027940,1803732.999999999767169,10793398.099999999627471
20160819,1906544.080000000074506,1725312.810000000055879,1843197.520000000018626,1626762.019999999785796,1876748.949999999953434,1808226.999999999767169,10786796.379999998956919
20160822,1891726.030000000260770,1732370.960000000195578,1837701.520000000018626,1620720.779999999795109,1878377.500000000000000,1821484.299999999813735,10782385.089999999850988
20160823,1897653.250000000000000,1721462.909999999916181,1846934.800000000046566,1616587.300000000046566,1885543.119999999878928,1815642.099999999860302,10783827.479999998584390
20160824,1883358.190000000176951,1710554.859999999869615,1828028.560000000055879,1624854.260000000009313,1887497.380000000121072,1804182.399999999906868,10738479.650000000372529
20160825,1875339.010000000009313,1706576.629999999888241,1821213.520000000018626,1619925.879999999888241,1894663.000000000000000,1804856.499999999767169,10722578.539999999105930
20160826,1864356.220000000204891,1696951.879999999888241,1817256.399999999906868,1610864.019999999785796,1890103.060000000055879,1810473.999999999767169,10690009.580000000074506
20160829,1862264.260000000009313,1705549.990000000223517,1826929.359999999869615,1622469.559999999823049,1892383.030000000027940,1817215.000000000000000,10726815.199999999254942
20160830,1847969.200000000186265,1678729.020000000018626,1813299.280000000027940,1616905.260000000009313,1885543.119999999878928,1823956.000000000000000,10666405.879999998956919
20160831,1849712.500000000000000,1661276.139999999897555,1801647.760000000009313,1599099.500000000000000,1871537.589999999850988,1817889.100000000093132,10601166.589999997988343
20160901,1860695.290000000270084,1667050.990000000223517,1790655.760000000009313,1593217.239999999757856,1875771.820000000065193,1826877.099999999860302,10614272.199999999254942
20160902,1878128.290000000270084,1683220.570000000065193,1795931.919999999925494,1604663.800000000046566,1878377.500000000000000,1842606.099999999860302,10682932.179999999701977
20160906,1877605.300000000279397,1706704.960000000195578,1804505.679999999934807,1628510.800000000046566,1876423.239999999990687,1854515.199999999953434,10748269.179999999701977
20160907,1889111.080000000074506,1702213.409999999916181,1840559.439999999944121,1635664.899999999906868,1878051.789999999804422,1870468.899999999674037,10816073.519999999552965
20160908,1839601.360000000102445,1705549.990000000223517,1836602.320000000065193,1655378.419999999925494,1870560.459999999962747,1864401.999999999767169,10772098.550000000745058
20160909,1797936.489999999990687,1649469.780000000027940,1776146.320000000065193,1610069.119999999878928,1830823.839999999850988,1827551.199999999720603,10492000.750000000000000
20160912,1838206.720000000204891,1669874.250000000000000,1800988.239999999990687,1625649.159999999916181,1858183.479999999748543,1864401.999999999767169,10657307.849999999627471
20160913,1881963.550000000279397,1652421.369999999878928,1763835.280000000027940,1580816.800000000046566,1841246.560000000055879,1840134.399999999906868,10560421.960000000894070
20160914,1948557.610000000102445,1638433.400000000139698,1781202.639999999897555,1564759.819999999832362,1832452.389999999897555,1831146.399999999674037,10596556.260000001639128
20160915,2014803.010000000009313,1639716.699999999953434,1803406.479999999981374,1581929.659999999916181,1862743.419999999925494,1842830.800000000046566,10745434.070000000298023
20160916,2003471.560000000288710,1625985.390000000130385,1803846.159999999916181,1555538.979999999981374,1864697.679999999934807,1844178.999999999767169,10697722.769999999552965
20160919,1980111.340000000083819,1635995.130000000121072,1800108.879999999888241,1558718.580000000074506,1854274.959999999962747,1854065.800000000046566,10683278.690000001341105
20160920,1979937.010000000009313,1639973.360000000102445,1796151.760000000009313,1553313.260000000009313,1850366.439999999944121,1853391.699999999953434,10673137.529999999329448
20160921,1979588.350000000093132,1675520.770000000018626,1835063.439999999944121,1583996.399999999906868,1881308.889999999897555,1870019.499999999767169,10825501.350000001490116
20160922,1998241.660000000381842,1692332.000000000000000,1835722.959999999962747,1589560.699999999953434,1883263.149999999906868,1873165.299999999813735,10872289.769999999552965
20160923,1964944.630000000121072,1691177.030000000027940,1812419.919999999925494,1577478.219999999972060,1870560.459999999962747,1854739.899999999906868,10771324.160000000149012
20160926,1967908.239999999990687,1675649.099999999860302,1810881.040000000037253,1570483.099999999860302,1853297.829999999841675,1838336.799999999813735,10716560.109999999403954
20160927,1971569.170000000158325,1685273.849999999860302,1822092.879999999888241,1573662.699999999953434,1887497.380000000121072,1846201.299999999813735,10786301.280000001192093
20160928,1986561.550000000279397,1696951.879999999888241,1903653.520000000018626,1624059.360000000102445,1890103.060000000055879,1864401.999999999767169,10965735.370000001043081
20160929,1955705.140000000363216,1681552.280000000027940,1922999.439999999944121,1610069.119999999878928,1869583.329999999841675,1840808.500000000000000,10880721.810000000521541
20160930,1970871.850000000093132,1690663.710000000195578,1951578.639999999897555,1636300.819999999832362,1876097.530000000027940,1858335.099999999860302,10983851.649999998509884
20161003,1961632.360000000102445,1698876.830000000074506,1940806.479999999981374,1628828.760000000009313,1870234.750000000000000,1861930.299999999813735,10962313.480000000447035
20161004,1970000.200000000186265,1697208.540000000037253,1923878.800000000046566,1610069.119999999878928,1864371.969999999972060,1859009.199999999953434,10924541.830000000074506
20161005,1970871.850000000093132,1728136.070000000065193,1965868.239999999990687,1625331.199999999953434,1877400.369999999878928,1872940.599999999627471,11040552.330000000074506
20161006,1985515.570000000298023,1725056.149999999906868,1963010.320000000065193,1624536.300000000046566,1880657.469999999972060,1873165.299999999813735,11051945.109999999403954
20161007,1988479.180000000167638,1717741.339999999850988,1944983.439999999944121,1625967.119999999878928,1882611.729999999748543,1862379.699999999720603,11022166.509999999776483
20161010,2023170.850000000093132,1743279.010000000009313,1939487.439999999944121,1653152.699999999953434,1890428.770000000018626,1867772.500000000000000,11117295.270000001415610
20161011,2027529.100000000093132,1716329.710000000195578,1922999.439999999944121,1638208.580000000074506,1862743.419999999925494,1843504.899999999906868,11011319.150000000372529
20161012,2045659.420000000158325,1708886.570000000065193,1925417.679999999934807,1624059.360000000102445,1860137.739999999990687,1848223.599999999860302,11012388.369999999180436
20161013,2039383.540000000270084,1711709.830000000074506,1912007.439999999944121,1602438.080000000074506,1853949.250000000000000,1839685.000000000000000,10959177.140000000596046
20161014,2050714.989999999990687,1713249.790000000037253,1927396.239999999990687,1607048.500000000000000,1870234.750000000000000,1852717.599999999860302,11021365.869999999180436
20161017,2049320.350000000093132,1719666.290000000037253,1919042.320000000065193,1611499.939999999944121,1863720.549999999813735,1845976.600000000093132,11009230.049999998882413
20161018,2047925.710000000195578,1733782.589999999850988,1917503.439999999944121,1618336.080000000074506,1878051.789999999804422,1833168.699999999720603,11028772.309999998658895
20161019,2041824.160000000381842,1747642.230000000214204,1934650.959999999962747,1625967.119999999878928,1873817.560000000055879,1860806.799999999813735,11084712.830000001937151
20161020,2040778.180000000167638,1743279.010000000009313,1904532.879999999888241,1619607.919999999925494,1864697.679999999934807,1853841.099999999860302,11026740.769999999552965
20161021,2032759.000000000000000,1740584.080000000074506,1897937.679999999934807,1610546.059999999823049,1943193.789999999804422,1850470.599999999627471,11075495.209999999031425
20161024,2051063.650000000372529,1763940.139999999897555,1890463.119999999878928,1600371.339999999850988,1986838.929999999934807,1868896.000000000000000,11161577.179999999701977
20161025,2061523.450000000186265,1784087.950000000186265,1857267.280000000027940,1602120.119999999878928,1986513.219999999972060,1843280.199999999953434,11134796.220000000670552
20161026,2015151.670000000158325,1867759.109999999869615,1849572.879999999888241,1608797.279999999795109,1974787.659999999916181,1836988.599999999860302,11153061.199999999254942
20161027,1995801.040000000270084,1839141.520000000018626,1824950.800000000046566,1588606.819999999832362,1957525.030000000027940,1840808.500000000000000,11046837.709999999031425
20161028,1982551.960000000195578,1835291.619999999878928,1844076.879999999888241,1650609.019999999785796,1950033.699999999953434,1847549.499999999767169,11110116.679999999701977
20161031,1979414.020000000251457,1827848.480000000214204,1834843.599999999860302,1665394.159999999916181,1951662.250000000000000,1854065.800000000046566,11113232.310000002384186
20161101,1943676.370000000111759,1827591.820000000065193,1808023.119999999878928,1692897.699999999953434,1947753.729999999748543,1834067.500000000000000,11054014.240000000223517
20161102,1945419.670000000158325,1806289.040000000037253,1783181.199999999953434,1675568.879999999888241,1935702.459999999962747,1810698.699999999720603,10956863.949999999254942
20161103,1914737.590000000083819,1796920.950000000186265,1786698.639999999897555,1675568.879999999888241,1928536.839999999850988,1812271.600000000093132,10914738.499999998137355
20161104,1897478.920000000158325,1790761.109999999869615,1809562.000000000000000,1665871.099999999860302,1912251.339999999850988,1805755.299999999813735,10881683.769999999552965
20161107,1924848.730000000214204,1835548.280000000027940,1841218.959999999962747,1698779.959999999729916,1967947.750000000000000,1854065.800000000046566,11122413.480000000447035
20161108,1936180.180000000167638,1824896.889999999897555,1861664.080000000074506,1705775.080000000074506,1969576.299999999813735,1862379.699999999720603,11160476.230000000447035
20161109,1933042.239999999990687,1861984.260000000009313,2004999.760000000009313,1711339.379999999888241,1959805.000000000000000,1870468.899999999674037,11341643.540000000968575
20161110,1879174.270000000251457,1895350.060000000055879,2054463.760000000009313,1713724.080000000074506,1911925.630000000121072,1839685.000000000000000,11294326.800000000745058
20161111,1890331.390000000363216,1906001.450000000186265,2044790.800000000046566,1695441.379999999888241,1922348.350000000093132,1839909.699999999720603,11298827.070000000298023
20161114,1842913.630000000121072,1924865.960000000195578,2070292.239999999990687,1694646.479999999981374,1893034.449999999953434,1761264.699999999720603,11187021.459999999031425
20161115,1867319.830000000074506,1900739.920000000158325,2076227.919999999925494,1732324.739999999757856,1917462.699999999953434,1765533.999999999767169,11259613.109999999403954
20161116,1917526.870000000111759,1879308.810000000055879,2052265.359999999869615,1722626.959999999729916,1942868.079999999841675,1799463.699999999720603,11314063.779999999329448
20161117,1916829.550000000279397,1865064.180000000167638,2039734.479999999981374,1718970.419999999925494,1975113.369999999878928,1821708.999999999767169,11337425.000000000000000
20161118,1918747.180000000167638,1878153.839999999850988,2030061.520000000018626,1736140.260000000009313,1965667.780000000027940,1816091.499999999767169,11344866.080000000074506
20161121,1947860.290000000270084,1886751.950000000186265,2042372.560000000055879,1751720.300000000046566,1982278.989999999990687,1835640.399999999906868,11446628.490000000223517
20161122,1949080.600000000093132,1918834.450000000186265,2058201.040000000037253,1758715.419999999925494,1990747.449999999953434,1796093.199999999953434,11471676.159999998286366
20161123,1939143.790000000270084,1921657.710000000195578,2114480.080000000074506,1764756.659999999916181,1967296.329999999841675,1788003.999999999767169,11495342.570000000298023
20161125,1948906.270000000251457,1925507.609999999869615,2106346.000000000000000,1764756.659999999916181,1971530.560000000055879,1800587.199999999720603,11517638.299999998882413
20161128,1945071.010000000009313,1922042.700000000186265,2086340.560000000055879,1756807.659999999916181,1974136.239999999990687,1776993.699999999720603,11461395.869999999180436
20161129,1943153.380000000121072,1946040.409999999916181,2067434.320000000065193,1738365.979999999981374,1989770.320000000065193,1778566.600000000093132,11463335.009999999776483
20161130,1926766.360000000102445,1932180.770000000018626,2100850.000000000000000,1773659.540000000037253,1962736.389999999897555,1737446.499999999767169,11433643.560000000521541
20161201,1908810.370000000111759,1955665.159999999916181,2115799.119999999646097,1801163.080000000074506,1928211.130000000121072,1694978.199999999953434,11404631.060000000521541
20161202,1915957.900000000372529,1953868.540000000037253,2091616.719999999972060,1796552.659999999916181,1929839.679999999934807,1701494.499999999767169,11389334.000000000000000
20161205,1902185.830000000074506,1952713.570000000065193,2076447.760000000009313,1800527.159999999916181,1961433.549999999813735,1737221.799999999813735,11430533.670000001788139
20161206,1916829.550000000279397,1953740.210000000195578,2093375.439999999944121,1792737.139999999897555,1952639.380000000121072,1732727.799999999813735,11442053.519999999552965
20161207,1935657.190000000176951,1978122.909999999916181,2139761.679999999701977,1819445.779999999795109,1998890.199999999953434,1782161.799999999813735,11654043.559999998658895
20161208,1954659.160000000381842,1994164.159999999916181,2116458.639999999664724,1831051.319999999832362,1987164.639999999897555,1781487.699999999953434,11664989.619999999180436
20161209,1986561.550000000279397,2008280.460000000195578,2100190.479999999981374,1841226.040000000037253,2018432.799999999813735,1778341.899999999906868,11733037.230000000447035
20161212,1975230.100000000093132,2016878.570000000065193,2090297.679999999934807,1862529.360000000102445,2024947.000000000000000,1763961.099999999860302,11733847.810000000521541
20161213,2008178.470000000204891,2010462.070000000065193,2110962.639999999664724,1866821.819999999832362,2051329.509999999776483,1779690.099999999860302,11827448.609999999403954
20161214,2008178.470000000204891,1982357.800000000046566,2060839.119999999878928,1843610.739999999757856,2041558.209999999962747,1778117.199999999720603,11714665.539999999105930
20161215,2019161.260000000009313,1973374.700000000186265,2078206.479999999981374,1860939.559999999823049,2038301.109999999869615,1786431.099999999860302,11756418.209999999031425
20161216,2021776.210000000195578,1982742.790000000037253,2035337.679999999934807,1877314.500000000000000,2029181.229999999748543,1760590.599999999627471,11706947.009999999776483
20161219,2033456.320000000298023,2004302.230000000214204,2038195.599999999860302,1870478.360000000102445,2072174.949999999953434,1754973.099999999627471,11773584.560000000521541
20161220,2038860.550000000279397,2006997.159999999916181,2074029.520000000018626,1875247.760000000009313,2069569.270000000018626,1760815.299999999813735,11825523.559999998658895
20161221,2040778.180000000167638,2020985.129999999888241,2062597.839999999850988,1874611.839999999850988,2069569.270000000018626,1755871.899999999906868,11824418.160000000149012
20161222,2027354.770000000251457,2020728.470000000204891,2069193.040000000037253,1888284.119999999878928,2069894.979999999748543,1750479.100000000093132,11825938.480000000447035
20161223,2031364.360000000102445,2025220.020000000018626,2073589.839999999850988,1882719.819999999832362,2059797.969999999972060,1756096.600000000093132,11828792.609999999403954
20161227,2044264.780000000260770,2020985.129999999888241,2078646.159999999916181,1879540.219999999972060,2061100.810000000055879,1760590.599999999627471,11845131.699999999254942
20161228,2035548.280000000260770,2003275.589999999850988,2047868.560000000055879,1874611.839999999850988,2051655.219999999972060,1759467.099999999860302,11772430.589999999850988
20161229,2035025.290000000270084,1998014.060000000055879,2050946.320000000065193,1873181.019999999785796,2048723.829999999841675,1760141.199999999720603,11766035.719999998807907
20161230,2019161.260000000009313,1997885.730000000214204,2038855.119999999878928,1871273.260000000009313,2023969.869999999878928,1753175.499999999767169,11704324.740000000223517
20170103,2024914.150000000372529,2014440.300000000046566,2066335.119999999878928,1873657.959999999729916,2038301.109999999869615,1786431.099999999860302,11804083.740000000223517
20170104,2022647.860000000102445,2035614.750000000000000,2057101.839999999850988,1873181.019999999785796,2029181.229999999748543,1801036.600000000093132,11818767.299999998882413
20170105,2032933.330000000074506,2036769.720000000204891,2044570.959999999962747,1865073.040000000037253,2029181.229999999748543,1822158.399999999906868,11830690.679999999701977
20170106,2055596.230000000214204,2041774.589999999850988,2045450.320000000065193,1857600.979999999981374,2046769.570000000065193,1847324.799999999813735,11894520.490000002086163
20170109,2074423.870000000111759,2031764.849999999860302,2030721.040000000037253,1841702.979999999981374,2040255.369999999878928,1836988.599999999860302,11855860.709999999031425
20170110,2076515.830000000074506,2041389.599999999860302,2062817.679999999934807,1827712.739999999757856,2039603.949999999953434,1827101.799999999813735,11875145.599999997764826
20170111,2087672.950000000186265,2045624.490000000223517,2080844.560000000055879,1843133.800000000046566,2058169.419999999925494,1838112.099999999860302,11953561.319999998435378
20170112,2078956.450000000186265,2031379.859999999869615,2066335.119999999878928,1846790.339999999850988,2039278.239999999990687,1828450.000000000000000,11891194.009999999776483
20170113,2075295.520000000251457,2038309.680000000167638,2077107.280000000027940,1850287.899999999906868,2042209.630000000121072,1823956.000000000000000,11907170.010000001639128
20170117,2092031.200000000186265,2023423.399999999906868,2057101.839999999850988,1848698.099999999860302,2036672.560000000055879,1825978.300000000046566,11883909.400000000372529
20170118,2091856.870000000111759,2031764.849999999860302,2051825.679999999934807,1843292.779999999795109,2035695.429999999934807,1833393.399999999906868,11887833.009999999776483
20170119,2088195.940000000176951,2040491.290000000037253,2052924.879999999888241,1837569.500000000000000,2029181.229999999748543,1836539.199999999953434,11884906.039999999105930
20170120,2092031.200000000186265,2047292.780000000027940,2079305.679999999934807,1837887.459999999729916,2043512.469999999972060,1839010.899999999906868,11939044.490000000223517
20170123,2093425.840000000083819,2025605.010000000009313,2076667.599999999860302,1834548.879999999888241,2050678.089999999850988,1845976.600000000093132,11926906.019999999552965
20170124,2091508.210000000195578,2060382.440000000176951,2115799.119999999646097,1850128.919999999925494,2068917.850000000093132,1870244.199999999953434,12056984.739999998360872
20170125,2124805.240000000223517,2147775.170000000391155,2157788.560000000055879,1863960.179999999934807,2074129.209999999962747,1885299.100000000093132,12253761.459999999031425
20170126,2125851.220000000204891,2170361.250000000000000,2137343.439999999944121,1852990.559999999823049,2093346.099999999860302,1870468.899999999674037,12250365.470000000670552
20170127,2126025.550000000279397,2152138.389999999664724,2176255.119999999646097,1809112.080000000074506,2142528.309999999590218,1882377.999999999767169,12288441.449999999254942
20170130,2120446.990000000223517,2124804.100000000093132,2127890.320000000298023,1777793.019999999785796,2121357.160000000149012,1880805.099999999860302,12153100.689999999478459
20170131,2115565.750000000000000,2097213.149999999906868,2103048.399999999906868,1770320.959999999729916,2105723.080000000074506,1858559.799999999813735,12050435.140000000596046
20170201,2244569.950000000186265,2104271.299999999813735,2090957.199999999953434,1764756.659999999916181,2070872.109999999869615,1852492.899999999906868,12127924.120000001043081
20170202,2240734.690000000409782,2082326.869999999878928,2061498.639999999897555,1783993.239999999757856,2057518.000000000000000,1849347.099999999860302,12075422.539999999105930
20170203,2250322.840000000316650,2084123.490000000223517,2050726.479999999981374,1805614.519999999785796,2074129.209999999962747,1934283.699999999720603,12199204.239999998360872
20170206,2271416.770000000018626,2104399.629999999888241,2041713.040000000037253,1796234.699999999953434,2072826.369999999878928,1928666.199999999720603,12215260.709999999031425
20170207,2293033.690000000409782,2136738.790000000037253,2051386.000000000000000,1770956.879999999888241,2065986.459999999962747,1927542.699999999953434,12245648.519999999552965
20170208,2301924.520000000018626,2102218.020000000018626,2042592.399999999906868,1773977.500000000000000,2063055.070000000065193,1912038.399999999906868,12195809.910000000149012
20170209,2308549.060000000055879,2108249.530000000260770,2065675.599999999860302,1784788.139999999897555,2086506.189999999944121,1923048.699999999720603,12276821.219999998807907
20170210,2303319.160000000149012,2133273.879999999888241,2117338.000000000000000,1797347.559999999823049,2084551.929999999934807,1930239.100000000093132,12366073.629999998956919
20170213,2323715.770000000018626,2156373.280000000260770,2165482.959999999962747,1811019.839999999850988,2108003.049999999813735,1942372.899999999906868,12506971.800000002607703
20170214,2353874.860000000335276,2162404.790000000037253,2156469.520000000018626,1788921.619999999878928,2103117.399999999441206,1951585.599999999627471,12516377.789999997243285
20170215,2362417.029999999795109,2172671.190000000409782,2176914.639999999664724,1789716.519999999785796,2101814.559999999590218,1967089.899999999906868,12570627.840000001713634
20170216,2359627.750000000000000,2192049.020000000018626,2160206.800000000279397,1759669.300000000046566,2101488.849999999627471,1964168.799999999813735,12537214.519999999552965
20170217,2366077.959999999962747,2216431.720000000204891,2173177.359999999869615,1754105.000000000000000,2104745.950000000186265,1965292.299999999813735,12579834.289999999105930
20170221,2383162.299999999813735,2253005.770000000018626,2156689.359999999869615,1776203.219999999972060,2100511.719999999739230,1975628.500000000000000,12645204.870000001043081
20170222,2390309.830000000540167,2250439.170000000391155,2158887.760000000242144,1754899.899999999906868,2096277.489999999990687,1972932.099999999860302,12623750.250000001862645
20170223,2380198.690000000409782,2269688.670000000391155,2100630.159999999683350,1765074.619999999878928,2104745.950000000186265,1981470.699999999953434,12601812.789999999105930
20170224,2382464.979999999981374,2277131.810000000055879,2099091.280000000260770,1750766.419999999925494,2104745.950000000186265,1987088.199999999953434,12601292.640000000596046
20170227,2387171.890000000130385,2302669.479999999981374,2142179.919999999925494,1776680.159999999916181,2092043.260000000009313,1977426.099999999860302,12678174.809999998658895
20170228,2388217.870000000577420,2312935.879999999888241,2125032.399999999906868,1788603.659999999916181,2083900.509999999776483,1976077.899999999906868,12674772.220000000670552
20170301,2437030.270000000018626,2360161.319999999832362,2167241.679999999701977,1810542.899999999906868,2115168.669999999925494,1999671.399999999674037,12889820.240000000223517
20170302,2422560.880000000353903,2348354.959999999962747,2074469.199999999953434,1802275.939999999944121,2084877.640000000130385,1989335.199999999953434,12721877.820000000298023
20170303,2436855.940000000409782,2337960.229999999981374,2091177.040000000037253,1805296.559999999823049,2092694.679999999934807,1995177.399999999906868,12759165.849999999627471
20170306,2429185.420000000391155,2321918.979999999981374,2103048.399999999906868,1799255.319999999832362,2093346.099999999860302,1998547.899999999906868,12745306.120000001043081
20170307,2432323.360000000335276,2335906.950000000186265,2108984.080000000074506,1777634.040000000037253,2097580.330000000074506,2001244.299999999813735,12753677.059999998658895
20170308,2423258.200000000186265,2332313.709999999962747,2049627.280000000027940,1742658.439999999944121,2116797.219999999739230,1998997.299999999813735,12663656.150000002235174
20170309,2417679.640000000130385,2317299.100000000093132,2009176.719999999972060,1749494.580000000074506,2108328.759999999776483,2002367.799999999813735,12604350.599999997764826
20170310,2425698.819999999832362,2293301.389999999664724,2029402.000000000000000,1758556.439999999944121,2114842.959999999962747,2016299.199999999953434,12638104.809999998658895
20170313,2426744.799999999813735,2297792.940000000409782,2036656.719999999972060,1738524.959999999729916,2107677.339999999850988,2024837.799999999813735,12632238.559999998658895
20170314,2423083.870000000577420,2293686.379999999888241,2019509.199999999953434,1706887.939999999944121,2097906.040000000037253,2012254.599999999860302,12553332.029999999329448
20170315,2448710.380000000353903,2293429.720000000204891,2052485.199999999953434,1731052.899999999906868,2108980.179999999701977,2020568.500000000000000,12655230.880000000819564
20170316,2452719.970000000204891,2286756.560000000055879,2041273.359999999869615,1714836.939999999944121,2105397.370000000111759,2023264.899999999906868,12624253.099999999627471
20170317,2440516.870000000577420,2311267.589999999850988,2042592.399999999906868,1711975.300000000046566,2112888.700000000186265,2027758.899999999674037,12647003.760000003501773
