代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12087690.310000000521541
真實報酬,2087690.310000000521541

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18807.314252429627231
風險,254573.653234005498234
起點值,0.073877693207874
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](1),INTC[11](15),NKE[19](2),
FS( 42 ),3741572.919999999925494,3343323.680000000167638,3842987.180000000167638,10927884.779999999329448
FS( 43 ),3771420.650000000372529,3229858.099999999627471,3842381.890000000130385,10843661.640000000596046
FS( 44 ),3754089.710000000428408,3170627.640000000130385,3839960.729999999981374,10764679.080000000074506
FS( 45 ),3806082.530000000260770,3192749.860000000335276,3872646.390000000130385,10871479.780000001192093
FS( 46 ),3845558.559999999590218,3192749.860000000335276,3907147.919999999925494,10945457.339999999850988
FS( 47 ),3821487.809999999590218,3112824.419999999925494,3879304.580000000540167,10813617.810000000521541
FS( 48 ),3842670.069999999832362,3032898.979999999981374,3887173.350000000093132,10762743.400000000372529
FS( 49 ),3860963.840000000316650,3097838.399999999906868,3891410.380000000353903,10850213.620000001043081
FS( 50 ),3935101.750000000000000,3085706.860000000335276,3914411.400000000372529,10935221.010000001639128
FS( 51 ),3903328.359999999869615,3078570.660000000149012,3838750.150000000372529,10820650.169999999925494
FS( 52 ),3966875.140000000130385,3167773.160000000149012,3862356.460000000428408,10997005.760000001639128
FS( 53 ),3976503.439999999944121,3174195.739999999757856,3880515.160000000149012,11031215.339999999850988
FS( 54 ),3975540.609999999869615,3198458.819999999832362,4068155.060000000055879,11242155.490000000223517
FS( 55 ),4011165.319999999832362,3264825.479999999981374,4018521.280000000260770,11294513.080000000074506
FS( 56 ),4053529.840000000316650,3286947.700000000186265,4063918.030000000260770,11404396.570000000298023
FS( 57 ),4060269.650000000372529,3247698.599999999627471,4115972.970000000204891,11423942.220000000670552
FS( 58 ),4034273.239999999757856,3232712.579999999608845,4098419.560000000055879,11365406.379999998956919
FS( 59 ),4097820.020000000484288,3573822.939999999944121,4118394.130000000353903,11790038.090000001713634
FS( 60 ),4125742.090000000316650,3566686.739999999757856,4090550.790000000037253,11782980.620000001043081
FS( 61 ),4067972.290000000037253,3481765.959999999962747,4075418.540000000037253,11625157.789999999105930
FS( 62 ),3999611.359999999869615,3435380.660000000149012,4129289.350000000093132,11564282.369999999180436
FS( 63 ),4015016.640000000130385,3400413.279999999795109,4094787.820000000763685,11510218.740000000223517
FS( 64 ),3940878.729999999981374,3293370.279999999795109,4068760.350000000093132,11303010.359999999403954
FS( 65 ),3733870.280000000260770,3177050.220000000204891,3897463.280000000260770,10808384.780000001192093
FS( 66 ),3867703.650000000372529,3204881.399999999906868,3947702.350000000093132,11020288.400000000372529
FS( 67 ),3884071.760000000242144,3225576.380000000353903,3972519.239999999757856,11082168.380000000819564
FS( 68 ),3732907.450000000186265,3050739.479999999981374,3782458.180000000167638,10566106.109999999403954
FS( 69 ),3806082.530000000260770,3136373.880000000353903,3964045.179999999701977,10906502.589999999850988
FS( 70 ),3909105.340000000316650,3199172.439999999944121,3993704.390000000596046,11101983.170000001788139
FS( 71 ),3969763.629999999888241,3172768.500000000000000,3987046.200000000651926,11129579.330000000074506
FS( 72 ),4052567.010000000242144,3238421.540000000037253,4113551.810000000055879,11404541.360000001266599
FS( 73 ),4244170.179999999701977,3276957.020000000018626,4133526.380000000353903,11654654.580000000074506
FS( 74 ),4268240.929999999701977,3251266.700000000186265,4134131.669999999925494,11653640.300000000745058
FS( 75 ),4242244.520000000484288,3305501.819999999832362,4085103.179999999701977,11632850.519999999552965
FS( 76 ),4170032.270000000484288,3278384.259999999776483,4058470.419999999925494,11506887.949999999254942
FS( 77 ),4134407.559999999590218,3268393.579999999608845,4063312.739999999757856,11466114.879999998956919
FS( 78 ),4236467.540000000037253,3406122.239999999757856,4125657.609999999869615,11768248.389999998733401
FS( 79 ),4367412.419999999925494,3504601.799999999813735,4215845.820000000298023,12087861.039999999105930
FS( 80 ),4336601.860000000335276,3561691.399999999906868,4117788.840000000316650,12016083.099999999627471
FS( 81 ),4311568.280000000260770,3517446.959999999962747,4057259.840000000316650,11886276.080000000074506
FS( 82 ),4217210.939999999478459,3413972.060000000055879,4014284.250000000000000,11645468.250000000000000
FS( 83 ),4242244.520000000484288,3495324.739999999757856,3988256.780000000260770,11725827.039999999105930
FS( 84 ),4286534.700000000186265,3550273.479999999981374,3937412.419999999925494,11774221.599999999627471
FS( 85 ),4264389.610000000335276,3618781.000000000000000,3948912.929999999701977,11832084.539999999105930
FS( 86 ),4255724.140000000596046,3662311.819999999832362,3884146.900000000372529,11802183.860000001266599
FS( 87 ),4269203.760000000707805,3620921.860000000335276,3941044.160000000149012,11831170.780000001192093
FS( 88 ),4368375.250000000000000,3724396.759999999776483,4013073.669999999925494,12105846.679999999701977
FS( 89 ),4385706.189999999478459,3676584.220000000204891,4044548.750000000000000,12106840.160000000149012
FS( 90 ),4348155.819999999366701,3695138.339999999850988,4005204.900000000372529,12048500.059999998658895
FS( 91 ),4359709.780000000260770,3700847.299999999813735,4007020.770000000484288,12067578.850000001490116
FS( 92 ),4364523.929999999701977,3630912.540000000037253,4018521.280000000260770,12013958.750000000000000
FS( 93 ),4333713.370000000111759,3651607.520000000018626,3989467.359999999869615,11974789.250000000000000
FS( 94 ),4262463.950000000186265,3627344.439999999944121,3977361.560000000055879,11867170.950000001117587
FS( 95 ),4272092.250000000000000,3678725.079999999608845,4043338.169999999925494,11994156.500000000000000
FS( 96 ),4266315.270000000484288,3679438.700000000186265,4016100.119999999646097,11961855.089999999850988
FS( 97 ),4146924.350000000093132,3627344.439999999944121,3899279.150000000372529,11673548.940000001341105
FS( 98 ),4084340.400000000372529,3522442.299999999813735,3911990.239999999757856,11518773.939999999478459
FS( 99 ),4242244.520000000484288,3745091.739999999757856,3988862.070000000763685,11976199.330000000074506
FS( 100 ),4109373.979999999981374,3653034.759999999776483,4005204.900000000372529,11767614.640000000596046
FS( 101 ),4011165.319999999832362,3539569.180000000167638,3961018.729999999981374,11511754.230000000447035
FS( 102 ),4129593.410000000149012,3716546.939999999944121,4021547.729999999981374,11867689.080000000074506
FS( 103 ),3948581.369999999646097,3491043.020000000018626,3881120.450000000651926,11320745.839999999850988
FS( 104 ),3984206.080000000074506,3550273.479999999981374,4037285.270000000484288,11571765.830000001937151
FS( 105 ),3966875.140000000130385,3567400.360000000335276,4141395.150000000372529,11675671.650000000372529
FS( 106 ),4026570.600000000093132,3595231.540000000037253,4212214.080000000074506,11834017.220000000670552
FS( 107 ),3921622.129999999888241,3481765.959999999962747,4088734.919999999925494,11492124.009999999776483
FS( 108 ),3963986.650000000372529,3536001.079999999608845,4066339.190000000409782,11566327.920000001788139
FS( 109 ),4093005.869999999646097,3658743.720000000204891,4055443.970000000204891,11807194.560000000521541
FS( 110 ),4085303.229999999981374,3646612.180000000167638,4045154.040000000037253,11777070.449999999254942
FS( 111 ),4172920.760000000242144,3762218.620000000111759,4102051.299999999813735,12037191.679999999701977
FS( 112 ),4140184.540000000037253,3700847.299999999813735,4070576.220000000204891,11911609.060000000521541
FS( 113 ),4169069.439999999944121,3739382.779999999795109,4059075.710000000428408,11967528.929999999701977
FS( 114 ),4293274.510000000707805,3820735.459999999962747,4086313.760000000707805,12200324.730000000447035
FS( 115 ),4297125.830000000074506,3825730.799999999813735,4007020.770000000484288,12129878.400000000372529
FS( 116 ),4290386.020000000484288,3726537.620000000111759,3978572.140000000596046,11995496.780000001192093
FS( 117 ),4245133.010000000707805,3677297.839999999850988,4000362.580000000540167,11922794.430000001564622
FS( 118 ),4260538.290000000037253,3646612.180000000167638,4048180.489999999757856,11955331.960000000894070
FS( 119 ),4211433.959999999962747,3671588.880000000353903,4053628.100000000093132,11936651.939999999478459
FS( 120 ),4208545.469999999739230,3666593.540000000037253,4035469.400000000372529,11910609.410000000149012
FS( 121 ),4256686.969999999739230,3785768.079999999608845,4118999.419999999925494,12161455.469999998807907
FS( 122 ),4304828.469999999739230,3762932.239999999757856,4210398.210000000894070,12278159.919999999925494
FS( 123 ),4264389.610000000335276,3683720.419999999925494,4139579.280000000260770,12087690.310000000521541
