代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11811662.920000001788139
真實報酬,1811662.920000001788139

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14421.405586552837121
風險,109716.800023750343826
起點值,0.131442090759401
找到最佳解世代,2376
找到最佳解實驗#,5
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
BA[2](19),CAT[3](5),DD[7](2),MRK[17](16),MSFT[18](7),
FS( 14 ),2081018.449999999953434,2085479.660000000149012,2156521.120000000111759,1912597.579999999841675,2082191.420000000158325,10317808.230000000447035
FS( 15 ),2063184.199999999953434,2094075.380000000121072,2159087.040000000037253,1908494.179999999701977,2083978.190000000176951,10308818.990000000223517
FS( 16 ),2080339.050000000046566,2129174.569999999832362,2168984.160000000149012,1906852.819999999832362,2059559.000000000000000,10344909.599999999627471
FS( 17 ),2191420.950000000186265,2000000.000000000000000,2142225.280000000260770,1910545.879999999888241,2010720.619999999878928,10254912.730000000447035
FS( 18 ),2190741.549999999813735,2018385.290000000037253,2120598.240000000223517,1896594.319999999832362,2008338.260000000009313,10234657.660000000149012
FS( 19 ),2228278.399999999906868,2024115.769999999785796,2063048.319999999832362,1909725.199999999720603,2128051.849999999627471,10353219.539999999105930
FS( 20 ),2206028.049999999813735,2012416.040000000037253,2041787.840000000083819,1860894.739999999990687,2118522.410000000149012,10239649.080000000074506
FS( 21 ),2202291.350000000093132,2007401.869999999878928,2059749.279999999795109,1870332.559999999823049,2115544.459999999962747,10255319.519999999552965
FS( 22 ),2202631.050000000279397,1993553.209999999962747,2049485.599999999860302,1856381.000000000000000,2116735.639999999664724,10218786.500000000000000
FS( 23 ),2216558.750000000000000,1990449.199999999953434,2060482.399999999906868,1850225.899999999906868,2108992.969999999739230,10226709.219999998807907
FS( 24 ),2259530.799999999813735,1995940.910000000149012,2033356.959999999962747,1855970.659999999683350,2116140.049999999813735,10260939.379999998956919
FS( 25 ),2255454.399999999906868,2003104.010000000009313,2004765.279999999795109,1876077.319999999832362,2140559.240000000223517,10279960.250000000000000
FS( 26 ),2268702.699999999720603,2006924.329999999841675,2021260.479999999981374,1861305.079999999841675,2182250.540000000037253,10340443.129999998956919
FS( 27 ),2260549.899999999906868,2010983.419999999925494,2049485.599999999860302,1885925.479999999981374,2273971.400000000372529,10480915.800000000745058
FS( 28 ),2233713.599999999627471,1997373.530000000027940,2018694.559999999823049,1880180.719999999972060,2233471.280000000260770,10363433.689999999478459
FS( 29 ),2267343.900000000372529,2011460.959999999962747,2070746.080000000074506,1920394.039999999804422,2250147.799999999813735,10520092.780000001192093
FS( 30 ),2251038.299999999813735,2009312.030000000027940,2070379.519999999785796,1928600.839999999850988,2238831.589999999850988,10498162.279999999329448
FS( 31 ),2247641.300000000279397,2002148.929999999934807,2053517.760000000009313,1952810.899999999906868,2225133.019999999552965,10481251.910000000149012
FS( 32 ),2261908.699999999720603,2010505.880000000121072,2067080.479999999981374,1942552.399999999906868,2272780.219999999739230,10554827.679999999701977
FS( 33 ),2294519.899999999906868,2000000.000000000000000,2093472.799999999813735,1962248.719999999972060,2264441.959999999962747,10614683.379999998956919
FS( 34 ),2311335.050000000279397,1999522.459999999962747,2100070.879999999888241,1972507.219999999972060,2253721.339999999850988,10637156.949999999254942
FS( 35 ),2350060.850000000093132,2006685.560000000055879,2081376.319999999832362,1970045.179999999701977,2215603.580000000074506,10623771.490000000223517
FS( 36 ),2326621.549999999813735,1997851.070000000065193,2072578.879999999888241,1972507.219999999972060,2188206.440000000409782,10557765.160000000149012
FS( 37 ),2249679.500000000000000,1974212.840000000083819,2049485.599999999860302,1974969.260000000009313,2208456.500000000000000,10456803.699999999254942
FS( 38 ),2257832.300000000279397,1960841.720000000204891,2068913.279999999795109,1995075.919999999692664,2227515.379999999888241,10510178.600000001490116
FS( 39 ),2309466.700000000186265,1978988.239999999757856,2070379.519999999785796,2008206.799999999813735,2237640.410000000149012,10604681.669999998062849
FS( 40 ),2259021.250000000000000,2015281.280000000027940,2036289.439999999711290,2037751.279999999795109,2241809.540000000037253,10590152.789999999105930
FS( 41 ),2289254.549999999813735,2014326.199999999953434,2024926.080000000074506,2034468.559999999823049,2224537.429999999701977,10587512.820000000298023
FS( 42 ),2288235.450000000186265,2021728.070000000065193,2041054.719999999972060,2044727.059999999823049,2239427.179999999701977,10635172.480000000447035
FS( 43 ),2280252.500000000000000,2020056.679999999934807,2039221.919999999925494,2044727.059999999823049,2270993.450000000186265,10655251.609999999403954
FS( 44 ),2278723.850000000093132,2011699.729999999981374,2087241.279999999795109,2059088.959999999729916,2290052.330000000074506,10726806.149999998509884
FS( 45 ),2242036.250000000000000,2002626.470000000204891,2021260.479999999981374,2041854.679999999701977,2281714.070000000298023,10589491.950000001117587
FS( 46 ),2233543.750000000000000,2005014.169999999925494,2030057.919999999925494,2023389.379999999888241,2319236.240000000223517,10611241.460000000894070
FS( 47 ),2254435.299999999813735,2015520.049999999813735,2015395.519999999785796,2002872.379999999888241,2263250.780000000260770,10551474.029999999329448
FS( 48 ),2296048.550000000279397,2041545.979999999981374,2049852.159999999916181,2026672.099999999860302,2284692.019999999552965,10698810.810000000521541
FS( 49 ),2287556.050000000279397,2055633.410000000149012,2129762.240000000223517,2033647.879999999888241,2305537.669999999925494,10812137.250000001862645
FS( 50 ),2270910.750000000000000,2063512.820000000065193,2181080.639999999664724,2028313.459999999729916,2269802.269999999552965,10813619.939999999478459
FS( 51 ),2251547.850000000093132,2036293.040000000037253,2142958.400000000372529,2008617.139999999897555,2240022.769999999552965,10679439.200000001117587
FS( 52 ),2258341.850000000093132,2043217.369999999878928,2127929.439999999478459,1982765.719999999972060,2216794.759999999776483,10629049.139999998733401
FS( 53 ),2273118.800000000279397,2054678.329999999841675,2167517.919999999925494,1985227.760000000009313,2185228.490000000223517,10665771.300000000745058
FS( 54 ),2288235.450000000186265,2086434.739999999757856,2171550.080000000074506,1973327.899999999906868,2196544.700000000186265,10716092.870000001043081
FS( 55 ),2307938.049999999813735,2075451.320000000065193,2203074.240000000223517,1965531.439999999711290,2175103.459999999962747,10727098.510000001639128
FS( 56 ),2301313.900000000372529,2105297.569999999832362,2271254.400000000372529,2006565.439999999711290,2178677.000000000000000,10863108.310000000521541
FS( 57 ),2295878.699999999720603,2090255.060000000055879,2291781.759999999776483,2002051.699999999720603,2159022.530000000260770,10838989.750000000000000
FS( 58 ),2321356.199999999720603,2123444.090000000316650,2285550.240000000223517,2023799.719999999972060,2191779.979999999515712,10945930.230000000447035
FS( 59 ),2316770.250000000000000,2148037.399999999906868,2290682.080000000074506,2025441.079999999841675,2181059.360000000335276,10961990.170000001788139
FS( 60 ),2324073.800000000279397,2170720.549999999813735,2318907.200000000186265,2027492.779999999795109,2208456.500000000000000,11049650.830000000074506
FS( 61 ),2348532.200000000186265,2176451.030000000260770,2341633.919999999925494,2040213.319999999832362,2229897.740000000223517,11136728.210000000894070
FS( 62 ),2325262.750000000000000,2169765.470000000204891,2328071.200000000186265,2043085.699999999720603,2220963.889999999664724,11087149.010000001639128
FS( 63 ),2308617.449999999720603,2169765.470000000204891,2328071.200000000186265,2049240.799999999813735,2220963.889999999664724,11076658.809999998658895
FS( 64 ),2318298.900000000372529,2168332.850000000093132,2317807.519999999552965,2053754.539999999804422,2228110.969999999739230,11086304.779999997466803
FS( 65 ),2321356.199999999720603,2145888.470000000204891,2289948.959999999962747,2030775.500000000000000,2213221.219999999739230,11001190.349999997764826
FS( 66 ),2337491.950000000186265,2144694.619999999646097,2279685.280000000260770,2040623.659999999683350,2198331.469999999739230,11000826.980000000447035
FS( 67 ),2350910.100000000093132,2116519.759999999776483,2275653.120000000111759,2041034.000000000000000,2151875.450000000186265,10935992.429999999701977
FS( 68 ),2386578.599999999627471,2123444.090000000316650,2250360.479999999515712,2056216.579999999841675,2168551.969999999739230,10985151.719999998807907
FS( 69 ),2391843.949999999720603,2128458.259999999776483,2252926.400000000372529,2043085.699999999720603,2129838.620000000111759,10946152.929999999701977
FS( 70 ),2414094.299999999813735,2142068.149999999906868,2223968.160000000149012,2032006.520000000018626,2116140.049999999813735,10928277.179999999701977
FS( 71 ),2410187.750000000000000,2161169.750000000000000,2229466.559999999590218,2046778.760000000009313,2146515.139999999664724,10994117.960000000894070
FS( 72 ),2389805.750000000000000,2146366.009999999776483,2186945.599999999627471,2179728.919999999925494,2083382.599999999860302,10986228.879999998956919
FS( 73 ),2378086.099999999627471,2162363.600000000093132,2226534.080000000074506,2174804.839999999850988,2131029.799999999813735,11072818.419999998062849
FS( 74 ),2388446.950000000186265,2206536.049999999813735,2247428.000000000000000,2155108.520000000018626,2189397.620000000111759,11186917.140000000596046
FS( 75 ),2381483.100000000093132,2196985.250000000000000,2249260.799999999813735,2154287.839999999850988,2197140.290000000037253,11179157.279999997466803
FS( 76 ),2385729.350000000093132,2183375.359999999869615,2248527.679999999701977,2131719.140000000130385,2166765.200000000186265,11116116.730000000447035
FS( 77 ),2406281.199999999720603,2163318.679999999701977,2397717.599999999627471,2126795.059999999590218,2154257.810000000521541,11248370.349999999627471
FS( 78 ),2452140.700000000186265,2140396.759999999776483,2384521.439999999478459,2107098.739999999757856,2139963.650000000372529,11224121.289999999105930
FS( 79 ),2400166.600000000093132,2112699.439999999944121,2334669.280000000260770,2117357.239999999757856,2147706.320000000298023,11112598.880000000819564
FS( 80 ),2321016.500000000000000,2057543.570000000065193,2266122.559999999590218,2132950.159999999683350,2192375.570000000298023,10970008.359999999403954
FS( 81 ),2333075.850000000093132,2179793.810000000055879,2249993.919999999925494,2155518.859999999869615,2145919.549999999813735,11064301.989999998360872
FS( 82 ),2328489.899999999906868,2207968.669999999925494,2247794.559999999590218,2169470.419999999925494,2160213.709999999962747,11113937.260000001639128
FS( 83 ),2204329.549999999813735,2163796.220000000204891,2335035.839999999850988,2142387.979999999981374,2183441.719999999739230,11028991.309999998658895
FS( 84 ),2149128.299999999813735,2225398.879999999888241,2365460.320000000298023,2195732.179999999701977,2195353.519999999552965,11131073.199999999254942
FS( 85 ),2127557.350000000093132,2242351.549999999813735,2375724.000000000000000,2173573.819999999832362,2253721.339999999850988,11172928.060000000521541
FS( 86 ),2090530.050000000046566,2206774.819999999832362,2332836.479999999515712,2137053.559999999590218,2172721.099999999627471,10939916.009999999776483
FS( 87 ),2072865.650000000139698,2208684.979999999981374,2347132.320000000298023,2195732.179999999701977,2164978.429999999701977,10989393.559999998658895
FS( 88 ),2061995.250000000000000,2195791.399999999906868,2341267.359999999403954,2196552.859999999869615,2133412.160000000149012,10929019.029999999329448
FS( 89 ),2083566.199999999953434,2240441.390000000130385,2379756.160000000149012,2206401.020000000018626,2154853.400000000372529,11065018.169999999925494
FS( 90 ),2157450.949999999720603,2265273.470000000204891,2380489.280000000260770,2247435.020000000018626,2177485.820000000298023,11228134.540000000968575
FS( 91 ),2159828.850000000093132,2256438.979999999981374,2392952.320000000298023,2252359.100000000093132,2191779.979999999515712,11253359.230000000447035
FS( 92 ),2210783.850000000093132,2267422.399999999906868,2445003.839999999850988,2285596.640000000130385,2213816.810000000521541,11422623.540000000968575
FS( 93 ),2176304.299999999813735,2296313.569999999832362,2420810.879999999888241,2256872.839999999850988,2231684.509999999776483,11381986.099999999627471
FS( 94 ),2199573.750000000000000,2294880.950000000186265,2417145.280000000260770,2260976.239999999757856,2240022.769999999552965,11412598.990000000223517
FS( 95 ),2210783.850000000093132,2305386.830000000074506,2438405.759999999776483,2274927.799999999813735,2240618.360000000335276,11470122.599999997764826
FS( 96 ),2218766.799999999813735,2305625.600000000093132,2442071.360000000335276,2285186.299999999813735,2228706.560000000521541,11480356.620000001043081
FS( 97 ),2180720.399999999906868,2297268.649999999906868,2424109.919999999925494,2258514.199999999720603,2234066.870000000111759,11394680.039999999105930
FS( 98 ),2200592.850000000093132,2314221.319999999832362,2460765.919999999925494,2290110.379999999888241,2248361.030000000260770,11514051.500000000000000
FS( 99 ),2178852.049999999813735,2328069.979999999981374,2451601.919999999925494,2299137.859999999869615,2262059.599999999627471,11519721.409999998286366
FS( 100 ),2201102.399999999906868,2323772.119999999646097,2450868.799999999813735,2305292.959999999962747,2244787.490000000223517,11525823.769999999552965
FS( 101 ),2153374.549999999813735,2302044.049999999813735,2465164.639999999664724,2294213.779999999795109,2235853.639999999664724,11450650.660000000149012
FS( 102 ),2150487.100000000093132,2320906.879999999888241,2496688.799999999813735,2308986.020000000018626,2231684.509999999776483,11508753.310000000521541
FS( 103 ),2183607.850000000093132,2308968.379999999888241,2532245.120000000111759,2324989.279999999795109,2254912.519999999552965,11604723.150000000372529
FS( 104 ),2189722.449999999720603,2315415.169999999925494,2542875.360000000335276,2338530.500000000000000,2281714.070000000298023,11668257.550000000745058
FS( 105 ),2177832.950000000186265,2299656.350000000093132,2528579.520000000484288,2315141.120000000111759,2250147.799999999813735,11571357.740000002086163
FS( 106 ),2211972.799999999813735,2316609.020000000018626,2582097.280000000260770,2341402.879999999888241,2287669.969999999739230,11739751.949999999254942
FS( 107 ),2187514.399999999906868,2301088.970000000204891,2605557.120000000111759,2334016.759999999776483,2269802.269999999552965,11697979.519999999552965
FS( 108 ),2188703.350000000093132,2330457.679999999701977,2598592.479999999515712,2349609.679999999701977,2272184.629999999888241,11739547.819999996572733
FS( 109 ),2183268.149999999906868,2317325.330000000074506,2584663.200000000186265,2358226.819999999832362,2257294.879999999888241,11700778.379999998956919
FS( 110 ),2155242.899999999906868,2310162.229999999981374,2601158.399999999441206,2352071.719999999739230,2252530.160000000149012,11671165.410000000149012
FS( 111 ),2134521.200000000186265,2312311.160000000149012,2571467.040000000037253,2326220.299999999813735,2264441.959999999962747,11608961.660000000149012
FS( 112 ),2113459.800000000279397,2311833.619999999646097,2559370.559999999590218,2331144.379999999888241,2279331.709999999962747,11595140.070000000298023
FS( 113 ),2070317.899999999906868,2282942.450000000186265,2544341.599999999627471,2289289.699999999720603,2256699.290000000037253,11443590.939999997615814
FS( 114 ),2091039.600000000093132,2277689.509999999776483,2539576.320000000298023,2285596.640000000130385,2245383.080000000074506,11439285.150000000372529
FS( 115 ),2130274.950000000186265,2284375.069999999832362,2557904.320000000298023,2308575.679999999701977,2266228.729999999515712,11547358.750000000000000
FS( 116 ),2106835.649999999906868,2302044.049999999813735,2592727.520000000484288,2312679.079999999608845,2355567.229999999515712,11669853.529999997466803
FS( 117 ),2076262.649999999906868,2293209.560000000055879,2589795.040000000037253,2297496.500000000000000,2338890.709999999962747,11595654.460000000894070
FS( 118 ),2101570.300000000279397,2297268.649999999906868,2622785.439999999478459,2281082.899999999906868,2402023.250000000000000,11704730.539999999105930
FS( 119 ),2082037.550000000046566,2325443.509999999776483,2620952.639999999664724,2242921.279999999795109,2391898.219999999739230,11663253.199999999254942
FS( 120 ),2096304.949999999953434,2312549.929999999701977,2618386.719999999739230,2206811.359999999869615,2412148.280000000260770,11646201.239999998360872
FS( 121 ),2106495.949999999720603,2354095.910000000149012,2643679.360000000335276,2264669.299999999813735,2402618.839999999850988,11771559.359999999403954
FS( 122 ),2098173.299999999813735,2335233.080000000074506,2580264.479999999515712,2298727.520000000018626,2369861.389999999664724,11682259.769999999552965
FS( 123 ),2092738.099999999860302,2350753.129999999888241,2505119.679999999701977,2286827.659999999683350,2344251.019999999552965,11579689.589999997988343
FS( 124 ),2113969.350000000093132,2373197.509999999776483,2516116.479999999515712,2297086.159999999683350,2400236.479999999515712,11700605.979999996721745
FS( 125 ),2131463.899999999906868,2372719.970000000204891,2536643.839999999850988,2329503.020000000018626,2441332.190000000409782,11811662.920000001788139
