代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12237212.670000001788139
真實報酬,2237212.670000001788139

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18364.182952184677561
風險,178242.358467367623234
起點值,0.103029286136532
找到最佳解世代,1769
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
BA[2](6),MCD[15](1),NKE[19](15),PG[21](4),UNH[23](20),
FS( 23 ),2107851.039999999571592,2038461.149999999906868,2282560.639999999664724,2140699.330000000074506,1776804.050000000279397,10346376.210000000894070
FS( 24 ),2143938.080000000074506,2034866.649999999906868,2310522.370000000111759,2138058.859999999403954,1759241.090000000083819,10386627.049999998882413
FS( 25 ),2144348.159999999683350,2064700.999999999767169,2320824.059999999590218,2151261.209999999962747,1784121.950000000186265,10465256.379999998956919
FS( 26 ),2123844.159999999683350,2053917.500000000000000,2334069.089999999850988,2148243.530000000260770,1833151.880000000121072,10493226.160000002011657
FS( 27 ),2144758.239999999757856,2044212.349999999860302,2356144.140000000596046,2174648.229999999515712,1768022.570000000065193,10487785.530000001192093
FS( 28 ),2160751.359999999869615,2038101.699999999953434,2339955.770000000484288,2171253.339999999850988,1805343.860000000335276,10515406.030000001192093
FS( 29 ),2118513.119999999646097,2037382.800000000046566,2326710.740000000223517,2168990.080000000074506,1846324.100000000093132,10497920.839999999850988
FS( 30 ),2128355.039999999571592,2050682.449999999953434,2342899.110000000335276,2159937.040000000037253,1777535.840000000083819,10459409.480000000447035
FS( 31 ),2153369.919999999925494,2066857.699999999953434,2388520.879999999888241,2161823.089999999850988,1819979.660000000149012,10590551.250000000000000
FS( 32 ),2122613.919999999925494,2092019.199999999953434,2389992.549999999813735,2159182.620000000111759,1796562.380000000121072,10560370.669999999925494
FS( 33 ),2181255.359999999869615,2112867.299999999813735,2394407.559999999590218,2166726.819999999366701,1789244.480000000214204,10644501.519999999552965
FS( 34 ),2191917.439999999944121,2130839.799999999813735,2431199.309999999590218,2179929.169999999925494,1823638.610000000335276,10757524.329999998211861
FS( 35 ),2127944.959999999962747,2117899.599999999627471,2394407.559999999590218,2192754.309999999590218,1899744.770000000251457,10732751.199999999254942
FS( 36 ),2076274.879999999888241,2096692.049999999813735,2382634.200000000186265,2168612.870000000111759,1838274.410000000149012,10562488.410000000149012
FS( 37 ),2094318.399999999906868,2138747.700000000186265,2398822.570000000298023,2192754.309999999590218,1881450.020000000251457,10706093.000000000000000
FS( 38 ),2045928.959999999962747,2136231.549999999813735,2360559.149999999441206,2174271.019999999552965,1891695.080000000307336,10608685.759999999776483
FS( 39 ),1980316.159999999916181,2127964.200000000186265,2345842.450000000186265,2146357.479999999515712,1852178.420000000158325,10452658.709999999031425
FS( 40 ),1958171.839999999850988,2121494.099999999627471,2357615.809999999590218,2156919.359999999403954,1939261.430000000167638,10533462.539999999105930
FS( 41 ),1936437.599999999860302,2107835.000000000000000,2301692.349999999627471,2158805.410000000149012,1893890.450000000186265,10398660.809999998658895
FS( 42 ),2001640.319999999832362,2125807.500000000000000,2344370.780000000260770,2245940.919999999925494,1937066.060000000055879,10654825.580000000074506
FS( 43 ),1960222.239999999757856,2106756.650000000372529,2288447.320000000298023,2187850.580000000074506,1899012.980000000214204,10442289.770000001415610
FS( 44 ),1979496.000000000000000,2126526.399999999441206,2300220.679999999701977,2223685.530000000260770,1933407.110000000335276,10563335.719999998807907
FS( 45 ),1972524.639999999897555,2129402.000000000000000,2306107.360000000335276,2209728.759999999776483,1969264.820000000065193,10587027.580000000074506
FS( 46 ),1971294.399999999906868,2167144.250000000000000,2307579.030000000260770,2226703.209999999962747,2039516.660000000149012,10712237.550000000745058
FS( 47 ),2041008.000000000000000,2209918.799999999813735,2382634.200000000186265,2281021.450000000186265,2064397.520000000251457,10978979.969999998807907
FS( 48 ),2037317.279999999795109,2218545.599999999627471,2375275.849999999627471,2302522.419999999925494,2098059.860000000335276,11031721.009999997913837
FS( 49 ),2105800.640000000130385,2251615.000000000000000,2403237.580000000074506,2333076.429999999701977,2131722.200000000186265,11225451.850000001490116
FS( 50 ),2063562.399999999906868,2238674.799999999813735,2372332.509999999776483,2333453.639999999664724,2120013.560000000055879,11128036.909999998286366
FS( 51 ),2078325.279999999795109,2258444.549999999813735,2388520.879999999888241,2347410.410000000149012,2149285.160000000149012,11221986.280000001192093
FS( 52 ),2061922.079999999841675,2234720.849999999627471,2357615.809999999590218,2312329.879999999888241,2104645.970000000204891,11071234.589999999850988
FS( 53 ),2078325.279999999795109,2285403.299999999813735,2370860.839999999850988,2324023.389999999664724,2128063.250000000000000,11186676.059999998658895
FS( 54 ),2152139.679999999701977,2319551.049999999813735,2431199.309999999590218,2348919.250000000000000,2133185.780000000260770,11384995.070000000298023
FS( 55 ),2154190.080000000074506,2285043.849999999627471,2389992.549999999813735,2350428.089999999850988,2120013.560000000055879,11299668.130000000819564
FS( 56 ),2133276.000000000000000,2299781.299999999813735,2370860.839999999850988,2354200.189999999478459,2112695.660000000149012,11270813.989999998360872
FS( 57 ),2109081.279999999795109,2279292.649999999441206,2338484.099999999627471,2344392.729999999515712,2095132.700000000186265,11166383.459999997168779
FS( 58 ),2120153.439999999944121,2299421.849999999627471,2351729.129999999888241,2331190.379999999888241,2090010.170000000158325,11192504.969999998807907
FS( 59 ),2158290.879999999888241,2300140.750000000000000,2372332.509999999776483,2366270.910000000149012,2128063.250000000000000,11325098.300000000745058
FS( 60 ),2131225.599999999627471,2308408.099999999627471,2373804.179999999701977,2368911.379999999888241,2163189.169999999925494,11345538.429999997839332
FS( 61 ),2170593.279999999795109,2316675.450000000186265,2417954.280000000260770,2371551.849999999627471,2161725.590000000316650,11438500.449999999254942
FS( 62 ),2150909.439999999944121,2286122.200000000186265,2392935.890000000596046,2356840.660000000149012,2154407.690000000409782,11341215.880000002682209
FS( 63 ),2149269.119999999646097,2273541.450000000186265,2387049.209999999962747,2351936.929999999701977,2098059.860000000335276,11259856.570000000298023
FS( 64 ),2202989.599999999627471,2283965.500000000000000,2406180.919999999925494,2373060.689999999478459,2100255.229999999981374,11366451.939999999478459
FS( 65 ),2205450.080000000074506,2246582.700000000186265,2404709.250000000000000,2383622.569999999366701,2070251.840000000083819,11310616.439999999478459
FS( 66 ),2205040.000000000000000,2227531.849999999627471,2379690.860000000335276,2359858.339999999850988,2000000.000000000000000,11172121.050000000745058
FS( 67 ),2242357.279999999795109,2213872.750000000000000,2366445.830000000074506,2361367.179999999701977,2009513.270000000251457,11193556.309999998658895
FS( 68 ),2289106.399999999906868,2226094.049999999813735,2375275.849999999627471,2356463.450000000186265,2070983.630000000121072,11317923.380000000819564
FS( 69 ),2282545.119999999646097,2178646.650000000372529,2337012.429999999701977,2333830.849999999627471,2082692.270000000251457,11214727.319999998435378
FS( 70 ),2274753.599999999627471,2178287.200000000186265,2279617.299999999813735,2347787.620000000111759,2085619.430000000167638,11166065.149999998509884
FS( 71 ),2255889.919999999925494,2194462.450000000186265,2307579.030000000260770,2347787.620000000111759,2218073.419999999925494,11323792.439999999478459
FS( 72 ),2280084.640000000130385,2216388.899999999441206,2350257.459999999962747,2351559.719999999739230,2230513.850000000093132,11428804.569999998435378
FS( 73 ),2298538.239999999757856,2233642.500000000000000,2360559.149999999441206,2376832.790000000037253,2264907.979999999981374,11534480.660000000149012
FS( 74 ),2282955.199999999720603,2228610.200000000186265,2367917.500000000000000,2343261.099999999627471,2291984.209999999962747,11514728.210000000894070
FS( 75 ),2260810.879999999888241,2243707.099999999627471,2356144.140000000596046,2344769.939999999478459,2356381.730000000447035,11561813.789999999105930
FS( 76 ),2233745.599999999627471,2225734.599999999627471,2326710.740000000223517,2323268.969999999739230,2328573.709999999962747,11438033.620000001043081
FS( 77 ),2191507.359999999869615,2234720.849999999627471,2370860.839999999850988,2321760.129999999888241,2308083.590000000316650,11426932.769999999552965
FS( 78 ),2226774.239999999757856,2252333.899999999441206,2387049.209999999962747,2312329.879999999888241,2354186.360000000335276,11532673.589999999850988
FS( 79 ),2259580.640000000130385,2263476.849999999627471,2394407.559999999590218,2312329.879999999888241,2365163.209999999962747,11594958.140000000596046
FS( 80 ),2253839.520000000018626,2277495.400000000372529,2407652.589999999850988,2312707.089999999850988,2313937.910000000149012,11565632.509999999776483
FS( 81 ),2275163.679999999701977,2279652.099999999627471,2400294.240000000223517,2311575.459999999962747,2318328.650000000372529,11585014.130000000819564
FS( 82 ),2261220.959999999962747,2286481.650000000372529,2410595.929999999701977,2310443.830000000074506,2297106.740000000223517,11565849.110000001266599
FS( 83 ),2264091.520000000018626,2285762.750000000000000,2435614.320000000298023,2322891.759999999776483,2257590.080000000074506,11565950.429999999701977
FS( 84 ),2253839.520000000018626,2260601.250000000000000,2434142.649999999441206,2314970.349999999627471,2269298.720000000204891,11532852.490000000223517
FS( 85 ),2219802.879999999888241,2244426.000000000000000,2431199.309999999590218,2287056.809999999590218,2230513.850000000093132,11412998.849999999627471
FS( 86 ),2303869.279999999795109,2256647.299999999813735,2404709.250000000000000,2305540.099999999627471,2307351.800000000279397,11578117.730000000447035
FS( 87 ),2379324.000000000000000,2239393.700000000186265,2413539.269999999552965,2306294.519999999552965,2303692.850000000093132,11642244.339999997988343
FS( 88 ),2451498.080000000074506,2208840.450000000186265,2398822.570000000298023,2295355.429999999701977,2326378.340000000316650,11680894.870000001043081
FS( 89 ),2550737.439999999944121,2225015.700000000186265,2422369.290000000037253,2282907.500000000000000,2415656.720000000204891,11896686.650000000372529
FS( 90 ),2526132.640000000130385,2222859.000000000000000,2417954.280000000260770,2279889.819999999366701,2392971.230000000447035,11839806.970000000670552
FS( 91 ),2496196.799999999813735,2240112.599999999627471,2388520.879999999888241,2270836.780000000260770,2409070.610000000335276,11804737.669999998062849
FS( 92 ),2478153.279999999795109,2252333.899999999441206,2384105.870000000111759,2296864.269999999552965,2345404.879999999888241,11756862.199999999254942
FS( 93 ),2508089.119999999646097,2249817.750000000000000,2406180.919999999925494,2320628.500000000000000,2381262.590000000316650,11865978.879999998956919
FS( 94 ),2524492.319999999832362,2251974.450000000186265,2391464.219999999739230,2322891.759999999776483,2438342.209999999962747,11929164.960000000894070
FS( 95 ),2494146.399999999906868,2238674.799999999813735,2369389.169999999925494,2294223.799999999813735,2469809.180000000167638,11866243.349999997764826
FS( 96 ),2487175.039999999571592,2281808.799999999813735,2381162.530000000260770,2328172.700000000186265,2570796.200000000186265,12049115.269999999552965
FS( 97 ),2468721.439999999944121,2264914.649999999441206,2362030.820000000298023,2280267.030000000260770,2528352.379999999888241,11904286.320000000298023
FS( 98 ),2427713.439999999944121,2271744.200000000186265,2341427.440000000409782,2257257.219999999739230,2422242.830000000074506,11720385.130000000819564
FS( 99 ),2369072.000000000000000,2278573.750000000000000,2317880.719999999739230,2274986.089999999850988,2426633.569999999832362,11667146.129999998956919
FS( 100 ),2369482.080000000074506,2267790.250000000000000,2342899.110000000335276,2287056.809999999590218,2414924.930000000167638,11682153.179999999701977
FS( 101 ),2366611.520000000018626,2293670.650000000372529,2345842.450000000186265,2289320.069999999366701,2373944.689999999944121,11669389.379999998956919
FS( 102 ),2539665.279999999795109,2290795.049999999813735,2354672.469999999739230,2293846.589999999850988,2432487.890000000130385,11911467.280000001192093
FS( 103 ),2565500.319999999832362,2258444.549999999813735,2337012.429999999701977,2326663.859999999403954,2446391.900000000372529,11934013.059999998658895
FS( 104 ),2485124.640000000130385,2244066.549999999813735,2345842.450000000186265,2321760.129999999888241,2414924.930000000167638,11811718.699999999254942
FS( 105 ),2530233.439999999944121,2296546.250000000000000,2357615.809999999590218,2338357.370000000111759,2424438.200000000186265,11947191.070000000298023
FS( 106 ),2540075.359999999869615,2301578.549999999813735,2351729.129999999888241,2372683.479999999515712,2491762.879999999888241,12057829.399999998509884
FS( 107 ),2520391.520000000018626,2343993.649999999441206,2354672.469999999739230,2363253.229999999515712,2438342.209999999962747,12020653.079999998211861
FS( 108 ),2432634.399999999906868,2302656.900000000372529,2284032.309999999590218,2316101.979999999515712,2375408.270000000018626,11710833.859999999403954
FS( 109 ),2394907.039999999571592,2277854.849999999627471,2270787.280000000260770,2312329.879999999888241,2381262.590000000316650,11637141.639999998733401
FS( 110 ),2373992.959999999962747,2261679.599999999627471,2256070.580000000074506,2301390.790000000037253,2371749.319999999832362,11564883.250000000000000
FS( 111 ),2449857.759999999776483,2285043.849999999627471,2300220.679999999701977,2329681.540000000037253,2414924.930000000167638,11779728.759999997913837
FS( 112 ),2441656.159999999683350,2273541.450000000186265,2304635.690000000409782,2326286.649999999441206,2393703.020000000018626,11739822.969999998807907
FS( 113 ),2484714.560000000055879,2292951.750000000000000,2316409.049999999813735,2337225.740000000223517,2423706.410000000149012,11855007.510000001639128
FS( 114 ),2446167.039999999571592,2285762.750000000000000,2298749.009999999776483,2329681.540000000037253,2354918.150000000372529,11715278.490000000223517
FS( 115 ),2512189.919999999925494,2300859.650000000372529,2341427.440000000409782,2370043.009999999776483,2314669.700000000186265,11839189.719999998807907
FS( 116 ),2535154.399999999906868,2309845.900000000372529,2372332.509999999776483,2370797.429999999701977,2381994.379999999888241,11970124.620000001043081
FS( 117 ),2579032.959999999962747,2317753.799999999813735,2370860.839999999850988,2391166.769999999552965,2392239.439999999944121,12051053.809999998658895
FS( 118 ),2607738.560000000055879,2327099.500000000000000,2367917.500000000000000,2393430.030000000260770,2337355.190000000409782,12033540.780000001192093
FS( 119 ),2623321.599999999627471,2328177.849999999627471,2366445.830000000074506,2392298.399999999441206,2420779.250000000000000,12131022.929999999701977
FS( 120 ),2574112.000000000000000,2331772.350000000558794,2359087.480000000447035,2384376.990000000223517,2401020.920000000391155,12050369.740000000223517
FS( 121 ),2603227.679999999701977,2345790.900000000372529,2388520.879999999888241,2410027.269999999552965,2460295.910000000149012,12207862.640000000596046
FS( 122 ),2578212.799999999813735,2314159.299999999813735,2434142.649999999441206,2402860.280000000260770,2447855.480000000447035,12177230.509999999776483
FS( 123 ),2590105.119999999646097,2295108.450000000186265,2487122.769999999552965,2387017.459999999962747,2477858.870000000111759,12237212.670000001788139
