代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14116441.019999999552965
真實報酬,4116441.019999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35364.309917263883108
風險,202586.305254559003515
起點值,0.174564168455647
找到最佳解世代,2154
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,2
HD[9](1),V[25](2),
FS( 25 ),5672479.080000001005828,5295423.589999999850988,10967902.670000001788139
FS( 26 ),5730160.339999999850988,5390936.479999999515712,11121096.820000000298023
FS( 27 ),5614797.820000000298023,5319857.119999999180436,10934654.939999999478459
FS( 28 ),5659817.339999999850988,5397600.169999999925494,11057417.509999999776483
FS( 29 ),5634493.860000000335276,5382051.559999999590218,11016545.419999999925494
FS( 30 ),5558523.419999999925494,5326520.809999999590218,10885044.230000000447035
FS( 31 ),5506469.600000000558794,5350954.339999999850988,10857423.940000001341105
FS( 32 ),5545861.680000000633299,5322078.349999999627471,10867940.030000001192093
FS( 33 ),5686547.680000000633299,5410927.549999999813735,11097475.230000000447035
FS( 34 ),5655596.760000000707805,5475343.219999998807907,11130939.980000000447035
FS( 35 ),5901797.260000000707805,5628608.089999999850988,11530405.350000001490116
FS( 36 ),5908831.560000000521541,5593068.409999999217689,11501899.969999998807907
FS( 37 ),5897576.680000000633299,5584183.489999999292195,11481760.169999999925494
FS( 38 ),5921493.300000000745058,5690802.529999999329448,11612295.830000000074506
FS( 39 ),5939782.480000000447035,5659705.309999999590218,11599487.789999999105930
FS( 40 ),5842709.140000000596046,5593068.409999999217689,11435777.550000000745058
FS( 41 ),5910238.419999999925494,5728563.439999999478459,11638801.859999999403954
FS( 42 ),5914459.000000000000000,5637493.009999999776483,11551952.009999999776483
FS( 43 ),5928527.600000000558794,5719678.519999999552965,11648206.120000001043081
FS( 44 ),6012939.200000001117587,5617501.939999999478459,11630441.140000000596046
FS( 45 ),6062179.300000000745058,5659705.309999999590218,11721884.609999999403954
FS( 46 ),6077654.760000000707805,5593068.409999999217689,11670723.169999999925494
FS( 47 ),6081875.339999999850988,5548643.809999999590218,11630519.149999998509884
FS( 48 ),6124081.140000000596046,5541980.119999999180436,11666061.259999999776483
FS( 49 ),6114233.120000001043081,5504219.209999999962747,11618452.330000001937151
FS( 50 ),6104385.100000000558794,5628608.089999999850988,11732993.190000001341105
FS( 51 ),6121267.419999999925494,5595289.639999999664724,11716557.059999998658895
FS( 52 ),6153625.200000001117587,5693023.759999999776483,11846648.960000000894070
FS( 53 ),6314007.240000001154840,5764103.119999999180436,12078110.359999999403954
FS( 54 ),6388570.820000000298023,5684138.839999999850988,12072709.660000000149012
FS( 55 ),6261953.419999999925494,5586404.719999998807907,11848358.139999998733401
FS( 56 ),6314007.240000001154840,5530873.969999998807907,11844881.210000000894070
FS( 57 ),6325262.120000001043081,5608617.019999999552965,11933879.140000000596046
FS( 58 ),6367467.919999999925494,5584183.489999999292195,11951651.410000000149012
FS( 59 ),6323855.260000000707805,5601953.329999999143183,11925808.589999999850988
FS( 60 ),6312600.379999999888241,5610838.250000000000000,11923438.629999998956919
FS( 61 ),6298531.780000001192093,5546422.579999999143183,11844954.359999999403954
FS( 62 ),6245071.100000000558794,5588625.949999999254942,11833697.050000000745058
FS( 63 ),6256325.980000000447035,5693023.759999999776483,11949349.740000000223517
FS( 64 ),6254919.120000001043081,5890713.229999999515712,12145632.350000001490116
FS( 65 ),6354806.180000000633299,5944022.750000000000000,12298828.929999999701977
FS( 66 ),6359026.760000000707805,5961792.589999999850988,12320819.350000001490116
FS( 67 ),6395605.120000001043081,5941801.519999999552965,12337406.640000000596046
FS( 68 ),6354806.180000000633299,6017323.339999999850988,12372129.519999999552965
FS( 69 ),6368874.780000001192093,6243888.799999999813735,12612763.580000001937151
FS( 70 ),6377315.940000000409782,6326074.309999999590218,12703390.250000000000000
FS( 71 ),6461727.540000000037253,6259437.409999999217689,12721164.949999999254942
FS( 72 ),6480016.720000000670552,6399374.899999999441206,12879391.620000001043081
FS( 73 ),6430776.620000001043081,6392711.209999999962747,12823487.830000001937151
FS( 74 ),6461727.540000000037253,6319410.619999999180436,12781138.160000000149012
FS( 75 ),6571462.620000001043081,6386047.519999999552965,12957510.140000000596046
FS( 76 ),6601006.680000000633299,6341622.919999999925494,12942629.600000001490116
FS( 77 ),6551766.580000001005828,6461569.339999999850988,13013335.920000001788139
FS( 78 ),6605227.260000000707805,6468233.029999999329448,13073460.289999999105930
FS( 79 ),6609447.839999999850988,6528206.239999999292195,13137654.079999998211861
FS( 80 ),6602413.540000000037253,6490445.329999999143183,13092858.869999999180436
FS( 81 ),6644619.339999999850988,6605949.289999999105930,13250568.629999998956919
FS( 82 ),6692452.580000001005828,6461569.339999999850988,13154021.920000001788139
FS( 83 ),6676977.120000001043081,6508215.169999999925494,13185192.290000000968575
FS( 84 ),6669942.820000000298023,6450463.189999999478459,13120406.009999999776483
FS( 85 ),6667129.100000000558794,6454905.649999999441206,13122034.750000000000000
FS( 86 ),6526443.100000000558794,6377162.599999999627471,12903605.699999999254942
FS( 87 ),6667129.100000000558794,6421587.199999999254942,13088716.300000000745058
FS( 88 ),6727624.080000001005828,6550418.539999999105930,13278042.620000001043081
FS( 89 ),6767016.160000001080334,6505993.939999999478459,13273010.100000001490116
FS( 90 ),6835952.300000000745058,6470454.259999999776483,13306406.560000000521541
FS( 91 ),6913329.600000000558794,6512657.629999999888241,13425987.230000000447035
FS( 92 ),6959755.980000000447035,6483781.639999999664724,13443537.620000001043081
FS( 93 ),6921770.760000000707805,6497109.019999999552965,13418879.780000001192093
FS( 94 ),6900667.860000000335276,6479339.179999999701977,13380007.039999999105930
FS( 95 ),6869716.940000000409782,6599285.599999999627471,13469002.539999999105930
FS( 96 ),6947094.240000001154840,6470454.259999999776483,13417548.500000000000000
FS( 97 ),7004775.500000000000000,6483781.639999999664724,13488557.140000000596046
FS( 98 ),6989300.040000000037253,6512657.629999999888241,13501957.669999999925494
FS( 99 ),6969604.000000000000000,6597064.369999999180436,13566668.369999999180436
FS( 100 ),7052608.740000001154840,6668143.729999999515712,13720752.470000000670552
FS( 101 ),7039947.000000000000000,6652595.119999999180436,13692542.119999999180436
FS( 102 ),7021657.820000000298023,6628161.589999999850988,13649819.410000000149012
FS( 103 ),7021657.820000000298023,6608170.519999999552965,13629828.339999999850988
FS( 104 ),7077932.220000000670552,6552639.769999999552965,13630571.990000000223517
FS( 105 ),7032912.700000001117587,6608170.519999999552965,13641083.220000000670552
FS( 106 ),7034319.560000000521541,6683692.339999999850988,13718011.900000000372529
FS( 107 ),7013216.660000001080334,6608170.519999999552965,13621387.179999999701977
FS( 108 ),7121544.879999999888241,6719232.019999999552965,13840776.899999998509884
FS( 109 ),7115917.440000000409782,6637046.509999999776483,13752963.949999999254942
FS( 110 ),6944280.520000000484288,6483781.639999999664724,13428062.160000000149012
FS( 111 ),6999148.060000000521541,6519321.320000000298023,13518469.380000000819564
FS( 112 ),7122951.740000001154840,6721453.250000000000000,13844404.990000002086163
FS( 113 ),7169378.120000001043081,6839178.439999999478459,14008556.560000000521541
FS( 114 ),7272078.900000000372529,6710347.099999999627471,13982426.000000000000000
FS( 115 ),7319912.140000000596046,6779205.229999999515712,14099117.370000001043081
FS( 116 ),7288961.220000000670552,6763656.619999999180436,14052617.839999999850988
FS( 117 ),7253789.720000000670552,6730338.169999999925494,13984127.890000000596046
FS( 118 ),7239721.120000001043081,6719232.019999999552965,13958953.140000000596046
FS( 119 ),7189074.160000001080334,6559303.459999999962747,13748377.620000001043081
FS( 120 ),7207363.339999999850988,6603728.059999999590218,13811091.399999998509884
FS( 121 ),7303029.820000000298023,6763656.619999999180436,14066686.439999999478459
FS( 122 ),7297402.379999999888241,6841399.669999999925494,14138802.050000000745058
FS( 123 ),7308657.260000000707805,6859169.509999999776483,14167826.769999999552965
FS( 124 ),7286147.500000000000000,6830293.519999999552965,14116441.019999999552965
