代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13586895.620000001043081
真實報酬,3586895.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30907.571700307344145
風險,184102.135959923238261
起點值,0.167882743669175
找到最佳解世代,1700
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
HD[9](3),UNH[23](1),WBA[27](2),
FS( 80 ),3895099.140000000130385,4383046.830000000074506,4281827.400000000372529,12559974.370000001043081
FS( 81 ),3851153.939999999944121,4320213.230000000447035,4230450.620000001043081,12401818.790000000968575
FS( 82 ),3835773.120000000111759,4259343.179999999701977,4164959.339999999850988,12260076.640000000596046
FS( 83 ),3941241.600000000093132,4295865.210000000894070,4210125.740000000223517,12447233.550000000745058
FS( 84 ),3824054.399999999906868,4172554.270000000018626,4163830.180000000167638,12160439.849999999627471
FS( 85 ),3824420.610000000335276,4213396.109999999403954,4228192.300000000745058,12266010.019999999552965
FS( 86 ),3927325.620000000111759,4233817.029999999329448,4222546.500000000000000,12383690.149999998509884
FS( 87 ),3970172.189999999944121,4238136.839999999850988,4215771.540000000968575,12424081.570000000298023
FS( 88 ),3991412.370000000111759,4273480.740000000223517,4222546.500000000000000,12487440.609999999403954
FS( 89 ),3993243.420000000391155,4225570.119999999180436,4299329.380000000819564,12518143.919999999925494
FS( 90 ),3967608.720000000204891,4181979.309999999590218,4313443.880000000819564,12463032.910000000149012
FS( 91 ),4052935.649999999906868,4279371.390000000596046,4329816.699999999254942,12662124.740000000223517
FS( 92 ),4039752.090000000316650,4313929.869999999180436,4490157.419999999925494,12843840.379999998956919
FS( 93 ),4107500.939999999944121,4313537.160000000149012,4514434.359999999403954,12935473.459999999031425
FS( 94 ),4097613.270000000018626,4297828.759999999776483,4444991.019999999552965,12840434.049999998882413
FS( 95 ),4101641.580000000074506,4310395.480000000447035,4403776.679999999701977,12815814.740000000223517
FS( 96 ),4101275.370000000111759,4310788.189999999478459,4391920.500000000000000,12803985.059999998658895
FS( 97 ),4062823.319999999832362,4320998.650000000372529,4352964.480000000447035,12736787.450000001117587
FS( 98 ),4110430.620000000111759,4422710.540000000968575,4354658.220000000670552,12887800.380000000819564
FS( 99 ),4111895.459999999962747,4571154.919999999925494,4437086.900000000372529,13120138.279999999329448
FS( 100 ),4275591.330000000074506,4533062.050000000745058,4538711.300000000745058,13347365.680000001564622
FS( 101 ),4259478.089999999850988,4478868.070000000298023,4517257.259999999776483,13255604.419999999925494
FS( 102 ),4225420.559999999590218,4463552.379999998956919,4609848.380000000819564,13298822.319999998435378
FS( 103 ),4202349.330000000074506,4462374.250000000000000,4690583.320000000298023,13355307.900000000372529
FS( 104 ),4252520.100000000558794,4492612.919999999925494,4721070.640000000596046,13466204.660000000149012
FS( 105 ),4250689.049999999813735,4432135.580000000074506,4697922.859999999403954,13380748.489999998360872
FS( 106 ),4202715.540000000037253,4469835.740000000223517,4687195.839999999850988,13359748.120000001043081
FS( 107 ),4244829.690000000409782,4507928.609999999403954,4697358.280000001192093,13450117.580000001937151
FS( 108 ),4191363.030000000260770,4432921.000000000000000,4649368.980000000447035,13273654.010000001639128
FS( 109 ),4220659.830000000074506,4512248.419999999925494,4714295.679999999701977,13447204.929999999701977
FS( 110 ),4122149.340000000316650,4416427.179999999701977,4670258.439999999478459,13208835.959999999031425
FS( 111 ),4140826.049999999813735,4426637.640000000596046,4658402.259999999776483,13225866.950000001117587
FS( 112 ),4251787.679999999701977,4511463.000000000000000,4756639.179999999701977,13519890.859999999403954
FS( 113 ),4204912.799999999813735,4525993.269999999552965,4726716.439999999478459,13457623.509999999776483
FS( 114 ),4266436.080000000074506,4654409.439999999478459,4898913.339999999850988,13819759.859999999403954
FS( 115 ),4232744.759999999776483,4618280.119999999180436,4870119.759999999776483,13721145.639999998733401
FS( 116 ),4251055.259999999776483,4710959.679999999701977,4922061.120000001043081,13884077.060000000521541
FS( 117 ),4217363.940000000409782,4742376.480000000447035,4932223.560000000521541,13891964.980000002309680
FS( 118 ),4302690.870000000111759,4678757.460000000894070,4981342.019999999552965,13962791.350000001490116
FS( 119 ),4250689.049999999813735,4674830.359999999403954,4963840.040000000968575,13889360.450000001117587
FS( 120 ),4253618.730000000447035,4638701.040000000968575,4968356.679999999701977,13860677.450000001117587
FS( 121 ),4163164.860000000335276,4576652.859999999403954,4848665.720000000670552,13588484.439999999478459
FS( 122 ),4115191.350000000093132,4565264.269999999552965,4767366.199999999254942,13447822.819999998435378
FS( 123 ),4169756.640000000130385,4634381.230000000447035,4815355.500000000000000,13619494.370000001043081
FS( 124 ),4197954.809999999590218,4751801.519999999552965,4854876.099999999627471,13804633.429999997839332
FS( 125 ),4160601.390000000130385,4645377.109999999403954,4780916.120000001043081,13586895.620000001043081
