代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12750681.310000000521541
真實報酬,2750681.310000000521541

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21690.090996975181042
風險,175695.521237263979856
起點值,0.123452725739572
找到最佳解世代,1925
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),PG[21](7),V[25](2),
FS( 72 ),3965106.179999999701977,3688054.799999999813735,3964123.829999999608845,11617285.809999998658895
FS( 73 ),4051983.679999999701977,3731921.160000000149012,4008077.240000000223517,11791983.080000000074506
FS( 74 ),4132606.000000000000000,3745460.160000000149012,3986694.500000000000000,11864761.660000000149012
FS( 75 ),4094379.899999999906868,3750334.200000000186265,3976003.129999999888241,11820718.230000000447035
FS( 76 ),4090904.799999999813735,3748709.520000000018626,3970063.479999999981374,11809678.800000000745058
FS( 77 ),4133301.020000000018626,3750875.760000000242144,4003325.520000000484288,11887503.300000000745058
FS( 78 ),4120095.640000000130385,3767122.560000000521541,3997385.869999999646097,11884605.070000000298023
FS( 79 ),4129825.920000000391155,3759540.720000000204891,4009265.169999999925494,11898632.810000000521541
FS( 80 ),4127740.860000000335276,3777953.760000000242144,3972439.339999999850988,11878134.960000000894070
FS( 81 ),4150676.520000000018626,3768747.240000000223517,3996197.939999999944121,11915622.699999999254942
FS( 82 ),4112450.420000000391155,3753042.000000000000000,3935613.510000000242144,11801106.929999999701977
FS( 83 ),4161796.840000000316650,3753042.000000000000000,3977191.059999999590218,11892030.899999998509884
FS( 84 ),4195852.820000000298023,3756291.360000000335276,3987882.430000000167638,11940027.610000001266599
FS( 85 ),4209753.219999999739230,3761165.400000000372529,4060346.159999999683350,12031265.779999999329448
FS( 86 ),4193072.739999999757856,3725422.440000000409782,4038963.419999999925494,11957459.599999999627471
FS( 87 ),4293155.620000000111759,3746001.720000000204891,4113803.010000000242144,12152961.349999999627471
FS( 88 ),4291070.560000000521541,3757374.479999999981374,4148252.979999999981374,12196699.020000001415610
FS( 89 ),4392543.480000000447035,3770913.479999999981374,4166071.930000000167638,12329529.890000000596046
FS( 90 ),4300800.839999999850988,3742210.799999999813735,4119742.659999999683350,12162755.299999998882413
FS( 91 ),4236163.980000000447035,3720548.400000000372529,4061534.089999999850988,12018247.470000000670552
FS( 92 ),4152066.560000000055879,3690221.040000000037253,4080540.970000000204891,11922829.570000000298023
FS( 93 ),4101330.100000000093132,3682639.200000000186265,4129246.099999999627471,11913216.400000000372529
FS( 94 ),4139556.200000000186265,3679389.839999999850988,4131621.959999999962747,11950569.000000000000000
FS( 95 ),4215313.379999999888241,3721089.959999999962747,4154192.629999999888241,12090596.969999998807907
FS( 96 ),4229908.799999999813735,3736795.200000000186265,4192206.389999999664724,12158911.390000000596046
FS( 97 ),4266744.860000000335276,3762248.520000000018626,4233783.940000000409782,12262778.320000000298023
FS( 98 ),4295240.679999999701977,3762248.520000000018626,4213589.129999999888241,12271079.329999998211861
FS( 99 ),4301495.860000000335276,3713508.119999999646097,4156568.490000000223517,12171573.470000000670552
FS( 100 ),4311921.160000000149012,3709717.200000000186265,4128058.169999999925494,12149697.530000001192093
FS( 101 ),4291765.580000000074506,3652311.839999999850988,4057970.299999999348074,12002048.719999998807907
FS( 102 ),4259099.640000000596046,3686971.680000000167638,4053218.579999999608845,11999290.900000000372529
FS( 103 ),4203498.040000000037253,3794742.119999999646097,4085292.689999999944121,12083533.849999999627471
FS( 104 ),4172917.160000000149012,3760623.839999999850988,4107863.359999999869615,12041405.359999999403954
FS( 105 ),4266049.839999999850988,3749792.640000000130385,4120930.589999999850988,12136774.070000000298023
FS( 106 ),4327211.599999999627471,3750334.200000000186265,4272985.629999999888241,12350532.429999999701977
FS( 107 ),4310531.120000000111759,3747084.839999999850988,4258730.469999999739230,12316347.429999999701977
FS( 108 ),4335551.839999999850988,3718923.720000000204891,4202897.759999999776483,12257374.320000000298023
FS( 109 ),4352232.320000000298023,3733004.280000000726432,4272985.629999999888241,12358223.230000000447035
FS( 110 ),4308446.060000000521541,3685888.560000000521541,4233783.940000000409782,12228119.560000002384186
FS( 111 ),4229908.799999999813735,3623609.160000000149012,4219528.780000000260770,12073047.740000000223517
FS( 112 ),4236859.000000000000000,3629024.760000000242144,4244475.309999999590218,12110360.070000000298023
FS( 113 ),4250759.399999999441206,3632815.680000000167638,4253978.750000000000000,12137554.830000000074506
FS( 114 ),4405053.839999999850988,3620359.799999999813735,4230220.149999999441206,12255634.789999999105930
FS( 115 ),4272305.019999999552965,3603029.880000000353903,4156568.490000000223517,12031904.390000000596046
FS( 116 ),4257014.580000000074506,3591657.119999999646097,4157756.419999999925494,12006429.119999999180436
FS( 117 ),4317481.320000000298023,3618735.119999999646097,4238535.660000000149012,12174753.099999999627471
FS( 118 ),4401578.740000000223517,3678306.720000000204891,4325254.549999999813735,12405141.010000001639128
FS( 119 ),4435634.719999999739230,3698886.000000000000000,4346637.290000000037253,12481159.009999999776483
FS( 120 ),4454400.260000000707805,3708092.520000000018626,4356140.730000000447035,12518634.510000001639128
FS( 121 ),4505136.719999999739230,3768747.240000000223517,4398906.209999999962747,12672791.169999999925494
FS( 122 ),4494711.419999999925494,3762790.080000000540167,4372771.750000000000000,12630274.250000000000000
FS( 123 ),4459265.399999999441206,3736253.640000000130385,4359704.520000000484288,12555224.559999998658895
FS( 124 ),4505831.740000000223517,3760623.839999999850988,4373959.679999999701977,12640416.259999999776483
FS( 125 ),4464825.559999999590218,3763873.200000000186265,4401282.069999999366701,12629981.829999998211861
FS( 126 ),4522512.219999999739230,3781744.680000000167638,4446423.410000000149012,12750681.310000000521541
