代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11824732.620000001043081
真實報酬,1824732.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17683.087017765130440
風險,86187.637295149397687
起點值,0.205169645818337
找到最佳解世代,2053
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,8
AAPL[0](2),CSCO[4](6),CVX[5](1),INTC[11](13),MCD[15](19),TRV[22](3),UNH[23](16),XOM[29](9),
FS( 17 ),1289425.699999999953434,1272041.520000000018626,1299149.389999999897555,1294363.200000000186265,1288564.189999999944121,1299369.580000000074506,1344004.400000000139698,1329676.939999999944121,10416594.919999999925494
FS( 18 ),1315069.849999999860302,1271461.480000000214204,1301173.849999999860302,1292275.520000000251457,1277680.219999999972060,1305910.659999999916181,1343297.600000000093132,1330370.989999999990687,10437240.169999999925494
FS( 19 ),1311580.850000000093132,1264501.000000000000000,1297124.929999999934807,1292275.520000000251457,1278620.810000000055879,1305754.920000000158325,1365385.100000000093132,1336339.819999999832362,10451582.950000001117587
FS( 20 ),1315244.300000000046566,1251160.080000000074506,1291613.899999999906868,1278705.600000000093132,1267468.099999999860302,1295476.080000000074506,1362381.200000000186265,1325651.449999999953434,10387700.709999999031425
FS( 21 ),1323966.800000000046566,1265661.080000000074506,1297012.459999999962747,1284446.719999999972060,1276336.520000000018626,1309959.899999999906868,1380581.300000000046566,1339810.069999999832362,10477774.850000001490116
FS( 22 ),1326758.000000000000000,1268561.280000000027940,1287002.629999999888241,1278705.600000000093132,1276874.000000000000000,1314009.140000000130385,1378107.500000000000000,1302053.750000000000000,10432071.900000000372529
FS( 23 ),1322745.649999999906868,1265661.080000000074506,1291726.369999999878928,1285490.560000000055879,1284398.719999999972060,1314476.360000000102445,1371923.000000000232831,1301498.510000000009313,10437920.250000000000000
FS( 24 ),1322047.850000000093132,1260440.719999999972060,1294313.179999999934807,1286012.480000000214204,1283323.760000000009313,1307156.580000000074506,1367682.200000000186265,1318572.139999999897555,10439548.910000000149012
FS( 25 ),1323269.000000000000000,1258120.560000000055879,1302860.899999999906868,1296450.880000000121072,1279292.660000000149012,1304820.479999999981374,1376163.800000000046566,1325651.449999999953434,10466629.730000000447035
FS( 26 ),1336003.849999999860302,1253480.239999999990687,1287902.389999999897555,1290709.760000000009313,1327397.120000000111759,1301705.679999999934807,1374396.800000000279397,1304968.760000000009313,10476564.599999999627471
FS( 27 ),1337399.449999999953434,1265661.080000000074506,1300723.969999999972060,1292275.520000000251457,1326456.530000000027940,1299369.580000000074506,1371216.200000000186265,1307744.959999999962747,10500847.290000002831221
FS( 28 ),1322571.199999999953434,1248259.880000000121072,1287227.570000000065193,1282359.040000000037253,1308450.950000000186265,1286287.420000000158325,1360790.900000000372529,1299832.790000000037253,10395779.750000000000000
FS( 29 ),1307742.949999999953434,1238399.200000000186265,1283291.119999999878928,1278705.600000000093132,1311272.719999999972060,1287377.599999999860302,1337643.200000000186265,1297473.020000000018626,10341905.410000000149012
FS( 30 ),1312802.000000000000000,1247679.840000000083819,1294200.709999999962747,1289144.000000000000000,1311541.459999999962747,1301082.720000000204891,1356373.400000000372529,1309271.869999999878928,10422096.000000000000000
FS( 31 ),1324315.699999999953434,1254640.320000000065193,1307359.699999999953434,1295407.040000000037253,1307644.729999999981374,1307468.060000000055879,1378284.200000000186265,1314685.459999999962747,10489805.210000000894070
FS( 32 ),1323966.800000000046566,1254640.320000000065193,1295662.820000000065193,1305845.440000000176951,1291385.959999999962747,1295787.560000000055879,1412917.400000000139698,1301082.080000000074506,10481288.380000000819564
FS( 33 ),1317686.600000000093132,1266241.119999999878928,1299149.389999999897555,1327244.160000000149012,1298104.459999999962747,1296254.780000000027940,1440659.300000000279397,1312880.929999999934807,10558220.740000000223517
FS( 34 ),1327979.150000000139698,1255220.360000000102445,1300499.029999999795109,1313674.240000000223517,1282920.649999999906868,1304820.479999999981374,1437302.000000000232831,1309133.060000000055879,10531548.970000000670552
FS( 35 ),1343854.100000000093132,1251160.080000000074506,1302973.369999999878928,1311064.640000000130385,1292460.920000000158325,1306066.399999999906868,1436241.800000000279397,1313713.790000000037253,10557535.100000001490116
FS( 36 ),1358333.449999999953434,1295823.160000000149012,1316919.649999999906868,1328809.920000000158325,1288832.929999999934807,1308713.979999999981374,1433061.200000000186265,1317461.659999999916181,10647955.949999999254942
FS( 37 ),1345249.699999999953434,1294663.080000000074506,1323892.789999999804422,1324634.560000000055879,1287892.340000000083819,1299369.580000000074506,1440836.000000000232831,1314546.649999999906868,10631084.700000001117587
FS( 38 ),1339492.850000000093132,1277261.880000000121072,1323442.909999999916181,1320981.120000000111759,1292192.179999999934807,1300304.020000000018626,1431647.600000000093132,1335923.389999999897555,10621245.950000001117587
FS( 39 ),1337922.800000000046566,1295243.119999999878928,1332777.919999999925494,1337160.640000000130385,1306704.139999999897555,1308091.020000000018626,1442249.600000000325963,1356189.649999999906868,10716338.890000000596046
FS( 40 ),1337748.350000000093132,1300463.480000000214204,1337389.189999999944121,1347077.120000000111759,1317319.370000000111759,1325378.159999999916181,1448787.500000000000000,1355912.030000000027940,10770075.200000001117587
FS( 41 ),1349959.849999999860302,1339906.200000000186265,1338401.419999999925494,1356471.679999999934807,1315572.560000000055879,1314320.620000000111759,1446137.000000000232831,1356606.080000000074506,10817375.410000000149012
FS( 42 ),1352227.700000000186265,1333525.760000000009313,1342337.869999999878928,1351252.480000000214204,1311407.090000000083819,1318369.860000000102445,1442072.900000000139698,1359659.899999999906868,10810853.560000000521541
FS( 43 ),1342807.399999999906868,1339326.160000000149012,1338851.300000000046566,1378392.320000000065193,1312347.679999999934807,1323509.280000000027940,1453381.700000000186265,1359382.280000000027940,10847998.119999999180436
FS( 44 ),1325362.399999999906868,1317284.640000000130385,1336152.019999999785796,1365344.320000000065193,1315169.450000000186265,1326935.560000000055879,1440659.300000000279397,1351470.109999999869615,10778377.800000000745058
FS( 45 ),1304602.850000000093132,1325405.200000000186265,1319731.399999999906868,1382567.679999999934807,1303613.630000000121072,1323820.760000000009313,1432707.800000000046566,1343419.129999999888241,10735868.449999999254942
FS( 46 ),1304602.850000000093132,1330625.560000000055879,1324905.019999999785796,1404488.320000000065193,1317991.219999999972060,1319615.780000000027940,1425286.400000000139698,1352719.399999999906868,10780234.550000000745058
FS( 47 ),1321698.950000000186265,1341066.280000000027940,1339526.119999999878928,1408141.760000000009313,1321619.209999999962747,1336591.439999999944121,1438185.500000000232831,1351053.679999999934807,10857882.939999999478459
FS( 48 ),1304602.850000000093132,1313804.399999999906868,1312420.849999999860302,1379436.160000000149012,1336131.170000000158325,1323665.020000000018626,1413447.500000000000000,1343419.129999999888241,10726927.079999998211861
FS( 49 ),1295008.100000000093132,1302783.640000000130385,1316244.829999999841675,1366388.160000000149012,1334249.989999999990687,1328492.959999999962747,1395070.700000000186265,1342586.270000000018626,10680824.650000000372529
FS( 50 ),1300241.600000000093132,1325405.200000000186265,1335027.320000000065193,1386221.120000000111759,1345268.330000000074506,1331607.760000000009313,1399134.800000000279397,1358410.609999999869615,10781316.740000000223517
FS( 51 ),1290821.299999999813735,1327725.360000000102445,1353022.519999999785796,1397181.440000000176951,1354942.969999999972060,1337681.620000000111759,1404965.900000000372529,1369793.030000000027940,10836134.139999998733401
FS( 52 ),1293438.050000000046566,1335845.920000000158325,1370230.429999999934807,1405532.160000000149012,1354942.969999999972060,1351542.479999999981374,1381641.500000000232831,1387283.089999999850988,10880456.599999999627471
FS( 53 ),1308266.299999999813735,1346286.640000000130385,1391037.379999999888241,1411273.280000000027940,1347149.510000000009313,1349985.080000000074506,1339056.800000000279397,1393945.969999999972060,10887000.960000000894070
FS( 54 ),1323792.349999999860302,1357307.399999999906868,1397335.699999999953434,1406576.000000000000000,1339356.050000000046566,1345624.360000000102445,1324390.700000000186265,1401025.280000000027940,10895407.839999999850988
FS( 55 ),1325187.949999999953434,1364267.880000000121072,1394636.419999999925494,1400834.880000000121072,1334653.099999999860302,1353255.620000000111759,1338703.400000000372529,1393251.919999999925494,10904791.169999999925494
FS( 56 ),1307742.949999999953434,1363107.800000000046566,1402396.849999999860302,1396137.600000000093132,1332100.069999999832362,1372567.379999999888241,1331105.300000000046566,1395056.449999999953434,10900214.399999998509884
FS( 57 ),1415029.699999999953434,1353247.119999999878928,1398010.519999999785796,1396137.600000000093132,1341640.340000000083819,1379731.420000000158325,1353369.500000000232831,1388254.760000000009313,11025420.959999999031425
FS( 58 ),1425496.699999999953434,1334105.800000000046566,1394523.949999999953434,1370563.520000000251457,1353599.270000000018626,1375370.699999999953434,1336936.400000000139698,1393807.159999999916181,10984403.500000000000000
FS( 59 ),1480622.900000000139698,1335265.880000000121072,1414093.729999999981374,1374216.959999999962747,1347955.729999999981374,1396084.120000000111759,1338350.000000000000000,1404356.719999999972060,11090946.040000000968575
FS( 60 ),1476261.650000000139698,1343386.439999999944121,1416793.010000000009313,1382045.760000000009313,1363945.760000000009313,1415707.360000000102445,1328808.200000000186265,1408243.399999999906868,11135191.580000000074506
FS( 61 ),1470679.250000000000000,1340486.239999999990687,1411731.859999999869615,1393006.080000000074506,1362333.319999999832362,1410723.679999999934807,1325981.000000000232831,1421569.159999999916181,11136510.589999999850988
FS( 62 ),1474168.250000000000000,1334685.840000000083819,1405208.599999999860302,1380480.000000000000000,1356689.780000000027940,1414617.179999999934807,1324390.700000000186265,1407688.159999999916181,11097928.509999999776483
FS( 63 ),1476785.000000000000000,1330625.560000000055879,1402734.260000000009313,1378392.320000000065193,1363005.170000000158325,1417264.760000000009313,1325804.300000000279397,1416016.760000000009313,11110628.130000000819564
FS( 64 ),1497719.000000000000000,1331785.640000000130385,1409932.339999999850988,1365866.240000000223517,1359108.439999999944121,1411813.860000000102445,1329338.300000000279397,1428509.659999999916181,11134073.480000000447035
FS( 65 ),1481495.150000000139698,1317864.679999999934807,1405546.010000000009313,1367432.000000000000000,1356555.410000000149012,1399821.879999999888241,1329868.400000000372529,1425178.219999999972060,11083761.750000001862645
FS( 66 ),1476261.650000000139698,1326565.280000000027940,1419717.229999999981374,1376304.640000000130385,1370126.780000000027940,1418354.939999999944121,1376693.900000000139698,1431285.859999999869615,11195310.280000001192093
FS( 67 ),1465445.750000000000000,1335265.880000000121072,1406895.649999999906868,1374738.880000000121072,1369992.410000000149012,1421002.520000000018626,1358670.500000000232831,1420319.869999999878928,11152331.459999999031425
FS( 68 ),1459340.000000000000000,1335265.880000000121072,1406220.829999999841675,1372651.200000000186265,1383160.670000000158325,1421936.959999999962747,1359730.700000000186265,1415183.899999999906868,11153490.140000000596046
FS( 69 ),1477482.800000000046566,1345126.560000000055879,1408582.699999999953434,1376304.640000000130385,1382220.080000000074506,1433461.720000000204891,1373690.000000000000000,1419070.580000000074506,11215939.080000001937151
FS( 70 ),1479750.649999999906868,1325985.239999999990687,1415443.369999999878928,1380480.000000000000000,1391222.870000000111759,1447011.099999999860302,1378991.000000000232831,1420875.109999999869615,11239759.339999999850988
FS( 71 ),1480099.550000000046566,1323085.040000000037253,1421854.159999999916181,1374216.959999999962747,1384504.370000000111759,1442961.860000000102445,1363618.100000000325963,1419903.439999999944121,11210243.479999998584390
FS( 72 ),1467539.150000000139698,1402550.520000000018626,1392499.489999999990687,1357515.520000000251457,1377382.760000000009313,1438601.140000000130385,1351425.800000000279397,1398943.129999999888241,11186457.510000001639128
FS( 73 ),1489170.949999999953434,1413571.280000000027940,1385413.879999999888241,1347599.040000000037253,1385982.439999999944121,1441871.679999999934807,1354429.700000000186265,1398387.889999999897555,11216426.859999999403954
FS( 74 ),1506790.400000000139698,1412411.200000000186265,1382827.070000000065193,1359081.280000000027940,1371873.590000000083819,1444830.739999999990687,1364148.200000000186265,1400192.419999999925494,11242154.900000000372529
FS( 75 ),1507139.300000000046566,1399070.280000000027940,1377765.919999999925494,1359081.280000000027940,1364348.870000000111759,1443273.340000000083819,1354606.400000000139698,1397416.219999999972060,11202701.610000001266599
FS( 76 ),1511151.650000000139698,1419951.719999999972060,1396435.939999999944121,1367432.000000000000000,1378188.979999999981374,1446232.399999999906868,1373336.600000000093132,1416294.379999999888241,11309023.670000001788139
FS( 77 ),1513419.500000000000000,1414151.320000000065193,1390475.029999999795109,1364822.399999999906868,1376710.910000000149012,1448568.500000000000000,1384292.000000000232831,1408937.449999999953434,11301377.109999999403954
FS( 78 ),1530515.600000000093132,1422271.880000000121072,1387550.810000000055879,1372129.280000000027940,1370664.260000000009313,1446232.399999999906868,1391890.100000000093132,1406438.869999999878928,11327693.199999999254942
FS( 79 ),1559299.849999999860302,1433292.640000000130385,1381589.899999999906868,1394049.920000000158325,1375501.580000000074506,1456044.020000000018626,1397897.900000000139698,1406994.109999999869615,11404669.919999999925494
FS( 80 ),1555113.050000000046566,1439673.080000000074506,1377990.859999999869615,1402922.560000000055879,1361258.359999999869615,1455576.799999999813735,1388532.800000000046566,1402829.810000000055879,11383897.320000002160668
FS( 81 ),1583548.399999999906868,1431552.520000000018626,1375741.459999999962747,1407097.920000000158325,1361795.840000000083819,1465544.159999999916181,1402492.100000000325963,1405744.819999999832362,11433517.219999998807907
FS( 82 ),1577617.100000000093132,1428072.280000000027940,1381027.550000000046566,1425887.040000000037253,1363005.170000000158325,1455421.060000000055879,1407086.300000000046566,1395472.879999999888241,11433589.379999998956919
FS( 83 ),1566801.199999999953434,1437352.920000000158325,1374504.289999999804422,1422755.520000000251457,1371067.370000000111759,1459470.299999999813735,1404259.100000000093132,1387283.089999999850988,11423493.790000000968575
FS( 84 ),1588956.349999999860302,1431552.520000000018626,1378328.269999999785796,1443632.320000000065193,1363273.910000000149012,1454798.099999999860302,1411503.800000000046566,1393529.540000000037253,11465574.810000002384186
FS( 85 ),1607099.150000000139698,1421111.800000000046566,1376078.869999999878928,1440500.800000000279397,1376576.540000000037253,1474421.340000000083819,1422635.900000000372529,1388671.189999999944121,11507095.590000001713634
FS( 86 ),1613379.350000000093132,1432712.600000000093132,1389237.859999999869615,1443632.320000000065193,1376710.910000000149012,1479093.540000000037253,1410090.200000000186265,1395750.500000000000000,11540607.280000001192093
FS( 87 ),1608843.649999999906868,1440253.119999999878928,1396773.349999999860302,1470250.240000000223517,1370126.780000000027940,1469593.399999999906868,1412387.300000000279397,1410325.549999999813735,11578553.390000000596046
FS( 88 ),1634662.250000000000000,1438513.000000000000000,1398797.810000000055879,1456680.320000000065193,1362333.319999999832362,1474265.599999999860302,1409383.400000000372529,1409215.069999999832362,11583850.770000001415610
FS( 89 ),1644257.000000000000000,1450113.800000000046566,1409707.399999999906868,1473903.679999999934807,1355614.819999999832362,1481118.159999999916181,1410266.900000000139698,1408382.209999999962747,11633363.969999998807907
FS( 90 ),1637453.449999999953434,1452433.959999999962747,1407907.879999999888241,1457724.160000000149012,1349433.800000000046566,1478003.360000000102445,1416628.100000000325963,1415183.899999999906868,11614768.609999999403954
FS( 91 ),1610064.800000000046566,1430392.439999999944121,1418367.589999999850988,1459289.920000000158325,1340565.380000000121072,1479560.760000000009313,1403729.000000000232831,1411158.409999999916181,11553128.300000000745058
FS( 92 ),1592445.350000000093132,1432712.600000000093132,1431301.639999999897555,1558976.640000000130385,1350374.389999999897555,1485946.099999999860302,1399134.800000000279397,1424900.600000000093132,11675792.120000001043081
FS( 93 ),1608494.750000000000000,1422851.920000000158325,1445697.799999999813735,1566283.520000000251457,1358570.959999999962747,1486724.799999999813735,1378284.200000000186265,1428648.469999999972060,11695556.419999999925494
FS( 94 ),1606401.349999999860302,1421111.800000000046566,1448959.430000000167638,1563152.000000000000000,1360855.250000000000000,1482987.040000000037253,1381288.100000000325963,1421707.969999999972060,11686462.940000001341105
FS( 95 ),1608145.850000000093132,1428652.320000000065193,1465267.579999999841675,1562108.160000000149012,1361930.209999999962747,1485790.360000000102445,1399664.900000000139698,1426011.080000000074506,11737570.460000000894070
FS( 96 ),1602563.449999999953434,1433292.640000000130385,1484499.949999999953434,1570458.880000000121072,1369454.929999999934807,1488905.159999999916181,1422635.900000000372529,1424622.979999999981374,11796433.890000000596046
FS( 97 ),1585990.699999999953434,1440253.119999999878928,1488436.399999999906868,1576200.000000000000000,1369589.300000000046566,1473175.420000000158325,1438538.900000000139698,1441280.179999999934807,11813464.019999999552965
FS( 98 ),1584595.099999999860302,1432712.600000000093132,1495634.479999999748543,1577765.760000000009313,1369454.929999999934807,1478782.060000000055879,1439952.500000000000000,1448914.729999999981374,11827812.160000000149012
FS( 99 ),1575000.350000000093132,1422851.920000000158325,1482025.610000000102445,1591857.600000000093132,1363542.649999999906868,1474421.340000000083819,1444370.000000000000000,1426011.080000000074506,11780080.550000000745058
FS( 100 ),1576395.949999999953434,1433872.679999999934807,1475952.229999999748543,1611690.560000000055879,1365423.830000000074506,1477380.399999999906868,1454972.000000000232831,1417821.290000000037253,11813508.940000001341105
FS( 101 ),1585816.250000000000000,1429812.399999999906868,1472465.659999999683350,1606471.360000000102445,1364080.130000000121072,1470372.099999999860302,1454088.500000000232831,1416294.379999999888241,11799400.780000001192093
FS( 102 ),1604656.850000000093132,1432712.600000000093132,1466167.340000000083819,1614300.160000000149012,1363408.280000000027940,1462740.840000000083819,1448964.200000000186265,1404911.959999999962747,11797862.230000000447035
FS( 103 ),1621229.600000000093132,1441413.200000000186265,1468304.270000000018626,1612734.399999999906868,1353733.639999999897555,1465076.939999999944121,1444546.700000000186265,1397555.030000000027940,11804593.779999999329448
FS( 104 ),1631522.149999999906868,1454754.119999999878928,1468191.799999999813735,1616909.760000000009313,1357227.260000000009313,1482831.299999999813735,1447020.500000000232831,1406994.109999999869615,11865450.999999998137355
FS( 105 ),1630824.350000000093132,1451853.920000000158325,1464705.229999999748543,1616909.760000000009313,1350911.870000000111759,1473642.640000000130385,1457622.500000000000000,1409909.119999999878928,11856379.389999998733401
FS( 106 ),1640419.100000000093132,1461134.560000000055879,1475502.349999999860302,1625260.480000000214204,1356958.520000000018626,1477068.920000000158325,1472818.700000000186265,1424067.739999999990687,11933230.369999999180436
FS( 107 ),1674262.399999999906868,1463454.719999999972060,1467404.510000000009313,1619519.360000000102445,1346074.550000000046566,1472552.459999999962747,1452851.600000000093132,1424900.600000000093132,11921020.199999999254942
FS( 108 ),1663446.500000000000000,1454174.080000000074506,1460993.719999999972060,1606993.280000000027940,1344999.590000000083819,1466167.120000000111759,1447727.300000000279397,1427399.179999999934807,11871900.769999999552965
FS( 109 ),1664144.300000000046566,1475635.560000000055879,1477751.749999999767169,1612212.480000000214204,1358167.849999999860302,1474888.560000000055879,1462040.000000000000000,1437393.500000000000000,11962234.000000000000000
FS( 110 ),1658038.550000000046566,1475635.560000000055879,1464930.169999999925494,1631523.520000000251457,1351583.719999999972060,1468658.959999999962747,1450377.800000000046566,1423790.119999999878928,11924538.400000000372529
FS( 111 ),1661178.649999999906868,1480275.880000000121072,1444910.510000000009313,1631001.600000000093132,1348761.950000000186265,1474577.080000000074506,1464337.100000000325963,1412268.889999999897555,11917311.660000002011657
FS( 112 ),1682636.000000000000000,1475635.560000000055879,1453795.639999999897555,1643527.679999999934807,1350105.649999999906868,1488282.199999999953434,1489075.100000000093132,1425317.030000000027940,12008374.859999997541308
FS( 113 ),1662923.149999999906868,1488976.480000000214204,1453795.639999999897555,1655009.920000000158325,1347821.359999999869615,1494356.060000000055879,1482537.200000000186265,1421291.540000000037253,12006711.349999997764826
FS( 114 ),1653502.850000000093132,1506957.719999999972060,1472128.249999999767169,1808454.399999999906868,1333981.250000000000000,1489216.640000000130385,1480063.400000000372529,1440447.319999999832362,12184751.830000001937151
FS( 115 ),1624020.800000000046566,1486656.320000000065193,1463018.180000000167638,1758872.000000000232831,1321887.950000000186265,1474888.560000000055879,1503917.900000000139698,1420181.060000000055879,12053442.770000001415610
FS( 116 ),1647397.100000000093132,1502897.439999999944121,1466504.749999999767169,1758872.000000000232831,1330218.889999999897555,1484855.920000000158325,1511162.600000000093132,1426011.080000000074506,12127919.779999999329448
FS( 117 ),1638849.050000000046566,1499417.200000000186265,1476627.049999999813735,1777661.120000000111759,1310869.609999999869615,1483610.000000000000000,1503034.400000000139698,1430869.429999999934807,12120937.859999999403954
FS( 118 ),1652456.149999999906868,1505217.600000000093132,1491135.680000000167638,1815761.280000000027940,1293670.250000000000000,1427076.379999999888241,1520527.700000000186265,1437254.689999999944121,12143099.729999998584390
FS( 119 ),1695545.300000000046566,1489556.520000000018626,1505756.779999999795109,1800625.600000000093132,1281308.209999999962747,1429412.479999999981374,1518584.000000000232831,1447110.199999999953434,12167899.089999997988343
FS( 120 ),1692754.100000000093132,1498257.119999999878928,1516666.369999999878928,1787577.600000000093132,1281308.209999999962747,1446543.879999999888241,1513989.800000000279397,1447526.629999999888241,12184623.710000000894070
FS( 121 ),1703918.900000000139698,1506377.679999999934807,1502270.209999999962747,1787577.600000000093132,1286279.899999999906868,1434396.159999999916181,1496319.800000000279397,1432257.530000000027940,12149397.780000001192093
FS( 122 ),1727469.649999999906868,1503477.480000000214204,1498558.699999999953434,1786533.760000000009313,1287086.120000000111759,1430969.879999999888241,1515226.700000000186265,1448775.919999999925494,12198098.209999999031425
FS( 123 ),1716304.849999999860302,1491296.640000000130385,1489336.159999999683350,1784446.080000000074506,1287623.599999999860302,1419133.640000000130385,1489075.100000000093132,1437393.500000000000000,12114609.570000000298023
FS( 124 ),1712292.500000000000000,1486656.320000000065193,1490573.329999999841675,1792796.800000000279397,1289370.410000000149012,1416330.320000000065193,1465750.700000000186265,1433229.199999999953434,12086999.580000001937151
FS( 125 ),1667807.750000000000000,1463454.719999999972060,1453570.699999999953434,1768788.480000000214204,1270692.979999999981374,1394838.199999999953434,1432177.700000000186265,1373402.089999999850988,11824732.620000001043081
