訓練日期,20171228 - 20180403
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10883255.250000000000000
真實報酬,883255.250000000000000

夏普值報酬,0.079625525000000
夏普值風險,0.043991789338201
夏普值,1.810008781135331

預期報酬,24278.376475204175222
風險,342616.075614291185047
趨勢值,0.070861755192527
找到最佳解世代,1837
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](7),
FS( 38 ),4003316.790000000037253,3709077.299999999348074,3303043.439999999944121,11015438.529999999329448
FS( 39 ),4011639.570000000298023,3800637.979999999515712,3442231.179999999701977,11254509.730000000447035
FS( 40 ),4088344.109999999869615,3918112.059999999590218,3541754.020000000018626,11548211.189999999478459
FS( 41 ),4101390.629999999888241,3890471.099999999627471,3599448.419999999925494,11591311.149999998509884
FS( 42 ),4074060.419999999459833,3868012.819999999832362,3554735.259999999776483,11496809.500000000000000
FS( 43 ),3933247.979999999981374,3783362.379999999422580,3450164.160000000149012,11166775.519999999552965
FS( 44 ),3876788.040000000037253,3805820.659999999683350,3532378.679999999701977,11214988.379999998956919
FS( 45 ),3967663.799999999813735,3845554.539999999571592,3587909.540000000037253,11401128.879999998956919
FS( 46 ),3924587.790000000037253,3825687.599999999627471,3657142.820000000298023,11407419.210000000894070
FS( 47 ),3903443.430000000167638,3817913.579999999608845,3701134.800000000279397,11422492.810000000521541
FS( 48 ),3922450.859999999869615,3830006.500000000000000,3659306.360000000335276,11411764.719999998807907
FS( 49 ),3987570.989999999757856,3918975.839999999385327,3763877.459999999962747,11670425.289999999105930
FS( 50 ),3871389.479999999981374,3934523.879999999422580,3715558.400000000372529,11521472.759999999776483
FS( 51 ),3809306.040000000037253,3900836.459999999031425,3734309.080000000074506,11444452.579999998211861
FS( 52 ),3714718.769999999552965,3911201.819999999832362,3740078.520000000018626,11366000.109999999403954
FS( 53 ),3711569.609999999869615,3915520.719999999273568,3669402.880000000353903,11296494.209999999031425
FS( 54 ),3717080.640000000130385,3887879.759999999310821,3690317.100000000093132,11295278.500000000000000
FS( 55 ),3731589.269999999552965,3823960.039999999571592,3665796.979999999981374,11221347.289999999105930
FS( 56 ),3797609.159999999683350,3832597.839999999385327,3717721.939999999944121,11347929.939999999478459
FS( 57 ),3791648.250000000000000,3827415.159999999683350,3718443.120000000111759,11337507.530000001192093
FS( 58 ),3594938.219999999739230,3720306.439999999478459,3665796.979999999981374,10981042.639999998733401
FS( 59 ),3610571.549999999813735,3664160.739999999757856,3559783.520000000018626,10834516.809999998658895
FS( 60 ),3700210.140000000130385,3805820.659999999683350,3784791.679999999701977,11290823.480000000447035
FS( 61 ),3611921.189999999944121,3686619.019999999552965,3691759.459999999962747,10990300.669999998062849
FS( 62 ),3599549.489999999757856,3598513.459999999031425,3577091.840000000316650,10775155.789999999105930
FS( 63 ),3687950.909999999683350,3704758.399999999441206,3755944.479999999981374,11148654.789999999105930
FS( 64 ),3626767.229999999981374,3542367.759999999310821,3528051.600000000093132,10697187.589999999850988
FS( 65 ),3721017.089999999850988,3574327.619999999646097,3587909.540000000037253,10883255.250000000000000
