訓練日期,20170628 - 20170928
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11003606.820000000298023
真實報酬,1003606.820000000298023

夏普值報酬,0.091660682000000
夏普值風險,0.029286543700442
夏普值,3.129788306109215

預期報酬,15594.443202903970814
風險,71457.437607790488983
趨勢值,0.218234010691755
找到最佳解世代,2205
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](8),AXP[1](9),BA[2](2),CAT[3](1),DD[7](13),HD[9](21),MCD[15](15),UNH[23](4),
FS( 7 ),1235857.849999999860302,1255358.959999999962747,1267217.750000000000000,1255518.739999999990687,1262767.760000000009313,1241843.000000000000000,1265958.969999999972060,1265212.060000000055879,10049735.089999999850988
FS( 8 ),1243400.329999999841675,1254912.380000000121072,1277172.739999999990687,1266321.379999999888241,1275119.179999999934807,1233278.150000000139698,1259883.219999999972060,1258413.750000000000000,10068501.130000000819564
FS( 9 ),1247428.699999999953434,1252828.340000000083819,1291635.649999999906868,1271018.179999999701977,1275813.080000000074506,1228547.090000000083819,1254941.609999999869615,1251682.750000000000000,10073895.399999998509884
FS( 10 ),1249228.609999999869615,1262653.099999999860302,1292700.020000000018626,1279472.419999999692664,1309952.959999999962747,1244779.520000000251457,1268470.280000000027940,1256663.689999999944121,10163920.599999999627471
FS( 11 ),1266627.739999999990687,1270840.400000000139698,1291385.209999999962747,1273718.839999999850988,1296630.080000000074506,1250489.420000000158325,1255994.739999999990687,1248519.179999999934807,10154205.609999999403954
FS( 12 ),1277512.909999999683350,1269500.660000000149012,1305660.289999999804422,1277241.439999999711290,1309120.280000000027940,1247145.050000000046566,1257938.979999999981374,1258077.200000000186265,10202196.809999998658895
FS( 13 ),1281969.829999999841675,1268607.500000000000000,1308728.179999999934807,1278063.379999999888241,1306761.020000000018626,1255383.620000000111759,1257776.959999999962747,1254375.149999999906868,10211665.640000000596046
FS( 14 ),1286426.750000000000000,1273073.300000000046566,1303969.820000000065193,1257280.039999999804422,1299405.679999999934807,1241353.580000000074506,1247245.659999999916181,1257740.649999999906868,10166495.480000000447035
FS( 15 ),1294483.489999999990687,1279176.560000000288710,1320498.859999999869615,1266438.799999999813735,1319667.560000000055879,1250570.990000000223517,1246678.589999999850988,1273491.189999999944121,10251006.039999999105930
FS( 16 ),1288655.209999999962747,1270542.679999999934807,1316742.260000000009313,1260215.539999999804422,1312173.439999999944121,1199426.600000000093132,1249270.909999999916181,1289039.800000000046566,10186066.439999999478459
FS( 17 ),1288055.239999999990687,1274115.320000000065193,1328387.719999999739230,1251643.879999999888241,1307177.360000000102445,1196326.940000000176951,1246921.619999999878928,1290924.479999999981374,10183552.560000000521541
FS( 18 ),1303654.459999999962747,1265332.580000000074506,1328638.159999999916181,1270313.659999999916181,1308703.939999999944121,1179441.950000000186265,1230152.549999999813735,1284933.889999999897555,10171171.190000001341105
FS( 19 ),1309225.609999999869615,1271435.840000000083819,1330391.239999999990687,1344992.780000000027940,1321194.140000000130385,1198937.180000000167638,1288641.769999999785796,1281635.700000000186265,10346454.260000001639128
FS( 20 ),1315396.729999999981374,1269798.380000000121072,1461809.629999999888241,1333015.939999999711290,1312728.560000000055879,1196653.220000000204891,1267903.209999999962747,1283991.550000000046566,10441297.220000002533197
FS( 21 ),1290540.829999999841675,1248213.679999999934807,1509080.179999999934807,1342996.639999999897555,1306344.679999999934807,1205136.500000000000000,1271467.649999999906868,1271741.130000000121072,10445521.289999999105930
FS( 22 ),1281455.569999999832362,1262355.380000000121072,1510770.649999999906868,1339826.299999999813735,1298017.880000000121072,1207991.450000000186265,1262556.549999999813735,1286683.950000000186265,10449657.730000000447035
FS( 23 ),1274855.899999999674037,1268756.360000000102445,1518221.239999999990687,1338065.000000000000000,1269567.979999999981374,1220390.090000000083819,1256804.839999999850988,1291126.410000000149012,10437787.820000000298023
FS( 24 ),1286169.619999999878928,1268905.219999999972060,1499313.020000000018626,1328084.299999999813735,1278449.900000000139698,1222429.340000000083819,1247893.739999999990687,1293953.429999999934807,10425198.570000000298023
FS( 25 ),1346938.009999999776483,1269798.380000000121072,1489984.129999999888241,1327966.879999999888241,1270817.000000000000000,1227731.390000000130385,1268551.290000000037253,1299136.300000000046566,10500923.379999998956919
FS( 26 ),1333481.539999999804422,1273371.020000000251457,1491862.429999999934807,1333485.619999999878928,1253608.280000000027940,1230096.920000000158325,1253402.419999999925494,1311050.170000000158325,10480358.400000000372529
FS( 27 ),1340509.759999999776483,1279772.000000000000000,1488481.489999999990687,1342761.799999999813735,1267069.939999999944121,1246084.640000000130385,1246111.519999999785796,1311790.580000000074506,10522581.730000000447035
FS( 28 ),1361251.579999999841675,1277985.679999999934807,1504259.209999999962747,1346988.919999999692664,1262490.199999999953434,1250978.840000000083819,1255427.669999999925494,1311117.479999999981374,10570499.580000000074506
FS( 29 ),1372136.750000000000000,1279325.419999999925494,1499688.679999999934807,1343466.319999999832362,1253191.939999999944121,1250978.840000000083819,1255022.619999999878928,1311925.200000000186265,10565735.769999999552965
FS( 30 ),1380536.329999999841675,1275603.919999999925494,1467194.089999999850988,1342644.379999999888241,1254996.080000000074506,1266558.709999999962747,1255022.619999999878928,1311454.030000000027940,10554010.159999998286366
FS( 31 ),1331338.789999999804422,1258782.740000000223517,1458240.859999999869615,1328671.399999999906868,1247224.400000000139698,1255302.050000000046566,1268794.320000000065193,1296241.969999999972060,10444596.530000001192093
FS( 32 ),1349852.149999999674037,1254763.520000000251457,1470762.859999999869615,1325148.799999999813735,1250277.560000000055879,1263459.050000000046566,1274303.000000000000000,1299270.920000000158325,10487837.860000001266599
FS( 33 ),1370165.419999999692664,1272329.000000000000000,1484975.330000000074506,1335246.919999999692664,1253191.939999999944121,1258401.709999999962747,1273978.959999999962747,1303915.310000000055879,10552204.589999999850988
FS( 34 ),1385164.669999999692664,1291978.520000000251457,1497622.549999999813735,1334542.399999999906868,1258326.800000000046566,1225039.580000000074506,1276895.320000000065193,1309232.800000000046566,10578802.640000000596046
FS( 35 ),1379593.519999999785796,1300910.120000000111759,1487730.169999999925494,1340061.139999999897555,1263739.219999999972060,1242006.140000000130385,1287264.600000000093132,1304319.170000000158325,10605624.079999998211861
FS( 36 ),1353109.129999999888241,1281558.320000000065193,1475208.169999999925494,1328553.979999999981374,1248612.199999999953434,1220961.080000000074506,1279082.589999999850988,1297117.000000000000000,10484202.469999998807907
FS( 37 ),1350023.569999999832362,1270989.260000000009313,1476335.149999999906868,1337712.739999999990687,1253053.160000000149012,1203178.820000000298023,1278029.459999999962747,1284462.719999999972060,10453784.880000000819564
FS( 38 ),1347537.979999999981374,1269798.380000000121072,1475771.659999999916181,1333955.299999999813735,1262073.860000000102445,1217127.290000000037253,1282890.060000000055879,1292607.229999999981374,10481761.760000001639128
FS( 39 ),1369565.449999999953434,1269798.380000000121072,1501253.929999999934807,1360022.539999999804422,1280254.040000000037253,1222918.760000000009313,1293259.339999999850988,1311184.790000000037253,10608257.230000000447035
FS( 40 ),1371279.649999999674037,1269500.660000000149012,1490860.669999999925494,1347458.599999999860302,1276368.199999999953434,1216311.590000000083819,1286535.510000000009313,1307482.740000000223517,10565797.619999999180436
FS( 41 ),1365194.239999999990687,1270691.540000000037253,1494930.320000000065193,1347810.859999999869615,1271788.459999999962747,1209378.140000000130385,1283295.109999999869615,1310915.550000000046566,10554004.220000000670552
FS( 42 ),1370251.129999999888241,1272329.000000000000000,1477086.469999999739230,1354503.799999999813735,1275535.520000000018626,1220797.940000000176951,1286616.519999999785796,1308290.460000000195578,10565410.840000001713634
FS( 43 ),1384050.439999999711290,1271435.840000000083819,1485163.159999999916181,1351216.039999999804422,1278172.339999999850988,1234991.120000000111759,1293502.369999999878928,1313204.090000000083819,10611735.399999998509884
FS( 44 ),1396392.679999999701977,1271584.700000000186265,1505887.070000000065193,1362253.520000000018626,1269290.419999999925494,1222347.770000000251457,1291153.079999999841675,1324242.929999999934807,10643152.169999999925494
FS( 45 ),1400163.919999999692664,1275603.919999999925494,1505699.239999999990687,1380336.199999999720603,1282613.300000000046566,1223652.890000000130385,1292368.229999999981374,1318521.580000000074506,10678959.279999999329448
FS( 46 ),1405735.069999999832362,1281707.179999999934807,1500690.439999999944121,1379631.679999999701977,1317308.300000000046566,1222592.480000000214204,1295932.669999999925494,1338849.200000000186265,10742447.019999999552965
FS( 47 ),1406163.619999999878928,1282302.620000000111759,1504885.310000000055879,1388907.859999999869615,1327716.800000000046566,1230015.350000000093132,1294636.510000000009313,1344570.550000000046566,10779198.620000001043081
FS( 48 ),1389278.750000000000000,1269947.240000000223517,1484036.179999999934807,1389142.699999999720603,1284278.660000000149012,1247552.900000000139698,1288884.799999999813735,1341608.910000000149012,10694730.140000000596046
FS( 49 ),1387821.679999999701977,1268756.360000000102445,1469135.000000000000000,1373643.260000000009313,1282058.179999999934807,1277162.810000000055879,1281755.919999999925494,1335349.080000000074506,10675682.289999999105930
FS( 50 ),1382250.529999999795109,1256549.840000000083819,1479716.089999999850988,1382919.439999999711290,1278311.120000000111759,1288337.900000000139698,1295365.600000000093132,1333935.570000000065193,10697386.089999999850988
FS( 51 ),1359708.799999999813735,1254168.080000000074506,1495180.760000000009313,1383506.539999999804422,1281641.839999999850988,1302449.510000000009313,1293826.409999999916181,1331108.550000000046566,10701590.490000000223517
FS( 52 ),1384307.569999999832362,1275603.919999999925494,1506513.169999999925494,1395835.639999999897555,1321194.140000000130385,1291926.980000000214204,1308570.229999999981374,1343426.280000000027940,10827377.929999999701977
FS( 53 ),1378822.129999999888241,1288405.880000000121072,1506450.560000000055879,1420141.579999999841675,1354223.780000000027940,1304488.760000000009313,1266445.030000000027940,1329223.870000000111759,10848201.589999999850988
FS( 54 ),1368451.219999999972060,1289745.620000000111759,1514902.909999999916181,1404759.559999999823049,1373514.199999999953434,1305386.030000000260770,1271872.699999999953434,1335012.530000000027940,10863644.769999999552965
FS( 55 ),1356708.949999999953434,1283046.919999999925494,1535564.209999999962747,1414740.260000000009313,1383783.919999999925494,1300165.550000000046566,1271872.699999999953434,1330973.929999999934807,10876856.439999999478459
FS( 56 ),1370422.549999999813735,1294955.719999999972060,1559168.179999999934807,1425190.639999999897555,1380730.760000000009313,1292171.690000000176951,1271224.619999999878928,1334002.880000000121072,10927867.039999999105930
FS( 57 ),1360051.639999999664724,1308055.400000000139698,1584713.060000000055879,1454075.959999999729916,1378926.620000000111759,1287359.060000000055879,1269280.380000000121072,1334070.189999999944121,10976532.310000000521541
FS( 58 ),1360565.899999999674037,1324876.580000000074506,1580831.239999999990687,1464761.179999999701977,1384477.820000000065193,1286135.510000000009313,1275356.130000000121072,1310242.450000000186265,10987246.810000002384186
FS( 59 ),1337767.039999999804422,1316391.560000000288710,1599614.239999999990687,1466052.799999999813735,1391555.600000000093132,1294455.650000000139698,1295203.579999999841675,1317646.550000000046566,11018687.020000001415610
FS( 60 ),1314796.759999999776483,1316242.700000000186265,1603245.620000000111759,1465348.280000000027940,1389751.459999999962747,1298615.720000000204891,1288317.729999999981374,1314011.810000000055879,10990330.080000001937151
FS( 61 ),1301940.259999999776483,1315944.980000000214204,1605812.629999999888241,1461121.159999999916181,1382673.679999999934807,1304978.180000000167638,1287345.609999999869615,1299338.229999999981374,10959154.730000000447035
FS( 62 ),1290455.119999999878928,1313116.639999999897555,1592476.699999999953434,1459829.539999999804422,1390167.800000000046566,1314195.590000000083819,1265877.959999999962747,1290722.550000000046566,10916841.900000000372529
FS( 63 ),1312654.009999999776483,1320261.919999999925494,1588594.879999999888241,1462060.520000000018626,1370599.820000000065193,1315500.709999999962747,1242304.049999999813735,1297117.000000000000000,10909092.910000000149012
FS( 64 ),1321996.399999999674037,1332170.719999999972060,1598487.260000000009313,1462177.939999999711290,1359774.979999999981374,1312727.330000000074506,1247974.750000000000000,1309165.490000000223517,10944474.869999999180436
FS( 65 ),1313853.949999999953434,1341846.620000000111759,1592163.649999999906868,1470514.760000000009313,1364909.839999999850988,1324473.410000000149012,1275842.189999999944121,1320002.399999999906868,11003606.820000000298023
