訓練日期,20170929 - 20180102
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11461932.810000000521541
真實報酬,1461932.810000000521541

夏普值報酬,0.137493281000000
夏普值風險,0.040167908506265
夏普值,3.422963408178361

預期報酬,22803.719960284000990
風險,39110.026581722187984
趨勢值,0.583065826166970
找到最佳解世代,1861
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,12
AAPL[0](12),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](16),HD[9](17),KO[14](23),MCD[15](5),MSFT[18](7),NKE[19](3),V[25](8),WMT[28](1),
FS( 7 ),842633.040000000037253,847832.939999999944121,836554.269999999902211,834822.319999999948777,841787.000000000000000,844285.099999999976717,840738.599999999976717,851626.920000000041910,853469.600000000209548,828029.570000000065193,852695.240000000107102,858819.960000000079162,10133298.560000000521541
FS( 8 ),842957.460000000079162,856586.359999999986030,831350.679999999934807,842552.599999999976717,841871.540000000037253,841483.400000000023283,849255.039999999920838,854073.200000000069849,853469.600000000209548,828190.280000000027940,855085.640000000130385,897210.359999999986030,10194090.160000002011657
FS( 9 ),846472.010000000125729,859325.979999999981374,832341.840000000083819,846311.359999999986030,833163.920000000041910,841941.859999999986030,853513.260000000009313,867740.460000000079162,854923.910000000149012,820154.780000000027940,864089.479999999981374,914272.760000000125729,10234255.620000001043081
FS( 10 ),843498.160000000032596,868613.960000000079162,824164.769999999902211,844963.880000000004657,819468.440000000176951,838579.819999999948777,853698.400000000023283,871782.140000000013970,862754.810000000172295,816940.579999999958090,861460.040000000037253,918218.439999999944121,10224147.439999999478459
FS( 11 ),848851.090000000083819,873425.000000000116415,829368.359999999986030,845105.719999999972060,823272.740000000107102,837968.540000000037253,854994.380000000004657,879546.420000000041910,866894.000000000000000,819351.229999999981374,865842.440000000060536,923763.720000000088476,10268387.640000000596046
FS( 12 ),864477.320000000065193,878503.320000000065193,831102.890000000013970,851984.959999999962747,829613.240000000107102,836695.040000000037253,863140.539999999920838,877631.939999999944121,868683.920000000158325,825618.919999999925494,862973.960000000079162,914379.400000000023283,10304809.450000001117587
FS( 13 ),867667.450000000069849,872289.059999999939464,832589.630000000004657,852623.239999999990687,831557.660000000032596,832263.260000000009313,861289.140000000013970,879705.960000000079162,868012.700000000186265,835743.650000000023283,856918.280000000144355,916938.760000000125729,10307602.789999999105930
FS( 14 ),863828.479999999981374,877300.559999999939464,831350.679999999934807,837942.800000000046566,830627.720000000088476,832772.659999999916181,859067.459999999962747,881673.620000000111759,868236.440000000060536,840564.949999999953434,858989.960000000079162,919498.119999999995343,10301857.449999999254942
FS( 15 ),843390.020000000018626,879037.880000000121072,836306.479999999981374,838297.400000000023283,837052.760000000125729,831702.920000000041910,862585.119999999995343,885555.760000000009313,871592.540000000037253,846832.640000000013970,852774.920000000041910,921417.640000000130385,10306550.080000000074506
FS( 16 ),844849.910000000032596,877768.300000000162981,848695.979999999981374,841417.880000000004657,840349.820000000181608,832670.780000000027940,858697.180000000051223,884492.160000000032596,881660.840000000083819,852778.910000000032596,856997.960000000079162,932508.200000000069849,10352891.919999999925494
FS( 17 ),844417.349999999976717,879906.540000000037253,851173.880000000004657,843474.560000000055879,834432.020000000135042,839343.920000000041910,857586.339999999967404,868750.880000000004657,881884.580000000074506,862421.510000000009313,856838.600000000093132,945411.640000000130385,10365645.820000000298023
FS( 18 ),849445.859999999986030,923740.460000000079162,856873.049999999930151,845602.160000000032596,830965.880000000121072,845915.179999999934807,854994.380000000004657,871622.599999999976717,882220.190000000060536,858564.470000000088476,863850.440000000060536,938266.760000000125729,10422065.429999999701977
FS( 19 ),845715.030000000027940,914385.660000000032596,849934.929999999934807,839999.479999999981374,826823.420000000041910,846118.939999999944121,852587.559999999939464,870027.200000000069849,879647.180000000051223,882992.390000000013970,872455.880000000004657,943598.760000000125729,10424290.430000001564622
FS( 20 ),851122.030000000027940,915053.859999999986030,849191.560000000055879,839999.479999999981374,833248.460000000079162,854167.459999999962747,855920.079999999958090,872313.939999999944121,881101.490000000223517,913045.160000000032596,874925.960000000079162,945091.720000000088476,10485185.200000002980232
FS( 21 ),881617.510000000125729,920867.200000000069849,853156.199999999953434,805248.680000000051223,831134.960000000079162,852588.319999999948777,852957.839999999967404,879652.779999999911524,937595.840000000083819,899384.810000000055879,874208.839999999967404,940292.920000000041910,10528709.900000000372529
FS( 22 ),901461.200000000069849,912046.960000000079162,843492.390000000013970,811276.880000000004657,828852.380000000121072,842247.500000000000000,849069.900000000023283,884119.899999999906868,938490.800000000162981,888295.820000000065193,876838.280000000144355,927282.840000000083819,10503478.849999999627471
FS( 23 ),914005.439999999944121,907436.380000000121072,846218.079999999958090,821914.880000000004657,826907.960000000079162,844641.679999999934807,851291.579999999958090,887736.140000000013970,930548.030000000144355,883795.940000000060536,876360.200000000069849,931121.880000000004657,10521982.189999999478459
FS( 24 ),902380.390000000013970,910710.559999999939464,857864.209999999962747,821985.800000000046566,837221.840000000083819,842604.079999999958090,847959.059999999939464,884864.420000000041910,930548.030000000144355,885081.619999999995343,885045.319999999948777,937840.200000000069849,10544109.529999999329448
FS( 25 ),908976.930000000051223,911913.320000000065193,847704.819999999948777,817943.359999999986030,831473.119999999995343,829003.099999999976717,849440.180000000051223,894064.559999999939464,940280.720000000088476,885885.169999999925494,884328.200000000069849,947011.239999999990687,10548028.719999996945262
FS( 26 ),932713.660000000032596,912982.439999999944121,854147.359999999986030,815532.079999999958090,833924.780000000144355,837561.019999999902211,851106.439999999944121,896989.460000000079162,941287.550000000162981,895367.060000000055879,887356.040000000037253,956395.560000000055879,10615367.450000001117587
FS( 27 ),942175.910000000032596,920199.000000000116415,852660.619999999878928,830070.680000000051223,850832.780000000144355,836695.040000000037253,841849.439999999944121,904541.020000000018626,944979.260000000125729,900670.489999999990687,891818.120000000111759,945944.840000000083819,10662441.199999999254942
FS( 28 ),945203.830000000074506,927549.200000000069849,852412.829999999958090,831489.079999999958090,859033.160000000032596,833842.400000000023283,850551.019999999902211,908263.620000000111759,942741.860000000102445,886367.300000000046566,893172.680000000051223,948610.840000000083819,10679241.820000000298023
FS( 29 ),952935.840000000083819,917392.559999999939464,854890.729999999981374,827446.640000000013970,855397.940000000176951,835829.060000000055879,854994.380000000004657,904700.559999999939464,945986.090000000083819,896170.609999999986030,896200.520000000018626,962580.680000000051223,10704529.609999997541308
FS( 30 ),950989.320000000065193,904362.660000000032596,843740.179999999934807,831489.079999999958090,868078.940000000176951,831855.739999999990687,855920.079999999958090,888214.760000000009313,940728.200000000186265,902116.880000000121072,893571.080000000074506,963007.239999999990687,10674078.160000002011657
FS( 31 ),944446.849999999976717,911980.140000000013970,842253.440000000060536,831063.560000000055879,885832.340000000083819,836134.700000000069849,861659.419999999925494,880716.380000000004657,938267.060000000172295,901474.040000000037253,891499.400000000023283,969618.920000000041910,10694950.250000000000000
FS( 32 ),940661.950000000069849,912314.239999999990687,841262.280000000027940,831418.160000000032596,885494.180000000051223,842451.260000000009313,864991.939999999944121,890182.420000000041910,938938.280000000144355,898581.260000000009313,887674.760000000125729,970365.400000000023283,10704340.130000000819564
FS( 33 ),926441.540000000037253,919063.059999999939464,843492.390000000013970,829219.640000000013970,872221.400000000139698,856256.000000000000000,878136.880000000004657,894117.740000000107102,940280.720000000088476,899706.229999999981374,892296.200000000069849,971431.800000000046566,10722667.599999999627471
FS( 34 ),914221.720000000088476,896076.979999999981374,845226.919999999925494,825886.400000000023283,876617.480000000097789,843062.540000000037253,866658.200000000069849,889916.520000000018626,928310.630000000121072,910152.380000000121072,878511.560000000055879,957995.160000000032596,10632640.490000000223517
FS( 35 ),925143.859999999986030,911178.300000000162981,889085.750000000000000,812553.439999999944121,875856.619999999995343,853403.359999999986030,861844.559999999939464,894011.380000000004657,930771.770000000135042,919794.979999999981374,884646.920000000041910,1062395.719999999972060,10820690.660000000149012
FS( 36 ),920007.210000000079162,909641.439999999944121,889581.329999999958090,813546.319999999948777,874503.980000000097789,854625.920000000041910,846292.800000000046566,886725.719999999972060,921822.170000000158325,951294.140000000013970,875085.319999999948777,1039468.119999999995343,10782598.469999998807907
FS( 37 ),919088.020000000018626,914853.400000000023283,904448.729999999981374,813617.239999999990687,868670.720000000088476,868430.659999999916181,841664.300000000046566,887842.500000000000000,923276.480000000097789,952258.400000000023283,876121.160000000032596,1039574.760000000125729,10809850.369999999180436
FS( 38 ),936174.140000000013970,919463.979999999981374,908165.579999999958090,816808.640000000013970,870784.220000000088476,880707.200000000069849,847588.780000000027940,895128.160000000032596,936589.010000000125729,954508.340000000083819,888073.160000000032596,1029337.319999999948777,10883332.530000001192093
FS( 39 ),946014.880000000121072,922203.599999999976717,903209.780000000027940,822056.719999999972060,868586.180000000051223,876632.000000000000000,848699.619999999995343,899116.660000000032596,929764.940000000060536,949365.619999999995343,883053.319999999948777,1028164.280000000027940,10876871.599999999627471
FS( 40 ),946068.950000000069849,918060.759999999892898,904200.940000000060536,826311.920000000041910,867740.780000000144355,878007.380000000004657,849440.180000000051223,899435.740000000107102,931442.990000000223517,953383.369999999995343,892216.520000000018626,1030403.720000000088476,10896717.250000000000000
FS( 41 ),941310.790000000037253,916724.359999999986030,913616.959999999962747,819787.280000000027940,869008.880000000121072,887329.400000000023283,849810.459999999962747,898638.040000000037253,938267.060000000172295,958365.380000000121072,895483.400000000023283,1030403.720000000088476,10918749.730000002309680
FS( 42 ),935795.650000000023283,928751.960000000079162,934926.899999999906868,825886.400000000023283,874250.360000000102445,899605.939999999944121,848514.479999999981374,911294.880000000004657,949565.930000000051223,957561.829999999958090,903292.040000000037253,1032003.319999999948777,11001453.689999997615814
FS( 43 ),916384.520000000018626,922537.700000000069849,928732.149999999906868,831063.560000000055879,889721.180000000051223,903069.859999999986030,842404.859999999986030,906455.500000000000000,932337.950000000186265,970097.209999999962747,875404.040000000037253,1040427.880000000004657,10958640.410000002011657
FS( 44 ),929199.109999999986030,943185.080000000074506,924271.929999999934807,843900.079999999958090,886170.500000000000000,916161.439999999944121,847403.640000000013970,914645.219999999972060,941623.160000000149012,971061.470000000088476,897156.680000000051223,1036908.760000000125729,11051691.070000000298023
FS( 45 ),924873.510000000125729,945657.420000000041910,931705.630000000004657,847587.920000000041910,889805.720000000088476,919217.839999999967404,851106.439999999944121,919431.420000000041910,942629.990000000223517,962383.130000000121072,882336.200000000069849,1038188.439999999944121,11054927.660000000149012
FS( 46 ),918114.760000000125729,945523.780000000027940,934679.109999999986030,857020.280000000027940,931822.100000000093132,942038.959999999962747,855920.079999999958090,907625.460000000079162,907055.330000000074506,965918.750000000000000,856041.800000000162981,1034562.680000000051223,11056327.089999999850988
FS( 47 ),917249.640000000013970,936436.259999999892898,924519.720000000088476,853828.880000000004657,906460.100000000093132,931596.260000000009313,856475.500000000000000,920069.580000000074506,912760.700000000186265,971061.470000000088476,865205.000000000000000,1043307.160000000032596,11038974.269999999552965
FS( 48 ),913843.229999999981374,937772.660000000032596,926997.619999999878928,848297.119999999995343,891581.060000000055879,921153.560000000055879,859993.160000000032596,922675.399999999906868,926073.230000000097789,959811.770000000018626,874447.880000000004657,1037441.960000000079162,11020092.650000002235174
FS( 49 ),915519.400000000023283,954811.759999999892898,926749.829999999958090,848438.959999999962747,889890.260000000125729,927266.359999999986030,847588.780000000027940,919644.140000000013970,922829.000000000000000,973954.250000000000000,887674.760000000125729,1032109.960000000079162,11046481.460000000894070
FS( 50 ),915789.750000000000000,961293.300000000162981,931953.419999999925494,850495.640000000013970,881182.640000000130385,934448.900000000023283,838887.200000000069849,920920.460000000079162,941511.290000000037253,985203.949999999953434,897236.359999999986030,1029657.239999999990687,11088584.150000000372529
FS( 51 ),933632.849999999976717,960691.920000000041910,940626.069999999948777,854041.640000000013970,903163.040000000037253,928539.859999999986030,839257.479999999981374,921452.260000000009313,953481.380000000121072,995007.260000000009313,895403.720000000088476,1033709.560000000055879,11159011.040000000968575
FS( 52 ),928388.059999999939464,958353.219999999972060,939387.119999999878928,848793.560000000055879,908235.440000000176951,926247.560000000055879,838516.919999999925494,916027.899999999906868,957396.830000000074506,999185.720000000088476,904088.839999999967404,1031256.840000000083819,11155882.009999999776483
FS( 53 ),931470.050000000046566,992765.520000000018626,945334.079999999958090,850566.560000000055879,909757.160000000032596,932513.179999999934807,849810.459999999962747,923047.660000000032596,954823.820000000065193,1033416.949999999953434,902893.640000000130385,1042560.680000000051223,11268963.759999999776483
FS( 54 ),931199.700000000069849,977463.739999999990687,939139.329999999958090,847729.760000000009313,934781.000000000000000,927928.579999999958090,852217.280000000027940,920867.279999999911524,947440.400000000139698,1037113.280000000027940,899786.120000000111759,1035842.359999999986030,11251512.830000001937151
FS( 55 ),940661.950000000069849,980203.359999999986030,946325.239999999874271,849148.160000000032596,940698.800000000046566,930220.880000000004657,855179.519999999902211,925759.839999999967404,971604.320000000065193,1041291.740000000107102,906957.319999999948777,1035629.080000000074506,11323684.209999999031425
FS( 56 ),953909.099999999976717,1000783.920000000041910,953511.149999999906868,848935.400000000023283,938669.840000000083819,941172.979999999981374,850365.880000000004657,926504.359999999986030,966346.430000000051223,1041613.160000000032596,904805.960000000079162,1044053.640000000130385,11370675.820000002160668
FS( 57 ),943743.939999999944121,1008401.400000000023283,949050.929999999934807,849928.280000000027940,945263.960000000079162,947540.479999999981374,854068.680000000051223,922196.779999999911524,960193.580000000074506,1032452.689999999944121,893571.080000000074506,1053651.239999999990687,11360067.040000000968575
FS( 58 ),942716.609999999986030,1019159.420000000041910,959953.690000000060536,857374.880000000004657,927341.480000000097789,954315.500000000000000,853142.979999999981374,915708.819999999948777,956725.610000000102445,1022006.540000000037253,893411.720000000088476,1053118.040000000037253,11354979.290000002831221
FS( 59 ),946285.229999999981374,1033325.259999999892898,954750.099999999976717,885246.439999999944121,926327.000000000000000,958237.880000000004657,844256.260000000009313,914007.059999999939464,956501.870000000111759,1040970.319999999948777,895722.440000000060536,1045759.880000000004657,11401393.739999998360872
FS( 60 ),946285.229999999981374,1040742.280000000027940,955245.679999999934807,886381.160000000032596,918718.400000000139698,958492.579999999958090,844071.119999999995343,911720.319999999948777,956613.740000000223517,1017185.239999999990687,897953.479999999981374,1047359.479999999981374,11380772.710000002756715
FS( 61 ),922278.150000000023283,1045352.859999999986030,953511.149999999906868,893473.160000000032596,914068.700000000069849,969852.200000000069849,848144.200000000069849,911028.979999999981374,955383.170000000158325,1022970.800000000046566,900343.880000000004657,1057490.280000000027940,11393901.530000001192093
FS( 62 ),922440.359999999986030,1052569.420000000158325,955493.470000000088476,890423.599999999976717,910010.780000000144355,968986.219999999972060,850365.880000000004657,918367.819999999948777,958851.140000000013970,1011721.100000000093132,908550.920000000041910,1058556.680000000167638,11406341.390000000596046
FS( 63 ),925035.720000000088476,1058583.219999999972060,956236.840000000083819,890636.359999999986030,911109.800000000046566,966897.679999999934807,846477.939999999944121,920654.559999999939464,958963.010000000125729,1011721.100000000093132,911180.359999999986030,1060049.640000000130385,11417550.230000000447035
FS( 64 ),915032.770000000018626,1052970.340000000083819,949050.929999999934807,887870.479999999981374,908911.760000000125729,965624.179999999934807,849440.180000000051223,915442.920000000041910,956949.350000000209548,1005292.699999999953434,908550.920000000041910,1053118.040000000037253,11368258.570000000298023
FS( 65 ),931415.979999999981374,1049362.060000000055879,962927.169999999925494,904820.359999999986030,945179.420000000041910,957983.179999999934807,843145.419999999925494,921292.719999999972060,961536.020000000135042,1020399.440000000060536,912455.240000000107102,1051411.800000000046566,11461932.810000000521541
