訓練日期,20180103 - 20180406
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10865430.640000000596046
真實報酬,865430.640000000596046

夏普值報酬,0.077843064000000
夏普值風險,0.039744113745707
夏普值,1.958606109525022

預期報酬,25251.316848662780103
風險,390443.211206528299954
趨勢值,0.064673468826958
找到最佳解世代,1389
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
BA[2](4),INTC[11](3),
FS( 47 ),5778841.709999999962747,5691554.720000000670552,11470396.429999999701977
FS( 48 ),5686166.429999999701977,5720277.440000000409782,11406443.870000001043081
FS( 49 ),5544970.939999999478459,5729115.200000000186265,11274086.140000000596046
FS( 50 ),5540270.020000000484288,5620852.640000000596046,11161122.660000000149012
FS( 51 ),5548496.629999999888241,5652889.520000000484288,11201386.150000000372529
FS( 52 ),5570154.439999999478459,5615329.040000000037253,11185483.480000000447035
FS( 53 ),5668705.870000000111759,5694868.879999999888241,11363574.750000000000000
FS( 54 ),5659807.700000000186265,5695973.600000000558794,11355781.300000000745058
FS( 55 ),5366168.089999999850988,5615329.040000000037253,10981497.129999998956919
FS( 56 ),5389504.799999999813735,5452935.200000000186265,10842440.000000000000000
FS( 57 ),5523313.129999999888241,5797607.839999999850988,11320920.969999998807907
FS( 58 ),5391519.479999999515712,5655098.959999999962747,11046618.439999999478459
FS( 59 ),5373051.579999999143183,5479448.480000000447035,10852500.059999998658895
FS( 60 ),5505013.120000000111759,5753419.040000000037253,11258432.160000000149012
FS( 61 ),5413680.959999999962747,5404327.520000000484288,10818008.480000000447035
FS( 62 ),5554372.779999999329448,5496019.280000000260770,11050392.059999998658895
FS( 63 ),5497625.959999999962747,5522532.560000000521541,11020158.519999999552965
FS( 64 ),5648055.399999999441206,5565616.640000000596046,11213672.039999999105930
FS( 65 ),5475464.479999999515712,5389966.160000000149012,10865430.640000000596046
