代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13091616.730000000447035
真實報酬,3091616.730000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13561.777904153450436
風險,185836.107451836607652
起點值,0.072977087661332
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](3),HD[9](1),TRV[22](4),V[25](2),VZ[26](11),
FS( 16 ),2065256.250000000000000,2148075.200000000186265,2005424.639999999897555,1952621.910000000149012,1897308.440000000176951,10068686.439999999478459
FS( 17 ),2054293.199999999953434,2133362.599999999627471,1990167.840000000083819,1958835.429999999934807,1879689.790000000502914,10016348.859999999403954
FS( 18 ),2049072.699999999953434,2129565.799999999813735,1968130.239999999990687,1961942.190000000176951,1873145.720000000204891,9981856.650000000372529
FS( 19 ),2035499.400000000139698,2124819.799999999813735,1970164.479999999981374,1939418.179999999934807,1893281.320000000298023,9963183.179999999701977
FS( 20 ),2030800.949999999953434,2106785.000000000000000,1976606.239999999990687,1954175.290000000037253,1895798.270000000018626,9964165.750000000000000
FS( 21 ),2053249.099999999860302,2110581.799999999813735,2009493.120000000111759,1990679.719999999972060,1902845.730000000214204,10066849.469999998807907
FS( 22 ),2031322.999999999767169,2110107.200000000186265,2013561.600000000093132,2059805.129999999888241,1890764.370000000344589,10105561.300000000745058
FS( 23 ),2088226.449999999953434,2143803.799999999813735,2038311.520000000018626,2078445.690000000176951,1904859.290000000502914,10253646.750000000000000
FS( 24 ),2112240.750000000000000,2145227.599999999627471,2011527.359999999869615,2084659.209999999962747,1919960.990000000223517,10273615.910000000149012
FS( 25 ),2139387.349999999627471,2157567.200000000186265,2025428.000000000000000,2077669.000000000000000,1908886.410000000381842,10308937.960000000894070
FS( 26 ),2154526.799999999813735,2143803.799999999813735,2029157.440000000176951,2104076.459999999962747,1908886.410000000381842,10340450.910000000149012
FS( 27 ),2168100.099999999627471,2148549.799999999813735,2030513.600000000093132,2183298.839999999850988,1908886.410000000381842,10439348.750000000000000
FS( 28 ),2163923.700000000186265,2151397.399999999441206,2013222.560000000055879,2212036.370000000111759,1897308.440000000176951,10437888.470000000670552
FS( 29 ),2181673.400000000372529,2179873.399999999441206,2000000.000000000000000,2188735.669999999925494,1919457.600000000325963,10469740.069999998435378
FS( 30 ),2171754.450000000186265,2186043.200000000186265,2005763.679999999934807,2237667.140000000130385,1914927.090000000316650,10516155.560000000521541
FS( 31 ),2153482.700000000186265,2169432.200000000186265,2010171.199999999953434,2235337.070000000298023,1904355.900000000139698,10472779.070000002160668
FS( 32 ),2168622.150000000372529,2179873.399999999441206,2015256.800000000046566,2209706.299999999813735,1915430.480000000214204,10488889.129999998956919
FS( 33 ),2179585.200000000186265,2216892.200000000186265,2029157.440000000176951,2233007.000000000000000,1936069.470000000204891,10594711.310000000521541
FS( 34 ),2170188.299999999813735,2226858.799999999813735,2009493.120000000111759,2217473.200000000186265,1937579.640000000363216,10561593.060000000521541
FS( 35 ),2154526.799999999813735,2210247.799999999813735,1998304.800000000046566,2259414.459999999962747,1923484.720000000204891,10545978.580000000074506
FS( 36 ),2165489.849999999627471,2228282.599999999627471,1998982.880000000121072,2261744.530000000260770,1919457.600000000325963,10573957.459999999031425
FS( 37 ),2156615.000000000000000,2229706.399999999441206,1986777.440000000176951,2282715.160000000149012,1919960.990000000223517,10575774.990000000223517
FS( 38 ),2173842.650000000372529,2227333.399999999441206,1986777.440000000176951,2269511.429999999701977,1919457.600000000325963,10576922.519999999552965
FS( 39 ),2188982.099999999627471,2241571.399999999441206,1979996.639999999897555,2309899.310000000055879,1920464.380000000121072,10640913.830000000074506
FS( 40 ),2192114.400000000372529,2257707.799999999813735,1965417.919999999925494,2259414.459999999962747,1918450.820000000298023,10593105.400000000372529
FS( 41 ),2212996.400000000372529,2252487.200000000186265,1980674.720000000204891,2275724.950000000186265,1934559.300000000279397,10656442.570000000298023
FS( 42 ),2211430.250000000000000,2250114.199999999254942,1966774.080000000074506,2255531.009999999776483,1946640.660000000381842,10630490.199999999254942
FS( 43 ),2229179.950000000186265,2249165.000000000000000,1983387.040000000037253,2257084.390000000130385,1963252.530000000260770,10682068.910000000149012
FS( 44 ),2192636.450000000186265,2201705.000000000000000,1932192.000000000000000,2229900.240000000223517,1947647.440000000176951,10504081.130000000819564
FS( 45 ),2179585.200000000186265,2249165.000000000000000,1928123.520000000018626,2245434.040000000037253,1956708.460000000195578,10559016.220000002533197
FS( 46 ),2193680.549999999813735,2269572.799999999813735,1935921.440000000176951,2290482.060000000055879,1974327.110000000102445,10663983.959999999031425
FS( 47 ),2205165.650000000372529,2282861.599999999627471,1953212.479999999981374,2274948.259999999776483,1968286.430000000400469,10684474.419999999925494
FS( 48 ),2210386.150000000372529,2306117.000000000000000,1953212.479999999981374,2262521.219999999739230,1979361.010000000242144,10711597.860000001266599
FS( 49 ),2297568.500000000000000,2332220.000000000000000,1980335.679999999934807,2277278.330000000074506,1987415.250000000000000,10874817.759999999776483
FS( 50 ),2269899.849999999627471,2347881.799999999813735,1998643.840000000083819,2267181.359999999869615,1986911.860000000102445,10870518.709999999031425
FS( 51 ),2269377.799999999813735,2335067.599999999627471,2003051.359999999869615,2271841.500000000000000,1990435.590000000316650,10869773.849999999627471
FS( 52 ),2254760.399999999441206,2327948.599999999627471,2007119.840000000083819,2265627.979999999981374,1991945.760000000242144,10847402.579999998211861
FS( 53 ),2267811.649999999441206,2317507.399999999441206,2004407.520000000018626,2307569.240000000223517,1995972.880000000121072,10893268.689999999478459
FS( 54 ),2257370.650000000372529,2343610.400000000372529,2005763.679999999934807,2262521.219999999739230,1994966.100000000325963,10864232.049999998882413
FS( 55 ),2258936.799999999813735,2363069.000000000000000,1983726.080000000074506,2267181.359999999869615,2002516.950000000419095,10875430.190000001341105
FS( 56 ),2259980.900000000372529,2357848.399999999441206,1965417.919999999925494,2277278.330000000074506,1996476.270000000018626,10857001.820000000298023
FS( 57 ),2278774.700000000186265,2351204.000000000000000,1973215.840000000083819,2306792.549999999813735,1984394.910000000381842,10894382.000000000000000
FS( 58 ),2316884.349999999627471,2379205.400000000372529,1995253.440000000176951,2331646.629999999888241,1979864.400000000139698,11002854.220000000670552
FS( 59 ),2304877.200000000186265,2374934.000000000000000,1982708.959999999962747,2326209.799999999813735,1946137.270000000018626,10934867.230000000447035
FS( 60 ),2271466.000000000000000,2368764.199999999254942,1992541.120000000111759,2317666.209999999962747,1926001.670000000158325,10876439.199999999254942
FS( 61 ),2245363.500000000000000,2368764.199999999254942,1988472.639999999897555,2310676.000000000000000,1916437.260000000242144,10829713.599999999627471
FS( 62 ),2285561.349999999627471,2387748.200000000186265,2007119.840000000083819,2291258.750000000000000,1924491.500000000000000,10896179.640000000596046
FS( 63 ),2288693.650000000372529,2372561.000000000000000,2011527.359999999869615,2310676.000000000000000,1939089.810000000521541,10922547.820000000298023
FS( 64 ),2259980.900000000372529,2373035.599999999627471,2009832.160000000149012,2337083.459999999962747,1936069.470000000204891,10916001.590000001713634
FS( 65 ),2241187.099999999627471,2365916.599999999627471,2007797.919999999925494,2310676.000000000000000,1932545.740000000223517,10858123.359999999403954
FS( 66 ),2249017.849999999627471,2402460.799999999813735,1996270.560000000055879,2349510.500000000000000,1895798.270000000018626,10893057.979999998584390
FS( 67 ),2198379.000000000000000,2400562.399999999441206,1968130.239999999990687,2320772.969999999739230,1885730.470000000204891,10773575.080000000074506
FS( 68 ),2139909.400000000372529,2342661.200000000186265,1957959.040000000037253,2267181.359999999869615,1852506.730000000214204,10560217.730000000447035
FS( 69 ),2159747.299999999813735,2361170.599999999627471,1972198.720000000204891,2279608.399999999906868,1881703.350000000325963,10654428.369999999180436
FS( 70 ),2200467.200000000186265,2402935.400000000372529,2003729.440000000176951,2350287.189999999944121,1890260.980000000214204,10847680.210000000894070
FS( 71 ),2184805.700000000186265,2418597.200000000186265,1970503.520000000018626,2391451.759999999776483,1875662.670000000158325,10841020.849999999627471
FS( 72 ),2174886.750000000000000,2453243.000000000000000,2005763.679999999934807,2346403.740000000223517,1884220.300000000279397,10864517.470000000670552
FS( 73 ),2228135.849999999627471,2469379.400000000372529,2033904.000000000000000,2370481.129999999888241,1899825.390000000363216,11001725.769999999552965
FS( 74 ),2218216.900000000372529,2458938.200000000186265,2016273.919999999925494,2365044.299999999813735,1895798.270000000018626,10954271.589999999850988
FS( 75 ),2196812.849999999627471,2447073.200000000186265,2091879.840000000083819,2353393.950000000186265,1920464.380000000121072,11009624.220000000670552
FS( 76 ),2210908.200000000186265,2442327.200000000186265,2127479.040000000037253,2349510.500000000000000,1949661.000000000000000,11079885.940000001341105
FS( 77 ),2193158.500000000000000,2425241.599999999627471,2132903.679999999701977,2293588.820000000298023,1941606.760000000242144,10986499.359999999403954
FS( 78 ),2202033.349999999627471,2431411.399999999441206,2148499.520000000018626,2309122.620000000111759,1988422.030000000260770,11079488.920000001788139
FS( 79 ),2229179.950000000186265,2463684.199999999254942,2162400.160000000149012,2365044.299999999813735,1987415.250000000000000,11207723.859999999403954
FS( 80 ),2263635.250000000000000,2461785.799999999813735,2195965.120000000111759,2392228.450000000186265,2020638.990000000223517,11334253.610000001266599
FS( 81 ),2263113.200000000186265,2465582.599999999627471,2170198.080000000074506,2398441.969999999739230,2025169.500000000000000,11322505.349999999627471
FS( 82 ),2250584.000000000000000,2457989.000000000000000,2180708.319999999832362,2388345.000000000000000,2032720.350000000325963,11310346.669999999925494
FS( 83 ),2286083.400000000372529,2483142.799999999813735,2190201.439999999944121,2389898.379999999888241,2041781.370000000344589,11391107.390000000596046
FS( 84 ),2273032.150000000372529,2501652.200000000186265,2194948.000000000000000,2372811.200000000186265,2043794.930000000400469,11386238.480000000447035
FS( 85 ),2287127.500000000000000,2490261.799999999813735,2195287.040000000037253,2260191.149999999906868,2045808.490000000223517,11278675.980000000447035
FS( 86 ),2241187.099999999627471,2466057.200000000186265,2186811.040000000037253,2287375.299999999813735,2026679.670000000158325,11208110.310000000521541
FS( 87 ),2287649.549999999813735,2439005.000000000000000,2189862.400000000372529,2301355.719999999739230,2040271.200000000419095,11258143.870000001043081
FS( 88 ),2312707.950000000186265,2402460.799999999813735,2183081.600000000093132,2294365.509999999776483,2041277.980000000214204,11233893.839999999850988
FS( 89 ),2350295.549999999813735,2378256.200000000186265,2167146.720000000204891,2280385.089999999850988,2026176.280000000260770,11202259.839999999850988
FS( 90 ),2363868.849999999627471,2402460.799999999813735,2191557.600000000093132,2294365.509999999776483,2041277.980000000214204,11293530.740000000223517
FS( 91 ),2378486.250000000000000,2389172.000000000000000,2190879.520000000018626,2289705.370000000111759,2071984.770000000018626,11320227.910000000149012
FS( 92 ),2358126.299999999813735,2367340.400000000372529,2186132.959999999962747,2266404.669999999925494,2058393.240000000223517,11236397.570000000298023
FS( 93 ),2349773.500000000000000,2309913.799999999813735,2174944.640000000130385,2264074.600000000093132,2066447.480000000214204,11165154.019999999552965
FS( 94 ),2353427.849999999627471,2314659.799999999813735,2156636.479999999981374,2281938.469999999739230,2057889.850000000325963,11164552.449999997392297
FS( 95 ),2314274.099999999627471,2231604.799999999813735,2125783.840000000316650,2233007.000000000000000,2082555.960000000195578,10987225.700000001117587
FS( 96 ),2287127.500000000000000,2233028.599999999627471,2108153.760000000242144,2187182.290000000037253,2090610.200000000419095,10906102.349999999627471
FS( 97 ),2317406.400000000372529,2259606.200000000186265,2125783.840000000316650,2257084.390000000130385,2081045.790000000502914,11040926.620000002905726
FS( 98 ),2317406.400000000372529,2290455.200000000186265,2129852.319999999832362,2299025.649999999906868,2083562.740000000223517,11120302.310000000521541
FS( 99 ),2317406.400000000372529,2290455.200000000186265,2129852.319999999832362,2299025.649999999906868,2083562.740000000223517,11120302.310000000521541
FS( 100 ),2320016.649999999441206,2359272.200000000186265,2142396.799999999813735,2325433.109999999869615,2083562.740000000223517,11230681.500000000000000
FS( 101 ),2323148.950000000186265,2346458.000000000000000,2122393.439999999944121,2317666.209999999962747,2086583.080000000307336,11196249.680000001564622
FS( 102 ),2374309.849999999627471,2362594.400000000372529,2131886.560000000055879,2335530.080000000074506,2101684.780000000260770,11306005.670000001788139
FS( 103 ),2359692.450000000186265,2359272.200000000186265,2098321.600000000093132,2281161.780000000260770,2085072.910000000381842,11183520.940000001341105
FS( 104 ),2386317.000000000000000,2341712.000000000000000,2118664.000000000000000,2236890.450000000186265,2096147.490000000223517,11179730.939999999478459
FS( 105 ),2317928.450000000186265,2276217.200000000186265,2053907.359999999869615,2179415.390000000130385,2065440.700000000419095,10892909.100000001490116
FS( 106 ),2318450.500000000000000,2314185.200000000186265,2047126.560000000055879,2216696.509999999776483,2081045.790000000502914,10977504.560000000521541
FS( 107 ),2340898.650000000372529,2321778.799999999813735,2061366.239999999990687,2209706.299999999813735,2073998.330000000307336,11007748.320000000298023
FS( 108 ),2376920.099999999627471,2401511.599999999627471,2089845.600000000093132,2259414.459999999962747,2102691.560000000521541,11230383.319999998435378
FS( 109 ),2382140.599999999627471,2431886.000000000000000,2098999.679999999701977,2267958.049999999813735,2096147.490000000223517,11277131.819999998435378
FS( 110 ),2413985.650000000372529,2484566.599999999627471,2106797.600000000093132,2264074.600000000093132,2136418.689999999944121,11405843.139999998733401
FS( 111 ),2391015.450000000186265,2437106.599999999627471,2087133.280000000027940,2259414.459999999962747,2142459.370000000577420,11317129.160000000149012
FS( 112 ),2421294.349999999627471,2479346.000000000000000,2100016.799999999813735,2274948.259999999776483,2161588.189999999944121,11437193.599999999627471
FS( 113 ),2413463.599999999627471,2419071.799999999813735,2090184.639999999897555,2231453.620000000111759,2164105.140000000130385,11318278.800000000745058
FS( 114 ),2463058.349999999627471,2475549.199999999254942,2140023.520000000018626,2261744.530000000260770,2202362.780000000260770,11542738.379999998956919
FS( 115 ),2458359.900000000372529,2461785.799999999813735,2149855.679999999701977,2299025.649999999906868,2192294.979999999981374,11561322.009999999776483
FS( 116 ),2458881.950000000186265,2483142.799999999813735,2138328.319999999832362,2332423.320000000298023,2205886.510000000242144,11618662.900000000372529
FS( 117 ),2480286.000000000000000,2513991.799999999813735,2151211.840000000316650,2356500.709999999962747,2201356.000000000000000,11703346.350000001490116
FS( 118 ),2491771.099999999627471,2507347.399999999441206,2164773.439999999944121,2380578.100000000093132,2179710.229999999981374,11724180.269999999552965
FS( 119 ),2474543.450000000186265,2432835.200000000186265,2121715.359999999869615,2319996.280000000260770,2181220.400000000372529,11530310.689999999478459
FS( 120 ),2478197.799999999813735,2468904.799999999813735,2147821.439999999944121,2426402.810000000055879,2212430.580000000540167,11733757.429999999701977
FS( 121 ),2437999.950000000186265,2445174.799999999813735,2107136.640000000130385,2354947.330000000074506,2197328.880000000353903,11542587.600000001490116
FS( 122 ),2469322.950000000186265,2462260.400000000372529,2107136.640000000130385,2391451.759999999776483,2206893.290000000502914,11637065.040000000968575
FS( 123 ),2499079.799999999813735,2446598.599999999627471,2130191.359999999869615,2396888.589999999850988,2203872.950000000186265,11676631.300000000745058
FS( 124 ),2496469.549999999813735,2453243.000000000000000,2130869.439999999944121,2359607.469999999739230,2213437.360000000335276,11653626.820000000298023
FS( 125 ),2531968.950000000186265,2514941.000000000000000,2164434.400000000372529,2400772.040000000037253,2237096.689999999944121,11849213.080000000074506
FS( 126 ),2543454.049999999813735,2515890.200000000186265,2167146.720000000204891,2459023.790000000037253,2261762.800000000279397,11947277.560000002384186
FS( 127 ),2536667.400000000372529,2451344.599999999627471,2174266.560000000055879,2453586.959999999962747,2262769.580000000540167,11878635.099999999627471
FS( 128 ),2511609.000000000000000,2473176.200000000186265,2168502.879999999888241,2466014.000000000000000,2259749.240000000223517,11879051.320000000298023
FS( 129 ),2507954.650000000372529,2475074.599999999627471,2144770.080000000074506,2432616.330000000074506,2236089.910000000149012,11796505.570000000298023
FS( 130 ),2505866.450000000186265,2473650.799999999813735,2138328.319999999832362,2400772.040000000037253,2252198.390000000130385,11770816.000000000000000
FS( 131 ),2472455.250000000000000,2478396.799999999813735,2143074.879999999888241,2374364.580000000074506,2250184.830000000540167,11718476.339999999850988
FS( 132 ),2467756.799999999813735,2452293.799999999813735,2120020.160000000149012,2344850.359999999869615,2260252.630000000353903,11645173.750000000000000
FS( 133 ),2475065.500000000000000,2446598.599999999627471,2110188.000000000000000,2381354.790000000037253,2248674.660000000149012,11661881.550000000745058
FS( 134 ),2515785.399999999441206,2472227.000000000000000,2140362.560000000055879,2409315.629999999888241,2275857.720000000204891,11813548.310000000521541
FS( 135 ),2498557.750000000000000,2441852.599999999627471,2120698.239999999757856,2469120.759999999776483,2278878.060000000521541,11809107.410000000149012
FS( 136 ),2576343.200000000186265,2407206.799999999813735,2146465.280000000260770,2490091.390000000130385,2298510.270000000018626,11918616.939999999478459
FS( 137 ),2576343.200000000186265,2416224.199999999254942,2169859.040000000037253,2482324.490000000223517,2310088.240000000223517,11954839.169999999925494
FS( 138 ),2557549.400000000372529,2418597.200000000186265,2159348.799999999813735,2434946.399999999906868,2242130.590000000316650,11812572.390000000596046
FS( 139 ),2536667.400000000372529,2406257.599999999627471,2126122.879999999888241,2441936.609999999869615,2239613.640000000130385,11750598.130000000819564
FS( 140 ),2504822.349999999627471,2418597.200000000186265,2093236.000000000000000,2417082.530000000260770,2232566.180000000167638,11666304.259999999776483
FS( 141 ),2514219.250000000000000,2428563.799999999813735,2064417.600000000093132,2381354.790000000037253,2203369.560000000521541,11591925.000000001862645
FS( 142 ),2521527.950000000186265,2423817.799999999813735,2067468.959999999962747,2372811.200000000186265,2200852.610000000335276,11586478.519999999552965
FS( 143 ),2595137.000000000000000,2511144.199999999254942,2088828.479999999981374,2461353.859999999869615,2238103.470000000204891,11894567.009999999776483
FS( 144 ),2607144.149999999441206,2549112.200000000186265,2126461.919999999925494,2507178.570000000298023,2260252.630000000353903,12050149.470000000670552
FS( 145 ),2599835.450000000186265,2527280.599999999627471,2143074.879999999888241,2540576.240000000223517,2262769.580000000540167,12073536.750000000000000
FS( 146 ),2565380.150000000372529,2476498.399999999441206,2124088.640000000130385,2506401.880000000353903,2272333.990000000223517,11944703.060000000521541
FS( 147 ),2565380.150000000372529,2452768.399999999441206,2147821.439999999944121,2475334.280000000260770,2275857.720000000204891,11917161.990000000223517
FS( 148 ),2557027.349999999627471,2439005.000000000000000,2131547.520000000018626,2510285.330000000074506,2246157.709999999962747,11884022.910000000149012
FS( 149 ),2598269.299999999813735,2481719.000000000000000,2160026.879999999888241,2542906.310000000055879,2238103.470000000204891,12021024.960000000894070
FS( 150 ),2592004.700000000186265,2467955.599999999627471,2153585.120000000111759,2544459.689999999944121,2249681.439999999944121,12007686.549999998882413
FS( 151 ),2600357.500000000000000,2486939.599999999627471,2148499.520000000018626,2532032.649999999906868,2238606.860000000335276,12006436.129999998956919
FS( 152 ),2635856.900000000372529,2505449.000000000000000,2163417.280000000260770,2546789.759999999776483,2224008.550000000279397,12075521.490000002086163
FS( 153 ),2608188.250000000000000,2522534.599999999627471,2166129.600000000093132,2495528.220000000204891,2232062.790000000502914,12024443.460000000894070
FS( 154 ),2592004.700000000186265,2518263.200000000186265,2169180.959999999962747,2506401.880000000353903,2245150.930000000167638,12031001.669999999925494
FS( 155 ),2602967.750000000000000,2506872.799999999813735,2160704.959999999962747,2491644.770000000018626,2228539.060000000521541,11990729.339999999850988
FS( 156 ),2594092.899999999441206,2596572.200000000186265,2154263.200000000186265,2521935.679999999701977,2231559.400000000372529,12098423.380000000819564
FS( 157 ),2604533.900000000372529,2610335.599999999627471,2161383.040000000037253,2506401.880000000353903,2224511.939999999944121,12107166.359999999403954
FS( 158 ),2623327.700000000186265,2672508.200000000186265,2170876.160000000149012,2518052.229999999981374,2220988.209999999962747,12205752.500000000000000
FS( 159 ),2634290.750000000000000,2692441.399999999441206,2208170.560000000055879,2498634.979999999981374,2217967.870000000577420,12251505.560000000521541
FS( 160 ),2633768.700000000186265,2684847.799999999813735,2225461.600000000093132,2488538.009999999776483,2199845.830000000540167,12232461.939999999478459
FS( 161 ),2591482.650000000372529,2672982.799999999813735,2211560.959999999962747,2476110.969999999739230,2159071.240000000223517,12111208.619999999180436
FS( 162 ),2592526.750000000000000,2688170.000000000000000,2219019.840000000316650,2487761.320000000298023,2145479.709999999962747,12132957.620000001043081
FS( 163 ),2566946.299999999813735,2683898.599999999627471,2196982.239999999757856,2469120.759999999776483,2126854.280000000260770,12043802.179999999701977
FS( 164 ),2587306.250000000000000,2703357.200000000186265,2217324.640000000130385,2459800.479999999981374,2173166.160000000149012,12140954.730000000447035
FS( 165 ),2590960.599999999627471,2689593.799999999813735,2209865.760000000242144,2479217.729999999981374,2152527.170000000391155,12122165.060000000521541
FS( 166 ),2590960.599999999627471,2682949.400000000372529,2198338.400000000372529,2473780.899999999906868,2147996.660000000149012,12094025.960000000894070
FS( 167 ),2612364.650000000372529,2697662.000000000000000,2196982.239999999757856,2486207.939999999944121,2169139.040000000502914,12162355.870000001043081
FS( 168 ),2579997.549999999813735,2687220.799999999813735,2186472.000000000000000,2460577.169999999925494,2153030.560000000521541,12067298.080000000074506
FS( 169 ),2582607.799999999813735,2693390.599999999627471,2194948.000000000000000,2490091.390000000130385,2161588.189999999944121,12122625.979999998584390
FS( 170 ),2592526.750000000000000,2695289.000000000000000,2191557.600000000093132,2495528.220000000204891,2199845.830000000540167,12174747.400000000372529
FS( 171 ),2651518.400000000372529,2683424.000000000000000,2187828.160000000149012,2477664.350000000093132,2204879.729999999981374,12205314.640000000596046
FS( 172 ),2707377.750000000000000,2736104.599999999627471,2215290.400000000372529,2514945.470000000204891,2222498.380000000353903,12396216.600000001490116
FS( 173 ),2701113.150000000372529,2717595.200000000186265,2210882.879999999888241,2518828.919999999925494,2200852.610000000335276,12349272.760000001639128
FS( 174 ),2689628.049999999813735,2719493.599999999627471,2214273.280000000260770,2498634.979999999981374,2217967.870000000577420,12339997.780000001192093
FS( 175 ),2691716.250000000000000,2691966.799999999813735,2269875.840000000316650,2553003.279999999795109,2227028.890000000130385,12433591.060000000521541
FS( 176 ),2699024.950000000186265,2707628.599999999627471,2289879.200000000186265,2591837.779999999795109,2259749.240000000223517,12548119.769999999552965
FS( 177 ),2746009.450000000186265,2766953.599999999627471,2320731.840000000316650,2620575.310000000055879,2294483.150000000372529,12748753.350000001490116
FS( 178 ),2732958.200000000186265,2822007.200000000186265,2325139.359999999869615,2606594.890000000130385,2241627.200000000186265,12728326.850000001490116
FS( 179 ),2722517.200000000186265,2795904.199999999254942,2321748.959999999962747,2599604.679999999701977,2244144.150000000372529,12683919.189999999478459
FS( 180 ),2709465.950000000186265,2793531.200000000186265,2321070.879999999888241,2595721.229999999981374,2260756.020000000018626,12680545.279999999329448
FS( 181 ),2751229.950000000186265,2822481.799999999813735,2313272.959999999962747,2617468.550000000279397,2278878.060000000521541,12783331.320000000298023
FS( 182 ),2749141.750000000000000,2813464.400000000372529,2320731.840000000316650,2613585.100000000093132,2289952.640000000130385,12786875.730000000447035
FS( 183 ),2753318.150000000372529,2820108.799999999813735,2326156.479999999981374,2621352.000000000000000,2297503.490000000223517,12818438.919999999925494
FS( 184 ),2762715.049999999813735,2818685.000000000000000,2319714.720000000204891,2597274.609999999869615,2299517.050000000279397,12797906.429999999701977
FS( 185 ),2742877.150000000372529,2834346.799999999813735,2321748.959999999962747,2612808.410000000149012,2296496.709999999962747,12808278.030000001192093
FS( 186 ),2711554.149999999441206,2808243.799999999813735,2298016.160000000149012,2573197.220000000204891,2294986.540000000502914,12685997.870000001043081
FS( 187 ),2744965.349999999627471,2841940.400000000372529,2319375.679999999701977,2600381.369999999646097,2303544.170000000391155,12810206.969999998807907
FS( 188 ),2729303.849999999627471,2865195.799999999813735,2314290.080000000074506,2607371.580000000074506,2293979.760000000242144,12810141.069999998435378
FS( 189 ),2718340.799999999813735,2874687.799999999813735,2341752.319999999832362,2654749.669999999925494,2306061.120000000577420,12895591.710000000894070
FS( 190 ),2695892.650000000372529,2863297.399999999441206,2329207.840000000316650,2640769.250000000000000,2308578.070000000298023,12837745.210000000894070
FS( 191 ),2739222.799999999813735,2931639.799999999813735,2339718.080000000074506,2689700.720000000204891,2329720.450000000186265,13030001.850000001490116
FS( 192 ),2747575.599999999627471,2930216.000000000000000,2348872.160000000149012,2712224.729999999981374,2379052.670000000391155,13117941.160000000149012
FS( 193 ),2765325.299999999813735,2999507.599999999627471,2358365.280000000260770,2723875.080000000074506,2368481.479999999981374,13215554.740000000223517
FS( 194 ),2731914.099999999627471,2936860.400000000372529,2357687.200000000186265,2693584.169999999925494,2344318.760000000242144,13064364.630000000819564
FS( 195 ),2689106.000000000000000,2892722.599999999627471,2350228.319999999832362,2655526.359999999869615,2321162.820000000298023,12908746.099999999627471
