代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14311160.619999999180436
真實報酬,4311160.619999999180436

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21048.195094711558340
風險,314389.333962052478455
起點值,0.066949456679889
找到最佳解世代,2580
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](6),INTC[11](3),MSFT[18](1),V[25](2),
FS( 47 ),2534311.850000000093132,2655409.280000000260770,2726272.410000000149012,2800203.800000000279397,10716197.340000001713634
FS( 48 ),2511969.250000000000000,2629258.680000000167638,2713070.129999999888241,2796722.400000000372529,10651020.460000000894070
FS( 49 ),2568623.699999999720603,2672593.960000000428408,2741675.069999999832362,2842784.000000000000000,10825676.730000000447035
FS( 50 ),2586178.599999999627471,2696503.080000000540167,2738741.229999999981374,2844390.799999999813735,10865813.710000000894070
FS( 51 ),2567825.750000000000000,2714434.919999999925494,2758177.919999999459833,2834214.399999999906868,10874652.990000000223517
FS( 52 ),2568623.699999999720603,2725642.319999999832362,2742041.799999999813735,2840909.399999999906868,10877217.219999998807907
FS( 53 ),2588572.449999999720603,2764494.640000000130385,2761845.219999999739230,2820021.000000000000000,10934933.309999998658895
FS( 54 ),2594956.050000000279397,2764494.640000000130385,2756344.269999999552965,2807434.399999999906868,10923229.359999999403954
FS( 55 ),2592562.200000000186265,2781679.319999999832362,2766612.709999999962747,2822966.799999999813735,10963821.029999999329448
FS( 56 ),2601339.649999999906868,2769724.760000000242144,2748276.209999999962747,2822966.799999999813735,10942307.419999999925494
FS( 57 ),2609319.149999999906868,2779437.840000000316650,2721504.919999999459833,2820288.800000000279397,10930550.710000000894070
FS( 58 ),2662781.799999999813735,2777943.520000000018626,2728839.519999999552965,2826983.800000000279397,10996548.640000000596046
FS( 59 ),2690710.049999999813735,2776449.199999999720603,2686665.569999999832362,2758962.600000000093132,10912787.419999999925494
FS( 60 ),2693901.849999999627471,2799611.160000000149012,2686665.569999999832362,2756820.199999999720603,10936998.779999999329448
FS( 61 ),2671559.249999999534339,2804841.280000000260770,2708302.639999999664724,2782261.200000000186265,10966964.369999999180436
FS( 62 ),2661185.899999999906868,2826508.919999999925494,2709036.100000000093132,2800739.399999999906868,10997470.320000000298023
FS( 63 ),2683528.500000000000000,2845187.919999999925494,2731773.359999999869615,2800739.399999999906868,11061229.179999999701977
FS( 64 ),2693103.899999999906868,2916915.280000000260770,2736174.119999999646097,2823770.199999999720603,11169963.499999998137355
FS( 65 ),2701083.399999999906868,2942318.720000000204891,2723338.569999999832362,2827787.200000000186265,11194527.890000000596046
FS( 66 ),2668367.449999999720603,2939330.080000000540167,2739107.959999999962747,2820288.800000000279397,11167094.290000000968575
FS( 67 ),2680336.700000000186265,2953526.120000000111759,2786049.399999999906868,2845194.199999999720603,11265106.419999999925494
FS( 68 ),2693103.899999999906868,2960997.720000000204891,2787149.589999999850988,2858316.399999999906868,11299567.610000001266599
FS( 69 ),2693901.849999999627471,2978182.399999999906868,2797784.760000000242144,2865814.800000000279397,11335683.810000000521541
FS( 70 ),2677144.899999999906868,2962492.040000000037253,2797784.760000000242144,2873848.800000000279397,11311270.500000000000000
FS( 71 ),2680336.700000000186265,2936341.439999999944121,2802552.250000000000000,2904110.199999999720603,11323340.589999999850988
FS( 72 ),2654004.349999999627471,2928122.680000000167638,2828223.350000000093132,2895272.799999999813735,11305623.179999999701977
FS( 73 ),2670761.299999999813735,2963986.360000000335276,2841792.359999999869615,2910001.799999999813735,11386541.820000000298023
FS( 74 ),2676346.949999999720603,2970710.799999999813735,2847660.040000000037253,2900361.000000000000000,11395078.789999999105930
FS( 75 ),2681134.649999999906868,2972952.280000000260770,2845459.660000000149012,2880008.200000000186265,11379554.789999999105930
FS( 76 ),2677144.899999999906868,3007321.640000000130385,2846193.119999999646097,2886971.000000000000000,11417630.660000000149012
FS( 77 ),2693103.899999999906868,2995367.080000000540167,2857195.019999999552965,2866082.600000000093132,11411748.599999999627471
FS( 78 ),2733001.399999999906868,3020770.520000000018626,2890200.719999999739230,2880276.000000000000000,11524248.640000000596046
FS( 79 ),2740980.899999999906868,3050656.919999999925494,2890934.179999999701977,2879740.399999999906868,11562312.400000000372529
FS( 80 ),2759333.750000000000000,3059622.840000000316650,2892034.369999999646097,2903306.799999999813735,11614297.759999997913837
FS( 81 ),2736991.149999999906868,3046921.120000000111759,2883599.579999999608845,2932229.199999999720603,11599741.049999998882413
FS( 82 ),2734597.300000000279397,3089509.240000000223517,2888367.069999999832362,2940531.000000000000000,11653004.610000001266599
FS( 83 ),2747364.500000000000000,3317393.040000000037253,3073565.719999999739230,2938120.799999999813735,12076444.059999998658895
FS( 84 ),2716244.449999999720603,3315151.560000000055879,3076499.560000000055879,2946958.200000000186265,12054853.769999999552965
FS( 85 ),2725021.899999999906868,3398833.480000000447035,3050461.729999999981374,2945351.399999999906868,12119668.510000001639128
FS( 86 ),2762525.549999999813735,3489987.000000000000000,3050461.729999999981374,2974541.599999999627471,12277515.879999998956919
FS( 87 ),2729809.600000000093132,3519126.240000000223517,3082367.239999999757856,2972131.399999999906868,12303434.480000000447035
FS( 88 ),2750556.299999999813735,3462342.080000000540167,3085667.810000000055879,2982307.799999999813735,12280873.990000002086163
FS( 89 ),2745768.599999999627471,3489239.840000000316650,3097769.899999999906868,2997304.600000000093132,12330082.939999999478459
FS( 90 ),2744970.649999999906868,3495217.120000000111759,3090435.299999999813735,3001857.200000000186265,12332480.269999999552965
FS( 91 ),2752950.149999999906868,3489239.840000000316650,3101070.469999999739230,3012033.600000000093132,12355294.060000000521541
FS( 92 ),2717042.399999999906868,3459353.439999999944121,3083834.160000000149012,3003196.200000000186265,12263426.199999999254942
FS( 93 ),2712254.700000000186265,3405557.919999999925494,3075766.100000000093132,2996233.399999999906868,12189812.120000001043081
FS( 94 ),2709062.899999999906868,3418259.640000000130385,3077966.479999999981374,2983379.000000000000000,12188668.019999999552965
FS( 95 ),2716244.449999999720603,3426478.399999999906868,3082367.239999999757856,2998911.399999999906868,12224001.490000000223517
FS( 96 ),2721830.100000000093132,3396592.000000000000000,3043127.129999999888241,2952582.000000000000000,12114131.230000000447035
FS( 97 ),2863067.250000000000000,3410788.040000000037253,3051195.189999999944121,2973202.600000000093132,12298253.080000000074506
FS( 98 ),2864663.149999999906868,3334577.720000000204891,3021856.790000000037253,2941066.599999999627471,12162164.259999999776483
FS( 99 ),2912540.149999999906868,3333830.560000000055879,3026624.279999999795109,2944548.000000000000000,12217542.990000000223517
FS( 100 ),2924509.399999999906868,3357739.680000000167638,3070265.149999999906868,2984718.000000000000000,12337232.230000000447035
FS( 101 ),2908550.399999999906868,3336072.040000000037253,3047894.619999999646097,2967846.599999999627471,12260363.659999998286366
FS( 102 ),2911742.200000000186265,3343543.640000000130385,3053395.569999999832362,2998643.600000000093132,12307325.009999999776483
FS( 103 ),2942064.299999999813735,3324117.480000000447035,3075766.100000000093132,3009623.399999999906868,12351571.280000001192093
FS( 104 ),3010687.999999999534339,3342049.319999999832362,3112805.829999999608845,3035867.799999999813735,12501410.949999999254942
FS( 105 ),2990739.249999999534339,3283770.840000000316650,3056329.410000000149012,2942137.799999999813735,12272977.300000000745058
FS( 106 ),2976376.149999999906868,3350268.080000000540167,3086768.000000000000000,3015247.200000000186265,12428659.429999999701977
FS( 107 ),3000314.649999999906868,3338313.520000000018626,3090068.569999999832362,2965436.399999999906868,12394133.140000000596046
FS( 108 ),3009890.049999999813735,3324117.480000000447035,2973448.429999999701977,2877062.400000000372529,12184518.360000001266599
FS( 109 ),2977174.100000000093132,3245665.680000000167638,2992151.660000000149012,2907859.399999999906868,12122850.840000001713634
FS( 110 ),2985153.599999999627471,3246412.840000000316650,3035792.529999999795109,2938924.199999999720603,12206283.169999998062849
FS( 111 ),2984355.649999999906868,3218767.919999999925494,3025157.359999999869615,2983379.000000000000000,12211659.929999999701977
FS( 112 ),3001112.600000000093132,3238941.240000000223517,3086401.269999999552965,3015515.000000000000000,12341970.109999999403954
FS( 113 ),3029040.850000000093132,3262103.199999999720603,3125641.379999999888241,3009355.600000000093132,12426141.029999999329448
FS( 114 ),3025051.099999999627471,3237446.919999999925494,3138476.929999999701977,3038545.799999999813735,12439520.750000000000000
FS( 115 ),3044201.899999999906868,3238194.080000000540167,3130042.139999999664724,3034528.800000000279397,12446966.920000001788139
FS( 116 ),3024253.149999999906868,3232216.799999999813735,3105837.959999999962747,3024084.600000000093132,12386392.509999999776483
FS( 117 ),3047393.699999999720603,3329347.600000000093132,3185051.639999999664724,3048186.599999999627471,12609979.539999999105930
FS( 118 ),3070534.249999999534339,3456364.799999999813735,3167815.329999999608845,3040956.000000000000000,12735670.379999998956919
FS( 119 ),3056171.149999999906868,3514643.280000000260770,3147645.179999999701977,3003196.200000000186265,12721655.809999998658895
FS( 120 ),3091280.950000000186265,3553495.600000000093132,3136276.549999999813735,3002660.600000000093132,12783713.700000001117587
FS( 121 ),3074524.000000000000000,3493722.799999999813735,3135543.089999999850988,3010426.799999999813735,12714216.690000001341105
FS( 122 ),3076119.899999999906868,3489239.840000000316650,3135909.819999999832362,3017925.199999999720603,12719194.759999999776483
FS( 123 ),3070534.249999999534339,3442915.919999999925494,3131875.790000000037253,3025959.199999999720603,12671285.160000000149012
FS( 124 ),3076917.850000000093132,3445157.399999999906868,3143244.419999999459833,3053542.600000000093132,12718862.269999999552965
FS( 125 ),3079311.700000000186265,3453376.160000000149012,3143611.149999999906868,3062380.000000000000000,12738679.009999999776483
FS( 126 ),3056171.149999999906868,3448893.199999999720603,3137010.010000000242144,3053542.600000000093132,12695616.959999999031425
FS( 127 ),3100856.350000000093132,3500447.240000000223517,3152045.939999999944121,3066664.800000000279397,12820014.330000000074506
FS( 128 ),3125592.799999999813735,3381648.799999999813735,3166715.139999999664724,3097194.000000000000000,12771150.739999998360872
FS( 129 ),3111229.700000000186265,3319634.520000000018626,3194586.619999999646097,3108709.399999999906868,12734160.240000000223517
FS( 130 ),3154319.000000000000000,3342796.480000000447035,3234193.459999999962747,3183157.799999999813735,12914466.740000002086163
FS( 131 ),3187034.949999999720603,3342796.480000000447035,3237494.029999999795109,3196012.200000000186265,12963337.660000000149012
FS( 132 ),3167086.199999999720603,3259114.560000000055879,3235293.649999999906868,3189852.799999999813735,12851347.210000000894070
FS( 133 ),3184641.099999999627471,3175432.640000000130385,3220624.449999999720603,3186371.399999999906868,12767069.589999999850988
FS( 134 ),3199802.149999999906868,3243424.199999999720603,3230159.429999999701977,3209402.200000000186265,12882787.980000000447035
FS( 135 ),3261244.299999999813735,3230722.480000000447035,3285902.389999999664724,3216097.200000000186265,12993966.370000001043081
FS( 136 ),3234911.949999999720603,3223250.880000000353903,3240061.139999999664724,3224131.200000000186265,12922355.169999998062849
FS( 137 ),3287576.649999999906868,3316645.880000000353903,3305705.810000000055879,3266711.399999999906868,13176639.740000000223517
FS( 138 ),3295556.149999999906868,3323370.319999999832362,3304238.889999999664724,3296972.799999999813735,13220138.160000000149012
FS( 139 ),3294758.199999999720603,3348773.760000000242144,3300571.589999999850988,3285993.000000000000000,13230096.550000000745058
FS( 140 ),3324282.349999999627471,3418259.640000000130385,3359615.119999999646097,3329644.399999999906868,13431801.509999999776483
FS( 141 ),3359392.149999999906868,3441421.600000000093132,3370250.290000000037253,3338214.000000000000000,13509278.039999999105930
FS( 142 ),3364977.799999999813735,3400327.799999999813735,3367316.449999999720603,3335536.000000000000000,13468158.049999998882413
FS( 143 ),3343433.149999999906868,3384637.439999999944121,3386019.679999999701977,3353478.600000000093132,13467568.869999999180436
FS( 144 ),3396097.850000000093132,3741779.919999999925494,3449463.969999999739230,3382936.599999999627471,13970278.339999997988343
FS( 145 ),3419238.399999999906868,3734308.319999999832362,3444329.750000000000000,3343302.200000000186265,13941178.669999998062849
FS( 146 ),3371361.399999999906868,3645396.280000000260770,3401055.609999999869615,3308756.000000000000000,13726569.289999999105930
FS( 147 ),3314706.949999999720603,3596830.880000000353903,3484303.319999999832362,3326966.399999999906868,13722807.550000000745058
FS( 148 ),3327474.149999999906868,3560220.040000000037253,3456798.569999999832362,3366868.600000000093132,13711361.359999999403954
FS( 149 ),3266032.000000000000000,3448146.040000000037253,3365849.529999999795109,3238056.799999999813735,13318084.370000001043081
FS( 150 ),3094472.750000000000000,3326358.960000000428408,3227225.589999999850988,3113797.600000000093132,12761854.900000000372529
FS( 151 ),3205387.799999999813735,3355498.199999999720603,3349346.679999999701977,3212883.600000000093132,13123116.279999999329448
FS( 152 ),3218952.950000000186265,3377165.840000000316650,3286269.119999999646097,3204314.000000000000000,13086701.910000000149012
FS( 153 ),3093674.800000000279397,3194111.640000000130385,3117573.319999999832362,3049257.799999999813735,12454617.559999998658895
FS( 154 ),3154319.000000000000000,3283770.840000000316650,3233826.729999999981374,3115136.599999999627471,12787053.169999999925494
FS( 155 ),3239699.649999999906868,3349520.919999999925494,3268666.079999999608845,3172713.600000000093132,13030600.250000000000000
FS( 156 ),3289970.499999999534339,3321876.000000000000000,3294337.179999999701977,3169500.000000000000000,13075683.679999999701977
FS( 157 ),3358594.200000000186265,3390614.720000000204891,3330276.719999999739230,3235914.399999999906868,13315400.040000000968575
FS( 158 ),3517386.250000000000000,3430961.360000000335276,3398121.769999999552965,3274745.399999999906868,13621214.779999999329448
FS( 159 ),3537335.000000000000000,3404063.600000000093132,3373917.589999999850988,3263230.000000000000000,13578546.189999999478459
FS( 160 ),3515790.350000000093132,3460847.760000000242144,3400322.149999999906868,3267514.800000000279397,13644475.060000000521541
FS( 161 ),3455944.100000000093132,3432455.680000000167638,3355214.359999999869615,3225202.400000000372529,13468816.540000000968575
FS( 162 ),3426419.949999999720603,3421995.439999999944121,3364015.879999999888241,3223863.399999999906868,13436294.669999999925494
FS( 163 ),3511002.649999999906868,3566197.319999999832362,3449463.969999999739230,3292152.400000000372529,13818816.339999999850988
FS( 164 ),3619523.850000000093132,3669305.399999999906868,3499339.250000000000000,3336607.200000000186265,14124775.699999999254942
FS( 165 ),3593989.449999999720603,3729078.199999999720603,3454598.189999999944121,3303935.600000000093132,14081601.439999999478459
FS( 166 ),3573242.750000000000000,3682754.280000000260770,3438828.799999999813735,3292420.199999999720603,13987246.029999999329448
FS( 167 ),3495043.649999999906868,3574416.080000000540167,3405089.639999999664724,3224399.000000000000000,13698948.370000001043081
FS( 168 ),3515790.350000000093132,3659592.319999999832362,3412424.239999999757856,3234307.600000000093132,13822114.509999999776483
FS( 169 ),3552496.050000000279397,3717123.640000000130385,3434061.310000000055879,3264033.399999999906868,13967714.400000000372529
FS( 170 ),3534143.199999999720603,3788851.000000000000000,3422325.949999999720603,3242073.800000000279397,13987393.949999999254942
FS( 171 ),3526961.649999999906868,3834427.760000000242144,3442129.369999999646097,3263230.000000000000000,14066748.779999999329448
FS( 172 ),3538132.950000000186265,3791092.480000000447035,3463032.979999999981374,3273138.600000000093132,14065397.009999999776483
FS( 173 ),3620321.799999999813735,3899430.680000000167638,3540413.010000000242144,3334464.800000000279397,14394630.290000000968575
FS( 174 ),3634684.899999999906868,3849370.960000000428408,3548847.799999999813735,3327234.199999999720603,14360137.859999999403954
FS( 175 ),3603564.849999999627471,3868797.120000000111759,3462299.519999999552965,3299383.000000000000000,14234044.489999998360872
FS( 176 ),3613140.250000000000000,3874774.399999999906868,3441762.639999999664724,3282779.399999999906868,14212456.689999999478459
FS( 177 ),3617130.000000000000000,3801552.720000000204891,3453864.729999999981374,3305006.799999999813735,14177554.250000000000000
FS( 178 ),3591595.599999999627471,3823220.360000000335276,3469267.389999999664724,3335000.399999999906868,14219083.750000000000000
FS( 179 ),3532547.300000000279397,3797816.919999999925494,3406556.560000000055879,3299650.799999999813735,14036571.580000001937151
FS( 180 ),3540526.799999999813735,3851612.439999999944121,3415358.079999999608845,3345176.799999999813735,14152674.120000001043081
FS( 181 ),3535739.100000000093132,3852359.600000000093132,3391520.629999999888241,3299918.600000000093132,14079537.929999999701977
FS( 182 ),3436793.299999999813735,3797816.919999999925494,3292870.260000000242144,3213419.199999999720603,13740899.679999999701977
FS( 183 ),3384926.549999999813735,3687984.399999999906868,3197153.729999999981374,3133347.000000000000000,13403411.679999999701977
FS( 184 ),3515790.350000000093132,3921098.319999999832362,3439195.529999999795109,3230826.200000000186265,14106910.399999998509884
FS( 185 ),3405673.250000000000000,3824714.680000000167638,3281134.899999999906868,3144059.000000000000000,13655581.830000000074506
FS( 186 ),3324282.349999999627471,3705916.240000000223517,3278201.060000000055879,3133079.199999999720603,13441478.849999999627471
FS( 187 ),3422430.199999999720603,3891211.919999999925494,3347146.299999999813735,3203510.600000000093132,13864299.019999997690320
FS( 188 ),3272415.599999999627471,3655109.360000000335276,3246295.549999999813735,3170571.200000000186265,13344391.710000000894070
FS( 189 ),3301939.750000000000000,3717123.640000000130385,3289936.419999999459833,3192263.000000000000000,13501262.810000000521541
FS( 190 ),3287576.649999999906868,3735055.480000000447035,3386019.679999999701977,3208598.800000000279397,13617250.610000001266599
FS( 191 ),3337049.549999999813735,3764194.720000000204891,3387853.329999999608845,3245555.199999999720603,13734652.799999998882413
FS( 192 ),3250072.999999999534339,3645396.280000000260770,3309006.379999999888241,3152093.000000000000000,13356568.660000000149012
FS( 193 ),3285182.799999999813735,3702180.439999999944121,3328809.799999999813735,3181283.200000000186265,13497456.239999998360872
FS( 194 ),3392108.099999999627471,3830691.960000000428408,3406189.829999999608845,3232968.600000000093132,13861958.490000000223517
FS( 195 ),3385724.500000000000000,3817990.240000000223517,3368783.369999999646097,3207795.399999999906868,13780293.509999999776483
FS( 196 ),3458337.950000000186265,3939030.160000000149012,3431860.929999999701977,3242341.599999999627471,14071570.639999998733401
FS( 197 ),3431207.649999999906868,3874774.399999999906868,3413524.429999999701977,3233772.000000000000000,13953278.480000000447035
FS( 198 ),3455146.149999999906868,3915121.040000000037253,3453498.000000000000000,3264033.399999999906868,14087798.589999999850988
FS( 199 ),3558081.700000000186265,4000297.280000000260770,3523176.699999999720603,3315451.000000000000000,14397006.679999999701977
FS( 200 ),3561273.500000000000000,4005527.399999999906868,3536745.709999999962747,3315451.000000000000000,14418997.609999999403954
FS( 201 ),3555687.850000000093132,3901672.160000000149012,3524643.619999999646097,3319735.799999999813735,14301739.429999999701977
FS( 202 ),3518184.200000000186265,3850118.120000000111759,3483936.589999999850988,3326163.000000000000000,14178401.910000000149012
FS( 203 ),3530951.399999999906868,3817990.240000000223517,3496772.139999999664724,3333125.799999999813735,14178839.580000001937151
FS( 204 ),3490255.950000000186265,3844140.840000000316650,3414991.350000000093132,3247697.600000000093132,13997085.740000000223517
FS( 205 ),3487862.100000000093132,3838910.720000000204891,3385286.219999999739230,3246090.799999999813735,13958149.839999999850988
FS( 206 ),3527759.600000000093132,3963686.439999999944121,3456798.569999999832362,3403289.399999999906868,14351534.009999999776483
FS( 207 ),3567657.100000000093132,3939777.319999999832362,3514008.449999999720603,3374634.800000000279397,14396077.669999999925494
FS( 208 ),3534143.199999999720603,3856842.560000000055879,3429660.549999999813735,3397933.399999999906868,14218579.709999999031425
FS( 209 ),3577232.500000000000000,3984606.919999999925494,3483936.589999999850988,3414804.800000000279397,14460580.810000000521541
FS( 210 ),3499831.350000000093132,3908396.600000000093132,3429293.819999999832362,3384543.399999999906868,14222065.169999999925494
FS( 211 ),3546112.449999999720603,3906155.120000000111759,3449830.699999999720603,3405967.400000000372529,14308065.669999999925494
FS( 212 ),3614736.149999999906868,3943513.120000000111759,3489804.269999999552965,3432211.799999999813735,14480265.339999999850988
FS( 213 ),3649047.999999999534339,3984606.919999999925494,3528677.649999999906868,3461669.799999999813735,14624002.370000001043081
FS( 214 ),3647452.100000000093132,4007021.720000000204891,3513641.719999999739230,3478809.000000000000000,14646924.539999999105930
FS( 215 ),3673784.449999999720603,4060070.080000000540167,3555082.209999999962747,3503982.200000000186265,14792918.940000001341105
FS( 216 ),3694531.149999999906868,4107888.319999999832362,3590655.019999999552965,3503982.200000000186265,14897056.689999997615814
FS( 217 ),3665007.000000000000000,4084726.360000000335276,3582953.689999999944121,3530226.599999999627471,14862913.650000000372529
FS( 218 ),3646654.149999999906868,4101911.040000000037253,3595055.779999999795109,3513890.800000000279397,14857511.769999999552965
FS( 219 ),3629099.249999999534339,4028689.360000000335276,3569017.949999999720603,3510945.000000000000000,14737751.559999998658895
FS( 220 ),3603564.849999999627471,4082484.880000000353903,3562783.540000000037253,3505321.199999999720603,14754154.469999998807907
FS( 221 ),3467913.350000000093132,4095186.600000000093132,3527210.729999999981374,3479612.400000000372529,14569923.080000000074506
FS( 222 ),3447964.600000000093132,4095186.600000000093132,3533811.869999999646097,3479612.400000000372529,14556575.470000000670552
FS( 223 ),3491053.899999999906868,4058575.760000000242144,3579286.389999999664724,3499161.799999999813735,14628077.850000001490116
FS( 224 ),3483074.399999999906868,4068288.840000000316650,3575619.089999999850988,3500500.800000000279397,14627483.130000000819564
FS( 225 ),3485468.250000000000000,4125073.000000000000000,3618159.769999999552965,3531833.399999999906868,14760534.419999999925494
FS( 226 ),3476690.799999999813735,4090703.640000000130385,3605324.219999999739230,3532101.199999999720603,14704819.859999999403954
FS( 227 ),3451954.349999999627471,4142257.680000000167638,3607157.869999999646097,3515765.399999999906868,14717135.299999998882413
FS( 228 ),3428813.799999999813735,4133291.760000000242144,3594322.319999999832362,3473185.199999999720603,14629613.080000000074506
FS( 229 ),3419238.399999999906868,4160189.520000000018626,3628794.939999999944121,3498626.199999999720603,14706849.059999998658895
FS( 230 ),3408067.100000000093132,4124325.840000000316650,3624760.910000000149012,3500768.600000000093132,14657922.450000001117587
