代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13636028.030000001192093
真實報酬,3636028.030000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14878.474280684589758
風險,161145.038315688347211
起點值,0.092329707673265
找到最佳解世代,1975
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](5),BA[2](12),CAT[3](9),DD[7](1),MRK[17](7),MSFT[18](15),
FS( 15 ),1736227.959999999729916,1725103.660000000149012,1732751.439999999944121,1773981.759999999776483,1717039.400000000139698,1552679.249999999767169,10237787.470000000670552
FS( 16 ),1706578.599999999860302,1740116.650000000372529,1723080.399999999906868,1771821.040000000037253,1724595.410000000149012,1543463.300000000046566,10209659.400000002235174
FS( 17 ),1794101.229999999748543,1726556.530000000260770,1681172.559999999823049,1762818.040000000037253,1718838.450000000186265,1550254.000000000000000,10233744.809999998658895
FS( 18 ),1785833.619999999878928,1722520.780000000260770,1654980.159999999916181,1794508.599999999860302,1733230.850000000093132,1522606.149999999906868,10213684.160000000149012
FS( 19 ),1796096.859999999869615,1704763.479999999981374,1653368.320000000065193,1779743.679999999934807,1744744.770000000251457,1533762.300000000046566,10212483.410000000149012
FS( 20 ),1823750.589999999850988,1692010.510000000242144,1672710.399999999906868,1794868.719999999972060,1739347.620000000111759,1529881.899999999906868,10252573.740000000223517
FS( 21 ),1846272.699999999953434,1706862.070000000298023,1676135.559999999823049,1798109.799999999813735,1728913.129999999888241,1544918.449999999953434,10301215.709999999031425
FS( 22 ),1843136.709999999962747,1696691.979999999981374,1670494.119999999878928,1797029.439999999944121,1733230.850000000093132,1544433.399999999906868,10285020.500000000000000
FS( 23 ),1859957.019999999785796,1722520.780000000260770,1701320.559999999823049,1815395.559999999823049,1747983.060000000055879,1536187.550000000046566,10383368.529999999329448
FS( 24 ),1883904.579999999841675,1741892.380000000353903,1698499.839999999850988,1857529.599999999860302,1746543.820000000065193,1546858.649999999906868,10475232.869999999180436
FS( 25 ),1911843.399999999906868,1735435.180000000167638,1683590.320000000065193,1870854.040000000037253,1746184.010000000009313,1537642.699999999953434,10485553.650000000372529
FS( 26 ),1894737.999999999767169,1728009.400000000372529,1662837.879999999888241,1849246.839999999850988,1742945.719999999972060,1531822.099999999860302,10409603.939999999478459
FS( 27 ),1893882.729999999981374,1718000.740000000223517,1660823.080000000074506,1861130.799999999813735,1746903.629999999888241,1555104.500000000000000,10435849.480000000447035
FS( 28 ),1877632.599999999860302,1708637.800000000279397,1691649.519999999785796,1892821.359999999869615,1744025.150000000139698,1595363.649999999906868,10510134.080000000074506
FS( 29 ),1850834.139999999897555,1700404.870000000111759,1702730.920000000158325,1950800.679999999934807,1741146.670000000158325,1586147.700000000186265,10532068.980000000447035
FS( 30 ),1903575.789999999804422,1682809.000000000000000,1739198.799999999813735,1921991.079999999841675,1744025.150000000139698,1594393.549999999813735,10585997.370000001043081
FS( 31 ),1993949.319999999832362,1714933.570000000298023,1744235.799999999813735,1942517.919999999925494,1742585.910000000149012,1563350.349999999860302,10701576.869999999180436
FS( 32 ),2030155.749999999767169,1681517.560000000055879,1729124.799999999813735,1936035.759999999776483,1747623.250000000000000,1569170.949999999953434,10693632.069999998435378
FS( 33 ),2027875.029999999795109,1658433.070000000298023,1729930.719999999972060,1905425.559999999823049,1726034.650000000139698,1542008.149999999906868,10589711.179999999701977
FS( 34 ),2045835.699999999953434,1670378.890000000130385,1715827.119999999878928,1891741.000000000000000,1716319.780000000260770,1542493.199999999953434,10582599.689999999478459
FS( 35 ),2067787.629999999888241,1690557.640000000130385,1696485.040000000037253,1878416.559999999823049,1712002.060000000055879,1522606.149999999906868,10567859.080000000074506
FS( 36 ),2040704.079999999841675,1689104.770000000018626,1689634.719999999972060,1894982.079999999841675,1711282.440000000176951,1533762.300000000046566,10559474.390000000596046
FS( 37 ),2046120.789999999804422,1677481.810000000055879,1671098.559999999823049,1904705.319999999832362,1707684.340000000083819,1533277.250000000000000,10540372.069999998435378
FS( 38 ),2048401.509999999776483,1697337.700000000186265,1695880.600000000093132,1907226.159999999916181,1720277.690000000176951,1571111.149999999906868,10640238.810000000521541
FS( 39 ),2040418.989999999757856,1702826.320000000298023,1690239.159999999916181,1986812.679999999934807,1717399.209999999962747,1685582.949999999953434,10823283.309999998658895
FS( 40 ),2048401.509999999776483,1703633.470000000204891,1683590.320000000065193,1982131.119999999878928,1713441.300000000046566,1656479.949999999953434,10787681.669999999925494
FS( 41 ),1989958.059999999823049,1666181.709999999962747,1666263.040000000037253,1926312.520000000018626,1695090.989999999990687,1613310.499999999767169,10557120.820000000298023
FS( 42 ),1999366.029999999795109,1667150.290000000037253,1661226.040000000037253,1920550.599999999860302,1694371.370000000111759,1601669.300000000046566,10544337.629999998956919
FS( 43 ),2002502.019999999785796,1693947.670000000391155,1662837.879999999888241,1924151.799999999813735,1694731.180000000167638,1627376.949999999720603,10605551.500000000000000
FS( 44 ),1984256.259999999776483,1677643.240000000223517,1663039.360000000102445,1918029.759999999776483,1701567.570000000065193,1620101.199999999953434,10564641.389999998733401
FS( 45 ),1989958.059999999823049,1695239.110000000335276,1662434.920000000158325,1920190.479999999981374,1698689.090000000083819,1546373.599999999860302,10512889.259999999776483
FS( 46 ),2031011.019999999785796,1717193.590000000316650,1683187.360000000102445,1937476.239999999757856,1715600.160000000149012,1513390.199999999953434,10597862.570000000298023
FS( 47 ),2017041.609999999869615,1721713.630000000353903,1671300.040000000037253,1969887.040000000037253,1709483.389999999897555,1515330.399999999906868,10604760.110000001266599
FS( 48 ),2029015.389999999897555,1712350.689999999944121,1680165.159999999916181,1977449.559999999823049,1708763.770000000251457,1510964.949999999953434,10618713.519999999552965
FS( 49 ),2061515.649999999906868,1730430.850000000093132,1724490.760000000009313,1990413.880000000121072,1717759.020000000251457,1535702.500000000000000,10760316.660000000149012
FS( 50 ),2014475.799999999813735,1746250.990000000223517,1745041.719999999972060,2050553.919999999925494,1726394.459999999962747,1571111.149999999906868,10853832.040000000968575
FS( 51 ),1905001.239999999757856,1763362.570000000298023,1755518.679999999934807,2043711.639999999897555,1732151.420000000158325,1588087.900000000139698,10787837.450000001117587
FS( 52 ),1925242.629999999888241,1772564.080000000074506,1749675.760000000009313,1992934.719999999972060,1721716.930000000167638,1585662.649999999906868,10747800.769999999552965
FS( 53 ),1893312.549999999813735,1797262.870000000111759,1753100.920000000158325,2044792.000000000000000,1719558.070000000065193,1602154.350000000093132,10810184.759999999776483
FS( 54 ),1833158.559999999823049,1867323.490000000223517,1756526.080000000074506,2041190.799999999813735,1733950.469999999972060,1590998.199999999720603,10823151.599999999627471
FS( 55 ),1854540.309999999823049,1890569.410000000149012,1754309.799999999813735,2036509.239999999757856,1727473.889999999897555,1597303.849999999860302,10860710.500000000000000
FS( 56 ),1892457.279999999795109,1911393.880000000353903,1769823.760000000009313,2095568.919999999925494,1741506.479999999981374,1616220.800000000046566,11026975.120000001043081
FS( 57 ),1923532.089999999850988,1921725.400000000372529,1768010.439999999944121,2082604.599999999860302,1736469.139999999897555,1631742.399999999906868,11064088.070000000298023
FS( 58 ),1903575.789999999804422,1882820.770000000018626,1707566.439999999944121,2036149.119999999878928,1727473.889999999897555,1590513.149999999906868,10848103.160000000149012
FS( 59 ),1998225.669999999925494,1897026.610000000335276,1713207.879999999888241,2012381.199999999953434,1715600.160000000149012,1588087.900000000139698,10924533.419999999925494
FS( 60 ),1991953.689999999944121,1921079.680000000167638,1714819.719999999972060,2005899.040000000037253,1710203.010000000009313,1574506.500000000000000,10918465.640000000596046
FS( 61 ),1961163.969999999972060,1913169.610000000335276,1702529.439999999944121,2044071.759999999776483,1715240.350000000093132,1576931.749999999767169,10913110.879999998956919
FS( 62 ),1980264.999999999767169,1927214.020000000018626,1696485.040000000037253,2050914.040000000037253,1715600.160000000149012,1589543.050000000046566,10960025.310000000521541
FS( 63 ),1966010.499999999767169,1916882.500000000000000,1688425.839999999850988,2001217.479999999981374,1719558.070000000065193,1613795.550000000046566,10905893.940000001341105
FS( 64 ),1941777.849999999860302,1896865.180000000167638,1680366.640000000130385,1969526.919999999925494,1713081.489999999990687,1614280.600000000093132,10815902.679999999701977
FS( 65 ),1987392.249999999767169,1900900.930000000167638,1687619.920000000158325,1964845.359999999869615,1753740.020000000251457,1628832.099999999860302,10923334.579999998211861
FS( 66 ),1993949.319999999832362,1902353.800000000279397,1693865.799999999813735,1984651.959999999962747,1740427.050000000046566,1645323.800000000046566,10960575.730000000447035
FS( 67 ),1968861.399999999906868,1860382.000000000000000,1691851.000000000000000,1988253.159999999916181,1740067.239999999990687,1642413.500000000000000,10891832.300000000745058
FS( 68 ),1967150.859999999869615,1892022.280000000260770,1696485.040000000037253,2050914.040000000037253,1735389.709999999962747,1643383.600000000093132,10985349.529999999329448
FS( 69 ),1986536.979999999981374,1883789.350000000093132,1682985.879999999888241,2018143.119999999878928,1723156.170000000158325,1615250.699999999720603,10909866.199999999254942
FS( 70 ),1958883.249999999767169,1863610.600000000093132,1669285.239999999757856,1975648.959999999962747,1718118.830000000074506,1601184.249999999767169,10786735.129999998956919
FS( 71 ),1981690.449999999953434,1847951.890000000130385,1682784.399999999906868,1996175.799999999813735,1700847.950000000186265,1604094.550000000046566,10813549.040000000968575
FS( 72 ),1994234.409999999916181,1919465.380000000353903,1707163.479999999981374,2071801.000000000000000,1708763.770000000251457,1637562.999999999767169,11038995.039999999105930
FS( 73 ),2007063.459999999962747,1904613.820000000298023,1724893.719999999972060,2106372.519999999552965,1701567.570000000065193,1655509.850000000093132,11100024.939999999478459
FS( 74 ),2020177.599999999860302,1928505.459999999962747,1737586.959999999729916,2093408.199999999953434,1682137.830000000074506,1671031.450000000186265,11132851.500000000000000
FS( 75 ),2031011.019999999785796,1907842.420000000391155,1727714.439999999944121,2073601.599999999860302,1675661.250000000000000,1672971.650000000139698,11088806.380000000819564
FS( 76 ),2040989.169999999925494,1942711.300000000279397,1738191.399999999906868,2109253.479999999515712,1697249.850000000093132,1680247.399999999906868,11208646.599999999627471
FS( 77 ),2054673.489999999757856,1974190.150000000372529,1729729.239999999757856,2122577.919999999925494,1695090.989999999990687,1693828.800000000046566,11270094.589999999850988
FS( 78 ),2072634.159999999916181,1977903.040000000037253,1759749.760000000009313,2118616.599999999627471,1677100.489999999990687,1695769.000000000000000,11301777.049999998882413
FS( 79 ),2123380.180000000167638,1960952.890000000130385,1767003.040000000037253,2121137.439999999478459,1673502.389999999897555,1697224.150000000139698,11343204.089999999850988
FS( 80 ),2117393.289999999571592,1977257.320000000298023,1796620.600000000093132,2130860.679999999701977,1672063.150000000139698,1677337.099999999860302,11371536.139999998733401
FS( 81 ),2137919.769999999552965,2082832.540000000270084,1687619.920000000158325,2104571.919999999925494,1675301.440000000176951,1637562.999999999767169,11325812.589999999850988
FS( 82 ),2166428.769999999552965,2082186.820000000065193,1703133.879999999888241,2083324.839999999850988,1663067.900000000139698,1635622.799999999813735,11333769.009999997913837
FS( 83 ),2142196.120000000111759,2117862.850000000093132,1707969.399999999906868,2026786.000000000000000,1674581.820000000065193,1733117.849999999860302,11402518.040000000968575
FS( 84 ),2158161.160000000149012,2096715.520000000018626,1698096.879999999888241,2005899.040000000037253,1631764.430000000167638,1725357.050000000046566,11315998.080000000074506
FS( 85 ),2104279.149999999906868,2093164.060000000055879,1693865.799999999813735,2023544.919999999925494,1640040.060000000055879,1722931.800000000046566,11277829.790000000968575
FS( 86 ),2137919.769999999552965,2093486.920000000391155,1682179.959999999729916,2013461.559999999823049,1627806.520000000251457,1723901.899999999906868,11278760.629999998956919
FS( 87 ),2128796.890000000130385,2106724.180000000167638,1679560.719999999972060,2024265.159999999916181,1622409.370000000111759,1717596.249999999767169,11279356.570000000298023
FS( 88 ),2117963.470000000204891,2147565.970000000204891,1684194.760000000009313,1997616.279999999795109,1627446.709999999962747,1723416.850000000093132,11298208.040000000968575
FS( 89 ),2145332.109999999869615,2143691.649999999906868,1690239.159999999916181,1969526.919999999925494,1645077.400000000139698,1743303.899999999906868,11337175.140000000596046
FS( 90 ),2139915.399999999906868,2156283.189999999944121,1693462.839999999850988,1985732.319999999832362,1632124.239999999990687,1777257.399999999906868,11384779.390000000596046
FS( 91 ),2121669.640000000130385,2148534.550000000279397,1696888.000000000000000,2013461.559999999823049,1653712.840000000083819,1851955.099999999860302,11486225.689999999478459
FS( 92 ),2087173.749999999767169,2123028.609999999869615,1685403.640000000130385,1983211.479999999981374,1648675.500000000000000,1818971.699999999953434,11346468.679999999701977
FS( 93 ),2120244.189999999944121,2154991.750000000465661,1697290.959999999729916,2034348.520000000018626,1683936.879999999888241,1832553.100000000093132,11523369.400000000372529
FS( 94 ),2113972.209999999962747,2139494.470000000204891,1695477.640000000130385,2033988.399999999674037,1691133.080000000074506,1823337.150000000139698,11497406.950000001117587
FS( 95 ),2117963.470000000204891,2136265.870000000577420,1689433.239999999757856,2017422.880000000121072,1712361.870000000111759,1812181.000000000000000,11485632.330000000074506
FS( 96 ),2120529.279999999795109,2149825.989999999757856,1696485.040000000037253,2030747.319999999832362,1703366.620000000111759,1850984.999999999767169,11551943.250000000000000
FS( 97 ),2151033.910000000149012,2180820.550000000279397,1687619.920000000158325,2056675.959999999962747,1720637.500000000000000,1844194.300000000046566,11640986.140000000596046
FS( 98 ),2138204.859999999869615,2196802.120000000577420,1687216.959999999729916,2063158.119999999878928,1729632.750000000000000,1835463.400000000139698,11650482.210000000894070
FS( 99 ),2112261.669999999925494,2233608.160000000614673,1693261.360000000102445,2044792.000000000000000,1727473.889999999897555,1804420.200000000186265,11615821.280000001192093
FS( 100 ),2115967.839999999850988,2211330.819999999832362,1685806.600000000093132,2036149.119999999878928,1729632.750000000000000,1782107.900000000139698,11560999.029999999329448
FS( 101 ),2097436.989999999757856,2138203.029999999795109,1665860.080000000074506,2013461.559999999823049,1731791.610000000102445,1798599.599999999860302,11445356.869999999180436
FS( 102 ),2122524.910000000149012,2145951.670000000391155,1654577.199999999953434,2032547.919999999925494,1749422.300000000046566,1814121.199999999953434,11519149.199999999254942
FS( 103 ),2117108.200000000186265,2195026.390000000130385,1669889.679999999934807,2033988.399999999674037,1760936.219999999972060,1822367.050000000046566,11599319.939999999478459
FS( 104 ),2133073.239999999757856,2147081.680000000167638,1700514.640000000130385,2000497.239999999757856,1786842.540000000037253,1825762.399999999906868,11593775.740000000223517
FS( 105 ),2172415.660000000149012,2175816.220000000204891,1699708.719999999972060,1989333.520000000018626,1783964.060000000055879,1811695.949999999953434,11632938.130000000819564
FS( 106 ),2223446.769999999552965,2174847.640000000130385,1705954.600000000093132,2005178.799999999813735,1792959.310000000055879,1823822.199999999953434,11726213.319999998435378
FS( 107 ),2264784.819999999832362,2167260.430000000167638,1704544.239999999757856,2003378.199999999953434,1792959.310000000055879,1849529.850000000093132,11782460.849999999627471
FS( 108 ),2245113.609999999869615,2165807.560000000055879,1697492.439999999944121,2050553.919999999925494,1805552.660000000149012,1865051.450000000186265,11829575.640000000596046
FS( 109 ),2306407.959999999962747,2130938.680000000167638,1689836.199999999953434,1985732.319999999832362,1790440.639999999897555,1858260.750000000000000,11761620.550000000745058
FS( 110 ),2300991.249999999534339,2122867.180000000167638,1691851.000000000000000,1994375.199999999953434,1774249.190000000176951,1888818.899999999906868,11773156.720000000670552
FS( 111 ),2312965.029999999795109,2142723.069999999832362,1700716.119999999878928,1979970.399999999674037,1756258.690000000176951,1843224.199999999953434,11735861.509999997913837
FS( 112 ),2280749.859999999869615,2182273.420000000391155,1722677.439999999944121,2013821.679999999934807,1777127.670000000158325,1860686.000000000000000,11837340.070000000298023
FS( 113 ),2306978.140000000130385,2174201.920000000391155,1734564.760000000009313,2092327.839999999850988,1783244.440000000176951,1877662.750000000000000,11968983.849999999627471
FS( 114 ),2303271.970000000204891,2158381.779999999795109,1741213.600000000093132,2142744.639999999664724,1778566.910000000149012,1848559.750000000000000,11972742.649999998509884
FS( 115 ),2286166.569999999832362,2139978.760000000242144,1718244.879999999888241,2105292.160000000149012,1761296.030000000260770,1824307.250000000000000,11835289.650000000372529
FS( 116 ),2283030.579999999608845,2146435.960000000428408,1724087.799999999813735,2090527.239999999757856,1738628.000000000000000,1805390.299999999813735,11788103.879999998956919
FS( 117 ),2257942.660000000149012,2160480.370000000577420,1733758.839999999850988,2129420.200000000186265,1740786.860000000102445,1779682.649999999906868,11802075.580000001937151
FS( 118 ),2270486.620000000111759,2174847.640000000130385,1760555.679999999934807,2133381.519999999552965,1730352.370000000111759,1788898.600000000093132,11858526.429999997839332
FS( 119 ),2260223.379999999888241,2193573.520000000018626,1751287.600000000093132,2164351.839999999850988,1723515.979999999981374,1771436.800000000046566,11864393.120000001043081
FS( 120 ),2243117.979999999981374,2187277.750000000465661,1776472.600000000093132,2231334.160000000149012,1759496.979999999981374,1774347.099999999860302,11972050.570000000298023
FS( 121 ),2217459.879999999888241,2182111.989999999757856,1763779.360000000102445,2251500.879999999888241,1755539.070000000065193,1758340.449999999953434,11928735.629999998956919
FS( 122 ),2235990.729999999981374,2206326.489999999757856,1791785.080000000074506,2245378.839999999850988,1774609.000000000000000,1785018.199999999720603,12039112.339999999850988
FS( 123 ),2321802.819999999832362,2201967.880000000353903,1812537.519999999785796,2250420.519999999552965,1776048.239999999990687,1776287.299999999813735,12139068.279999997466803
FS( 124 ),2312109.759999999776483,2208909.370000000577420,1831678.119999999878928,2278149.759999999776483,1777847.290000000037253,1798599.599999999860302,12207297.900000000372529
FS( 125 ),2296714.899999999906868,2232155.290000000502914,1836513.640000000130385,2300477.200000000186265,1789001.400000000139698,1816061.399999999906868,12270927.830000001937151
FS( 126 ),2281034.950000000186265,2210039.380000000353903,1830872.199999999953434,2287152.759999999776483,1791520.070000000065193,1808785.649999999906868,12209409.009999999776483
FS( 127 ),2258512.839999999850988,2194219.239999999757856,1830872.199999999953434,2287152.759999999776483,1796917.219999999972060,1808785.649999999906868,12176463.910000000149012
FS( 128 ),2285026.209999999962747,2203420.750000000465661,1829663.320000000065193,2277069.399999999441206,1800875.129999999888241,1814606.249999999767169,12210665.059999998658895
FS( 129 ),2252811.039999999571592,2206326.489999999757856,1810724.199999999953434,2249700.280000000260770,1780725.770000000251457,1802479.999999999767169,12102771.779999999329448
FS( 130 ),2203205.379999999888241,2221662.340000000316650,1809716.799999999813735,2239616.919999999925494,1789361.209999999962747,1790353.749999999767169,12053920.400000002235174
FS( 131 ),2215179.160000000149012,2234415.310000000055879,1785942.159999999916181,2235655.599999999627471,1789721.020000000251457,1752519.850000000093132,12013437.099999999627471
FS( 132 ),2199499.209999999962747,2268315.609999999869615,1791785.080000000074506,2210807.320000000298023,1803033.989999999990687,1766101.249999999767169,12039546.460000000894070
FS( 133 ),2213468.620000000111759,2273319.939999999944121,1796016.159999999916181,2213328.160000000149012,1791520.070000000065193,1734572.999999999767169,12022229.950000001117587
FS( 134 ),2185244.709999999962747,2294467.270000000018626,1807500.519999999785796,2184878.679999999701977,1781805.200000000186265,1723416.850000000093132,11977317.229999998584390
FS( 135 ),2170420.029999999795109,2290754.380000000353903,1823618.920000000158325,2190280.479999999515712,1794758.360000000102445,1748154.399999999906868,12017990.569999998435378
FS( 136 ),2181823.629999999888241,2271382.779999999795109,1811127.159999999916181,2148506.559999999590218,1911336.800000000046566,1696739.099999999860302,12020920.029999999329448
FS( 137 ),2225442.399999999906868,2260244.109999999869615,1824626.320000000065193,2187399.519999999552965,1907019.080000000074506,1735543.100000000093132,12140278.529999999329448
FS( 138 ),2269916.439999999944121,2270091.340000000316650,1861900.119999999878928,2207926.360000000335276,1889748.200000000186265,1783077.999999999767169,12282664.460000000894070
FS( 139 ),2257372.479999999981374,2263472.710000000428408,1853840.920000000158325,2209726.959999999962747,1889028.580000000074506,1789383.649999999906868,12262829.300000000745058
FS( 140 ),2202065.019999999552965,2267508.460000000428408,1842356.559999999823049,2209006.719999999739230,1869239.030000000260770,1764646.100000000093132,12154825.889999998733401
FS( 141 ),2236275.819999999832362,2287041.489999999757856,1825432.239999999757856,2355575.559999999590218,1864921.310000000055879,1754460.050000000046566,12323710.470000000670552
FS( 142 ),2246253.970000000204891,2330627.590000000316650,1806090.159999999916181,2342611.240000000223517,1847650.430000000167638,1742818.849999999860302,12316056.240000000223517
FS( 143 ),2265069.910000000149012,2281230.010000000242144,1782718.479999999981374,2293634.919999999925494,1856645.680000000167638,1749124.500000000000000,12228427.500000000000000
FS( 144 ),2224016.950000000186265,2206003.630000000353903,1736176.600000000093132,2226292.479999999515712,1870318.459999999962747,1785503.250000000000000,12048315.370000001043081
FS( 145 ),2241977.620000000111759,2217465.160000000614673,1839334.360000000102445,2210447.200000000186265,1890108.010000000009313,1747669.350000000093132,12147005.700000001117587
FS( 146 ),2062941.099999999860302,2213106.550000000279397,1863109.000000000000000,2208286.479999999515712,1902341.550000000046566,1759310.550000000046566,12009099.230000000447035
FS( 147 ),2039563.719999999972060,2095101.220000000204891,1825835.199999999953434,2293995.040000000037253,1878594.090000000083819,1778227.499999999767169,11911320.770000001415610
FS( 148 ),2035572.459999999962747,2042636.470000000204891,1877817.040000000037253,2323885.000000000000000,1925369.389999999897555,1787928.500000000000000,11993212.860000001266599
FS( 149 ),2038708.449999999953434,2022134.860000000335276,1892122.119999999878928,2333968.360000000335276,1905939.650000000139698,1835463.400000000139698,12028340.840000001713634
FS( 150 ),2042699.709999999962747,1986943.120000000111759,1862101.600000000093132,2291834.320000000298023,1873916.560000000055879,1769496.599999999860302,11826995.910000000149012
FS( 151 ),2072063.979999999981374,1970154.400000000372529,1863713.439999999944121,2305879.000000000000000,1925369.389999999897555,1763190.949999999953434,11900375.160000000149012
FS( 152 ),2087743.929999999934807,1959822.880000000353903,1852833.519999999785796,2300117.080000000074506,1926089.010000000009313,1737483.300000000046566,11864093.720000000670552
FS( 153 ),2087458.839999999850988,1980324.490000000223517,1890510.279999999795109,2337929.679999999701977,1934724.450000000186265,1754945.099999999860302,11985896.839999997988343
FS( 154 ),2116538.019999999552965,2050546.540000000037253,1911464.199999999953434,2338649.919999999925494,1970705.450000000186265,1773377.000000000000000,12161285.129999998956919
FS( 155 ),2154454.989999999757856,2052806.560000000055879,1904009.439999999944121,2350894.000000000000000,1975023.170000000158325,1785018.199999999720603,12222210.359999999403954
FS( 156 ),2182963.989999999757856,2101235.560000000055879,1913277.519999999785796,2402031.040000000037253,2004167.780000000260770,1802965.050000000046566,12406644.940000001341105
FS( 157 ),2182678.899999999906868,2068465.270000000018626,1937656.600000000093132,2378263.120000000111759,1978981.080000000074506,1817516.549999999813735,12363565.519999999552965
FS( 158 ),2217459.879999999888241,2090581.180000000167638,1936447.719999999972060,2374661.919999999925494,1982579.180000000167638,1824307.250000000000000,12426041.129999998956919
FS( 159 ),2215464.249999999534339,2101235.560000000055879,1945312.839999999850988,2395548.879999999888241,1994812.719999999972060,1824792.299999999813735,12477170.550000000745058
FS( 160 ),2223731.859999999869615,2108822.770000000018626,1945514.320000000065193,2399150.080000000074506,2003807.969999999972060,1815091.300000000046566,12496122.300000002607703
FS( 161 ),2188665.789999999571592,2072662.449999999953434,1938462.519999999785796,2381504.200000000186265,1980420.320000000065193,1819456.749999999767169,12381176.029999999329448
FS( 162 ),2163292.779999999795109,2091549.760000000242144,1952767.600000000093132,2417516.200000000186265,2008125.690000000176951,1831097.949999999953434,12464353.979999998584390
FS( 163 ),2139345.220000000204891,2070886.720000000204891,1964453.439999999944121,2408513.200000000186265,2016041.510000000009313,1842254.099999999860302,12441498.190000001341105
FS( 164 ),2148468.099999999627471,2092034.050000000279397,1960826.799999999813735,2407792.959999999962747,2021438.660000000149012,1828187.649999999906868,12458752.220000000670552
FS( 165 ),2126231.079999999608845,2046672.220000000204891,1942492.119999999878928,2421837.639999999664724,2011723.790000000037253,1820911.899999999906868,12369872.749999998137355
FS( 166 ),2107130.049999999813735,2043927.910000000149012,1958409.040000000037253,2452807.959999999962747,2024676.950000000186265,1817516.549999999813735,12404472.460000000894070
FS( 167 ),2149038.279999999795109,2075406.760000000242144,1948335.040000000037253,2487739.599999999627471,2038709.540000000037253,1836433.500000000000000,12535666.719999998807907
FS( 168 ),2143336.479999999981374,2081218.239999999990687,1953775.000000000000000,2498183.080000000074506,2050583.270000000251457,1858260.750000000000000,12585360.820000000298023
FS( 169 ),2149323.370000000111759,2069918.140000000130385,1940477.320000000065193,2484138.400000000372529,2030074.100000000093132,1832553.100000000093132,12506488.429999999701977
FS( 170 ),2163577.870000000111759,2102365.569999999832362,1954782.399999999906868,2536715.919999999925494,2053101.940000000176951,1863111.249999999767169,12673658.949999999254942
