代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12546653.800000000745058
真實報酬,2546653.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19269.948556992974773
風險,171073.267484100098955
起點值,0.112641494725551
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](12),BA[2](1),UNH[23](4),
FS( 27 ),3352453.319999999832362,3746792.669999999459833,3492408.600000000093132,10591655.589999999850988
FS( 28 ),3330146.280000000260770,3737653.419999999459833,3554364.359999999869615,10622165.059999998658895
FS( 29 ),3320055.000000000000000,3719740.489999999757856,3568318.359999999869615,10608114.849999999627471
FS( 30 ),3279158.759999999776483,3687935.899999999441206,3562736.759999999776483,10529832.419999998062849
FS( 31 ),3307839.239999999757856,3734728.859999999403954,3580597.880000000353903,10623166.980000000447035
FS( 32 ),3263225.159999999683350,3722665.049999999813735,3561062.279999999795109,10546953.489999998360872
FS( 33 ),3277565.399999999906868,3766533.449999999720603,3592877.400000000372529,10636977.250000000000000
FS( 34 ),3275972.040000000037253,3804918.299999999813735,3665996.360000000335276,10746887.699999999254942
FS( 35 ),3209582.040000000037253,3738018.989999999757856,3642553.640000000130385,10590155.669999999925494
FS( 36 ),3162843.479999999515712,3642605.219999999739230,3561062.279999999795109,10366511.979999998584390
FS( 37 ),3137349.719999999739230,3655034.600000000093132,3566643.879999999888241,10359029.199999999254942
FS( 38 ),3054495.000000000000000,3577168.189999999478459,3608505.880000000353903,10240170.070000000298023
FS( 39 ),3055026.120000000111759,3607144.929999999701977,3557155.159999999683350,10219327.209999999031425
FS( 40 ),3020503.319999999832362,3683183.489999999757856,3615761.959999999962747,10319449.769999999552965
FS( 41 ),2987573.879999999888241,3770920.290000000037253,3688880.920000000391155,10447376.089999999850988
FS( 42 ),3008818.679999999701977,3744964.819999999832362,3654833.160000000149012,10408617.660000000149012
FS( 43 ),3104951.399999999906868,3774210.419999999459833,3663205.559999999590218,10542368.379999998956919
FS( 44 ),3175059.239999999757856,3709504.529999999795109,3643111.799999999813735,10527676.570000000298023
FS( 45 ),3192586.199999999720603,3761415.469999999739230,3658182.120000000111759,10612184.789999999105930
FS( 46 ),3167092.439999999944121,3809305.139999999664724,3693346.200000000186265,10669744.780000001192093
FS( 47 ),3149034.359999999869615,3815519.830000000074506,3770930.439999999944121,10735485.629999998956919
FS( 48 ),3204801.959999999962747,3826852.500000000000000,3793815.000000000000000,10825470.460000000894070
FS( 49 ),3192055.080000000074506,3856829.239999999757856,3778186.520000000018626,10827071.839999999850988
FS( 50 ),3241980.359999999869615,3907277.899999999441206,3815583.239999999757856,10964842.500000000000000
FS( 51 ),3236138.040000000037253,3724127.330000000074506,3795489.479999999981374,10755755.849999999627471
FS( 52 ),3243042.600000000093132,3862678.359999999403954,3774279.400000000372529,10880001.359999999403954
FS( 53 ),3264287.399999999906868,3810401.850000000093132,3734650.039999999571592,10809340.289999999105930
FS( 54 ),3264818.520000000018626,3830873.770000000018626,3696695.160000000149012,10792388.449999999254942
FS( 55 ),3275972.040000000037253,3934695.649999999441206,3937820.279999999795109,11148488.969999998807907
FS( 56 ),3224453.399999999906868,3910202.459999999497086,3988054.680000000167638,11122711.539999999105930
FS( 57 ),3234544.679999999701977,3906546.759999999776483,4028800.360000000335276,11169892.800000000745058
FS( 58 ),3179308.199999999720603,3940544.770000000018626,4057266.520000000018626,11177120.490000000223517
FS( 59 ),3342362.040000000037253,3909836.889999999664724,4048335.959999999962747,11300535.890000000596046
FS( 60 ),3326959.560000000055879,3900697.639999999664724,4053359.400000000372529,11281017.599999999627471
FS( 61 ),3346079.879999999888241,3860484.939999999478459,4030474.839999999850988,11237040.660000000149012
FS( 62 ),3397598.520000000018626,3831604.909999999683350,4062848.120000000111759,11292052.550000000745058
FS( 63 ),3439557.000000000000000,3865237.350000000093132,4033823.799999999813735,11338619.149999998509884
FS( 64 ),3433714.680000000167638,3842206.439999999478459,4066197.079999999608845,11342119.199999999254942
FS( 65 ),3465050.759999999776483,3900697.639999999664724,4083500.039999999571592,11449249.439999999478459
FS( 66 ),3509664.839999999850988,3944566.040000000037253,4033265.640000000130385,11487497.519999999552965
FS( 67 ),3561714.600000000093132,3929943.239999999757856,4093546.920000000391155,11585205.759999999776483
FS( 68 ),3529847.399999999441206,3913127.020000000018626,4087965.319999999832362,11530940.740000000223517
FS( 69 ),3528254.040000000037253,3890461.679999999701977,4070104.200000000186265,11488820.919999999925494
FS( 70 ),3497980.199999999720603,3869258.620000000111759,4084616.360000000335276,11451856.179999999701977
FS( 71 ),3448054.919999999925494,3850614.549999999813735,4070662.360000000335276,11369332.830000000074506
FS( 72 ),3546312.119999999646097,3810767.419999999459833,4040521.720000000204891,11397602.259999999776483
FS( 73 ),3714677.159999999683350,3883515.850000000093132,4094105.079999999608845,11692299.089999999850988
FS( 74 ),3782129.399999999441206,3807842.859999999403954,4046103.319999999832362,11636076.579999998211861
FS( 75 ),3777880.439999999478459,3755566.350000000093132,3985263.880000000353903,11518711.669999999925494
FS( 76 ),3811341.000000000000000,3782618.529999999795109,3986938.360000000335276,11580898.890000000596046
FS( 77 ),3852237.239999999757856,3828314.779999999795109,4002566.839999999850988,11683119.859999999403954
FS( 78 ),3801780.839999999850988,3825024.649999999441206,4044428.839999999850988,11671235.329999998211861
FS( 79 ),3811872.119999999646097,3798703.609999999403954,4010381.079999999608845,11620957.809999998658895
FS( 80 ),3816121.079999999608845,3843668.719999999739230,4017079.000000000000000,11676869.799999998882413
FS( 81 ),3801249.719999999739230,3856098.100000000093132,4048894.120000000111759,11706242.940000001341105
FS( 82 ),3816121.079999999608845,3857925.949999999720603,4039963.559999999590218,11714011.589999999850988
FS( 83 ),3707241.479999999515712,3773113.709999999497086,3991961.799999999813735,11472317.989999998360872
FS( 84 ),3724768.439999999478459,3775307.129999999422580,3993078.120000000111759,11493154.689999997615814
FS( 85 ),3730610.759999999776483,3835991.750000000000000,4043312.520000000018626,11609916.029999999329448
FS( 86 ),3696619.079999999608845,3799069.179999999701977,4004241.319999999832362,11499930.580000000074506
FS( 87 ),3707241.479999999515712,3838916.310000000055879,4050010.439999999944121,11596169.229999998584390
FS( 88 ),3783722.759999999776483,3888633.830000000074506,4094105.079999999608845,11766462.669999999925494
FS( 89 ),3757697.879999999888241,3898869.790000000037253,4132618.120000000111759,11789186.789999999105930
FS( 90 ),3780004.919999999925494,3877666.729999999515712,4133734.439999999944121,11791407.089999999850988
FS( 91 ),3840552.600000000093132,3918610.569999999832362,4144339.479999999981374,11903503.650000000372529
FS( 92 ),3752917.799999999813735,3954436.429999999701977,4165549.559999999590218,11872904.789999999105930
FS( 93 ),3548967.719999999739230,3993186.850000000093132,4196248.360000001266599,11738403.930000001564622
FS( 94 ),3586677.239999999757856,4014024.339999999850988,4171689.319999999832362,11772391.900000000372529
FS( 95 ),3527191.799999999813735,4069956.549999999813735,4157177.160000000149012,11754326.509999999776483
FS( 96 ),3415125.479999999515712,4228613.929999999701977,4192899.400000000372529,11836639.809999998658895
FS( 97 ),3454959.479999999515712,4281256.009999999776483,4147688.439999999944121,11883904.929999999701977
FS( 98 ),3525598.439999999478459,4328414.539999999105930,4076802.120000000111759,11930816.099999997764826
FS( 99 ),3583490.520000000018626,4351811.019999999552965,3954006.920000000391155,11889309.459999999031425
FS( 100 ),3546312.119999999646097,4263708.650000000372529,3938936.599999999627471,11748958.369999999180436
FS( 101 ),3722643.959999999962747,4295878.810000000521541,4008706.599999999627471,12027230.370000001043081
FS( 102 ),3710959.320000000298023,4350348.740000000223517,4036614.599999999627471,12097923.660000000149012
FS( 103 ),3653598.360000000335276,4332435.810000000521541,4017637.160000000149012,12003672.330000001937151
FS( 104 ),3689183.399999999441206,4364240.400000000372529,4027684.039999999571592,12081108.839999999850988
FS( 105 ),3662627.399999999441206,4340843.919999999925494,4018195.319999999832362,12021667.639999998733401
FS( 106 ),3617482.199999999720603,4295513.240000000223517,3996985.239999999757856,11909981.679999999701977
FS( 107 ),3702461.399999999441206,4304652.490000000223517,4051126.759999999776483,12058241.649999998509884
FS( 108 ),3714677.159999999683350,4307942.619999999180436,4050568.599999999627471,12073189.379999998956919
FS( 109 ),3667938.600000000093132,4212894.419999999925494,4047777.799999999813735,11928611.820000000298023
FS( 110 ),3664751.879999999888241,4284546.140000000596046,4074011.319999999832362,12023310.339999999850988
FS( 111 ),3700868.040000000037253,4265902.070000000298023,4028242.200000000186265,11995013.310000000521541
FS( 112 ),3649349.399999999441206,4220205.820000000298023,3989729.160000000149012,11859285.379999998956919
FS( 113 ),3691839.000000000000000,4184745.529999999795109,3984147.559999999590218,11860733.089999999850988
FS( 114 ),3715208.280000000260770,4346693.039999999105930,4129269.160000000149012,12191171.480000000447035
FS( 115 ),3739108.680000000167638,4313060.599999999627471,4145455.799999999813735,12197626.079999998211861
FS( 116 ),3763540.199999999720603,4367164.959999999031425,4170573.000000000000000,12301279.159999998286366
FS( 117 ),3783722.759999999776483,4320372.000000000000000,4123129.400000000372529,12227225.160000000149012
FS( 118 ),3802311.959999999962747,4399335.119999999180436,4196806.519999999552965,12398454.599999997764826
FS( 119 ),3827805.719999999739230,4470621.269999999552965,3983589.400000000372529,12282017.390000000596046
FS( 120 ),3861266.280000000260770,4479029.379999998956919,3837909.640000000130385,12178206.299999998882413
FS( 121 ),3955805.640000000130385,4440644.529999999329448,3806652.680000000167638,12203103.849999999627471
FS( 122 ),3944652.119999999646097,4477567.099999999627471,3843491.239999999757856,12265711.459999999031425
FS( 123 ),3982892.759999999776483,4716649.880000000819564,3796047.640000000130385,12495591.280000001192093
FS( 124 ),4036004.759999999776483,4715187.599999999627471,3773721.239999999757856,12524914.599999999627471
FS( 125 ),3990859.560000000055879,4795978.570000000298023,3774279.400000000372529,12561118.530000001192093
FS( 126 ),4020602.280000000260770,4748088.900000000372529,3736324.520000000018626,12505016.699999999254942
FS( 127 ),3920220.600000000093132,4740046.359999999403954,3799954.759999999776483,12460222.719999998807907
FS( 128 ),3982892.759999999776483,4740777.500000000000000,3796047.640000000130385,12519718.900000000372529
FS( 129 ),3965896.919999999925494,4770754.240000000223517,3810001.640000000130385,12546653.800000000745058
