代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11617316.300000000745058
真實報酬,1617316.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17043.653370453313983
風險,145479.696525400329847
起點值,0.117154859251975
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),MRK[17](18),UNH[23](2),WBA[27](1),
FS( 12 ),2461019.630000000353903,2541157.100000000093132,2587758.819999999832362,2618496.839999999850988,10208432.390000000596046
FS( 13 ),2448480.490000000223517,2530549.600000000093132,2552708.000000000000000,2608109.130000000353903,10139847.220000000670552
FS( 14 ),2423402.210000000428408,2519517.799999999813735,2552444.459999999962747,2590796.280000000260770,10086160.750000000000000
FS( 15 ),2425037.750000000000000,2531398.199999999720603,2548754.899999999906868,2600414.530000000260770,10105605.379999998956919
FS( 16 ),2469197.330000000074506,2514001.899999999906868,2553762.160000000149012,2605800.750000000000000,10142762.140000000596046
FS( 17 ),2498364.460000000428408,2517820.600000000093132,2580116.160000000149012,2608878.589999999850988,10205179.810000000521541
FS( 18 ),2505724.390000000596046,2535216.899999999906868,2585650.500000000000000,2634270.770000000018626,10260862.560000000521541
FS( 19 ),2521807.200000000651926,2562796.399999999906868,2599354.580000000074506,2639656.989999999757856,10323615.169999999925494
FS( 20 ),2526986.410000000614673,2567888.000000000000000,2610686.800000000279397,2607339.669999999925494,10312900.880000000819564
FS( 21 ),2547975.840000000316650,2578919.799999999813735,2630979.379999999888241,2568097.209999999962747,10325972.230000000447035
FS( 22 ),2538162.600000000093132,2570433.799999999813735,2656542.759999999776483,2592335.199999999720603,10357474.359999999403954
FS( 23 ),2541433.680000000633299,2584860.000000000000000,2626762.740000000223517,2612341.160000000149012,10365397.580000001937151
FS( 24 ),2555880.950000000651926,2609045.100000000093132,2644156.379999999888241,2639272.259999999776483,10448354.690000001341105
FS( 25 ),2556971.310000000055879,2625592.799999999813735,2633351.240000000223517,2605800.750000000000000,10421716.099999999627471
FS( 26 ),2533528.570000000298023,2546248.699999999720603,2662340.640000000130385,2638887.530000000260770,10381005.440000001341105
FS( 27 ),2497819.280000000260770,2544975.799999999813735,2611477.419999999925494,2621959.410000000149012,10276231.910000000149012
FS( 28 ),2501090.360000000335276,2517820.600000000093132,2628343.979999999981374,2808938.189999999944121,10456193.130000000819564
FS( 29 ),2494003.020000000018626,2449084.000000000000000,2602780.600000000093132,2866262.959999999962747,10412130.579999998211861
FS( 30 ),2477920.210000000428408,2416412.899999999906868,2589867.140000000130385,2825481.580000000074506,10309681.830000000074506
FS( 31 ),2458021.140000000596046,2410048.399999999906868,2526090.459999999962747,2785084.930000000167638,10179244.930000001564622
FS( 32 ),2491004.530000000260770,2445265.299999999813735,2612795.120000000111759,2769695.729999999981374,10318760.679999999701977
FS( 33 ),2524533.100000000093132,2502545.799999999813735,2694492.520000000018626,2861646.199999999720603,10583217.619999999180436
FS( 34 ),2532165.620000000577420,2528003.799999999813735,2701081.020000000018626,2817402.250000000000000,10578652.689999999478459
FS( 35 ),2567874.910000000614673,2501697.199999999720603,2715575.720000000204891,2857414.169999999925494,10642562.000000000000000
FS( 36 ),2581231.820000000298023,2427444.699999999720603,2710568.459999999962747,2943593.689999999944121,10662838.669999999925494
FS( 37 ),2573871.890000000596046,2438052.199999999720603,2706088.280000000260770,2949749.370000000111759,10667761.740000000223517
FS( 38 ),2590499.880000000353903,2451629.799999999813735,2702662.259999999776483,2941670.039999999571592,10686461.979999998584390
FS( 39 ),2603311.610000000335276,2449508.299999999813735,2696864.379999999888241,2954366.130000000353903,10704050.419999999925494
FS( 40 ),2581504.410000000614673,2446113.899999999906868,2710568.459999999962747,2925896.109999999869615,10664082.880000000819564
FS( 41 ),2567602.320000000298023,2409624.100000000093132,2664185.419999999925494,2931667.060000000055879,10573078.900000000372529
FS( 42 ),2555608.360000000335276,2426596.099999999627471,2656015.680000000167638,2923972.459999999962747,10562192.600000001490116
FS( 43 ),2518263.530000000260770,2462661.600000000093132,2612268.040000000037253,2866262.959999999962747,10459456.130000000819564
FS( 44 ),2504906.620000000577420,2559402.000000000000000,2606997.240000000223517,2873572.830000000074506,10544878.690000001341105
FS( 45 ),2530530.080000000074506,2614136.699999999720603,2633614.780000000260770,2947056.259999999776483,10725337.820000000298023
FS( 46 ),2556698.720000000670552,2666749.899999999906868,2759323.360000000335276,2983605.609999999869615,10966377.590000001713634
FS( 47 ),2569237.860000000335276,2654445.200000000186265,2733496.439999999944121,2911276.370000000111759,10868455.870000001043081
FS( 48 ),2574962.250000000000000,2643413.399999999906868,2702662.259999999776483,2912430.560000000055879,10833468.470000000670552
FS( 49 ),2594861.320000000298023,2638746.099999999627471,2716366.339999999850988,2895502.439999999944121,10845476.199999999254942
FS( 50 ),2568692.680000000633299,2657839.600000000093132,2723218.379999999888241,2885114.729999999981374,10834865.390000000596046
FS( 51 ),2571963.760000000242144,2625592.799999999813735,2752998.399999999906868,2877035.399999999906868,10827590.360000001266599
FS( 52 ),2594588.730000000447035,2674387.299999999813735,2787522.140000000130385,2925126.649999999906868,10981624.820000000298023
FS( 53 ),2582594.770000000018626,2656566.699999999720603,2783569.040000000037253,2925896.109999999869615,10948626.619999999180436
FS( 54 ),2567057.140000000596046,2637473.199999999720603,2881078.839999999850988,2908198.530000000260770,10993807.710000000894070
FS( 55 ),2593770.960000000428408,2655718.100000000093132,3000462.459999999962747,2924741.919999999925494,11174693.440000001341105
FS( 56 ),2582049.590000000316650,2651475.100000000093132,2951707.560000000055879,2908198.530000000260770,11093430.780000001192093
FS( 57 ),2588864.340000000316650,2665477.000000000000000,2941429.500000000000000,2917816.780000000260770,11113587.620000001043081
FS( 58 ),2561605.340000000316650,2654445.200000000186265,2899263.100000000093132,2882806.350000000093132,10998119.990000000223517
FS( 59 ),2526168.640000000596046,2607347.899999999906868,2858414.399999999906868,2838177.669999999925494,10830108.610000001266599
FS( 60 ),2541161.090000000316650,2634503.100000000093132,2882923.620000000111759,2868956.069999999832362,10927543.880000000819564
FS( 61 ),2479555.750000000000000,2557704.799999999813735,2800172.060000000055879,2837408.209999999962747,10674840.820000000298023
FS( 62 ),2505996.980000000447035,2583162.799999999813735,2827580.220000000204891,2881267.430000000167638,10798007.429999999701977
FS( 63 ),2565149.010000000242144,2589103.000000000000000,2841284.300000000279397,2877420.130000000353903,10872956.440000001341105
FS( 64 ),2760868.630000000353903,2505515.899999999906868,2844183.240000000223517,2872803.370000000111759,10983371.140000000596046
FS( 65 ),2797940.870000000577420,2510607.500000000000000,2867901.839999999850988,2877420.130000000353903,11053870.340000001713634
FS( 66 ),2781040.290000000037253,2494484.100000000093132,2835749.959999999962747,2929743.410000000149012,11041017.760000001639128
FS( 67 ),2773135.180000000633299,2474966.299999999813735,2806497.020000000018626,2939361.660000000149012,10993960.160000000149012
FS( 68 ),2778314.390000000596046,2497029.899999999906868,2871854.939999999944121,2950518.830000000074506,11097718.060000000521541
FS( 69 ),2776951.440000000409782,2492362.600000000093132,2895046.459999999962747,3059782.149999999906868,11224142.650000000372529
FS( 70 ),2823564.330000000074506,2498302.799999999813735,2894782.919999999925494,3076325.539999999571592,11292975.589999999850988
FS( 71 ),2839647.140000000596046,2495332.700000000186265,2884241.319999999832362,3029003.750000000000000,11248224.910000000149012
FS( 72 ),2838284.190000000409782,2494484.100000000093132,2892674.600000000093132,3000918.459999999962747,11226361.350000001490116
FS( 73 ),2831196.850000000093132,2494908.399999999906868,2892938.140000000130385,2992839.130000000353903,11211882.520000001415610
FS( 74 ),2832014.620000000577420,2473693.399999999906868,2899790.180000000167638,2966292.759999999776483,11171790.960000000894070
FS( 75 ),2850005.560000000055879,2475814.899999999906868,2968047.040000000037253,2967446.949999999720603,11261314.449999999254942
FS( 76 ),2861999.520000000018626,2473693.399999999906868,3067665.160000000149012,3023617.530000000260770,11426975.609999999403954
FS( 77 ),2853276.640000000596046,2476239.199999999720603,3042101.780000000260770,3092868.930000000167638,11464486.550000000745058
FS( 78 ),2877809.740000000223517,2481755.100000000093132,3005733.259999999776483,3078249.189999999944121,11443547.289999999105930
FS( 79 ),2850278.150000000372529,2501697.199999999720603,2995455.200000000186265,3141344.910000000149012,11488775.460000000894070
FS( 80 ),2837193.830000000074506,2483876.600000000093132,2994664.580000000074506,3196361.299999999813735,11512096.309999998658895
FS( 81 ),2886532.620000000577420,2485573.799999999813735,3014957.160000000149012,3217136.720000000204891,11604200.300000000745058
FS( 82 ),2899071.760000000242144,2475390.600000000093132,2974372.000000000000000,3201362.789999999571592,11550197.150000000372529
FS( 83 ),2877809.740000000223517,2455872.799999999813735,2999671.839999999850988,3194052.919999999925494,11527407.300000000745058
FS( 84 ),2863089.880000000353903,2460115.799999999813735,3025235.220000000204891,3200978.060000000055879,11549418.960000000894070
FS( 85 ),2830106.490000000223517,2411745.600000000093132,2974899.080000000074506,3168276.009999999776483,11385027.179999999701977
FS( 86 ),2869359.450000000651926,2429566.199999999720603,3028134.160000000149012,3212519.959999999962747,11539579.769999999552965
FS( 87 ),2810207.420000000391155,2400713.799999999813735,2963830.399999999906868,3182511.020000000018626,11357262.640000000596046
FS( 88 ),2804755.620000000577420,2378650.200000000186265,2970682.439999999944121,3174431.689999999944121,11328519.949999999254942
FS( 89 ),2921424.140000000596046,2383317.500000000000000,3027607.080000000074506,3241374.709999999962747,11573723.429999999701977
FS( 90 ),2901525.070000000298023,2384590.399999999906868,3037358.060000000055879,3220984.020000000018626,11544457.550000000745058
FS( 91 ),2926875.940000000409782,2423626.000000000000000,3123535.640000000130385,3338326.669999999925494,11812364.250000000000000
FS( 92 ),2915699.750000000000000,2396046.500000000000000,3099289.959999999962747,3318705.439999999944121,11729741.650000000372529
FS( 93 ),2943231.340000000316650,2446113.899999999906868,3161485.399999999906868,3354100.600000000093132,11904931.240000000223517
FS( 94 ),2926875.940000000409782,2469874.699999999720603,3182568.600000000093132,3361025.739999999757856,11940344.980000000447035
FS( 95 ),2955770.480000000447035,2485573.799999999813735,3139875.120000000111759,3394497.250000000000000,11975716.650000000372529
FS( 96 ),2950046.090000000316650,2491938.299999999813735,3137239.720000000204891,3382570.620000000111759,11961794.730000000447035
FS( 97 ),2919788.600000000093132,2487695.299999999813735,3112994.040000000037253,3385648.459999999962747,11906126.400000002235174
FS( 98 ),2862272.110000000335276,2471996.199999999720603,3071354.720000000204891,3304085.699999999720603,11709708.730000000447035
FS( 99 ),2868814.270000000018626,2443992.399999999906868,3063712.060000000055879,3248684.580000000074506,11625203.310000000521541
FS( 100 ),2875356.430000000633299,2450356.899999999906868,3110095.100000000093132,3281386.630000000353903,11717195.060000000521541
FS( 101 ),2892802.190000000409782,2475390.600000000093132,3188893.560000000055879,3308317.729999999981374,11865404.080000001937151
FS( 102 ),2859273.620000000577420,2438900.799999999813735,3117474.220000000204891,3257918.100000000093132,11673566.740000000223517
FS( 103 ),2874266.070000000298023,2412594.199999999720603,3095336.860000000335276,3241759.439999999944121,11623956.570000000298023
FS( 104 ),2889531.110000000335276,2422777.399999999906868,3092965.000000000000000,3307548.270000000018626,11712821.779999999329448
FS( 105 ),2879445.280000000260770,2426171.799999999813735,3101925.360000000335276,3386033.189999999944121,11793575.630000000819564
FS( 106 ),2873993.480000000447035,2436779.299999999813735,3092701.459999999962747,3357947.899999999906868,11761422.140000000596046
FS( 107 ),2899344.350000000093132,2424898.899999999906868,3114838.819999999832362,3373337.100000000093132,11812419.169999999925494
FS( 108 ),2910520.540000000037253,2436779.299999999813735,3124326.259999999776483,3563393.720000000204891,12035019.820000000298023
FS( 109 ),2915427.160000000614673,2429141.899999999906868,3136185.560000000055879,3540309.919999999925494,12021064.540000000968575
FS( 110 ),2903433.200000000651926,2407078.299999999813735,3145936.540000000037253,3528383.289999999571592,11984831.329999998211861
FS( 111 ),2907522.050000000279397,2450781.199999999720603,3160431.240000000223517,3538771.000000000000000,12057505.490000000223517
FS( 112 ),2916244.930000000633299,2480057.899999999906868,3091910.839999999850988,3521842.880000000353903,12010056.550000000745058
FS( 113 ),2946775.010000000242144,2454175.600000000093132,3204705.959999999962747,3444127.419999999925494,12049783.990000000223517
FS( 114 ),2908339.820000000298023,2413442.799999999813735,3128542.899999999906868,3345636.539999999571592,11795962.059999998658895
FS( 115 ),2950046.090000000316650,2444416.699999999720603,3125116.879999999888241,3351792.220000000204891,11871371.890000000596046
FS( 116 ),2935326.230000000447035,2446538.199999999720603,3143564.680000000167638,3350638.030000000260770,11876067.140000000596046
FS( 117 ),2942413.570000000298023,2447811.099999999627471,3104824.300000000279397,3347944.919999999925494,11842993.890000000596046
FS( 118 ),2971308.110000000335276,2440173.699999999720603,3116683.600000000093132,3335248.830000000074506,11863414.240000000223517
FS( 119 ),2985755.380000000353903,2443992.399999999906868,3128015.819999999832362,3307933.000000000000000,11865696.599999999627471
FS( 120 ),3002928.550000000279397,2422777.399999999906868,3063448.520000000018626,3313319.220000000204891,11802473.690000001341105
FS( 121 ),2996386.390000000596046,2544975.799999999813735,3099026.419999999925494,3311780.299999999813735,11952168.910000000149012
FS( 122 ),2993387.900000000372529,2532246.799999999813735,2994137.500000000000000,3253686.069999999832362,11773458.269999999552965
FS( 123 ),2963675.590000000316650,2527155.200000000186265,2935895.160000000149012,3190590.350000000093132,11617316.300000000745058
