代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11454102.519999999552965
真實報酬,1454102.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12766.527751558489399
風險,132318.754681395250373
起點值,0.096483131074642
找到最佳解世代,1530
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),IBM[10](14),MRK[17](20),UNH[23](2),WBA[27](3),
FS( 64 ),2277657.379999999888241,1973754.399999999906868,1912758.559999999823049,2297989.639999999664724,2450042.750000000000000,10912202.729999998584390
FS( 65 ),2266007.419999999925494,1995543.200000000186265,1916063.159999999683350,2317572.969999999739230,2455354.730000000447035,10950541.480000000447035
FS( 66 ),2239902.879999999888241,1962364.800000000046566,1878390.719999999972060,2279011.979999999515712,2430270.379999999888241,10789940.759999997913837
FS( 67 ),2270969.440000000409782,1990467.400000000139698,1892270.039999999804422,2319793.759999999776483,2464208.030000000260770,10937708.670000001788139
FS( 68 ),2224153.860000000335276,1953822.600000000093132,1869798.759999999776483,2270532.599999999627471,2441189.450000000186265,10759497.269999999552965
FS( 69 ),2219839.059999999590218,1941318.800000000279397,1852614.839999999850988,2275781.740000000223517,2434992.140000000596046,10724546.580000000074506
FS( 70 ),2312175.780000000260770,1955927.199999999953434,1856249.899999999906868,2319389.979999999515712,2486341.280000000260770,10930084.140000000596046
FS( 71 ),2296426.759999999776483,1910121.199999999953434,1857241.280000000027940,2326859.910000000149012,2470700.450000000186265,10861349.600000001490116
FS( 72 ),2316490.580000000074506,1944785.200000000186265,1887643.599999999860302,2392877.939999999478459,2560709.000000000000000,11102506.320000000298023
FS( 73 ),2307645.240000000223517,1943299.600000000093132,1866163.699999999720603,2374304.059999999590218,2545658.390000000596046,11037070.989999998360872
FS( 74 ),2329434.979999999515712,1978582.600000000093132,1905157.979999999748543,2421950.099999999627471,2572808.509999999776483,11207934.169999999925494
FS( 75 ),2316490.580000000074506,1978582.600000000093132,1923663.739999999757856,2438101.299999999813735,2578120.490000000223517,11234958.709999999031425
FS( 76 ),2339359.020000000484288,2016589.199999999953434,1935890.759999999776483,2405395.120000000111759,2603795.060000000521541,11301029.160000002011657
FS( 77 ),2334828.479999999515712,2038254.199999999953434,1940847.659999999683350,2403376.219999999739230,2594646.650000000372529,11311953.209999999031425
FS( 78 ),2310881.339999999850988,2018074.800000000046566,1937543.059999999823049,2384802.339999999850988,2597007.530000000260770,11248309.070000000298023
FS( 79 ),2265360.200000000186265,1971030.799999999813735,1925316.039999999804422,2352903.719999999739230,2534444.209999999962747,11049054.969999998807907
FS( 80 ),2270537.959999999962747,1988239.000000000000000,1903505.679999999934807,2347048.910000000149012,2491948.370000000111759,11001279.920000001788139
FS( 81 ),2275715.719999999739230,1985886.800000000046566,1908462.579999999841675,2382581.549999999813735,2517032.720000000670552,11069679.369999999180436
FS( 82 ),2289523.080000000074506,2013989.399999999906868,1927959.719999999972060,2442946.660000000149012,2537690.419999999925494,11212109.279999999329448
FS( 83 ),2262987.059999999590218,1987124.800000000046566,1899540.159999999683350,2388234.469999999739230,2499031.009999999776483,11036917.499999998137355
FS( 84 ),2274852.759999999776483,1970783.200000000186265,1879051.639999999897555,2371275.709999999962747,2486636.390000000596046,10982599.699999999254942
FS( 85 ),2286934.200000000186265,1986505.799999999813735,1886982.679999999934807,2369458.700000000186265,2537100.200000000186265,11066981.579999998211861
FS( 86 ),2278951.820000000298023,2006190.000000000000000,1889626.359999999869615,2376322.959999999962747,2597302.640000000596046,11148393.780000001192093
FS( 87 ),2274637.020000000484288,2006561.399999999906868,1897887.859999999869615,2369256.809999999590218,2575759.610000000335276,11124102.699999999254942
FS( 88 ),2294700.839999999850988,2003837.800000000046566,1888634.979999999748543,2386215.570000000298023,2587564.009999999776483,11160953.199999999254942
FS( 89 ),2303546.179999999701977,2009904.000000000000000,1897887.859999999869615,2393483.609999999403954,2733348.350000000558794,11338170.000000000000000
FS( 90 ),2307429.500000000000000,2016341.600000000325963,1891939.579999999841675,2402568.660000000149012,2715641.750000000000000,11333921.089999999850988
FS( 91 ),2297936.940000000409782,2010399.199999999953434,1874755.659999999683350,2410038.589999999850988,2706493.339999999850988,11299623.730000000447035
FS( 92 ),2301173.040000000037253,2009408.800000000279397,1908793.039999999804422,2421142.540000000037253,2714461.310000000521541,11354978.730000000447035
FS( 93 ),2308076.719999999739230,2032064.199999999953434,1931594.780000000027940,2368651.139999999664724,2701476.470000000670552,11341863.310000000521541
FS( 94 ),2332239.599999999627471,2019684.199999999953434,1911436.719999999972060,2455060.059999999590218,2641864.250000000000000,11360284.829999998211861
FS( 95 ),2301820.259999999776483,1989229.399999999906868,1879712.559999999823049,2396713.849999999627471,2566316.089999999850988,11133792.160000000149012
FS( 96 ),2334828.479999999515712,2057195.600000000093132,1903836.139999999897555,2394089.280000000260770,2571037.850000000558794,11260987.350000001490116
FS( 97 ),2323178.520000000484288,2033673.599999999860302,1905488.439999999711290,2408221.580000000074506,2570152.520000000484288,11240714.660000000149012
FS( 98 ),2328787.759999999776483,2047291.600000000325963,1906479.819999999832362,2378543.750000000000000,2568086.750000000000000,11229189.679999999701977
FS( 99 ),2351656.200000000186265,2107706.000000000000000,1900531.539999999804422,2387628.799999999813735,2558348.120000000111759,11305870.660000000149012
FS( 100 ),2363090.419999999925494,2102011.200000000186265,1903505.679999999934807,2396310.070000000298023,2537395.310000000521541,11302312.680000001564622
FS( 101 ),2376682.040000000037253,2113772.200000000186265,1886982.679999999934807,2346847.019999999552965,2541526.850000000558794,11265810.789999999105930
FS( 102 ),2371504.280000000260770,2153264.399999999441206,1982155.159999999683350,2374102.169999999925494,2540346.410000000149012,11421372.419999999925494
FS( 103 ),2369131.139999999664724,2159206.799999999813735,1972241.359999999869615,2293749.950000000186265,2495784.799999999813735,11290114.050000000745058
FS( 104 ),2345615.479999999515712,2120705.000000000000000,1968275.839999999850988,2249132.259999999776483,2447386.759999999776483,11131115.339999997988343
FS( 105 ),2384448.679999999701977,2150169.399999999441206,1978189.639999999897555,2285472.459999999962747,2463027.589999999850988,11261307.769999999552965
FS( 106 ),2395451.419999999925494,2153883.400000000372529,2003965.519999999785796,2312929.500000000000000,2482799.959999999962747,11349029.800000000745058
FS( 107 ),2390705.139999999664724,2142865.200000000186265,1999008.619999999878928,2288904.589999999850988,2453584.070000000298023,11275067.620000001043081
FS( 108 ),2367189.479999999515712,2105353.799999999813735,1991408.039999999804422,2291327.269999999552965,2452403.629999999888241,11207682.219999998807907
FS( 109 ),2357265.440000000409782,2116991.000000000000000,1992729.879999999655411,2316967.299999999813735,2485751.060000000521541,11269704.680000001564622
FS( 110 ),2375603.339999999850988,2137913.200000000186265,2007270.119999999878928,2335541.179999999701977,2509064.750000000000000,11365392.589999999850988
FS( 111 ),2343026.599999999627471,2118600.400000000372529,1982816.079999999841675,2317169.189999999478459,2486341.280000000260770,11247953.550000000745058
FS( 112 ),2356833.959999999962747,2111543.799999999813735,1964310.319999999832362,2314544.620000000111759,2484275.509999999776483,11231508.209999999031425
FS( 113 ),2355755.259999999776483,2132961.200000000186265,1955718.359999999869615,2339175.200000000186265,2481029.299999999813735,11264639.320000000298023
FS( 114 ),2371720.020000000484288,2154873.799999999813735,1975545.959999999962747,2393079.830000000074506,2518803.379999999888241,11414022.989999998360872
FS( 115 ),2379702.399999999441206,2145093.599999999627471,1990416.659999999683350,2409231.030000000260770,2551855.700000000186265,11476299.389999996870756
FS( 116 ),2380349.620000000111759,2142617.599999999627471,1983146.539999999804422,2418719.859999999403954,2548609.490000000223517,11473443.109999999403954
FS( 117 ),2385311.639999999664724,2147817.200000000186265,2000000.000000000000000,2433861.609999999403954,2533263.770000000484288,11500254.219999998807907
FS( 118 ),2377545.000000000000000,2151283.599999999627471,1998017.239999999757856,2447792.019999999552965,2505228.320000000298023,11479866.179999999701977
FS( 119 ),2381644.059999999590218,2146084.000000000000000,1986120.679999999934807,2432044.599999999627471,2571628.070000000298023,11517521.410000000149012
FS( 120 ),2378839.440000000409782,2132218.400000000372529,1962327.559999999823049,2414480.169999999925494,2551265.480000000447035,11439131.050000000745058
FS( 121 ),2361148.759999999776483,2106344.200000000186265,1948778.699999999720603,2387225.019999999552965,2524705.580000000074506,11328202.259999999776483
FS( 122 ),2381212.580000000074506,2129494.799999999813735,1964971.239999999757856,2411653.709999999962747,2543297.509999999776483,11430629.839999997988343
FS( 123 ),2384664.419999999925494,2125904.600000000558794,1972902.280000000027940,2415085.839999999850988,2539461.080000000074506,11438018.220000000670552
FS( 124 ),2381212.580000000074506,2100401.799999999813735,2012227.019999999785796,2426997.349999999627471,2533263.770000000484288,11454102.519999999552965
