代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13412374.959999999031425
真實報酬,3412374.959999999031425

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29162.342857468218426
風險,204063.880844659957802
起點值,0.142907910683457
找到最佳解世代,1903
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](5),CSCO[4](3),INTC[11](13),JPM[13](1),WMT[28](10),
FS( 98 ),2792658.459999999497086,2606806.200000000186265,2625246.120000000111759,2490943.100000000093132,2702538.070000000298023,13218191.950000001117587
FS( 99 ),2785169.559999999590218,2611140.530000000260770,2593898.319999999832362,2522785.700000000186265,2699730.980000000447035,13212725.089999999850988
FS( 100 ),2855232.379999999888241,2594422.400000000372529,2581929.159999999683350,2523440.000000000000000,2720401.370000000111759,13275425.309999998658895
FS( 101 ),2856147.689999999944121,2635288.940000000409782,2854370.039999999571592,2536962.199999999720603,2766080.379999999888241,13648849.250000000000000
FS( 102 ),2836177.289999999571592,2653245.450000000186265,2848670.439999999478459,2534345.000000000000000,2795682.419999999925494,13668120.599999999627471
FS( 103 ),2810298.979999999515712,2616094.050000000279397,2780845.199999999720603,2510572.100000000093132,2749237.839999999850988,13467048.169999998062849
FS( 104 ),2948926.839999999850988,2572131.560000000055879,2743797.799999999813735,2522785.700000000186265,2720401.370000000111759,13508043.269999999552965
FS( 105 ),2970311.809999999590218,2582038.600000000558794,2715869.759999999776483,2548957.700000000186265,2692840.849999999627471,13510018.720000000670552
FS( 106 ),2903494.180000000167638,2534360.970000000204891,2630375.759999999776483,2492469.799999999813735,2666301.089999999850988,13227001.800000000745058
FS( 107 ),2736824.549999999813735,2401235.120000000577420,2537472.280000000260770,2372951.000000000000000,2554272.679999999701977,12602755.629999998956919
FS( 108 ),2836926.180000000167638,2487302.530000000260770,2559700.719999999739230,2445142.100000000093132,2574943.070000000298023,12904014.600000001490116
FS( 109 ),2896920.589999999850988,2497828.760000000707805,2576229.560000000055879,2461717.700000000186265,2624705.120000000111759,13057401.730000000447035
FS( 110 ),2743314.930000000167638,2400615.930000000633299,2436589.359999999869615,2352885.799999999813735,2552486.349999999627471,12485892.369999999180436
FS( 111 ),2769692.499999999534339,2447674.370000000577420,2504984.560000000055879,2399995.399999999906868,2535899.000000000000000,12658245.830000000074506
FS( 112 ),2860973.870000000111759,2513927.700000000186265,2555141.039999999571592,2437072.399999999906868,2540492.419999999925494,12907607.429999999701977
FS( 113 ),2855648.430000000167638,2552936.669999999925494,2534052.520000000018626,2452121.300000000279397,2576984.589999999850988,12971743.509999999776483
FS( 114 ),2869710.919999999925494,2606187.010000000707805,2586488.839999999850988,2508827.299999999813735,2595358.270000000484288,13166572.339999999850988
FS( 115 ),2966317.729999999515712,2729405.820000000298023,2617266.680000000167638,2519296.100000000093132,2634402.339999999850988,13466688.669999999925494
FS( 116 ),2954501.910000000149012,2744885.570000000298023,2596748.120000000111759,2501193.800000000279397,2673956.790000000037253,13471286.190000001341105
FS( 117 ),2940439.419999999925494,2728167.440000000409782,2640065.080000000074506,2501848.100000000093132,2401669.059999999590218,13212189.100000001490116
FS( 118 ),2932284.839999999850988,2681728.190000000409782,2618406.599999999627471,2512316.899999999906868,2335574.849999999627471,13080311.379999998956919
FS( 119 ),2961824.390000000130385,2658818.160000000149012,2610427.159999999683350,2507736.800000000279397,2367473.599999999627471,13106280.110000001266599
FS( 120 ),2967981.930000000167638,2724452.300000000279397,2720429.439999999478459,2558554.100000000093132,2370535.879999999888241,13341953.649999998509884
FS( 121 ),3024731.149999999906868,2808662.140000000130385,2799083.919999999925494,2590396.699999999720603,2376405.250000000000000,13599279.160000000149012
FS( 122 ),3034383.509999999776483,2788848.060000000055879,2844680.719999999739230,2559644.600000000093132,2335574.849999999627471,13563131.739999998360872
FS( 123 ),3014163.479999999515712,2772749.120000000577420,2809343.199999999720603,2519078.000000000000000,2297041.160000000149012,13412374.959999999031425
