代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12476171.660000000149012
真實報酬,2476171.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19038.885592809165246
風險,114061.806466208392521
起點值,0.166917272158490
找到最佳解世代,2407
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](3),JNJ[12](7),PG[21](15),
FS( 14 ),2504642.399999999906868,2594897.200000000186265,2569898.239999999757856,2527103.439999999478459,10196541.279999999329448
FS( 15 ),2524206.800000000279397,2568366.800000000279397,2619318.479999999981374,2512906.399999999906868,10224798.480000000447035
FS( 16 ),2554382.399999999906868,2563264.800000000279397,2599386.560000000055879,2558724.119999999646097,10275757.879999998956919
FS( 17 ),2581905.200000000186265,2597958.399999999906868,2658909.279999999795109,2575179.779999999795109,10413952.659999998286366
FS( 18 ),2557035.200000000186265,2589795.199999999720603,2649898.959999999497086,2565177.319999999832362,10361906.679999999701977
FS( 19 ),2546092.399999999906868,2582652.399999999906868,2656178.879999999888241,2570017.220000000204891,10354940.900000000372529
FS( 20 ),2543108.000000000000000,2614284.800000000279397,2660547.519999999552965,2573566.479999999981374,10391506.800000000745058
FS( 21 ),2542776.400000000372529,2633672.399999999906868,2682117.679999999701977,2600669.919999999459833,10459236.400000000372529
FS( 22 ),2565988.399999999906868,2652039.599999999627471,2674199.519999999552965,2592280.759999999776483,10484508.279999999329448
FS( 23 ),2570299.200000000186265,2641835.600000000093132,2682117.679999999701977,2585504.899999999906868,10479757.380000000819564
FS( 24 ),2552392.800000000279397,2694896.399999999906868,2682936.799999999813735,2584536.919999999459833,10514762.919999999925494
FS( 25 ),2519232.800000000279397,2669386.399999999906868,2687305.439999999944121,2573889.139999999664724,10449813.780000001192093
FS( 26 ),2479772.399999999906868,2703059.599999999627471,2672834.319999999832362,2597120.659999999683350,10452786.980000000447035
FS( 27 ),2479772.399999999906868,2745916.399999999906868,2677476.000000000000000,2624869.419999999459833,10528034.219999998807907
FS( 28 ),2512269.200000000186265,2753059.200000000186265,2701776.560000000055879,2629386.659999999683350,10596491.620000001043081
FS( 29 ),2479772.399999999906868,2696937.200000000186265,2635973.919999999925494,2616480.259999999776483,10429163.779999999329448
FS( 30 ),2461534.400000000372529,2671427.200000000186265,2644984.239999999757856,2605832.479999999981374,10383778.320000000298023
FS( 31 ),2471482.399999999906868,2710202.399999999906868,2652356.319999999832362,2607445.779999999795109,10441486.899999998509884
FS( 32 ),2453576.000000000000000,2731630.799999999813735,2708602.560000000055879,2608413.759999999776483,10502223.119999999180436
FS( 33 ),2458550.000000000000000,2747957.200000000186265,2696315.759999999776483,2634549.220000000204891,10537372.179999999701977
FS( 34 ),2486736.000000000000000,2759181.600000000093132,2702049.599999999627471,2638098.479999999981374,10586065.679999999701977
FS( 35 ),2516248.399999999906868,2749998.000000000000000,2730445.759999999776483,2631645.279999999795109,10628337.439999999478459
FS( 36 ),2518901.199999999720603,2738773.600000000093132,2735360.479999999981374,2621642.819999999832362,10614678.099999999627471
FS( 37 ),2485741.199999999720603,2729590.000000000000000,2736452.639999999664724,2592926.079999999608845,10544709.919999998062849
FS( 38 ),2689675.200000000186265,2729590.000000000000000,2729353.599999999627471,2618416.220000000204891,10767035.019999999552965
FS( 39 ),2709571.199999999720603,2679590.400000000372529,2724711.919999999925494,2626805.379999999888241,10740678.899999998509884
FS( 40 ),2814356.800000000279397,2686733.199999999720603,2767033.119999999646097,2676172.359999999869615,10944295.479999998584390
FS( 41 ),2806066.800000000279397,2702039.200000000186265,2758568.879999999888241,2660039.359999999869615,10926714.240000000223517
FS( 42 ),2795455.600000000093132,2723467.600000000093132,2765667.919999999925494,2663588.619999999646097,10948179.740000000223517
FS( 43 ),2802087.600000000093132,2698978.000000000000000,2744916.879999999888241,2656812.759999999776483,10902795.239999998360872
FS( 44 ),2807061.600000000093132,2694896.399999999906868,2711606.000000000000000,2643261.040000000037253,10856825.039999999105930
FS( 45 ),2846853.600000000093132,2670406.800000000279397,2730445.759999999776483,2636162.520000000018626,10883868.679999999701977
FS( 46 ),2816014.800000000279397,2673468.000000000000000,2717066.799999999813735,2617770.899999999906868,10824320.500000000000000
FS( 47 ),2806066.800000000279397,2690814.800000000279397,2755292.399999999906868,2648746.259999999776483,10900920.259999999776483
FS( 48 ),2785507.600000000093132,2687753.600000000093132,2744097.759999999776483,2651004.879999999888241,10868363.839999999850988
FS( 49 ),2773901.600000000093132,2683672.000000000000000,2755292.399999999906868,2658426.060000000055879,10871292.060000000521541
FS( 50 ),2808388.000000000000000,2690814.800000000279397,2744643.839999999850988,2637130.500000000000000,10880977.140000000596046
FS( 51 ),2812698.799999999813735,2698978.000000000000000,2758295.839999999850988,2633258.579999999608845,10903231.219999998807907
FS( 52 ),2813362.000000000000000,2686733.199999999720603,2754200.239999999757856,2619061.540000000037253,10873356.980000000447035
FS( 53 ),2789486.800000000279397,2654080.400000000372529,2749285.519999999552965,2598411.299999999813735,10791264.019999999552965
FS( 54 ),2830605.200000000186265,2634692.799999999813735,2746282.079999999608845,2591958.099999999627471,10803538.179999999701977
FS( 55 ),2864096.800000000279397,2657141.600000000093132,2747920.319999999832362,2579051.700000000186265,10848210.420000001788139
FS( 56 ),2864760.000000000000000,2657141.600000000093132,2737271.759999999776483,2588731.500000000000000,10847904.859999999403954
FS( 57 ),2872386.800000000279397,2673468.000000000000000,2761572.319999999832362,2597120.659999999683350,10904547.780000001192093
FS( 58 ),2876697.600000000093132,2668366.000000000000000,2756657.599999999627471,2602283.220000000204891,10904004.419999999925494
FS( 59 ),2909194.400000000372529,2682651.600000000093132,2757203.679999999701977,2598088.639999999664724,10947138.320000000298023
FS( 60 ),2963908.399999999906868,2725508.399999999906868,2752562.000000000000000,2583891.599999999627471,11025870.400000000372529
FS( 61 ),2955950.000000000000000,2742855.199999999720603,2738636.959999999497086,2584536.919999999459833,11021979.079999998211861
FS( 62 ),3010000.799999999813735,2751018.399999999906868,2751196.799999999813735,2594216.720000000204891,11106432.720000000670552
FS( 63 ),2998726.400000000372529,2787752.799999999813735,2770309.599999999627471,2606800.459999999962747,11163589.260000001639128
FS( 64 ),2978167.200000000186265,2781630.400000000372529,2789695.439999999944121,2592926.079999999608845,11142419.120000001043081
FS( 65 ),3020280.399999999906868,2822446.399999999906868,2797613.599999999627471,2579051.700000000186265,11219392.099999997764826
FS( 66 ),3054766.800000000279397,2816324.000000000000000,2803620.479999999981374,2576793.079999999608845,11251504.360000001266599
FS( 67 ),3066704.400000000372529,2822446.399999999906868,2818364.639999999664724,2584859.579999999608845,11292375.020000001415610
FS( 68 ),3058082.800000000279397,2874486.800000000279397,2817272.479999999981374,2582278.299999999813735,11332120.379999998956919
FS( 69 ),3107159.600000000093132,2847956.399999999906868,2818364.639999999664724,2584214.259999999776483,11357694.900000000372529
FS( 70 ),3125397.600000000093132,2881629.599999999627471,2842392.159999999683350,2586150.220000000204891,11435569.580000000074506
FS( 71 ),3112465.200000000186265,2849997.200000000186265,2821095.039999999571592,2583246.279999999795109,11366803.719999998807907
FS( 72 ),3060404.000000000465661,2853058.399999999906868,2799524.879999999888241,2573566.479999999981374,11286553.760000001639128
FS( 73 ),3026912.399999999906868,3047954.800000000279397,2799524.879999999888241,2569694.560000000055879,11444086.640000000596046
FS( 74 ),3057419.600000000093132,3062240.400000000372529,2797340.560000000055879,2571307.859999999869615,11488308.419999999925494
FS( 75 ),3053440.399999999906868,3056118.000000000000000,2783142.479999999981374,2567758.599999999627471,11460459.480000000447035
FS( 76 ),3056756.400000000372529,3054077.200000000186265,2807170.000000000000000,2574534.459999999962747,11492538.060000002384186
FS( 77 ),3046145.200000000186265,3070403.600000000093132,2834474.000000000000000,2589054.159999999683350,11540076.960000000894070
FS( 78 ),3014643.200000000186265,3081628.000000000000000,2874337.839999999850988,2579051.700000000186265,11549660.739999998360872
FS( 79 ),3011990.399999999906868,3084689.200000000186265,2860139.759999999776483,2565822.639999999664724,11522642.000000000000000
FS( 80 ),2993752.399999999906868,3112240.000000000000000,2855771.119999999646097,2549366.979999999981374,11511130.500000000000000
FS( 81 ),2996405.200000000186265,3151015.199999999720603,2887716.799999999813735,2559369.439999999478459,11594506.639999998733401
FS( 82 ),3014311.600000000093132,3140811.200000000186265,2884713.359999999869615,2536783.239999999757856,11576619.400000000372529
FS( 83 ),3050124.400000000372529,3156117.200000000186265,2866692.719999999739230,2549689.639999999664724,11622623.960000000894070
FS( 84 ),3081626.400000000372529,3153056.000000000000000,2856590.239999999757856,2535815.259999999776483,11627087.900000000372529
FS( 85 ),3101190.799999999813735,3161219.200000000186265,2890720.239999999757856,2558078.799999999813735,11711209.039999999105930
FS( 86 ),3099864.400000000372529,3161219.200000000186265,2890447.199999999720603,2567113.279999999795109,11718644.080000000074506
FS( 87 ),3118102.399999999906868,3177545.600000000093132,2878433.439999999944121,2580665.000000000000000,11754746.439999999478459
FS( 88 ),3182432.800000000279397,3166321.200000000186265,2907102.639999999664724,2587440.859999999869615,11843297.500000000000000
FS( 89 ),3161873.600000000093132,3141831.600000000093132,2886624.639999999664724,2599379.279999999795109,11789709.119999999180436
FS( 90 ),3163200.000000000000000,3152035.600000000093132,2895361.919999999925494,2635194.540000000037253,11845792.059999998658895
FS( 91 ),3151594.000000000465661,3189790.400000000372529,2888808.959999999497086,2633258.579999999608845,11863451.939999999478459
FS( 92 ),3157562.800000000279397,3188770.000000000000000,2869696.159999999683350,2618738.879999999888241,11834767.839999999850988
FS( 93 ),3198349.600000000093132,3213259.599999999627471,2877341.279999999795109,2623901.439999999478459,11912851.919999998062849
FS( 94 ),3160878.799999999813735,3235708.399999999906868,2820002.879999999888241,2621965.479999999981374,11838555.559999998658895
FS( 95 ),3142972.399999999906868,3535706.000000000000000,2791060.639999999664724,2611640.359999999869615,12081379.399999998509884
FS( 96 ),3086932.000000000000000,3438768.000000000465661,2740548.239999999757856,2594216.720000000204891,11860464.960000000894070
FS( 97 ),3131366.400000000372529,3438768.000000000465661,2779592.959999999497086,2599056.619999999646097,11948783.979999998584390
FS( 98 ),3115118.000000000000000,3475502.400000000372529,2765121.839999999850988,2590344.799999999813735,11946087.039999999105930
FS( 99 ),3140982.800000000279397,3549991.600000000093132,2797886.639999999664724,2584536.919999999459833,12073397.959999999031425
FS( 100 ),3222888.000000000000000,3520400.000000000000000,2790241.519999999552965,2580987.659999999683350,12114517.179999999701977
FS( 101 ),3217582.399999999906868,3494890.000000000000000,2790514.560000000055879,2589699.479999999981374,12092686.440000001341105
FS( 102 ),3238804.800000000279397,3494890.000000000000000,2788057.199999999720603,2567113.279999999795109,12088865.279999999329448
FS( 103 ),3283570.799999999813735,3492849.199999999720603,2788057.199999999720603,2557433.479999999981374,12121910.679999999701977
FS( 104 ),3262348.399999999906868,3488767.599999999627471,2783961.599999999627471,2537751.220000000204891,12072828.820000000298023
FS( 105 ),3254721.600000000093132,3505094.000000000000000,2793244.959999999497086,2521940.879999999888241,12075001.439999997615814
FS( 106 ),3170163.600000000093132,3458155.600000000093132,2732903.119999999646097,2494837.439999999478459,11856059.759999999776483
FS( 107 ),3187738.399999999906868,3442849.600000000093132,2727715.359999999869615,2570017.220000000204891,11928320.580000000074506
FS( 108 ),3169832.000000000000000,3474481.999999999534339,2734814.399999999906868,2556142.839999999850988,11935271.240000000223517
FS( 109 ),3154246.800000000279397,3348972.799999999813735,2725531.039999999571592,2562273.379999999888241,11791024.019999999552965
FS( 110 ),3148941.199999999720603,3352034.000000000000000,2749831.599999999627471,2616480.259999999776483,11867287.059999998658895
FS( 111 ),3133024.400000000372529,3334687.200000000186265,2728534.479999999981374,2585827.560000000055879,11782073.640000000596046
FS( 112 ),3141646.000000000000000,3326524.000000000000000,2759934.079999999608845,2611963.020000000018626,11840067.099999999627471
FS( 113 ),3183096.000000000000000,3369380.800000000279397,2762118.399999999906868,2629064.000000000000000,11943659.200000001117587
FS( 114 ),3182432.800000000279397,3380605.200000000186265,2747647.279999999795109,2627128.040000000037253,11937813.320000000298023
FS( 115 ),3224546.000000000000000,3479584.000000000000000,2777954.719999999739230,2629064.000000000000000,12111148.719999998807907
FS( 116 ),3233167.600000000093132,3463257.599999999627471,2785599.839999999850988,2644229.020000000018626,12126254.059999998658895
FS( 117 ),3249084.400000000372529,3486726.800000000279397,2762391.439999999944121,2638743.799999999813735,12136946.440000001341105
FS( 118 ),3288213.200000000186265,3511216.399999999441206,2804166.560000000055879,2660039.359999999869615,12263635.519999999552965
FS( 119 ),3333642.399999999906868,3504073.600000000558794,2811265.599999999627471,2668105.859999999869615,12317087.459999999031425
FS( 120 ),3334968.799999999813735,3520400.000000000000000,2818091.599999999627471,2671977.779999999795109,12345438.179999997839332
FS( 121 ),3335300.399999999906868,3586726.000000000000000,2844849.519999999552965,2687142.799999999813735,12454018.719999998807907
FS( 122 ),3359838.799999999813735,3565297.599999999627471,2815088.159999999683350,2690692.060000000055879,12430916.619999999180436
FS( 123 ),3367134.000000000465661,3552032.400000000372529,2818637.679999999701977,2695531.959999999962747,12433336.039999999105930
FS( 124 ),3345580.000000000000000,3551011.999999999534339,2824371.519999999552965,2690369.399999999906868,12411332.919999999925494
FS( 125 ),3386698.399999999906868,3549991.600000000093132,2818364.639999999664724,2688110.779999999795109,12443165.419999999925494
FS( 126 ),3390677.600000000093132,3535706.000000000000000,2810992.560000000055879,2679076.299999999813735,12416452.460000000894070
FS( 127 ),3398967.600000000093132,3563256.800000000279397,2832289.679999999701977,2681657.579999999608845,12476171.660000000149012
