代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12434222.700000001117587
真實報酬,2434222.700000001117587

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22061.076092188093753
風險,82700.321242466525291
起點值,0.266759255112298
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,26

stock[index](rank)
投資組合檔數,12
AXP[1](5),BA[2](16),GS[8](17),JNJ[12](1),JPM[13](14),MCD[15](7),MMM[16](3),NKE[19](4),TRV[22](6),VZ[26](22),WBA[27](2),WMT[28](27),
FS( 15 ),858038.779999999911524,857537.700000000069849,903994.519999999902211,840750.679999999818392,898469.609999999986030,863194.520000000018626,859171.399999999906868,897906.739999999990687,855296.149999999906868,823318.119999999995343,882680.270000000018626,801911.109999999986030,10342273.599999999627471
FS( 16 ),856252.819999999948777,855286.100000000093132,897660.319999999948777,837759.679999999818392,896836.089999999967404,854676.330000000074506,860001.919999999925494,902006.659999999916181,849893.449999999953434,822751.239999999990687,886569.709999999962747,800976.629999999888241,10320674.949999999254942
FS( 17 ),850299.619999999995343,855849.000000000000000,894985.879999999888241,839554.279999999911524,897652.849999999976717,849412.279999999911524,858894.559999999939464,877065.480000000097789,848836.399999999906868,821050.600000000093132,891188.419999999925494,794201.649999999906868,10278995.019999999552965
FS( 18 ),843751.099999999976717,853709.980000000097789,891537.259999999892898,838597.159999999916181,890914.580000000074506,849220.859999999986030,854926.520000000018626,884240.339999999967404,843551.149999999906868,821617.479999999981374,888028.250000000000000,796537.849999999976717,10256636.530000001192093
FS( 19 ),843453.439999999944121,840875.860000000102445,883443.559999999939464,831299.119999999995343,882951.170000000041910,838309.919999999925494,846990.439999999944121,871257.260000000009313,836739.049999999930151,810657.800000000046566,888271.339999999967404,789762.869999999995343,10164015.829999998211861
FS( 20 ),855508.669999999925494,848418.720000000088476,897801.079999999958090,838716.799999999813735,897857.039999999920838,844339.649999999906868,856864.399999999906868,881507.060000000055879,843551.149999999906868,817649.320000000065193,899696.569999999948777,797005.089999999967404,10278919.550000000745058
FS( 21 ),874410.079999999958090,867669.900000000023283,926656.879999999888241,847570.159999999916181,911946.149999999906868,862620.260000000009313,874674.439999999944121,885606.980000000097789,855765.949999999953434,836545.320000000065193,925221.020000000018626,808802.899999999906868,10477494.039999999105930
FS( 22 ),878130.829999999958090,872173.100000000093132,921589.519999999902211,846373.759999999892898,910108.439999999944121,867501.469999999972060,873659.359999999986030,894831.800000000046566,862343.150000000023283,832577.160000000032596,918657.589999999967404,803663.259999999892898,10481613.439999999478459
FS( 23 ),887209.459999999962747,874649.860000000102445,946715.179999999818392,856064.599999999860302,926239.449999999953434,860036.089999999967404,880118.959999999962747,903373.300000000046566,869859.950000000069849,837112.199999999953434,903829.099999999976717,806700.319999999948777,10551912.469999998807907
FS( 24 ),890930.209999999962747,857087.380000000004657,944955.679999999818392,854270.000000000000000,927260.399999999906868,870181.349999999976717,881226.319999999948777,904739.940000000060536,858114.950000000069849,844481.640000000013970,924491.750000000000000,798990.859999999986030,10556734.480000000447035
FS( 25 ),895990.430000000051223,834571.380000000004657,936439.699999999953434,854389.639999999897555,929098.109999999986030,870468.479999999981374,881318.599999999976717,895173.459999999962747,859641.799999999930151,814437.000000000000000,927895.010000000009313,801210.250000000000000,10500637.859999999403954
FS( 26 ),896883.409999999916181,864179.920000000158325,945377.959999999846332,858218.119999999995343,928485.539999999920838,869224.250000000000000,889716.079999999958090,896198.440000000060536,868450.549999999930151,812547.400000000023283,934701.530000000027940,800976.629999999888241,10564963.829999998211861
FS( 27 ),904771.399999999906868,867895.060000000172295,966843.859999999986030,863721.559999999823049,942370.459999999962747,874871.140000000013970,894145.520000000018626,897906.739999999990687,874440.500000000000000,823696.040000000037253,937618.609999999986030,798523.619999999995343,10646808.509999999776483
FS( 28 ),911468.750000000000000,846167.119999999995343,965154.739999999874271,865635.799999999813735,942166.270000000018626,878029.570000000065193,888516.439999999944121,907131.560000000055879,879138.499999999883585,818216.199999999953434,950502.380000000004657,801677.489999999874271,10653808.820000000298023
FS( 29 ),911022.260000000009313,861815.740000000107102,958116.739999999874271,868148.239999999990687,936857.330000000074506,876115.369999999995343,895898.839999999967404,908839.860000000102445,880313.000000000000000,804800.040000000037253,949043.839999999967404,797822.759999999892898,10648798.019999999552965
FS( 30 ),904324.909999999916181,866206.360000000102445,954316.219999999972060,865875.079999999958090,946454.260000000009313,875923.950000000069849,897836.720000000088476,916356.380000000004657,887477.450000000069849,793084.520000000018626,955364.179999999934807,805765.839999999967404,10668989.869999999180436
FS( 31 ),902241.289999999920838,836935.560000000172295,993025.219999999972060,868387.519999999902211,956051.189999999944121,871999.839999999967404,900697.399999999906868,918064.680000000051223,887360.000000000000000,784392.359999999986030,957551.989999999990687,808452.469999999855645,10685163.519999999552965
FS( 32 ),904027.250000000000000,847292.920000000158325,992462.179999999818392,872216.000000000000000,948291.969999999972060,878316.700000000069849,905126.839999999967404,913623.099999999976717,891470.750000000116415,796107.880000000121072,956822.719999999972060,804247.309999999939464,10710009.620000001043081
FS( 33 ),889739.569999999948777,844816.160000000149012,1016672.899999999906868,876164.119999999995343,948700.349999999976717,883102.200000000069849,911217.319999999948777,910548.159999999916181,896286.200000000069849,803855.239999999990687,953176.369999999995343,808335.660000000032596,10742618.250000000000000
FS( 34 ),884084.029999999911524,834909.119999999995343,1027229.899999999906868,869703.559999999823049,950333.869999999995343,889706.190000000060536,916661.839999999967404,913623.099999999976717,915548.000000000000000,811413.640000000013970,959982.890000000013970,812774.439999999944121,10785974.580000000074506
FS( 35 ),877089.019999999902211,836372.660000000149012,1024485.079999999958090,871617.799999999813735,944003.979999999864958,894778.820000000065193,918138.319999999948777,907131.560000000055879,911907.050000000046566,808579.239999999990687,960712.160000000032596,811723.149999999906868,10766542.839999999850988
FS( 36 ),882595.729999999864958,847968.400000000023283,1020262.280000000027940,874608.799999999813735,946862.639999999897555,893151.750000000000000,919799.359999999986030,920114.640000000013970,917192.300000000046566,804800.040000000037253,958767.439999999944121,815227.450000000069849,10801354.829999998211861
FS( 37 ),885572.329999999958090,844703.580000000074506,1016743.280000000027940,884419.279999999911524,962993.649999999906868,897075.859999999986030,928289.119999999995343,949155.739999999990687,920245.999999999883585,806311.720000000088476,964358.510000000009313,805999.459999999962747,10865872.530000001192093
FS( 38 ),879172.640000000013970,833107.840000000083819,1014561.500000000000000,880830.079999999958090,952375.770000000018626,903201.299999999930151,928842.800000000046566,931047.760000000009313,908500.999999999883585,808201.320000000065193,974811.380000000004657,810087.809999999939464,10824745.200000001117587
FS( 39 ),884828.180000000051223,829167.540000000153668,1035323.599999999860302,890281.639999999897555,962176.889999999897555,908561.060000000055879,939547.280000000027940,921139.619999999995343,913903.700000000069849,821995.400000000023283,973839.020000000018626,816395.549999999930151,10897163.480000000447035
FS( 40 ),883042.219999999972060,839750.060000000172295,1035675.500000000000000,886453.159999999916181,962381.080000000074506,906168.310000000055879,930227.000000000000000,916014.719999999972060,911202.349999999976717,824073.959999999962747,969220.309999999939464,814760.209999999962747,10878972.879999998956919
FS( 41 ),875303.059999999939464,831644.300000000162981,1040672.479999999981374,884419.279999999911524,960747.559999999939464,912102.330000000074506,927920.000000000000000,923531.239999999990687,921537.949999999953434,824073.959999999962747,971408.119999999995343,817096.410000000032596,10890460.689999999478459
FS( 42 ),891674.359999999869615,842902.300000000162981,1055030.000000000000000,887529.920000000041910,977082.760000000009313,918419.190000000060536,937240.280000000027940,917381.360000000102445,938333.300000000046566,842025.160000000032596,979916.270000000018626,823404.149999999906868,11010943.050000000745058
FS( 43 ),884232.859999999869615,846730.020000000018626,1038279.560000000055879,886692.439999999944121,973611.530000000027940,905498.339999999967404,929950.159999999916181,916698.039999999920838,916135.250000000000000,841269.320000000065193,972623.569999999948777,813358.489999999874271,10925083.580000000074506
FS( 44 ),902836.609999999869615,854385.460000000079162,1058900.899999999906868,893272.639999999897555,996276.619999999995343,908465.349999999976717,936594.319999999948777,920797.959999999962747,923769.500000000116415,842025.160000000032596,1004711.449999999953434,826674.829999999958090,11068714.799999998882413
FS( 45 ),901348.309999999939464,858888.660000000149012,1063616.359999999869615,902006.359999999869615,992601.199999999953434,909996.709999999962747,947667.919999999925494,925239.539999999920838,927410.449999999953434,845615.400000000023283,1007385.439999999944121,832982.569999999948777,11114762.919999999925494
FS( 46 ),924863.449999999953434,871722.780000000144355,1057563.679999999701977,898058.239999999990687,984841.979999999864958,905785.469999999972060,943330.760000000009313,934122.699999999953434,929289.650000000023283,840135.560000000055879,1004225.270000000018626,832048.089999999967404,11125991.629999998956919
FS( 47 ),919803.229999999864958,861928.320000000065193,1066994.600000000093132,903083.119999999995343,993009.580000000074506,908082.510000000009313,947391.079999999958090,932756.060000000055879,926235.949999999953434,838057.000000000000000,1006413.079999999958090,834968.339999999967404,11138726.869999999180436
FS( 48 ),922482.169999999925494,854160.300000000162981,1071498.919999999925494,902245.639999999897555,993622.149999999906868,910953.810000000055879,947021.959999999962747,943347.520000000018626,930346.699999999953434,837490.119999999995343,1008357.799999999930151,834033.859999999986030,11155564.949999999254942
FS( 49 ),925756.430000000051223,855511.260000000009313,1084659.979999999981374,906911.599999999860302,1003423.270000000018626,910283.839999999967404,954773.479999999864958,941297.560000000055879,938450.750000000116415,839757.640000000013970,1019783.030000000027940,834033.859999999986030,11214646.699999997392297
FS( 50 ),924268.130000000004657,841889.080000000074506,1087545.560000000055879,905236.639999999897555,994030.530000000027940,899755.739999999990687,949236.679999999934807,932072.739999999990687,939507.799999999930151,841269.320000000065193,1008357.799999999930151,833917.049999999930151,11157091.070000002160668
FS( 51 ),927840.050000000046566,843577.780000000144355,1097469.140000000130385,907031.239999999990687,1005056.789999999920838,895544.500000000000000,948498.439999999944121,933097.719999999972060,943618.550000000046566,837679.079999999958090,1017595.219999999972060,827258.879999999888241,11184271.390000000596046
FS( 52 ),918166.099999999976717,844703.580000000074506,1090853.419999999925494,911218.639999999897555,998114.330000000074506,898798.640000000013970,952651.040000000037253,938905.940000000060536,944205.800000000046566,839001.800000000046566,1000335.829999999958090,809503.759999999892898,11146462.880000000819564
FS( 53 ),926947.069999999948777,840425.540000000153668,1116612.500000000000000,920789.839999999850988,1009753.160000000032596,898320.089999999967404,961417.640000000013970,930706.099999999976717,946672.249999999883585,840891.400000000023283,1013705.780000000027940,803196.020000000018626,11209441.389999998733401
FS( 54 ),921440.359999999869615,841889.080000000074506,1092190.640000000130385,917081.000000000000000,992601.199999999953434,898894.349999999976717,951912.800000000046566,922847.920000000041910,940917.199999999953434,848827.720000000088476,1011274.880000000004657,808452.469999999855645,11148333.620000001043081
FS( 55 ),915933.649999999906868,855736.420000000158325,1061927.239999999757856,919713.079999999958090,985250.359999999986030,901095.680000000051223,947944.760000000009313,931731.079999999958090,944088.349999999976717,852606.919999999925494,1011761.059999999939464,820717.520000000018626,11148510.119999999180436
FS( 56 ),931263.140000000013970,863054.119999999995343,1084519.219999999739230,912295.399999999906868,998726.899999999906868,911719.489999999990687,955511.720000000088476,930706.099999999976717,951487.700000000069849,857897.800000000046566,1016379.770000000018626,822352.859999999986030,11235918.219999998807907
FS( 57 ),923077.489999999990687,844703.580000000074506,1039194.500000000000000,904159.879999999771826,974019.910000000032596,920237.680000000051223,938993.599999999976717,923189.579999999958090,930816.500000000000000,863944.520000000018626,987938.239999999990687,822820.099999999976717,11073099.579999998211861
FS( 58 ),921589.189999999944121,851683.540000000153668,1041657.799999999930151,906313.399999999906868,971978.010000000009313,921003.359999999986030,944161.280000000027940,927289.500000000000000,940095.050000000046566,871502.919999999925494,991827.679999999934807,830646.369999999995343,11119752.099999999627471
FS( 59 ),930221.329999999958090,870934.720000000088476,1067346.500000000000000,913132.879999999771826,1006281.930000000051223,916313.570000000065193,955788.559999999939464,928314.480000000097789,948786.349999999976717,875849.000000000000000,1000822.010000000009313,837070.919999999925494,11250866.250000000000000
FS( 60 ),925012.279999999911524,865756.040000000153668,1054044.679999999701977,910620.439999999944121,998931.089999999967404,917940.640000000013970,959756.599999999976717,930364.440000000060536,944558.150000000023283,879250.280000000027940,995230.939999999944121,826791.640000000013970,11208261.219999998807907
FS( 61 ),928286.539999999920838,870034.080000000074506,1059463.939999999944121,917679.199999999953434,998726.899999999906868,915835.020000000018626,957634.159999999916181,936514.320000000065193,947729.299999999930151,882840.520000000018626,1004468.359999999986030,838005.399999999906868,11257221.740000000223517
FS( 62 ),936025.699999999953434,867895.060000000172295,1071076.640000000130385,923661.199999999953434,1002606.510000000009313,909996.709999999962747,953112.439999999944121,935147.680000000051223,945732.649999999906868,890209.959999999962747,1015407.410000000032596,855760.520000000018626,11306636.480000000447035
FS( 63 ),954331.790000000037253,885570.119999999995343,1076566.279999999795109,929164.639999999897555,1010569.920000000041910,917079.250000000000000,963909.199999999953434,937880.959999999962747,956772.949999999953434,901169.640000000013970,989882.959999999962747,861133.779999999911524,11384035.490000000223517
FS( 64 ),962219.780000000027940,890298.480000000097789,1084800.739999999757856,925934.359999999869615,1021596.180000000051223,926650.250000000000000,965847.079999999958090,944714.159999999916181,952192.399999999906868,893422.280000000027940,971408.119999999995343,857162.239999999874271,11396250.069999998435378
FS( 65 ),960880.309999999939464,912476.740000000107102,1102325.359999999869615,930241.399999999906868,1033847.580000000074506,929330.130000000004657,964739.720000000088476,943347.520000000018626,953719.250000000000000,897201.479999999981374,975540.650000000023283,856461.379999999888241,11460115.519999999552965
FS( 66 ),962963.930000000051223,914503.180000000167638,1076707.040000000037253,935505.559999999823049,1025067.410000000032596,944835.149999999906868,975536.479999999864958,934464.360000000102445,959004.500000000116415,906271.560000000055879,987938.239999999990687,853073.890000000013970,11475875.300000000745058
FS( 67 ),974870.329999999958090,933754.360000000102445,1078959.200000000186265,938496.559999999823049,1030784.729999999864958,946557.930000000051223,976459.280000000027940,931731.079999999958090,960179.000000000000000,903437.160000000032596,1003496.000000000000000,852489.839999999967404,11531219.469999998807907
FS( 68 ),971744.900000000023283,947489.119999999995343,1068754.100000000093132,939932.239999999990687,1026700.930000000051223,945313.700000000069849,970184.239999999990687,913964.760000000009313,960061.549999999930151,913829.959999999962747,997661.839999999967404,859732.059999999939464,11515373.400000000372529
FS( 69 ),971893.729999999864958,954131.340000000083819,1069176.379999999888241,939812.599999999860302,1024250.649999999906868,951247.719999999972060,969815.119999999995343,937197.640000000013970,964524.650000000023283,905893.640000000013970,1039959.500000000000000,860316.109999999986030,11588223.079999998211861
FS( 70 ),973084.369999999878928,952667.800000000162981,1084026.560000000055879,946392.799999999813735,1041402.609999999986030,950577.750000000000000,978397.159999999916181,934464.360000000102445,967343.449999999953434,916097.479999999981374,1038500.959999999962747,855293.279999999911524,11638252.580000000074506
FS( 71 ),983651.300000000046566,973044.780000000144355,1089797.719999999739230,947469.559999999823049,1021391.990000000107102,954023.310000000055879,981903.800000000046566,935831.000000000000000,966403.849999999976717,907405.320000000065193,1035097.699999999953434,846882.959999999962747,11642907.289999999105930
FS( 72 ),979037.569999999948777,958972.280000000144355,1069457.899999999906868,942923.239999999990687,1010978.299999999930151,943495.209999999962747,972768.079999999958090,925239.539999999920838,969340.099999999976717,921199.400000000023283,1031451.349999999976717,843962.709999999962747,11568829.679999999701977
FS( 73 ),969363.619999999878928,962687.420000000158325,1047569.719999999972060,943521.439999999944121,1004648.410000000032596,941868.140000000013970,970645.640000000013970,919772.980000000097789,977091.799999999930151,924978.600000000093132,1087605.140000000130385,846298.910000000032596,11596055.820000000298023
FS( 74 ),982311.829999999958090,961111.300000000162981,1056648.739999999757856,950580.199999999953434,1003014.889999999897555,945409.409999999916181,975075.079999999958090,936855.980000000097789,984726.050000000046566,918365.000000000000000,1118720.660000000149012,852606.649999999906868,11685429.790000000968575
FS( 75 ),973530.859999999869615,949402.980000000097789,1023218.239999999874271,945316.039999999920838,987292.260000000009313,943112.369999999995343,968430.919999999925494,915673.060000000055879,983669.000000000000000,922144.199999999953434,1113615.770000000018626,854241.989999999874271,11579651.689999999478459
FS( 76 ),985586.089999999967404,954919.400000000023283,1031804.599999999860302,954049.759999999892898,996072.430000000051223,950194.909999999916181,982088.359999999986030,1017146.079999999958090,982964.299999999930151,926301.320000000065193,1130145.890000000130385,867675.140000000013970,11778952.280000001192093
FS( 77 ),983800.129999999888241,955257.140000000013970,1028355.979999999981374,953331.920000000041910,990763.490000000107102,940336.779999999911524,970553.359999999986030,1017487.739999999990687,979205.900000000023283,928946.760000000009313,1122853.189999999944121,874333.309999999939464,11745229.700000001117587
FS( 78 ),999724.939999999944121,975183.800000000162981,1031382.319999999832362,967329.799999999813735,993213.770000000018626,942825.239999999990687,978858.559999999939464,1016121.099999999976717,979088.449999999953434,934993.479999999981374,1156399.610000000102445,873398.829999999958090,11848523.899999998509884
FS( 79 ),999427.280000000027940,970455.440000000060536,1040531.719999999972060,972354.679999999818392,975449.240000000107102,946653.640000000013970,971660.720000000088476,998696.440000000060536,979205.900000000023283,924789.640000000013970,1148377.640000000130385,873515.640000000013970,11801121.980000002309680
FS( 80 ),1004041.009999999892898,966515.140000000013970,1035675.500000000000000,975465.319999999948777,969119.349999999976717,954214.729999999981374,981073.280000000027940,1008262.920000000041910,988836.799999999930151,928757.800000000046566,1159073.599999999860302,874099.689999999944121,11845139.139999998733401
FS( 81 ),1001064.410000000032596,959760.340000000083819,1027863.319999999832362,980250.920000000041910,976674.380000000004657,948089.289999999920838,974982.800000000046566,995279.839999999967404,986018.000000000000000,930080.520000000018626,1141814.209999999962747,881108.290000000037253,11802990.320000000298023
FS( 82 ),1006719.949999999953434,946701.060000000172295,1032367.640000000013970,989343.559999999823049,985862.930000000051223,959670.200000000069849,983011.159999999916181,1006212.959999999962747,991420.699999999953434,935371.400000000023283,1150322.360000000102445,888000.079999999958090,11875008.000000000000000
FS( 83 ),986032.579999999958090,949740.720000000088476,1009353.379999999888241,981925.879999999771826,956663.760000000009313,950003.489999999990687,975259.640000000013970,1006554.619999999995343,983316.650000000023283,925734.440000000060536,1125527.179999999934807,887766.459999999962747,11737882.799999997019768
FS( 84 ),993176.420000000041910,956382.940000000060536,1006397.420000000041910,985993.639999999897555,969731.920000000041910,963211.469999999972060,976551.559999999939464,1013729.480000000097789,990598.550000000046566,931592.199999999953434,1132576.790000000037253,890102.660000000032596,11810049.050000000745058
FS( 85 ),971893.729999999864958,970117.700000000069849,1011324.019999999902211,981566.959999999962747,978307.899999999906868,970772.560000000055879,976182.439999999944121,1007579.599999999976717,991420.699999999953434,936505.160000000032596,1142786.569999999832362,892322.049999999930151,11830783.389999998733401
FS( 86 ),976358.629999999888241,976647.340000000083819,1012238.959999999846332,970440.439999999944121,991988.630000000004657,971538.239999999990687,975905.599999999976717,1024320.940000000060536,995179.100000000093132,934048.680000000051223,1158587.419999999925494,902834.950000000069849,11890092.929999999701977
FS( 87 ),970703.089999999967404,981826.020000000018626,1031241.560000000055879,975345.679999999818392,994030.530000000027940,967327.000000000000000,977751.199999999953434,1023295.959999999962747,1001521.399999999906868,932725.959999999962747,1174388.270000000018626,912530.180000000051223,11942690.849999997764826
FS( 88 ),973382.030000000027940,988693.400000000023283,1051933.279999999795109,981327.679999999818392,1005669.359999999986030,971442.529999999911524,993807.919999999925494,1030129.159999999916181,996118.700000000069849,942173.959999999962747,1169526.469999999972060,903769.430000000051223,12007977.919999999925494
FS( 89 ),978442.249999999883585,996686.580000000074506,1049188.459999999962747,984916.879999999771826,1006894.500000000000000,976228.029999999911524,998975.599999999976717,1045503.860000000102445,1010799.950000000069849,954456.359999999986030,1183139.510000000009313,908675.450000000069849,12093911.429999997839332
FS( 90 ),977549.270000000018626,1000739.460000000079162,1049540.359999999869615,989941.759999999892898,1000768.799999999930151,991541.630000000004657,993715.640000000013970,1034912.400000000023283,1013148.950000000069849,961069.959999999962747,1185570.410000000149012,917669.819999999948777,12116172.460000000894070
FS( 91 ),954034.129999999888241,976872.500000000000000,1030819.280000000027940,977618.839999999850988,978716.280000000027940,977759.390000000013970,975997.880000000004657,1019537.699999999953434,994944.199999999953434,956912.840000000083819,1181924.059999999823049,916618.529999999911524,11941759.629999998956919
FS( 92 ),961326.800000000046566,978223.460000000079162,1014209.599999999860302,998316.559999999823049,990150.920000000041910,986277.580000000074506,979596.800000000046566,1033545.760000000009313,1016555.000000000000000,953511.560000000055879,1192620.020000000018626,919071.540000000037253,12023409.600000001490116
FS( 93 ),954480.619999999878928,975971.860000000102445,989576.599999999860302,1003820.000000000000000,955438.619999999995343,981492.080000000074506,973414.040000000037253,1040378.959999999962747,999172.399999999906868,936127.239999999990687,1180222.429999999934807,917085.770000000018626,11907184.619999999180436
FS( 94 ),968024.150000000023283,969554.800000000162981,975500.599999999860302,995205.920000000041910,952375.770000000018626,975462.349999999976717,968800.040000000037253,1028079.199999999953434,987779.749999999883585,962014.760000000009313,1184111.870000000111759,901316.419999999925494,11868229.630000000819564
FS( 95 ),1000766.749999999883585,990269.520000000018626,976345.159999999916181,1010878.759999999892898,964422.979999999864958,956416.060000000055879,975536.479999999864958,1040720.619999999995343,996118.700000000069849,987335.400000000023283,1199669.630000000121072,914515.950000000069849,12013000.009999997913837
FS( 96 ),992134.609999999869615,978786.360000000102445,981975.560000000055879,1014946.519999999902211,966873.260000000009313,950673.459999999962747,976367.000000000000000,1048237.140000000013970,993417.349999999976717,986201.640000000013970,1208663.959999999962747,910778.029999999911524,12009058.889999998733401
FS( 97 ),1003892.180000000051223,992746.280000000144355,1006045.519999999902211,1022364.199999999953434,983616.839999999967404,954884.700000000069849,991039.520000000018626,1053703.699999999953434,1014205.999999999883585,988658.119999999995343,1206233.059999999823049,923860.750000000000000,12141254.869999999180436
FS( 98 ),1003445.689999999944121,1022579.980000000097789,1013013.140000000013970,1009682.359999999869615,994847.289999999920838,966944.159999999916181,995468.959999999962747,1051312.080000000074506,1008450.949999999953434,978832.199999999953434,1192376.929999999934807,911478.890000000013970,12148436.629999998956919
FS( 99 ),1014012.619999999878928,1032036.700000000069849,1018854.679999999818392,1019612.479999999864958,1000564.609999999986030,966178.479999999981374,967877.239999999990687,1060536.899999999906868,1001521.399999999906868,1005664.520000000018626,1208177.780000000027940,918721.109999999986030,12213762.519999999552965
FS( 100 ),1008357.079999999958090,1045321.140000000013970,1014279.979999999981374,1018416.079999999958090,998114.330000000074506,965699.930000000051223,957818.720000000088476,1057461.959999999962747,1000112.000000000116415,1013411.880000000121072,1197724.910000000149012,923276.700000000069849,12199998.710000000894070
FS( 101 ),1006571.119999999878928,1034626.040000000153668,1021317.979999999981374,1023919.519999999902211,998931.089999999967404,978046.520000000018626,958187.839999999967404,1070103.380000000121072,1003987.850000000093132,1010199.560000000055879,1201371.260000000009313,915684.049999999930151,12222950.210000000894070
