代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11829687.309999998658895
真實報酬,1829687.309999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16027.587604459891736
風險,127820.946171144270920
起點值,0.125390932273338
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](6),V[25](1),
FS( 77 ),5205172.879999998956919,5882348.389999999664724,11087521.269999999552965
FS( 78 ),5216323.579999999143183,5826326.269999999552965,11042649.849999997764826
FS( 79 ),5210376.539999999105930,5812320.740000000223517,11022697.279999999329448
FS( 80 ),5165030.359999999403954,5782753.509999999776483,10947783.869999999180436
FS( 81 ),5211119.919999998994172,5897910.089999999850988,11109030.009999997913837
FS( 82 ),5266130.039999999105930,6045746.240000000223517,11311876.279999999329448
FS( 83 ),5258696.239999998360872,6050414.750000000000000,11309110.989999998360872
FS( 84 ),5318910.019999998621643,6098656.019999999552965,11417566.039999999105930
FS( 85 ),5307759.319999999366701,6142228.780000000260770,11449988.099999999627471
FS( 86 ),5308502.699999999254942,6199807.070000000298023,11508309.769999999552965
FS( 87 ),5332290.859999999403954,6294733.440000000409782,11627024.300000000745058
FS( 88 ),5366486.339999998919666,6244936.000000000000000,11611422.339999999850988
FS( 89 ),5378380.419999998994172,6269834.719999999739230,11648215.139999998733401
FS( 90 ),5393991.399999999441206,6249604.509999999776483,11643595.910000000149012
FS( 91 ),5379867.179999999701977,6241823.660000000149012,11621690.839999999850988
FS( 92 ),5395478.159999999217689,6232486.639999999664724,11627964.799999998882413
FS( 93 ),5419266.319999999366701,6220037.280000000260770,11639303.599999999627471
FS( 94 ),5443797.859999999403954,6157790.480000000447035,11601588.339999999850988
FS( 95 ),5403655.339999998919666,6187357.709999999962747,11591013.049999998882413
FS( 96 ),5415549.419999998994172,6187357.709999999962747,11602907.129999998956919
FS( 97 ),5434133.919999998994172,6207587.919999999925494,11641721.839999999850988
FS( 98 ),5495091.079999999143183,6218481.110000000335276,11713572.189999999478459
FS( 99 ),5472789.679999999701977,6083094.320000000298023,11555884.000000000000000
FS( 100 ),5531516.699999999254942,6095543.680000000633299,11627060.379999998956919
FS( 101 ),5507728.539999999105930,6030184.540000000037253,11537913.079999998211861
FS( 102 ),5495091.079999999143183,6143784.949999999254942,11638876.029999997466803
FS( 103 ),5514418.959999999962747,6168683.669999999925494,11683102.629999998956919
FS( 104 ),5509215.299999998882413,6093987.509999999776483,11603202.809999998658895
FS( 105 ),5550101.199999999254942,6206031.750000000000000,11756132.949999999254942
FS( 106 ),5604367.939999999478459,6257385.360000000335276,11861753.300000000745058
FS( 107 ),5579836.399999999441206,6111105.380000000819564,11690941.780000001192093
FS( 108 ),5611058.359999999403954,6139116.440000000409782,11750174.800000000745058
FS( 109 ),5605854.699999999254942,6081538.149999999441206,11687392.849999997764826
FS( 110 ),5634846.519999998621643,6100212.190000000409782,11735058.709999999031425
FS( 111 ),5624439.199999999254942,6020847.519999999552965,11645286.719999998807907
FS( 112 ),5635589.899999999441206,6067532.620000000111759,11703122.519999999552965
FS( 113 ),5661608.199999999254942,6146897.290000000037253,11808505.489999998360872
FS( 114 ),5721078.599999998696148,6131335.589999999850988,11852414.189999997615814
FS( 115 ),5698033.819999999366701,6045746.240000000223517,11743780.059999998658895
FS( 116 ),5714388.179999999701977,6125110.910000000149012,11839499.089999999850988
FS( 117 ),5668298.619999999180436,6202919.410000000149012,11871218.029999999329448
FS( 118 ),5617748.779999998398125,6064420.280000000260770,11682169.059999998658895
FS( 119 ),5631129.619999999180436,6140672.610000000335276,11771802.230000000447035
FS( 120 ),5673502.279999998398125,6220037.280000000260770,11893539.559999998658895
FS( 121 ),5657891.299999998882413,6171796.009999999776483,11829687.309999998658895
