代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10934953.449999999254942
真實報酬,934953.449999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10632.422880698155495
風險,288057.475568306806963
起點值,0.036910768796128
找到最佳解世代,2265
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),INTC[11](2),NKE[19](3),
FS( 37 ),3432469.330000000074506,3671210.819999999832362,3247105.250000000000000,10350786.400000000372529
FS( 38 ),3344458.520000000018626,3580970.159999999683350,3260408.959999999962747,10185838.640000000596046
FS( 39 ),3307505.899999999441206,3469743.299999999813735,3224439.669999999925494,10001689.869999999180436
FS( 40 ),3333333.000000000000000,3643229.219999999739230,3273712.669999999925494,10250275.890000000596046
FS( 41 ),3311479.299999999813735,3422174.580000000074506,3159399.310000000055879,9893054.189999999478459
FS( 42 ),3345451.869999999646097,3480236.399999999906868,3286523.649999999906868,10112212.919999999925494
FS( 43 ),3409423.609999999869615,3497025.359999999869615,3371273.209999999962747,10277723.179999999701977
FS( 44 ),3433065.339999999850988,3524307.419999999925494,3428922.620000000111759,10386296.379999998956919
FS( 45 ),3345253.199999999720603,3413080.560000000055879,3328405.699999999720603,10086740.459999999031425
FS( 46 ),3378431.089999999850988,3466245.599999999627471,3310174.689999999944121,10154852.379999998956919
FS( 47 ),3442005.489999999757856,3586566.479999999981374,3301305.549999999813735,10329878.519999999552965
FS( 48 ),3425913.219999999739230,3574674.299999999813735,3292929.139999999664724,10293517.660000000149012
FS( 49 ),3459687.119999999646097,3687999.779999999795109,3339245.759999999776483,10486933.660000000149012
FS( 50 ),3471408.649999999441206,3627839.339999999850988,3313623.799999999813735,10412872.789999999105930
FS( 51 ),3493063.679999999701977,3665614.500000000000000,3304261.929999999701977,10462941.109999999403954
FS( 52 ),3541141.819999999832362,3745362.060000000055879,3326434.780000000260770,10612939.660000000149012
FS( 53 ),3533195.020000000018626,3750258.839999999850988,3261887.149999999906868,10545342.009999999776483
FS( 54 ),3433065.339999999850988,3653022.779999999795109,3238728.839999999850988,10324817.959999999031425
FS( 55 ),3292406.979999999515712,3604754.520000000018626,3256467.120000000111759,10153629.620000001043081
FS( 56 ),3282870.819999999832362,3574674.299999999813735,3295392.789999999571592,10152938.909999998286366
FS( 57 ),3237176.719999999739230,3599158.200000000186265,3299827.359999999869615,10136163.279999999329448
FS( 58 ),3251282.290000000037253,3594261.419999999925494,3285045.459999999962747,10130590.169999999925494
FS( 59 ),3262606.479999999515712,3711084.599999999627471,3353042.199999999720603,10326734.279999999329448
FS( 60 ),3224859.179999999701977,3688699.319999999832362,3427444.429999999701977,10341003.929999999701977
FS( 61 ),3283268.159999999683350,3611050.379999999888241,3369795.020000000018626,10264114.559999998658895
FS( 62 ),3359557.439999999478459,3730671.719999999739230,3355505.849999999627471,10445736.009999997913837
FS( 63 ),3507963.929999999701977,3659318.640000000130385,3363389.530000000260770,10530673.100000001490116
FS( 64 ),3514321.369999999646097,3657220.020000000018626,3296378.250000000000000,10467920.640000000596046
FS( 65 ),3652198.350000000093132,3692197.020000000018626,3355505.849999999627471,10699902.219999998807907
FS( 66 ),3678621.459999999497086,3730671.719999999739230,3416604.370000000111759,10825898.550000000745058
FS( 67 ),3696303.089999999850988,3751657.919999999925494,3373244.129999999422580,10821206.139999998733401
FS( 68 ),3722328.859999999869615,3801325.260000000242144,3348114.899999999906868,10871770.019999999552965
FS( 69 ),3775572.419999999459833,3846095.819999999832362,3346636.709999999962747,10968305.949999999254942
FS( 70 ),3746765.270000000018626,3824410.080000000074506,3371765.939999999944121,10942942.289999999105930
FS( 71 ),3738023.790000000037253,3840499.500000000000000,3391967.870000000111759,10970492.160000000149012
FS( 72 ),3704051.219999999739230,3771944.580000000074506,3424488.049999999813735,10900484.849999999627471
FS( 73 ),3738619.799999999813735,3822311.459999999962747,3515150.370000000111759,11076082.629999998956919
FS( 74 ),3714978.069999999832362,3834203.640000000130385,3495441.169999999925494,11044623.879999998956919
FS( 75 ),3701468.509999999776483,3834203.640000000130385,3514164.909999999683350,11049838.060000000521541
FS( 76 ),3727692.949999999720603,3799926.179999999701977,3517121.289999999571592,11044741.419999998062849
FS( 77 ),3718355.459999999497086,3809020.200000000186265,3513672.179999999701977,11041048.839999999850988
FS( 78 ),3742195.859999999869615,3862185.239999999757856,3515150.370000000111759,11119532.469999998807907
FS( 79 ),3738023.790000000037253,3830006.399999999906868,3556539.689999999944121,11124570.879999998956919
FS( 80 ),3746566.600000000093132,3878274.659999999683350,3559988.799999999813735,11184831.059999998658895
FS( 81 ),3733057.040000000037253,3869880.179999999701977,3494455.709999999962747,11097393.929999999701977
FS( 82 ),3725110.239999999757856,3895063.620000000111759,3559003.339999999850988,11179178.199999999254942
FS( 83 ),3712594.029999999795109,3861485.700000000186265,3537815.949999999720603,11111896.679999999701977
FS( 84 ),3779545.819999999832362,3992999.219999999739230,3585118.030000000260770,11357664.070000000298023
FS( 85 ),3811134.350000000093132,3975510.719999999739230,3637840.139999999664724,11424486.210000000894070
FS( 86 ),3840537.509999999776483,3954524.520000000018626,3648680.199999999720603,11443743.229999998584390
FS( 87 ),3853848.399999999441206,3989501.520000000018626,3683171.299999999813735,11526522.219999998807907
FS( 88 ),3843517.560000000055879,3909054.419999999925494,3683664.030000000260770,11436237.010000001639128
FS( 89 ),3808551.639999999664724,3850992.599999999627471,3690562.250000000000000,11350107.489999998360872
FS( 90 ),3799214.149999999441206,3813916.979999999981374,3675287.620000000111759,11288419.750000000000000
FS( 91 ),3820074.500000000000000,3834903.179999999701977,3660505.720000000204891,11315484.400000000372529
FS( 92 ),3788684.639999999664724,3849593.520000000018626,3651636.579999999608845,11289915.740000000223517
FS( 93 ),3790671.339999999850988,3885270.060000000055879,3680707.649999999906868,11356650.050000000745058
FS( 94 ),3751732.020000000018626,3855189.839999999850988,3736878.870000000111759,11343801.730000000447035
FS( 95 ),3749745.319999999832362,3722976.779999999795109,3725546.079999999608845,11198269.179999999701977
FS( 96 ),3689150.969999999739230,3702690.120000000111759,3659027.530000000260770,11050869.620000001043081
FS( 97 ),3705243.239999999757856,3702690.120000000111759,3681693.109999999869615,11089627.469999998807907
FS( 98 ),3684581.560000000055879,3650924.159999999683350,3643260.169999999925494,10978766.890000000596046
FS( 99 ),3673853.379999999422580,3672609.899999999906868,3618130.939999999944121,10964595.219999998807907
FS( 100 ),3619219.129999999422580,3547392.239999999757856,3564916.099999999627471,10731528.469999998807907
FS( 101 ),3664118.549999999813735,3474640.080000000074506,3575263.429999999701977,10714023.059999998658895
FS( 102 ),3658754.459999999497086,3410981.939999999944121,3515643.099999999627471,10585380.500000000000000
FS( 103 ),3685376.239999999757856,3445259.399999999906868,3532888.649999999906868,10663525.289999999105930
FS( 104 ),3677628.109999999869615,3477438.239999999757856,3926087.189999999944121,11081154.539999999105930
FS( 105 ),3718752.799999999813735,3511715.700000000186265,3860554.099999999627471,11091023.599999999627471
FS( 106 ),3653986.379999999422580,3460649.279999999795109,3758558.989999999757856,10873195.649999998509884
FS( 107 ),3683389.540000000037253,3550190.399999999906868,3771862.699999999720603,11005443.639999998733401
FS( 108 ),3734447.729999999515712,3593561.879999999888241,3768413.589999999850988,11096424.199999999254942
FS( 109 ),3786300.600000000093132,3627839.339999999850988,3807831.989999999757856,11221972.929999999701977
FS( 110 ),3781731.189999999478459,3648825.539999999571592,3822121.159999999683350,11252678.889999998733401
FS( 111 ),3732659.699999999720603,3581669.700000000186265,3811773.829999999608845,11126104.230000000447035
FS( 112 ),3795240.750000000000000,3662116.799999999813735,3812266.560000000055879,11269625.109999999403954
FS( 113 ),3801200.850000000093132,3653022.779999999795109,3812759.289999999571592,11266983.919999999925494
FS( 114 ),3792856.709999999497086,3638332.439999999944121,3830990.299999999813735,11262180.449999999254942
FS( 115 ),3803584.889999999664724,3620144.399999999906868,3817193.859999999869615,11240924.149999998509884
FS( 116 ),3782724.540000000037253,3618045.779999999795109,3773833.620000000111759,11174604.940000001341105
FS( 117 ),3812127.699999999720603,3636233.819999999832362,3791571.899999999906868,11239934.419999999925494
FS( 118 ),3803386.219999999739230,3631337.039999999571592,3792064.629999999422580,11226788.889999998733401
FS( 119 ),3803386.219999999739230,3659318.640000000130385,3773833.620000000111759,11236539.480000000447035
FS( 120 ),3834378.739999999757856,3650224.620000000111759,3721604.239999999757856,11206208.599999999627471
FS( 121 ),3870536.679999999701977,3667713.120000000111759,3801919.229999999515712,11340170.029999999329448
FS( 122 ),3858417.810000000055879,3648825.539999999571592,3850699.500000000000000,11357943.849999999627471
FS( 123 ),3794247.399999999441206,3335431.620000000111759,3788615.520000000018626,10918295.539999999105930
FS( 124 ),3772989.709999999497086,3336131.159999999683350,3742791.629999999422580,10851913.499999998137355
FS( 125 ),3780539.169999999459833,3364812.299999999813735,3789600.979999999515712,10934953.449999999254942
