代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344528.669999999925494
真實報酬,1344528.669999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12258.368302912676882
風險,116441.446877433947520
起點值,0.105274956913030
找到最佳解世代,1762
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
JNJ[12](4),JPM[13](13),MMM[16](1),MRK[17](3),PFE[20](5),PG[21](17),UNH[23](2),
FS( 9 ),1435099.269999999785796,1431949.340000000083819,1449068.789999999804422,1468598.250000000000000,1450446.300000000046566,1437715.719999999972060,1468842.629999999888241,10141723.300000000745058
FS( 10 ),1434433.119999999878928,1426640.520000000018626,1448442.219999999972060,1465285.649999999906868,1431424.300000000046566,1427515.840000000083819,1470251.550000000046566,10103996.200000001117587
FS( 11 ),1435765.419999999925494,1428571.000000000000000,1453812.819999999832362,1447066.350000000093132,1404793.500000000000000,1429977.880000000121072,1465907.379999999888241,10065897.350000001490116
FS( 12 ),1431102.369999999878928,1421814.320000000065193,1458109.299999999813735,1433815.949999999953434,1381016.000000000000000,1430505.459999999962747,1466494.430000000167638,10022860.830000000074506
FS( 13 ),1422175.959999999962747,1417712.050000000046566,1465807.159999999916181,1422497.900000000139698,1395282.500000000000000,1455301.719999999972060,1462150.260000000009313,10040930.550000000745058
FS( 14 ),1432301.439999999944121,1459458.679999999934807,1479949.739999999990687,1442373.500000000000000,1400513.550000000046566,1462336.120000000111759,1487863.050000000046566,10164799.080000001937151
FS( 15 ),1429370.379999999888241,1458976.060000000055879,1475563.750000000000000,1457556.250000000000000,1429997.650000000139698,1465325.739999999757856,1488097.869999999878928,10204890.699999999254942
FS( 16 ),1430702.679999999934807,1453667.239999999990687,1476190.319999999832362,1463905.400000000139698,1444739.699999999953434,1455125.859999999869615,1503126.350000000093132,10227460.550000000745058
FS( 17 ),1445624.439999999944121,1446427.939999999944121,1470461.679999999934807,1465285.649999999906868,1435704.250000000000000,1456532.739999999757856,1523907.919999999925494,10243947.619999999180436
FS( 18 ),1443093.070000000065193,1435327.679999999934807,1472162.369999999878928,1465009.600000000093132,1430473.199999999953434,1457763.760000000009313,1509818.719999999972060,10213651.400000002235174
FS( 19 ),1442027.229999999981374,1433397.199999999953434,1488453.189999999944121,1458384.399999999906868,1416206.700000000186265,1453015.540000000037253,1513693.249999999767169,10205180.509999999776483
FS( 20 ),1454151.159999999916181,1424468.729999999981374,1471535.799999999813735,1471910.850000000093132,1429046.550000000046566,1456181.020000000018626,1524377.560000000288710,10231674.669999999925494
FS( 21 ),1452019.479999999981374,1440877.810000000055879,1492660.159999999916181,1469150.349999999860302,1429997.650000000139698,1454070.700000000186265,1522616.410000000149012,10261395.560000000521541
FS( 22 ),1441627.540000000037253,1429053.620000000111759,1491586.039999999804422,1460592.799999999813735,1409549.000000000000000,1447563.880000000121072,1513458.430000000167638,10193434.310000000521541
FS( 23 ),1454817.309999999823049,1444738.770000000018626,1499641.939999999944121,1482400.750000000000000,1428571.000000000000000,1469018.800000000046566,1525434.249999999767169,10304625.820000000298023
FS( 24 ),1446823.510000000009313,1428571.000000000000000,1489527.310000000055879,1501724.250000000000000,1460908.399999999906868,1463391.279999999795109,1520385.620000000111759,10311334.370000001043081
FS( 25 ),1451619.790000000037253,1408300.959999999962747,1484246.219999999972060,1497307.449999999953434,1491343.600000000093132,1462511.979999999981374,1491620.170000000158325,10286953.169999999925494
FS( 26 ),1457881.599999999860302,1419159.910000000149012,1493197.219999999972060,1535678.400000000139698,1566004.949999999953434,1473942.880000000121072,1503243.760000000009313,10449111.720000000670552
FS( 27 ),1455883.149999999906868,1383204.719999999972060,1496330.069999999832362,1529881.350000000093132,1557920.599999999860302,1463918.859999999869615,1489624.200000000186265,10376765.949999999254942
FS( 28 ),1453618.239999999757856,1393339.739999999990687,1491586.039999999804422,1528225.050000000046566,1545556.300000000046566,1463215.419999999925494,1475652.410000000149012,10351196.199999999254942
FS( 29 ),1451886.250000000000000,1404440.000000000000000,1491228.000000000000000,1519667.500000000000000,1516547.750000000000000,1454950.000000000000000,1483284.060000000055879,10322006.560000000521541
FS( 30 ),1460279.739999999757856,1430501.479999999981374,1504117.439999999944121,1527672.950000000186265,1519876.600000000093132,1456708.599999999860302,1488802.330000000074506,10387962.140000000596046
FS( 31 ),1463876.949999999953434,1491070.290000000037253,1509130.000000000000000,1544788.050000000046566,1547458.500000000000000,1450201.779999999795109,1500073.690000000176951,10506602.259999999776483
FS( 32 ),1463477.260000000009313,1510375.090000000083819,1505281.069999999832362,1558314.500000000000000,1552689.550000000046566,1442288.080000000074506,1502656.709999999962747,10535085.260000001639128
FS( 33 ),1468007.080000000074506,1493000.770000000018626,1510830.689999999944121,1549756.949999999953434,1545556.300000000046566,1447388.020000000018626,1495025.060000000055879,10509567.870000001043081
FS( 34 ),1477999.330000000074506,1502653.170000000158325,1517722.959999999962747,1559970.800000000046566,1550787.350000000093132,1456708.599999999860302,1500660.739999999990687,10566505.949999999254942
FS( 35 ),1501314.580000000074506,1527990.719999999972060,1518618.060000000055879,1569632.550000000046566,1564102.750000000000000,1464622.300000000046566,1532244.030000000027940,10678527.989999998360872
FS( 36 ),1513305.280000000027940,1550191.239999999990687,1512262.849999999860302,1561903.149999999906868,1580271.449999999953434,1434198.520000000018626,1572515.660000000149012,10724651.150000000372529
FS( 37 ),1513172.049999999813735,1534747.400000000139698,1509756.569999999832362,1562455.250000000000000,1580747.000000000232831,1421009.020000000018626,1561126.890000000130385,10683017.179999999701977
FS( 38 ),1509841.299999999813735,1543675.870000000111759,1509756.569999999832362,1566319.949999999953434,1582173.650000000139698,1423646.919999999925494,1574863.859999999869615,10710281.120000001043081
FS( 39 ),1512372.669999999925494,1534747.400000000139698,1507250.289999999804422,1551965.349999999860302,1579320.350000000093132,1431736.479999999981374,1570754.510000000009313,10688150.050000000745058
FS( 40 ),1504378.869999999878928,1542710.630000000121072,1487558.090000000083819,1546996.449999999953434,1571711.549999999813735,1399026.520000000018626,1576155.370000000111759,10628540.480000000447035
FS( 41 ),1502513.649999999906868,1547054.209999999962747,1501700.669999999925494,1554449.800000000046566,1569333.800000000046566,1405005.760000000009313,1559248.330000000074506,10639309.219999998807907
FS( 42 ),1498649.979999999981374,1534747.400000000139698,1494897.909999999916181,1538714.949999999953434,1565053.849999999860302,1402719.580000000074506,1550677.399999999906868,10585464.070000000298023
FS( 43 ),1493320.780000000027940,1525095.000000000000000,1498299.289999999804422,1513870.450000000186265,1555542.850000000093132,1409050.540000000037253,1546098.410000000149012,10541280.320000000298023
FS( 44 ),1502247.189999999944121,1539332.290000000037253,1506892.250000000000000,1526568.750000000000000,1559822.799999999813735,1423998.639999999897555,1551029.629999999888241,10609894.550000000745058
FS( 45 ),1501447.809999999823049,1509651.160000000149012,1503580.379999999888241,1520495.649999999906868,1602622.300000000279397,1426284.819999999832362,1555256.390000000130385,10619341.510000001639128
FS( 46 ),1495186.000000000000000,1509651.160000000149012,1496330.069999999832362,1513042.300000000046566,1588355.800000000046566,1435077.819999999832362,1550207.760000000009313,10587853.910000000149012
FS( 47 ),1503979.179999999934807,1477798.239999999990687,1501790.179999999934807,1493166.700000000186265,1596440.150000000139698,1429802.020000000018626,1553495.239999999990687,10556474.710000000894070
FS( 48 ),1502113.959999999962747,1486485.400000000139698,1511815.299999999813735,1479640.250000000000000,1596915.699999999953434,1444398.399999999906868,1550325.169999999925494,10571697.179999999701977
FS( 49 ),1515170.500000000000000,1477074.310000000055879,1508503.429999999934807,1493442.750000000000000,1608328.900000000139698,1444222.540000000037253,1557721.999999999767169,10604467.429999999701977
FS( 50 ),1527827.349999999860302,1497103.040000000037253,1524078.169999999925494,1509453.649999999906868,1607377.799999999813735,1450553.500000000000000,1568288.899999999906868,10684685.409999998286366
FS( 51 ),1523830.449999999953434,1491552.910000000149012,1519692.179999999934807,1499239.800000000046566,1576942.599999999860302,1444750.120000000111759,1534474.820000000065193,10590485.879999998956919
FS( 52 ),1521965.229999999981374,1490587.670000000158325,1523093.560000000055879,1493994.849999999860302,1578369.250000000000000,1449322.479999999981374,1523320.870000000111759,10580656.910000000149012
FS( 53 ),1513038.820000000065193,1476833.000000000000000,1506713.229999999748543,1487369.650000000139698,1578369.250000000000000,1428571.000000000000000,1514632.530000000027940,10505530.479999998584390
FS( 54 ),1524763.059999999823049,1487933.260000000009313,1517722.959999999962747,1508625.500000000000000,1587404.700000000186265,1435605.399999999906868,1533887.769999999785796,10595945.649999998509884
FS( 55 ),1516636.030000000027940,1487933.260000000009313,1502148.219999999972060,1499515.850000000093132,1570760.450000000186265,1417843.540000000037253,1521207.489999999990687,10516047.839999999850988
FS( 56 ),1513438.510000000009313,1545365.040000000270084,1493286.729999999748543,1509177.600000000093132,1577418.150000000139698,1404302.319999999832362,1532361.439999999944121,10575352.790000000968575
FS( 57 ),1503579.489999999757856,1529679.890000000130385,1477980.520000000018626,1506693.149999999906868,1587404.700000000186265,1410281.559999999823049,1526373.530000000027940,10541995.839999999850988
FS( 58 ),1500781.659999999916181,1532575.610000000102445,1477085.419999999925494,1521323.800000000046566,1604524.500000000232831,1407291.939999999944121,1537410.070000000065193,10580996.000000000000000
FS( 59 ),1494386.619999999878928,1531369.060000000055879,1486931.520000000018626,1516078.850000000093132,1601195.650000000139698,1410457.419999999925494,1531304.749999999767169,10571726.869999999180436
FS( 60 ),1501447.809999999823049,1557430.540000000270084,1509488.039999999804422,1534850.250000000000000,1621644.300000000046566,1423998.639999999897555,1556782.719999999972060,10705645.300000000745058
FS( 61 ),1510240.989999999757856,1581078.919999999925494,1521661.399999999906868,1561627.100000000093132,1633533.050000000046566,1432967.500000000000000,1566527.749999999767169,10807639.710000000894070
FS( 62 ),1504245.640000000130385,1569254.729999999981374,1511994.319999999832362,1556658.199999999953434,1637337.449999999953434,1428395.139999999897555,1561361.709999999962747,10769250.190000001341105
FS( 63 ),1506377.320000000065193,1578907.130000000121072,1511815.299999999813735,1559142.649999999906868,1645897.350000000093132,1432088.200000000186265,1573337.530000000027940,10807568.479999998584390
FS( 64 ),1501447.809999999823049,1575046.169999999925494,1506713.229999999748543,1553069.550000000046566,1650177.300000000279397,1425229.660000000149012,1569462.999999999767169,10781149.719999998807907
FS( 65 ),1502646.879999999888241,1585181.189999999944121,1510025.099999999860302,1555001.899999999906868,1652555.050000000046566,1438419.160000000149012,1579560.260000000009313,10823392.540000000968575
FS( 66 ),1525429.209999999962747,1588076.910000000149012,1504206.949999999953434,1568528.350000000093132,1658261.649999999906868,1441232.919999999925494,1597289.169999999925494,10883028.160000000149012
FS( 67 ),1529026.419999999925494,1559843.640000000130385,1507250.289999999804422,1563559.449999999953434,1649701.750000000000000,1450377.639999999897555,1606681.969999999972060,10866444.160000000149012
FS( 68 ),1542482.649999999906868,1575287.479999999981374,1522466.989999999990687,1578190.100000000093132,1661114.949999999953434,1455653.439999999944121,1622062.680000000167638,10957261.290000000968575
FS( 69 ),1541949.729999999981374,1569978.660000000149012,1529896.319999999832362,1573497.250000000000000,1656835.000000000232831,1447739.739999999757856,1607856.070000000065193,10927755.769999999552965
FS( 70 ),1542882.339999999850988,1574563.550000000046566,1534461.329999999841675,1590612.349999999860302,1676332.550000000046566,1453543.120000000111759,1648479.930000000167638,11020878.169999998062849
FS( 71 ),1558869.939999999944121,1562498.050000000046566,1522914.539999999804422,1578466.149999999906868,1679185.850000000093132,1462687.840000000083819,1651767.410000000149012,11016392.779999999329448
FS( 72 ),1559003.169999999925494,1540538.840000000083819,1508861.469999999972060,1568252.300000000046566,1678234.750000000000000,1463215.419999999925494,1634860.370000000111759,10952969.320000000298023
FS( 73 ),1556072.110000000102445,1526784.170000000158325,1496061.539999999804422,1548928.800000000046566,1652079.500000000232831,1452136.239999999757856,1621358.219999999972060,10853423.580000000074506
FS( 74 ),1560468.699999999953434,1498068.280000000027940,1500358.020000000018626,1552793.500000000000000,1663968.250000000232831,1465853.319999999832362,1618775.200000000186265,10860288.269999999552965
FS( 75 ),1551009.369999999878928,1495413.870000000111759,1502058.709999999962747,1548376.700000000186265,1654457.250000000000000,1458818.919999999925494,1611613.189999999944121,10821751.009999999776483
FS( 76 ),1554073.659999999916181,1501446.620000000111759,1521124.340000000083819,1587299.750000000000000,1652555.050000000046566,1466908.479999999981374,1628050.590000000083819,10911461.490000000223517
FS( 77 ),1538618.979999999981374,1502894.479999999981374,1512262.849999999860302,1542855.699999999953434,1627350.899999999906868,1461984.399999999906868,1616661.820000000065193,10802632.130000000819564
FS( 78 ),1552741.360000000102445,1505066.270000000018626,1532760.639999999897555,1549756.949999999953434,1640666.300000000046566,1460401.660000000149012,1626406.850000000093132,10867803.029999999329448
FS( 79 ),1547945.080000000074506,1519062.250000000000000,1534013.780000000027940,1552793.500000000000000,1652555.050000000046566,1466908.479999999981374,1622532.320000000065193,10895813.460000000894070
FS( 80 ),1551675.519999999785796,1513270.810000000055879,1532760.639999999897555,1574601.449999999953434,1639239.649999999906868,1469722.239999999757856,1619127.430000000167638,10900400.740000000223517
FS( 81 ),1563932.679999999934807,1545606.350000000093132,1558539.520000000018626,1592268.649999999906868,1644946.250000000232831,1480977.279999999795109,1634273.320000000065193,11020547.050000000745058
FS( 82 ),1540617.429999999934807,1438223.400000000139698,1513874.030000000027940,1542579.650000000139698,1615462.149999999906868,1446684.580000000074506,1611965.419999999925494,10709409.660000000149012
FS( 83 ),1552874.589999999850988,1390202.709999999962747,1496598.599999999860302,1526844.800000000046566,1607377.799999999813735,1428571.000000000000000,1609852.040000000270084,10612324.540000000968575
FS( 84 ),1575257.229999999981374,1436292.920000000158325,1518081.000000000000000,1534298.149999999906868,1637813.000000000000000,1450201.779999999795109,1628637.640000000130385,10780584.720000000670552
FS( 85 ),1589912.530000000027940,1476833.000000000000000,1535356.429999999934807,1574877.500000000000000,1664919.349999999860302,1475701.479999999981374,1649888.850000000093132,10967492.139999998733401
FS( 86 ),1616158.839999999850988,1499516.140000000130385,1567580.030000000027940,1590336.300000000046566,1674430.350000000093132,1489066.840000000083819,1657872.729999999981374,11094964.230000000447035
FS( 87 ),1616025.610000000102445,1478280.860000000102445,1571339.449999999953434,1599445.949999999953434,1691550.150000000139698,1491001.300000000046566,1653880.790000000270084,11101527.110000001266599
FS( 88 ),1629082.149999999906868,1437016.850000000093132,1572145.039999999804422,1601102.250000000000000,1702963.350000000093132,1502608.059999999823049,1662099.489999999990687,11107020.190000001341105
FS( 89 ),1634011.659999999916181,1452460.689999999944121,1567938.069999999832362,1633124.049999999813735,1705341.100000000093132,1495397.800000000046566,1671727.109999999869615,11160003.480000000447035
FS( 90 ),1632279.669999999925494,1452460.689999999944121,1565342.280000000027940,1622634.150000000139698,1701061.150000000139698,1491880.599999999860302,1653176.330000000074506,11118837.870000001043081
FS( 91 ),1636809.489999999757856,1492035.530000000027940,1585482.030000000027940,1638369.000000000000000,1717705.399999999906868,1508411.439999999944121,1658694.600000000093132,11237510.489999998360872
FS( 92 ),1637875.330000000074506,1502653.170000000158325,1593448.419999999925494,1638092.950000000186265,1719132.050000000046566,1508059.719999999972060,1647540.649999999906868,11246805.290000000968575
FS( 93 ),1637742.099999999860302,1525095.000000000000000,1603742.069999999832362,1645270.250000000000000,1723412.000000000232831,1508059.719999999972060,1642139.790000000270084,11285463.930000001564622
FS( 94 ),1638807.939999999944121,1524129.760000000009313,1604189.619999999878928,1643890.000000000000000,1726740.850000000093132,1510521.760000000009313,1661160.209999999962747,11309443.140000000596046
FS( 95 ),1641206.080000000074506,1547295.520000000251457,1619316.810000000055879,1646650.500000000000000,1755749.400000000139698,1510170.040000000037253,1653645.969999999972060,11374037.320000002160668
FS( 96 ),1638807.939999999944121,1548743.380000000121072,1623792.310000000055879,1646098.400000000139698,1748616.150000000139698,1512632.080000000074506,1659399.060000000288710,11378092.320000002160668
FS( 97 ),1640673.159999999916181,1543434.560000000055879,1621196.520000000018626,1629259.350000000093132,1742434.000000000000000,1511225.200000000186265,1652589.280000000027940,11340815.069999998435378
FS( 98 ),1668784.689999999944121,1541021.459999999962747,1622360.149999999906868,1619321.549999999813735,1742434.000000000000000,1515445.840000000083819,1674192.719999999972060,11383563.410000000149012
FS( 99 ),1667319.159999999916181,1542710.630000000121072,1623971.329999999841675,1622910.199999999953434,1744336.199999999953434,1500497.739999999757856,1679241.350000000093132,11380989.609999999403954
FS( 100 ),1667452.390000000130385,1536919.189999999944121,1613588.169999999925494,1622910.199999999953434,1745762.850000000093132,1499442.580000000074506,1677480.200000000186265,11363558.580000001937151
FS( 101 ),1665853.629999999888241,1545365.040000000270084,1615199.349999999860302,1623738.350000000093132,1747189.500000000232831,1507532.139999999897555,1687107.820000000065193,11391988.830000000074506
FS( 102 ),1663988.409999999916181,1541262.770000000018626,1607949.039999999804422,1616561.050000000046566,1749091.700000000186265,1508939.020000000018626,1664095.459999999962747,11351890.449999999254942
FS( 103 ),1667452.390000000130385,1547536.829999999841675,1590315.569999999832362,1611040.050000000046566,1751469.449999999953434,1499618.439999999944121,1663743.229999999981374,11331178.959999999031425
FS( 104 ),1662389.649999999906868,1552363.030000000027940,1595775.679999999934807,1617665.250000000000000,1752420.550000000046566,1485373.779999999795109,1663508.410000000149012,11329499.349999999627471
FS( 105 ),1658259.519999999785796,1546812.899999999906868,1593179.889999999897555,1612972.399999999906868,1743860.650000000139698,1491528.880000000121072,1676188.689999999944121,11322805.929999999701977
FS( 106 ),1668518.229999999981374,1543675.870000000111759,1596581.270000000018626,1619321.549999999813735,1754322.750000000000000,1505245.959999999962747,1681354.729999999981374,11369023.359999999403954
FS( 107 ),1670783.140000000130385,1539573.600000000093132,1595954.699999999953434,1619321.549999999813735,1774295.850000000093132,1519666.479999999981374,1684994.439999999944121,11404592.759999999776483
FS( 108 ),1663455.489999999757856,1535953.949999999953434,1596581.270000000018626,1610211.899999999906868,1730545.250000000000000,1525821.580000000074506,1681002.499999999767169,11343574.939999999478459
FS( 109 ),1650798.640000000130385,1560326.260000000009313,1596760.289999999804422,1591440.500000000000000,1678234.750000000000000,1511928.639999999897555,1677597.609999999869615,11267089.689999999478459
FS( 110 ),1650265.719999999972060,1557913.160000000149012,1591658.219999999972060,1596685.450000000186265,1671577.050000000046566,1513335.520000000018626,1675601.640000000130385,11257039.759999999776483
FS( 111 ),1655328.459999999962747,1599901.100000000093132,1598460.979999999748543,1762867.550000000046566,1685368.000000000000000,1508587.300000000046566,1678889.120000000111759,11489405.510000001639128
FS( 112 ),1647467.890000000130385,1595074.899999999906868,1598550.489999999990687,1735262.550000000046566,1661114.949999999953434,1508235.580000000074506,1668791.859999999869615,11414501.219999998807907
FS( 113 ),1644536.830000000074506,1589524.770000000251457,1596849.799999999813735,1725048.699999999953434,1668248.199999999953434,1512280.359999999869615,1665152.149999999906868,11401643.810000000521541
FS( 114 ),1643604.219999999972060,1575287.479999999981374,1600698.729999999748543,1729189.449999999953434,1670625.950000000186265,1517907.880000000121072,1669496.320000000065193,11406813.030000001192093
FS( 115 ),1649066.649999999906868,1579631.059999999823049,1620211.909999999916181,1756518.400000000139698,1671577.050000000046566,1525294.000000000000000,1674662.359999999869615,11476964.429999999701977
FS( 116 ),1641739.000000000000000,1576252.719999999972060,1613677.679999999934807,1748789.000000000000000,1663492.699999999953434,1530745.660000000149012,1677597.609999999869615,11452297.369999999180436
FS( 117 ),1629615.070000000065193,1585905.120000000111759,1616273.469999999972060,1747960.850000000093132,1669674.850000000093132,1530393.939999999944121,1662803.950000000186265,11442630.250000000000000
FS( 118 ),1603235.530000000027940,1585663.809999999823049,1604547.659999999916181,1740231.449999999953434,1654457.250000000000000,1522656.099999999860302,1656463.810000000288710,11367258.610000001266599
FS( 119 ),1616292.070000000065193,1590007.390000000130385,1610097.280000000027940,1747132.699999999953434,1671101.500000000000000,1529338.779999999795109,1663860.640000000130385,11427833.360000001266599
FS( 120 ),1608431.500000000000000,1591455.250000000000000,1603921.090000000083819,1756518.400000000139698,1673479.250000000000000,1537780.059999999823049,1669261.499999999767169,11440850.050000000745058
FS( 121 ),1597773.099999999860302,1589283.459999999962747,1607770.020000000018626,1749065.050000000046566,1663492.699999999953434,1535493.880000000121072,1667735.169999999925494,11410616.380000000819564
FS( 122 ),1587247.929999999934807,1587835.600000000093132,1602936.479999999748543,1754310.000000000000000,1656835.000000000232831,1527404.319999999832362,1668322.219999999972060,11384894.550000000745058
FS( 123 ),1591378.059999999823049,1587111.669999999925494,1609202.179999999934807,1755138.149999999906868,1668723.750000000232831,1537076.620000000111759,1667382.939999999944121,11416016.369999999180436
FS( 124 ),1581652.269999999785796,1591455.250000000000000,1605979.819999999832362,1731673.899999999906868,1655883.900000000139698,1535493.880000000121072,1642257.200000000186265,11344399.220000002533197
FS( 125 ),1579787.049999999813735,1594350.969999999972060,1607501.489999999990687,1720355.850000000093132,1653506.150000000139698,1545869.620000000111759,1612082.830000000074506,11313456.959999999031425
FS( 126 ),1586048.860000000102445,1597970.620000000111759,1605979.819999999832362,1734986.500000000000000,1655883.900000000139698,1540242.099999999860302,1604098.950000000186265,11325213.750000000000000
FS( 127 ),1597773.099999999860302,1615586.250000000000000,1615736.409999999916181,1739403.300000000046566,1669674.850000000093132,1552904.020000000018626,1611730.600000000093132,11402811.529999999329448
FS( 128 ),1591777.750000000000000,1628858.300000000046566,1612603.560000000055879,1731121.800000000046566,1658737.200000000186265,1539538.660000000149012,1607034.200000000186265,11369674.469999998807907
FS( 129 ),1590045.760000000009313,1628858.300000000046566,1604458.149999999906868,1733330.199999999953434,1654932.799999999813735,1535493.880000000121072,1597406.580000000074506,11344528.669999999925494
