代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12310251.250000000000000
真實報酬,2310251.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,37009.796335420396645
風險,167444.089721033204114
起點值,0.221027785436200
找到最佳解世代,2345
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,7
AAPL[0](1),AXP[1](3),KO[14](26),PG[21](25),TRV[22](14),UTX[24](7),WBA[27](9),
FS( 39 ),1694673.600000000093132,2038501.020000000018626,1415790.100000000093132,1467031.800000000046566,1682121.899999999906868,1631595.750000000000000,1584378.999999999767169,11514096.169999999925494
FS( 40 ),1675066.040000000270084,2058376.540000000037253,1428571.000000000000000,1465932.919999999925494,1694625.780000000027940,1633235.250000000000000,1626739.299999999813735,11582549.830000001937151
FS( 41 ),1695373.870000000344589,2109307.560000000055879,1436123.349999999860302,1457691.320000000065193,1708866.310000000055879,1639793.250000000000000,1638424.899999999906868,11685583.560000000521541
FS( 42 ),1700976.030000000027940,2126698.640000000130385,1425085.300000000046566,1461262.679999999934807,1723106.839999999850988,1629683.000000000000000,1639885.599999999860302,11706701.089999997988343
FS( 43 ),1682769.010000000242144,2100612.020000000018626,1416952.000000000000000,1486536.919999999925494,1751240.570000000065193,1622032.000000000000000,1649623.600000000093132,11709769.119999999180436
FS( 44 ),1653357.670000000158325,1986327.780000000027940,1409980.599999999860302,1456592.440000000176951,1710950.289999999804422,1613834.500000000000000,1657413.999999999767169,11488460.280000001192093
FS( 45 ),1652657.400000000372529,1984464.449999999953434,1446580.449999999953434,1450548.599999999860302,1707129.659999999916181,1608096.250000000000000,1646215.300000000046566,11495695.110000001266599
FS( 46 ),1665962.530000000027940,2016141.060000000055879,1440190.000000000000000,1452471.639999999897555,1733874.070000000065193,1629956.250000000000000,1633555.899999999674037,11572154.450000001117587
FS( 47 ),1703777.110000000102445,2039743.240000000223517,1451228.050000000046566,1452196.919999999925494,1740820.669999999925494,1653729.000000000000000,1647676.000000000000000,11689173.990000000223517
FS( 48 ),1729687.100000000093132,2080115.390000000130385,1464589.899999999906868,1489009.400000000139698,1700877.719999999972060,1649903.500000000000000,1654492.599999999860302,11768678.610000001266599
FS( 49 ),1712180.350000000093132,2117381.990000000223517,1470980.349999999860302,1476921.719999999972060,1706782.330000000074506,1673403.000000000000000,1650597.399999999906868,11808250.140000000596046
FS( 50 ),1726185.750000000000000,2136636.399999999906868,1469237.500000000000000,1539557.879999999888241,1685247.870000000111759,1692803.750000000000000,1664717.499999999767169,11914389.650000000372529
FS( 51 ),1721984.130000000121072,2122350.870000000111759,1496542.150000000139698,1528569.080000000074506,1681427.239999999757856,1693896.750000000000000,1659361.599999999860302,11904134.820000000298023
FS( 52 ),1738090.340000000316650,2106823.120000000111759,1515132.549999999813735,1519228.599999999860302,1701572.380000000121072,1682147.000000000000000,1667152.000000000000000,11930148.990000000223517
FS( 53 ),1752095.740000000223517,2152164.149999999906868,1523846.800000000046566,1511811.159999999916181,1702267.039999999804422,1674769.250000000000000,1658387.800000000046566,11975344.940000001341105
FS( 54 ),1819321.660000000149012,2226076.240000000223517,1530237.250000000000000,1519503.320000000065193,1696709.760000000009313,1692803.750000000000000,1685167.299999999813735,12169822.280000001192093
FS( 55 ),1845931.920000000158325,2173903.000000000000000,1551732.399999999906868,1525547.159999999916181,1656766.810000000055879,1708379.000000000000000,1671047.199999999953434,12133310.490000000223517
FS( 56 ),1850833.810000000055879,2159617.470000000204891,1561608.549999999813735,1574722.040000000037253,1645304.919999999925494,1716576.500000000000000,1679811.399999999906868,12188477.689999999478459
FS( 57 ),1841030.030000000027940,2096885.359999999869615,1539532.449999999953434,1568678.199999999953434,1659892.780000000027940,1712477.750000000000000,1681758.999999999767169,12100258.570000000298023
FS( 58 ),1845231.650000000372529,2109928.669999999925494,1535465.800000000046566,1572524.280000000027940,1652946.180000000167638,1727779.750000000000000,1686141.100000000093132,12130020.429999999701977
FS( 59 ),1855735.700000000186265,2086947.600000000093132,1527332.500000000000000,1572799.000000000000000,1642526.280000000027940,1714390.500000000000000,1667152.000000000000000,12066886.580000000074506
FS( 60 ),1838929.220000000204891,2102475.350000000093132,1520361.100000000093132,1589007.479999999981374,1650514.870000000111759,1703460.500000000000000,1638424.899999999906868,12043176.419999999925494
FS( 61 ),1824223.550000000279397,2054028.770000000018626,1538951.499999999767169,1593677.719999999972060,1658503.459999999962747,1681600.500000000000000,1639885.599999999860302,11990874.099999999627471
FS( 62 ),1862038.130000000121072,2137257.509999999776483,1543599.099999999860302,1597798.520000000018626,1707476.989999999757856,1684333.000000000000000,1664717.499999999767169,12197223.750000000000000
FS( 63 ),1854335.160000000149012,2111170.890000000130385,1548827.649999999906868,1590930.520000000018626,1700530.389999999897555,1675315.750000000000000,1818577.899999999906868,12299691.260000001639128
FS( 64 ),1854335.160000000149012,2105580.899999999906868,1559865.699999999953434,1591205.239999999990687,1709908.299999999813735,1664932.250000000000000,1824420.699999999953434,12310251.250000000000000
