代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11510718.299999998882413
真實報酬,1510718.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25620.585840116280451
風險,89300.591251121993992
起點值,0.286902757094504
找到最佳解世代,2399
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](7),DIS[6](5),KO[14](1),XOM[29](2),
FS( 14 ),2567118.099999999627471,2595980.799999999348074,2586264.459999999962747,2638709.780000000260770,10388073.139999998733401
FS( 15 ),2521413.870000000111759,2600479.899999999441206,2599796.140000000130385,2651101.719999999739230,10372791.629999998956919
FS( 16 ),2503515.709999999962747,2622225.549999999348074,2605716.250000000000000,2651901.200000000186265,10383358.710000000894070
FS( 17 ),2526527.629999999888241,2658968.199999999720603,2580344.350000000093132,2646304.840000000316650,10412145.019999999552965
FS( 18 ),2513743.230000000447035,2696460.699999999720603,2589647.380000000353903,2659496.260000000242144,10459347.570000000298023
FS( 19 ),2500000.000000000000000,2693461.299999999813735,2587955.920000000391155,2625118.620000000111759,10406535.839999999850988
FS( 20 ),2484658.719999999739230,2737702.449999999254942,2588801.649999999906868,2647104.319999999832362,10458267.139999998733401
FS( 21 ),2512145.179999999701977,2709208.149999999906868,2593030.300000000279397,2657897.299999999813735,10472280.929999999701977
FS( 22 ),2533559.049999999813735,2701709.649999999906868,2609944.899999999906868,2676285.340000000316650,10521498.939999999478459
FS( 23 ),2548900.330000000074506,2707708.449999999720603,2615865.010000000242144,2711862.200000000186265,10584335.989999998360872
FS( 24 ),2553055.259999999776483,2721205.749999999534339,2620093.660000000149012,2717058.819999999832362,10611413.490000000223517
FS( 25 ),2658526.560000000521541,2776694.649999999906868,2641236.910000000149012,2773422.159999999683350,10849880.280000001192093
FS( 26 ),2670032.520000000484288,2789442.099999999627471,2646311.290000000037253,2798206.040000000037253,10903991.949999999254942
FS( 27 ),2656608.900000000372529,2778944.199999999720603,2641236.910000000149012,2810997.719999999739230,10887787.730000000447035
FS( 28 ),2617936.089999999850988,2763947.199999999720603,2648848.479999999981374,2823389.659999999683350,10854121.429999999701977
FS( 29 ),2635514.639999999664724,2773695.250000000000000,2645465.560000000055879,2843376.659999999683350,10898052.109999999403954
FS( 30 ),2634875.419999999925494,2694211.149999999441206,2655614.319999999832362,2871358.459999999962747,10856059.349999997764826
FS( 31 ),2590130.020000000484288,2830683.849999999627471,2660688.700000000186265,2837780.299999999813735,10919282.870000001043081
FS( 32 ),2615059.599999999627471,2793191.349999999627471,2662380.160000000149012,2817393.560000000055879,10888024.669999999925494
FS( 33 ),2568716.150000000372529,2768446.299999999813735,2625168.040000000037253,2755833.600000000093132,10718164.089999999850988
FS( 34 ),2594284.950000000186265,2790941.799999999348074,2643774.100000000093132,2758631.780000000260770,10787632.629999998956919
FS( 35 ),2656289.290000000037253,2817936.399999999441206,2699592.280000000260770,2810597.979999999981374,10984415.949999999254942
FS( 36 ),2683775.750000000000000,2775194.949999999254942,2719889.799999999813735,2819792.000000000465661,10998652.500000000000000
FS( 37 ),2684734.580000000074506,2770695.849999999627471,2718198.340000000316650,2805801.100000000093132,10979429.869999999180436
FS( 38 ),2640948.009999999776483,2708458.299999999348074,2690289.250000000000000,2757432.560000000055879,10797128.119999999180436
FS( 39 ),2706787.669999999925494,2764697.049999999348074,2732575.750000000465661,2793409.159999999683350,10997469.629999998956919
FS( 40 ),2688889.509999999776483,2751949.599999999627471,2711432.500000000465661,2767426.060000000055879,10919697.669999999925494
FS( 41 ),2674187.450000000186265,2730953.799999999813735,2680986.220000000204891,2776220.340000000316650,10862347.810000000521541
FS( 42 ),2703911.179999999701977,2737702.449999999254942,2671683.189999999944121,2780617.479999999981374,10893914.299999998882413
FS( 43 ),2795000.030000000260770,2783443.299999999348074,2735958.670000000391155,2851371.459999999962747,11165773.460000000894070
FS( 44 ),2832394.400000000372529,2799940.000000000000000,2744415.970000000204891,2857367.560000000055879,11234117.930000001564622
FS( 45 ),2856684.759999999776483,2818686.250000000000000,2727501.370000000111759,2845775.100000000093132,11248647.479999998584390
FS( 46 ),2850931.780000000260770,2816436.699999999720603,2706358.120000000111759,2850571.979999999981374,11224298.580000000074506
FS( 47 ),2887686.929999999701977,2799190.149999999441206,2712278.229999999981374,2856568.079999999608845,11255723.389999998733401
FS( 48 ),2864355.400000000372529,2772195.549999999348074,2723272.720000000204891,2872157.939999999944121,11231981.609999999403954
FS( 49 ),2865953.450000000186265,2754949.000000000000000,2741878.780000000260770,2878154.040000000037253,11240935.269999999552965
FS( 50 ),2874582.919999999925494,2748950.199999999254942,2734267.209999999962747,2885349.360000000335276,11243149.689999999478459
FS( 51 ),2928597.009999999776483,2784193.149999999906868,2741878.780000000260770,2892544.680000000167638,11347213.620000001043081
FS( 52 ),2943299.070000000298023,2792441.500000000000000,2702129.470000000204891,2885349.360000000335276,11323219.400000002235174
FS( 53 ),2976218.900000000372529,2770695.849999999627471,2737650.129999999888241,2872157.939999999944121,11356722.819999998435378
FS( 54 ),2978775.780000000260770,2775194.949999999254942,2763022.030000000260770,2886948.319999999832362,11403941.080000000074506
FS( 55 ),2959279.570000000298023,2778194.349999999627471,2778245.170000000391155,2884949.620000000111759,11400668.710000000894070
FS( 56 ),2981971.879999999888241,2778944.199999999720603,2762176.299999999813735,2886948.319999999832362,11410040.699999999254942
FS( 57 ),3024480.009999999776483,2799190.149999999441206,2768942.140000000130385,2906935.319999999832362,11499547.619999999180436
FS( 58 ),3022562.349999999627471,2845680.849999999627471,2774016.520000000018626,2910133.239999999757856,11552392.959999999031425
FS( 59 ),3018727.030000000260770,2826934.599999999627471,2773170.790000000037253,2926122.840000000316650,11544955.259999999776483
FS( 60 ),3006581.849999999627471,2810437.899999999441206,2751181.810000000055879,2918527.780000000260770,11486729.339999999850988
FS( 61 ),2994436.669999999925494,2801439.699999999720603,2763867.760000000242144,2934917.120000000111759,11494661.250000000000000
FS( 62 ),2997313.160000000149012,2819436.099999999627471,2768096.409999999683350,2932918.420000000391155,11517764.089999999850988
FS( 63 ),3000189.650000000372529,2810437.899999999441206,2769787.870000000111759,2932518.680000000167638,11512934.099999999627471
FS( 64 ),2993477.839999999850988,2812687.449999999254942,2781628.090000000316650,2922924.920000000391155,11510718.299999998882413
