代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12900383.060000000521541
真實報酬,2900383.060000000521541

夏普值報酬,0.281338306000000
夏普值風險,0.076552927977591
夏普值,3.675082239602316

二次趨勢線,56.957367430126091 x^2 + -3352.935380068987342 x + 10000000.000000000000000
二次加權預期報酬,15518.939028446129669
風險,137459.871712416701484
二次加權趨勢值,0.112897959492598
一次趨勢線,7262.450998839908607 x + 10000000.000000000000000
一次預期報酬,7262.450998839908607
一次風險,416940.601724258158356
一次趨勢值,0.017418430752021
找到最佳解世代,2183
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](6),NKE[19](13),TRV[22](1),V[25](2),
FS( 63 ),2550973.300000000279397,2013025.209999999729916,2690037.870000000111759,2597478.279999999795109,9851514.660000000149012
FS( 64 ),2567586.820000000298023,2036869.549999999813735,2693408.830000000074506,2660503.029999999795109,9958368.230000000447035
FS( 65 ),2569097.140000000596046,2074470.239999999757856,2702257.599999999627471,2654620.720000000204891,10000445.700000001117587
FS( 66 ),2559280.060000000521541,2113905.109999999869615,2695094.310000000055879,2668066.000000000000000,10036345.480000000447035
FS( 67 ),2553993.940000000409782,2095563.309999999823049,2665598.410000000149012,2631931.810000000055879,9947087.470000000670552
FS( 68 ),2559280.060000000521541,2069884.789999999804422,2657592.379999999888241,2597478.279999999795109,9884235.509999999776483
FS( 69 ),2563055.860000000335276,2092812.039999999804422,2663491.560000000055879,2568907.060000000055879,9888266.520000001415610
FS( 70 ),2563811.020000000484288,2115739.289999999571592,2634838.399999999906868,2536974.520000000018626,9851363.230000000447035
FS( 71 ),2556637.000000000000000,2105651.299999999813735,2622618.669999999925494,2576470.029999999795109,9861377.000000000000000
FS( 72 ),2590619.200000000186265,2154257.069999999366701,2660120.600000000093132,2606721.910000000149012,10011718.779999999329448
FS( 73 ),2584577.920000000391155,2133164.000000000000000,2635681.140000000130385,2671427.319999999832362,10024850.380000000819564
FS( 74 ),2605344.820000000298023,2126744.369999999646097,2667705.260000000242144,2694116.229999999981374,10093910.679999999701977
FS( 75 ),2619315.280000000260770,2169847.599999999627471,2696779.790000000037253,2685712.930000000167638,10171655.599999999627471
FS( 76 ),2625356.560000000521541,2184521.039999999571592,2683717.319999999832362,2634452.800000000279397,10128047.720000000670552
FS( 77 ),2591374.360000000335276,2134081.089999999850988,2642423.060000000055879,2642015.770000000018626,10009894.279999999329448
FS( 78 ),2571740.200000000186265,2128578.549999999813735,2601550.169999999925494,2615125.209999999962747,9916994.129999998956919
FS( 79 ),2543044.120000000111759,2131329.819999999366701,2565733.720000000204891,2576470.029999999795109,9816577.689999999478459
FS( 80 ),2549840.560000000521541,2144169.079999999608845,2569526.049999999813735,2567226.399999999906868,9830762.089999999850988
FS( 81 ),2595527.740000000223517,2214785.009999999776483,2596072.359999999869615,2663024.020000000018626,10069409.129999998956919
FS( 82 ),2624978.979999999981374,2224873.000000000000000,2642844.430000000167638,2712603.490000000223517,10205299.900000000372529
FS( 83 ),2622335.920000000391155,2197360.299999999813735,2663491.560000000055879,2748737.680000000167638,10231925.460000000894070
FS( 84 ),2613651.580000000074506,2140500.719999999739230,2639894.839999999850988,2711763.160000000149012,10105810.300000000745058
FS( 85 ),2619692.860000000335276,2132246.909999999683350,2669390.740000000223517,2678149.959999999962747,10099480.469999998807907
FS( 86 ),2584577.920000000391155,2122158.919999999925494,2649164.979999999981374,2715964.810000000055879,10071866.630000000819564
FS( 87 ),2609875.780000000260770,2168013.419999999925494,2684560.060000000055879,2751258.670000000391155,10213707.929999999701977
FS( 88 ),2599303.540000000502914,2190023.579999999608845,2676554.030000000260770,2752939.329999999608845,10218820.480000000447035
FS( 89 ),2578536.640000000596046,2204697.019999999552965,2670233.479999999981374,2739494.050000000279397,10192961.190000001341105
FS( 90 ),2580802.120000000111759,2199194.479999999515712,2688773.760000000242144,2755460.319999999832362,10224230.679999999701977
FS( 91 ),2579669.379999999888241,2179935.589999999850988,2692144.720000000204891,2699998.540000000037253,10151748.230000000447035
FS( 92 ),2591751.940000000409782,2167096.329999999608845,2695937.049999999813735,2711763.160000000149012,10166548.480000000447035
FS( 93 ),2584955.500000000000000,2197360.299999999813735,2685402.799999999813735,2695796.889999999664724,10163515.489999998360872
FS( 94 ),2591751.940000000409782,2176267.229999999515712,2677396.770000000018626,2728569.759999999776483,10173985.699999999254942
FS( 95 ),2580802.120000000111759,2160676.699999999720603,2686245.540000000037253,2711763.160000000149012,10139487.519999999552965
FS( 96 ),2575138.420000000391155,2173515.959999999497086,2698043.899999999906868,2724368.110000000335276,10171066.390000000596046
FS( 97 ),2560035.220000000204891,2207448.289999999571592,2744394.599999999627471,2703359.860000000335276,10215237.969999998807907
FS( 98 ),2556259.420000000391155,2195526.119999999646097,2765884.470000000204891,2692435.569999999832362,10210105.580000000074506
FS( 99 ),2559280.060000000521541,2197360.299999999813735,2748608.300000000279397,2678990.290000000037253,10184238.949999999254942
FS( 100 ),2558147.320000000298023,2195526.119999999646097,2757878.439999999944121,2691595.240000000223517,10203147.119999999180436
FS( 101 ),2557769.740000000223517,2188189.399999999441206,2730489.390000000130385,2671427.319999999832362,10147875.849999999627471
FS( 102 ),2552483.620000000111759,2221204.639999999664724,2755771.590000000316650,2661343.360000000335276,10190803.210000000894070
FS( 103 ),2548330.240000000223517,2211116.649999999441206,2746501.450000000186265,2682351.610000000335276,10188299.949999999254942
FS( 104 ),2549085.400000000372529,2267059.139999999664724,2732174.870000000111759,2676469.300000000279397,10224788.710000000894070
FS( 105 ),2543799.280000000260770,2262473.689999999944121,2730489.390000000130385,2689914.579999999608845,10226676.940000001341105
FS( 106 ),2537758.000000000000000,2241380.619999999646097,2717426.919999999925494,2662183.689999999944121,10158749.229999998584390
FS( 107 ),2546064.760000000707805,2232209.719999999739230,2727961.169999999925494,2694116.229999999981374,10200351.880000000819564
FS( 108 ),2539645.900000000372529,2230375.539999999571592,2723747.470000000204891,2699998.540000000037253,10193767.449999999254942
FS( 109 ),2540023.479999999981374,2232209.719999999739230,2719112.399999999906868,2680670.949999999720603,10172016.549999998882413
FS( 110 ),2561545.540000000502914,2280815.489999999757856,2753243.370000000111759,2721006.790000000037253,10316611.190000001341105
FS( 111 ),2563055.860000000335276,2276230.039999999571592,2747765.559999999590218,2725208.439999999944121,10312259.900000000372529
FS( 112 ),2574383.260000000707805,2293654.750000000000000,2751979.260000000242144,2703359.860000000335276,10323377.130000002682209
FS( 113 ),2575138.420000000391155,2285400.939999999944121,2821083.939999999944121,2762182.959999999962747,10443806.260000001639128
FS( 114 ),2573250.520000000484288,2311996.549999999813735,2845944.770000000484288,2804199.459999999962747,10535391.300000000745058
FS( 115 ),2604967.240000000223517,2274395.859999999869615,2884289.439999999944121,2835291.670000000391155,10598944.209999999031425
FS( 116 ),2585333.080000000074506,2215702.099999999627471,2889767.250000000000000,2820165.729999999981374,10510968.160000000149012
FS( 117 ),2577026.320000000298023,2245966.069999999366701,2885553.550000000279397,2812602.759999999776483,10521148.699999999254942
FS( 118 ),2588353.720000000204891,2240463.529999999795109,2884710.809999999590218,2808401.110000000335276,10521929.169999999925494
FS( 119 ),2590241.620000000111759,2239546.439999999944121,2875019.300000000279397,2831930.350000000093132,10536737.710000000894070
FS( 120 ),2601569.020000000484288,2217536.279999999795109,2884289.439999999944121,2827728.699999999720603,10531123.439999999478459
FS( 121 ),2607610.300000000279397,2212950.829999999608845,2891031.359999999869615,2836132.000000000000000,10547724.490000000223517
FS( 122 ),2605344.820000000298023,2185438.129999999422580,2883025.330000000074506,2810081.770000000018626,10483890.049999998882413
FS( 123 ),2617427.379999999888241,2179935.589999999850988,2885553.550000000279397,2826888.370000000111759,10509804.890000000596046
FS( 124 ),2605344.820000000298023,2189106.489999999757856,2856057.649999999906868,2784031.540000000037253,10434540.500000000000000
FS( 125 ),2605722.400000000372529,2201028.659999999683350,2882603.959999999962747,2813443.089999999850988,10502798.109999999403954
FS( 126 ),2601946.600000000093132,2176267.229999999515712,2876283.410000000149012,2821006.060000000055879,10475503.300000000745058
FS( 127 ),2610253.360000000335276,2190940.669999999925494,2910414.379999999888241,2872266.189999999944121,10583874.599999999627471
FS( 128 ),2603834.500000000000000,2177184.319999999366701,2894823.689999999944121,2857140.250000000000000,10532982.759999999776483
FS( 129 ),2605344.820000000298023,2150588.709999999497086,2907886.160000000149012,2910081.040000000037253,10573900.730000000447035
FS( 130 ),2615539.479999999981374,2198277.389999999664724,2919263.149999999906868,2934450.610000000335276,10667530.629999998956919
FS( 131 ),2629887.520000000484288,2183603.949999999720603,2931061.510000000242144,2947055.560000000055879,10691608.540000000968575
FS( 132 ),2621958.340000000316650,2178101.409999999683350,2930218.770000000484288,2914282.689999999944121,10644561.210000000894070
FS( 133 ),2583067.600000000093132,2166179.239999999757856,2920948.629999999888241,2873106.520000000018626,10543301.990000000223517
FS( 134 ),2575893.580000000074506,2160676.699999999720603,2924319.590000000316650,2886551.800000000279397,10547441.669999999925494
FS( 135 ),2566454.080000000074506,2176267.229999999515712,2914206.709999999962747,2921005.329999999608845,10577933.349999999627471
FS( 136 ),2566454.080000000074506,2165262.149999999441206,2895666.430000000167638,2922685.990000000223517,10550068.650000000372529
FS( 137 ),2590241.620000000111759,2191857.759999999776483,2940753.020000000484288,2938652.259999999776483,10661504.660000000149012
FS( 138 ),2626111.720000000204891,2229458.449999999720603,2970248.919999999925494,2965542.819999999832362,10791361.910000000149012
FS( 139 ),2680860.820000000298023,2236795.169999999925494,3007750.849999999627471,2994954.370000000111759,10920361.210000000894070
FS( 140 ),2738252.979999999981374,2236795.169999999925494,3115621.569999999832362,2980668.759999999776483,11071338.480000000447035
FS( 141 ),2713332.700000000186265,2211116.649999999441206,3097502.660000000149012,2940332.920000000391155,10962284.929999999701977
FS( 142 ),2710312.060000000521541,2166179.239999999757856,3117728.419999999925494,2920165.000000000000000,10914384.720000000670552
FS( 143 ),2676707.440000000409782,2128578.549999999813735,3092024.849999999627471,2870585.529999999795109,10767896.369999999180436
FS( 144 ),2671043.740000000223517,2129495.639999999664724,3083597.450000000186265,2867224.209999999962747,10751361.039999999105930
FS( 145 ),2686146.940000000409782,2093729.129999999422580,3038932.230000000447035,2889913.120000000111759,10708721.420000001788139
FS( 146 ),2677085.020000000484288,2090060.769999999552965,3015335.510000000242144,2905879.389999999664724,10688360.690000001341105
FS( 147 ),2674064.379999999888241,2095563.309999999823049,2989210.569999999832362,2915123.020000000018626,10673961.279999999329448
FS( 148 ),2699739.820000000298023,2186355.219999999739230,2959293.300000000279397,3022685.259999999776483,10868073.599999999627471
FS( 149 ),2677085.020000000484288,2168013.419999999925494,2933589.730000000447035,3012601.300000000279397,10791289.470000000670552
FS( 150 ),2672931.640000000596046,2184521.039999999571592,2912099.859999999869615,2973105.790000000037253,10742658.329999998211861
FS( 151 ),2681238.400000000372529,2203779.929999999701977,2956765.080000000074506,3022685.259999999776483,10864468.669999999925494
FS( 152 ),2655940.540000000502914,2169847.599999999627471,2895245.059999999590218,2994954.370000000111759,10715987.570000000298023
FS( 153 ),2629887.520000000484288,2106568.389999999664724,2907464.790000000037253,2984870.410000000149012,10628791.109999999403954
FS( 154 ),2638194.280000000260770,2116656.379999999422580,2906622.050000000279397,3002517.339999999850988,10663990.050000000745058
FS( 155 ),2631020.260000000707805,2115739.289999999571592,2883446.700000000186265,3009239.979999999981374,10639446.230000000447035
FS( 156 ),2624601.400000000372529,2097397.489999999757856,2875019.300000000279397,2992433.379999999888241,10589451.570000000298023
FS( 157 ),2615539.479999999981374,2077221.509999999543652,2868277.379999999888241,2940332.920000000391155,10501371.289999999105930
FS( 158 ),2607987.879999999888241,2082724.049999999813735,2878811.629999999888241,2941173.250000000000000,10510696.809999998658895
FS( 159 ),2612518.840000000316650,2123076.009999999776483,2892716.840000000316650,2998315.689999999944121,10626627.379999998956919
FS( 160 ),2614784.320000000298023,2208365.379999999422580,2930218.770000000484288,3059659.779999999795109,10813028.250000000000000
FS( 161 ),2630642.680000000167638,2191857.759999999776483,2934432.470000000204891,3074785.720000000204891,10831718.630000000819564
FS( 162 ),2627622.040000000502914,2191857.759999999776483,2958871.930000000167638,3081508.360000000335276,10859860.089999999850988
FS( 163 ),2626489.300000000279397,2218453.369999999646097,3003115.779999999795109,3111760.240000000223517,10959818.689999999478459
FS( 164 ),2608743.040000000502914,2239546.439999999944121,2985839.609999999869615,3093272.979999999981374,10927402.070000000298023
FS( 165 ),2598170.800000000279397,2223955.909999999683350,2984575.500000000000000,3084029.350000000093132,10890731.560000000521541
FS( 166 ),2616294.640000000596046,2272561.679999999701977,2990053.309999999590218,3094113.310000000055879,10973022.939999999478459
FS( 167 ),2613651.580000000074506,2268893.319999999366701,2999323.450000000186265,3113440.899999999906868,10995309.250000000000000
FS( 168 ),2632908.160000000614673,2234960.989999999757856,2984154.129999999888241,3145373.439999999944121,10997396.720000000670552
FS( 169 ),2629887.520000000484288,2236795.169999999925494,2989631.939999999944121,3122684.529999999795109,10978999.160000000149012
FS( 170 ),2637816.700000000186265,2239546.439999999944121,2971934.399999999906868,3100835.949999999720603,10950133.490000000223517
FS( 171 ),2641970.080000000074506,2239546.439999999944121,3118149.790000000037253,3110919.910000000149012,11110586.219999998807907
FS( 172 ),2644990.720000000204891,2256971.149999999441206,3082333.340000000316650,3119323.209999999962747,11103618.419999998062849
FS( 173 ),2660093.920000000391155,2260639.509999999776483,3092446.220000000204891,3121003.870000000111759,11134183.519999999552965
FS( 174 ),2665757.620000000111759,2248717.339999999850988,3090339.370000000111759,3123524.860000000335276,11128339.190000001341105
FS( 175 ),2684636.620000000111759,2278981.309999999590218,3094131.700000000186265,3128566.839999999850988,11186316.469999998807907
FS( 176 ),2679350.500000000000000,2274395.859999999869615,3089075.260000000242144,3106718.259999999776483,11149539.879999998956919
FS( 177 ),2671421.320000000298023,2231292.629999999422580,3085704.300000000279397,3092432.649999999906868,11080850.900000000372529
FS( 178 ),2669155.840000000316650,2222121.729999999515712,3091603.480000000447035,3084869.680000000167638,11067750.730000000447035
FS( 179 ),2678595.340000000316650,2246883.159999999683350,3126155.819999999832362,3132768.490000000223517,11184402.810000000521541
FS( 180 ),2678972.920000000391155,2267976.229999999515712,3132055.000000000000000,3166381.689999999944121,11245385.839999999850988
FS( 181 ),2666890.360000000335276,2242297.709999999497086,3094131.700000000186265,3133608.819999999832362,11136928.589999999850988
FS( 182 ),2671421.320000000298023,2269810.409999999683350,3110565.129999999888241,3203356.209999999962747,11255153.070000000298023
FS( 183 ),2653297.479999999981374,2410125.179999999701977,3068428.129999999888241,3167222.020000000018626,11299072.810000000521541
FS( 184 ),2643857.979999999981374,2421130.259999999776483,3049045.109999999869615,3176465.649999999906868,11290499.000000000000000
FS( 185 ),2649521.680000000167638,2354182.689999999944121,3045252.779999999795109,3146213.770000000018626,11195170.919999999925494
FS( 186 ),2646501.040000000502914,2373441.579999999608845,3026291.129999999888241,3138650.800000000279397,11184884.550000000745058
FS( 187 ),2623468.660000000614673,2338592.159999999683350,3001851.669999999925494,3122684.529999999795109,11086597.019999999552965
FS( 188 ),2646878.620000000111759,2366104.859999999869615,3026291.129999999888241,3184868.949999999720603,11224143.560000000521541
FS( 189 ),2674819.540000000502914,2377109.939999999944121,3070113.609999999869615,3264700.300000000279397,11386743.390000000596046
FS( 190 ),2671043.740000000223517,2401871.369999999646097,3093710.330000000074506,3267221.290000000037253,11433846.730000000447035
FS( 191 ),2701627.720000000204891,2424798.619999999646097,3120678.010000000242144,3293271.520000000018626,11540375.869999999180436
FS( 192 ),2695964.020000000484288,2428466.979999999515712,3078541.010000000242144,3316800.759999999776483,11519772.769999999552965
FS( 193 ),2696341.600000000093132,2402788.459999999497086,3084018.819999999832362,3347892.970000000204891,11531041.849999999627471
FS( 194 ),2708424.160000000614673,2405539.729999999515712,3115621.569999999832362,3399153.100000000093132,11628738.560000000521541
FS( 195 ),2725792.840000000316650,2410125.179999999701977,3137111.439999999944121,3372262.540000000037253,11645292.000000000000000
FS( 196 ),2731834.120000000111759,2434886.609999999869615,3153966.239999999757856,3385707.819999999832362,11706394.790000000968575
FS( 197 ),2739763.300000000279397,2439472.059999999590218,3158179.939999999944121,3374783.529999999795109,11712198.829999998211861
FS( 198 ),2732589.280000000260770,2459648.039999999571592,3183883.510000000242144,3370581.879999999888241,11746702.710000000894070
FS( 199 ),2740518.460000000428408,2464233.489999999757856,3183462.140000000130385,3365539.899999999906868,11753753.990000000223517
FS( 200 ),2752601.020000000484288,2452311.319999999366701,3198210.090000000316650,3358817.259999999776483,11761939.689999999478459
FS( 201 ),2765061.160000000614673,2444057.509999999776483,3215486.260000000242144,3325204.060000000055879,11749808.990000000223517
FS( 202 ),2744671.840000000316650,2452311.319999999366701,3284590.939999999944121,3341170.329999999608845,11822744.429999999701977
FS( 203 ),2750713.120000000111759,2434886.609999999869615,3271528.470000000204891,3341170.329999999608845,11798298.530000001192093
FS( 204 ),2760152.620000000111759,2469736.029999999795109,3290490.120000000111759,3352094.620000000111759,11872473.390000000596046
FS( 205 ),2791114.180000000167638,2547688.679999999701977,3301445.739999999757856,3357976.930000000167638,11998225.529999999329448
FS( 206 ),2779786.780000000260770,2499082.909999999683350,3259308.739999999757856,3284868.220000000204891,11823046.650000000372529
FS( 207 ),2809615.600000000093132,2472487.299999999813735,3278691.760000000242144,3291590.860000000335276,11852385.519999999552965
FS( 208 ),2797533.040000000502914,2458730.949999999720603,3269000.250000000000000,3256297.000000000000000,11781561.240000000223517
FS( 209 ),2791114.180000000167638,2478906.929999999701977,3306080.809999999590218,3317641.089999999850988,11893743.009999997913837
FS( 210 ),2800931.260000000707805,2462399.309999999590218,3366336.720000000204891,3331086.370000000111759,11960753.660000000149012
FS( 211 ),2798288.200000000186265,2460565.129999999422580,3286697.790000000037253,3290750.529999999795109,11836301.650000000372529
FS( 212 ),2819055.100000000093132,2471570.209999999497086,3314086.840000000316650,3351254.290000000037253,11955966.440000001341105
FS( 213 ),2846618.440000000409782,2483492.379999999422580,3327149.309999999590218,3378985.180000000167638,12036245.309999998658895
FS( 214 ),2834158.300000000279397,2507336.719999999739230,3333891.230000000447035,3299994.160000000149012,11975380.410000000149012
FS( 215 ),2850016.660000000614673,2503668.359999999869615,3322935.609999999869615,3315120.100000000093132,11991740.730000000447035
FS( 216 ),2847373.600000000093132,2532098.149999999441206,3337683.559999999590218,3284027.889999999664724,12001183.199999999254942
FS( 217 ),2862099.220000000204891,2526595.609999999869615,3366758.090000000316650,3294111.850000000093132,12049564.769999999552965
FS( 218 ),2856813.100000000093132,2501834.179999999701977,3370550.419999999925494,3251255.020000000018626,11980452.719999998807907
FS( 219 ),2862476.800000000279397,2504585.449999999720603,3385298.370000000111759,3276464.920000000391155,12028825.540000000968575
FS( 220 ),2875692.100000000093132,2520175.979999999515712,3387405.220000000204891,3319321.750000000000000,12102595.050000000745058
FS( 221 ),2905898.500000000000000,2498165.819999999366701,3396253.989999999757856,3310918.449999999720603,12111236.759999997913837
FS( 222 ),2894193.520000000484288,2477072.750000000000000,3375606.859999999869615,3264700.300000000279397,12011573.430000001564622
FS( 223 ),2902500.280000000260770,2500917.089999999850988,3386983.849999999627471,3307557.129999999888241,12097958.349999997764826
FS( 224 ),2879090.320000000298023,2498165.819999999366701,3413530.160000000149012,3349573.629999999888241,12140359.929999999701977
FS( 225 ),2853414.879999999888241,2477989.839999999850988,3339369.040000000037253,3274784.259999999776483,11945558.019999999552965
