代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13051455.669999999925494
真實報酬,3051455.669999999925494

夏普值報酬,0.296445567000000
夏普值風險,0.092427982492654
夏普值,3.207314051494767

二次趨勢線,36.564477834179847 x^2 + 3976.501942306828823 x + 10000000.000000000000000
二次加權預期報酬,16286.542813147380002
風險,236596.620060001878301
二次加權趨勢值,0.068836751805740
一次趨勢線,10900.872780314675765 x + 10000000.000000000000000
一次預期報酬,10900.872780314675765
一次風險,352196.685739050852135
一次趨勢值,0.030951094151952
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,5
CSCO[4](4),INTC[11](3),MRK[17](25),NKE[19](7),V[25](1),
FS( 16 ),2001885.590000000083819,1902548.800000000046566,2023290.959999999729916,2003824.000000000000000,1969602.199999999953434,9901151.549999998882413
FS( 17 ),2016970.310000000288710,1893135.899999999906868,2027581.399999999674037,2021032.000000000000000,2003773.519999999785796,9962493.129999998956919
FS( 18 ),2026398.260000000242144,1886491.500000000000000,2020226.359999999869615,2037475.199999999953434,1996226.479999999981374,9966817.800000000745058
FS( 19 ),1996228.820000000065193,1863236.100000000093132,2008580.879999999888241,2024856.000000000000000,1989518.000000000000000,9882419.800000000745058
FS( 20 ),2016341.780000000027940,1893689.600000000325963,1996935.399999999674037,2040534.399999999906868,2017400.119999999878928,9964901.299999998882413
FS( 21 ),1974230.270000000018626,1857145.400000000139698,1971805.679999999934807,2033268.800000000046566,1979455.280000000027940,9815905.429999999701977
FS( 22 ),1967316.440000000176951,1868219.400000000139698,1964144.179999999934807,2256208.000000000000000,1966038.319999999832362,10021926.339999999850988
FS( 23 ),1969202.030000000027940,1852715.800000000046566,1969660.459999999729916,2242824.000000000000000,1957023.799999999813735,9991426.089999999850988
FS( 24 ),1955374.370000000111759,1901441.400000000372529,1966289.399999999674037,2201142.399999999906868,1970860.040000000037253,9995107.609999999403954
FS( 25 ),1930861.699999999953434,1862128.700000000186265,1933804.639999999897555,2185846.399999999906868,1954927.399999999906868,9867568.839999999850988
FS( 26 ),1942175.239999999990687,1875971.200000000186265,1935643.399999999674037,2217203.199999999720603,1968973.280000000027940,9939966.319999998435378
FS( 27 ),1947203.479999999981374,1863236.100000000093132,1925530.219999999739230,2245883.199999999720603,1993501.159999999916181,9975354.160000000149012
FS( 28 ),1954117.310000000055879,1878186.000000000232831,1910513.679999999934807,2224851.200000000186265,2000209.639999999897555,9967877.830000000074506
FS( 29 ),1958517.020000000018626,1896458.100000000093132,1923997.919999999925494,2226380.799999999813735,2016351.920000000158325,10021705.759999999776483
FS( 30 ),1965430.850000000093132,1895904.400000000139698,1927368.979999999748543,2215673.600000000093132,2011320.559999999823049,10015698.390000000596046
FS( 31 ),1974858.800000000046566,1920267.200000000186265,1932578.799999999813735,2217968.000000000000000,2032074.920000000158325,10077747.720000000670552
FS( 32 ),1979887.040000000037253,1908639.500000000000000,1918788.099999999860302,2209937.600000000093132,2029978.519999999785796,10047230.759999999776483
FS( 33 ),1980515.570000000065193,1911961.700000000186265,1912658.899999999674037,2204584.000000000000000,2045701.519999999785796,10055421.689999999478459
FS( 34 ),2005028.239999999990687,1913622.800000000279397,1919094.559999999823049,2209172.800000000279397,2059747.399999999906868,10106665.800000000745058
FS( 35 ),2002514.120000000111759,1924143.100000000093132,1928901.279999999795109,2260032.000000000000000,2056812.439999999944121,10172402.939999999478459
FS( 36 ),2001257.060000000055879,1923035.699999999953434,1919401.019999999785796,2292536.000000000000000,2088048.799999999813735,10224278.579999998211861
FS( 37 ),2002514.120000000111759,1910300.600000000093132,1917562.259999999776483,2254296.000000000000000,2104191.080000000074506,10188864.060000000521541
FS( 38 ),2018855.899999999906868,1919713.500000000232831,1911126.599999999860302,2271121.600000000093132,2096224.759999999776483,10217042.359999999403954
FS( 39 ),1989943.520000000018626,1924143.100000000093132,1893964.839999999618158,2231734.399999999906868,2114253.799999999813735,10154039.660000000149012
FS( 40 ),1984286.750000000000000,1936324.500000000000000,1951885.779999999795109,2223704.000000000000000,2087419.879999999655411,10183620.909999998286366
FS( 41 ),1981144.100000000093132,1955150.300000000279397,1964757.099999999860302,2243588.800000000279397,2078615.000000000000000,10223255.300000000745058
FS( 42 ),1976744.389999999897555,1964009.500000000000000,1957708.519999999785796,2258120.000000000000000,2087210.239999999990687,10243792.649999998509884
FS( 43 ),1989314.989999999990687,2012735.100000000093132,1958934.359999999869615,2288329.600000000093132,2114673.080000000074506,10363987.129999998956919
FS( 44 ),1981144.100000000093132,2028792.400000000139698,1944224.279999999795109,2286417.600000000093132,2123268.319999999832362,10363846.699999999254942
FS( 45 ),1983658.219999999972060,2020486.900000000139698,1946675.959999999962747,2299801.600000000093132,2108803.160000000149012,10359425.839999999850988
FS( 46 ),1998742.940000000176951,2009966.599999999860302,1933804.639999999897555,2285270.399999999906868,2115092.359999999869615,10342876.939999999478459
FS( 47 ),2001257.060000000055879,2017164.700000000186265,1925836.679999999934807,2286417.600000000093132,2127670.759999999776483,10358346.800000000745058
FS( 48 ),1990572.050000000046566,2016057.299999999813735,1909900.759999999776483,2273798.399999999906868,2123268.319999999832362,10313596.830000000074506
FS( 49 ),1987429.400000000139698,2026023.900000000372529,1915110.579999999841675,2290624.000000000000000,2116769.479999999981374,10335957.360000001266599
FS( 50 ),1948460.540000000037253,2001107.400000000139698,1905610.319999999832362,2258884.799999999813735,2085742.759999999776483,10199805.820000000298023
FS( 51 ),1978001.449999999953434,1986157.500000000000000,1911739.519999999785796,2255060.799999999813735,2098321.160000000149012,10229280.429999999701977
FS( 52 ),2001257.060000000055879,2012181.400000000372529,1920626.859999999869615,2286035.200000000186265,2135637.080000000074506,10355737.600000001490116
FS( 53 ),2016970.310000000288710,1993355.600000000093132,1915417.039999999804422,2239382.399999999906868,2151569.719999999739230,10316695.070000000298023
FS( 54 ),2032683.560000000288710,1982835.300000000279397,1921546.239999999990687,2238617.600000000093132,2166034.879999999888241,10341717.580000001937151
FS( 55 ),1950974.659999999916181,1947398.500000000232831,1895190.679999999934807,2197318.399999999906868,2141716.639999999664724,10132598.879999998956919
FS( 56 ),1908863.150000000139698,1938539.300000000046566,1884464.579999999841675,2101336.000000000000000,2149054.040000000037253,9982257.070000000298023
FS( 57 ),1928347.580000000074506,1933556.000000000232831,1899174.659999999683350,2050094.399999999906868,2163938.479999999981374,9975111.120000001043081
FS( 58 ),1965430.850000000093132,1918606.100000000093132,1912965.359999999869615,2069979.200000000186265,2181757.879999999888241,10048739.390000000596046
FS( 59 ),1943432.300000000046566,1919159.799999999813735,1904690.939999999711290,2050094.399999999906868,2163099.919999999925494,9980477.359999999403954
FS( 60 ),1963545.260000000009313,1921928.300000000046566,1921852.699999999720603,2058889.600000000093132,2163938.479999999981374,10030154.339999999850988
FS( 61 ),1976115.860000000102445,1919713.500000000232831,1928901.279999999795109,2061184.000000000000000,2166663.799999999813735,10052578.440000001341105
FS( 62 ),1982401.159999999916181,1918606.100000000093132,1940546.759999999776483,2054683.199999999953434,2175678.319999999832362,10071915.539999999105930
FS( 63 ),1978629.979999999981374,1923035.699999999953434,1934417.559999999823049,2016443.199999999953434,2175468.679999999701977,10027995.119999999180436
FS( 64 ),2010685.010000000009313,1931894.900000000139698,1934417.559999999823049,2009942.400000000139698,2174630.120000000111759,10061569.990000000223517
FS( 65 ),2024512.670000000158325,1941861.500000000000000,1957095.599999999860302,2019502.400000000139698,2170227.679999999701977,10113199.849999999627471
FS( 66 ),2030169.439999999944121,1942968.900000000372529,1956176.219999999739230,2040534.399999999906868,2178194.000000000000000,10148042.960000000894070
FS( 67 ),1987429.400000000139698,1939093.000000000232831,1949740.559999999823049,2027150.399999999906868,2159536.040000000037253,10062949.399999998509884
FS( 68 ),2003142.650000000139698,1980066.800000000046566,1961386.039999999804422,2017590.399999999906868,2163099.919999999925494,10125285.810000000521541
FS( 69 ),1996228.820000000065193,1967885.400000000139698,1971192.759999999543652,2003441.600000000093132,2192030.239999999757856,10130778.820000000298023
FS( 70 ),1978629.979999999981374,1948505.899999999906868,1969660.459999999729916,1996176.000000000000000,2189304.919999999925494,10082277.259999999776483
FS( 71 ),2023255.609999999869615,1980620.500000000232831,1996016.019999999552965,2027915.199999999953434,2225363.000000000000000,10253170.330000000074506
FS( 72 ),2037083.269999999785796,1998338.900000000372529,2006129.199999999720603,2042064.000000000000000,2226620.839999999850988,10310236.209999999031425
FS( 73 ),2022627.080000000074506,2011627.699999999953434,2005822.739999999990687,2046652.800000000046566,2218654.520000000018626,10305384.839999999850988
FS( 74 ),2023255.609999999869615,2019933.199999999953434,2026355.560000000055879,2054683.199999999953434,2223895.520000000018626,10348123.089999999850988
FS( 75 ),2038968.859999999869615,2048725.600000000093132,2027581.399999999674037,2060036.799999999813735,2207543.599999999627471,10382856.259999997913837
FS( 76 ),2043997.100000000325963,2048725.600000000093132,2022371.579999999608845,2045888.000000000000000,2197690.520000000018626,10358672.799999998882413
FS( 77 ),2042111.510000000242144,2061460.699999999953434,2021145.739999999990687,2039387.199999999953434,2209849.639999999664724,10373954.789999999105930
FS( 78 ),2049025.340000000083819,2052601.500000000000000,2016242.379999999888241,2048182.400000000139698,2209849.639999999664724,10375901.259999999776483
FS( 79 ),2055310.640000000130385,2059799.600000000325963,2010419.639999999664724,2034033.599999999860302,2207753.239999999757856,10367316.719999998807907
FS( 80 ),2097422.149999999906868,2058692.200000000186265,1996016.019999999552965,2035945.600000000093132,2212994.239999999757856,10401070.209999999031425
FS( 81 ),2119420.700000000186265,2057584.799999999813735,1997548.320000000065193,2035563.199999999953434,2159745.679999999701977,10369862.699999999254942
FS( 82 ),2121934.819999999832362,2074749.500000000000000,1984677.000000000000000,2053536.000000000000000,2158068.560000000055879,10392965.880000000819564
FS( 83 ),2104335.979999999981374,2078625.400000000139698,1978854.259999999543652,2014148.800000000046566,2177984.359999999869615,10353948.799999998882413
FS( 84 ),2096165.090000000083819,2094682.699999999953434,1970273.379999999888241,2012619.200000000186265,2192449.520000000018626,10366189.890000000596046
FS( 85 ),2113763.930000000167638,2108525.200000000186265,1962305.419999999925494,1982792.000000000000000,2192449.520000000018626,10359836.070000000298023
FS( 86 ),2121306.290000000037253,2161680.399999999906868,1978241.339999999618158,1983556.799999999813735,2210478.560000000055879,10455263.389999998733401
FS( 87 ),2127591.590000000316650,2180506.200000000186265,1972725.060000000055879,1968260.800000000046566,2213623.160000000149012,10462706.810000002384186
FS( 88 ),2101821.859999999869615,2178291.400000000372529,1979773.639999999664724,1991587.199999999953434,2207753.239999999757856,10459227.339999999850988
FS( 89 ),2111249.810000000055879,2188811.700000000186265,1979773.639999999664724,1995411.199999999953434,2227249.759999999776483,10502496.109999999403954
FS( 90 ),2121306.290000000037253,2194348.700000000186265,1978241.339999999618158,2004588.800000000046566,2237522.120000000111759,10536007.250000000000000
FS( 91 ),2121934.819999999832362,2207083.800000000279397,1971499.219999999739230,1970172.800000000046566,2243392.040000000037253,10514082.679999999701977
FS( 92 ),2108735.689999999944121,2195456.100000000093132,1975483.199999999720603,1970555.199999999953434,2249681.239999999757856,10499911.429999999701977
FS( 93 ),2111249.810000000055879,2176076.600000000093132,1954643.919999999925494,1951435.199999999953434,2273370.560000000055879,10466776.089999999850988
FS( 94 ),2090508.319999999832362,2169985.899999999906868,1956176.219999999739230,1943787.199999999953434,2266452.439999999944121,10426910.080000000074506
FS( 95 ),2103707.450000000186265,2196563.500000000000000,1942691.979999999748543,1949523.199999999953434,2277982.639999999664724,10470468.769999999552965
FS( 96 ),2108107.160000000149012,2201546.799999999813735,1941159.679999999934807,1964436.799999999813735,2270435.599999999627471,10485686.039999999105930
FS( 97 ),2111878.340000000316650,2203207.899999999906868,1937482.159999999683350,1988528.000000000000000,2254502.959999999962747,10495599.359999999403954
FS( 98 ),2108735.689999999944121,2228678.100000000093132,1946369.499999999767169,2000000.000000000000000,2259953.599999999627471,10543736.890000000596046
FS( 99 ),2121306.290000000037253,2219818.900000000372529,1953724.539999999804422,2014913.599999999860302,2243601.679999999701977,10553365.009999999776483
FS( 100 ),2152732.790000000037253,2238644.700000000186265,1957708.519999999785796,2029062.400000000139698,2254712.599999999627471,10632861.009999999776483
FS( 101 ),2159018.090000000316650,2260792.700000000186265,1942998.439999999711290,2052006.399999999906868,2254293.319999999832362,10669108.950000001117587
FS( 102 ),2173474.279999999795109,2267437.100000000093132,1934111.099999999860302,2042828.800000000046566,2272741.639999999664724,10690592.919999998062849
FS( 103 ),2155875.439999999944121,2258024.200000000186265,1913884.739999999990687,2100953.600000000093132,2295382.759999999776483,10724120.740000000223517
FS( 104 ),2153989.850000000093132,2289585.100000000093132,1899787.579999999841675,2172462.399999999906868,2301881.599999999627471,10817706.529999999329448
FS( 105 ),2164046.330000000074506,2458463.600000000093132,1784865.079999999841675,2139958.399999999906868,2299994.839999999850988,10847328.250000000000000
FS( 106 ),2139533.660000000149012,2456802.500000000000000,1676684.699999999720603,2113572.800000000279397,2306912.959999999962747,10693506.620000001043081
FS( 107 ),2146447.489999999757856,2518816.900000000372529,1688330.179999999934807,2102865.600000000093132,2305655.120000000111759,10762115.289999999105930
FS( 108 ),2175988.399999999906868,2586368.300000000279397,1695991.679999999934807,2105924.799999999813735,2328505.879999999888241,10892779.059999998658895
FS( 109 ),2150218.669999999925494,2607962.600000000093132,1696911.059999999823049,2107836.799999999813735,2326619.120000000111759,10889548.250000000000000
FS( 110 ),2166560.450000000186265,2565881.400000000372529,1718056.799999999813735,2130398.399999999906868,2334585.439999999944121,10915482.490000000223517
FS( 111 ),2162789.270000000018626,2585814.600000000093132,1712540.519999999785796,2143017.600000000093132,2346325.279999999795109,10950487.269999999552965
FS( 112 ),2162160.739999999757856,2590244.200000000186265,1703653.179999999934807,2108984.000000000000000,2349889.160000000149012,10914931.279999999329448
FS( 113 ),2168446.040000000037253,2585814.600000000093132,1733992.719999999739230,2132310.399999999906868,2357855.479999999981374,10978419.240000000223517
FS( 114 ),2140162.189999999944121,2563666.600000000093132,1722653.699999999720603,2146459.200000000186265,2350937.359999999869615,10923879.050000000745058
FS( 115 ),2136391.010000000242144,2523800.200000000186265,1700282.119999999646097,2144929.600000000093132,2345486.719999999739230,10850889.649999998509884
FS( 116 ),2133876.890000000130385,2533213.100000000093132,1688636.639999999897555,2138046.399999999906868,2335424.000000000000000,10829197.029999999329448
FS( 117 ),2139533.660000000149012,2539303.800000000279397,1685265.579999999841675,2140723.199999999720603,2347583.120000000111759,10852409.359999999403954
FS( 118 ),2143933.370000000111759,2517155.800000000279397,1679442.839999999618158,2165579.200000000186265,2311315.399999999906868,10817426.610000001266599
FS( 119 ),2255183.180000000167638,2527676.100000000093132,1690781.859999999869615,2188523.199999999720603,2327457.679999999701977,10989622.019999999552965
FS( 120 ),2256440.239999999757856,2471198.700000000186265,1691701.239999999990687,2263473.600000000093132,2302300.879999999888241,10985114.660000000149012
FS( 121 ),2294152.040000000037253,2470645.000000000000000,1657990.639999999897555,2265768.000000000000000,2305026.200000000186265,10993581.879999998956919
FS( 122 ),2303579.989999999757856,2488363.399999999906868,1663200.459999999962747,2271121.600000000093132,2336472.200000000186265,11062737.649999998509884
FS( 123 ),2291009.390000000130385,2472306.100000000093132,1666265.059999999823049,2258884.799999999813735,2323264.879999999888241,11011730.230000000447035
FS( 124 ),2293523.510000000242144,2477843.100000000093132,1665652.139999999897555,2268444.799999999813735,2347373.479999999981374,11052837.030000001192093
FS( 125 ),2317407.649999999906868,2463446.900000000372529,1671781.339999999618158,2280299.200000000186265,2355968.719999999739230,11088903.809999998658895
FS( 126 ),2371461.229999999981374,2476735.699999999720603,1683426.819999999832362,2278387.199999999720603,2376513.439999999944121,11186524.389999998733401
FS( 127 ),2355747.979999999981374,2433547.100000000093132,1696604.599999999860302,2308214.399999999906868,2303139.439999999944121,11097253.519999999552965
FS( 128 ),2344434.439999999944121,2482826.400000000372529,1693846.459999999962747,2310508.800000000279397,2360371.160000000149012,11191987.259999999776483
FS( 129 ),2363290.340000000316650,2473967.200000000186265,1712234.059999999823049,2289859.200000000186265,2321378.120000000111759,11160728.920000001788139
FS( 130 ),2370832.700000000186265,2463446.900000000372529,1722960.159999999683350,2298272.000000000000000,2252196.919999999925494,11107708.679999999701977
FS( 131 ),2345062.970000000204891,2405308.399999999906868,1709169.459999999962747,2310508.800000000279397,2276305.520000000018626,11046355.150000000372529
FS( 132 ),2351348.270000000018626,2405862.100000000093132,1665652.139999999897555,2283740.799999999813735,2300623.759999999776483,11007227.069999998435378
FS( 133 ),2350719.739999999757856,2385375.200000000186265,1678523.459999999962747,2317392.000000000000000,2335424.000000000000000,11067434.399999998509884
FS( 134 ),2363918.870000000111759,2400325.100000000093132,1703040.259999999776483,2344160.000000000000000,2360580.799999999813735,11172025.030000001192093
FS( 135 ),2385917.419999999925494,2417489.799999999813735,1726637.679999999934807,2367486.399999999906868,2355759.080000000074506,11253290.379999998956919
FS( 136 ),2382774.770000000018626,2399217.700000000186265,1749009.259999999776483,2377428.800000000279397,2378609.839999999850988,11287040.370000001043081
FS( 137 ),2397859.489999999757856,2399771.400000000372529,1744105.899999999674037,2458880.000000000000000,2375465.239999999757856,11376082.029999999329448
FS( 138 ),2382146.239999999757856,2395341.799999999813735,1716524.499999999767169,2467675.200000000186265,2367289.279999999795109,11328977.019999997690320
FS( 139 ),2400373.609999999869615,2467322.800000000279397,1723573.079999999841675,2477617.600000000093132,2386156.879999999888241,11455043.969999998807907
FS( 140 ),2418600.979999999981374,2561451.799999999813735,1722960.159999999683350,2478382.399999999906868,2380496.599999999627471,11561891.939999999478459
FS( 141 ),2407287.439999999944121,2604640.399999999906868,1723266.619999999646097,2456585.599999999627471,2350937.359999999869615,11542717.419999998062849
FS( 142 ),2434942.760000000242144,2633432.800000000279397,1719589.099999999860302,2431729.600000000093132,2350518.080000000074506,11570212.339999999850988
FS( 143 ),2421743.629999999888241,2589136.799999999813735,1734605.639999999897555,2476852.799999999813735,2356597.639999999664724,11578936.509999997913837
FS( 144 ),2423000.689999999944121,2585814.600000000093132,1727250.599999999860302,2420257.600000000093132,2362467.560000000055879,11518791.050000000745058
FS( 145 ),2418600.979999999981374,2551485.200000000186265,1726637.679999999934807,2434024.000000000000000,2368756.759999999776483,11499504.619999999180436
FS( 146 ),2423629.220000000204891,2553146.300000000279397,1726637.679999999934807,2407256.000000000000000,2390349.679999999701977,11501018.879999998956919
FS( 147 ),2425514.810000000055879,2559237.000000000000000,1734605.639999999897555,2407256.000000000000000,2397267.799999999813735,11523881.250000000000000
FS( 148 ),2407287.439999999944121,2555914.799999999813735,1724492.459999999962747,2391960.000000000000000,2390349.679999999701977,11470004.379999998956919
FS( 149 ),2442485.120000000111759,2594120.100000000093132,1722960.159999999683350,2427905.600000000093132,2400622.040000000037253,11588093.019999999552965
FS( 150 ),2461969.550000000279397,2506081.799999999813735,1720508.479999999748543,2427523.199999999720603,2424521.000000000000000,11540604.029999999329448
FS( 151 ),2450656.010000000242144,2460124.700000000186265,1748396.339999999618158,2425993.600000000093132,2433535.520000000018626,11518706.169999999925494
FS( 152 ),2484596.629999999888241,2477289.400000000372529,1746557.579999999841675,2446643.199999999720603,2491815.439999999944121,11646902.250000000000000
FS( 153 ),2510366.359999999869615,2477289.400000000372529,1736444.399999999674037,2468440.000000000000000,2501878.160000000149012,11694418.320000000298023
FS( 154 ),2494653.109999999869615,2415275.000000000000000,1740734.839999999618158,2450849.600000000093132,2497056.439999999944121,11598568.989999998360872
FS( 155 ),2508480.770000000018626,2353260.600000000093132,1756057.839999999618158,2455820.799999999813735,2494331.120000000111759,11567951.129999998956919
FS( 156 ),2520422.840000000316650,2403647.299999999813735,1765251.639999999897555,2458497.600000000093132,2512360.160000000149012,11660179.540000000968575
FS( 157 ),2568819.649999999906868,2394234.400000000372529,1797736.399999999674037,2473028.800000000279397,2517601.160000000149012,11751420.410000000149012
FS( 158 ),2548078.160000000149012,2388697.399999999906868,1902239.259999999776483,2425228.800000000279397,2523890.359999999869615,11788133.980000000447035
FS( 159 ),2589561.140000000130385,2457909.899999999906868,1901013.419999999925494,2440142.399999999906868,2557223.120000000111759,11945849.980000000447035
FS( 160 ),2595846.439999999944121,2462893.199999999720603,1873432.019999999785796,2451614.399999999906868,2580912.439999999944121,11964698.499999998137355
FS( 161 ),2595217.910000000149012,2481719.000000000000000,1878028.919999999925494,2570158.399999999906868,2572317.200000000186265,12097441.429999999701977
FS( 162 ),2618473.520000000018626,2533213.100000000093132,1877109.539999999804422,2538801.600000000093132,2606488.520000000018626,12174086.279999999329448
FS( 163 ),2646128.840000000316650,2550377.800000000279397,1890900.239999999990687,2567481.600000000093132,2613197.000000000000000,12268085.480000000447035
FS( 164 ),2650528.550000000279397,2519924.299999999813735,1874964.319999999832362,2600368.000000000000000,2611100.599999999627471,12256885.769999999552965
FS( 165 ),2633558.239999999757856,2508296.600000000093132,1878641.839999999618158,2589278.399999999906868,2625146.479999999981374,12234921.560000000521541
FS( 166 ),2675041.220000000204891,2772965.200000000186265,1901319.879999999888241,2601897.600000000093132,2648206.879999999888241,12599430.780000001192093
FS( 167 ),2693268.590000000316650,2767428.199999999720603,1888755.019999999785796,2584307.199999999720603,2617180.160000000149012,12550939.169999999925494
FS( 168 ),2655556.790000000037253,2701537.899999999906868,1858721.939999999711290,2574747.199999999720603,2590136.599999999627471,12380700.429999997839332
FS( 169 ),2610931.160000000149012,2665547.399999999906868,1815817.539999999804422,2608780.799999999813735,2604392.120000000111759,12305469.019999999552965
FS( 170 ),2620987.640000000130385,2638416.100000000093132,1834511.599999999860302,2586984.000000000000000,2635628.479999999981374,12316527.820000000298023
FS( 171 ),2572590.830000000074506,2555361.100000000093132,1794671.799999999813735,2570540.799999999813735,2534791.639999999664724,12027956.169999998062849
FS( 172 ),2437456.879999999888241,2465108.000000000465661,1728476.439999999711290,2462321.600000000093132,2437518.679999999701977,11530881.599999999627471
FS( 173 ),2524822.550000000279397,2486702.299999999813735,1699669.199999999720603,2494060.799999999813735,2515085.479999999981374,11720340.329999998211861
FS( 174 ),2535507.560000000055879,2502759.600000000093132,1712540.519999999785796,2509739.199999999720603,2508377.000000000000000,11768923.879999998956919
FS( 175 ),2436828.350000000093132,2367103.100000000093132,1677297.619999999646097,2389665.600000000093132,2386995.439999999944121,11257890.109999999403954
FS( 176 ),2484596.629999999888241,2433547.100000000093132,1681588.059999999823049,2504385.599999999627471,2438566.879999999888241,11542684.269999999552965
FS( 177 ),2551849.340000000316650,2482272.700000000186265,1698749.819999999832362,2523123.200000000186265,2483639.479999999981374,11739634.540000002831221
FS( 178 ),2591446.729999999981374,2461785.800000000279397,1682507.439999999711290,2518916.800000000279397,2481123.799999999813735,11735780.570000000298023
FS( 179 ),2645500.310000000055879,2512726.200000000186265,1682507.439999999711290,2598838.399999999906868,2533114.520000000018626,11972686.869999999180436
FS( 180 ),2770577.779999999795109,2542626.000000000000000,1715911.579999999841675,2611457.600000000093132,2563512.319999999832362,12204085.279999999329448
FS( 181 ),2786291.029999999795109,2522692.800000000279397,1725105.379999999888241,2611840.000000000000000,2554497.799999999813735,12200427.010000001639128
FS( 182 ),2769320.720000000204891,2564774.000000000000000,1684959.119999999646097,2580865.599999999627471,2557852.040000000037253,12157771.480000000447035
FS( 183 ),2722180.970000000204891,2543733.399999999906868,1671781.339999999618158,2564040.000000000000000,2524728.919999999925494,12026464.630000000819564
FS( 184 ),2698925.359999999869615,2535981.600000000093132,1672394.259999999776483,2567099.199999999720603,2523680.719999999739230,11998081.140000000596046
FS( 185 ),2765549.540000000037253,2642845.699999999720603,1681588.059999999823049,2606486.399999999906868,2577138.919999999925494,12273608.619999999180436
FS( 186 ),2851029.620000000111759,2719256.300000000279397,1718056.799999999813735,2663464.000000000000000,2611939.160000000149012,12563745.879999998956919
FS( 187 ),2830916.660000000149012,2763552.299999999813735,1676991.159999999683350,2601515.200000000186265,2586363.080000000074506,12459338.400000000372529
FS( 188 ),2814574.879999999888241,2729222.899999999906868,1661668.159999999683350,2563275.200000000186265,2577348.560000000055879,12346089.700000001117587
FS( 189 ),2752978.939999999944121,2648936.400000000372529,1645732.239999999990687,2536124.799999999813735,2524100.000000000000000,12107872.379999998956919
FS( 190 ),2769320.720000000204891,2712058.199999999720603,1665958.599999999860302,2519681.600000000093132,2531856.679999999701977,12198875.799999998882413
FS( 191 ),2798233.100000000093132,2754693.100000000093132,1667184.439999999711290,2487560.000000000000000,2555126.719999999739230,12262797.359999999403954
FS( 192 ),2783776.910000000149012,2807848.300000000279397,1664119.839999999618158,2494825.599999999627471,2537936.239999999757856,12288506.890000000596046
