代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14010890.619999999180436
真實報酬,4010890.619999999180436

夏普值報酬,0.392389062000000
夏普值風險,0.107156031741333
夏普值,3.661847640524782

二次趨勢線,-2.555713852407343 x^2 + 19220.992419930211327 x + 10000000.000000000000000
二次加權預期報酬,18363.976374756279256
風險,296826.401018669537734
二次加權趨勢值,0.061867732491899
一次趨勢線,18738.922799873114855 x + 10000000.000000000000000
一次預期報酬,18738.922799873114855
一次風險,297377.210111364605837
一次趨勢值,0.063013984134344
找到最佳解世代,3039
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
FS( 31 ),10827773.759999999776483,10827773.759999999776483
FS( 32 ),10895847.259999999776483,10895847.259999999776483
FS( 33 ),10853641.689999999478459,10853641.689999999478459
FS( 34 ),10718856.160000000149012,10718856.160000000149012
FS( 35 ),10712048.810000000521541,10712048.810000000521541
FS( 36 ),10688903.820000000298023,10688903.820000000298023
FS( 37 ),10754254.379999998956919,10754254.379999998956919
FS( 38 ),10819604.939999999478459,10819604.939999999478459
FS( 39 ),10904016.080000000074506,10904016.080000000074506
FS( 40 ),10970728.109999999403954,10970728.109999999403954
FS( 41 ),10918992.250000000000000,10918992.250000000000000
FS( 42 ),11011572.209999999031425,11011572.209999999031425
FS( 43 ),10980258.400000000372529,10980258.400000000372529
FS( 44 ),11164056.849999999627471,11164056.849999999627471
FS( 45 ),11208985.359999999403954,11208985.359999999403954
FS( 46 ),11234853.289999999105930,11234853.289999999105930
FS( 47 ),11251190.929999999701977,11251190.929999999701977
FS( 48 ),11211708.299999998882413,11211708.299999998882413
FS( 49 ),11082368.650000000372529,11082368.650000000372529
FS( 50 ),11086453.060000000521541,11086453.060000000521541
FS( 51 ),11098706.289999999105930,11098706.289999999105930
FS( 52 ),11070115.419999999925494,11070115.419999999925494
FS( 53 ),11204900.949999999254942,11204900.949999999254942
FS( 54 ),11394145.279999999329448,11394145.279999999329448
FS( 55 ),11394145.279999999329448,11394145.279999999329448
FS( 56 ),11387337.929999999701977,11387337.929999999701977
FS( 57 ),11422736.150000000372529,11422736.150000000372529
FS( 58 ),11353301.179999999701977,11353301.179999999701977
FS( 59 ),11332879.129999998956919,11332879.129999998956919
FS( 60 ),11349216.769999999552965,11349216.769999999552965
FS( 61 ),11360108.529999999329448,11360108.529999999329448
FS( 62 ),11365554.410000000149012,11365554.410000000149012
FS( 63 ),11366915.879999998956919,11366915.879999998956919
FS( 64 ),11356024.119999999180436,11356024.119999999180436
FS( 65 ),11293396.500000000000000,11293396.500000000000000
FS( 66 ),11259359.750000000000000,11259359.750000000000000
FS( 67 ),11339686.480000000447035,11339686.480000000447035
FS( 68 ),11252552.400000000372529,11252552.400000000372529
FS( 69 ),11151803.619999999180436,11151803.619999999180436
FS( 70 ),11215792.709999999031425,11215792.709999999031425
FS( 71 ),11165418.320000000298023,11165418.320000000298023
FS( 72 ),11315180.019999999552965,11315180.019999999552965
FS( 73 ),11361470.000000000000000,11361470.000000000000000
FS( 74 ),11383253.519999999552965,11383253.519999999552965
FS( 75 ),11470387.599999999627471,11470387.599999999627471
FS( 76 ),11436350.849999999627471,11436350.849999999627471
FS( 77 ),11436350.849999999627471,11436350.849999999627471
FS( 78 ),11621510.769999999552965,11621510.769999999552965
FS( 79 ),11684138.389999998733401,11684138.389999998733401
FS( 80 ),11473110.539999999105930,11473110.539999999105930
FS( 81 ),11316541.490000000223517,11316541.490000000223517
FS( 82 ),11335602.070000000298023,11335602.070000000298023
FS( 83 ),11281143.269999999552965,11281143.269999999552965
FS( 84 ),11331517.660000000149012,11331517.660000000149012
FS( 85 ),11391422.339999999850988,11391422.339999999850988
FS( 86 ),11485363.769999999552965,11485363.769999999552965
FS( 87 ),11304288.259999999776483,11304288.259999999776483
FS( 88 ),11153165.089999999850988,11153165.089999999850988
FS( 89 ),11184478.900000000372529,11184478.900000000372529
FS( 90 ),11218515.650000000372529,11218515.650000000372529
FS( 91 ),11191286.250000000000000,11191286.250000000000000
FS( 92 ),11087814.529999999329448,11087814.529999999329448
FS( 93 ),10737916.740000000223517,10737916.740000000223517
FS( 94 ),10763784.669999999925494,10763784.669999999925494
FS( 95 ),10909461.959999999031425,10909461.959999999031425
FS( 96 ),11029271.320000000298023,11029271.320000000298023
FS( 97 ),11144996.269999999552965,11144996.269999999552965
FS( 98 ),10924438.129999998956919,10924438.129999998956919
FS( 99 ),11885635.949999999254942,11885635.949999999254942
FS( 100 ),11790333.049999998882413,11790333.049999998882413
FS( 101 ),11866575.369999999180436,11866575.369999999180436
FS( 102 ),12179713.469999998807907,12179713.469999998807907
FS( 103 ),12117085.849999999627471,12117085.849999999627471
FS( 104 ),11961878.269999999552965,11961878.269999999552965
FS( 105 ),12013614.129999998956919,12013614.129999998956919
FS( 106 ),12142953.779999999329448,12142953.779999999329448
FS( 107 ),12073518.810000000521541,12073518.810000000521541
FS( 108 ),12197412.580000000074506,12197412.580000000074506
FS( 109 ),12227364.919999999925494,12227364.919999999925494
FS( 110 ),12416609.250000000000000,12416609.250000000000000
FS( 111 ),12458814.820000000298023,12458814.820000000298023
FS( 112 ),12428862.480000000447035,12428862.480000000447035
FS( 113 ),12438392.769999999552965,12438392.769999999552965
FS( 114 ),12581347.119999999180436,12581347.119999999180436
FS( 115 ),12620829.750000000000000,12620829.750000000000000
FS( 116 ),12725662.939999999478459,12725662.939999999478459
FS( 117 ),12728385.879999998956919,12728385.879999998956919
FS( 118 ),12774675.859999999403954,12774675.859999999403954
FS( 119 ),12773314.389999998733401,12773314.389999998733401
FS( 120 ),12701156.480000000447035,12701156.480000000447035
FS( 121 ),12539141.549999998882413,12539141.549999998882413
FS( 122 ),12445200.119999999180436,12445200.119999999180436
FS( 123 ),12462899.230000000447035,12462899.230000000447035
FS( 124 ),12517358.029999999329448,12517358.029999999329448
FS( 125 ),12623552.689999999478459,12623552.689999999478459
FS( 126 ),12663035.320000000298023,12663035.320000000298023
FS( 127 ),12637167.389999998733401,12637167.389999998733401
FS( 128 ),12867255.820000000298023,12867255.820000000298023
FS( 129 ),12705240.889999998733401,12705240.889999998733401
FS( 130 ),12703879.419999999925494,12703879.419999999925494
FS( 131 ),12736554.699999999254942,12736554.699999999254942
FS( 132 ),12586793.000000000000000,12586793.000000000000000
FS( 133 ),12665758.259999999776483,12665758.259999999776483
FS( 134 ),12785567.619999999180436,12785567.619999999180436
FS( 135 ),12801905.259999999776483,12801905.259999999776483
FS( 136 ),13136826.879999998956919,13136826.879999998956919
FS( 137 ),13157248.929999999701977,13157248.929999999701977
FS( 138 ),12630360.039999999105930,12630360.039999999105930
FS( 139 ),12592238.879999998956919,12592238.879999998956919
FS( 140 ),12492851.570000000298023,12492851.570000000298023
FS( 141 ),12386656.910000000149012,12386656.910000000149012
FS( 142 ),12385295.439999999478459,12385295.439999999478459
FS( 143 ),11893804.769999999552965,11893804.769999999552965
FS( 144 ),12265486.080000000074506,12265486.080000000074506
FS( 145 ),12528249.789999999105930,12528249.789999999105930
FS( 146 ),12413886.310000000521541,12413886.310000000521541
FS( 147 ),12514635.089999999850988,12514635.089999999850988
FS( 148 ),12427501.009999999776483,12427501.009999999776483
FS( 149 ),12340366.929999999701977,12340366.929999999701977
FS( 150 ),12592238.879999998956919,12592238.879999998956919
FS( 151 ),12541864.490000000223517,12541864.490000000223517
FS( 152 ),12588154.469999998807907,12588154.469999998807907
FS( 153 ),12382572.500000000000000,12382572.500000000000000
FS( 154 ),12412524.839999999850988,12412524.839999999850988
FS( 155 ),12494213.039999999105930,12494213.039999999105930
FS( 156 ),12409801.900000000372529,12409801.900000000372529
FS( 157 ),12526888.320000000298023,12526888.320000000298023
FS( 158 ),12439754.240000000223517,12439754.240000000223517
FS( 159 ),12340366.929999999701977,12340366.929999999701977
FS( 160 ),12446561.589999999850988,12446561.589999999850988
FS( 161 ),12313137.529999999329448,12313137.529999999329448
FS( 162 ),12912184.330000000074506,12912184.330000000074506
FS( 163 ),12838664.949999999254942,12838664.949999999254942
FS( 164 ),12743362.049999998882413,12743362.049999998882413
FS( 165 ),12732470.289999999105930,12732470.289999999105930
FS( 166 ),12735193.230000000447035,12735193.230000000447035
FS( 167 ),12868617.289999999105930,12868617.289999999105930
FS( 168 ),13134103.939999999478459,13134103.939999999478459
FS( 169 ),13270250.939999999478459,13270250.939999999478459
FS( 170 ),13346493.259999999776483,13346493.259999999776483
FS( 171 ),13266166.529999999329448,13266166.529999999329448
FS( 172 ),13331517.089999999850988,13331517.089999999850988
FS( 173 ),13225322.429999999701977,13225322.429999999701977
FS( 174 ),13302926.219999998807907,13302926.219999998807907
FS( 175 ),13379168.539999999105930,13379168.539999999105930
FS( 176 ),13513954.070000000298023,13513954.070000000298023
FS( 177 ),13511231.129999998956919,13511231.129999998956919
FS( 178 ),13405036.469999998807907,13405036.469999998807907
FS( 179 ),13407759.410000000149012,13407759.410000000149012
FS( 180 ),13613341.379999998956919,13613341.379999998956919
FS( 181 ),13516677.009999999776483,13516677.009999999776483
FS( 182 ),13584750.509999999776483,13584750.509999999776483
FS( 183 ),13648739.599999999627471,13648739.599999999627471
FS( 184 ),13556159.639999998733401,13556159.639999998733401
FS( 185 ),13591557.859999999403954,13591557.859999999403954
FS( 186 ),13466302.619999999180436,13466302.619999999180436
FS( 187 ),13417289.699999999254942,13417289.699999999254942
FS( 188 ),13402313.529999999329448,13402313.529999999329448
FS( 189 ),13460856.740000000223517,13460856.740000000223517
FS( 190 ),13490809.080000000074506,13490809.080000000074506
FS( 191 ),13469025.560000000521541,13469025.560000000521541
FS( 192 ),13417289.699999999254942,13417289.699999999254942
FS( 193 ),13398229.119999999180436,13398229.119999999180436
FS( 194 ),13557521.109999999403954,13557521.109999999403954
FS( 195 ),13621510.199999999254942,13621510.199999999254942
FS( 196 ),13775356.310000000521541,13775356.310000000521541
FS( 197 ),13794416.889999998733401,13794416.889999998733401
FS( 198 ),13946901.529999999329448,13946901.529999999329448
FS( 199 ),13820284.820000000298023,13820284.820000000298023
FS( 200 ),13873382.150000000372529,13873382.150000000372529
FS( 201 ),13848875.689999999478459,13848875.689999999478459
FS( 202 ),13953708.879999998956919,13953708.879999998956919
FS( 203 ),13840706.869999999180436,13840706.869999999180436
FS( 204 ),13881550.969999998807907,13881550.969999998807907
FS( 205 ),14025866.789999999105930,14025866.789999999105930
FS( 206 ),14009529.150000000372529,14009529.150000000372529
FS( 207 ),14098024.699999999254942,14098024.699999999254942
FS( 208 ),14166098.199999999254942,14166098.199999999254942
FS( 209 ),14110277.929999999701977,14110277.929999999701977
FS( 210 ),14125254.099999999627471,14125254.099999999627471
FS( 211 ),14117085.279999999329448,14117085.279999999329448
FS( 212 ),14081687.060000000521541,14081687.060000000521541
FS( 213 ),14111639.400000000372529,14111639.400000000372529
FS( 214 ),14291353.439999999478459,14291353.439999999478459
FS( 215 ),14249147.869999999180436,14249147.869999999180436
FS( 216 ),14247786.400000000372529,14247786.400000000372529
FS( 217 ),14261401.099999999627471,14261401.099999999627471
FS( 218 ),14303606.669999999925494,14303606.669999999925494
FS( 219 ),14394825.160000000149012,14394825.160000000149012
FS( 220 ),14488766.589999999850988,14488766.589999999850988
FS( 221 ),14411162.799999998882413,14411162.799999998882413
FS( 222 ),14438392.199999999254942,14438392.199999999254942
FS( 223 ),14432946.320000000298023,14432946.320000000298023
FS( 224 ),14044927.369999999180436,14044927.369999999180436
FS( 225 ),14117085.279999999329448,14117085.279999999329448
FS( 226 ),14061265.009999999776483,14061265.009999999776483
FS( 227 ),14412524.269999999552965,14412524.269999999552965
FS( 228 ),14265485.509999999776483,14265485.509999999776483
FS( 229 ),14496935.410000000149012,14496935.410000000149012
FS( 230 ),14285907.560000000521541,14285907.560000000521541
FS( 231 ),14371680.169999999925494,14371680.169999999925494
FS( 232 ),14442476.609999999403954,14442476.609999999403954
FS( 233 ),14388017.810000000521541,14388017.810000000521541
FS( 234 ),14254593.750000000000000,14254593.750000000000000
FS( 235 ),14304968.139999998733401,14304968.139999998733401
FS( 236 ),14191966.129999998956919,14191966.129999998956919
FS( 237 ),14432946.320000000298023,14432946.320000000298023
FS( 238 ),14446561.019999999552965,14446561.019999999552965
FS( 239 ),14377126.049999998882413,14377126.049999998882413
FS( 240 ),14526887.750000000000000,14526887.750000000000000
FS( 241 ),14718855.019999999552965,14718855.019999999552965
FS( 242 ),14628998.000000000000000,14628998.000000000000000
FS( 243 ),14612660.359999999403954,14612660.359999999403954
FS( 244 ),14481959.240000000223517,14481959.240000000223517
FS( 245 ),14529610.689999999478459,14529610.689999999478459
FS( 246 ),14535056.570000000298023,14535056.570000000298023
FS( 247 ),14525526.279999999329448,14525526.279999999329448
FS( 248 ),14221918.469999998807907,14221918.469999998807907
FS( 249 ),14185158.779999999329448,14185158.779999999329448
FS( 250 ),14340366.359999999403954,14340366.359999999403954
FS( 251 ),14010890.619999999180436,14010890.619999999180436
