代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14168481.519999999552965
真實報酬,4168481.519999999552965

夏普值報酬,0.408148152000000
夏普值風險,0.097707395569262
夏普值,4.177249323063532

二次趨勢線,17.372489018551011 x^2 + 11790.400154894581647 x + 10000000.000000000000000
二次加權預期報酬,17615.974805782028852
風險,156622.595762768498389
二次加權趨勢值,0.112474031732078
一次趨勢線,15067.272944361902773 x + 10000000.000000000000000
一次預期報酬,15067.272944361902773
一次風險,199132.042662181804189
一次趨勢值,0.075664733525196
找到最佳解世代,1882
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),CAT[3](5),DD[7](4),INTC[11](2),MRK[17](9),MSFT[18](6),
FS( 31 ),1701048.880000000121072,1732110.760000000009313,1799820.820000000065193,1766348.440000000176951,1644072.079999999841675,1803114.190000000176951,10446519.169999999925494
FS( 32 ),1709405.830000000307336,1742614.239999999990687,1830765.250000000000000,1789758.709999999962747,1665253.879999999888241,1810956.040000000037253,10548757.949999999254942
FS( 33 ),1720866.790000000037253,1734130.659999999916181,1842330.339999999850988,1806372.450000000186265,1663135.699999999953434,1825594.160000000149012,10592434.099999999627471
FS( 34 ),1735909.300000000279397,1764227.170000000158325,1838892.070000000065193,1803351.770000000018626,1645484.199999999953434,1827685.320000000065193,10615553.830000000074506
FS( 35 ),1778410.360000000335276,1771498.810000000055879,1841080.060000000055879,1822986.190000000176951,1641953.899999999906868,1829253.690000000176951,10685187.009999999776483
FS( 36 ),1773396.189999999944121,1801191.340000000083819,1849519.449999999953434,1817700.000000000000000,1640541.779999999795109,1807819.299999999813735,10690172.059999998658895
FS( 37 ),1790587.630000000121072,1691914.750000000000000,1826701.839999999850988,1792779.389999999897555,1643719.050000000046566,1764950.519999999785796,10510657.179999999701977
FS( 38 ),1814464.630000000121072,1707467.979999999981374,1808260.209999999962747,1795800.070000000065193,1631716.029999999795109,1762859.359999999869615,10520572.279999999329448
FS( 39 ),1794169.180000000167638,1712315.739999999990687,1759186.719999999972060,1830537.889999999897555,1643012.989999999757856,1867940.149999999906868,10607166.669999999925494
FS( 40 ),1807540.300000000279397,1702418.229999999981374,1741057.660000000149012,1839599.929999999934807,1601002.419999999925494,1859575.510000000009313,10551198.049999998882413
FS( 41 ),1762412.770000000251457,1698176.439999999944121,1756373.589999999850988,1851682.650000000139698,1609122.109999999869615,1856961.560000000055879,10534733.120000001043081
FS( 42 ),1790587.630000000121072,1686461.020000000018626,1747621.629999999888241,1850172.310000000055879,1597119.089999999850988,1858007.139999999897555,10529972.820000000298023
FS( 43 ),1782946.990000000223517,1683835.149999999906868,1756998.729999999981374,1847906.800000000046566,1591823.639999999897555,1851210.869999999878928,10514726.179999999701977
FS( 44 ),1773873.730000000214204,1688480.920000000158325,1733868.550000000046566,1837334.419999999925494,1596766.059999999823049,1857484.350000000093132,10487812.029999999329448
FS( 45 ),1796795.650000000139698,1694540.620000000111759,1709488.089999999850988,1832048.230000000214204,1614064.529999999795109,1878918.739999999757856,10525859.860000001266599
FS( 46 ),1792259.020000000251457,1697772.459999999962747,1723553.739999999990687,1814679.320000000065193,1601355.449999999953434,1915514.040000000037253,10545138.030000001192093
FS( 47 ),1776977.740000000223517,1701206.290000000037253,1747621.629999999888241,1831293.060000000055879,1622537.250000000000000,1996023.699999999953434,10675663.669999999925494
FS( 48 ),1748086.570000000065193,1689692.860000000102445,1721365.750000000000000,1816944.830000000074506,1617594.829999999841675,1960473.979999999981374,10554162.820000000298023
FS( 49 ),1775783.890000000363216,1701610.270000000018626,1765750.690000000176951,1819210.340000000083819,1652191.769999999785796,1975112.100000000093132,10689663.060000000521541
FS( 50 ),1770530.950000000186265,1699792.360000000102445,1765438.119999999878928,1825251.700000000186265,1659252.369999999878928,1965179.090000000083819,10685448.589999999850988
FS( 51 ),1773873.730000000214204,1693732.659999999916181,1751059.900000000139698,1844886.120000000111759,1680081.139999999897555,1953154.919999999925494,10696792.470000000670552
FS( 52 ),1776022.659999999916181,1700802.310000000055879,1762624.989999999990687,1857724.010000000242144,1671255.389999999897555,1994978.119999999878928,10763411.480000000447035
FS( 53 ),1801571.050000000279397,1691914.750000000000000,1785130.030000000027940,1841865.440000000176951,1688200.829999999841675,1987659.060000000055879,10796345.160000000149012
FS( 54 ),1790826.400000000139698,1691510.770000000018626,1790756.290000000037253,1851682.650000000139698,1697026.579999999841675,1978248.840000000083819,10800055.529999999329448
FS( 55 ),1769098.330000000307336,1697570.470000000204891,1774815.219999999972060,1857724.010000000242144,1694908.399999999906868,1944790.280000000027940,10738910.710000000894070
FS( 56 ),1772202.340000000083819,1690096.840000000083819,1767313.540000000037253,1865275.709999999962747,1697026.579999999841675,1920741.940000000176951,10712660.949999999254942
FS( 57 ),1756682.290000000037253,1670099.830000000074506,1747621.629999999888241,1854703.330000000074506,1699144.760000000009313,1938516.799999999813735,10666772.640000000596046
FS( 58 ),1777694.050000000279397,1658788.390000000130385,1764187.839999999850988,1905299.719999999972060,1716443.229999999748543,1955246.079999999841675,10777663.310000000521541
FS( 59 ),1773157.420000000158325,1674139.629999999888241,1765438.119999999878928,1802596.600000000093132,1727740.189999999711290,1964133.510000000009313,10707209.469999998807907
FS( 60 ),1786528.540000000037253,1704842.110000000102445,1736369.109999999869615,1793534.560000000055879,1753158.349999999860302,1967793.040000000037253,10742229.710000000894070
FS( 61 ),1819478.800000000279397,1704034.149999999906868,1726679.440000000176951,1785982.859999999869615,1750334.109999999869615,1952632.130000000121072,10739145.490000000223517
FS( 62 ),1862218.630000000121072,1710295.840000000083819,1740432.520000000018626,1804862.109999999869615,1759159.859999999869615,1965701.880000000121072,10842674.839999999850988
FS( 63 ),1896840.280000000027940,1708881.909999999916181,1738869.670000000158325,1800331.090000000083819,1759159.859999999869615,1993409.750000000000000,10897496.560000000521541
FS( 64 ),1880365.150000000139698,1701812.260000000009313,1779816.339999999850988,1789758.709999999962747,1771515.909999999916181,2010139.030000000027940,10933411.399999998509884
FS( 65 ),1931700.700000000186265,1694136.640000000130385,1723553.739999999990687,1778431.160000000149012,1756688.649999999906868,2002819.970000000204891,10887334.860000001266599
FS( 66 ),1927164.070000000065193,1696156.540000000037253,1731055.420000000158325,1792779.389999999897555,1740802.300000000046566,2035755.739999999757856,10923717.460000000894070
FS( 67 ),1937192.409999999916181,1705044.099999999860302,1718552.619999999878928,1832048.230000000214204,1723150.800000000046566,1986613.479999999981374,10902605.640000000596046
FS( 68 ),1910211.400000000139698,1727061.010000000009313,1747934.199999999953434,1874337.750000000000000,1743626.539999999804422,2005433.919999999925494,11008608.820000000298023
FS( 69 ),1932178.240000000223517,1738978.420000000158325,1816074.459999999962747,1882644.620000000111759,1749628.050000000046566,2023731.570000000065193,11143239.360000001266599
FS( 70 ),1929074.230000000214204,1745644.090000000083819,1859834.260000000009313,1874337.750000000000000,1745038.659999999916181,1992364.169999999925494,11146297.160000000149012
FS( 71 ),1914748.030000000027940,1722617.229999999981374,1827326.979999999981374,1844130.950000000186265,1728093.219999999972060,1966224.669999999925494,11003145.080000000074506
FS( 72 ),1912121.560000000055879,1728474.939999999944121,1814511.609999999869615,1847906.800000000046566,1705852.329999999841675,1945835.859999999869615,10954707.099999997764826
FS( 73 ),1891109.800000000279397,1738170.459999999962747,1848269.170000000158325,1834313.739999999990687,1707970.510000000009313,1918127.989999999757856,10937965.670000001788139
FS( 74 ),1901615.680000000167638,1765035.129999999888241,1851707.440000000176951,1846396.459999999962747,1697732.639999999897555,1928061.000000000000000,10990552.349999999627471
FS( 75 ),1893019.960000000195578,1755743.590000000083819,1878588.459999999962747,1862255.030000000027940,1691025.069999999832362,1909240.560000000055879,10989876.669999999925494
FS( 76 ),1878693.760000000242144,1780992.340000000083819,1936726.479999999981374,1899258.359999999869615,1726328.069999999832362,1912377.299999999813735,11134380.309999998658895
FS( 77 ),1857204.460000000195578,1768266.970000000204891,1954230.400000000139698,1898503.190000000176951,1722444.739999999757856,1895125.229999999981374,11095778.990000002086163
FS( 78 ),1872724.510000000242144,1796343.580000000074506,1948916.709999999962747,1892461.830000000074506,1741155.329999999841675,1923878.679999999934807,11175484.640000000596046
FS( 79 ),1944594.280000000027940,1817148.549999999813735,1953292.690000000176951,1912096.250000000000000,1742567.449999999953434,1914468.459999999962747,11284171.679999999701977
FS( 80 ),1936476.100000000093132,1836337.599999999860302,1977360.579999999841675,1920403.120000000111759,1744332.599999999860302,1938516.799999999813735,11353430.800000000745058
FS( 81 ),1923582.520000000251457,1841185.360000000102445,1996739.920000000158325,1940792.709999999962747,1755276.529999999795109,1957337.239999999757856,11414918.280000001192093
FS( 82 ),1910450.170000000158325,1835529.640000000130385,1985174.829999999841675,1933241.010000000242144,1757747.739999999757856,1949495.389999999897555,11371642.780000001192093
FS( 83 ),1891587.340000000083819,1835529.640000000130385,1985174.829999999841675,1952120.260000000242144,1763043.189999999711290,1949495.389999999897555,11376954.650000000372529
FS( 84 ),1913792.950000000186265,1834317.699999999953434,1976422.869999999878928,1960427.130000000121072,1766926.519999999785796,1955768.869999999878928,11407660.039999999105930
FS( 85 ),1886811.939999999944121,1815330.640000000130385,1952667.550000000046566,1947589.239999999990687,1747156.839999999850988,1942699.119999999878928,11292259.330000000074506
FS( 86 ),1845265.960000000195578,1814320.689999999944121,1943915.589999999850988,1946834.070000000065193,1755629.559999999823049,1929629.369999999878928,11235599.240000000223517
FS( 87 ),1855294.300000000279397,1790485.870000000111759,1940477.320000000065193,1922668.630000000121072,1755982.589999999850988,1888851.750000000000000,11153764.460000000894070
FS( 88 ),1842161.950000000186265,1796343.580000000074506,1918909.989999999990687,1932485.840000000083819,1769044.699999999953434,1903489.869999999878928,11162439.929999999701977
FS( 89 ),1853861.680000000167638,1800585.370000000111759,1921097.979999999981374,1920403.120000000111759,1757747.739999999757856,1869508.519999999785796,11123208.410000000149012
FS( 90 ),1830223.450000000186265,1812098.799999999813735,1896404.949999999953434,1911341.080000000074506,1748215.929999999934807,1857484.350000000093132,11055772.560000000521541
FS( 91 ),1817807.409999999916181,1828258.000000000000000,1901093.500000000000000,1927954.820000000065193,1760925.010000000009313,1884146.639999999897555,11120189.380000000819564
FS( 92 ),1827358.210000000195578,1815734.620000000111759,1864835.379999999888241,1925689.310000000055879,1875306.729999999748543,1828730.899999999906868,11137659.150000000372529
FS( 93 ),1863890.020000000251457,1829267.949999999953434,1898592.940000000176951,2001961.480000000214204,1871070.369999999878928,1870554.100000000093132,11335340.859999999403954
FS( 94 ),1901138.140000000363216,1866636.099999999860302,1916409.430000000167638,2014044.200000000186265,1854124.929999999934807,1921787.519999999785796,11474144.320000000298023
FS( 95 ),1890632.260000000242144,1858556.500000000000000,1917972.280000000027940,2004226.989999999990687,1853418.869999999878928,1928583.790000000037253,11453394.690000001341105
FS( 96 ),1844310.880000000121072,1847043.070000000065193,1917347.140000000130385,1952120.260000000242144,1834002.219999999972060,1901921.500000000000000,11296749.070000000298023
FS( 97 ),1872963.280000000027940,1830075.909999999916181,2044563.129999999888241,1932485.840000000083819,1829765.859999999869615,1890942.910000000149012,11400800.929999999701977
FS( 98 ),1881320.230000000214204,1810684.870000000111759,2033310.609999999869615,1911341.080000000074506,1812820.419999999925494,1878395.949999999953434,11327877.160000000149012
FS( 99 ),1897079.050000000279397,1787254.030000000027940,1990801.089999999850988,1897748.020000000018626,1821646.169999999925494,1885192.220000000204891,11279724.580000000074506
FS( 100 ),1862696.170000000158325,1740594.340000000083819,1932350.500000000000000,1873582.580000000074506,1835061.309999999823049,1924401.470000000204891,11168690.370000001043081
FS( 101 ),1877738.680000000167638,1844013.220000000204891,1918597.420000000158325,1866786.050000000046566,1854477.959999999962747,1883623.850000000093132,11245241.179999999701977
FS( 102 ),1727791.120000000111759,1867848.040000000037253,1916722.000000000000000,1880379.109999999869615,1866480.979999999748543,1896170.810000000055879,11155396.060000000521541
FS( 103 ),1708211.980000000214204,1830479.890000000130385,1991113.660000000149012,1863765.370000000111759,1843181.000000000000000,1916559.619999999878928,11153315.519999999552965
FS( 104 ),1704869.200000000186265,1882593.310000000055879,2017056.969999999972060,1868296.389999999897555,1889074.899999999906868,1927015.419999999925494,11288910.189999999478459
FS( 105 ),1707495.670000000158325,1896934.599999999860302,2025808.930000000167638,1853192.989999999990687,1870011.279999999795109,1978248.840000000083819,11331696.310000000521541
FS( 106 ),1710838.450000000186265,1866838.090000000083819,1989238.239999999990687,1808637.959999999962747,1838591.609999999869615,1907149.399999999906868,11121297.750000000000000
FS( 107 ),1735431.760000000242144,1868454.010000000009313,2001428.469999999972060,1798820.750000000000000,1889074.899999999906868,1900353.130000000121072,11193567.020000001415610
FS( 108 ),1748564.110000000335276,1857546.549999999813735,1996427.349999999860302,1776165.650000000139698,1889780.959999999962747,1872645.260000000009313,11141133.880000000819564
FS( 109 ),1748325.340000000083819,1895318.679999999934807,2029247.199999999953434,1811658.639999999897555,1898253.679999999934807,1891465.699999999953434,11274273.239999998360872
FS( 110 ),1772679.880000000121072,1916325.640000000130385,2029872.339999999850988,1828272.380000000121072,1933556.679999999934807,1911331.720000000204891,11392042.640000000596046
FS( 111 ),1804436.290000000037253,1908852.010000000009313,2040499.719999999972060,1834313.739999999990687,1937793.039999999804422,1923878.679999999934807,11449777.479999998584390
FS( 112 ),1828313.290000000037253,1918143.549999999813735,2084884.660000000149012,1847906.800000000046566,1966388.469999999972060,1943221.910000000149012,11588862.679999999701977
FS( 113 ),1828074.520000000251457,1942584.340000000083819,2064255.040000000270084,1853948.160000000149012,1941676.369999999878928,1958905.609999999869615,11589448.039999999105930
FS( 114 ),1857204.460000000195578,1941372.399999999906868,2061129.339999999850988,1865275.709999999962747,1945206.669999999925494,1966224.669999999925494,11636417.250000000000000
FS( 115 ),1855533.070000000065193,1950259.959999999962747,2079258.399999999906868,1869806.730000000214204,1957209.689999999711290,1966747.459999999962747,11678819.309999998658895
FS( 116 ),1862457.400000000139698,1950461.949999999953434,2082384.100000000093132,1869806.730000000214204,1966035.439999999711290,1956291.660000000149012,11687441.280000001192093
FS( 117 ),1833088.689999999944121,1943392.299999999813735,2067068.169999999925494,1850172.310000000055879,1943088.489999999757856,1960996.769999999785796,11597810.730000000447035
FS( 118 ),1811838.159999999916181,1957733.590000000083819,2098325.169999999925494,1868296.389999999897555,1970271.800000000046566,1973543.729999999981374,11680012.839999999850988
FS( 119 ),1791781.480000000214204,1969449.010000000009313,2090510.919999999925494,1844130.950000000186265,1978038.459999999962747,1985567.899999999906868,11659482.720000000670552
FS( 120 ),1799422.120000000111759,1965813.189999999944121,2089885.780000000027940,1859989.520000000018626,1983333.909999999916181,1970406.989999999757856,11668855.509999999776483
FS( 121 ),1780798.060000000055879,1947432.099999999860302,2102076.009999999776483,1859234.350000000093132,1973802.099999999860302,1962565.139999999897555,11625911.759999999776483
FS( 122 ),1764800.469999999972060,1963389.310000000055879,2128957.030000000260770,1872827.410000000149012,1986511.179999999934807,1958905.609999999869615,11675395.009999999776483
FS( 123 ),1799899.659999999916181,1953289.810000000055879,2159276.320000000298023,1869806.730000000214204,2000279.349999999860302,1979294.419999999925494,11761850.290000000968575
FS( 124 ),1795124.260000000242144,1958743.540000000037253,2168340.850000000558794,1869806.730000000214204,2011929.339999999850988,2002819.970000000204891,11806768.690000001341105
FS( 125 ),1800138.430000000167638,1945412.199999999953434,2156150.620000000111759,1850172.310000000055879,1991806.629999999888241,1975112.100000000093132,11718796.290000000968575
FS( 126 ),1812076.930000000167638,1959753.489999999990687,2201785.839999999850988,1858479.179999999934807,2014400.550000000046566,2008047.869999999878928,11854547.859999999403954
FS( 127 ),1815897.250000000000000,1946624.140000000130385,2221790.320000000298023,1850172.310000000055879,2008046.010000000009313,1992364.169999999925494,11834898.200000001117587
FS( 128 ),1810405.540000000037253,1971468.909999999916181,2215851.490000000223517,1859989.520000000018626,2021461.149999999906868,1994455.329999999841675,11873635.940000001341105
FS( 129 ),1809450.460000000195578,1960359.459999999962747,2203973.830000000074506,1860744.690000000176951,2028874.779999999795109,1981385.579999999841675,11844792.800000000745058
FS( 130 ),1811121.850000000093132,1954299.760000000009313,2218039.479999999515712,1875848.090000000083819,2023579.329999999841675,1977203.260000000009313,11860095.769999999552965
FS( 131 ),1828552.060000000055879,1956117.670000000158325,2192721.310000000521541,1867541.219999999972060,2001338.439999999711290,1987659.060000000055879,11833933.760000001639128
FS( 132 ),1830462.219999999972060,1955713.689999999944121,2182406.500000000000000,1869806.730000000214204,2005574.800000000046566,2000728.810000000055879,11844696.750000001862645
FS( 133 ),1810166.770000000251457,1931272.899999999906868,2169591.129999999888241,1855458.500000000000000,1969565.739999999757856,1980862.790000000037253,11716921.829999998211861
FS( 134 ),1789871.320000000065193,1926829.120000000111759,2165527.719999999739230,1850172.310000000055879,1966388.469999999972060,1970929.780000000027940,11669722.720000000670552
FS( 135 ),1796795.650000000139698,1932484.840000000083819,2181156.219999999739230,1865275.709999999962747,1986158.149999999906868,1989227.429999999934807,11751102.000000000000000
FS( 136 ),1812554.469999999972060,1947432.099999999860302,2210850.370000000111759,1874337.750000000000000,1989688.449999999953434,2067645.929999999934807,11902513.069999998435378
FS( 137 ),1812076.930000000167638,1939958.470000000204891,2208349.810000000521541,1889441.150000000139698,1976626.339999999850988,2053007.810000000055879,11879464.510000001639128
FS( 138 ),1803481.210000000195578,1943392.299999999813735,2236481.110000000335276,1920403.120000000111759,1962505.139999999897555,2108423.549999999813735,11974690.429999999701977
FS( 139 ),1817568.640000000363216,1967227.120000000111759,2234918.259999999776483,1900768.700000000186265,1929673.349999999860302,2099536.119999999646097,11949696.189999999478459
FS( 140 ),1839296.710000000195578,1956319.659999999916181,2232730.270000000484288,1896992.850000000093132,1898606.709999999962747,2117310.979999999981374,11941261.179999999701977
FS( 141 ),1859114.620000000111759,1991465.920000000158325,2254297.600000000558794,1922668.630000000121072,1948383.939999999711290,2108946.340000000316650,12084881.050000000745058
FS( 142 ),1841206.870000000111759,1975508.709999999962747,2200222.990000000223517,1916627.270000000018626,1977685.429999999934807,2080192.889999999897555,11991448.160000000149012
FS( 143 ),1833327.460000000195578,1988638.060000000055879,2136146.139999999664724,1911341.080000000074506,1967447.559999999823049,2057712.919999999925494,11894617.220000000670552
FS( 144 ),1831178.530000000027940,2007625.120000000111759,2145523.240000000223517,1934751.350000000093132,1976273.309999999823049,2106855.179999999701977,12002210.730000000447035
FS( 145 ),1830939.760000000242144,2007221.140000000130385,2163027.160000000149012,1949099.580000000074506,2004162.679999999934807,2142927.689999999944121,12097382.009999999776483
FS( 146 ),1847653.659999999916181,2016108.699999999953434,2212725.790000000037253,1962692.639999999897555,1990041.479999999748543,2165407.660000000149012,12194633.929999999701977
FS( 147 ),1850757.670000000158325,2073069.879999999888241,2221165.179999999701977,1955140.940000000176951,1993218.750000000000000,2161748.129999999888241,12255104.550000000745058
FS( 148 ),1837864.090000000083819,2071453.959999999962747,2206161.820000000298023,1994409.780000000027940,1984393.000000000000000,2143973.270000000018626,12238259.919999999925494
FS( 149 ),1813987.090000000083819,2063778.340000000083819,2167403.139999999664724,1975530.530000000027940,1981215.729999999748543,2084375.209999999962747,12086294.039999999105930
FS( 150 ),1785573.460000000195578,2042367.399999999906868,2133645.580000000074506,2000451.139999999897555,1948383.939999999711290,2080715.679999999934807,11991141.199999999254942
FS( 151 ),1785573.460000000195578,2068222.120000000111759,2139896.979999999515712,2032168.280000000027940,1943088.489999999757856,2081761.260000000009313,12050714.589999999850988
FS( 152 ),1808972.920000000158325,2080341.520000000018626,2179905.939999999478459,2037454.469999999972060,2015812.669999999925494,2115742.609999999869615,12238234.129999998956919
FS( 153 ),1785573.460000000195578,2065596.250000000000000,2123330.770000000484288,1995920.120000000111759,1971683.919999999925494,2057712.919999999925494,11999821.439999999478459
FS( 154 ),1772441.110000000335276,2049235.060000000055879,2089885.780000000027940,1977040.870000000111759,1974155.129999999888241,2049871.070000000065193,11912633.019999999552965
FS( 155 ),1779604.210000000195578,2076099.729999999981374,2114266.240000000223517,2005737.330000000074506,1961799.079999999841675,2048302.699999999953434,11985813.289999999105930
FS( 156 ),1766710.630000000121072,2070444.010000000009313,2117391.939999999478459,2021595.900000000139698,1978744.519999999785796,2078101.729999999981374,12032992.730000000447035
FS( 157 ),1770292.180000000167638,2079129.580000000074506,2158963.750000000000000,2033678.620000000111759,1986158.149999999906868,2112083.080000000074506,12140309.359999999403954
FS( 158 ),1790587.630000000121072,2077109.679999999934807,2168653.419999999925494,2041985.489999999990687,1993571.779999999795109,2091694.269999999785796,12163606.269999999552965
FS( 159 ),1811838.159999999916181,2073271.870000000111759,2169903.700000000186265,2035188.959999999962747,2021108.119999999878928,2088034.739999999757856,12199349.550000000745058
FS( 160 ),1813748.320000000065193,2094480.820000000065193,2178655.660000000149012,2026882.090000000083819,2039465.679999999934807,2090648.690000000176951,12243885.259999999776483
FS( 161 ),1789871.320000000065193,2088219.129999999888241,2197722.429999999701977,2020085.560000000055879,2029933.869999999878928,2074964.989999999757856,12200801.299999998882413
FS( 162 ),1936714.870000000111759,2126597.230000000447035,2191783.600000000558794,2020085.560000000055879,2030992.959999999962747,2083852.419999999925494,12390030.640000002458692
FS( 163 ),1951041.070000000065193,2114679.820000000298023,2158963.750000000000000,1983082.230000000214204,2020755.089999999850988,2086466.369999999878928,12314992.330000000074506
FS( 164 ),2026492.390000000363216,2105994.250000000000000,2105201.709999999962747,1988368.419999999925494,2000985.409999999916181,2136654.209999999962747,12363700.390000000596046
FS( 165 ),2020523.140000000363216,2127001.209999999962747,2167715.709999999962747,1999695.969999999972060,2073003.529999999795109,2117833.770000000018626,12505777.330000000074506
FS( 166 ),2012882.500000000000000,2129021.110000000335276,2221165.179999999701977,2015554.540000000037253,2067355.050000000046566,2112083.080000000074506,12558065.460000000894070
