代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12593908.939999999478459
真實報酬,2593908.939999999478459

夏普值報酬,0.250690894000000
夏普值風險,0.098327986530170
夏普值,2.549537551275708

二次趨勢線,58.511445280174556 x^2 + -1201.614022489729905 x + 10000000.000000000000000
二次加權預期報酬,18497.239221835701755
風險,278473.607202198531013
二次加權趨勢值,0.066423670837879
一次趨勢線,9878.947478350317397 x + 10000000.000000000000000
一次預期報酬,9878.947478350317397
一次風險,501838.733778469555546
一次趨勢值,0.019685502161161
找到最佳解世代,1698
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](3),
FS( 39 ),5240065.479999999515712,4685046.659999999217689,9925112.139999998733401
FS( 40 ),5206953.000000000000000,4675857.040000000037253,9882810.039999999105930
FS( 41 ),5254552.189999999478459,4717628.040000000037253,9972180.230000000447035
FS( 42 ),5254552.189999999478459,4712615.519999999552965,9967167.709999999031425
FS( 43 ),5349750.570000000298023,4644111.080000000074506,9993861.650000000372529
FS( 44 ),5368376.339999999850988,4599833.820000000298023,9968210.160000000149012
FS( 45 ),5447018.479999999515712,4605681.759999999776483,10052700.239999998360872
FS( 46 ),5440809.889999999664724,4595656.719999999739230,10036466.609999999403954
FS( 47 ),5449088.009999998845160,4602340.080000000074506,10051428.089999999850988
FS( 48 ),5492548.139999999664724,4581454.580000000074506,10074002.719999998807907
FS( 49 ),5641554.299999999813735,4611529.700000000186265,10253084.000000000000000
FS( 50 ),5608441.820000000298023,4700919.639999999664724,10309361.460000000894070
FS( 51 ),5564981.689999999478459,4680034.139999999664724,10245015.829999998211861
FS( 52 ),5629137.119999999180436,4700084.219999999739230,10329221.339999999850988
FS( 53 ),5728474.559999999590218,4659984.059999999590218,10388458.619999999180436
FS( 54 ),5616719.939999999478459,4617377.639999999664724,10234097.579999998211861
FS( 55 ),5403558.349999999627471,4553050.299999999813735,9956608.649999998509884
FS( 56 ),5573259.809999999590218,4616542.219999999739230,10189802.029999999329448
FS( 57 ),5536008.269999999552965,4649123.599999999627471,10185131.869999999180436
FS( 58 ),5521521.559999999590218,4690059.179999999701977,10211580.739999998360872
FS( 59 ),5691223.019999999552965,4700919.639999999664724,10392142.660000000149012
FS( 60 ),5593955.109999999403954,4670844.519999999552965,10264799.629999998956919
FS( 61 ),5653971.479999999515712,4715957.200000000186265,10369928.679999999701977
FS( 62 ),5705709.729999999515712,4761905.299999999813735,10467615.029999999329448
FS( 63 ),5701570.669999999925494,4775272.019999999552965,10476842.689999999478459
FS( 64 ),5730544.089999999850988,4684211.240000000223517,10414755.330000000074506
FS( 65 ),5647762.889999999664724,4698413.379999999888241,10346176.269999999552965
FS( 66 ),5533938.739999999292195,4648288.179999999701977,10182226.919999998062849
FS( 67 ),5490478.609999999403954,4625731.839999999850988,10116210.449999999254942
FS( 68 ),5567051.219999998807907,4642440.240000000223517,10209491.459999999031425
FS( 69 ),5593955.109999999403954,4690059.179999999701977,10284014.289999999105930
FS( 70 ),5687083.959999999962747,4696742.540000000037253,10383826.500000000000000
FS( 71 ),5666388.659999999217689,4602340.080000000074506,10268728.739999998360872
FS( 72 ),5697431.609999999403954,4582290.000000000000000,10279721.609999999403954
FS( 73 ),5658110.539999999105930,4543860.679999999701977,10201971.219999998807907
FS( 74 ),5693292.549999999813735,4530493.959999999962747,10223786.509999999776483
FS( 75 ),5672597.250000000000000,4593150.459999999962747,10265747.710000000894070
FS( 76 ),5807116.699999999254942,4717628.040000000037253,10524744.739999998360872
FS( 77 ),5778143.280000000260770,4716792.620000000111759,10494935.900000000372529
FS( 78 ),5842298.709999999962747,4761905.299999999813735,10604204.009999999776483
FS( 79 ),5823672.939999999478459,4690059.179999999701977,10513732.119999999180436
FS( 80 ),5716057.379999999888241,4662490.320000000298023,10378547.699999999254942
FS( 81 ),5660180.070000000298023,4639933.979999999515712,10300114.050000000745058
FS( 82 ),5596024.639999999664724,4688388.339999999850988,10284412.980000000447035
FS( 83 ),5556703.570000000298023,4757728.200000000186265,10314431.769999999552965
FS( 84 ),5641554.299999999813735,4776107.440000000409782,10417661.740000000223517
FS( 85 ),5552564.509999998845160,4776107.440000000409782,10328671.949999999254942
FS( 86 ),5513243.439999999478459,4767753.240000000223517,10280996.679999999701977
FS( 87 ),5447018.479999999515712,4740184.379999999888241,10187202.859999999403954
FS( 88 ),5387002.109999999403954,4737678.120000000111759,10124680.230000000447035
FS( 89 ),5411836.469999998807907,4729323.919999999925494,10141160.389999998733401
FS( 90 ),5440809.889999999664724,4798663.779999999329448,10239473.669999998062849
FS( 91 ),5409766.939999999478459,4773601.179999999701977,10183368.119999999180436
FS( 92 ),5564981.689999999478459,4751044.839999999850988,10316026.529999999329448
FS( 93 ),5579468.399999999441206,4736842.700000000186265,10316311.099999999627471
FS( 94 ),5596024.639999999664724,4735171.859999999403954,10331196.500000000000000
FS( 95 ),5697431.609999999403954,4766082.399999999441206,10463514.009999997913837
FS( 96 ),5666388.659999999217689,4803676.299999999813735,10470064.959999999031425
FS( 97 ),5649832.419999999925494,4862155.700000000186265,10511988.120000001043081
FS( 98 ),5641554.299999999813735,4910610.059999999590218,10552164.359999999403954
FS( 99 ),5718126.909999999217689,4952381.059999999590218,10670507.969999998807907
FS( 100 ),5581537.929999999701977,4922305.940000000409782,10503843.870000001043081
FS( 101 ),5447018.479999999515712,4873016.159999999217689,10320034.639999998733401
FS( 102 ),5529799.679999999701977,4970760.299999999813735,10500559.980000000447035
FS( 103 ),5436670.829999999143183,4964912.359999999403954,10401583.189999997615814
FS( 104 ),5401488.820000000298023,4945697.700000000186265,10347186.519999999552965
FS( 105 ),5380793.519999999552965,4930660.139999999664724,10311453.660000000149012
FS( 106 ),5217300.649999999441206,4898914.179999999701977,10116214.829999998211861
FS( 107 ),5362167.750000000000000,4940685.179999999701977,10302852.929999999701977
FS( 108 ),5192466.289999999105930,4896407.919999999925494,10088874.209999999031425
FS( 109 ),5186257.699999999254942,4942356.019999999552965,10128613.719999998807907
FS( 110 ),5173840.519999999552965,4949039.379999999888241,10122879.899999998509884
FS( 111 ),5165562.399999999441206,5036758.479999999515712,10202320.879999998956919
FS( 112 ),5304220.909999999217689,5136173.459999999962747,10440394.369999999180436
FS( 113 ),5397349.759999998845160,5156223.540000000037253,10553573.299999998882413
FS( 114 ),5548425.449999999254942,5233082.179999999701977,10781507.629999998956919
FS( 115 ),5550494.979999999515712,5203007.059999999590218,10753502.039999999105930
FS( 116 ),5651901.949999999254942,5248955.159999999217689,10900857.109999999403954
FS( 117 ),5637415.239999999292195,5193817.440000000409782,10831232.679999999701977
FS( 118 ),5658110.539999999105930,5311611.659999999217689,10969722.199999999254942
FS( 119 ),5722265.969999998807907,5390976.559999999590218,11113242.529999997466803
FS( 120 ),5585676.989999999292195,5310776.240000000223517,10896453.230000000447035
FS( 121 ),5647762.889999999664724,5345028.459999999962747,10992791.349999999627471
FS( 122 ),5610511.349999999627471,5297409.519999999552965,10907920.869999999180436
FS( 123 ),5624998.059999999590218,5344193.040000000037253,10969191.099999999627471
FS( 124 ),5693292.549999999813735,5345863.879999999888241,11039156.429999999701977
FS( 125 ),5703640.199999999254942,5365078.540000000037253,11068718.739999998360872
FS( 126 ),5763656.570000000298023,5384293.200000000186265,11147949.769999999552965
FS( 127 ),5713987.849999999627471,5313282.500000000000000,11027270.349999999627471
FS( 128 ),5662249.599999999627471,5284042.799999999813735,10946292.399999998509884
FS( 129 ),5794699.519999999552965,5308269.979999999515712,11102969.500000000000000
FS( 130 ),5862994.009999998845160,5221386.299999999813735,11084380.309999998658895
FS( 131 ),5780212.809999999590218,5177109.040000000037253,10957321.849999999627471
FS( 132 ),5811255.759999998845160,5145363.080000000074506,10956618.839999999850988
FS( 133 ),5840229.179999999701977,5173767.359999999403954,11013996.539999999105930
FS( 134 ),5726405.030000000260770,5063491.919999999925494,10789896.949999999254942
FS( 135 ),5701570.669999999925494,5062656.500000000000000,10764227.169999999925494
FS( 136 ),5792629.989999999292195,5100250.399999999441206,10892880.389999998733401
FS( 137 ),5896106.489999999292195,5151211.019999999552965,11047317.509999997913837
FS( 138 ),5974748.629999999888241,5191311.179999999701977,11166059.809999998658895
FS( 139 ),6005791.579999999143183,5179615.299999999813735,11185406.879999998956919
FS( 140 ),5993374.399999999441206,5214702.940000000409782,11208077.339999999850988
FS( 141 ),5960261.919999999925494,5172931.940000000409782,11133193.859999999403954
FS( 142 ),5929218.969999998807907,5193817.440000000409782,11123036.410000000149012
FS( 143 ),5993374.399999999441206,5234753.019999999552965,11228127.419999998062849
FS( 144 ),6061668.889999999664724,5260651.040000000037253,11322319.929999999701977
FS( 145 ),6001652.519999999552965,5293232.419999999925494,11294884.939999999478459
FS( 146 ),6036834.530000000260770,5298244.940000000409782,11335079.470000000670552
FS( 147 ),6038904.059999999590218,5314117.919999999925494,11353021.980000000447035
FS( 148 ),6057529.829999999143183,5312447.080000000074506,11369976.910000000149012
FS( 149 ),6028556.409999999217689,5253967.679999999701977,11282524.089999999850988
FS( 150 ),5987165.809999999590218,5216373.779999999329448,11203539.589999999850988
FS( 151 ),5933358.030000000260770,5244778.059999999590218,11178136.089999999850988
FS( 152 ),5976818.159999999217689,5204677.899999999441206,11181496.059999998658895
FS( 153 ),5956122.859999999403954,5133667.200000000186265,11089790.059999998658895
FS( 154 ),6026486.879999999888241,5171261.099999999627471,11197747.980000000447035
FS( 155 ),5997513.459999999962747,5166248.580000000074506,11163762.039999999105930
FS( 156 ),5827812.000000000000000,5206348.740000000223517,11034160.740000000223517
FS( 157 ),5790560.459999999962747,5234753.019999999552965,11025313.480000000447035
FS( 158 ),5821603.409999999217689,5228905.080000000074506,11050508.489999998360872
FS( 159 ),5856785.419999999925494,5233917.599999999627471,11090703.019999999552965
FS( 160 ),5912662.729999999515712,5203007.059999999590218,11115669.789999999105930
FS( 161 ),5976818.159999999217689,5303257.459999999962747,11280075.619999999180436
FS( 162 ),5931288.500000000000000,5263992.719999999739230,11195281.219999998807907
FS( 163 ),5894036.959999999962747,5279865.700000000186265,11173902.660000000149012
FS( 164 ),5736752.679999999701977,5295738.679999999701977,11032491.359999999403954
FS( 165 ),5716057.379999999888241,5270676.080000000074506,10986733.460000000894070
FS( 166 ),5738822.209999999962747,5330826.320000000298023,11069648.530000001192093
FS( 167 ),5761587.039999999105930,5324142.959999999962747,11085730.000000000000000
FS( 168 ),5658110.539999999105930,5248955.159999999217689,10907065.699999999254942
FS( 169 ),5796769.049999999813735,5215538.359999999403954,11012307.410000000149012
FS( 170 ),5875411.189999999478459,5337509.679999999701977,11212920.869999999180436
FS( 171 ),6007861.109999999403954,5349205.559999999590218,11357066.669999998062849
FS( 172 ),5891967.429999999701977,5447785.119999999180436,11339752.549999998882413
FS( 173 ),5780212.809999999590218,5351711.820000000298023,11131924.629999998956919
FS( 174 ),5790560.459999999962747,5294067.839999999850988,11084628.300000000745058
FS( 175 ),5916801.789999999105930,5256473.940000000409782,11173275.730000000447035
FS( 176 ),5974748.629999999888241,5310776.240000000223517,11285524.870000001043081
FS( 177 ),5929218.969999998807907,5284042.799999999813735,11213261.769999999552965
FS( 178 ),5999582.989999999292195,5329155.479999999515712,11328738.469999998807907
FS( 179 ),6001652.519999999552965,5312447.080000000074506,11314099.599999999627471
FS( 180 ),6092711.839999999850988,5347534.720000000670552,11440246.560000000521541
FS( 181 ),6212744.579999999143183,5368420.220000000670552,11581164.800000000745058
FS( 182 ),6270691.419999999925494,5386799.459999999962747,11657490.879999998956919
FS( 183 ),6239648.469999998807907,5408520.379999998956919,11648168.849999997764826
FS( 184 ),6274830.479999999515712,5411026.639999999664724,11685857.119999999180436
FS( 185 ),6363820.269999999552965,5419380.839999999850988,11783201.109999999403954
FS( 186 ),6490061.599999999627471,5451962.220000000670552,11942023.820000000298023
FS( 187 ),6490061.599999999627471,5378445.259999999776483,11868506.859999999403954
FS( 188 ),6456949.119999999180436,5334168.000000000000000,11791117.119999999180436
FS( 189 ),6504548.309999999590218,5345028.459999999962747,11849576.769999999552965
FS( 190 ),6490061.599999999627471,5352547.239999999292195,11842608.839999999850988
FS( 191 ),6512826.429999999701977,5315788.759999999776483,11828615.189999999478459
FS( 192 ),6506617.839999999850988,5299080.359999999403954,11805698.199999999254942
FS( 193 ),6581120.919999999925494,5319130.440000000409782,11900251.359999999403954
FS( 194 ),6614233.399999999441206,5440266.339999999850988,12054499.739999998360872
FS( 195 ),6556286.559999999590218,5438595.499999999068677,11994882.059999998658895
FS( 196 ),6562495.149999999441206,5425228.779999999329448,11987723.929999999701977
FS( 197 ),6649415.410000000149012,5447785.119999999180436,12097200.529999999329448
FS( 198 ),6715640.370000000111759,5474518.559999999590218,12190158.929999999701977
FS( 199 ),6765309.089999998919666,5507935.360000000335276,12273244.449999999254942
FS( 200 ),6736335.669999998994172,5519631.239999999292195,12255966.909999998286366
FS( 201 ),6730127.080000000074506,5545529.259999999776483,12275656.339999999850988
FS( 202 ),6705292.719999998807907,5570591.860000000335276,12275884.579999998211861
FS( 203 ),6697014.599999999627471,5558060.559999999590218,12255075.160000000149012
FS( 204 ),6761170.030000000260770,5598160.720000000670552,12359330.750000000000000
FS( 205 ),6744613.790000000037253,5626564.999999999068677,12371178.789999999105930
FS( 206 ),6688736.479999999515712,5580616.899999999441206,12269353.379999998956919
FS( 207 ),6750822.379999998956919,5588971.100000000558794,12339793.480000000447035
FS( 208 ),6777726.269999999552965,5619046.220000000670552,12396772.490000000223517
FS( 209 ),6746683.320000000298023,5603173.239999999292195,12349856.559999998658895
FS( 210 ),6765309.089999998919666,5617375.379999998956919,12382684.469999998807907
FS( 211 ),6694945.070000000298023,5573933.540000000037253,12268878.609999999403954
FS( 212 ),6701153.660000000149012,5645779.659999999217689,12346933.320000000298023
FS( 213 ),6759100.499999999068677,5683373.559999999590218,12442474.059999998658895
FS( 214 ),6736335.669999998994172,5664994.320000000298023,12401329.989999998360872
FS( 215 ),6748752.849999999627471,5655804.700000000186265,12404557.550000000745058
FS( 216 ),6823255.929999999701977,5744359.220000000670552,12567615.150000000372529
FS( 217 ),6881202.769999999552965,5737675.860000000335276,12618878.629999998956919
FS( 218 ),6928801.959999999031425,5725144.559999999590218,12653946.519999999552965
FS( 219 ),7106781.540000000037253,5757725.940000000409782,12864507.480000000447035
FS( 220 ),7239231.459999999031425,5799496.940000000409782,13038728.399999998509884
FS( 221 ),7272343.939999999478459,5777776.019999999552965,13050119.959999999031425
FS( 222 ),7245440.049999998882413,5766915.559999999590218,13012355.609999999403954
FS( 223 ),7278552.530000000260770,5841267.940000000409782,13119820.470000000670552
FS( 224 ),7280622.059999999590218,5876355.580000000074506,13156977.640000000596046
FS( 225 ),7299247.830000000074506,5878026.419999999925494,13177274.250000000000000
FS( 226 ),7392376.679999999701977,5933999.559999999590218,13326376.239999998360872
FS( 227 ),7531035.189999999478459,5944024.600000000558794,13475059.789999999105930
FS( 228 ),7551730.490000000223517,5933164.139999999664724,13484894.629999998956919
FS( 229 ),7303386.889999999664724,5892228.559999999590218,13195615.449999999254942
FS( 230 ),7282691.589999998919666,5876355.580000000074506,13159047.169999998062849
FS( 231 ),7359264.200000000186265,5974935.139999999664724,13334199.339999999850988
FS( 232 ),7290969.709999999031425,5897241.080000000074506,13188210.789999999105930
FS( 233 ),7423419.629999998956919,5966580.940000000409782,13390000.570000000298023
FS( 234 ),7330290.780000000260770,5901418.179999999701977,13231708.960000000894070
FS( 235 ),7293039.240000000223517,5903089.019999999552965,13196128.259999999776483
FS( 236 ),7028139.399999999441206,5799496.940000000409782,12827636.339999999850988
FS( 237 ),6918454.309999999590218,5681702.720000000670552,12600157.030000001192093
FS( 238 ),7303386.889999999664724,5896405.659999999217689,13199792.549999998882413
FS( 239 ),7373750.910000000149012,5888051.459999999962747,13261802.370000001043081
FS( 240 ),7427558.689999999478459,5903924.440000000409782,13331483.129999998956919
FS( 241 ),7299247.830000000074506,5889722.299999999813735,13188970.129999998956919
FS( 242 ),7284761.120000000111759,5813699.080000000074506,13098460.199999999254942
FS( 243 ),7365472.790000000037253,5859647.179999999701977,13225119.969999998807907
FS( 244 ),7187493.209999999031425,5849622.139999999664724,13037115.349999997764826
FS( 245 ),7115059.660000000149012,5797826.100000000558794,12912885.760000001639128
FS( 246 ),6806699.689999999478459,5652463.019999999552965,12459162.709999999031425
FS( 247 ),6833603.580000000074506,5669171.419999999925494,12502775.000000000000000
FS( 248 ),6874994.179999999701977,5652463.019999999552965,12527457.199999999254942
FS( 249 ),7032278.459999999031425,5667500.580000000074506,12699779.039999999105930
FS( 250 ),7044695.639999999664724,5514618.720000000670552,12559314.359999999403954
FS( 251 ),7150241.669999998994172,5614033.700000000186265,12764275.369999999180436
FS( 252 ),7007444.099999999627471,5586464.839999999850988,12593908.939999999478459
