代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14453527.100000001490116
真實報酬,4453527.100000001490116

夏普值報酬,0.436652710000000
夏普值風險,0.111567643131781
夏普值,3.913793441744014

二次趨勢線,10.133484152634082 x^2 + 15832.086943582013191 x + 10000000.000000000000000
二次加權預期報酬,19257.204587172345782
風險,191207.104314097901806
二次加權趨勢值,0.100713855043473
一次趨勢線,17758.708122920976166 x + 10000000.000000000000000
一次預期報酬,17758.708122920976166
一次風險,204624.623162250529276
一次趨勢值,0.086786760305185
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](18),CAT[3](2),CVX[5](4),IBM[10](3),KO[14](12),MCD[15](24),PFE[20](5),UNH[23](1),
FS( 101 ),1284446.600000000325963,1663766.179999999934807,1456800.359999999869615,1405720.970000000204891,1498045.879999999888241,1477538.879999999888241,1470144.319999999832362,1573928.830000000074506,11830392.020000001415610
FS( 102 ),1244896.800000000279397,1651956.339999999850988,1461987.659999999916181,1404112.489999999757856,1501457.119999999878928,1479610.840000000083819,1459303.879999999888241,1607141.239999999757856,11810466.369999999180436
FS( 103 ),1253508.450000000186265,1667140.419999999925494,1467520.780000000027940,1405821.500000000000000,1486837.520000000018626,1482436.239999999990687,1469310.439999999944121,1620081.140000000130385,11852656.490000000223517
FS( 104 ),1279024.450000000186265,1658704.820000000065193,1472362.260000000009313,1414165.489999999757856,1492198.040000000037253,1483566.400000000139698,1458469.999999999767169,1620512.469999999972060,11879003.929999999701977
FS( 105 ),1297523.550000000279397,1649636.550000000046566,1457837.819999999832362,1421805.770000000018626,1491223.399999999906868,1459456.320000000065193,1440958.520000000018626,1549774.349999999860302,11768216.279999999329448
FS( 106 ),1314746.850000000093132,1639513.829999999841675,1460085.649999999906868,1416477.679999999934807,1491710.719999999972060,1459456.320000000065193,1465141.039999999804422,1563576.909999999916181,11810708.999999998137355
FS( 107 ),1322401.650000000139698,1657650.369999999878928,1428270.209999999729916,1443620.780000000027940,1494147.320000000065193,1464918.760000000009313,1452632.840000000083819,1554950.309999999823049,11818592.240000000223517
FS( 108 ),1325591.150000000372529,1671780.000000000000000,1408385.559999999823049,1440805.939999999944121,1503893.719999999972060,1466990.719999999972060,1469310.439999999944121,1557538.289999999804422,11844295.819999998435378
FS( 109 ),1352064.000000000232831,1681902.719999999972060,1420489.260000000009313,1446033.500000000000000,1507304.959999999962747,1476785.440000000176951,1455134.479999999748543,1595926.659999999916181,11935641.020000001415610
FS( 110 ),1341857.600000000093132,1684644.289999999804422,1429999.309999999823049,1449350.989999999757856,1509741.560000000055879,1478669.040000000037253,1466808.799999999813735,1581261.439999999711290,11942333.029999999329448
FS( 111 ),1394803.300000000046566,1754237.990000000223517,1472189.349999999860302,1475689.849999999860302,1521924.560000000055879,1491477.520000000251457,1449297.319999999832362,1587300.059999999823049,12146919.949999999254942
FS( 112 ),1405647.600000000093132,1761830.030000000027940,1469422.790000000037253,1476996.739999999757856,1524848.479999999981374,1493737.840000000083819,1432619.719999999972060,1589888.039999999804422,12154991.240000000223517
FS( 113 ),1400225.450000000186265,1752972.650000000139698,1466310.409999999916181,1472372.360000000102445,1521924.560000000055879,1493926.200000000186265,1421779.280000000027940,1601102.619999999878928,12130613.530000001192093
FS( 114 ),1383002.150000000139698,1727454.959999999962747,1444869.569999999832362,1469155.399999999906868,1526310.439999999944121,1489970.639999999897555,1416775.999999999767169,1595063.999999999767169,12052603.160000000149012
FS( 115 ),1389381.150000000372529,1739053.909999999916181,1472708.079999999841675,1473277.130000000121072,1524361.159999999916181,1497505.040000000037253,1403433.919999999692664,1602827.939999999711290,12102548.330000000074506
FS( 116 ),1382683.200000000186265,1738632.129999999888241,1488615.799999999813735,1462017.770000000018626,1530209.000000000000000,1501272.239999999990687,1415942.119999999878928,1616199.169999999925494,12135571.429999999701977
FS( 117 ),1361951.450000000186265,1709107.530000000027940,1477376.649999999906868,1445028.200000000186265,1533132.919999999925494,1485261.639999999897555,1405101.679999999934807,1581692.770000000018626,11998652.839999999850988
FS( 118 ),1361951.450000000186265,1725556.949999999720603,1467347.869999999878928,1444022.899999999906868,1534107.560000000055879,1489405.559999999823049,1396762.879999999888241,1529933.169999999925494,11949088.340000001713634
FS( 119 ),1337392.300000000279397,1694977.900000000139698,1426195.290000000037253,1429948.700000000186265,1512665.479999999981374,1458326.160000000149012,1384254.679999999934807,1510091.989999999757856,11753852.500000000000000
FS( 120 ),1320806.900000000139698,1711849.100000000093132,1425849.469999999739230,1427033.329999999841675,1523386.520000000018626,1476220.360000000102445,1374248.119999999878928,1523894.549999999813735,11783288.349999997764826
FS( 121 ),1347598.700000000186265,1752761.760000000009313,1449365.229999999748543,1451261.060000000055879,1555549.640000000130385,1488463.760000000009313,1403433.919999999692664,1536834.449999999953434,11985268.519999999552965
FS( 122 ),1363546.200000000186265,1770898.300000000046566,1451440.149999999906868,1458197.630000000121072,1567245.319999999832362,1500142.080000000074506,1400932.280000000027940,1552793.659999999916181,12065195.619999999180436
FS( 123 ),1346641.850000000093132,1771530.969999999972060,1442967.559999999823049,1461615.649999999906868,1566270.679999999934807,1497881.760000000009313,1386756.319999999832362,1572634.839999999850988,12046299.629999998956919
FS( 124 ),1338030.200000000186265,1742639.039999999804422,1413572.859999999869615,1439398.520000000018626,1550189.119999999878928,1488275.400000000139698,1381753.039999999804422,1554950.309999999823049,11908808.489999998360872
FS( 125 ),1371519.950000000186265,1786082.379999999888241,1433976.239999999990687,1465837.909999999916181,1574555.120000000111759,1497128.320000000065193,1391759.600000000093132,1560557.599999999860302,12081417.119999999180436
FS( 126 ),1348236.600000000325963,1774272.539999999804422,1418760.159999999916181,1446636.679999999934807,1562372.120000000111759,1479422.480000000214204,1375081.999999999767169,1547617.699999999953434,11952400.279999999329448
FS( 127 ),1382045.300000000046566,1764571.600000000093132,1412535.399999999906868,1436483.149999999906868,1544828.599999999860302,1474148.400000000139698,1380919.159999999683350,1578242.130000000121072,11973773.740000002086163
FS( 128 ),1378536.850000000093132,1784184.369999999878928,1400085.879999999888241,1422107.360000000102445,1539468.079999999841675,1474901.840000000083819,1359238.280000000027940,1575222.820000000065193,11933745.480000000447035
FS( 129 ),1412983.450000000186265,1844288.020000000018626,1429999.309999999823049,1451763.709999999962747,1576504.399999999906868,1493549.480000000214204,1392593.479999999748543,1624825.770000000018626,12226507.620000001043081
FS( 130 ),1434672.050000000046566,1868962.150000000139698,1461123.109999999869615,1459504.520000000018626,1581377.600000000093132,1495244.719999999972060,1391759.600000000093132,1641216.309999999823049,12333860.060000000521541
FS( 131 ),1431482.550000000279397,1884989.789999999804422,1467866.599999999860302,1461515.119999999878928,1571631.199999999953434,1502402.400000000139698,1394261.239999999757856,1631295.719999999972060,12345444.620000001043081
