代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14954496.849999999627471
真實報酬,4954496.849999999627471

夏普值報酬,0.486749685000000
夏普值風險,0.125430086522431
夏普值,3.880645373811114

二次趨勢線,67.517414589441984 x^2 + 2903.133628845538624 x + 10000000.000000000000000
二次加權預期報酬,25633.996540624335466
風險,134809.545931222324725
二次加權趨勢值,0.190149713535141
一次趨勢線,15689.193880027138221 x + 10000000.000000000000000
一次預期報酬,15689.193880027138221
一次風險,500251.458132472354919
一次趨勢值,0.031362614990864
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](5),BA[2](2),CAT[3](1),CVX[5](7),INTC[11](11),MCD[15](8),UNH[23](4),
FS( 22 ),1486634.199999999720603,1587216.520000000251457,1428721.200000000186265,1461389.500000000000000,1404318.459999999962747,1492517.120000000111759,1476767.709999999729916,10337567.709999999031425
FS( 23 ),1479562.399999999906868,1576326.520000000251457,1436832.000000000000000,1456498.899999999906868,1391409.849999999860302,1494034.090000000083819,1481157.209999999729916,10315823.969999998807907
FS( 24 ),1481051.199999999953434,1585822.600000000093132,1440887.400000000139698,1438995.699999999953434,1400406.759999999776483,1494500.849999999860302,1477645.610000000102445,10319313.119999999180436
FS( 25 ),1471001.800000000046566,1583383.240000000223517,1400333.400000000139698,1410681.699999999953434,1393365.699999999720603,1494734.229999999981374,1474221.799999999813735,10227724.870000001043081
FS( 26 ),1475840.399999999906868,1573190.199999999953434,1372696.600000000093132,1416215.800000000046566,1401189.099999999860302,1495317.679999999934807,1475099.699999999720603,10209552.479999998584390
FS( 27 ),1477329.199999999720603,1556898.760000000009313,1386515.000000000000000,1423551.699999999953434,1404709.629999999888241,1493450.640000000130385,1492394.329999999841675,10234852.259999999776483
FS( 28 ),1474165.499999999767169,1559947.960000000195578,1391471.600000000093132,1407335.500000000000000,1375371.879999999888241,1489133.110000000102445,1494413.500000000000000,10191842.050000000745058
FS( 29 ),1483098.299999999813735,1557160.120000000111759,1379756.000000000000000,1381724.199999999953434,1376154.219999999972060,1491350.219999999972060,1484317.649999999906868,10153563.710000000894070
FS( 30 ),1474537.699999999953434,1556985.880000000121072,1402286.000000000000000,1401286.599999999860302,1373024.859999999869615,1492283.739999999990687,1508196.530000000027940,10208604.309999998658895
FS( 31 ),1484587.099999999860302,1552455.640000000130385,1394625.800000000046566,1388159.199999999953434,1374589.540000000037253,1493450.640000000130385,1503982.610000000102445,10191853.529999999329448
FS( 32 ),1474909.899999999906868,1569095.560000000055879,1395527.000000000000000,1385842.600000000093132,1379674.750000000000000,1501152.179999999934807,1489936.209999999729916,10196141.199999999254942
FS( 33 ),1467465.899999999906868,1562910.040000000037253,1432926.800000000046566,1385585.199999999953434,1385933.469999999972060,1502785.840000000083819,1475011.909999999916181,10212622.160000000149012
FS( 34 ),1442900.699999999953434,1533027.880000000121072,1388317.400000000139698,1390475.800000000046566,1370677.839999999850988,1499751.900000000139698,1472378.209999999729916,10097532.729999998584390
FS( 35 ),1445506.099999999860302,1541914.120000000111759,1388317.400000000139698,1394980.300000000046566,1383586.449999999720603,1506519.919999999925494,1466496.280000000027940,10127323.569999998435378
FS( 36 ),1448669.800000000046566,1544353.479999999981374,1385313.400000000139698,1388287.900000000139698,1379674.750000000000000,1505353.020000000018626,1451220.819999999832362,10102876.170000001788139
FS( 37 ),1455369.399999999906868,1531808.199999999953434,1384111.800000000046566,1389832.300000000046566,1375371.879999999888241,1509320.479999999981374,1448674.909999999916181,10094491.969999998807907
FS( 38 ),1444203.399999999906868,1534247.560000000055879,1374499.000000000232831,1367824.600000000093132,1384368.790000000037253,1511070.830000000074506,1445163.309999999823049,10061380.490000000223517
FS( 39 ),1463557.799999999813735,1545224.680000000167638,1396127.800000000046566,1379278.899999999906868,1392583.359999999869615,1510604.069999999832362,1451747.559999999823049,10139127.169999999925494
FS( 40 ),1456299.899999999906868,1547576.920000000158325,1394776.000000000000000,1390861.899999999906868,1391409.849999999860302,1503485.979999999981374,1434979.669999999925494,10119393.220000000670552
FS( 41 ),1474165.499999999767169,1550626.120000000111759,1400183.199999999953434,1387129.600000000093132,1398450.909999999916181,1509087.099999999860302,1448587.120000000111759,10168232.550000000745058
FS( 42 ),1472304.500000000000000,1540868.680000000167638,1393274.000000000232831,1381852.900000000139698,1410968.349999999860302,1512471.110000000102445,1439983.699999999720603,10151726.240000000223517
FS( 43 ),1462627.300000000046566,1539039.160000000149012,1385914.199999999953434,1387387.000000000000000,1414488.879999999888241,1512471.110000000102445,1453854.520000000018626,10155785.169999999925494
FS( 44 ),1456486.000000000000000,1556898.760000000009313,1413851.399999999906868,1398455.199999999953434,1419182.919999999925494,1508737.030000000027940,1448411.539999999804422,10202025.849999999627471
FS( 45 ),1447181.000000000000000,1542785.320000000298023,1415503.599999999860302,1398197.800000000046566,1416835.899999999906868,1521806.310000000055879,1451923.139999999897555,10194236.070000000298023
FS( 46 ),1450158.599999999860302,1545311.800000000046566,1439235.199999999953434,1406563.300000000046566,1409403.669999999925494,1518772.370000000111759,1451659.770000000018626,10221107.709999999031425
FS( 47 ),1447367.099999999860302,1558205.560000000055879,1434729.199999999953434,1401029.199999999953434,1409403.669999999925494,1516555.260000000009313,1457629.489999999990687,10224922.480000000447035
FS( 48 ),1442156.299999999813735,1546967.080000000074506,1459061.600000000093132,1408365.100000000093132,1400406.759999999776483,1516788.639999999897555,1452888.829999999841675,10226637.310000000521541
FS( 49 ),1437876.000000000000000,1555766.199999999953434,1458460.800000000046566,1402444.899999999906868,1398059.739999999990687,1531024.819999999832362,1455961.479999999981374,10239596.940000001341105
FS( 50 ),1427082.199999999953434,1533811.960000000195578,1424816.000000000000000,1402444.899999999906868,1393756.870000000111759,1531724.959999999962747,1453591.149999999906868,10167231.040000000968575
FS( 51 ),1410705.399999999906868,1530065.800000000046566,1398380.800000000046566,1365508.000000000000000,1378892.409999999916181,1525890.459999999962747,1448323.750000000000000,10057769.620000001043081
FS( 52 ),1426896.099999999860302,1559686.600000000093132,1414001.600000000093132,1366408.899999999906868,1387889.319999999832362,1532775.169999999925494,1467813.129999999888241,10155473.820000000298023
FS( 53 ),1410519.300000000046566,1549493.560000000055879,1417756.600000000093132,1360102.600000000093132,1399233.250000000000000,1543860.720000000204891,1480191.520000000018626,10161160.550000000745058
FS( 54 ),1406052.899999999906868,1554285.160000000149012,1403938.199999999953434,1341441.100000000093132,1404709.629999999888241,1547828.179999999934807,1485985.659999999916181,10144243.830000000074506
FS( 55 ),1489239.599999999860302,1562125.960000000195578,1421812.000000000000000,1349806.599999999860302,1415271.219999999972060,1555179.650000000139698,1506089.569999999832362,10299527.599999999627471
FS( 56 ),1481237.300000000046566,1571534.920000000158325,1416705.199999999953434,1349935.300000000046566,1420747.599999999860302,1556813.310000000055879,1502753.549999999813735,10299730.179999999701977
FS( 57 ),1497241.899999999906868,1586171.080000000074506,1454105.000000000000000,1363320.100000000093132,1437567.909999999916181,1566381.889999999897555,1513024.979999999981374,10417815.860000001266599
FS( 58 ),1500591.699999999720603,1598803.479999999981374,1568407.200000000186265,1373616.100000000093132,1442261.949999999720603,1653549.319999999832362,1528037.069999999832362,10665269.820000000298023
FS( 59 ),1498544.599999999860302,1583121.880000000121072,1572012.000000000000000,1365250.600000000093132,1444608.969999999972060,1643513.979999999981374,1531021.929999999934807,10638076.959999999031425
FS( 60 ),1495008.699999999953434,1596277.000000000000000,1542272.400000000139698,1357399.899999999906868,1464167.469999999972060,1643864.050000000046566,1533216.679999999934807,10632209.199999999254942
FS( 61 ),1474909.899999999906868,1610303.320000000298023,1535964.000000000232831,1373230.000000000000000,1414097.709999999962747,1632895.190000000176951,1535411.429999999934807,10576814.550000000745058
FS( 62 ),1474537.699999999953434,1589046.040000000037253,1532058.800000000046566,1363191.399999999906868,1420356.429999999934807,1647131.370000000111759,1532865.520000000018626,10559190.259999997913837
FS( 63 ),1480306.800000000046566,1598193.640000000130385,1524699.000000000232831,1355984.199999999953434,1446173.649999999906868,1648064.889999999897555,1528914.969999999739230,10582340.150000002235174
FS( 64 ),1467093.699999999953434,1597758.040000000037253,1525149.600000000093132,1373487.399999999906868,1446564.819999999832362,1664284.800000000046566,1514868.569999999832362,10589209.930000001564622
FS( 65 ),1457788.699999999953434,1594970.199999999953434,1492856.600000000093132,1348905.699999999953434,1441479.609999999869615,1673970.069999999832362,1527861.489999999990687,10537835.370000001043081
FS( 66 ),1457602.599999999860302,1611871.479999999981374,1496611.600000000093132,1361518.300000000046566,1440306.099999999860302,1679921.260000000009313,1528739.389999999897555,10576573.730000000447035
FS( 67 ),1454624.999999999767169,1620670.600000000093132,1492556.200000000186265,1372972.600000000093132,1429353.339999999850988,1683188.580000000074506,1531548.669999999925494,10584917.990000000223517
FS( 68 ),1459835.799999999813735,1628424.280000000027940,1491354.600000000093132,1352380.600000000093132,1422703.449999999720603,1684588.860000000102445,1521013.870000000111759,10560304.459999997168779
FS( 69 ),1463743.899999999906868,1595928.520000000251457,1507426.000000000000000,1370656.000000000000000,1408621.329999999841675,1686455.900000000139698,1522330.719999999739230,10555165.370000001043081
FS( 70 ),1450158.599999999860302,1602549.640000000130385,1516888.599999999860302,1366923.699999999953434,1396103.889999999897555,1682838.510000000009313,1521716.189999999944121,10537182.129999998956919
FS( 71 ),1442156.299999999813735,1596538.360000000102445,1512683.000000000000000,1363706.199999999953434,1389845.169999999925494,1696257.860000000102445,1508459.899999999906868,10509649.790000000968575
FS( 72 ),1457788.699999999953434,1589046.040000000037253,1538367.200000000186265,1375160.500000000000000,1393756.870000000111759,1706993.340000000083819,1506001.780000000027940,10567117.429999999701977
FS( 73 ),1454066.699999999720603,1591746.760000000009313,1537165.600000000093132,1380308.500000000000000,1401189.099999999860302,1718779.030000000027940,1476065.389999999897555,10559324.080000000074506
FS( 74 ),1421313.100000000093132,1557595.720000000204891,1504121.600000000093132,1347490.000000000000000,1370677.839999999850988,1708510.310000000055879,1482561.850000000093132,10392273.419999999925494
FS( 75 ),1421499.199999999720603,1545573.160000000149012,1505323.199999999953434,1353538.899999999906868,1377718.899999999906868,1715511.709999999962747,1505299.459999999729916,10424467.529999999329448
FS( 76 ),1429315.399999999906868,1574845.479999999981374,1538517.400000000139698,1370913.399999999906868,1384759.959999999962747,1728814.370000000111759,1515307.520000000018626,10542476.529999999329448
FS( 77 ),1432665.199999999953434,1600197.399999999906868,1536414.600000000093132,1365765.400000000139698,1399233.250000000000000,1729281.129999999888241,1533831.209999999729916,10597391.189999999478459
FS( 78 ),1436759.399999999906868,1598629.240000000223517,1556541.399999999906868,1367695.899999999906868,1402753.779999999795109,1724963.599999999860302,1538396.289999999804422,10625742.609999997541308
FS( 79 ),1435270.600000000093132,1613962.360000000102445,1561347.800000000046566,1367052.399999999906868,1412924.199999999720603,1744567.520000000018626,1541644.520000000018626,10676772.399999998509884
FS( 80 ),1441225.799999999813735,1629818.199999999953434,1577419.199999999953434,1352766.699999999953434,1418400.579999999841675,1747834.840000000083819,1563240.860000000102445,10730709.179999999701977
FS( 81 ),1441597.999999999767169,1625636.440000000176951,1587032.000000000000000,1347747.399999999906868,1418400.579999999841675,1748768.360000000102445,1558412.409999999916181,10727598.189999999478459
FS( 82 ),1434712.300000000046566,1628162.920000000158325,1584178.199999999953434,1339253.199999999953434,1415271.219999999972060,1749585.190000000176951,1550423.520000000018626,10701589.549999998882413
FS( 83 ),1431920.799999999813735,1634696.920000000158325,1583577.400000000139698,1331788.600000000093132,1412533.029999999795109,1760787.429999999934807,1538045.129999999888241,10693352.309999998658895
FS( 84 ),1456858.199999999953434,1631996.199999999953434,1586881.800000000046566,1341955.899999999906868,1412924.199999999720603,1778290.929999999934807,1576672.729999999981374,10785582.959999999031425
FS( 85 ),1460766.299999999813735,1657348.120000000111759,1591387.800000000046566,1327026.699999999953434,1420747.599999999860302,1794044.080000000074506,1575004.719999999739230,10826328.320000000298023
FS( 86 ),1469699.099999999860302,1646196.760000000009313,1580122.800000000046566,1328056.300000000046566,1421529.939999999944121,1782958.530000000027940,1574829.139999999897555,10803395.570000000298023
FS( 87 ),1467465.899999999906868,1627030.360000000102445,1570359.800000000046566,1340668.899999999906868,1413315.370000000111759,1764754.889999999897555,1587558.689999999944121,10771156.909999998286366
FS( 88 ),1485331.500000000000000,1638791.560000000055879,1554739.000000000232831,1335520.899999999906868,1418400.579999999841675,1773039.879999999888241,1608540.500000000000000,10814366.920000001788139
FS( 89 ),1487936.899999999906868,1654734.520000000251457,1577269.000000000232831,1338481.000000000000000,1427006.319999999832362,1767088.690000000176951,1595196.419999999925494,10847715.849999999627471
FS( 90 ),1494636.500000000000000,1655605.720000000204891,1590937.200000000186265,1369369.000000000000000,1396886.229999999981374,1767672.139999999897555,1593177.250000000000000,10868287.040000000968575
FS( 91 ),1492031.099999999860302,1655344.360000000102445,1593190.199999999953434,1390475.800000000046566,1397668.569999999832362,1732548.449999999953434,1573775.659999999916181,10835037.139999998733401
FS( 92 ),1499847.300000000046566,1664840.440000000176951,1588383.800000000046566,1391634.099999999860302,1403536.120000000111759,1748301.599999999860302,1589577.860000000102445,10886124.219999998807907
FS( 93 ),1504499.800000000046566,1676078.920000000158325,1572763.000000000000000,1371943.000000000000000,1389845.169999999925494,1758336.940000000176951,1601078.350000000093132,10874548.179999999701977
FS( 94 ),1501894.399999999906868,1702824.760000000009313,1598146.800000000046566,1368468.100000000093132,1381239.429999999934807,1764054.749999999767169,1583695.929999999934807,10900327.169999999925494
FS( 95 ),1515851.899999999906868,1711449.640000000130385,1616170.800000000046566,1394465.500000000000000,1377327.729999999981374,1773623.330000000074506,1594669.679999999934807,10983561.580000000074506
FS( 96 ),1523854.199999999720603,1734449.320000000298023,1614518.599999999860302,1383011.199999999953434,1389062.829999999841675,1787042.679999999934807,1606872.489999999990687,11038814.320000000298023
FS( 97 ),1535578.500000000000000,1727915.320000000298023,1607759.600000000093132,1370398.600000000093132,1363636.779999999795109,1797894.849999999860302,1609067.239999999990687,11012253.889999998733401
FS( 98 ),1529995.499999999767169,1735233.399999999906868,1554138.199999999953434,1344787.300000000046566,1352684.019999999785796,1793927.389999999897555,1623552.589999999850988,10934321.399999998509884
FS( 99 ),1530739.899999999906868,1737585.640000000130385,1559695.600000000093132,1344272.500000000000000,1344078.279999999795109,1806413.220000000204891,1637423.409999999916181,10960211.550000000745058
FS( 100 ),1530181.599999999860302,1761892.120000000111759,1563751.000000000000000,1351351.000000000000000,1337428.389999999897555,1804546.179999999934807,1626449.659999999916181,10975602.949999999254942
FS( 101 ),1543952.999999999767169,1742290.120000000111759,1565853.800000000046566,1340282.800000000046566,1332734.349999999860302,1796611.260000000009313,1625308.389999999897555,10947036.720000000670552
FS( 102 ),1546186.199999999953434,1732794.040000000037253,1561047.400000000139698,1339381.899999999906868,1316305.209999999962747,1793810.699999999953434,1620743.309999999823049,10910271.760000001639128
FS( 103 ),1562749.099999999860302,1739153.800000000046566,1598897.800000000046566,1342084.600000000093132,1337819.560000000055879,1800578.720000000204891,1630400.209999999729916,11011686.790000000968575
FS( 104 ),1556421.699999999720603,1720335.880000000121072,1586731.600000000093132,1340025.400000000139698,1312002.339999999850988,1786925.989999999990687,1626625.239999999990687,10929071.150000000372529
FS( 105 ),1567773.799999999813735,1722862.360000000102445,1614068.000000000000000,1342728.100000000093132,1319825.739999999990687,1787276.060000000055879,1627942.089999999850988,10982479.150000000372529
FS( 106 ),1583778.399999999906868,1730180.440000000176951,1606708.199999999953434,1368082.000000000000000,1308872.979999999981374,1779574.520000000018626,1638740.260000000009313,11015939.799999998882413
FS( 107 ),1579870.299999999813735,1758233.080000000074506,1614518.599999999860302,1346460.400000000139698,1343295.939999999944121,1786225.849999999860302,1652786.659999999916181,11081393.830000000074506
FS( 108 ),1558468.799999999813735,1755358.120000000111759,1599799.000000000232831,1336164.399999999906868,1315522.870000000111759,1786459.229999999981374,1641286.169999999925494,10993061.589999999850988
FS( 109 ),1569448.699999999953434,1763111.800000000046566,1605957.200000000186265,1331917.300000000046566,1325302.120000000111759,1823566.650000000139698,1650240.750000000000000,11069547.519999999552965
FS( 110 ),1568890.399999999906868,1776963.880000000121072,1619775.600000000093132,1326125.800000000046566,1316305.209999999962747,1814814.900000000139698,1641373.959999999729916,11064252.750000000000000
FS( 111 ),1566284.999999999767169,1797088.600000000093132,1625783.599999999860302,1327155.400000000139698,1326866.800000000046566,1807696.810000000055879,1632594.959999999729916,11083474.169999998062849
FS( 112 ),1578567.599999999860302,1798569.640000000130385,1636598.000000000000000,1337065.300000000046566,1339775.409999999916181,1827184.040000000270084,1639091.419999999925494,11156854.410000000149012
FS( 113 ),1588803.100000000093132,1796740.120000000111759,1629238.199999999953434,1340154.099999999860302,1339384.239999999990687,1809213.780000000027940,1628468.829999999841675,11132005.369999999180436
FS( 114 ),1587128.199999999953434,1816603.479999999981374,1633744.199999999953434,1344143.800000000046566,1356595.719999999972060,1812014.340000000083819,1640935.010000000009313,11191167.750000000000000
FS( 115 ),1586011.599999999860302,1820872.360000000102445,1634795.600000000093132,1341183.699999999953434,1348381.149999999906868,1811780.959999999962747,1636106.559999999823049,11179134.930000001564622
FS( 116 ),1591594.599999999860302,1814251.240000000223517,1608210.199999999953434,1334877.399999999906868,1350728.169999999925494,1796611.260000000009313,1640496.059999999823049,11136771.929999999701977
FS( 117 ),1599224.699999999953434,1837250.920000000158325,1619925.800000000046566,1344401.199999999953434,1351901.679999999934807,1795794.429999999934807,1661038.919999999925494,11209540.650000000372529
FS( 118 ),1588430.899999999906868,1832023.720000000204891,1611965.199999999953434,1346589.099999999860302,1359333.909999999916181,1799528.510000000009313,1681318.409999999916181,11219192.750000000000000
FS( 119 ),1592897.300000000046566,1848228.040000000037253,1601000.600000000093132,1328828.500000000000000,1358551.569999999832362,1796144.499999999767169,1683776.530000000027940,11209430.039999999105930
FS( 120 ),1581917.399999999906868,1848576.520000000251457,1624882.400000000139698,1328185.000000000000000,1349554.659999999916181,1771989.669999999925494,1675963.219999999739230,11181071.870000001043081
FS( 121 ),1589547.499999999767169,1851015.880000000121072,1720409.600000000093132,1343500.300000000046566,1356204.550000000046566,1856239.849999999860302,1671661.510000000009313,11388582.189999999478459
FS( 122 ),1587500.399999999906868,2033880.760000000009313,1705089.199999999953434,1352895.400000000139698,1359333.909999999916181,1826367.209999999962747,1674734.159999999916181,11539804.040000000968575
FS( 123 ),1560515.899999999906868,2099656.360000000335276,1717856.200000000186265,1365636.699999999953434,1367939.649999999906868,1831501.569999999832362,1658756.379999999888241,11601865.760000001639128
FS( 124 ),1578195.399999999906868,2102008.600000000558794,1713800.800000000046566,1391505.400000000139698,1381239.429999999934807,1818665.669999999925494,1678245.760000000009313,11663664.060000000521541
FS( 125 ),1586197.699999999953434,2112375.879999999888241,1711547.800000000046566,1405276.300000000046566,1387498.149999999906868,1810380.679999999934807,1684039.899999999906868,11697319.410000000149012
FS( 126 ),1586383.799999999813735,2086065.640000000130385,1698780.800000000046566,1425739.600000000093132,1421921.109999999869615,1797544.780000000027940,1687727.079999999841675,11704165.809999998658895
FS( 127 ),1587500.399999999906868,2073084.760000000009313,1698630.600000000093132,1421621.199999999953434,1433265.040000000037253,1827300.729999999981374,1694486.909999999916181,11735892.640000000596046
FS( 128 ),1591966.800000000046566,2075698.360000000102445,1705690.000000000000000,1408365.100000000093132,1427397.489999999990687,1805479.699999999953434,1710025.739999999990687,11724626.189999999478459
FS( 129 ),1599969.099999999860302,2070993.880000000121072,1717555.800000000046566,1417116.699999999953434,1419965.259999999776483,1794977.599999999860302,1710991.429999999934807,11731572.769999999552965
FS( 130 ),1597735.899999999906868,2092948.120000000111759,1722963.000000000000000,1412869.600000000093132,1425050.469999999972060,1808396.949999999953434,1710113.530000000027940,11770080.569999998435378
FS( 131 ),1599410.799999999813735,2086588.360000000102445,1718457.000000000000000,1420205.500000000000000,1424268.129999999888241,1807813.499999999767169,1711167.010000000009313,11767913.299999998882413
FS( 132 ),1594758.299999999813735,2041373.080000000074506,1717405.600000000093132,1427155.300000000046566,1431309.189999999944121,1807813.499999999767169,1710552.479999999981374,11730370.450000001117587
FS( 133 ),1573729.000000000000000,2028914.920000000158325,1699531.800000000046566,1417116.699999999953434,1413706.540000000037253,1827650.800000000046566,1690711.939999999944121,11651364.699999999254942
FS( 134 ),1568704.300000000046566,2046338.920000000158325,1695025.800000000046566,1405791.100000000093132,1403144.949999999720603,1835585.720000000204891,1694662.489999999990687,11649256.280000001192093
FS( 135 ),1590664.099999999860302,2066115.160000000149012,1707943.000000000000000,1399098.699999999953434,1421529.939999999944121,1835118.959999999962747,1700720.000000000000000,11721192.859999999403954
FS( 136 ),1615229.300000000046566,2083713.399999999906868,1707041.800000000046566,1397296.899999999906868,1408230.159999999916181,1839319.800000000046566,1707655.409999999916181,11758489.770000001415610
FS( 137 ),1626395.299999999813735,2069948.440000000176951,1714101.200000000186265,1375031.800000000046566,1400797.929999999934807,1854256.120000000111759,1701246.739999999990687,11741780.529999999329448
FS( 138 ),1602202.300000000046566,2052524.440000000176951,1699381.600000000093132,1363191.399999999906868,1375763.050000000046566,1842470.429999999934807,1691853.209999999729916,11627389.429999999701977
FS( 139 ),1588989.199999999720603,2054092.600000000093132,1711097.200000000186265,1370398.600000000093132,1369504.329999999841675,1840953.459999999962747,1675348.689999999944121,11610387.080000000074506
FS( 140 ),1587500.399999999906868,2053308.520000000251457,1706290.800000000046566,1361389.600000000093132,1365983.800000000046566,1847954.860000000102445,1685971.280000000027940,11608402.259999999776483
FS( 141 ),1587500.399999999906868,2088766.360000000102445,1739635.199999999953434,1368854.199999999953434,1355422.209999999962747,1862891.179999999934807,1710201.319999999832362,11713273.870000001043081
FS( 142 ),1587128.199999999953434,2074304.440000000176951,1723563.800000000046566,1372071.699999999953434,1355813.379999999888241,1853205.910000000149012,1705372.870000000111759,11671463.300000000745058
FS( 143 ),1588617.000000000000000,2079967.240000000223517,1724014.400000000139698,1382753.800000000046566,1357769.229999999981374,1848538.310000000055879,1709850.159999999916181,11691513.140000000596046
FS( 144 ),1590664.099999999860302,2055138.040000000037253,1732575.800000000046566,1392921.100000000093132,1356204.550000000046566,1853322.599999999860302,1706426.350000000093132,11687255.539999999105930
FS( 145 ),1589547.499999999767169,2066376.520000000251457,1728370.199999999953434,1386872.199999999953434,1355422.209999999962747,1863241.249999999767169,1712835.020000000018626,11702667.899999998509884
FS( 146 ),1589733.599999999860302,2095213.240000000223517,1742489.000000000232831,1388159.199999999953434,1358551.569999999832362,1859857.239999999990687,1727232.579999999841675,11761239.429999999701977
FS( 147 ),1594758.299999999813735,2094951.880000000121072,1765619.800000000046566,1386486.100000000093132,1364810.290000000037253,1861607.590000000083819,1719770.429999999934807,11788007.390000000596046
