代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15056214.280000001192093
真實報酬,5056214.280000001192093

夏普值報酬,0.496921428000000
夏普值風險,0.115324912197166
夏普值,4.308881910531473

二次趨勢線,31.651905834291547 x^2 + 10975.990827850460846 x + 10000000.000000000000000
二次加權預期報酬,21632.132458728614438
風險,120305.030248208713601
二次加權趨勢值,0.179810706286329
一次趨勢線,16970.046991328945296 x + 10000000.000000000000000
一次預期報酬,16970.046991328945296
一次風險,255884.795439320296282
一次趨勢值,0.066319090832238
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](2),CAT[3](1),HD[9](14),MCD[15](6),UNH[23](3),V[25](4),
FS( 13 ),1708113.440000000176951,1605536.989999999990687,1743511.839999999850988,1730253.359999999869615,1672879.000000000000000,1725659.649999999674037,10185958.279999999329448
FS( 14 ),1710410.000000000000000,1633763.700000000186265,1765008.080000000074506,1735036.479999999981374,1673396.750000000000000,1731404.349999999860302,10249023.359999999403954
FS( 15 ),1722330.239999999990687,1624758.860000000102445,1761403.920000000158325,1732926.280000000027940,1670704.450000000186265,1726543.449999999953434,10238671.199999999254942
FS( 16 ),1722111.520000000251457,1629953.960000000195578,1743383.120000000111759,1740523.000000000000000,1673293.200000000186265,1721240.650000000139698,10230509.450000001117587
FS( 17 ),1725939.120000000111759,1633417.360000000102445,1738491.760000000009313,1732363.560000000055879,1688307.949999999953434,1726764.400000000139698,10245288.150000000372529
FS( 18 ),1722330.239999999990687,1637400.270000000018626,1741194.879999999888241,1731378.800000000046566,1684269.500000000000000,1731183.399999999674037,10247761.089999999850988
FS( 19 ),1707238.560000000055879,1613156.470000000204891,1738749.199999999720603,1725892.280000000027940,1671843.500000000000000,1730078.649999999906868,10186962.660000002011657
FS( 20 ),1702754.800000000279397,1615580.850000000325963,1739135.359999999869615,1727439.760000000009313,1667701.500000000000000,1730741.499999999767169,10183357.769999999552965
FS( 21 ),1702645.440000000176951,1606056.500000000000000,1726005.920000000158325,1712387.000000000000000,1657346.500000000000000,1723892.049999999813735,10128337.410000000149012
FS( 22 ),1716752.880000000121072,1627702.750000000000000,1728966.479999999981374,1682844.200000000186265,1671947.049999999813735,1756592.649999999906868,10184810.009999999776483
FS( 23 ),1734797.280000000260770,1620429.610000000102445,1744284.159999999916181,1680874.680000000167638,1676710.350000000093132,1770954.400000000139698,10228054.480000000447035
FS( 24 ),1735781.520000000251457,1610558.920000000158325,1723688.959999999962747,1683969.640000000130385,1679506.200000000186265,1791723.699999999953434,10225232.940000001341105
FS( 25 ),1740046.560000000055879,1611251.600000000325963,1718926.319999999832362,1698881.720000000204891,1681887.850000000093132,1816470.099999999860302,10267468.150000000372529
FS( 26 ),1731516.480000000214204,1599649.210000000195578,1728966.479999999981374,1694239.280000000027940,1677124.549999999813735,1806306.399999999906868,10237806.400000000372529
FS( 27 ),1739718.480000000214204,1624932.030000000027940,1752007.359999999869615,1691707.040000000037253,1673293.200000000186265,1796584.599999999860302,10278246.709999999031425
FS( 28 ),1743327.360000000335276,1639131.970000000204891,1746858.559999999823049,1700569.879999999888241,1676503.250000000000000,1807411.149999999906868,10313806.169999999925494
FS( 29 ),1731188.400000000139698,1627702.750000000000000,1738749.199999999720603,1717732.839999999850988,1681370.100000000093132,1797910.300000000046566,10294657.589999999850988
FS( 30 ),1737093.840000000316650,1636188.080000000307336,1738363.039999999804422,1709292.040000000037253,1675571.300000000279397,1793491.300000000046566,10290003.600000001490116
FS( 31 ),1724408.080000000074506,1620429.610000000102445,1749819.120000000111759,1726877.040000000037253,1663766.600000000093132,1795479.850000000093132,10280784.300000000745058
FS( 32 ),1731516.480000000214204,1616273.530000000027940,1752779.679999999934807,1726314.320000000065193,1633530.000000000232831,1802771.199999999953434,10263189.210000000894070
FS( 33 ),1738952.960000000195578,1617139.380000000121072,1742868.239999999757856,1718858.280000000027940,1643470.799999999813735,1805864.500000000000000,10267158.160000000149012
FS( 34 ),1744749.040000000270084,1637919.780000000027940,1745571.359999999869615,1719983.720000000204891,1643056.600000000093132,1808294.949999999953434,10299579.449999999254942
FS( 35 ),1726267.200000000186265,1635841.739999999990687,1777365.199999999720603,1707603.879999999888241,1647302.149999999906868,1815144.400000000139698,10309528.570000000298023
FS( 36 ),1755903.760000000242144,1666666.000000000000000,1777236.479999999981374,1702961.439999999944121,1661384.950000000186265,1839007.000000000000000,10403163.629999998956919
FS( 37 ),1830377.920000000391155,1699741.470000000204891,1769770.719999999739230,1713371.760000000009313,1669772.500000000232831,1853810.650000000139698,10536849.020000001415610
FS( 38 ),1849625.280000000260770,1683636.660000000149012,1782385.280000000027940,1714637.879999999888241,1685408.550000000046566,1839227.949999999720603,10554925.599999999627471
FS( 39 ),1834096.160000000149012,1714287.750000000000000,1780711.920000000158325,1728424.520000000018626,1687893.750000000232831,1850938.299999999813735,10596356.399999998509884
FS( 40 ),1810802.480000000214204,1676190.350000000325963,1782514.000000000000000,1730675.399999999906868,1678574.250000000000000,1849391.649999999906868,10528152.130000000819564
FS( 41 ),1787290.080000000074506,1656622.140000000130385,1771057.920000000158325,1724344.800000000046566,1678677.800000000046566,1827517.599999999860302,10445514.339999999850988
FS( 42 ),1793304.880000000121072,1647097.790000000037253,1769255.839999999850988,1722234.600000000093132,1684994.350000000093132,1821551.949999999953434,10438443.409999998286366
FS( 43 ),1774604.320000000065193,1623893.010000000009313,1762948.559999999823049,1733489.000000000000000,1664802.099999999860302,1818458.649999999906868,10378199.640000000596046
FS( 44 ),1776135.360000000335276,1615407.680000000167638,1776206.719999999739230,1747838.359999999869615,1676296.150000000139698,1901977.749999999767169,10493866.019999999552965
FS( 45 ),1793414.239999999990687,1608307.710000000195578,1757027.439999999944121,1750792.640000000130385,1662213.349999999860302,1896453.999999999767169,10468213.380000000819564
FS( 46 ),1820972.960000000195578,1615927.190000000176951,1759086.959999999962747,1752762.160000000149012,1662420.449999999953434,1895349.250000000000000,10506522.970000000670552
FS( 47 ),1791555.120000000111759,1609000.390000000130385,1774919.519999999785796,1753887.600000000093132,1660142.350000000093132,1880103.699999999953434,10469612.679999999701977
FS( 48 ),1796695.040000000270084,1627183.239999999990687,1785603.280000000027940,1751214.680000000167638,1661488.500000000000000,1890930.249999999767169,10513118.990000000223517
FS( 49 ),1818020.239999999990687,1667878.190000000176951,1800277.359999999869615,1770065.800000000046566,1664698.550000000046566,1898000.650000000139698,10618944.790000000968575
FS( 50 ),1837705.040000000270084,1705802.420000000158325,1800534.800000000046566,1766126.760000000009313,1677538.750000000232831,1909931.949999999953434,10697643.720000000670552
FS( 51 ),1842844.960000000195578,1698702.450000000186265,1819714.080000000074506,1769925.120000000111759,1689343.449999999953434,1918990.899999999674037,10739524.960000000894070
FS( 52 ),1851593.760000000242144,1714807.260000000009313,1830397.839999999850988,1779350.680000000167638,1701355.250000000000000,1934236.449999999953434,10811745.240000000223517
FS( 53 ),1868107.120000000111759,1701646.340000000316650,1822031.039999999804422,1782445.640000000130385,1694728.050000000046566,1931364.099999999860302,10800326.290000000968575
FS( 54 ),1888885.520000000251457,1711863.370000000111759,1840824.159999999916181,1797920.439999999944121,1632287.400000000139698,1932468.849999999860302,10804253.740000000223517
FS( 55 ),1920053.120000000111759,1698875.620000000111759,1866825.600000000093132,1801296.760000000009313,1662834.649999999906868,1942632.550000000046566,10892522.300000000745058
FS( 56 ),1917865.920000000391155,1700607.320000000298023,1869786.159999999916181,1798623.839999999850988,1662834.649999999906868,1939981.149999999906868,10889703.040000000968575
FS( 57 ),1934269.920000000391155,1654717.270000000018626,1862835.280000000027940,1804532.400000000139698,1683855.300000000046566,1948377.250000000000000,10888591.420000001788139
FS( 58 ),1940612.800000000279397,1653505.080000000307336,1878796.559999999823049,1809878.240000000223517,1688618.600000000093132,1953901.000000000000000,10925316.280000001192093
FS( 59 ),1962375.440000000176951,1687446.400000000139698,1870429.760000000009313,1786525.359999999869615,1712642.199999999953434,1944400.149999999906868,10963823.310000000521541
FS( 60 ),1971124.239999999990687,1673939.140000000130385,1865409.679999999934807,1795810.240000000223517,1712642.199999999953434,1943074.449999999953434,10962003.949999999254942
FS( 61 ),2011368.720000000204891,1707187.780000000027940,1888193.120000000111759,1815505.440000000176951,1739151.000000000000000,1966274.199999999720603,11127684.259999999776483
FS( 62 ),2001307.600000000325963,1634110.040000000037253,1904540.559999999823049,1803969.679999999934807,1732627.350000000093132,1956110.500000000000000,11032669.730000000447035
FS( 63 ),1992449.440000000176951,1647270.960000000195578,1902738.479999999981374,1799327.240000000223517,1741843.299999999813735,1961855.199999999953434,11045488.620000001043081
FS( 64 ),1978779.440000000176951,1656622.140000000130385,1893985.519999999785796,1801156.080000000074506,1747020.799999999813735,1965169.449999999953434,11042737.429999999701977
FS( 65 ),1990699.680000000400469,1661297.730000000214204,1879697.600000000093132,1801718.800000000046566,1742878.800000000279397,1967820.849999999860302,11044117.460000000894070
FS( 66 ),1987637.600000000325963,1614541.830000000307336,1891282.399999999674037,1802000.160000000149012,1738840.350000000093132,1965611.349999999860302,10999917.689999999478459
FS( 67 ),1974842.480000000214204,1582678.550000000279397,1887420.800000000046566,1802703.559999999823049,1739875.849999999860302,1968925.599999999860302,10956450.839999999850988
FS( 68 ),1954392.160000000149012,1598610.190000000176951,1890381.359999999869615,1800452.680000000167638,1760275.199999999953434,1982624.500000000000000,10986740.089999999850988
FS( 69 ),1958219.760000000242144,1604324.800000000279397,1897847.120000000111759,1795247.520000000018626,1762656.850000000093132,1991020.599999999860302,11009320.650000000372529
FS( 70 ),1954720.239999999990687,1590817.540000000037253,1894371.679999999934807,1797920.439999999944121,1750748.600000000093132,1978647.399999999906868,10967229.900000000372529
FS( 71 ),1954501.520000000251457,1616793.040000000037253,1904540.559999999823049,1799045.879999999888241,1778914.199999999953434,1986822.550000000046566,11040621.750000000000000
FS( 72 ),1948814.800000000279397,1607961.370000000111759,1914580.719999999739230,1800452.680000000167638,1773943.800000000279397,1989473.949999999953434,11035231.320000000298023
FS( 73 ),1969702.560000000055879,1609000.390000000130385,1925779.359999999869615,1809737.559999999823049,1757375.799999999813735,1993892.949999999720603,11065492.619999999180436
FS( 74 ),1961938.000000000000000,1652119.720000000204891,1902609.760000000009313,1811707.080000000074506,1739772.300000000046566,1970472.250000000000000,11038623.110000001266599
FS( 75 ),1924427.520000000251457,1600688.230000000214204,1887292.080000000074506,1808049.400000000139698,1736665.799999999813735,1945725.849999999860302,10902852.880000000819564
FS( 76 ),1935582.239999999990687,1600688.230000000214204,1896946.080000000074506,1816208.839999999850988,1729727.949999999953434,1955889.549999999813735,10935046.890000000596046
FS( 77 ),1938644.320000000065193,1597224.830000000307336,1905055.439999999944121,1814802.040000000037253,1711710.250000000000000,1963401.849999999860302,10930842.729999998584390
FS( 78 ),1922896.480000000214204,1595839.470000000204891,1901451.280000000027940,1819585.160000000149012,1708707.300000000046566,1970693.199999999953434,10919176.890000000596046
FS( 79 ),1925958.560000000055879,1584756.590000000316650,1890638.800000000046566,1821695.360000000102445,1704565.300000000046566,1965390.399999999906868,10893009.010000001639128
FS( 80 ),1939737.920000000391155,1609693.070000000298023,1894886.559999999823049,1821132.639999999897555,1712331.550000000046566,1969146.550000000046566,10946932.290000000968575
FS( 81 ),1942690.640000000130385,1608134.540000000037253,1892827.039999999804422,1812551.160000000149012,1692553.500000000000000,1970472.250000000000000,10919233.129999998956919
FS( 82 ),1946518.239999999990687,1614368.660000000149012,1891668.559999999823049,1819303.800000000046566,1708603.750000000232831,1966716.100000000093132,10947183.109999999403954
FS( 83 ),1934269.920000000391155,1606402.840000000316650,1890123.920000000158325,1823383.520000000251457,1698455.849999999860302,1963622.800000000046566,10916262.850000001490116
FS( 84 ),1931973.360000000335276,1597917.510000000009313,1887420.800000000046566,1823383.520000000251457,1714816.750000000000000,1974449.349999999860302,10929965.290000000968575
FS( 85 ),1954392.160000000149012,1630127.130000000121072,1883816.639999999897555,1818881.760000000009313,1708396.650000000139698,1961634.250000000000000,10957252.589999999850988
FS( 86 ),1936675.840000000316650,1632032.000000000000000,1887678.239999999757856,1834637.919999999925494,1712538.650000000139698,1967158.000000000000000,10970724.650000000372529
FS( 87 ),1939847.280000000260770,1659392.860000000102445,1895401.439999999944121,1830980.240000000223517,1712228.000000000000000,1968483.699999999953434,11006337.519999999552965
FS( 88 ),1956032.560000000055879,1654197.760000000009313,1893985.519999999785796,1828307.320000000065193,1719269.400000000139698,1960750.449999999720603,11012547.009999999776483
FS( 89 ),1941925.120000000111759,1682251.300000000279397,1907887.280000000027940,1828588.679999999934807,1713677.699999999953434,1963401.849999999860302,11037735.929999999701977
FS( 90 ),1952970.480000000214204,1681558.620000000111759,1907758.559999999823049,1845751.639999999897555,1717301.950000000186265,1963180.899999999674037,11068526.150000000372529
FS( 91 ),1925411.760000000242144,1642768.540000000037253,1886391.039999999804422,1846595.719999999972060,1714506.100000000093132,1959424.750000000000000,10975101.910000000149012
FS( 92 ),1920709.280000000260770,1612290.620000000111759,1878281.679999999934807,1839561.719999999972060,1708293.100000000093132,1963622.800000000046566,10922763.200000001117587
FS( 93 ),1957891.680000000400469,1630300.300000000279397,1896302.479999999981374,1847861.839999999850988,1731281.200000000186265,1984392.099999999860302,11048033.599999999627471
FS( 94 ),1945096.560000000055879,1634629.550000000279397,1902094.879999999888241,1861226.440000000176951,1745881.750000000000000,1982624.500000000000000,11071557.679999999701977
FS( 95 ),1951111.360000000335276,1618697.910000000149012,1895144.000000000000000,1866009.559999999823049,1752716.050000000046566,1983066.399999999906868,11066749.280000001192093
FS( 96 ),1960953.760000000242144,1639305.140000000130385,1914452.000000000000000,1874872.400000000139698,1776429.000000000000000,2013999.400000000139698,11180015.700000001117587
FS( 97 ),1972764.640000000130385,1633417.360000000102445,1930928.159999999916181,1876841.919999999925494,1772494.100000000093132,2013999.400000000139698,11200449.580000000074506
FS( 98 ),1991137.120000000111759,1676536.690000000176951,1955256.239999999757856,1888377.679999999934807,1784609.450000000186265,2029465.899999999674037,11325387.080000000074506
FS( 99 ),2006994.320000000065193,1808319.060000000288710,1969930.319999999832362,1993465.639999999897555,1802316.500000000000000,2035210.599999999860302,11616240.439999999478459
FS( 100 ),1987309.520000000251457,1812475.140000000130385,1985248.000000000000000,1981367.160000000149012,1805837.199999999953434,2028803.049999999813735,11601044.070000000298023
FS( 101 ),2003822.880000000121072,1778187.480000000214204,2009704.800000000046566,1981789.200000000186265,1808425.949999999953434,2023942.149999999674037,11605876.460000000894070
FS( 102 ),2021429.840000000316650,1770914.340000000316650,2009447.359999999869615,1968565.280000000027940,1811014.699999999953434,2015546.049999999813735,11596921.570000000298023
FS( 103 ),1994746.000000000000000,1766411.920000000158325,1985119.280000000027940,1985728.240000000223517,1808011.750000000000000,2016429.850000000093132,11556451.040000000968575
FS( 104 ),2006228.800000000279397,1757926.590000000316650,1994644.559999999823049,1986853.679999999934807,1803352.000000000000000,2044711.449999999953434,11593721.079999998211861
FS( 105 ),2005682.000000000000000,1758446.100000000325963,1995288.159999999916181,2006408.200000000186265,1786784.000000000000000,2042501.949999999953434,11595114.410000000149012
FS( 106 ),2002182.480000000214204,1721214.550000000279397,1993486.080000000074506,2018084.639999999897555,1802109.400000000139698,2046479.050000000046566,11583560.200000001117587
FS( 107 ),2023398.320000000065193,1725543.800000000279397,2004684.719999999739230,2025259.320000000065193,1803144.900000000139698,2034768.699999999953434,11616803.759999999776483
FS( 108 ),2034443.680000000400469,1720868.210000000195578,2019616.239999999757856,2029198.360000000102445,1806458.500000000000000,2031012.550000000046566,11641601.540000002831221
FS( 109 ),2044176.720000000204891,1719482.850000000325963,2029785.120000000111759,2030886.520000000251457,1794032.500000000232831,2032780.149999999906868,11651147.860000001266599
FS( 110 ),2003385.440000000176951,1738012.040000000037253,2035577.519999999785796,2033137.400000000139698,1795585.750000000000000,2038303.899999999906868,11644006.050000000745058
FS( 111 ),2011696.800000000279397,1748921.750000000000000,2010734.559999999823049,2028776.320000000065193,1794860.899999999906868,2034989.649999999674037,11629983.980000000447035
FS( 112 ),2004150.960000000195578,1744072.989999999990687,2020002.399999999674037,2044954.520000000251457,1779224.850000000093132,2048909.500000000000000,11641319.220000000670552
FS( 113 ),1994746.000000000000000,1773685.060000000288710,2025279.920000000158325,2057897.080000000074506,1776325.449999999953434,2059957.000000000000000,11687894.509999999776483
FS( 114 ),1998136.160000000149012,1772299.700000000186265,2037250.879999999888241,2072105.760000000009313,1741014.900000000139698,2058189.400000000139698,11679000.800000000745058
FS( 115 ),1955267.040000000270084,1734202.300000000279397,2009318.639999999897555,2059725.919999999925494,1748677.600000000093132,2027477.350000000093132,11534672.849999999627471
FS( 116 ),1940175.360000000335276,1735587.660000000149012,2004298.559999999823049,2068166.719999999972060,1775497.049999999813735,2026372.599999999860302,11550101.949999999254942
FS( 117 ),1976920.320000000065193,1773858.230000000214204,2012021.760000000009313,2084204.240000000223517,1787301.750000000000000,2043385.750000000000000,11677696.050000000745058
FS( 118 ),2008744.080000000074506,1771433.850000000325963,2007645.280000000027940,2084766.959999999962747,1809150.799999999813735,2061724.599999999860302,11743469.570000000298023
FS( 119 ),2006775.600000000325963,1794638.630000000121072,1993099.920000000158325,2079561.800000000046566,1814535.400000000139698,2073876.849999999860302,11762492.199999999254942
FS( 120 ),2026022.960000000195578,1800180.070000000298023,1995288.159999999916181,2103196.040000000037253,1818366.750000000000000,2094867.099999999860302,11837925.080000000074506
FS( 121 ),2045926.480000000214204,1818709.260000000009313,2014081.280000000027940,2107135.080000000074506,1843840.050000000279397,2099948.950000000186265,11929645.100000001490116
FS( 122 ),2040677.200000000186265,1829792.140000000130385,1994000.959999999962747,2108260.520000000018626,1838144.800000000046566,2091773.800000000046566,11902653.420000001788139
FS( 123 ),2043848.640000000130385,1826501.910000000149012,1980871.519999999785796,2109245.280000000260770,1828721.750000000000000,2092878.549999999813735,11882071.650000002235174
FS( 124 ),2052050.640000000130385,1825809.230000000214204,1976108.879999999888241,2122750.560000000055879,1814121.200000000186265,2104147.000000000000000,11894991.510000001639128
FS( 125 ),2048660.480000000214204,1829618.970000000204891,1997218.959999999962747,2143852.560000000055879,1859683.200000000186265,2107903.149999999906868,11986941.320000002160668
FS( 126 ),2080484.239999999990687,1834814.070000000298023,1999793.359999999869615,2162844.360000000335276,1857715.750000000000000,2124474.399999999906868,12060130.180000001564622
FS( 127 ),2066486.160000000149012,1821826.320000000298023,1992585.039999999804422,2149479.759999999776483,1857508.650000000139698,2133312.399999999906868,12021202.330000000074506
FS( 128 ),2042426.960000000195578,1810570.270000000018626,1984990.559999999823049,2127533.679999999701977,1872523.399999999906868,2116520.200000000186265,11954569.070000000298023
FS( 129 ),2057190.560000000055879,1792560.590000000316650,1994773.280000000027940,2137521.959999999962747,1897271.850000000093132,2123148.700000000186265,12002470.940000001341105
FS( 130 ),2077203.440000000176951,1818536.090000000316650,1975980.159999999916181,2130347.280000000260770,1881532.250000000000000,2123148.700000000186265,12006751.920000001788139
FS( 131 ),2078297.040000000270084,1834294.560000000288710,1969029.280000000027940,2131050.679999999701977,1879150.600000000093132,2089343.349999999860302,11981169.509999999776483
FS( 132 ),2077968.960000000195578,1836892.110000000102445,1958989.120000000111759,2088706.000000000000000,1856266.050000000046566,2065922.649999999906868,11884748.890000000596046
FS( 133 ),2089889.200000000186265,1831350.670000000158325,1982287.439999999944121,2107697.799999999813735,1874905.050000000279397,2100832.750000000000000,11986966.910000000149012
FS( 134 ),2103996.640000000596046,1813340.989999999990687,2017942.879999999888241,2119796.280000000260770,1888470.100000000093132,2106135.549999999813735,12049686.440000001341105
FS( 135 ),2137570.160000000149012,1842606.720000000204891,2018071.600000000093132,2126689.600000000093132,1867967.199999999953434,2080726.300000000046566,12073635.580000000074506
FS( 136 ),2148396.799999999813735,1863387.120000000111759,2016398.239999999757856,2138225.360000000335276,1880910.949999999953434,2080726.300000000046566,12128048.770000001415610
FS( 137 ),2177267.840000000782311,1861482.250000000000000,2044330.479999999981374,2154403.560000000055879,1895304.400000000139698,2094425.199999999953434,12227217.730000000447035
FS( 138 ),2169065.840000000782311,1853689.600000000325963,2029656.399999999674037,2167486.799999999813735,1897893.150000000139698,2085366.249999999767169,12203162.040000000968575
FS( 139 ),2178252.080000000074506,1791867.910000000149012,2015754.639999999897555,2162703.679999999701977,1914978.899999999906868,2088901.449999999953434,12152462.659999998286366
FS( 140 ),2181204.799999999813735,1798275.200000000186265,2001466.719999999739230,2177756.440000000409782,1931339.800000000046566,2075865.399999999906868,12165912.360000001266599
FS( 141 ),2211716.240000000223517,1802950.790000000037253,1947790.479999999981374,2175505.560000000055879,1918396.050000000046566,2111880.250000000000000,12168243.370000001043081
FS( 142 ),2187110.240000000223517,1805375.170000000158325,1949206.399999999674037,2165939.320000000298023,1917049.900000000139698,2103926.049999999813735,12128611.079999998211861
FS( 143 ),2175190.000000000000000,1799833.730000000214204,1959761.439999999944121,2162563.000000000000000,1911665.300000000046566,2096855.650000000139698,12105873.120000001043081
FS( 144 ),2183173.280000000260770,1843472.570000000298023,1972504.719999999739230,2170722.440000000409782,1923055.799999999813735,2126242.000000000000000,12219174.810000000521541
FS( 145 ),2159551.520000000484288,1829445.800000000279397,1958731.679999999934807,2154262.879999999888241,1918603.150000000139698,2086250.050000000046566,12106849.080000001937151
FS( 146 ),2162722.959999999962747,1860962.739999999990687,1974692.959999999962747,2154684.919999999925494,1920156.399999999906868,2072109.250000000000000,12145333.230000000447035
FS( 147 ),2171909.200000000186265,1852477.410000000149012,1982544.879999999888241,2145400.040000000037253,1932893.050000000046566,2062608.399999999674037,12147836.980000000447035
FS( 148 ),2207123.120000000111759,1861482.250000000000000,1965553.839999999850988,2153418.799999999813735,1949461.050000000046566,2077191.100000000093132,12214234.160000000149012
FS( 149 ),2203514.240000000223517,1844511.590000000316650,1957315.760000000009313,2153700.160000000149012,1935896.000000000000000,2060398.899999999906868,12155340.650000000372529
FS( 150 ),2213247.280000000260770,1851611.560000000288710,1959632.719999999739230,2198436.400000000372529,1946458.100000000093132,2075202.550000000046566,12244592.610000001266599
FS( 151 ),2230635.520000000484288,1867543.200000000186265,1946117.120000000111759,2187885.400000000372529,1935999.549999999813735,2101053.700000000186265,12269238.490000002086163
FS( 152 ),2255897.680000000633299,1874470.000000000000000,1938651.359999999869615,2179303.919999999925494,1925644.549999999813735,2108124.099999999627471,12282095.610000001266599
FS( 153 ),2257756.799999999813735,1886938.239999999990687,1964266.639999999897555,2202797.479999999981374,1933307.250000000000000,2125137.250000000000000,12370207.660000000149012
FS( 154 ),2255460.240000000223517,1878452.910000000149012,1973277.039999999804422,2181132.759999999776483,1920777.699999999953434,2119834.449999999720603,12328939.099999999627471
FS( 155 ),2280394.320000000298023,1883648.010000000009313,1967999.519999999785796,2184509.080000000074506,1935481.800000000046566,2141708.500000000000000,12393745.230000000447035
FS( 156 ),2285752.959999999962747,1884860.200000000186265,1981000.239999999757856,2184227.719999999739230,1929786.550000000046566,2139499.000000000000000,12405130.669999999925494
FS( 157 ),2277441.600000000558794,1854209.110000000102445,1958860.399999999674037,2165939.320000000298023,1934964.050000000046566,2156070.250000000000000,12347488.730000000447035
FS( 158 ),2306312.640000000596046,1867716.370000000111759,1973405.760000000009313,2164954.560000000055879,1959194.750000000000000,2170873.899999999906868,12442461.980000000447035
FS( 159 ),2299751.040000000037253,1858538.360000000102445,1892698.319999999832362,2169456.320000000298023,1983114.800000000046566,2167780.600000000093132,12371343.440000001341105
FS( 160 ),2320092.000000000000000,1845896.950000000186265,1887806.959999999962747,2165376.600000000093132,1986014.199999999953434,2200702.149999999906868,12405892.859999999403954
FS( 161 ),2320529.440000000409782,1873430.980000000214204,1861161.920000000158325,2136255.839999999850988,1976798.250000000000000,2217715.299999999813735,12385895.730000000447035
FS( 162 ),2323591.520000000484288,1983567.100000000325963,1891926.000000000000000,2237826.799999999813735,1971724.300000000046566,2209319.199999999720603,12617958.920000001788139
FS( 163 ),2553138.160000000149012,1965903.760000000009313,1888321.839999999850988,2201812.719999999739230,1975348.550000000046566,2228320.899999999906868,12812849.930000001564622
FS( 164 ),2635704.959999999962747,1980623.210000000195578,1901708.719999999739230,2208002.639999999664724,1956502.450000000186265,2200039.299999999813735,12882585.280000001192093
FS( 165 ),2638657.680000000633299,1975947.620000000111759,1906213.920000000158325,2192527.839999999850988,1979490.550000000046566,2190759.399999999906868,12883601.010000001639128
FS( 166 ),2651671.520000000484288,1973350.070000000298023,1925779.359999999869615,2182539.560000000055879,1986324.850000000093132,2199818.350000000093132,12919487.710000000894070
