代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12345614.620000001043081
真實報酬,2345614.620000001043081

夏普值報酬,0.225861462000000
夏普值風險,0.082640487825229
夏普值,2.733060609197514

二次趨勢線,61.297384417364825 x^2 + -4878.693298129337563 x + 10000000.000000000000000
二次加權預期報酬,15839.822634939975615
風險,230078.027453559043352
二次加權趨勢值,0.068845438263926
一次趨勢線,6775.426575920065261 x + 10000000.000000000000000
一次預期報酬,6775.426575920065261
一次風險,497262.551555699552409
一次趨勢值,0.013625451091627
找到最佳解世代,2440
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),KO[14](7),TRV[22](14),VZ[26](12),WMT[28](15),
FS( 27 ),2082251.540000000037253,2057519.360000000102445,1916995.339999999850988,2066720.609999999869615,1991896.959999999962747,10115383.809999998658895
FS( 28 ),2049026.780000000027940,2040143.719999999739230,1903596.949999999953434,2046869.849999999860302,1984162.239999999990687,10023799.539999999105930
FS( 29 ),2047811.239999999990687,2032354.640000000130385,1906211.269999999785796,2045215.620000000111759,1986740.479999999981374,10018333.250000000000000
FS( 30 ),2072527.219999999972060,2038945.399999999906868,1910786.329999999841675,2036944.469999999739230,1989687.040000000270084,10048890.460000000894070
FS( 31 ),2070906.500000000000000,2027561.360000000102445,1886603.869999999878928,2033636.010000000009313,1975322.560000000288710,9994030.300000000745058
FS( 32 ),2112234.860000000335276,2023367.240000000223517,1892159.299999999813735,2030327.550000000046566,1975322.560000000288710,10033411.509999999776483
FS( 33 ),2163692.719999999739230,2010784.880000000121072,1847062.280000000027940,2024262.040000000037253,1963904.640000000130385,10009706.560000000521541
FS( 34 ),2181520.640000000130385,2076692.479999999748543,1863728.570000000065193,2038598.699999999953434,1987845.440000000176951,10148385.830000000074506
FS( 35 ),2239461.380000000353903,2063510.959999999729916,1864708.939999999944121,2058449.459999999729916,1984898.880000000121072,10211029.619999999180436
FS( 36 ),2241892.459999999962747,2077291.640000000130385,1885296.709999999962747,2071683.300000000046566,2006261.440000000176951,10282425.549999998882413
FS( 37 ),2276737.939999999944121,2089274.839999999850988,1881702.019999999785796,2025916.270000000018626,2008103.040000000270084,10281734.109999999403954
FS( 38 ),2306721.259999999776483,2074895.000000000000000,1851310.549999999813735,1997242.949999999953434,1987845.440000000176951,10218015.199999999254942
FS( 39 ),2335083.860000000335276,2073097.520000000018626,1856212.399999999906868,2000551.409999999916181,1973849.280000000260770,10238794.470000002533197
FS( 40 ),2272280.959999999962747,2058118.520000000018626,1838892.530000000027940,1996691.540000000037253,1961326.400000000139698,10127309.950000001117587
FS( 41 ),2267823.979999999981374,2061713.479999999748543,1813729.699999999953434,1966363.989999999757856,1951750.080000000307336,10061381.230000000447035
FS( 42 ),2260125.560000000055879,2037747.079999999841675,1801638.469999999972060,1945961.819999999832362,1941437.120000000111759,9986910.050000000745058
FS( 43 ),2296591.759999999776483,2029358.839999999850988,1784645.389999999897555,1977943.599999999860302,1938122.239999999990687,10026661.829999998211861
FS( 44 ),2251211.600000000093132,2008987.399999999906868,1769939.839999999850988,1956990.020000000018626,1903500.160000000149012,9890629.019999999552965
FS( 45 ),2272280.959999999962747,2049131.120000000111759,1771900.579999999841675,1983457.699999999953434,1888767.360000000102445,9965537.720000000670552
FS( 46 ),2184356.899999999906868,1971839.479999999748543,1742162.689999999944121,1925559.650000000139698,1845305.600000000093132,9669224.320000000298023
FS( 47 ),2162477.179999999701977,2000599.159999999916181,1717980.229999999981374,1932727.979999999748543,1872929.600000000093132,9686714.150000000372529
FS( 48 ),2044569.800000000046566,1950868.880000000121072,1587591.019999999785796,1826305.849999999860302,1801843.840000000316650,9211179.390000000596046
FS( 49 ),2164908.259999999776483,1997603.360000000102445,1689222.709999999962747,1890820.819999999832362,1871824.640000000130385,9614379.790000000968575
FS( 50 ),2105346.800000000279397,1916117.599999999860302,1602623.359999999869615,1856081.989999999757856,1783059.520000000018626,9263229.269999999552965
FS( 51 ),2163287.540000000037253,1991611.760000000009313,1679419.010000000009313,1909017.349999999860302,1831677.760000000009313,9575013.419999999925494
FS( 52 ),2182331.000000000000000,2011384.040000000037253,1670922.469999999972060,1891372.229999999748543,1832414.400000000139698,9588424.139999998733401
FS( 53 ),2219202.380000000353903,2043139.520000000018626,1708176.530000000027940,1932727.979999999748543,1840885.760000000009313,9744132.169999999925494
FS( 54 ),2202184.820000000298023,2042540.360000000102445,1698699.619999999878928,1923354.010000000009313,1912339.840000000316650,9779118.650000000372529
FS( 55 ),2202184.820000000298023,2075494.159999999916181,1705889.000000000000000,1963606.939999999944121,1898712.000000000000000,9845886.919999999925494
FS( 56 ),2118717.739999999757856,2029958.000000000000000,1627132.609999999869615,1933830.800000000046566,1907551.680000000167638,9617190.830000000074506
FS( 57 ),2060777.000000000000000,2010185.719999999739230,1616348.540000000037253,1913980.040000000037253,1926336.000000000000000,9527627.300000000745058
FS( 58 ),2063208.080000000074506,2015578.159999999916181,1605237.679999999934807,1920045.550000000046566,1922284.479999999981374,9526353.949999999254942
FS( 59 ),2162477.179999999701977,2068903.399999999906868,1612753.850000000093132,1982906.290000000037253,1959853.120000000111759,9786893.839999999850988
FS( 60 ),2177468.840000000316650,2087477.360000000102445,1617982.489999999990687,2011028.199999999953434,1965746.239999999990687,9859703.130000000819564
FS( 61 ),2163287.540000000037253,2036548.760000000009313,1568310.409999999916181,1972429.500000000000000,1941068.800000000279397,9681645.009999999776483
FS( 62 ),2220417.919999999925494,2052126.919999999925494,1578440.899999999906868,1971878.089999999850988,1948435.200000000186265,9771299.030000001192093
FS( 63 ),2257289.300000000279397,2089274.839999999850988,1658504.449999999953434,1992831.669999999925494,1959116.479999999981374,9957016.740000000223517
FS( 64 ),2257289.300000000279397,2092869.799999999813735,1640857.790000000037253,2002205.640000000130385,1945488.640000000130385,9938711.169999999925494
FS( 65 ),2227711.159999999683350,2110844.599999999627471,1649027.540000000037253,1994485.900000000139698,1959116.479999999981374,9941185.679999999701977
FS( 66 ),2205426.259999999776483,2110844.599999999627471,1640857.790000000037253,1978495.010000000009313,1939227.200000000186265,9874850.859999999403954
FS( 67 ),2165313.439999999944121,2089274.839999999850988,1597067.929999999934807,1960849.890000000130385,1916391.360000000102445,9728897.459999999031425
FS( 68 ),2198133.020000000018626,2080287.439999999944121,1585957.070000000065193,1942101.949999999953434,1903500.160000000149012,9709979.640000000596046
FS( 69 ),2222443.820000000298023,2121030.319999999832362,1641184.579999999841675,1964158.349999999860302,1930755.840000000316650,9879572.910000000149012
FS( 70 ),2223659.360000000335276,2132414.360000000335276,1612427.060000000055879,1950924.510000000009313,1923021.120000000111759,9842446.410000000149012
FS( 71 ),2185167.259999999776483,2078489.959999999729916,1573212.260000000009313,1943204.770000000018626,1891713.920000000158325,9671788.169999999925494
FS( 72 ),2199348.560000000055879,2078489.959999999729916,1600009.040000000037253,1943756.179999999934807,1908656.640000000130385,9730260.379999998956919
FS( 73 ),2226495.620000000111759,2070101.719999999739230,1599355.459999999962747,1957541.429999999934807,1900185.280000000260770,9753679.509999999776483
FS( 74 ),2253237.500000000000000,2090473.159999999916181,1599355.459999999962747,1963055.530000000027940,1922652.800000000279397,9828774.450000001117587
FS( 75 ),2274712.040000000037253,2127621.079999999608845,1628766.560000000055879,1995588.719999999739230,1934070.719999999972060,9960759.119999999180436
FS( 76 ),2318066.300000000279397,2134211.839999999850988,1653929.389999999897555,2024813.449999999953434,1939227.200000000186265,10070248.179999999701977
FS( 77 ),2382489.919999999925494,2111443.760000000242144,1630727.299999999813735,2000551.409999999916181,1931860.800000000279397,10057073.189999999478459
FS( 78 ),2393024.600000000093132,2116836.199999999720603,1647720.380000000121072,2007719.739999999757856,1925967.680000000167638,10091268.599999999627471
FS( 79 ),2385731.360000000335276,2075494.159999999916181,1574846.209999999962747,1976289.370000000111759,1890240.640000000130385,9902601.740000000223517
FS( 80 ),2325764.719999999739230,2031755.479999999748543,1548376.219999999972060,1962504.120000000111759,1851935.360000000102445,9720335.899999998509884
FS( 81 ),2340351.199999999720603,2019772.280000000027940,1539879.679999999934807,1978495.010000000009313,1871088.000000000000000,9749586.169999998062849
FS( 82 ),2333868.320000000298023,2059916.000000000000000,1579748.060000000055879,2004962.689999999944121,1909024.959999999962747,9887520.030000001192093
FS( 83 ),2311178.239999999757856,2083882.399999999906868,1609159.159999999916181,2034187.419999999925494,1916391.360000000102445,9954798.580000000074506
FS( 84 ),2298212.479999999981374,2038945.399999999906868,1574192.630000000121072,2031430.370000000111759,1889872.320000000298023,9832653.199999999254942
FS( 85 ),2260935.919999999925494,2068903.399999999906868,1623864.709999999962747,2048524.079999999841675,1912708.160000000149012,9914936.269999999552965
FS( 86 ),2207046.979999999981374,2023966.399999999906868,1592492.869999999878928,2029224.729999999748543,1911603.200000000186265,9764334.179999999701977
FS( 87 ),2168149.699999999720603,1959856.280000000027940,1529422.399999999906868,2003859.870000000111759,1913813.120000000111759,9575101.369999999180436
FS( 88 ),2155994.300000000279397,1954463.839999999850988,1571251.519999999785796,2007168.329999999841675,1947698.560000000288710,9636576.550000000745058
FS( 89 ),2189624.239999999757856,1963451.240000000223517,1619943.229999999981374,1972429.500000000000000,1939227.200000000186265,9684675.410000000149012
FS( 90 ),2184356.899999999906868,1959257.120000000111759,1640204.209999999962747,1980149.239999999757856,1942910.400000000139698,9706877.870000001043081
FS( 91 ),2140597.459999999962747,1974236.120000000111759,1601316.199999999953434,1993934.489999999757856,1977900.800000000279397,9687985.070000000298023
FS( 92 ),2250401.239999999757856,2004194.120000000111759,1669942.100000000093132,2034738.829999999841675,2018784.320000000298023,9978060.609999999403954
FS( 93 ),2316850.759999999776483,2001198.319999999832362,1647720.380000000121072,2012682.429999999934807,2015469.440000000176951,9993921.330000000074506
FS( 94 ),2328195.800000000279397,2021569.760000000009313,1681052.959999999962747,2022056.400000000139698,2033148.800000000279397,10086023.720000000670552
FS( 95 ),2364256.820000000298023,2019173.120000000111759,1648700.750000000000000,2041355.750000000000000,2026519.040000000270084,10100005.480000000447035
FS( 96 ),2442861.739999999757856,2032354.640000000130385,1675497.530000000027940,2058449.459999999729916,2042725.120000000111759,10251888.490000000223517
FS( 97 ),2431111.520000000018626,2007189.919999999925494,1620270.019999999785796,2036944.469999999739230,2017679.360000000102445,10113195.289999999105930
FS( 98 ),2444077.280000000260770,1999400.839999999850988,1681706.540000000037253,2053486.770000000018626,2058562.880000000121072,10237234.310000000521541
FS( 99 ),2307531.620000000111759,2008388.240000000223517,1777456.010000000009313,2043009.979999999748543,2071822.400000000139698,10208208.250000000000000
FS( 100 ),2288082.979999999981374,2010784.880000000121072,1782031.070000000065193,2045767.030000000027940,2076242.239999999990687,10202908.200000001117587
FS( 101 ),2273901.679999999701977,2043139.520000000018626,1874185.850000000093132,2063412.150000000139698,2096499.840000000316650,10351139.039999999105930
FS( 102 ),2348859.979999999981374,2033552.959999999729916,1883009.179999999934807,2036393.059999999823049,2091343.360000000102445,10393158.539999999105930
FS( 103 ),2302264.280000000260770,2005991.599999999627471,1841180.060000000055879,1995588.719999999739230,2088765.120000000111759,10233789.779999999329448
FS( 104 ),2318876.659999999683350,2021569.760000000009313,1879087.699999999953434,2029776.140000000130385,2113074.240000000223517,10362384.500000000000000
FS( 105 ),2342377.100000000093132,2053924.399999999906868,1921243.609999999869615,2076645.989999999757856,2129280.320000000298023,10523471.419999999925494
FS( 106 ),2343997.820000000298023,2065308.439999999944121,1943792.119999999878928,2074991.760000000009313,2104971.200000000186265,10533061.339999999850988
FS( 107 ),2343187.459999999962747,2046734.479999999748543,1906864.850000000093132,2039150.109999999869615,2089133.440000000176951,10425070.339999997988343
FS( 108 ),2294971.040000000037253,2008388.240000000223517,1844121.169999999925494,2011028.199999999953434,2071085.760000000009313,10229594.410000000149012
FS( 109 ),2300238.380000000353903,2030557.159999999916181,1885950.290000000037253,2029224.729999999748543,2094289.920000000158325,10340260.480000000447035
FS( 110 ),2333057.959999999962747,2056920.199999999720603,1914381.019999999785796,2065066.380000000121072,2114915.839999999850988,10484341.399999998509884
FS( 111 ),2316850.759999999776483,2030557.159999999916181,1900002.260000000009313,2049626.900000000139698,2117862.400000000372529,10414899.480000000447035
FS( 112 ),2313609.320000000298023,2043139.520000000018626,1915688.179999999934807,2059000.870000000111759,2134068.480000000447035,10465506.370000001043081
FS( 113 ),2351291.060000000055879,2056920.199999999720603,1929086.570000000065193,2068926.250000000000000,2184896.640000000596046,10591120.720000000670552
FS( 114 ),2288082.979999999981374,2008388.240000000223517,1860133.880000000121072,2034187.419999999925494,2138120.000000000000000,10328912.519999999552965
FS( 115 ),2229737.060000000055879,2019173.120000000111759,1875819.799999999813735,2058449.459999999729916,2141066.560000000521541,10324246.000000000000000
FS( 116 ),2226495.620000000111759,2040742.880000000121072,1909479.169999999925494,2068926.250000000000000,2180476.799999999813735,10426120.719999998807907
FS( 117 ),2195296.759999999776483,2031156.319999999832362,1880068.070000000065193,2040252.929999999934807,2169058.879999999888241,10315832.960000000894070
FS( 118 ),2250806.419999999925494,2037147.919999999925494,1872225.109999999869615,2053486.770000000018626,2116389.120000000111759,10330055.339999999850988
FS( 119 ),2227305.979999999981374,2007789.079999999841675,1841180.060000000055879,2020953.579999999841675,2087660.160000000149012,10184888.859999999403954
FS( 120 ),2184762.080000000074506,1995805.880000000121072,1821245.869999999878928,2023710.630000000121072,2089501.760000000009313,10115026.220000000670552
FS( 121 ),2170175.600000000093132,2019173.120000000111759,1837258.579999999841675,2010476.790000000037253,2107917.759999999776483,10145001.849999999627471
FS( 122 ),2136140.479999999981374,1976033.599999999627471,1789547.239999999990687,1988971.800000000046566,2086923.520000000018626,9977616.639999998733401
FS( 123 ),2179494.739999999757856,1976632.760000000009313,1762750.459999999962747,1995588.719999999739230,2093921.600000000093132,10008388.279999999329448
FS( 124 ),2124390.259999999776483,1943678.959999999729916,1724189.239999999990687,1949270.280000000027940,2086186.880000000121072,9827715.620000001043081
FS( 125 ),2104536.439999999944121,1939484.839999999850988,1745430.589999999850988,1949270.280000000027940,2095394.880000000121072,9834117.029999999329448
FS( 126 ),2177063.659999999683350,1952666.360000000102445,1771900.579999999841675,1998897.179999999934807,2108654.400000000372529,10009182.179999999701977
FS( 127 ),2160046.100000000093132,1983223.520000000018626,1766998.729999999981374,2019850.760000000009313,2142539.839999999850988,10072658.949999999254942
FS( 128 ),2212314.320000000298023,2014379.839999999850988,1838238.949999999953434,2080505.859999999869615,2169427.200000000186265,10314866.170000001788139
FS( 129 ),2245539.080000000074506,2002396.640000000130385,1798697.359999999869615,2082711.500000000000000,2158745.919999999925494,10288090.500000000000000
FS( 130 ),2255668.580000000074506,1988615.959999999729916,1772554.159999999916181,2087122.780000000027940,2139593.280000000260770,10243554.760000001639128
FS( 131 ),2274712.040000000037253,1986818.479999999748543,1786606.130000000121072,2098150.979999999515712,2148801.280000000260770,10295088.910000000149012
FS( 132 ),2262961.820000000298023,1997603.360000000102445,1808827.850000000093132,2113039.049999999813735,2165007.360000000335276,10347439.440000001341105
FS( 133 ),2252021.959999999962747,2000599.159999999916181,1826801.299999999813735,2112487.639999999664724,2155062.719999999739230,10346972.779999999329448
FS( 134 ),2261341.100000000093132,1999400.839999999850988,1814710.070000000065193,2084917.140000000130385,2135541.759999999776483,10295910.910000000149012
FS( 135 ),2278358.659999999683350,2023966.399999999906868,1830722.780000000027940,2119104.559999999590218,2148064.640000000596046,10400217.039999999105930
FS( 136 ),2268229.159999999683350,2004194.120000000111759,1824513.769999999785796,2114693.280000000260770,2139593.280000000260770,10351223.609999999403954
FS( 137 ),2250401.239999999757856,1991611.760000000009313,1827781.669999999925494,2109730.589999999850988,2121545.600000000558794,10301070.859999999403954
FS( 138 ),2200564.100000000093132,1985021.000000000000000,1829088.829999999841675,2109730.589999999850988,2123387.200000000186265,10247791.719999998807907
FS( 139 ),2193270.860000000335276,2004194.120000000111759,1856539.189999999944121,2118553.150000000372529,2134436.799999999813735,10306994.120000001043081
FS( 140 ),2205426.259999999776483,2020371.439999999944121,1871898.320000000065193,2138403.910000000149012,2146223.040000000037253,10382322.969999998807907
FS( 141 ),2212314.320000000298023,2018573.959999999729916,1853271.290000000037253,2130132.759999999776483,2128175.360000000335276,10342467.690000001341105
FS( 142 ),2291729.600000000093132,2049131.120000000111759,1900329.049999999813735,2162114.540000000037253,2180108.480000000447035,10583412.790000000968575
FS( 143 ),2294971.040000000037253,2083882.399999999906868,1931047.310000000055879,2163217.359999999403954,2187474.879999999888241,10660592.989999998360872
FS( 144 ),2307126.439999999944121,2073097.520000000018626,1934315.209999999962747,2166525.820000000298023,2180108.480000000447035,10661173.470000000670552
FS( 145 ),2334678.679999999701977,2095266.439999999944121,1939543.850000000093132,2204573.109999999403954,2209574.080000000074506,10783636.159999998286366
FS( 146 ),2353316.959999999962747,2093468.959999999729916,1945426.070000000065193,2205124.520000000484288,2203680.959999999962747,10801017.470000002533197
FS( 147 ),2330626.880000000353903,2082684.079999999841675,1923531.139999999897555,2192442.089999999850988,2199997.759999999776483,10729281.949999999254942
FS( 148 ),2344808.179999999701977,2101857.199999999720603,1950327.919999999925494,2208432.979999999515712,2209574.080000000074506,10815000.359999997541308
FS( 149 ),2344403.000000000000000,2096464.760000000009313,1933661.630000000121072,2212292.849999999627471,2201102.719999999739230,10787924.959999997168779
FS( 150 ),2380464.020000000018626,2101258.040000000037253,1927779.409999999916181,2190787.859999999403954,2222096.959999999962747,10822386.289999999105930
FS( 151 ),2393024.600000000093132,2088076.520000000018626,1919936.449999999953434,2162114.540000000037253,2199261.120000000111759,10762413.230000000447035
FS( 152 ),2419766.479999999981374,2078489.959999999729916,1938890.269999999785796,2147226.469999999739230,2188579.839999999850988,10772953.019999999552965
FS( 153 ),2444887.640000000130385,2065308.439999999944121,1939543.850000000093132,2113590.459999999962747,2173110.400000000372529,10736440.790000000968575
FS( 154 ),2441241.020000000018626,2065308.439999999944121,1950654.709999999962747,2115796.099999999627471,2179740.160000000149012,10752740.429999999701977
FS( 155 ),2449749.800000000279397,2077291.640000000130385,1964053.100000000093132,2126824.299999999813735,2174583.679999999701977,10792502.519999999552965
FS( 156 ),2445698.000000000000000,2038945.399999999906868,1957517.299999999813735,2145020.830000000074506,2187843.200000000186265,10775024.730000000447035
FS( 157 ),2439215.120000000111759,2023966.399999999906868,1954249.399999999906868,2146123.650000000372529,2191526.400000000372529,10755080.970000000670552
FS( 158 ),2429895.979999999981374,2006590.760000000009313,1940197.429999999934807,2146123.650000000372529,2192999.679999999701977,10715807.500000000000000
FS( 159 ),2458258.580000000074506,2017375.640000000130385,1950654.709999999962747,2151637.750000000000000,2204417.600000000558794,10782344.280000001192093
FS( 160 ),2483784.919999999925494,2025164.719999999739230,1957190.510000000009313,2151086.339999999850988,2210310.719999999739230,10827537.209999997168779
FS( 161 ),2476086.500000000000000,2020970.599999999627471,1970588.899999999906868,2150534.929999999701977,2232409.919999999925494,10850590.849999999627471
FS( 162 ),2432732.239999999757856,2040143.719999999739230,2012744.810000000055879,2148880.700000000186265,2247142.719999999739230,10881644.189999997615814
FS( 163 ),2474060.600000000093132,2053325.240000000223517,1970262.109999999869615,2117450.330000000074506,2243459.519999999552965,10858557.799999998882413
FS( 164 ),2433542.600000000093132,2034152.120000000111759,1895427.199999999953434,2083814.319999999832362,2261138.879999999888241,10708075.120000001043081
FS( 165 ),2585485.100000000093132,2050329.439999999944121,1933008.049999999813735,2078300.219999999739230,2264085.440000000409782,10911208.250000000000000
FS( 166 ),2573734.880000000353903,2037747.079999999841675,1918302.500000000000000,2059000.870000000111759,2245669.440000000409782,10834454.769999999552965
FS( 167 ),2589131.719999999739230,2020371.439999999944121,1897061.149999999906868,2051832.540000000037253,2236093.120000000111759,10794489.970000002533197
FS( 168 ),2622356.479999999981374,2020970.599999999627471,1899021.889999999897555,2073888.939999999944121,2257824.000000000000000,10874061.910000000149012
FS( 169 ),2642210.299999999813735,2023367.240000000223517,1905230.899999999906868,2076645.989999999757856,2260033.919999999925494,10907488.349999999627471
FS( 170 ),2640589.580000000074506,2032354.640000000130385,1936929.530000000027940,2084365.729999999748543,2290236.160000000149012,10984475.640000000596046
FS( 171 ),2634511.879999999888241,2032354.640000000130385,1940851.010000000009313,2071131.890000000130385,2281396.480000000447035,10960245.900000000372529
FS( 172 ),2660848.580000000074506,2039544.559999999823049,1964706.679999999934807,2086571.370000000111759,2284711.360000000335276,11036382.550000000745058
FS( 173 ),2685564.560000000055879,2038346.240000000223517,1938890.269999999785796,2103113.669999999925494,2279186.560000000521541,11045101.300000000745058
FS( 174 ),2713927.160000000149012,2053924.399999999906868,1952288.659999999916181,2090982.650000000139698,2272188.480000000447035,11083311.350000001490116
FS( 175 ),2759307.319999999832362,2047333.640000000130385,1955883.350000000093132,2090982.650000000139698,2269610.240000000223517,11123117.200000001117587
FS( 176 ),2854524.620000000111759,2036548.760000000009313,1957190.510000000009313,2090982.650000000139698,2282133.120000000111759,11221379.660000000149012
FS( 177 ),2856145.339999999850988,2035350.439999999944121,1940524.219999999972060,2078300.219999999739230,2279923.200000000186265,11190243.419999998062849
FS( 178 ),2909223.919999999925494,2050329.439999999944121,1927779.409999999916181,2102562.259999999776483,2275871.679999999701977,11265766.709999999031425
FS( 179 ),2948931.560000000055879,2064110.120000000111759,1933334.839999999850988,2097599.570000000298023,2291709.440000000409782,11335685.530000001192093
FS( 180 ),2880861.319999999832362,2049131.120000000111759,1937583.109999999869615,2086019.959999999729916,2274766.719999999739230,11228362.229999996721745
FS( 181 ),2906792.839999999850988,2062911.799999999813735,1942484.959999999962747,2098150.979999999515712,2285079.679999999701977,11295420.259999997913837
FS( 182 ),2906387.660000000149012,2068903.399999999906868,1955883.350000000093132,2120758.790000000037253,2301285.759999999776483,11353218.959999999031425
FS( 183 ),2980130.419999999925494,2061713.479999999748543,1936929.530000000027940,2122413.020000000484288,2212520.640000000596046,11313707.089999999850988
FS( 184 ),2969595.740000000223517,2074895.000000000000000,1926145.459999999962747,2106973.540000000037253,2158377.600000000558794,11235987.339999999850988
FS( 185 ),2989044.379999999888241,2072498.360000000102445,1926799.040000000037253,2102562.259999999776483,2156167.679999999701977,11247071.719999998807907
FS( 186 ),3023889.859999999869615,2067105.919999999925494,1915034.600000000093132,2103113.669999999925494,2165375.679999999701977,11274519.729999998584390
FS( 187 ),3043338.500000000000000,2062312.640000000130385,1915034.600000000093132,2102562.259999999776483,2153221.120000000111759,11276469.120000001043081
FS( 188 ),3099253.339999999850988,2062312.640000000130385,1908498.799999999813735,2103665.080000000074506,2170532.160000000149012,11344262.019999999552965
FS( 189 ),3139771.339999999850988,2092869.799999999813735,1894446.829999999841675,2101459.439999999478459,2176056.959999999962747,11404604.370000001043081
FS( 190 ),3151521.560000000055879,2085080.719999999739230,1909152.380000000121072,2119104.559999999590218,2166480.640000000596046,11431339.859999999403954
FS( 191 ),3155573.359999999869615,2072498.360000000102445,1895753.989999999990687,2132338.400000000372529,2173478.719999999739230,11429642.829999998211861
