代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13147113.660000000149012
真實報酬,3147113.660000000149012

夏普值報酬,0.306011366000000
夏普值風險,0.097012271657546
夏普值,3.154357286676293

二次趨勢線,25.189636325127346 x^2 + 8303.470440704777502 x + 10000000.000000000000000
二次加權預期報酬,16783.981336830987857
風險,203149.747484913183143
二次加權趨勢值,0.082618765440885
一次趨勢線,13073.739114600279208 x + 10000000.000000000000000
一次預期報酬,13073.739114600279208
一次風險,271243.530330390902236
一次趨勢值,0.048199266167476
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AXP[1](3),CVX[5](5),MCD[15](13),UNH[23](1),
FS( 37 ),2377752.600000000093132,2546592.850000000093132,2673664.560000000055879,2837147.839999999850988,10435157.849999999627471
FS( 38 ),2353858.790000000037253,2523778.420000000391155,2656226.930000000167638,2818064.000000000000000,10351928.140000000596046
FS( 39 ),2396645.379999999888241,2574548.560000000055879,2672596.949999999720603,2841123.639999999664724,10484914.529999997466803
FS( 40 ),2413871.149999999906868,2573263.240000000223517,2660497.370000000111759,2810907.560000000055879,10458539.320000000298023
FS( 41 ),2427762.899999999906868,2598969.640000000130385,2655871.060000000055879,2786257.600000000093132,10468861.199999999254942
FS( 42 ),2389977.339999999850988,2611822.840000000316650,2649465.399999999906868,2798980.160000000149012,10450245.740000000223517
FS( 43 ),2335521.680000000167638,2604432.250000000000000,2651600.620000000111759,2791823.719999999739230,10383378.269999999552965
FS( 44 ),2321629.930000000167638,2633351.950000000186265,2666191.290000000037253,2817268.839999999850988,10438442.010000001639128
FS( 45 ),2169932.019999999552965,2612786.830000000074506,2667258.899999999906868,2746499.600000000093132,10196477.349999999627471
FS( 46 ),2127145.430000000167638,2679623.470000000204891,2698219.589999999850988,2788643.080000000074506,10293631.570000000298023
FS( 47 ),2114920.689999999944121,2688299.379999999888241,2683273.050000000279397,2707536.759999999776483,10194029.880000000819564
FS( 48 ),2101584.609999999869615,2683800.759999999776483,2699643.069999999832362,2730596.400000000372529,10215624.839999999850988
FS( 49 ),2111031.000000000000000,2697296.620000000111759,2708183.949999999720603,2731391.560000000055879,10247903.130000000819564
FS( 50 ),2108252.649999999906868,2689906.029999999795109,2690034.580000000074506,2755246.359999999869615,10243439.619999999180436
FS( 51 ),2141592.850000000093132,2694083.320000000298023,2689678.709999999962747,2784667.280000000260770,10310022.160000000149012
FS( 52 ),2181601.089999999850988,2688620.709999999962747,2695728.500000000000000,2808522.080000000074506,10374472.379999998956919
FS( 53 ),2191603.149999999906868,2696011.300000000279397,2741635.730000000447035,2845099.439999999944121,10474349.620000001043081
FS( 54 ),2172154.700000000186265,2686692.729999999981374,2757294.010000000242144,2861002.639999999664724,10477144.079999998211861
FS( 55 ),2197715.519999999552965,2714648.440000000409782,2751600.089999999850988,2882471.959999999962747,10546436.009999999776483
FS( 56 ),2184379.439999999944121,2660343.670000000391155,2739856.379999999888241,2806931.759999999776483,10391511.250000000000000
FS( 57 ),2207717.579999999608845,2699867.259999999776483,2754802.919999999925494,2920639.639999999664724,10583027.399999998509884
FS( 58 ),2237723.760000000242144,2707257.850000000093132,2791457.529999999795109,2901555.800000000279397,10637994.940000001341105
FS( 59 ),2168820.680000000167638,2716897.750000000000000,2795372.100000000093132,2962783.119999999646097,10643873.649999998509884
FS( 60 ),2183823.769999999552965,2727180.310000000055879,2800710.149999999906868,2986637.919999999925494,10698352.150000000372529
FS( 61 ),2228277.370000000111759,2736177.550000000279397,2802845.370000000111759,2987433.080000000074506,10754733.370000001043081
FS( 62 ),2260506.229999999981374,2709185.830000000074506,2757294.010000000242144,2857026.839999999850988,10584012.910000000149012
FS( 63 ),2290512.409999999683350,2713363.120000000111759,2757294.010000000242144,2882471.959999999962747,10643641.500000000000000
FS( 64 ),2303848.489999999757856,2654238.399999999906868,2767614.239999999757856,2866568.759999999776483,10592269.889999998733401
FS( 65 ),2309405.189999999944121,2617285.450000000186265,2771528.810000000055879,2871339.719999999739230,10569559.170000001788139
FS( 66 ),2355525.799999999813735,2639778.550000000279397,2790034.050000000279397,2942108.959999999962747,10727447.359999999403954
FS( 67 ),2337744.359999999869615,2657451.700000000186265,2793592.750000000000000,2915073.519999999552965,10703862.330000000074506
FS( 68 ),2429985.579999999608845,2735856.220000000204891,2817791.910000000149012,2926205.759999999776483,10909839.469999998807907
FS( 69 ),2448878.359999999869615,2730714.940000000409782,2822062.350000000093132,2930976.719999999739230,10932632.370000001043081
FS( 70 ),2439431.969999999739230,2724931.000000000000000,2822418.220000000204891,2951650.879999999888241,10938432.070000000298023
FS( 71 ),2409425.790000000037253,2685086.080000000074506,2814944.949999999720603,2940518.639999999664724,10849975.460000000894070
FS( 72 ),2420539.189999999944121,2736820.209999999962747,2829179.750000000000000,2954831.519999999552965,10941370.669999999925494
FS( 73 ),2408870.120000000111759,2766382.570000000298023,2836297.149999999906868,2979481.479999999981374,10991031.320000000298023
FS( 74 ),2372751.570000000298023,2745496.120000000111759,2806048.199999999720603,2915868.680000000167638,10840164.570000000298023
FS( 75 ),2372751.570000000298023,2726858.979999999981374,2813877.339999999850988,2820449.479999999981374,10733937.370000001043081
FS( 76 ),2329964.979999999981374,2650382.440000000409782,2755158.790000000037253,2783872.119999999646097,10519378.330000000074506
FS( 77 ),2301070.139999999664724,2649739.779999999795109,2788966.439999999944121,2809317.239999999757856,10549093.599999999627471
FS( 78 ),2347746.419999999925494,2693440.659999999683350,2812097.989999999757856,2833172.040000000037253,10686457.109999999403954
FS( 79 ),2375529.919999999925494,2697296.620000000111759,2834161.930000000167638,2862592.959999999962747,10769581.429999999701977
FS( 80 ),2346079.409999999683350,2681551.450000000186265,2829891.489999999757856,2899170.319999999832362,10756692.669999999925494
FS( 81 ),2331076.320000000298023,2626925.350000000093132,2811742.120000000111759,2866568.759999999776483,10636312.550000000745058
FS( 82 ),2389421.669999999925494,2664842.290000000502914,2828468.010000000242144,2876905.839999999850988,10759637.810000000521541
FS( 83 ),2348857.760000000242144,2636565.250000000000000,2795016.230000000447035,2853051.040000000037253,10633490.280000001192093
FS( 84 ),2407758.779999999795109,2624997.370000000111759,2785051.870000000111759,2909507.400000000372529,10727315.420000001788139
FS( 85 ),2401646.409999999683350,2601861.609999999869615,2786475.350000000093132,2903941.280000000260770,10693924.649999998509884
FS( 86 ),2461658.769999999552965,2657451.700000000186265,2821706.480000000447035,2995384.680000000167638,10936201.630000000819564
FS( 87 ),2499444.329999999608845,2715291.100000000093132,2824909.310000000055879,3025600.759999999776483,11065245.500000000000000
FS( 88 ),2493887.629999999888241,2727822.970000000204891,2838432.370000000111759,3007312.080000000074506,11067455.050000000745058
FS( 89 ),2500555.669999999925494,2729750.950000000186265,2832026.709999999962747,2965168.600000000093132,11027501.929999999701977
FS( 90 ),2488330.930000000167638,2773130.500000000000000,2859072.830000000074506,2923820.280000000260770,11044354.539999999105930
FS( 91 ),2535562.879999999888241,2767989.220000000204891,2802133.629999999888241,2929386.400000000372529,11035072.129999998956919
FS( 92 ),2545564.939999999944121,2784377.050000000279397,2761920.319999999832362,2914278.359999999869615,11006140.669999999925494
FS( 93 ),2570570.089999999850988,2796587.590000000316650,2760140.970000000204891,2915868.680000000167638,11043167.330000000074506
FS( 94 ),2576682.459999999962747,2839645.810000000055879,2744126.819999999832362,2934157.359999999869615,11094612.449999999254942
FS( 95 ),2567236.070000000298023,2839967.140000000130385,2744126.819999999832362,2902350.959999999962747,11053680.990000002086163
FS( 96 ),2562790.709999999962747,2828077.930000000167638,2739500.510000000242144,2818859.160000000149012,10949228.310000000521541
FS( 97 ),2476661.859999999869615,2861817.580000000074506,2729892.019999999552965,2831581.719999999739230,10899953.179999999701977
FS( 98 ),2445544.339999999850988,2843501.770000000018626,2733450.720000000204891,2787052.759999999776483,10809549.589999999850988
FS( 99 ),2361638.169999999925494,2853463.000000000000000,2737365.290000000037253,2797389.839999999850988,10749856.300000000745058
FS( 100 ),2402202.079999999608845,2867280.190000000409782,2735230.069999999832362,2809317.239999999757856,10814029.580000000074506
FS( 101 ),2378863.939999999944121,2889451.959999999962747,2740568.120000000111759,2849870.400000000372529,10858754.420000001788139
FS( 102 ),2376641.260000000242144,2913873.040000000502914,2738788.769999999552965,2844304.280000000260770,10873607.350000001490116
FS( 103 ),2392200.019999999552965,2895878.560000000055879,2719927.660000000149012,2826015.600000000093132,10834021.839999999850988
FS( 104 ),2377752.600000000093132,2930260.870000000111759,2719927.660000000149012,2840328.479999999981374,10868269.610000001266599
FS( 105 ),2381642.290000000037253,2936044.810000000055879,2739856.379999999888241,2855436.519999999552965,10912980.000000000000000
FS( 106 ),2362193.839999999850988,2943435.399999999906868,2731671.370000000111759,2857822.000000000000000,10895122.609999999403954
FS( 107 ),2384976.310000000055879,2932188.850000000093132,2731671.370000000111759,2871339.719999999739230,10920176.250000000000000
FS( 108 ),2411648.469999999739230,2954360.620000000111759,2725977.449999999720603,2952446.040000000037253,11044432.579999998211861
FS( 109 ),2442210.320000000298023,2943435.399999999906868,2644483.220000000204891,2979481.479999999981374,11009610.420000001788139
FS( 110 ),2502778.350000000093132,2938294.120000000111759,2656938.669999999925494,2989023.400000000372529,11087034.540000000968575
FS( 111 ),2485552.579999999608845,2914194.370000000111759,2640924.519999999552965,3051045.879999999888241,11091717.349999997764826
FS( 112 ),2464992.790000000037253,2930260.870000000111759,2646618.439999999944121,3057407.160000000149012,11099279.259999999776483
FS( 113 ),2470549.489999999757856,2905197.129999999888241,2617792.970000000204891,3057407.160000000149012,11050946.750000000000000
FS( 114 ),2502778.350000000093132,2950825.990000000223517,2629892.550000000279397,3107502.239999999757856,11190999.130000000819564
FS( 115 ),2500555.669999999925494,2970748.450000000186265,2619216.449999999720603,3090008.719999999739230,11180529.289999999105930
FS( 116 ),2503889.689999999944121,2962072.540000000502914,2586120.540000000037253,3148850.560000000055879,11200933.330000000074506
FS( 117 ),2570014.419999999925494,2982958.990000000223517,2635586.470000000204891,3241884.280000000260770,11430444.160000000149012
FS( 118 ),2576682.459999999962747,2999668.149999999906868,2657650.410000000149012,3250631.040000000037253,11484632.059999998658895
FS( 119 ),2513891.750000000000000,2987457.609999999869615,2681493.699999999720603,3225185.919999999925494,11408028.979999998584390
FS( 120 ),2515558.760000000242144,2979103.029999999795109,2674732.169999999925494,3205306.919999999925494,11374700.879999998956919
FS( 121 ),2556122.669999999925494,3013485.340000000316650,2669394.120000000111759,3213258.519999999552965,11452260.649999998509884
FS( 122 ),2544453.600000000093132,3023767.899999999906868,2682561.310000000055879,3165548.919999999925494,11416331.730000000447035
FS( 123 ),2489442.269999999552965,3023125.240000000223517,2686120.010000000242144,3229956.879999999888241,11428644.399999998509884
FS( 124 ),2470549.489999999757856,3041119.720000000204891,2675088.040000000037253,3200535.959999999962747,11387293.210000000894070
FS( 125 ),2474994.850000000093132,3044654.350000000093132,2645906.699999999720603,3362748.600000000093132,11528304.500000000000000
FS( 126 ),2437209.290000000037253,3000310.810000000055879,2607828.609999999869615,3254606.839999999850988,11299955.549999998882413
FS( 127 ),2410537.129999999888241,3050438.290000000502914,2621707.540000000037253,3264148.759999999776483,11346831.719999998807907
FS( 128 ),2422761.870000000111759,3091889.859999999869615,2614590.140000000130385,3345255.080000000074506,11474496.950000001117587
FS( 129 ),2429429.909999999683350,3100244.440000000409782,2620639.930000000167638,3335713.160000000149012,11486027.439999999478459
FS( 130 ),2418872.180000000167638,3126914.830000000074506,2627401.459999999962747,3422385.600000000093132,11595574.070000000298023
FS( 131 ),2434986.609999999869615,3120488.229999999981374,2635230.600000000093132,3378651.800000000279397,11569357.240000000223517
FS( 132 ),2490553.609999999869615,3138161.379999999888241,2613878.399999999906868,3324580.919999999925494,11567174.310000000521541
FS( 133 ),2549454.629999999888241,3140732.020000000018626,2681849.569999999832362,3337303.479999999981374,11709339.700000001117587
FS( 134 ),2540563.909999999683350,3092532.520000000018626,2702134.160000000149012,3345255.080000000074506,11680485.669999999925494
FS( 135 ),2587795.859999999869615,3107313.700000000186265,2696084.370000000111759,3373880.839999999850988,11765074.769999999552965
FS( 136 ),2597797.919999999925494,3099280.450000000186265,2709607.430000000167638,3369905.040000000037253,11776590.839999999850988
FS( 137 ),2585017.510000000242144,3115346.950000000186265,2713166.129999999888241,3376266.319999999832362,11789796.910000000149012
FS( 138 ),2566680.399999999906868,3095745.820000000298023,2709963.300000000279397,3342074.439999999944121,11714463.960000000894070
FS( 139 ),2603910.290000000037253,3106028.379999999888241,2705336.989999999757856,3379446.959999999962747,11794722.620000001043081
FS( 140 ),2543897.930000000167638,3122416.209999999962747,2703913.510000000242144,3386603.400000000372529,11756831.050000000745058
FS( 141 ),2530006.180000000167638,3172222.359999999869615,2709251.560000000055879,3406482.400000000372529,11817962.500000000000000
FS( 142 ),2461103.100000000093132,3223635.159999999683350,2693949.149999999906868,3416024.319999999832362,11794711.730000000447035
FS( 143 ),2413871.149999999906868,3286294.509999999776483,2675799.779999999795109,3412048.519999999552965,11788013.959999999031425
FS( 144 ),2420539.189999999944121,3278582.590000000316650,2676511.519999999552965,3399325.959999999962747,11774959.259999999776483
FS( 145 ),2418872.180000000167638,3280831.899999999906868,2649109.529999999795109,3381037.280000000260770,11729850.890000000596046
FS( 146 ),2421094.859999999869615,3333851.350000000093132,2693237.410000000149012,3385808.239999999757856,11833991.860000001266599
FS( 147 ),2397756.719999999739230,3306538.300000000279397,2665123.680000000167638,3375471.160000000149012,11744889.859999999403954
FS( 148 ),2390533.010000000242144,3324854.109999999869615,2658006.279999999795109,3463733.919999999925494,11837127.320000000298023
FS( 149 ),2461658.769999999552965,3347989.870000000111759,2713166.129999999888241,3561538.600000000093132,12084353.369999999180436
FS( 150 ),2429429.909999999683350,3333851.350000000093132,2705692.859999999869615,3534503.160000000149012,12003477.279999999329448
FS( 151 ),2428874.239999999757856,3310072.930000000167638,2714945.480000000447035,3463733.919999999925494,11917626.570000000298023
FS( 152 ),2513891.750000000000000,3334494.009999999776483,2688255.230000000447035,3485203.239999999757856,12021844.230000000447035
FS( 153 ),2503334.019999999552965,3282117.220000000204891,2696796.109999999869615,3537683.800000000279397,12019931.150000000372529
FS( 154 ),2446100.010000000242144,3183790.240000000223517,2728824.410000000149012,3482022.600000000093132,11840737.259999999776483
FS( 155 ),2460547.430000000167638,3211103.290000000502914,2730603.760000000242144,3466119.400000000372529,11868373.880000000819564
FS( 156 ),2439987.639999999664724,3239059.000000000000000,2692881.540000000037253,3431927.519999999552965,11803855.699999999254942
FS( 157 ),2424984.549999999813735,3252876.190000000409782,2673308.689999999944121,3402506.600000000093132,11753676.029999999329448
FS( 158 ),2353858.790000000037253,3197607.430000000167638,2611387.310000000055879,3328556.719999999739230,11491410.250000000000000
FS( 159 ),2412759.810000000055879,3285330.520000000018626,2612099.050000000279397,3361158.280000000260770,11671347.660000000149012
FS( 160 ),2454435.060000000055879,3303325.000000000000000,2597508.379999999888241,3387398.560000000055879,11742667.000000000000000
FS( 161 ),2462770.109999999869615,3380122.870000000111759,2624910.370000000111759,3434313.000000000000000,11902116.350000001490116
FS( 162 ),2486663.919999999925494,3381408.190000000409782,2628824.939999999944121,3398530.800000000279397,11895427.850000001490116
FS( 163 ),2501667.010000000242144,3389441.440000000409782,2652312.359999999869615,3399325.959999999962747,11942746.769999999552965
FS( 164 ),2533340.200000000186265,3386228.140000000130385,2666547.160000000149012,3482817.759999999776483,12068933.259999999776483
FS( 165 ),2533340.200000000186265,3431214.340000000316650,2677935.000000000000000,3478841.959999999962747,12121331.500000000000000
FS( 166 ),2540563.909999999683350,3407435.920000000391155,2669038.250000000000000,3488383.879999999888241,12105421.960000000894070
FS( 167 ),2536674.219999999739230,3450172.810000000055879,2682205.439999999944121,3536888.639999999664724,12205941.109999999403954
FS( 168 ),2551121.639999999664724,3470737.930000000167638,2697863.720000000204891,3610043.359999999869615,12329766.650000000372529
FS( 169 ),2511669.070000000298023,3454028.770000000018626,2707828.080000000074506,3594140.160000000149012,12267666.080000000074506
FS( 170 ),2520559.790000000037253,3480699.159999999683350,2704269.379999999888241,3626741.719999999739230,12332270.049999997019768
FS( 171 ),2523893.810000000055879,3477807.190000000409782,2718504.180000000167638,3625946.560000000055879,12346151.740000000223517
FS( 172 ),2523893.810000000055879,3513153.490000000223517,2725977.449999999720603,3585393.400000000372529,12348418.150000000372529
FS( 173 ),2571681.430000000167638,3491624.379999999888241,2730247.890000000130385,3575056.319999999832362,12368610.020000001415610
FS( 174 ),2565013.389999999664724,3500621.620000000111759,2704981.120000000111759,3532912.839999999850988,12303528.969999998807907
FS( 175 ),2571681.430000000167638,3523757.379999999888241,2706048.730000000447035,3528937.040000000037253,12330424.580000001937151
FS( 176 ),2577238.129999999888241,3463347.340000000316650,2713522.000000000000000,3524166.080000000074506,12278273.550000000745058
FS( 177 ),2557234.010000000242144,3347668.540000000502914,2728112.669999999925494,3563128.919999999925494,12196144.140000000596046
FS( 178 ),2561679.370000000111759,3335779.330000000074506,2736297.680000000167638,3524961.239999999757856,12158717.620000001043081
FS( 179 ),2549454.629999999888241,3370161.640000000130385,2742703.339999999850988,3563924.080000000074506,12226243.689999999478459
FS( 180 ),2570014.419999999925494,3413862.520000000018626,2753735.310000000055879,3576646.639999999664724,12314258.890000000596046
FS( 181 ),2559456.689999999944121,3357951.100000000093132,2740212.250000000000000,3462938.759999999776483,12120558.799999998882413
FS( 182 ),2591685.549999999813735,3386870.800000000279397,2725977.449999999720603,3495540.319999999832362,12200074.119999999180436
FS( 183 ),2611689.669999999925494,3464311.330000000074506,2790034.050000000279397,3517804.800000000279397,12383839.850000001490116
FS( 184 ),2617802.040000000037253,3474593.890000000130385,2737009.419999999925494,3801676.919999999925494,12631082.269999999552965
FS( 185 ),2614468.019999999552965,3451779.459999999962747,2744838.560000000055879,3793725.319999999832362,12604811.359999999403954
FS( 186 ),2617246.370000000111759,3494516.350000000093132,2738077.029999999795109,3765099.560000000055879,12614939.310000000521541
FS( 187 ),2646141.209999999962747,3501585.609999999869615,2771172.939999999944121,3833483.319999999832362,12752383.080000000074506
FS( 188 ),2696151.510000000242144,3496444.330000000074506,2776866.859999999869615,3904252.560000000055879,12873715.259999999776483
FS( 189 ),2727269.029999999795109,3516688.120000000111759,2786831.220000000204891,3914589.639999999664724,12945378.010000001639128
FS( 190 ),2758942.219999999739230,3476200.540000000502914,2798574.930000000167638,3966275.040000000037253,12999992.730000000447035
FS( 191 ),2772833.969999999739230,3411613.209999999962747,2809251.029999999795109,3950371.839999999850988,12944070.049999998882413
FS( 192 ),2761720.570000000298023,3363735.040000000502914,2813877.339999999850988,3940829.919999999925494,12880162.870000001043081
FS( 193 ),2751718.510000000242144,3297541.060000000055879,2797151.449999999720603,3942420.239999999757856,12788831.259999999776483
FS( 194 ),2789504.070000000298023,3305895.640000000130385,2800710.149999999906868,3985358.879999999888241,12881468.740000002086163
FS( 195 ),2788948.399999999906868,3344776.570000000298023,2822418.220000000204891,4013189.479999999981374,12969332.670000001788139
FS( 196 ),2787837.060000000055879,3353452.479999999981374,2836653.019999999552965,4016370.119999999646097,12994312.679999997839332
FS( 197 ),2768944.279999999795109,3285973.180000000167638,2829535.620000000111759,3977407.280000000260770,12861860.359999999403954
FS( 198 ),2752829.850000000093132,3302039.680000000167638,2870460.669999999925494,3982178.239999999757856,12907508.439999999478459
FS( 199 ),2750051.500000000000000,3290150.470000000204891,2873307.629999999888241,3971841.160000000149012,12885350.760000001639128
FS( 200 ),2782280.359999999869615,3266372.050000000279397,2887542.430000000167638,3989334.680000000167638,12925529.519999999552965
FS( 201 ),2820621.589999999850988,3226527.129999999888241,2880069.160000000149012,3975021.800000000279397,12902239.679999999701977
FS( 202 ),2837291.689999999944121,3305252.979999999981374,2900353.750000000000000,4024321.719999999739230,13067220.140000000596046
FS( 203 ),2879522.609999999869615,3337707.310000000055879,2936296.620000000111759,4019550.759999999776483,13173077.299999998882413
FS( 204 ),2844515.399999999906868,3295934.409999999683350,2929890.959999999962747,3955142.800000000279397,13025483.570000000298023
FS( 205 ),2840625.709999999962747,3257374.810000000055879,2935940.750000000000000,3909023.519999999552965,12942964.789999999105930
FS( 206 ),2809508.189999999944121,3286294.509999999776483,2940922.930000000167638,3813604.319999999832362,12850329.949999999254942
FS( 207 ),2801173.139999999664724,3317784.850000000093132,2943769.890000000130385,3806447.879999999888241,12869175.760000001639128
FS( 208 ),2816176.229999999981374,3321319.479999999981374,2933449.660000000149012,3792930.160000000149012,12863875.530000001192093
FS( 209 ),2841181.379999999888241,3316499.529999999795109,2904624.189999999944121,3840639.759999999776483,12902944.859999999403954
FS( 210 ),2867297.870000000111759,3371125.629999999888241,2901777.230000000447035,3892325.160000000149012,13032525.890000000596046
FS( 211 ),2773389.639999999664724,3293363.770000000018626,2881848.510000000242144,3844615.560000000055879,12793217.480000000447035
FS( 212 ),2783391.700000000186265,3249341.560000000055879,2873663.500000000000000,3927312.200000000186265,12833708.960000000894070
FS( 213 ),2738382.430000000167638,3245485.600000000093132,2866190.230000000447035,3884373.560000000055879,12734431.820000002160668
FS( 214 ),2710598.930000000167638,3203070.040000000502914,2871884.149999999906868,3828712.359999999869615,12614265.480000000447035
FS( 215 ),2716711.299999999813735,3196322.109999999869615,2887542.430000000167638,3814399.479999999981374,12614975.320000000298023
FS( 216 ),2672813.370000000111759,3211745.950000000186265,2887898.300000000279397,3832688.160000000149012,12605145.780000001192093
FS( 217 ),2685593.779999999795109,3252876.190000000409782,2891812.870000000111759,4023526.560000000055879,12853809.400000000372529
FS( 218 ),2652809.250000000000000,3202748.709999999962747,2859784.569999999832362,3928902.519999999552965,12644245.049999998882413
FS( 219 ),2680592.750000000000000,3178970.290000000502914,2872951.760000000242144,3905047.719999999739230,12637562.519999999552965
FS( 220 ),2675591.719999999739230,3232632.399999999906868,2899286.140000000130385,3944010.560000000055879,12751520.820000000298023
FS( 221 ),2627248.430000000167638,3162261.129999999888241,2891101.129999999888241,3924131.560000000055879,12604742.250000001862645
FS( 222 ),2690039.139999999664724,3195036.790000000502914,2911385.720000000204891,3948781.519999999552965,12745243.169999999925494
FS( 223 ),2695040.169999999925494,3186682.209999999962747,2936652.489999999757856,3972636.319999999832362,12791011.189999999478459
FS( 224 ),2716155.629999999888241,3210460.629999999888241,2942702.279999999795109,4076802.280000000260770,12946120.820000000298023
FS( 225 ),2753385.519999999552965,3264444.070000000298023,2946616.850000000093132,4152342.479999999981374,13116788.919999999925494
