代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16385093.809999998658895
真實報酬,6385093.809999998658895

夏普值報酬,0.629809381000000
夏普值風險,0.170770119691967
夏普值,3.688053753994205

二次趨勢線,103.997767272233801 x^2 + -1394.877096371885500 x + 10000000.000000000000000
二次加權預期報酬,33617.704551946830179
風險,450573.829915702284779
二次加權趨勢值,0.074610868008549
一次趨勢線,18299.622854742607160 x + 10000000.000000000000000
一次預期報酬,18299.622854742607160
一次風險,868121.274518483667634
一次趨勢值,0.021079569631435
找到最佳解世代,1535
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](3),UNH[23](1),
FS( 22 ),4350879.879999999888241,4942168.100000000558794,9293047.980000000447035
FS( 23 ),4368752.129999999888241,5033046.800000000745058,9401798.929999999701977
FS( 24 ),4129263.979999999515712,5013218.719999999739230,9142482.699999999254942
FS( 25 ),3991290.209999999497086,5033046.800000000745058,9024337.009999999776483
FS( 26 ),4047051.629999999888241,5104097.419999999925494,9151149.050000000745058
FS( 27 ),4061349.430000000167638,5044613.180000000633299,9105962.610000001266599
FS( 28 ),4285824.889999999664724,5072702.959999999962747,9358527.849999999627471
FS( 29 ),4305841.809999999590218,5067745.940000000409782,9373587.750000000000000
FS( 30 ),4360888.339999999850988,5054527.219999999739230,9415415.559999998658895
FS( 31 ),4536751.280000000260770,5153667.620000000111759,9690418.900000000372529
FS( 32 ),4603236.049999999813735,5186714.419999999925494,9789950.469999998807907
FS( 33 ),4643269.889999999664724,5204890.160000000149012,9848160.050000000745058
FS( 34 ),4707609.989999999292195,5176800.379999999888241,9884410.369999999180436
FS( 35 ),4723337.569999999366701,5147058.259999999776483,9870395.829999998211861
FS( 36 ),4583219.129999999888241,5062788.919999999925494,9646008.050000000745058
FS( 37 ),4598946.709999999962747,4991738.300000000745058,9590685.010000001639128
FS( 38 ),4530317.269999999552965,4917383.000000000000000,9447700.269999999552965
FS( 39 ),4626112.529999999329448,4937211.080000000074506,9563323.609999999403954
FS( 40 ),4603950.940000000409782,4823199.620000000111759,9427150.560000000521541
FS( 41 ),4350164.990000000223517,4730668.580000000074506,9080833.570000000298023
FS( 42 ),4294403.570000000298023,4692664.759999999776483,8987068.330000000074506
FS( 43 ),4287254.669999999925494,4601786.060000000521541,8889040.730000000447035
FS( 44 ),4230778.359999999403954,4676141.360000000335276,8906919.719999998807907
FS( 45 ),4275816.429999999701977,4773629.419999999925494,9049445.849999999627471
FS( 46 ),4445245.359999999403954,4824851.959999999962747,9270097.320000000298023
FS( 47 ),4516019.469999999739230,4904164.280000000260770,9420183.750000000000000
FS( 48 ),4626827.419999999925494,4952082.139999999664724,9578909.559999998658895
FS( 49 ),4595372.259999999776483,4963648.519999999552965,9559020.779999999329448
FS( 50 ),4774809.650000000372529,4980171.919999999925494,9754981.570000000298023
FS( 51 ),4768375.639999999664724,5009914.040000000037253,9778289.679999999701977
FS( 52 ),4754792.730000000447035,5102445.080000000074506,9857237.810000000521541
FS( 53 ),4571066.000000000000000,5013218.719999999739230,9584284.719999998807907
FS( 54 ),4632546.540000000037253,5092531.040000000037253,9725077.580000000074506
FS( 55 ),4749073.610000000335276,5094183.379999999888241,9843256.990000000223517
FS( 56 ),4780528.770000000484288,5072702.959999999962747,9853231.730000000447035
FS( 57 ),4861311.339999999850988,5122273.160000000149012,9983584.500000000000000
FS( 58 ),4954961.929999999701977,5109054.440000000409782,10064016.370000001043081
FS( 59 ),5003574.449999999254942,5199933.139999999664724,10203507.589999999850988
FS( 60 ),4945668.360000000335276,5085921.680000000633299,10031590.040000000968575
FS( 61 ),4984272.419999999925494,5011566.379999999888241,9995838.800000000745058
FS( 62 ),4961395.940000000409782,5029742.120000000111759,9991138.060000000521541
FS( 63 ),4986417.089999999850988,5031394.459999999962747,10017811.550000000745058
FS( 64 ),5079352.790000000037253,5194976.120000000111759,10274328.910000000149012
FS( 65 ),5030740.270000000484288,5356905.440000000409782,10387645.710000000894070
FS( 66 ),5084357.020000000484288,5437870.099999999627471,10522227.120000001043081
FS( 67 ),5144407.779999999329448,5522139.440000000409782,10666547.219999998807907
FS( 68 ),5115812.179999999701977,5527096.460000000894070,10642908.640000000596046
FS( 69 ),5152271.569999999366701,5533705.820000000298023,10685977.390000000596046
FS( 70 ),5105803.719999999739230,5507268.379999999888241,10613072.099999999627471
FS( 71 ),4912068.529999999329448,5285854.820000000298023,10197923.349999999627471
FS( 72 ),4825566.839999999850988,5308987.580000001005828,10134554.420000001788139
FS( 73 ),4862026.230000000447035,5292464.180000000633299,10154490.410000000149012
FS( 74 ),4896340.949999999254942,5270983.759999999776483,10167324.709999999031425
FS( 75 ),4985702.199999999254942,5345339.060000000521541,10331041.259999999776483
FS( 76 ),4986417.089999999850988,5376733.519999999552965,10363150.609999999403954
FS( 77 ),4953532.150000000372529,5252808.019999999552965,10206340.169999999925494
FS( 78 ),4922791.879999999888241,5223065.900000000372529,10145857.780000001192093
FS( 79 ),4778384.100000000558794,5204890.160000000149012,9983274.260000001639128
FS( 80 ),4649703.900000000372529,5128882.519999999552965,9778586.419999999925494
FS( 81 ),4625397.639999999664724,5280897.800000000745058,9906295.440000001341105
FS( 82 ),4571780.889999999664724,5262722.060000000521541,9834502.949999999254942
FS( 83 ),4711184.440000000409782,5348643.739999999292195,10059828.179999999701977
FS( 84 ),4608955.169999999925494,5272636.100000000558794,9881591.269999999552965
FS( 85 ),4658282.579999999143183,5241241.639999999664724,9899524.219999998807907
FS( 86 ),4872749.579999999143183,5384995.220000000670552,10257744.800000000745058
FS( 87 ),4899915.400000000372529,5429608.400000000372529,10329523.800000000745058
FS( 88 ),5010008.459999999962747,5603104.099999999627471,10613112.559999998658895
FS( 89 ),4982842.639999999664724,5581623.680000000633299,10564466.320000000298023
FS( 90 ),5057191.199999999254942,5593190.060000000521541,10650381.259999999776483
FS( 91 ),5050042.299999999813735,5621279.840000000782311,10671322.140000000596046
FS( 92 ),5094365.480000000447035,5698939.820000000298023,10793305.300000000745058
FS( 93 ),5164424.699999999254942,5736943.639999999664724,10901368.339999999850988
FS( 94 ),5135114.209999999962747,5718767.900000000372529,10853882.109999999403954
FS( 95 ),5156560.909999999217689,5662588.340000000782311,10819149.250000000000000
FS( 96 ),5147267.339999999850988,5657631.320000000298023,10804898.660000000149012
FS( 97 ),5231624.360000000335276,5639455.580000001005828,10871079.940000001341105
FS( 98 ),5343862.089999999850988,5771642.780000000260770,11115504.870000001043081
FS( 99 ),5461104.049999999813735,5826170.000000000000000,11287274.050000000745058
FS( 100 ),5446091.360000000335276,5895568.280000000260770,11341659.640000000596046
FS( 101 ),5451810.480000000447035,5855912.120000000111759,11307722.600000001490116
FS( 102 ),5699877.310000000521541,5903829.979999999515712,11603707.289999999105930
FS( 103 ),5686294.400000000372529,5841041.060000000521541,11527335.460000000894070
FS( 104 ),5695587.969999999739230,5789818.519999999552965,11485406.489999998360872
FS( 105 ),5718464.449999999254942,5816255.960000000894070,11534720.410000000149012
FS( 106 ),5624813.860000000335276,5801384.900000000372529,11426198.760000001639128
FS( 107 ),5591928.919999999925494,5854259.780000000260770,11446188.699999999254942
FS( 108 ),5524014.369999999180436,5707201.519999999552965,11231215.889999998733401
FS( 109 ),5676285.940000000409782,5794775.540000000037253,11471061.480000000447035
FS( 110 ),5637681.879999999888241,5626236.859999999403954,11263918.739999998360872
FS( 111 ),5629103.199999999254942,5674154.720000000670552,11303257.919999999925494
FS( 112 ),5745630.270000000484288,5675807.060000000521541,11421437.330000001937151
FS( 113 ),5717749.560000000521541,5725377.259999999776483,11443126.820000000298023
FS( 114 ),5671996.600000000558794,5786513.840000000782311,11458510.440000001341105
FS( 115 ),5739911.150000000372529,5836084.040000000037253,11575995.190000001341105
FS( 116 ),5712745.329999999143183,5912091.680000000633299,11624837.009999999776483
FS( 117 ),5701307.089999999850988,5945138.479999999515712,11646445.570000000298023
FS( 118 ),5736336.699999999254942,5989751.660000000149012,11726088.359999999403954
FS( 119 ),5615520.290000000037253,5832779.359999999403954,11448299.649999998509884
FS( 120 ),5742055.819999999366701,6069063.979999999515712,11811119.799999998882413
FS( 121 ),5639826.549999999813735,6029407.820000000298023,11669234.370000001043081
FS( 122 ),5599792.709999999962747,6156638.000000000000000,11756430.710000000894070
FS( 123 ),5651264.790000000037253,6206208.200000000186265,11857472.990000000223517
FS( 124 ),5622669.190000000409782,6207860.540000000037253,11830529.730000000447035
FS( 125 ),5591928.919999999925494,5936876.780000000260770,11528805.699999999254942
FS( 126 ),5557614.199999999254942,5989751.660000000149012,11547365.859999999403954
FS( 127 ),5619094.739999999292195,5956704.859999999403954,11575799.599999997764826
FS( 128 ),5666992.369999999180436,5966618.900000000372529,11633611.269999999552965
FS( 129 ),5701307.089999999850988,6113677.160000000149012,11814984.250000000000000
FS( 130 ),5710600.659999999217689,6057497.599999999627471,11768098.259999997913837
FS( 131 ),5946514.360000000335276,6080630.359999999403954,12027144.719999998807907
FS( 132 ),5972250.400000000372529,6090544.400000000372529,12062794.800000000745058
FS( 133 ),5942225.020000000484288,6133505.239999999292195,12075730.259999999776483
FS( 134 ),5855723.329999999143183,6110372.479999999515712,11966095.809999998658895
FS( 135 ),5895042.279999999329448,6140114.599999999627471,12035156.879999998956919
FS( 136 ),5893612.500000000000000,6191337.139999999664724,12084949.640000000596046
FS( 137 ),5793527.900000000372529,6059149.940000000409782,11852677.839999999850988
FS( 138 ),5849289.319999999366701,5860869.139999999664724,11710158.459999999031425
FS( 139 ),5745630.270000000484288,5784861.500000000000000,11530491.769999999552965
FS( 140 ),5802821.469999999739230,5837736.379999999888241,11640557.849999999627471
FS( 141 ),5941510.129999999888241,5887306.580000001005828,11828816.710000000894070
FS( 142 ),6002990.669999999925494,5948443.160000000149012,11951433.830000000074506
FS( 143 ),6005135.339999999850988,6024450.800000000745058,12029586.140000000596046
FS( 144 ),5907195.409999999217689,5956704.859999999403954,11863900.269999999552965
FS( 145 ),6054462.750000000000000,5978185.280000000260770,12032648.030000001192093
FS( 146 ),6014428.909999999217689,5928615.080000001005828,11943043.990000000223517
FS( 147 ),5981543.969999999739230,6045931.220000000670552,12027475.190000001341105
FS( 148 ),6048028.739999999292195,6034364.840000000782311,12082393.580000000074506
FS( 149 ),6251772.389999999664724,6224383.940000000409782,12476156.330000000074506
FS( 150 ),6335414.520000000484288,6287172.859999999403954,12622587.379999998956919
FS( 151 ),6389746.159999999217689,6249169.040000000037253,12638915.199999999254942
FS( 152 ),6376878.139999999664724,6161595.019999999552965,12538473.160000000149012
FS( 153 ),6459090.489999999292195,6075673.340000000782311,12534763.830000000074506
FS( 154 ),6406903.520000000484288,6087239.720000000670552,12494143.240000002086163
FS( 155 ),6410477.969999999739230,6055845.259999999776483,12466323.230000000447035
FS( 156 ),6429780.000000000000000,6059149.940000000409782,12488929.940000001341105
FS( 157 ),6550596.409999999217689,6097153.759999999776483,12647750.169999998062849
FS( 158 ),6583481.350000000558794,6031060.160000000149012,12614541.510000001639128
FS( 159 ),6657115.020000000484288,5857564.460000000894070,12514679.480000000447035
FS( 160 ),6662834.139999999664724,5884001.900000000372529,12546836.039999999105930
FS( 161 ),6619225.850000000558794,5791470.859999999403954,12410696.710000000894070
FS( 162 ),6669983.040000000037253,5812951.280000000260770,12482934.320000000298023
FS( 163 ),6765063.409999999217689,5837736.379999999888241,12602799.789999999105930
FS( 164 ),6760774.069999999366701,5922005.720000000670552,12682779.789999999105930
FS( 165 ),6752195.389999999664724,5910439.340000000782311,12662634.730000000447035
FS( 166 ),6725029.569999999366701,5872435.519999999552965,12597465.089999999850988
FS( 167 ),6697863.750000000000000,5902177.639999999664724,12600041.390000000596046
FS( 168 ),6704297.759999999776483,5933572.099999999627471,12637869.859999999403954
FS( 169 ),6710731.770000000484288,5938529.120000000111759,12649260.890000000596046
FS( 170 ),6695719.079999999143183,5966618.900000000372529,12662337.980000000447035
FS( 171 ),6730748.690000000409782,6135157.580000001005828,12865906.270000001415610
FS( 172 ),6699293.529999999329448,6191337.139999999664724,12890630.669999998062849
FS( 173 ),6757199.619999999180436,6211165.220000000670552,12968364.839999999850988
FS( 174 ),6687140.400000000372529,6340047.739999999292195,13027188.140000000596046
FS( 175 ),6700723.310000000521541,6353266.460000000894070,13053989.770000001415610
FS( 176 ),6676417.049999999813735,6353266.460000000894070,13029683.510000001639128
FS( 177 ),6716450.889999999664724,6457363.879999999888241,13173814.769999999552965
FS( 178 ),6683565.949999999254942,6421012.400000000372529,13104578.349999999627471
FS( 179 ),6730033.799999999813735,6543285.560000000521541,13273319.359999999403954
FS( 180 ),6720740.230000000447035,6736609.340000000782311,13457349.570000000298023
FS( 181 ),6879445.810000000521541,6754785.080000001005828,13634230.890000000596046
FS( 182 ),6830118.400000000372529,6701910.200000000186265,13532028.600000001490116
FS( 183 ),6692144.629999999888241,6660601.700000000186265,13352746.330000000074506
FS( 184 ),6630664.089999999850988,6677125.099999999627471,13307789.189999999478459
FS( 185 ),6760774.069999999366701,6577984.700000000186265,13338758.769999999552965
FS( 186 ),6747906.049999999813735,6711824.239999999292195,13459730.289999999105930
FS( 187 ),6845131.089999999850988,6650687.660000000149012,13495818.750000000000000
FS( 188 ),6908041.409999999217689,6987765.019999999552965,13895806.429999999701977
FS( 189 ),6840126.860000000335276,6763046.780000000260770,13603173.640000000596046
FS( 190 ),6935207.230000000447035,6782874.859999999403954,13718082.089999999850988
FS( 191 ),7006696.230000000447035,6951413.540000000037253,13958109.769999999552965
FS( 192 ),7083904.350000000558794,6931585.460000000894070,14015489.810000002384186
FS( 193 ),7072466.110000000335276,7111690.519999999552965,14184156.629999998956919
FS( 194 ),7119648.850000000558794,7020811.820000000298023,14140460.670000001788139
FS( 195 ),7182559.169999999925494,6908452.700000000186265,14091011.870000001043081
FS( 196 ),7192567.629999999888241,6934890.139999999664724,14127457.769999999552965
FS( 197 ),7133946.650000000372529,6951413.540000000037253,14085360.190000001341105
FS( 198 ),7191852.739999999292195,7010897.780000000260770,14202750.519999999552965
FS( 199 ),7402030.400000000372529,7002636.080000001005828,14404666.480000000447035
FS( 200 ),7382013.480000000447035,7015854.800000000745058,14397868.280000001192093
FS( 201 ),7363426.339999999850988,6944804.180000000633299,14308230.519999999552965
FS( 202 ),7402745.290000000037253,7022464.160000000149012,14425209.449999999254942
FS( 203 ),7389162.379999999888241,7037335.220000000670552,14426497.600000001490116
FS( 204 ),7567884.879999999888241,7078643.720000000670552,14646528.600000001490116
FS( 205 ),7292652.230000000447035,7098471.800000000745058,14391124.030000001192093
FS( 206 ),7150389.119999999180436,7090210.099999999627471,14240599.219999998807907
FS( 207 ),7189708.069999999366701,7063772.660000000149012,14253480.730000000447035
FS( 208 ),7291937.339999999850988,7025768.840000000782311,14317706.179999999701977
FS( 209 ),7358422.110000000335276,7035682.879999999888241,14394104.990000000223517
FS( 210 ),7138950.879999999888241,7014202.460000000894070,14153153.339999999850988
FS( 211 ),7218303.669999999925494,7197612.200000000186265,14415915.870000001043081
FS( 212 ),7452787.589999999850988,7400850.019999999552965,14853637.609999999403954
FS( 213 ),7366285.900000000372529,7344670.460000000894070,14710956.360000001266599
FS( 214 ),7301230.909999999217689,7197612.200000000186265,14498843.109999999403954
FS( 215 ),7444208.909999999217689,7242225.379999999888241,14686434.289999999105930
FS( 216 ),7317673.379999999888241,7351279.820000000298023,14668953.199999999254942
FS( 217 ),7033862.049999999813735,7235616.019999999552965,14269478.070000000298023
FS( 218 ),7150389.119999999180436,7202569.220000000670552,14352958.339999999850988
FS( 219 ),7299086.239999999292195,7131518.599999999627471,14430604.839999999850988
FS( 220 ),7202576.089999999850988,7070382.019999999552965,14272958.109999999403954
FS( 221 ),7177554.940000000409782,6916714.400000000372529,14094269.339999999850988
FS( 222 ),7372005.020000000484288,6984460.340000000782311,14356465.360000001266599
FS( 223 ),7510693.679999999701977,7038987.560000000521541,14549681.240000000223517
FS( 224 ),7691560.850000000558794,7136475.620000000111759,14828036.470000000670552
FS( 225 ),7634369.650000000372529,7062120.320000000298023,14696489.970000000670552
FS( 226 ),7632224.980000000447035,7063772.660000000149012,14695997.640000000596046
FS( 227 ),7747322.270000000484288,7237268.359999999403954,14984590.629999998956919
FS( 228 ),7798794.350000000558794,7229006.660000000149012,15027801.010000001639128
FS( 229 ),7820955.940000000409782,7248834.739999999292195,15069790.679999999701977
FS( 230 ),7902453.400000000372529,7349627.479999999515712,15252080.879999998956919
FS( 231 ),7973227.509999999776483,7501642.759999999776483,15474870.269999999552965
FS( 232 ),7960359.489999999292195,7468595.960000000894070,15428955.449999999254942
FS( 233 ),8086895.020000000484288,7536341.900000000372529,15623236.920000001788139
FS( 234 ),8105482.159999999217689,7534689.560000000521541,15640171.719999998807907
FS( 235 ),8028988.929999999701977,7450420.220000000670552,15479409.150000000372529
FS( 236 ),7935338.339999999850988,7428939.800000000745058,15364278.140000000596046
FS( 237 ),7853125.989999999292195,7341365.780000000260770,15194491.769999999552965
FS( 238 ),7850981.319999999366701,7333104.080000001005828,15184085.400000000372529
FS( 239 ),7797364.569999999366701,7323190.040000000037253,15120554.609999999403954
FS( 240 ),7618642.069999999366701,7404154.700000000186265,15022796.769999999552965
FS( 241 ),7694420.409999999217689,7324842.379999999888241,15019262.789999999105930
FS( 242 ),7690845.959999999962747,7405807.040000000037253,15096653.000000000000000
FS( 243 ),7664395.029999999329448,7432244.479999999515712,15096639.509999997913837
FS( 244 ),7427766.440000000409782,7195959.859999999403954,14623726.300000000745058
FS( 245 ),7585042.239999999292195,7263705.800000000745058,14848748.039999999105930
FS( 246 ),7740888.259999999776483,7309971.320000000298023,15050859.580000000074506
FS( 247 ),7822385.719999999739230,7899856.700000000186265,15722242.419999999925494
FS( 248 ),7781636.989999999292195,7883333.300000000745058,15664970.289999999105930
FS( 249 ),8002538.000000000000000,7823849.060000000521541,15826387.060000000521541
FS( 250 ),8050435.629999999888241,7965950.300000000745058,16016385.929999999701977
FS( 251 ),8052580.299999999813735,8113008.560000000521541,16165588.859999999403954
FS( 252 ),8250604.829999999143183,8134488.979999999515712,16385093.809999998658895
