代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13738304.899999998509884
真實報酬,3738304.899999998509884

夏普值報酬,0.365130490000000
夏普值風險,0.089444289959641
夏普值,4.082211286653984

二次趨勢線,0.526337923128876 x^2 + 14639.901886582387306 x + 10000000.000000000000000
二次加權預期報酬,14816.400536804929288
風險,176518.470948259899160
二次加權趨勢值,0.083936828011318
一次趨勢線,14739.181984933507920 x + 10000000.000000000000000
一次預期報酬,14739.181984933507920
一次風險,176557.787257595540723
一次趨勢值,0.083480781073843
找到最佳解世代,2130
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),TRV[22](3),V[25](2),VZ[26](9),WMT[28](8),
FS( 42 ),2260798.939999999478459,2153705.510000000242144,2097381.270000000018626,2001588.559999999590218,2121819.110000000335276,10635293.389999996870756
FS( 43 ),2260290.559999999590218,2158065.950000000186265,2170212.640000000130385,1988880.079999999841675,2113629.589999999850988,10691078.820000000298023
FS( 44 ),2296385.540000000037253,2184591.959999999962747,2189852.560000000055879,2003706.639999999897555,2116700.660000000149012,10791237.360000001266599
FS( 45 ),2297910.679999999701977,2155885.729999999981374,2196399.200000000186265,2019592.239999999757856,2111582.209999999962747,10781370.059999998658895
FS( 46 ),2311128.559999999590218,2170783.899999999906868,2189034.229999999981374,2007942.799999999813735,2105098.839999999850988,10783988.329999998211861
FS( 47 ),2296385.540000000037253,2174780.970000000204891,2216857.450000000186265,2007942.799999999813735,2102710.229999999515712,10798676.989999998360872
FS( 48 ),2301469.339999999850988,2176234.450000000186265,2300327.109999999869615,2007942.799999999813735,2114312.049999999813735,10900285.750000000000000
FS( 49 ),2304519.620000000111759,2157702.580000000074506,2330605.319999999832362,1995763.839999999618158,2112264.669999999925494,10900856.029999999329448
FS( 50 ),2335022.419999999925494,2143531.149999999906868,2306055.419999999925494,2019062.719999999972060,2108511.139999999664724,10912182.850000001490116
FS( 51 ),2341631.360000000335276,2149708.439999999944121,2357610.209999999962747,2014297.039999999571592,2123184.030000000260770,10986431.080000001937151
FS( 52 ),2323838.059999999590218,2154432.250000000000000,2355155.220000000204891,2003177.119999999646097,2107487.450000000186265,10944090.099999997764826
FS( 53 ),2335022.419999999925494,2159882.799999999813735,2328150.330000000074506,2014826.559999999590218,2117041.889999999664724,10954924.000000000000000
FS( 54 ),2374676.059999999590218,2174780.970000000204891,2352700.229999999981374,2036536.879999999888241,2132056.009999999776483,11070750.150000000372529
FS( 55 ),2385352.040000000037253,2153705.510000000242144,2336333.629999999888241,2038125.439999999944121,2049819.580000000074506,10963336.200000001117587
FS( 56 ),2367558.740000000223517,2141714.299999999813735,2380523.450000000186265,2023298.879999999888241,1999658.770000000018626,10912754.140000000596046
FS( 57 ),2386877.179999999701977,2142441.040000000037253,2382978.439999999944121,2019062.719999999972060,1997611.389999999897555,10928970.770000001415610
FS( 58 ),2388402.319999999366701,2129359.720000000204891,2405073.350000000093132,2019592.239999999757856,2006142.139999999897555,10948569.769999999552965
FS( 59 ),2385860.419999999925494,2129359.720000000204891,2391161.739999999757856,2019062.719999999972060,1994881.550000000046566,10920326.150000002235174
FS( 60 ),2401111.819999999366701,2122092.319999999832362,2433714.899999999906868,2020121.759999999543652,2010919.359999999869615,10987960.159999998286366
FS( 61 ),2418396.740000000223517,2106467.410000000149012,2380523.450000000186265,2018003.679999999701977,2016037.809999999823049,10939429.090000001713634
FS( 62 ),2412804.559999999590218,2122819.060000000055879,2397708.379999999888241,2034948.319999999599531,2007165.830000000074506,10975446.149999998509884
FS( 63 ),2410262.659999999217689,2107920.890000000130385,2376431.799999999813735,2047656.799999999813735,2013649.199999999953434,10955921.349999997764826
FS( 64 ),2409245.899999999441206,2125726.020000000018626,2378068.459999999962747,2065130.959999999729916,2026957.169999999925494,11005128.509999999776483
FS( 65 ),2358407.899999999441206,2070857.150000000139698,2349426.910000000149012,2048715.839999999618158,2012284.280000000027940,10839692.079999998211861
FS( 66 ),2409245.899999999441206,2066496.709999999962747,2365793.509999999776483,2058247.199999999487773,2042653.750000000000000,10942437.069999998435378
FS( 67 ),2431106.240000000223517,2074854.219999999972060,2413256.649999999906868,2076780.399999999674037,2039582.680000000167638,11035580.189999999478459
FS( 68 ),2445340.879999999888241,2093386.090000000083819,2396890.049999999813735,2070426.159999999916181,2050160.809999999823049,11056203.990000000223517
FS( 69 ),2470251.500000000000000,2093386.090000000083819,2383796.770000000018626,2082075.599999999860302,2070634.609999999869615,11100144.569999998435378
FS( 70 ),2498212.399999999441206,2122455.689999999944121,2399345.040000000037253,2090547.919999999459833,2081553.969999999972060,11192115.019999999552965
FS( 71 ),2514988.939999999478459,2142077.669999999925494,2388706.750000000000000,2090018.399999999674037,2084283.809999999823049,11220075.570000000298023
FS( 72 ),2501262.679999999701977,2146801.479999999981374,2393616.729999999981374,2093725.039999999571592,2089402.259999999776483,11224808.189999999478459
FS( 73 ),2493636.979999999515712,2151161.919999999925494,2387070.090000000316650,2095313.599999999860302,2076094.290000000037253,11203276.879999998956919
FS( 74 ),2482452.620000000111759,2148254.959999999962747,2431259.910000000149012,2099549.759999999776483,2072681.989999999990687,11234199.240000000223517
FS( 75 ),2510413.519999999552965,2149708.439999999944121,2383796.770000000018626,2098490.719999999739230,2067904.770000000018626,11210314.219999998807907
FS( 76 ),2531257.099999999627471,2126089.390000000130385,2388706.750000000000000,2106433.519999999552965,2066539.850000000093132,11219026.609999999403954
FS( 77 ),2525664.919999999925494,2106467.410000000149012,2399345.040000000037253,2100079.279999999329448,2069610.919999999925494,11201167.569999998435378
FS( 78 ),2518547.599999999627471,2114824.919999999925494,2430441.580000000074506,2087370.799999999813735,2073023.219999999972060,11224208.119999999180436
FS( 79 ),2548542.019999999552965,2138443.970000000204891,2456628.140000000130385,2082605.119999999646097,2088378.570000000065193,11314597.820000000298023
FS( 80 ),2543966.599999999627471,2124999.279999999795109,2450899.830000000074506,2047127.279999999562278,2084625.040000000037253,11251618.029999997466803
FS( 81 ),2537357.659999999217689,2135537.010000000242144,2441898.200000000186265,2025946.479999999515712,2088037.339999999850988,11228776.689999999478459
FS( 82 ),2537357.659999999217689,2131176.569999999832362,2434533.229999999981374,2015885.599999999860302,2075411.830000000074506,11194364.889999998733401
FS( 83 ),2557692.860000000335276,2151161.919999999925494,2414074.979999999981374,2024357.919999999459833,2088378.570000000065193,11235666.250000000000000
FS( 84 ),2541424.700000000186265,2155885.729999999981374,2434533.229999999981374,2039714.000000000000000,2093838.250000000000000,11265395.910000000149012
FS( 85 ),2541933.080000000074506,2154068.879999999888241,2462356.450000000186265,2036536.879999999888241,2069610.919999999925494,11264506.209999999031425
FS( 86 ),2534307.379999999888241,2151888.660000000149012,2434533.229999999981374,2032830.239999999757856,2056302.949999999953434,11209862.459999999031425
FS( 87 ),2573452.639999999664724,2139534.080000000074506,2475449.729999999981374,1994175.279999999562278,2070293.380000000121072,11252905.109999999403954
FS( 88 ),2571419.120000000111759,2109374.370000000111759,2445171.520000000018626,1983584.879999999888241,2051866.959999999962747,11161416.850000001490116
FS( 89 ),2509396.759999999776483,2098473.270000000018626,2388706.750000000000000,1948636.559999999590218,2045042.359999999869615,10990255.699999999254942
FS( 90 ),2529223.580000000074506,2113734.810000000055879,2401800.030000000260770,1979348.719999999972060,2040606.369999999878928,11064713.509999999776483
FS( 91 ),2573961.019999999552965,2147528.220000000204891,2476268.060000000055879,1988350.559999999590218,2052208.189999999944121,11238316.049999998882413
FS( 92 ),2590737.559999999590218,2111917.959999999962747,2519639.549999999813735,1972994.479999999515712,2039582.680000000167638,11234872.229999998584390
FS( 93 ),2627849.299999999813735,2149708.439999999944121,2472176.410000000149012,1981996.319999999599531,2067222.309999999823049,11298952.780000001192093
FS( 94 ),2645134.219999999739230,2179868.149999999906868,2497544.640000000130385,1998411.439999999944121,2111240.979999999515712,11432199.429999999701977
FS( 95 ),2633949.860000000335276,2160972.910000000149012,2491816.330000000074506,1994175.279999999562278,2117724.349999999627471,11398638.730000000447035
FS( 96 ),2621240.360000000335276,2242004.419999999925494,2479541.379999999888241,2020121.759999999543652,2107146.219999999739230,11470054.140000000596046
FS( 97 ),2616156.559999999590218,2280158.270000000018626,2475449.729999999981374,2050833.919999999459833,2131032.320000000298023,11553630.800000000745058
FS( 98 ),2597854.879999999888241,2285972.189999999944121,2416529.970000000204891,2042361.599999999860302,2031734.389999999897555,11374453.030000001192093
FS( 99 ),2604463.819999999366701,2302687.209999999962747,2432896.569999999832362,2091606.959999999729916,1971336.680000000167638,11402991.239999998360872
FS( 100 ),2639033.659999999217689,2317585.379999999888241,2491816.330000000074506,2090547.919999999459833,1957346.250000000000000,11496329.539999999105930
FS( 101 ),2637000.139999999664724,2353559.009999999776483,2520457.879999999888241,2125496.240000000223517,2011601.820000000065193,11648115.089999999850988
FS( 102 ),2641067.179999999701977,2325942.890000000130385,2527004.520000000018626,2130261.919999999925494,2014331.659999999916181,11638608.169999999925494
FS( 103 ),2632933.099999999627471,2337207.359999999869615,2516366.229999999981374,2138204.719999999739230,2010236.899999999906868,11634948.310000000521541
FS( 104 ),2659877.240000000223517,2347381.719999999739230,2518002.890000000130385,2147736.080000000074506,2015696.580000000074506,11688694.509999999776483
FS( 105 ),2679704.059999999590218,2352468.899999999906868,2499999.629999999888241,2149854.160000000149012,2013649.199999999953434,11695675.949999999254942
FS( 106 ),2667502.939999999478459,2352832.270000000018626,2381341.780000000260770,2151972.240000000223517,2012966.739999999990687,11566615.970000000670552
FS( 107 ),2641575.559999999590218,2343748.020000000018626,2409983.330000000074506,2131850.479999999515712,2003071.070000000065193,11530228.460000000894070
FS( 108 ),2612597.899999999441206,2347018.350000000093132,2424713.270000000018626,2146147.519999999552965,2019791.339999999850988,11550268.379999998956919
FS( 109 ),2573452.639999999664724,2339750.950000000186265,2417348.299999999813735,2147206.559999999590218,2015014.119999999878928,11492772.569999998435378
FS( 110 ),2547525.259999999776483,2322672.560000000055879,2402618.359999999869615,2131320.959999999962747,2014331.659999999916181,11418468.800000000745058
FS( 111 ),2573452.639999999664724,2348835.200000000186265,2417348.299999999813735,2147206.559999999590218,2019791.339999999850988,11506634.039999999105930
FS( 112 ),2559218.000000000000000,2348108.459999999962747,2412438.319999999832362,2179507.279999999329448,2027639.630000000121072,11526911.689999999478459
FS( 113 ),2535832.519999999552965,2343021.280000000260770,2387888.419999999925494,2165210.240000000223517,2015696.580000000074506,11447649.040000000968575
FS( 114 ),2474318.540000000037253,2331030.070000000298023,2385433.429999999701977,2173682.559999999590218,2025251.020000000018626,11389715.619999999180436
FS( 115 ),2479402.339999999850988,2311408.089999999850988,2404255.020000000018626,2164680.719999999739230,2019791.339999999850988,11379537.509999997913837
FS( 116 ),2390435.839999999850988,2278341.419999999925494,2352700.229999999981374,2190627.199999999254942,2104757.610000000335276,11316862.300000000745058
FS( 117 ),2391960.979999999515712,2259446.180000000167638,2304418.759999999776483,2199099.519999999552965,2130349.860000000335276,11285275.300000000745058
FS( 118 ),2420430.259999999776483,2278341.419999999925494,2378068.459999999962747,2189038.639999999664724,2151164.889999999664724,11417043.669999998062849
FS( 119 ),2453474.959999999962747,2282701.859999999869615,2422258.280000000260770,2191686.240000000223517,2174709.759999999776483,11524831.099999999627471
FS( 120 ),2453474.959999999962747,2282701.859999999869615,2422258.280000000260770,2191686.240000000223517,2174709.759999999776483,11524831.099999999627471
FS( 121 ),2527190.059999999590218,2296146.549999999813735,2450081.500000000000000,2191686.240000000223517,2220434.580000000074506,11685538.929999999701977
FS( 122 ),2513463.799999999813735,2274707.720000000204891,2441898.200000000186265,2194863.360000000335276,2228624.099999999627471,11653557.179999999701977
FS( 123 ),2530748.719999999739230,2284882.080000000074506,2460719.790000000037253,2210748.959999999962747,2241249.610000000335276,11728349.160000000149012
FS( 124 ),2527190.059999999590218,2248908.450000000186265,2403436.689999999944121,2193274.799999999813735,2233060.089999999850988,11605870.089999999850988
FS( 125 ),2508380.000000000000000,2270710.649999999906868,2356791.879999999888241,2204924.240000000223517,2246026.830000000074506,11586833.599999999627471
FS( 126 ),2438223.559999999590218,2201306.979999999981374,2296235.459999999962747,2172623.519999999552965,2236813.620000000111759,11345203.140000000596046
FS( 127 ),2478893.959999999962747,2194039.580000000074506,2335515.299999999813735,2189038.639999999664724,2251827.740000000223517,11449315.220000000670552
FS( 128 ),2487028.040000000037253,2209301.120000000111759,2328150.330000000074506,2181625.360000000335276,2235107.469999999739230,11441212.320000000298023
FS( 129 ),2572435.879999999888241,2239824.200000000186265,2380523.450000000186265,2211808.000000000000000,2249780.360000000335276,11654371.890000000596046
FS( 130 ),2604972.200000000186265,2249635.189999999944121,2389525.080000000074506,2204924.240000000223517,2247732.980000000447035,11696789.690000001341105
FS( 131 ),2661402.379999999888241,2257992.700000000186265,2385433.429999999701977,2247285.839999999850988,2327922.030000000260770,11880036.379999998956919
FS( 132 ),2610564.379999999888241,2236917.240000000223517,2380523.450000000186265,2253640.080000000074506,2304377.160000000149012,11786022.310000000521541
FS( 133 ),2655810.200000000186265,2250725.299999999813735,2396890.049999999813735,2273761.839999999850988,2310860.530000000260770,11888047.920000001788139
FS( 134 ),2591245.939999999478459,2240187.569999999832362,2351063.569999999832362,2276409.439999999478459,2288680.580000000074506,11747587.099999999627471
FS( 135 ),2651743.159999999217689,2293602.959999999962747,2382978.439999999944121,2316652.959999999962747,2307789.459999999962747,11952766.980000000447035
FS( 136 ),2637000.139999999664724,2304140.689999999944121,2422258.280000000260770,2306062.559999999590218,2311884.219999999739230,11981345.890000000596046
FS( 137 ),2659877.240000000223517,2291786.109999999869615,2457446.470000000204891,2320359.599999999627471,2324509.730000000447035,12053979.150000000372529
FS( 138 ),2692921.939999999478459,2305594.169999999925494,2482814.700000000186265,2315593.919999999925494,2313931.599999999627471,12110856.330000000074506
FS( 139 ),2685804.620000000111759,2320128.970000000204891,2508182.929999999701977,2292824.559999999590218,2338158.929999999701977,12145100.009999997913837
FS( 140 ),2605988.959999999962747,2273980.979999999981374,2444353.189999999944121,2294413.119999999180436,2310178.070000000298023,11928914.319999998435378
FS( 141 ),2644625.839999999850988,2301960.470000000204891,2556464.399999999906868,2327243.360000000335276,2296528.870000000111759,12126822.940000001341105
FS( 142 ),2619206.839999999850988,2258356.069999999832362,2481178.040000000037253,2311357.759999999776483,2326557.110000000335276,11996655.820000000298023
FS( 143 ),2637508.519999999552965,2258356.069999999832362,2519639.549999999813735,2321418.639999999664724,2340206.309999999590218,12077129.089999999850988
FS( 144 ),2620731.979999999515712,2283065.229999999981374,2525367.859999999869615,2318241.519999999552965,2340547.540000000037253,12087954.129999998956919
FS( 145 ),2627849.299999999813735,2283791.970000000204891,2486088.020000000018626,2328302.399999999441206,2330651.870000000111759,12056683.559999998658895
FS( 146 ),2693938.700000000186265,2319765.600000000093132,2529459.509999999776483,2353189.839999999850988,2379106.530000000260770,12275460.179999999701977
FS( 147 ),2694955.459999999962747,2322672.560000000055879,2590834.259999999776483,2379136.319999999366701,2366481.019999999552965,12354079.619999997317791
FS( 148 ),2625815.779999999329448,2330303.330000000074506,2585105.950000000186265,2380195.360000000335276,2414253.219999999739230,12335673.640000000596046
FS( 149 ),2649201.259999999776483,2324126.040000000037253,2598199.229999999981374,2377018.240000000223517,2425513.809999999590218,12374058.579999998211861
FS( 150 ),2651234.779999999329448,2298690.140000000130385,2563011.040000000037253,2352130.799999999813735,2435068.250000000000000,12300135.009999999776483
FS( 151 ),2649709.639999999664724,2291786.109999999869615,2529459.509999999776483,2369075.439999999478459,2448717.450000000186265,12288748.149999998509884
FS( 152 ),2654793.439999999478459,2296873.290000000037253,2501636.290000000037253,2366957.360000000335276,2460660.500000000000000,12280920.879999998956919
FS( 153 ),2626832.540000000037253,2272164.129999999888241,2470539.750000000000000,2377547.759999999776483,2465778.950000000186265,12212863.129999998956919
FS( 154 ),2620731.979999999515712,2261626.399999999906868,2509001.259999999776483,2365368.799999999813735,2467485.099999999627471,12224213.539999997243285
FS( 155 ),2648184.500000000000000,2293966.330000000074506,2538461.140000000130385,2393962.879999999888241,2497172.110000000335276,12371746.960000000894070
FS( 156 ),2615648.179999999701977,2272890.870000000111759,2601472.549999999813735,2397140.000000000000000,2490347.509999999776483,12377499.109999999403954
FS( 157 ),2578536.439999999478459,2300506.990000000223517,2623567.459999999962747,2417791.279999999329448,2494442.269999999552965,12414844.439999997615814
FS( 158 ),2588195.659999999217689,2325579.520000000018626,2615384.160000000149012,2429970.240000000223517,2485911.519999999552965,12445041.099999999627471
FS( 159 ),2590737.559999999590218,2314315.049999999813735,2565466.030000000260770,2358485.040000000037253,2440869.160000000149012,12269872.839999999850988
FS( 160 ),2577519.679999999701977,2278704.790000000037253,2572831.000000000000000,2355837.439999999478459,2465437.719999999739230,12250330.629999998956919
FS( 161 ),2590737.559999999590218,2243457.899999999906868,2546644.439999999944121,2348424.160000000149012,2451788.519999999552965,12181052.579999998211861
FS( 162 ),2601413.540000000037253,2212571.450000000186265,2509001.259999999776483,2317712.000000000000000,2461684.190000000409782,12102382.440000001341105
FS( 163 ),2596329.740000000223517,2215841.779999999795109,2499999.629999999888241,2315064.399999999441206,2459636.809999999590218,12086872.359999999403954
FS( 164 ),2689871.659999999217689,2238734.089999999850988,2593289.250000000000000,2354248.879999999888241,2513892.379999999888241,12390036.259999997913837
FS( 165 ),2730542.059999999590218,2279068.160000000149012,2641570.720000000204891,2377547.759999999776483,2542896.929999999701977,12571625.629999998956919
FS( 166 ),2707156.580000000074506,2296873.290000000037253,2676758.910000000149012,2380195.360000000335276,2558593.509999999776483,12619577.650000000372529
FS( 167 ),2652759.919999999925494,2276524.569999999832362,2640752.390000000130385,2390256.240000000223517,2539825.860000000335276,12500118.980000000447035
FS( 168 ),2627340.919999999925494,2301960.470000000204891,2608019.189999999944121,2393962.879999999888241,2512186.230000000447035,12443469.690000001341105
FS( 169 ),2612597.899999999441206,2284518.709999999962747,2644844.040000000037253,2362721.199999999254942,2526859.120000000111759,12431540.969999998807907
FS( 170 ),2658352.099999999627471,2315041.790000000037253,2679213.900000000372529,2354248.879999999888241,2543920.620000000111759,12550777.289999999105930
FS( 171 ),2643609.080000000074506,2308137.760000000242144,2680850.559999999590218,2366427.839999999850988,2534707.410000000149012,12533732.649999998509884
FS( 172 ),2663944.279999999329448,2302687.209999999962747,2667757.280000000260770,2354778.399999999441206,2524811.740000000223517,12513978.909999998286366
FS( 173 ),2683771.099999999627471,2318675.490000000223517,2683305.549999999813735,2339422.319999999366701,2535731.099999999627471,12560905.559999998658895
FS( 174 ),2702072.779999999329448,2321582.450000000186265,2629295.770000000018626,2347894.639999999664724,2520034.519999999552965,12520880.160000000149012
FS( 175 ),2697497.360000000335276,2324852.779999999795109,2640752.390000000130385,2361662.160000000149012,2514233.610000000335276,12538998.300000000745058
FS( 176 ),2685296.240000000223517,2315768.529999999795109,2625204.119999999646097,2344188.000000000000000,2504679.169999999925494,12475136.059999998658895
FS( 177 ),2781380.059999999590218,2308864.500000000000000,2657118.989999999757856,2347365.119999999180436,2525494.200000000186265,12620222.869999997317791
FS( 178 ),2796123.080000000074506,2316495.270000000018626,2640752.390000000130385,2339951.839999999850988,2540508.320000000298023,12633830.900000000372529
FS( 179 ),2862720.860000000335276,2326669.629999999888241,2653027.340000000316650,2336245.199999999254942,2462025.419999999925494,12640688.449999999254942
FS( 180 ),2884072.819999999366701,2366640.330000000074506,2632569.090000000316650,2333068.080000000074506,2456565.740000000223517,12672916.060000000521541
FS( 181 ),2875938.740000000223517,2385172.200000000186265,2621930.799999999813735,2314005.360000000335276,2467143.870000000111759,12664190.970000002533197
FS( 182 ),2863229.240000000223517,2370274.030000000260770,2608837.520000000018626,2271114.240000000223517,2437456.860000000335276,12550911.890000000596046
FS( 183 ),2879497.399999999441206,2378268.169999999925494,2621112.470000000204891,2256817.199999999254942,2449058.679999999701977,12584753.919999998062849
FS( 184 ),2874921.979999999515712,2354649.120000000111759,2601472.549999999813735,2237224.959999999962747,2441892.849999999627471,12510161.459999999031425
FS( 185 ),2895765.559999999590218,2376451.320000000298023,2591652.590000000316650,2285940.799999999813735,2460660.500000000000000,12610470.769999999552965
FS( 186 ),2881022.540000000037253,2368457.180000000167638,2612110.840000000316650,2264230.479999999515712,2473968.469999999739230,12599789.509999997913837
FS( 187 ),2873905.219999999739230,2356102.600000000093132,2606382.530000000260770,2259464.799999999813735,2470897.399999999441206,12566752.550000000745058
FS( 188 ),2889665.000000000000000,2354649.120000000111759,2619475.809999999590218,2281704.639999999664724,2483181.679999999701977,12628676.250000000000000
FS( 189 ),2878480.639999999664724,2343384.649999999906868,2592470.919999999925494,2264760.000000000000000,2465437.719999999739230,12544533.929999999701977
FS( 190 ),2885089.580000000074506,2352468.899999999906868,2623567.459999999962747,2273761.839999999850988,2477380.769999999552965,12612268.550000000745058
FS( 191 ),2887123.099999999627471,2348835.200000000186265,2629295.770000000018626,2314005.360000000335276,2508432.700000000186265,12687692.129999998956919
FS( 192 ),2874413.599999999627471,2344838.129999999888241,2610474.179999999701977,2319300.559999999590218,2509797.620000000111759,12658824.089999999850988
