代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,18462679.650000002235174
真實報酬,8462679.650000002235174

夏普值報酬,0.837567965000000
夏普值風險,0.163586043312309
夏普值,5.120045378204820

二次趨勢線,-79.586390182594712 x^2 + 54783.784087759602698 x + 10000000.000000000000000
二次加權預期報酬,28095.814579862842947
風險,400358.530977513175458
二次加權趨勢值,0.070176635205610
一次趨勢線,39771.860573357422254 x + 10000000.000000000000000
一次預期報酬,39771.860573357422254
一次風險,691139.823199927341193
一次趨勢值,0.057545317515082
找到最佳解世代,2284
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),BA[2](18),MMM[16](2),MRK[17](3),MSFT[18](7),PG[21](5),
FS( 13 ),1924096.239999999990687,1906132.719999999972060,1914095.439999999944121,1916948.560000000055879,1790160.670000000391155,1707558.850000000325963,11158996.480000000447035
FS( 14 ),1926750.159999999916181,1874505.039999999804422,1846791.519999999785796,1851533.799999999813735,1809159.850000000325963,1646752.960000000195578,10955497.330000000074506
FS( 15 ),1925423.199999999953434,1838359.119999999878928,1786879.359999999869615,1899883.839999999850988,1800715.770000000018626,1621150.480000000214204,10872415.769999999552965
FS( 16 ),2040868.720000000204891,2004969.219999999972060,1918763.919999999925494,1989473.619999999878928,1934765.540000000037253,1697602.330000000307336,11586447.349999999627471
FS( 17 ),2018310.400000000139698,2038856.020000000018626,1879081.839999999850988,1973119.929999999934807,1892545.140000000130385,1673777.800000000279397,11475695.130000000819564
FS( 18 ),2018310.400000000139698,2093074.900000000139698,1907092.719999999972060,1955344.179999999934807,1887267.590000000083819,1708981.210000000195578,11570075.000000001862645
FS( 19 ),2083331.439999999944121,2183439.700000000186265,1985289.760000000009313,1961032.419999999925494,1987541.040000000037253,1733872.510000000009313,11934510.869999999180436
FS( 20 ),2024945.199999999953434,2119619.559999999590218,1958056.959999999729916,1931169.159999999916181,1913655.340000000083819,1727116.300000000279397,11674566.520000001415610
FS( 21 ),1981155.520000000018626,2006098.780000000260770,1892698.239999999757856,1887796.330000000074506,1845047.190000000176951,1681245.190000000176951,11294045.250000000000000
FS( 22 ),1993098.159999999916181,2009487.459999999962747,1934325.519999999785796,1902016.929999999934807,1938987.580000000307336,1674488.980000000214204,11452408.630000000819564
FS( 23 ),2060773.119999999878928,2001580.539999999804422,1970506.239999999757856,1919081.649999999906868,2038205.520000000018626,1714315.060000000288710,11704466.129999998956919
FS( 24 ),2136409.839999999850988,2100981.820000000298023,2028084.159999999916181,1919792.679999999934807,2036094.500000000000000,1757341.450000000186265,11978708.449999999254942
FS( 25 ),2198776.959999999962747,2128656.040000000037253,2027306.079999999841675,1881397.060000000055879,1979096.960000000195578,1764808.840000000316650,11980045.940000001341105
FS( 26 ),2245220.560000000521541,2155200.700000000186265,2026138.959999999729916,1896328.689999999944121,1980152.470000000437722,1765520.020000000018626,12068565.400000000372529
FS( 27 ),2180199.519999999552965,2069354.139999999897555,1976341.839999999850988,1867887.489999999990687,1980152.470000000437722,1731027.790000000037253,11804967.250000000000000
FS( 28 ),2205411.759999999776483,2082344.079999999841675,1998906.159999999916181,1902727.959999999962747,2025539.400000000372529,1723560.400000000139698,11938493.759999999776483
FS( 29 ),2266451.919999999925494,2211113.919999999925494,2066988.159999999916181,1870020.580000000074506,2076203.880000000353903,1749162.880000000121072,12239945.340000001713634
FS( 30 ),2278394.560000000521541,2098157.919999999925494,2075547.040000000037253,1852244.830000000074506,2067759.800000000279397,1708270.030000000027940,12080378.179999999701977
FS( 31 ),2242566.639999999664724,2091945.339999999850988,2059596.399999999906868,1825936.719999999972060,2042427.560000000288710,1680178.420000000158325,11942655.079999998211861
FS( 32 ),2230624.000000000000000,2121878.679999999701977,2090330.559999999823049,1866465.429999999934807,1987541.040000000037253,1733516.920000000158325,12030360.629999998956919
FS( 33 ),2302279.839999999850988,2168190.639999999664724,2130401.679999999701977,1838024.229999999981374,2085703.470000000437722,1793256.040000000037253,12317859.899999998509884
FS( 34 ),2339434.719999999739230,2164237.179999999701977,2093442.879999999888241,1829491.869999999878928,2026594.910000000149012,1836993.610000000102445,12290199.169999998062849
FS( 35 ),2283702.400000000372529,2060317.659999999683350,2021859.519999999785796,1793229.339999999850988,1964319.820000000065193,1803923.739999999990687,11927356.480000000447035
FS( 36 ),2307587.679999999701977,2069918.919999999925494,2073212.799999999813735,1673776.299999999813735,2002318.180000000167638,1826681.500000000000000,11953499.379999998956919
FS( 37 ),2303606.799999999813735,2106629.620000000111759,2064264.879999999888241,1633247.589999999850988,1982263.490000000223517,1763742.070000000298023,11853758.449999999254942
FS( 38 ),2376589.599999999627471,2142210.759999999776483,2109004.479999999515712,1651734.369999999878928,1997040.630000000353903,1753785.550000000279397,12030369.390000000596046
FS( 39 ),2348723.439999999478459,2186828.379999999888241,2217546.639999999664724,1667377.029999999795109,2207087.120000000111759,1760541.760000000009313,12388108.369999999180436
FS( 40 ),2364646.959999999962747,2229186.879999999888241,2231163.040000000037253,1666666.000000000000000,2153256.110000000335276,1776898.900000000139698,12421821.889999998733401
FS( 41 ),2348723.439999999478459,2194170.520000000484288,2200039.839999999850988,1647468.189999999944121,2103647.140000000596046,1766942.380000000121072,12260995.510000001639128
FS( 42 ),2372608.719999999739230,2290183.120000000111759,2237776.719999999739230,1699373.379999999888241,2137423.459999999962747,1792900.450000000186265,12530269.849999997764826
FS( 43 ),2385878.320000000298023,2261944.120000000111759,2240889.040000000037253,1723548.399999999906868,2138478.970000000670552,1758052.630000000121072,12508795.480000002309680
FS( 44 ),2412417.519999999552965,2327458.599999999627471,2251782.160000000149012,1727814.580000000074506,2136367.950000000186265,1760186.170000000158325,12616030.979999998584390
FS( 45 ),2503977.759999999776483,2382242.259999999776483,2275124.559999999590218,1750567.540000000037253,2131090.400000000372529,1813169.080000000307336,12856175.599999999627471
FS( 46 ),2515920.400000000372529,2437025.919999999925494,2273179.360000000335276,1748434.449999999953434,2088870.000000000000000,1770498.280000000027940,12833932.410000000149012
FS( 47 ),2511939.519999999552965,2496327.820000000298023,2300801.200000000186265,1749856.510000000009313,2088870.000000000000000,1807835.230000000214204,12955634.280000001192093
FS( 48 ),2446918.480000000447035,2458487.559999999590218,2286406.719999999739230,1792518.310000000055879,2039261.030000000260770,1825614.730000000214204,12849210.830000001937151
FS( 49 ),2449572.400000000372529,2588386.959999999962747,2337760.000000000000000,1764788.139999999897555,2049816.130000000353903,1833793.300000000279397,13024120.930000001564622
FS( 50 ),2456207.200000000186265,2525696.379999999888241,2299634.080000000074506,1734924.879999999888241,2039261.030000000260770,1791122.500000000000000,12846850.070000000298023
FS( 51 ),2358012.160000000149012,2490680.020000000484288,2315973.759999999776483,1776164.619999999878928,2099425.100000000558794,1811391.130000000121072,12851650.790000000968575
FS( 52 ),2265124.959999999962747,2425730.320000000298023,2215212.399999999441206,1825225.689999999944121,2084647.960000000195578,1812102.310000000288710,12628047.640000000596046
FS( 53 ),2330146.000000000000000,2453404.540000000037253,2254116.399999999441206,1852244.830000000074506,2117368.770000000484288,1806412.870000000111759,12813697.410000000149012
FS( 54 ),2320857.279999999329448,2428554.219999999739230,2253338.320000000298023,1811005.089999999850988,2134256.929999999701977,1801790.200000000186265,12749806.039999999105930
FS( 55 ),2400474.879999999888241,2505929.080000000074506,2304302.559999999590218,1830202.899999999906868,2174366.310000000521541,1867574.350000000325963,13082854.080000000074506
FS( 56 ),2416398.400000000372529,2520048.580000000074506,2295354.639999999664724,1832335.989999999990687,2143756.520000000484288,1882864.720000000204891,13090762.849999999627471
FS( 57 ),2385878.320000000298023,2517789.459999999962747,2264231.440000000409782,1855088.949999999953434,2151145.089999999850988,1920912.850000000325963,13095050.109999999403954
FS( 58 ),2354031.279999999329448,2444932.839999999850988,2200039.839999999850988,1857222.040000000037253,2092036.530000000260770,1885353.850000000325963,12833620.380000000819564
FS( 59 ),2322184.240000000223517,2425165.540000000037253,2181365.919999999925494,1860777.189999999944121,2084647.960000000195578,1885709.440000000176951,12759854.290000000968575
FS( 60 ),2478765.519999999552965,2494068.700000000186265,2252949.279999999329448,1888507.359999999869615,2146923.049999999813735,1912378.690000000176951,13173596.599999999627471
FS( 61 ),2522555.200000000186265,2460746.679999999701977,2180198.799999999813735,1893484.569999999832362,2124757.339999999850988,1841260.690000000176951,13023007.279999999329448
FS( 62 ),2561037.040000000037253,2503105.179999999701977,2200039.839999999850988,1903438.989999999990687,2158533.660000000149012,1870063.480000000214204,13196222.189999999478459
FS( 63 ),2574306.639999999664724,2533038.520000000484288,2221437.040000000037253,1961032.419999999925494,2204976.100000000558794,1846950.130000000121072,13341744.850000003352761
FS( 64 ),2641981.599999999627471,2694000.820000000298023,2306636.799999999813735,1957477.270000000018626,2258807.110000000335276,1897443.910000000149012,13756351.510000001639128
FS( 65 ),2644635.519999999552965,2778717.820000000298023,2332702.479999999515712,1969564.779999999795109,2258807.110000000335276,1909889.560000000288710,13894321.270000001415610
FS( 66 ),2672501.679999999701977,2731841.080000000074506,2314806.639999999664724,1961743.449999999953434,2293638.940000000409782,1913445.460000000195578,13887981.250000000000000
FS( 67 ),2724253.120000000111759,2856092.679999999701977,2328423.040000000037253,1889929.419999999925494,2304194.040000000037253,1897088.320000000298023,13999984.620000001043081
FS( 68 ),2742830.560000000521541,2973566.919999999925494,2370828.399999999441206,1853666.889999999897555,2336914.850000000558794,1891043.290000000037253,14168854.910000000149012
FS( 69 ),2726907.040000000037253,2983732.959999999962747,2361102.399999999441206,1843712.469999999972060,2327415.260000000707805,1889620.930000000167638,14132495.059999998658895
FS( 70 ),2705675.679999999701977,2956623.520000000484288,2347486.000000000000000,1828780.839999999850988,2330581.790000000037253,1863662.860000000102445,14032814.689999997615814
FS( 71 ),2659232.080000000074506,2953799.620000000111759,2352154.479999999515712,1819537.449999999953434,2380190.760000000707805,1851928.390000000130385,14016846.780000001192093
FS( 72 ),2652597.279999999329448,2861175.700000000186265,2356822.959999999962747,1862199.250000000000000,2409745.040000000037253,1849439.260000000009313,13991983.490000000223517
FS( 73 ),2596864.959999999962747,2905228.540000000037253,2373162.639999999664724,1854377.919999999925494,2462520.540000000037253,1868641.120000000111759,14060799.719999998807907
FS( 74 ),2579614.480000000447035,2796790.780000000260770,2307414.879999999888241,1774742.560000000055879,2472020.130000000819564,1825259.140000000130385,13755845.970000002533197
FS( 75 ),2584922.320000000298023,2757820.959999999962747,2272401.279999999329448,1737057.969999999972060,2475186.660000000149012,1781521.570000000298023,13608914.759999999776483
FS( 76 ),2570325.759999999776483,2742007.120000000111759,2296910.799999999813735,1761232.989999999990687,2499463.390000000596046,1778321.260000000009313,13648265.320000000298023
FS( 77 ),2575633.599999999627471,2765163.099999999627471,2307414.879999999888241,1823803.629999999888241,2480464.209999999962747,1819569.700000000186265,13772053.119999997317791
FS( 78 ),2644635.519999999552965,2735794.540000000037253,2309749.120000000111759,1842290.409999999916181,2540628.280000000260770,1800723.430000000167638,13873825.300000000745058
FS( 79 ),2603499.759999999776483,2648818.419999999925494,2235831.519999999552965,1790385.219999999972060,2457242.990000000223517,1797878.710000000195578,13533660.620000001043081
FS( 80 ),2539805.679999999701977,2477690.080000000074506,2219880.879999999888241,1785408.010000000009313,2463576.049999999813735,1797523.120000000111759,13283887.820000000298023
FS( 81 ),2582268.400000000372529,2333671.179999999701977,2236220.559999999590218,1809583.029999999795109,2477297.679999999701977,1797523.120000000111759,13236567.969999998807907
FS( 82 ),2651270.320000000298023,2402009.559999999590218,2291464.240000000223517,1889218.389999999897555,2511074.000000000000000,1837704.790000000037253,13582745.300000000745058
FS( 83 ),2700367.839999999850988,2365298.860000000335276,2305469.679999999701977,1919792.679999999934807,2464631.560000000521541,1840193.920000000158325,13595758.540000000968575
FS( 84 ),2691079.120000000111759,2408786.919999999925494,2332702.479999999515712,1980230.229999999981374,2518462.570000000298023,1857262.239999999990687,13788527.560000000521541
FS( 85 ),2700367.839999999850988,2400315.219999999739230,2338149.040000000037253,1988051.560000000055879,2508962.980000000447035,1817080.570000000298023,13752931.210000000894070
FS( 86 ),2707002.639999999664724,2385066.160000000149012,2363047.599999999627471,1994450.830000000074506,2537461.750000000000000,1849083.670000000158325,13836116.650000000372529
FS( 87 ),2653924.240000000223517,2305996.959999999962747,2343984.639999999664724,1920503.709999999962747,2466742.580000000074506,1817436.160000000149012,13508592.290000000968575
FS( 88 ),2627385.040000000037253,2290747.900000000372529,2360324.320000000298023,1983074.349999999860302,2448798.910000000149012,1855128.700000000186265,13565463.220000002533197
FS( 89 ),2566344.879999999888241,2204901.339999999850988,2286017.679999999701977,1963876.540000000037253,2378079.740000000223517,1845883.360000000102445,13245107.539999999105930
FS( 90 ),2600845.839999999850988,2233705.120000000111759,2296132.719999999739230,1993739.799999999813735,2381246.270000000484288,1871841.430000000167638,13377515.179999999701977
FS( 91 ),2584922.320000000298023,2219585.620000000111759,2298856.000000000000000,1920503.709999999962747,2368580.150000000372529,1863662.860000000102445,13256114.660000000149012
FS( 92 ),2626058.080000000074506,2239352.919999999925494,2326088.799999999813735,1880686.029999999795109,2363302.600000000558794,1856906.650000000139698,13292399.080000000074506
FS( 93 ),2697713.919999999925494,2283970.540000000037253,2353321.599999999627471,1906994.139999999897555,2451965.440000000409782,1883931.489999999990687,13577901.130000000819564
FS( 94 ),2696386.959999999962747,2282276.200000000186265,2358768.160000000149012,1931169.159999999916181,2439299.320000000298023,1903844.530000000027940,13611748.330000000074506
FS( 95 ),2783966.320000000298023,2335930.299999999813735,2412066.639999999664724,1970275.810000000055879,2545905.830000000074506,1943315.020000000018626,13991463.919999999925494
FS( 96 ),2795908.959999999962747,2374900.120000000111759,2466532.240000000223517,1981652.290000000037253,2579682.150000000372529,1963228.060000000288710,14161907.820000000298023
FS( 97 ),2876853.519999999552965,2335930.299999999813735,2447858.320000000298023,1968142.719999999972060,2563849.500000000000000,1988474.950000000186265,14181113.309999998658895
FS( 98 ),2898084.879999999888241,2383371.820000000298023,2483650.000000000000000,1986629.500000000000000,2589181.740000000223517,1975673.710000000195578,14316595.650000000372529
FS( 99 ),2871545.679999999701977,2429683.780000000260770,2497655.440000000409782,2108215.629999999888241,2620847.040000000037253,1973184.580000000307336,14501136.150000000372529
FS( 100 ),2971067.679999999701977,2372076.219999999739230,2515940.320000000298023,2093995.029999999795109,2617680.510000000707805,1951138.000000000000000,14521901.760000001639128
FS( 101 ),2992299.040000000037253,2369252.320000000298023,2701123.360000000335276,2150877.429999999701977,2697899.270000000484288,1961450.110000000102445,14872905.530000001192093
FS( 102 ),3033434.799999999813735,2392973.080000000074506,2700734.320000000298023,2203493.649999999441206,2475186.660000000149012,1985630.230000000214204,14791456.740000000223517
FS( 103 ),3034761.759999999776483,2385630.940000000409782,2719797.279999999329448,2187850.990000000223517,2439299.320000000298023,1983496.690000000176951,14750840.979999998584390
FS( 104 ),3033434.799999999813735,2442673.719999999739230,2718630.160000000149012,2134523.740000000223517,2477297.679999999701977,1981007.560000000288710,14787571.660000000149012
FS( 105 ),3033434.799999999813735,2449451.080000000074506,2673501.519999999552965,2123858.290000000037253,2512129.510000000707805,1995586.750000000000000,14787965.949999999254942
FS( 106 ),3086513.200000000186265,2442108.940000000409782,2719408.240000000223517,2128835.500000000000000,2513185.020000000484288,1999498.239999999990687,14889553.140000002458692
FS( 107 ),3097128.879999999888241,2423471.200000000186265,2743528.719999999739230,2133812.709999999962747,2482575.230000000447035,1973895.760000000009313,14854416.500000000000000
FS( 108 ),3155515.120000000111759,2473171.839999999850988,2806553.200000000186265,2134523.740000000223517,2515296.040000000037253,1977451.660000000149012,15062515.600000001490116
FS( 109 ),3138264.639999999664724,2494068.700000000186265,2802273.759999999776483,2121725.200000000186265,2508962.980000000447035,1972117.810000000288710,15037417.090000001713634
FS( 110 ),3130302.879999999888241,2486726.559999999590218,2794492.959999999962747,2105371.509999999776483,2513185.020000000484288,1917001.360000000102445,14947084.289999999105930
FS( 111 ),3107744.560000000521541,2570878.780000000260770,2816668.240000000223517,2087595.760000000009313,2476242.169999999925494,1829881.810000000288710,14889015.320000002160668
FS( 112 ),3136937.679999999701977,2636958.040000000037253,2836120.240000000223517,2140211.980000000447035,2486797.270000000484288,1850150.440000000176951,15087179.650000000372529
FS( 113 ),3122341.120000000111759,2584998.280000000260770,2758701.279999999329448,2175763.480000000447035,2472020.130000000819564,1855128.700000000186265,14968956.990000002086163
FS( 114 ),3086513.200000000186265,2563536.639999999664724,2775430.000000000000000,2156565.669999999925494,2441410.339999999850988,1846594.540000000037253,14870054.390000000596046
FS( 115 ),3134283.759999999776483,2617190.740000000223517,2813944.959999999962747,2185717.899999999441206,2483630.740000000223517,1851928.390000000130385,15086700.490000000223517
FS( 116 ),3192670.000000000000000,2633004.580000000074506,2824449.040000000037253,2202782.620000000111759,2493130.330000000074506,1859751.370000000111759,15205791.940000001341105
FS( 117 ),3162149.919999999925494,2534168.080000000074506,2774651.919999999925494,2202782.620000000111759,2500518.900000000372529,1862240.500000000000000,15036515.939999999478459
FS( 118 ),3025473.040000000037253,2494068.700000000186265,2726410.959999999962747,2195672.320000000298023,2454076.459999999962747,1856551.060000000288710,14752256.540000000968575
FS( 119 ),3109071.519999999552965,2472607.059999999590218,2736915.040000000037253,2183584.809999999590218,2488908.290000000037253,1865085.220000000204891,14856175.939999999478459
FS( 120 ),3119687.200000000186265,2457922.780000000260770,2754032.799999999813735,2238334.120000000111759,2496296.860000000335276,1877530.870000000111759,14943808.630000002682209
FS( 121 ),3152861.200000000186265,2526825.940000000409782,2771150.559999999590218,2228379.700000000186265,2498407.880000000819564,1885353.850000000325963,15062983.129999998956919
FS( 122 ),3207266.560000000521541,2590646.080000000074506,2826005.200000000186265,2315125.360000000335276,2576515.620000000111759,1905266.890000000130385,15420829.710000000894070
FS( 123 ),3204612.639999999664724,2661808.360000000335276,2822892.879999999888241,2310859.179999999701977,2600792.350000000558794,1896732.730000000214204,15497702.140000000596046
FS( 124 ),3211247.439999999478459,2725063.719999999739230,2827561.360000000335276,2342855.530000000260770,2600792.350000000558794,1898866.270000000018626,15606390.670000001788139
FS( 125 ),3174092.560000000521541,2700778.179999999701977,2778542.320000000298023,2323657.719999999739230,2591292.760000000707805,1897443.910000000149012,15465811.450000002980232
FS( 126 ),3212574.400000000372529,2926690.179999999701977,2786712.160000000149012,2337167.290000000037253,2606069.900000000372529,1886776.210000000195578,15755994.140000002458692
FS( 127 ),3223190.080000000074506,2882637.339999999850988,2797994.320000000298023,2298060.639999999664724,2605014.390000000596046,1891398.880000000121072,15698299.650000000372529
FS( 128 ),3188689.120000000111759,2805262.480000000447035,2804997.040000000037253,2305881.969999999739230,2601847.860000000335276,1924113.160000000149012,15630795.629999998956919
FS( 129 ),3132956.799999999813735,2754432.280000000260770,2727967.120000000111759,2260376.049999999813735,2533239.709999999962747,1885353.850000000325963,15294329.810000000521541
FS( 130 ),3131629.839999999850988,2733535.419999999925494,2745862.959999999962747,2190695.109999999403954,2518462.570000000298023,1877530.870000000111759,15197720.769999999552965
FS( 131 ),3156842.080000000074506,2736924.099999999627471,2762980.719999999739230,2150166.399999999441206,2544850.320000000298023,1880020.000000000000000,15231787.619999997317791
FS( 132 ),3228497.919999999925494,2775893.919999999925494,2775819.040000000037253,2182873.780000000260770,2598681.330000000074506,1879664.410000000149012,15441434.400000000372529
FS( 133 ),3277595.439999999478459,2795661.219999999739230,2789046.399999999441206,2202071.589999999850988,2619791.530000000260770,1927313.470000000204891,15611483.650000000372529
FS( 134 ),3244421.439999999478459,2853833.559999999590218,2847013.360000000335276,2243311.330000000074506,2615569.490000000223517,1911667.510000000009313,15715820.689999999478459
FS( 135 ),3270960.639999999664724,2851574.440000000409782,2894087.200000000186265,2272463.559999999590218,2638790.709999999962747,1992742.030000000027940,15920622.580000000074506
FS( 136 ),3262998.879999999888241,2900145.520000000484288,2878914.639999999664724,2313703.299999999813735,2624013.570000000298023,1978518.430000000167638,15958298.339999999850988
FS( 137 ),3293518.959999999962747,2878683.879999999888241,2900700.879999999888241,2338589.349999999627471,2638790.709999999962747,1966428.370000000111759,16016716.149999998509884
FS( 138 ),3320058.160000000149012,2940809.679999999701977,2905369.360000000335276,2325079.780000000260770,2659900.910000000149012,1956827.440000000176951,16108049.330000000074506
FS( 139 ),3447446.320000000298023,2957188.299999999813735,2932602.160000000149012,2287395.190000000409782,2659900.910000000149012,1966783.960000000195578,16251320.840000003576279
FS( 140 ),3497870.799999999813735,2986556.860000000335276,2913539.200000000186265,2276018.709999999962747,2670456.010000000707805,1974606.940000000176951,16319052.520000001415610
FS( 141 ),3507159.519999999552965,2994463.780000000260770,2903035.120000000111759,2266775.320000000298023,2666233.970000000670552,2038257.550000000279397,16375929.260000001639128
FS( 142 ),3488582.080000000074506,2985427.299999999813735,2899922.799999999813735,2262509.139999999664724,2670456.010000000707805,2030434.570000000298023,16337335.900000002235174
FS( 143 ),3496543.839999999850988,3001241.139999999664724,2916651.519999999552965,2227668.669999999925494,2720064.980000000447035,2035412.830000000307336,16397586.980000000447035
FS( 144 ),3516448.240000000223517,2957753.080000000074506,2895254.320000000298023,2227668.669999999925494,2713731.919999999925494,2035768.420000000158325,16346628.650000000372529
FS( 145 ),3484601.200000000186265,2924995.839999999850988,2882805.040000000037253,2204915.709999999962747,2738008.650000000372529,2056748.230000000214204,16292078.669999999925494
FS( 146 ),3456735.040000000037253,2909746.780000000260770,2871133.839999999850988,2221980.429999999701977,2696843.760000000707805,2062793.260000000009313,16219237.110000001266599
FS( 147 ),3528390.879999999888241,2997287.679999999701977,2918207.679999999701977,2277440.769999999552965,2726398.040000000037253,2068127.110000000102445,16515856.159999996423721
FS( 148 ),3513794.320000000298023,3084828.580000000074506,2876580.399999999441206,2264642.230000000447035,2717953.959999999962747,2059237.360000000102445,16517040.850000001490116
FS( 149 ),3513794.320000000298023,3058283.919999999925494,2871133.839999999850988,2248999.570000000298023,2714787.429999999701977,2059592.950000000186265,16466596.030000001192093
FS( 150 ),3428868.879999999888241,2943068.799999999813735,2822503.839999999850988,2217003.219999999739230,2626124.589999999850988,2013366.250000000000000,16050939.579999998211861
FS( 151 ),3504505.599999999627471,2902969.419999999925494,2798383.360000000335276,2250421.629999999888241,2634568.669999999925494,2017988.920000000158325,16108841.599999997764826
FS( 152 ),3525736.959999999962747,2952670.059999999590218,2840788.719999999739230,2258953.990000000223517,2600792.350000000558794,2015499.790000000037253,16194445.869999997317791
FS( 153 ),3601373.679999999701977,2953234.839999999850988,2876191.360000000335276,2311570.209999999962747,2650401.320000000298023,2027945.440000000176951,16420720.849999999627471
FS( 154 ),3606681.519999999552965,2924995.839999999850988,2845457.200000000186265,2288817.250000000000000,2649345.810000000521541,2025100.720000000204891,16340402.339999999850988
FS( 155 ),3588104.080000000074506,2953799.620000000111759,2899533.759999999776483,2305881.969999999739230,2709509.880000000819564,2049992.020000000018626,16506825.330000000074506
FS( 156 ),3610662.400000000372529,2975826.040000000037253,2907314.559999999590218,2315125.360000000335276,2696843.760000000707805,2046791.710000000195578,16552567.830000001937151
FS( 157 ),3617297.200000000186265,2917653.700000000186265,2913150.160000000149012,2336456.259999999776483,2714787.429999999701977,2044658.170000000158325,16544006.919999999925494
FS( 158 ),3602700.639999999664724,2931208.419999999925494,2904202.240000000223517,2305170.940000000409782,2724287.020000000484288,2036124.010000000009313,16503697.270000001415610
FS( 159 ),3626585.919999999925494,2965660.000000000000000,2978897.919999999925494,2339300.379999999888241,2740119.669999999925494,2037901.960000000195578,16688469.849999999627471
FS( 160 ),3611989.359999999403954,2923301.500000000000000,2986678.719999999739230,2367741.580000000074506,2819282.919999999925494,2035412.830000000307336,16744410.909999998286366
FS( 161 ),3564218.799999999813735,3004065.040000000037253,2957500.719999999739230,2361342.309999999590218,2797117.209999999962747,2042524.630000000121072,16726772.709999999031425
FS( 162 ),3598719.759999999776483,3018749.320000000298023,2969171.919999999925494,2398315.870000000111759,2782340.070000000298023,2054970.280000000027940,16822271.220000002533197
FS( 163 ),3767243.679999999701977,2930643.639999999664724,2954777.440000000409782,2397604.839999999850988,2783395.580000000074506,2067060.340000000316650,16900729.519999999552965
FS( 164 ),3884016.160000000149012,2859481.360000000335276,2969560.959999999962747,2323657.719999999739230,2805561.290000000037253,2044302.580000000307336,16886584.070000000298023
FS( 165 ),3889324.000000000000000,2884331.679999999701977,3065264.799999999813735,2337167.290000000037253,2806616.799999999813735,2067060.340000000316650,17049768.910000000149012
FS( 166 ),3865438.719999999739230,2817687.639999999664724,3027527.919999999925494,2305881.969999999739230,2957554.730000000447035,2049636.430000000167638,17023731.410000000149012
