代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15624614.760000001639128
真實報酬,5624614.760000001639128

夏普值報酬,0.553761476000000
夏普值風險,0.159136080577673
夏普值,3.479798383809724

二次趨勢線,31.891056806659567 x^2 + 19834.716825053015782 x + 10000000.000000000000000
二次加權預期報酬,30528.851207552834239
風險,357554.840376997890417
二次加權趨勢值,0.085382290379187
一次趨勢線,25850.143639570273081 x + 10000000.000000000000000
一次預期報酬,25850.143639570273081
一次風險,422856.772740586835425
一次趨勢值,0.061132149952411
找到最佳解世代,1739
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),MRK[17](3),MSFT[18](2),V[25](5),WMT[28](28),
FS( 94 ),2980871.020000000018626,1718608.000000000000000,2630395.400000000372529,2501200.639999999664724,2072149.280000000027940,11903224.339999997988343
FS( 95 ),2964038.600000000093132,1742526.320000000065193,2656194.500000000000000,2456364.799999999813735,2085462.540000000037253,11904586.759999997913837
FS( 96 ),2970159.479999999981374,1804432.560000000055879,2636003.900000000372529,2457966.080000000074506,2090616.060000000055879,11959178.080000000074506
FS( 97 ),3049730.919999999925494,1822723.040000000037253,2699940.799999999813735,2456364.799999999813735,2068713.600000000093132,12097473.159999998286366
FS( 98 ),3002294.100000000093132,1771369.000000000000000,2611326.500000000000000,2451560.959999999962747,2086750.920000000158325,11923301.479999998584390
FS( 99 ),2928843.540000000037253,1766444.640000000130385,2618056.700000000186265,2509207.040000000037253,2076443.880000000121072,11898995.800000000745058
FS( 100 ),2977810.580000000074506,1790362.959999999962747,2632638.799999999813735,2445155.839999999850988,2083315.239999999990687,11929283.419999999925494
FS( 101 ),3057382.020000000018626,1869152.720000000204891,2668533.200000000186265,2480384.000000000000000,2110800.679999999701977,12186252.620000001043081
FS( 102 ),3114000.160000000149012,1899402.360000000102445,2619178.400000000372529,2555644.160000000149012,2088468.760000000242144,12276693.840000001713634
FS( 103 ),3103288.620000000111759,1959198.160000000149012,2676385.099999999627471,2522017.280000000260770,2094051.739999999990687,12354940.900000000372529
FS( 104 ),3114000.160000000149012,1966936.440000000176951,2666289.799999999813735,2493194.240000000223517,2080309.020000000018626,12320729.660000000149012
FS( 105 ),3121651.259999999776483,1973267.760000000242144,2696575.700000000186265,2433946.879999999888241,2077302.799999999813735,12302744.399999998509884
FS( 106 ),3060442.459999999962747,1900105.840000000316650,2621421.799999999813735,2405123.839999999850988,2052394.119999999878928,12039488.060000000521541
FS( 107 ),3029838.060000000055879,1962012.080000000074506,2602352.900000000372529,2429143.040000000037253,2049817.359999999869615,12073163.440000001341105
FS( 108 ),2959447.939999999944121,1943018.120000000111759,2527199.000000000000000,2390712.320000000298023,2054541.420000000158325,11874918.800000000745058
FS( 109 ),2999233.660000000149012,1972564.280000000027940,2530564.099999999627471,2381104.639999999664724,2077302.799999999813735,11960769.480000000447035
FS( 110 ),2980871.020000000018626,1900105.840000000316650,2517103.700000000186265,2419535.360000000335276,2064848.459999999962747,11882464.380000002682209
FS( 111 ),3028307.839999999850988,1860710.959999999962747,2511495.200000000186265,2397117.440000000409782,2042946.000000000000000,11840577.440000001341105
FS( 112 ),3110939.719999999739230,1886739.720000000204891,2605718.000000000000000,2416332.799999999813735,2054111.959999999962747,12073842.199999999254942
FS( 113 ),3109409.500000000000000,1910658.040000000037253,2592257.599999999627471,2413130.240000000223517,2066995.760000000242144,12092451.139999998733401
FS( 114 ),3210404.020000000018626,1949349.440000000176951,2705549.299999999813735,2507605.759999999776483,2085033.079999999841675,12457941.599999999627471
FS( 115 ),3224176.000000000000000,1960605.120000000111759,2741443.700000000186265,2578062.080000000074506,2083315.239999999990687,12587602.140000000596046
FS( 116 ),3317519.419999999925494,1947239.000000000000000,2724618.200000000186265,2565251.839999999850988,2082456.320000000065193,12637084.780000001192093
FS( 117 ),3342002.939999999944121,1965529.480000000214204,2751539.000000000000000,2686949.120000000111759,2096628.500000000000000,12842649.039999999105930
FS( 118 ),3311398.540000000037253,2085824.560000000055879,2785190.000000000000000,2688550.399999999441206,2098346.339999999850988,12969309.839999999850988
FS( 119 ),3426165.040000000037253,2071754.959999999962747,2781824.900000000372529,2675740.160000000149012,2111659.600000000558794,13067144.660000000149012
FS( 120 ),3450648.560000000055879,2128033.360000000335276,2867074.099999999627471,2690151.679999999701977,2094051.739999999990687,13229959.439999999478459
FS( 121 ),3498085.379999999888241,2180090.879999999888241,2630395.400000000372529,2693354.240000000223517,2101782.019999999552965,13103707.919999999925494
FS( 122 ),3499615.600000000093132,2164614.320000000298023,2592257.599999999627471,2730183.679999999701977,2103070.400000000372529,13089741.599999999627471
FS( 123 ),3498085.379999999888241,2111853.320000000298023,2632638.799999999813735,2654923.519999999552965,2100923.100000000558794,12998424.120000001043081
FS( 124 ),3498085.379999999888241,2101301.120000000111759,2669654.900000000372529,2674138.879999999888241,2120248.799999999813735,13063429.080000001937151
FS( 125 ),3559294.180000000167638,2106225.480000000447035,2670776.599999999627471,2690151.679999999701977,2146445.860000000335276,13172893.800000000745058
FS( 126 ),3571535.939999999944121,2111149.839999999850988,2638247.299999999813735,2619695.360000000335276,2142151.259999999776483,13082779.699999999254942
FS( 127 ),3638865.620000000111759,2111853.320000000298023,2673020.000000000000000,2767013.120000000111759,2140433.419999999925494,13331185.480000002309680
FS( 128 ),3618972.759999999776483,2099190.679999999701977,2666289.799999999813735,2765411.839999999850988,2140862.879999999888241,13290727.959999997168779
FS( 129 ),3609791.439999999944121,2083010.640000000130385,2670776.599999999627471,2738190.080000000074506,2112947.980000000447035,13214716.740000000223517
FS( 130 ),3583777.700000000186265,2065423.640000000130385,2631517.100000000558794,2747797.759999999776483,2103499.860000000335276,13132016.059999998658895
FS( 131 ),3617442.540000000037253,2117481.160000000149012,2642734.099999999627471,2768614.399999999441206,2116813.120000000111759,13263085.320000000298023
FS( 132 ),3600610.120000000111759,2152655.160000000149012,2627030.300000000745058,2757405.439999999478459,2135279.900000000372529,13272980.919999999925494
FS( 133 ),3559294.180000000167638,2133661.200000000186265,2594501.000000000000000,2746196.479999999515712,2149022.620000000111759,13182675.480000000447035
FS( 134 ),3614382.100000000093132,2162503.879999999888241,2639369.000000000000000,2739791.360000000335276,2169207.240000000223517,13325253.580000000074506
FS( 135 ),3681711.779999999795109,2179387.400000000372529,2649464.299999999813735,2749399.040000000037253,2228043.259999999776483,13488005.779999999329448
FS( 136 ),3646516.719999999739230,2179387.400000000372529,2657316.200000000186265,2714170.879999999888241,2224178.120000000111759,13421569.320000000298023
FS( 137 ),3488904.060000000055879,2172352.599999999627471,2607961.400000000372529,2659727.360000000335276,2214730.000000000000000,13143675.420000001788139
FS( 138 ),3585307.919999999925494,2160393.440000000409782,2644977.500000000000000,2682145.280000000260770,2205711.339999999850988,13278535.480000000447035
FS( 139 ),3597549.680000000167638,2214561.400000000372529,2652829.400000000372529,2690151.679999999701977,2219024.600000000558794,13374116.760000001639128
FS( 140 ),3635805.180000000167638,2204712.679999999701977,2655072.800000000745058,2714170.879999999888241,2220742.440000000409782,13430503.980000000447035
FS( 141 ),3698544.200000000186265,2290537.240000000223517,2738078.600000000558794,2762209.280000000260770,2205711.339999999850988,13695080.660000000149012
FS( 142 ),3695483.759999999776483,2286316.360000000335276,2763877.700000000186265,2720576.000000000000000,2213871.080000000074506,13680124.900000000372529
FS( 143 ),3703134.859999999869615,2317972.959999999962747,2763877.700000000186265,2762209.280000000260770,2219024.600000000558794,13766219.400000002235174
FS( 144 ),3660288.700000000186265,2298979.000000000000000,2753782.400000000372529,2810247.679999999701977,2224607.580000000074506,13747905.360000001266599
FS( 145 ),3704665.080000000074506,2312345.120000000111759,2769486.200000000186265,2791032.320000000298023,2200557.820000000298023,13778086.540000000968575
FS( 146 ),3716906.839999999850988,2273653.719999999739230,2768364.500000000000000,2823057.919999999925494,2195833.759999999776483,13777816.739999998360872
FS( 147 ),3677121.120000000111759,2281392.000000000000000,2764999.400000000372529,2845475.839999999850988,2184667.799999999813735,13753656.160000000149012
FS( 148 ),3612851.879999999888241,2236369.280000000260770,2692088.900000000372529,2810247.679999999701977,2188962.400000000372529,13540520.140000000596046
FS( 149 ),3611321.660000000149012,2167428.240000000223517,2676385.099999999627471,2805443.839999999850988,2186815.100000000558794,13447393.940000001341105
FS( 150 ),3640395.839999999850988,2127329.879999999888241,2704427.599999999627471,2839070.719999999739230,2222030.820000000298023,13533254.859999999403954
FS( 151 ),3723027.719999999739230,2159689.959999999962747,2761634.299999999813735,2816652.799999999813735,2219454.059999999590218,13680458.839999999850988
FS( 152 ),3779645.859999999869615,2178683.919999999925494,2784068.299999999813735,2840672.000000000000000,2207429.179999999701977,13790499.259999997913837
FS( 153 ),3741390.359999999869615,2219485.759999999776483,2779581.500000000000000,2821456.640000000596046,2194974.839999999850988,13756889.099999999627471
FS( 154 ),3771994.759999999776483,2248328.440000000409782,2804258.900000000372529,2895115.519999999552965,2191539.160000000149012,13911236.780000001192093
FS( 155 ),3762813.439999999944121,2289130.280000000260770,2788555.099999999627471,2893514.240000000223517,2178225.900000000372529,13912238.960000000894070
FS( 156 ),3798008.500000000000000,2313752.080000000074506,2804258.900000000372529,2917533.439999999478459,2163624.259999999776483,13997177.179999999701977
FS( 157 ),3828612.899999999906868,2300385.959999999962747,2826692.900000000372529,2930343.679999999701977,2144298.559999999590218,14030334.000000000000000
FS( 158 ),3975514.020000000018626,2263101.520000000484288,2826692.900000000372529,2965571.839999999850988,2149022.620000000111759,14179902.900000002235174
FS( 159 ),4033662.379999999888241,2251845.839999999850988,2837909.900000000372529,2954362.879999999888241,2145586.940000000409782,14223367.940000001341105
FS( 160 ),4044373.919999999925494,2242700.599999999627471,2833423.100000000558794,2954362.879999999888241,2152028.839999999850988,14226889.339999999850988
FS( 161 ),4022950.839999999850988,2238479.719999999739230,2837909.900000000372529,2938350.080000000074506,2186385.639999999664724,14224076.179999999701977
FS( 162 ),4032132.160000000149012,2204009.200000000186265,2890629.799999999813735,2978382.080000000074506,2189821.320000000298023,14294974.560000000521541
FS( 163 ),4055085.459999999962747,2204009.200000000186265,2883899.600000000558794,2959166.719999999739230,2164483.179999999701977,14266644.160000000149012
FS( 164 ),4018360.180000000167638,2181497.839999999850988,2909698.700000000186265,2943153.919999999925494,2177366.980000000447035,14230077.619999999180436
FS( 165 ),3986225.560000000055879,2198381.360000000335276,2865952.400000000372529,2829463.040000000037253,2124543.400000000372529,14004565.759999999776483
FS( 166 ),4068857.439999999944121,2253252.799999999813735,2897360.000000000000000,2848678.399999999441206,2125831.780000000260770,14193980.420000001788139
FS( 167 ),4052025.020000000018626,2240590.160000000149012,2888386.400000000372529,2784627.200000000186265,2114236.360000000335276,14079865.140000000596046
FS( 168 ),4052025.020000000018626,2225113.599999999627471,2885021.299999999813735,2767013.120000000111759,2108223.919999999925494,14037396.959999999031425
FS( 169 ),3954090.939999999944121,2193457.000000000000000,2790798.500000000000000,2767013.120000000111759,2104358.780000000260770,13809718.339999999850988
FS( 170 ),4041313.479999999981374,2226520.559999999590218,2799772.100000000558794,2714170.879999999888241,2107794.459999999962747,13889571.480000000447035
FS( 171 ),4065797.000000000000000,2234962.320000000298023,2763877.700000000186265,2728582.399999999441206,2106935.540000000037253,13900154.959999997168779
FS( 172 ),4153019.540000000037253,2287019.839999999850988,2816597.599999999627471,2733386.240000000223517,2124972.860000000335276,14114996.080000001937151
FS( 173 ),4159140.419999999925494,2264508.479999999515712,2815475.900000000372529,2837469.439999999478459,2125402.320000000298023,14201996.560000000521541
FS( 174 ),4137717.339999999850988,2281392.000000000000000,2879412.800000000745058,2871096.320000000298023,2136138.820000000298023,14305757.280000001192093
FS( 175 ),4163731.080000000074506,2290537.240000000223517,2865952.400000000372529,2920736.000000000000000,2146016.400000000372529,14386973.120000001043081
FS( 176 ),4171382.180000000167638,2311641.639999999664724,2885021.299999999813735,2951160.320000000298023,2130555.839999999850988,14449761.280000001192093
FS( 177 ),4154549.759999999776483,2280688.520000000484288,2895116.599999999627471,2989591.040000000037253,2161906.419999999925494,14481852.339999997988343
FS( 178 ),4182093.719999999739230,2314455.559999999590218,2911942.100000000558794,2994394.879999999888241,2155464.519999999552965,14558350.779999997466803
FS( 179 ),4165261.299999999813735,2342594.759999999776483,2996069.600000000558794,3005603.839999999850988,2188103.480000000447035,14697632.980000000447035
FS( 180 ),4110173.379999999888241,2336263.440000000409782,2972513.900000000372529,2973578.240000000223517,2199698.900000000372529,14592227.860000001266599
FS( 181 ),4149959.100000000093132,2372844.399999999441206,2956810.099999999627471,3000800.000000000000000,2228472.719999999739230,14708886.320000000298023
FS( 182 ),4344297.040000000037253,2372140.919999999925494,2957931.799999999813735,3004002.560000000521541,2220312.980000000447035,14898685.300000000745058
FS( 183 ),4478956.399999999441206,2298979.000000000000000,2981487.500000000000000,3010407.679999999701977,2174360.759999999776483,14944191.339999997988343
FS( 184 ),4485077.279999999329448,2312345.120000000111759,2982609.200000000186265,3029623.040000000037253,2167918.860000000335276,14977573.500000000000000
FS( 185 ),4457533.319999999366701,2281392.000000000000000,3143012.299999999813735,2967173.120000000111759,2166201.019999999552965,15015311.759999997913837
FS( 186 ),4426928.919999999925494,2252549.320000000298023,3217044.500000000000000,2914330.879999999888241,2140433.419999999925494,14951287.040000000968575
FS( 187 ),4315222.859999999403954,2281392.000000000000000,3206949.200000000186265,2959166.719999999739230,2141721.799999999813735,14904452.579999998211861
FS( 188 ),4206577.239999999292195,2254659.759999999776483,3143012.299999999813735,3064851.200000000186265,2143010.179999999701977,14812110.679999999701977
FS( 189 ),4292269.560000000521541,2202602.240000000223517,3165446.299999999813735,3093674.240000000223517,2164483.179999999701977,14918475.520000001415610
FS( 190 ),4120884.919999999925494,2175870.000000000000000,3110483.000000000000000,3032825.600000000558794,2133562.059999999590218,14573625.579999998211861
FS( 191 ),4137717.339999999850988,2199084.839999999850988,3127308.500000000000000,3093674.240000000223517,2159329.660000000149012,14717114.580000000074506
