代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13847660.009999999776483
真實報酬,3847660.009999999776483

夏普值報酬,0.376066001000000
夏普值風險,0.090255913669741
夏普值,4.166663276780692

二次趨勢線,0.879192050770232 x^2 + 14615.475195487097153 x + 10000000.000000000000000
二次加權預期報酬,14911.469852579741200
風險,175594.643760909966659
二次加權趨勢值,0.084919844553364
一次趨勢線,14781.971537236329823 x + 10000000.000000000000000
一次預期報酬,14781.971537236329823
一次風險,175706.662307641818188
一次趨勢值,0.084128691212373
找到最佳解世代,1877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](9),BA[2](5),CAT[3](7),DD[7](1),MRK[17](12),UNH[23](18),V[25](3),
FS( 7 ),1452960.399999999906868,1533196.099999999860302,1425756.520000000251457,1481549.799999999813735,1463086.299999999813735,1446988.479999999981374,1456766.439999999711290,10260307.039999999105930
FS( 8 ),1421602.600000000093132,1555747.799999999813735,1403240.679999999934807,1492902.400000000139698,1509330.099999999860302,1463537.519999999785796,1444114.639999999897555,10290478.740000000223517
FS( 9 ),1421370.319999999832362,1566653.949999999953434,1396048.120000000111759,1491325.649999999906868,1494250.600000000093132,1454195.319999999832362,1440138.359999999869615,10263985.319999998435378
FS( 10 ),1435307.119999999878928,1564250.900000000139698,1386979.239999999990687,1512138.750000000000000,1483527.400000000139698,1460868.319999999832362,1452067.199999999953434,10295141.929999999701977
FS( 11 ),1472239.640000000130385,1597708.750000000000000,1389011.919999999925494,1518445.750000000000000,1477495.600000000093132,1460868.319999999832362,1432908.759999999776483,10348681.740000000223517
FS( 12 ),1512191.799999999813735,1574602.500000000000000,1397299.000000000000000,1494163.800000000046566,1462081.000000000000000,1468075.159999999916181,1428571.000000000000000,10336987.259999999776483
FS( 13 ),1508243.040000000270084,1580702.550000000046566,1380255.760000000009313,1490694.950000000186265,1464426.699999999953434,1472612.800000000046566,1409774.039999999804422,10306712.839999999850988
FS( 14 ),1500113.239999999990687,1578114.650000000139698,1359459.879999999888241,1501732.199999999953434,1478500.899999999906868,1464872.119999999878928,1439776.879999999655411,10322572.869999997317791
FS( 15 ),1502436.040000000270084,1558890.250000000000000,1357739.919999999925494,1458529.250000000000000,1467442.599999999860302,1469676.679999999934807,1426040.639999999897555,10240758.380000000819564
FS( 16 ),1532864.719999999972060,1567947.899999999906868,1367903.320000000065193,1472089.300000000046566,1471128.699999999953434,1453661.479999999981374,1446645.000000000000000,10312243.419999999925494
FS( 17 ),1538439.440000000176951,1568502.449999999953434,1354769.080000000074506,1450014.799999999813735,1464091.599999999860302,1464338.279999999795109,1482070.039999999804422,10322228.689999999478459
FS( 18 ),1530309.639999999897555,1601220.900000000139698,1360398.040000000037253,1437085.449999999953434,1487548.599999999860302,1485424.959999999962747,1513518.799999999813735,10415509.390000000596046
FS( 19 ),1500113.239999999990687,1593457.199999999953434,1358834.440000000176951,1427309.599999999860302,1477830.699999999953434,1511316.199999999953434,1524363.199999999953434,10393227.579999998211861
FS( 20 ),1468987.719999999972060,1586987.449999999953434,1359928.959999999962747,1429832.400000000139698,1481181.699999999953434,1527064.479999999981374,1534846.119999999878928,10388831.830000000074506
FS( 21 ),1423228.560000000055879,1575896.449999999953434,1339133.080000000074506,1408703.949999999953434,1486208.199999999953434,1574042.399999999906868,1512434.359999999869615,10319650.000000000000000
FS( 22 ),1426248.199999999953434,1554453.850000000093132,1327249.719999999972060,1390098.300000000046566,1504973.799999999813735,1647979.239999999990687,1517856.559999999823049,10368862.669999999925494
FS( 23 ),1433448.880000000121072,1559444.800000000046566,1315366.360000000102445,1392305.750000000000000,1520053.300000000046566,1646110.800000000046566,1488938.159999999683350,10355671.050000000745058
FS( 24 ),1419279.800000000046566,1570350.949999999953434,1323340.719999999972060,1411542.099999999860302,1518712.899999999906868,1655719.919999999925494,1504481.799999999813735,10403431.189999997615814
FS( 25 ),1404413.880000000121072,1592902.649999999906868,1322871.639999999897555,1387575.500000000000000,1512346.000000000000000,1657588.359999999869615,1492552.959999999729916,10370253.989999998360872
FS( 26 ),1414401.919999999925494,1603623.949999999953434,1316460.879999999888241,1377799.649999999906868,1524074.499999999767169,1651983.040000000037253,1502674.399999999906868,10391021.340000001713634
FS( 27 ),1416957.000000000000000,1612127.049999999813735,1343198.440000000176951,1411857.450000000186265,1525079.799999999813735,1659723.719999999972060,1488938.159999999683350,10457884.620000001043081
FS( 28 ),1445759.719999999972060,1623402.899999999906868,1353674.559999999823049,1429517.050000000046566,1569648.100000000093132,1665862.879999999888241,1509181.039999999804422,10597049.250000000000000
FS( 29 ),1441346.399999999906868,1636527.250000000000000,1340071.239999999990687,1430778.449999999953434,1582046.800000000046566,1681077.319999999832362,1514964.719999999739230,10626815.179999999701977
FS( 30 ),1426248.199999999953434,1643181.849999999860302,1329907.840000000083819,1425732.850000000093132,1578695.800000000046566,1682411.919999999925494,1497975.159999999683350,10584156.620000001043081
FS( 31 ),1393264.439999999944121,1603993.649999999906868,1286439.760000000009313,1355409.799999999813735,1556914.300000000046566,1643975.439999999944121,1457489.399999999906868,10297489.789999999105930
FS( 32 ),1414401.919999999925494,1606211.849999999860302,1291756.000000000000000,1359509.350000000093132,1573669.300000000046566,1676539.679999999934807,1488576.679999999701977,10410667.779999999329448
FS( 33 ),1336588.119999999878928,1602514.849999999860302,1273930.959999999962747,1360770.750000000000000,1566967.299999999813735,1655719.919999999925494,1466164.919999999925494,10262659.819999998435378
FS( 34 ),1301049.280000000027940,1591978.400000000139698,1258138.599999999860302,1355409.799999999813735,1560265.300000000046566,1593260.639999999897555,1458573.839999999850988,10118678.859999999403954
FS( 35 ),1295939.119999999878928,1625990.799999999813735,1257669.520000000251457,1372123.349999999860302,1591429.600000000093132,1602602.839999999850988,1481708.559999999823049,10227466.790000000968575
FS( 36 ),1322883.600000000093132,1607136.099999999860302,1293319.599999999860302,1391675.050000000046566,1605838.899999999906868,1580715.399999999906868,1477732.279999999795109,10279303.929999999701977
FS( 37 ),1347737.560000000055879,1630057.500000000000000,1315053.639999999897555,1421948.650000000139698,1629631.000000000000000,1562564.839999999850988,1497252.199999999953434,10404248.390000000596046
FS( 38 ),1345414.760000000009313,1679042.750000000000000,1310050.120000000111759,1444653.850000000093132,1606844.199999999953434,1569237.839999999850988,1509904.000000000000000,10465150.519999999552965
FS( 39 ),1355170.520000000018626,1694570.149999999906868,1321464.400000000139698,1525698.800000000046566,1586738.199999999953434,1583918.439999999944121,1525086.159999999683350,10592649.669999999925494
FS( 40 ),1384437.800000000046566,1716382.449999999953434,1324122.520000000251457,1500786.150000000139698,1604163.399999999906868,1587655.319999999832362,1511349.919999999925494,10628900.560000000521541
FS( 41 ),1427409.600000000093132,1698821.699999999953434,1325998.840000000083819,1520968.549999999813735,1602487.899999999906868,1601802.079999999841675,1517495.079999999608845,10694986.750000000000000
FS( 42 ),1469220.000000000000000,1689764.049999999813735,1323966.160000000149012,1522860.649999999906868,1575009.699999999953434,1599666.719999999972060,1522555.799999999813735,10703046.079999998211861
FS( 43 ),1457838.280000000027940,1685512.500000000000000,1299104.919999999925494,1488802.850000000093132,1531111.599999999860302,1594061.399999999906868,1500505.519999999785796,10556940.070000000298023
FS( 44 ),1478511.199999999953434,1704552.049999999813735,1317555.400000000139698,1487541.449999999953434,1532451.999999999767169,1587655.319999999832362,1585091.839999999850988,10693362.259999999776483
FS( 45 ),1493144.840000000083819,1732834.099999999860302,1360085.320000000065193,1525068.100000000093132,1530441.399999999906868,1572707.800000000046566,1622685.759999999776483,10836970.320000000298023
FS( 46 ),1528915.959999999729916,1741152.349999999860302,1369623.280000000027940,1527275.550000000046566,1507319.499999999767169,1606873.560000000055879,1616540.599999999860302,10897703.799999998882413
FS( 47 ),1521947.559999999823049,1752243.350000000093132,1404022.480000000214204,1551242.149999999906868,1517037.400000000139698,1614881.159999999916181,1624854.639999999897555,10986231.740000002086163
FS( 48 ),1539136.280000000027940,1738379.600000000093132,1412153.200000000186265,1549980.750000000000000,1507654.600000000093132,1668532.079999999841675,1620155.399999999906868,11035994.910000000149012
FS( 49 ),1515676.000000000000000,1748916.050000000046566,1406524.239999999990687,1568271.049999999813735,1524409.600000000093132,1655186.079999999841675,1614010.239999999757856,11032996.259999999776483
FS( 50 ),1503132.879999999888241,1742076.599999999860302,1385728.360000000102445,1547457.949999999953434,1539824.199999999953434,1679208.879999999888241,1615456.159999999683350,11012888.030000001192093
FS( 51 ),1508939.879999999888241,1751688.800000000046566,1377128.559999999823049,1542727.699999999953434,1547196.399999999906868,1665329.040000000037253,1616902.079999999608845,11009915.459999999031425
FS( 52 ),1472936.479999999981374,1776643.550000000046566,1368997.840000000083819,1568586.400000000139698,1563281.199999999953434,1647712.319999999832362,1629553.879999999655411,11027714.669999999925494
FS( 53 ),1422996.280000000027940,1793464.899999999906868,1360398.040000000037253,1587192.050000000046566,1565961.999999999767169,1644509.279999999795109,1642567.159999999683350,11017092.709999999031425
FS( 54 ),1442043.239999999990687,1785331.500000000000000,1356958.120000000111759,1576470.150000000139698,1553898.399999999906868,1658656.040000000037253,1624854.639999999897555,10998215.089999999850988
FS( 55 ),1437629.919999999925494,1828586.399999999906868,1370874.160000000149012,1608635.849999999860302,1541164.600000000093132,1677340.439999999944121,1667870.759999999776483,11132105.129999998956919
FS( 56 ),1469916.840000000083819,1824889.399999999906868,1381193.919999999925494,1599175.350000000093132,1515026.800000000046566,1669866.679999999934807,1641121.239999999757856,11101193.230000000447035
FS( 57 ),1458999.680000000167638,1825443.949999999953434,1377597.639999999897555,1606743.750000000000000,1586068.000000000000000,1678141.199999999953434,1640759.759999999776483,11173756.979999998584390
FS( 58 ),1464574.399999999906868,1810286.250000000000000,1371343.239999999990687,1577100.849999999860302,1565291.800000000046566,1662392.919999999925494,1628107.959999999729916,11079100.419999998062849
FS( 59 ),1467129.479999999981374,1843928.949999999953434,1359616.239999999990687,1576470.150000000139698,1586068.000000000000000,1664528.279999999795109,1609672.479999999748543,11107416.580000000074506
FS( 60 ),1477117.520000000018626,1848550.199999999953434,1348045.599999999860302,1575524.100000000093132,1580371.299999999813735,1656520.679999999934807,1630638.319999999832362,11116770.720000000670552
FS( 61 ),1464806.680000000167638,1850583.550000000046566,1347732.879999999888241,1573632.000000000000000,1595785.899999999906868,1690686.439999999944121,1627023.519999999785796,11150253.969999998807907
FS( 62 ),1476420.680000000167638,1831728.850000000093132,1352423.679999999934807,1569217.099999999860302,1570653.399999999906868,1690953.359999999869615,1610033.959999999729916,11101434.029999997466803
FS( 63 ),1498487.280000000027940,1858532.100000000093132,1351172.800000000046566,1562910.100000000093132,1577355.399999999906868,1725919.879999999888241,1636060.519999999785796,11210441.079999998211861
FS( 64 ),1492448.000000000000000,1830434.899999999906868,1341634.840000000083819,1547457.949999999953434,1564956.699999999953434,1671735.119999999878928,1610033.959999999729916,11058704.469999998807907
FS( 65 ),1495699.919999999925494,1862229.099999999860302,1346794.719999999972060,1542097.000000000000000,1623599.199999999953434,1676272.759999999776483,1628469.439999999711290,11175165.139999998733401
FS( 66 ),1491054.319999999832362,1841341.050000000046566,1343511.160000000149012,1554711.000000000000000,1656774.099999999860302,1664528.279999999795109,1628469.439999999711290,11180392.349999999627471
FS( 67 ),1477117.520000000018626,1820637.849999999860302,1320057.160000000149012,1511508.050000000046566,1632981.999999999767169,1648246.159999999916181,1601719.919999999925494,11012271.660000000149012
FS( 68 ),1455050.919999999925494,1844113.800000000046566,1313490.040000000037253,1521914.599999999860302,1628625.699999999953434,1652783.800000000046566,1620878.359999999869615,11036860.219999998807907
FS( 69 ),1466200.359999999869615,1894577.849999999860302,1323653.440000000176951,1542727.699999999953434,1614886.599999999860302,1670133.599999999860302,1626300.559999999823049,11138483.110000001266599
FS( 70 ),1456444.600000000093132,1889956.599999999860302,1310362.840000000083819,1541781.649999999906868,1623934.300000000046566,1699761.719999999972060,1647627.879999999655411,11169872.589999997988343
FS( 71 ),1452031.280000000027940,1880898.949999999953434,1305984.760000000009313,1526960.199999999953434,1593775.300000000046566,1706434.719999999972060,1623770.199999999953434,11089858.410000000149012
FS( 72 ),1434145.719999999972060,1864816.999999999767169,1301137.599999999860302,1517499.699999999953434,1583387.199999999953434,1703765.519999999785796,1619070.959999999729916,11023826.699999999254942
FS( 73 ),1446688.840000000083819,1888477.799999999813735,1331315.080000000074506,1555972.400000000139698,1605168.699999999953434,1712306.959999999962747,1646904.919999999925494,11186837.700000001117587
FS( 74 ),1427177.319999999832362,1882377.750000000000000,1311457.360000000102445,1527275.550000000046566,1606844.199999999953434,1702964.759999999776483,1634976.079999999608845,11093076.019999999552965
FS( 75 ),1433448.880000000121072,1904559.750000000000000,1312239.160000000149012,1533267.199999999953434,1601817.699999999953434,1718179.199999999953434,1647989.359999999869615,11151504.250000000000000
FS( 76 ),1432752.040000000037253,1923969.000000000000000,1322089.840000000083819,1554711.000000000000000,1600142.199999999953434,1753145.720000000204891,1662810.039999999804422,11249622.839999999850988
FS( 77 ),1403717.040000000037253,1890141.449999999953434,1317399.040000000037253,1531375.100000000093132,1594445.500000000000000,1741935.080000000074506,1650519.719999999739230,11129535.929999999701977
FS( 78 ),1383276.399999999906868,1841895.599999999860302,1300981.239999999990687,1490694.950000000186265,1551887.800000000046566,1702964.759999999776483,1612925.799999999813735,10884629.550000000745058
FS( 79 ),1372126.959999999962747,1848180.500000000000000,1299730.360000000102445,1465466.949999999953434,1575009.699999999953434,1705633.959999999962747,1622324.279999999795109,10888475.709999999031425
FS( 80 ),1335891.280000000027940,1808807.449999999953434,1274712.760000000009313,1452852.949999999953434,1555238.799999999813735,1725652.959999999962747,1611118.399999999906868,10764277.599999999627471
FS( 81 ),1336123.560000000055879,1823965.149999999906868,1287377.919999999925494,1459475.300000000046566,1549206.999999999767169,1701096.319999999832362,1630999.799999999813735,10788248.050000000745058
FS( 82 ),1321025.359999999869615,1862413.949999999953434,1283781.639999999897555,1446230.600000000093132,1564621.599999999860302,1729122.919999999925494,1650519.719999999739230,10857718.789999999105930
FS( 83 ),1306624.000000000000000,1906777.949999999953434,1297228.599999999860302,1452852.949999999953434,1584392.500000000000000,1764089.439999999944121,1665340.399999999906868,10977308.839999999850988
FS( 84 ),1315915.199999999953434,1893653.599999999860302,1289879.679999999934807,1444653.850000000093132,1556579.199999999953434,1747807.320000000065193,1651604.159999999683350,10900096.009999999776483
FS( 85 ),1357957.880000000121072,1908441.599999999860302,1293475.959999999962747,1459475.300000000046566,1552222.899999999906868,1751811.119999999878928,1674015.919999999925494,10997403.679999997839332
FS( 86 ),1388618.840000000083819,1875723.149999999906868,1289723.320000000065193,1456952.500000000000000,1559930.199999999953434,1742201.999999999767169,1674015.919999999925494,10987168.929999999701977
FS( 87 ),1396284.080000000074506,1901971.849999999860302,1279872.639999999897555,1456321.800000000046566,1559930.199999999953434,1749408.840000000083819,1690282.519999999785796,11034074.929999999701977
FS( 88 ),1385134.640000000130385,1926187.199999999953434,1284407.080000000074506,1467989.750000000000000,1580371.299999999813735,1766224.800000000046566,1724261.639999999897555,11134579.410000000149012
FS( 89 ),1377237.119999999878928,1929329.650000000139698,1300981.239999999990687,1485964.699999999953434,1588748.799999999813735,1803326.679999999934807,1700042.479999999748543,11185633.669999999925494
FS( 90 ),1401626.520000000018626,1935060.000000000000000,1334285.919999999925494,1527906.250000000000000,1595785.899999999906868,1814270.399999999906868,1691728.439999999711290,11300666.429999999701977
FS( 91 ),1396051.800000000046566,1950217.699999999953434,1328500.599999999860302,1517499.699999999953434,1607179.300000000046566,1806796.639999999897555,1687390.679999999701977,11293639.419999999925494
FS( 92 ),1417886.119999999878928,1975726.999999999767169,1355707.239999999990687,1535790.000000000000000,1618907.800000000046566,1824680.279999999795109,1716670.559999999823049,11445372.000000000000000
FS( 93 ),1415331.040000000037253,1883117.150000000139698,1363056.160000000149012,1532321.150000000139698,1626615.099999999860302,1815071.159999999916181,1723538.679999999701977,11359053.439999999478459
FS( 94 ),1418350.680000000167638,1953175.299999999813735,1366652.440000000176951,1544935.150000000139698,1625944.900000000139698,1804928.199999999953434,1719200.919999999925494,11433190.589999999850988
FS( 95 ),1427641.880000000121072,1926741.750000000000000,1378692.160000000149012,1525698.800000000046566,1616226.999999999767169,1785976.879999999888241,1711609.839999999850988,11372591.309999998658895
FS( 96 ),1427874.159999999916181,1937093.350000000093132,1355238.160000000149012,1559756.600000000093132,1612876.000000000000000,1767826.320000000065193,1713778.719999999739230,11374446.309999998658895
FS( 97 ),1432752.040000000037253,1989590.749999999767169,1340383.959999999962747,1553134.250000000000000,1588413.699999999953434,1883135.759999999776483,1726069.039999999804422,11513482.500000000000000
FS( 98 ),1410220.880000000121072,1977205.799999999813735,1339289.440000000176951,1556918.449999999953434,1601482.599999999860302,1907158.560000000055879,1716309.079999999608845,11508587.810000000521541
FS( 99 ),1414634.199999999953434,1975357.300000000046566,1344762.040000000037253,1553449.599999999860302,1599136.899999999906868,1926643.720000000204891,1728237.919999999925494,11542224.679999999701977
FS( 100 ),1390477.080000000074506,1992548.350000000093132,1337256.760000000009313,1551557.500000000000000,1606174.000000000000000,1940256.639999999897555,1704380.239999999757856,11522653.570000000298023
FS( 101 ),1461787.040000000037253,1977020.949999999953434,1304733.879999999888241,1543673.750000000000000,1600812.400000000139698,1935985.919999999925494,1687752.159999999683350,11511769.100000001490116
FS( 102 ),1455050.919999999925494,1972399.699999999953434,1284407.080000000074506,1571424.550000000046566,1614216.399999999906868,1938388.199999999953434,1758602.239999999757856,11594492.089999999850988
FS( 103 ),1463413.000000000000000,1952066.199999999953434,1283156.200000000186265,1558495.199999999953434,1624939.600000000093132,1927444.479999999748543,1745950.439999999711290,11555468.120000001043081
FS( 104 ),1485944.159999999916181,1937463.050000000046566,1298166.760000000009313,1571739.900000000139698,1619913.100000000093132,1942925.840000000083819,1734744.559999999823049,11590900.370000001043081
FS( 105 ),1504294.280000000027940,1954469.250000000000000,1300824.879999999888241,1574578.050000000046566,1610195.199999999953434,1929045.999999999767169,1730045.319999999832362,11603455.980000000447035
FS( 106 ),1501739.200000000186265,1942823.699999999953434,1296446.800000000046566,1573632.000000000000000,1614216.399999999906868,1944527.359999999869615,1599551.039999999804422,11472939.499999998137355
FS( 107 ),1515443.719999999972060,1972399.699999999953434,1320369.879999999888241,1589714.849999999860302,1627955.500000000000000,1952801.879999999888241,1619070.959999999729916,11597759.489999998360872
FS( 108 ),1534955.239999999990687,1994581.699999999953434,1318180.840000000083819,1626610.800000000046566,1626615.099999999860302,1928779.080000000074506,1662810.039999999804422,11692535.799999998882413
FS( 109 ),1557718.680000000167638,1987187.699999999953434,1306610.200000000186265,1638278.750000000000000,1626280.000000000000000,1957606.439999999944121,1667870.759999999776483,11741555.529999999329448
FS( 110 ),1543781.879999999888241,1978684.600000000093132,1290505.120000000111759,1619357.750000000000000,1623264.099999999860302,1954937.239999999757856,1652688.599999999860302,11663222.289999999105930
FS( 111 ),1543085.040000000270084,1967223.899999999906868,1288941.520000000251457,1629764.300000000046566,1626950.199999999953434,1946395.800000000046566,1639313.839999999850988,11641677.600000001490116
FS( 112 ),1529845.080000000074506,1956502.600000000093132,1312864.599999999860302,1657515.100000000093132,1624269.399999999906868,1953335.720000000204891,1633891.639999999897555,11668227.140000002458692
FS( 113 ),1508010.760000000009313,1947075.250000000000000,1321464.400000000139698,1708286.449999999953434,1621588.599999999860302,1946662.720000000204891,1624854.639999999897555,11677945.820000000298023
FS( 114 ),1550982.559999999823049,1926926.599999999860302,1349765.559999999823049,1683058.449999999953434,1624269.399999999906868,1932249.040000000037253,1624493.159999999683350,11691747.769999999552965
FS( 115 ),1624615.319999999832362,1963711.750000000000000,1353674.559999999823049,1701033.399999999906868,1622929.000000000000000,1957873.359999999869615,1619793.919999999925494,11843634.309999998658895
FS( 116 ),1654114.879999999888241,1925447.799999999813735,1341947.559999999823049,1695357.099999999860302,1627620.399999999906868,1934918.239999999757856,1611841.359999999869615,11791250.339999997988343
FS( 117 ),1652256.639999999897555,1899014.250000000000000,1342573.000000000000000,1668552.349999999860302,1607514.399999999906868,1905823.959999999962747,1571717.079999999608845,11647454.679999997839332
FS( 118 ),1666890.280000000027940,1912693.149999999906868,1331627.800000000046566,1656569.050000000046566,1598466.699999999953434,1906624.720000000204891,1564487.479999999748543,11637362.179999999701977
FS( 119 ),1684775.840000000083819,1935799.399999999906868,1316617.239999999990687,1644901.099999999860302,1594445.500000000000000,1914098.479999999748543,1581477.039999999804422,11672117.599999999627471
FS( 120 ),1662709.239999999990687,1934135.749999999767169,1311301.000000000000000,1659407.199999999953434,1593775.300000000046566,1934117.479999999748543,1565571.919999999925494,11661020.890000000596046
FS( 121 ),1667122.559999999823049,1920826.549999999813735,1296915.879999999888241,1667921.649999999906868,1590424.300000000046566,1917835.359999999869615,1612202.839999999850988,11673252.139999998733401
FS( 122 ),1668980.799999999813735,1943563.099999999860302,1316148.160000000149012,1670129.100000000093132,1602152.800000000046566,1921038.399999999906868,1616902.079999999608845,11738917.439999999478459
FS( 123 ),1662476.959999999729916,1949848.000000000000000,1311770.080000000074506,1739821.449999999953434,1599471.999999999767169,1936252.840000000083819,1618709.479999999748543,11818353.810000000521541
FS( 124 ),1668980.799999999813735,1950772.250000000000000,1306610.200000000186265,1735721.899999999906868,1595785.899999999906868,1931982.119999999878928,1581477.039999999804422,11771333.209999999031425
FS( 125 ),1621363.399999999906868,1907887.049999999813735,1293163.239999999990687,1686842.650000000139698,1578695.800000000046566,1909026.999999999767169,1573885.959999999729916,11570868.099999997764826
FS( 126 ),1629028.639999999897555,1908996.149999999906868,1289254.239999999990687,1681797.050000000046566,1578025.600000000093132,1909560.840000000083819,1583284.439999999711290,11579949.959999999031425
FS( 127 ),1631583.719999999972060,1939681.250000000000000,1290505.120000000111759,1684950.550000000046566,1578360.699999999953434,1933583.639999999897555,1584730.359999999869615,11643398.339999999850988
FS( 128 ),1616717.799999999813735,1921011.399999999906868,1290661.480000000214204,1679589.599999999860302,1584727.599999999860302,1914899.239999999757856,1576416.319999999832362,11584026.439999999478459
FS( 129 ),1621363.399999999906868,1941160.050000000046566,1290192.400000000139698,1681481.699999999953434,1582046.800000000046566,1936786.679999999934807,1599912.519999999785796,11652946.550000000745058
FS( 130 ),1654811.719999999972060,1966299.650000000139698,1306297.480000000214204,1696618.500000000000000,1597796.500000000000000,1957873.359999999869615,1592321.439999999711290,11772021.650000000372529
FS( 131 ),1643430.000000000000000,1971475.449999999953434,1297072.239999999990687,1725000.000000000000000,1592099.799999999813735,1976290.840000000083819,1592321.439999999711290,11797692.769999999552965
FS( 132 ),1653185.760000000009313,1960754.149999999906868,1303952.080000000074506,1731622.349999999860302,1591429.600000000093132,1976824.679999999934807,1596659.199999999953434,11814430.819999998435378
FS( 133 ),1679665.680000000167638,1981457.349999999860302,1338351.280000000027940,1742974.950000000186265,1599807.100000000093132,1981896.159999999916181,1613648.759999999776483,11937804.280000001192093
FS( 134 ),1641339.479999999981374,1999572.649999999906868,1354300.000000000000000,1795638.399999999906868,1607849.499999999767169,1992039.119999999878928,1668232.239999999757856,12058974.389999998733401
FS( 135 ),1552143.959999999729916,2019166.750000000000000,1362430.719999999972060,1789646.750000000000000,1613211.099999999860302,2006719.720000000204891,1683775.879999999655411,12027097.879999998956919
FS( 136 ),1568635.840000000083819,2029703.199999999953434,1357896.280000000027940,1745182.400000000139698,1603493.199999999953434,1994975.239999999757856,1672570.000000000000000,11972459.160000000149012
FS( 137 ),1542620.479999999981374,2057985.250000000000000,1360554.400000000139698,1790592.800000000046566,1601482.599999999860302,1988035.320000000065193,1707995.039999999804422,12049268.889999998733401
FS( 138 ),1493609.399999999906868,2138210.150000000372529,1363212.520000000251457,1787439.300000000046566,1614886.599999999860302,2005118.199999999953434,1711609.839999999850988,12114089.009999999776483
FS( 139 ),1511030.399999999906868,2164828.549999999813735,1361492.559999999823049,1783339.750000000000000,1608854.799999999813735,1983497.679999999934807,1731491.239999999757856,12144537.979999998584390
FS( 140 ),1541923.639999999897555,2188674.200000000186265,1373532.280000000027940,1835057.149999999906868,1621923.699999999953434,1949598.840000000083819,1749926.719999999739230,12260639.529999997466803
FS( 141 ),1567242.159999999916181,2200504.599999999627471,1372125.040000000037253,1823704.550000000046566,1617232.299999999813735,1890876.439999999944121,1759686.679999999701977,12231374.769999997690320
FS( 142 ),1550982.559999999823049,2155955.750000000000000,1325217.040000000037253,1783024.399999999906868,1608854.799999999813735,1883669.599999999627471,1796919.119999999878928,12104626.269999999552965
FS( 143 ),1628099.520000000018626,2172222.549999999813735,1329595.120000000111759,1762211.300000000046566,1597796.500000000000000,1917034.599999999627471,1773422.919999999925494,12180385.509999997913837
FS( 144 ),1622989.360000000102445,2199765.200000000186265,1330846.000000000000000,1756535.000000000000000,1592770.000000000000000,1930380.599999999627471,1747396.359999999869615,12180685.519999999552965
FS( 145 ),1597903.120000000111759,2190707.549999999813735,1321308.040000000037253,1789962.099999999860302,1597461.399999999906868,1921305.320000000065193,1731129.759999999776483,12149780.289999999105930
FS( 146 ),1613465.879999999888241,2206789.500000000000000,1316617.239999999990687,1795953.750000000000000,1597796.500000000000000,1926109.879999999888241,1749203.759999999776483,12205939.509999999776483
FS( 147 ),1601851.879999999888241,2194959.099999999627471,1310362.840000000083819,1752435.449999999953434,1601482.599999999860302,1921572.239999999757856,1744504.519999999785796,12127171.629999998956919
