代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12528078.470000002533197
真實報酬,2528078.470000002533197

夏普值報酬,0.244107847000000
夏普值風險,0.079291770003656
夏普值,3.078602571095900

二次趨勢線,38.373423811350790 x^2 + 2018.214921436071108 x + 10000000.000000000000000
二次加權預期報酬,14937.267604590841074
風險,105330.751979556196602
二次加權趨勢值,0.141812977918263
一次趨勢線,9285.153560593951624 x + 10000000.000000000000000
一次預期報酬,9285.153560593951624
一次風險,293360.506705296225846
一次趨勢值,0.031651000555169
找到最佳解世代,1443
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](11),CAT[3](1),CSCO[4](4),DD[7](2),INTC[11](3),MCD[15](18),MRK[17](9),MSFT[18](7),
FS( 7 ),1243868.800000000046566,1251036.209999999962747,1257724.959999999962747,1343232.960000000195578,1212823.489999999990687,1232576.120000000111759,1245111.300000000046566,1290653.070000000065193,10077026.910000000149012
FS( 8 ),1279314.800000000046566,1277829.639999999897555,1271726.449999999953434,1323396.160000000149012,1219827.760000000009313,1225253.040000000037253,1247169.699999999953434,1297362.799999999813735,10141880.349999997764826
FS( 9 ),1340052.000000000000000,1281530.389999999897555,1270760.829999999841675,1337529.880000000121072,1213362.280000000027940,1217803.699999999953434,1246140.500000000000000,1272102.639999999897555,10179282.220000000670552
FS( 10 ),1364385.199999999953434,1270428.139999999897555,1273657.689999999944121,1333066.600000000093132,1216056.229999999981374,1213510.860000000102445,1249742.700000000186265,1276838.920000000158325,10197686.339999999850988
FS( 11 ),1362852.399999999906868,1271020.260000000009313,1182406.599999999860302,1311990.000000000000000,1186961.570000000065193,1204420.139999999897555,1234304.699999999953434,1254736.280000000027940,10008691.949999999254942
FS( 12 ),1374923.200000000186265,1260658.159999999916181,1171784.779999999795109,1302567.520000000251457,1181034.880000000121072,1199874.780000000027940,1227357.600000000093132,1255130.969999999972060,9973331.890000000596046
FS( 13 ),1389676.400000000139698,1246447.280000000027940,1171784.779999999795109,1293393.000000000000000,1200431.320000000065193,1205556.479999999981374,1224270.000000000000000,1238948.679999999934807,9970507.939999999478459
FS( 14 ),1371474.400000000139698,1241414.260000000009313,1174198.829999999841675,1304799.160000000149012,1213362.280000000027940,1205809.000000000000000,1223755.400000000139698,1248026.550000000046566,9982839.880000000819564
FS( 15 ),1375114.800000000046566,1227795.500000000000000,1162128.579999999841675,1311494.080000000074506,1194504.630000000121072,1200884.860000000102445,1221182.400000000139698,1247631.860000000102445,9940736.709999999031425
FS( 16 ),1376647.600000000093132,1246003.189999999944121,1159231.719999999972060,1313229.800000000046566,1199353.739999999990687,1205303.959999999962747,1230187.900000000139698,1278417.679999999934807,10008375.589999999850988
FS( 17 ),1371282.800000000046566,1241858.349999999860302,1151989.569999999832362,1368028.960000000195578,1209051.959999999962747,1201137.379999999888241,1228129.500000000000000,1371564.520000000018626,10143043.039999999105930
FS( 18 ),1376647.600000000093132,1236973.359999999869615,1150541.139999999897555,1364805.480000000214204,1200431.320000000065193,1203410.060000000055879,1225299.199999999953434,1347883.119999999878928,10105991.279999999329448
FS( 19 ),1337369.600000000093132,1224242.780000000027940,1134125.599999999860302,1326371.680000000167638,1195582.209999999962747,1197475.840000000083819,1212176.900000000139698,1312755.709999999962747,9940100.320000000298023
FS( 20 ),1343692.399999999906868,1220542.030000000027940,1132194.359999999869615,1322404.320000000065193,1200970.109999999869615,1213132.080000000074506,1211662.300000000279397,1303283.150000000139698,9947880.750000000000000
FS( 21 ),1345800.000000000000000,1221726.270000000018626,1132194.359999999869615,1324883.920000000158325,1188577.939999999944121,1197728.360000000102445,1211919.600000000093132,1324201.719999999972060,9947032.170000001788139
FS( 22 ),1333537.600000000093132,1221874.300000000046566,1125435.019999999785796,1320668.600000000093132,1184267.619999999878928,1191415.360000000102445,1216808.300000000046566,1318281.369999999878928,9912288.169999999925494
FS( 23 ),1337369.600000000093132,1221430.209999999962747,1133642.790000000037253,1322156.360000000102445,1189116.729999999981374,1193435.520000000018626,1214749.900000000139698,1258288.489999999990687,9870189.599999999627471
FS( 24 ),1364960.000000000000000,1236677.300000000046566,1147644.279999999795109,1334058.439999999944121,1219827.760000000009313,1201516.159999999916181,1226843.000000000000000,1231449.570000000065193,9962976.509999999776483
FS( 25 ),1355571.600000000093132,1227943.530000000027940,1143781.800000000046566,1356374.840000000316650,1217672.600000000093132,1207829.159999999916181,1222468.900000000139698,1233028.329999999841675,9964670.759999999776483
FS( 26 ),1363618.800000000046566,1234456.849999999860302,1137022.459999999962747,1361582.000000000000000,1221444.130000000121072,1215404.760000000009313,1221954.300000000046566,1229476.119999999878928,9984959.419999998062849
FS( 27 ),1385461.200000000186265,1267023.449999999953434,1154886.429999999934807,1370508.560000000288710,1234375.089999999850988,1217803.699999999953434,1228386.800000000046566,1249605.310000000055879,10108050.540000000968575
FS( 28 ),1353847.199999999953434,1282122.510000000009313,1166473.869999999878928,1411917.880000000121072,1238685.409999999916181,1223359.139999999897555,1234562.000000000000000,1278417.679999999934807,10189385.689999999478459
FS( 29 ),1280272.800000000046566,1289820.069999999832362,1177095.689999999944121,1407206.640000000130385,1228987.189999999944121,1230555.959999999962747,1238678.800000000046566,1292231.830000000074506,10144848.980000000447035
FS( 30 ),1293876.400000000139698,1285527.199999999953434,1172750.399999999906868,1372244.280000000260770,1219288.969999999972060,1227020.680000000167638,1231217.100000000093132,1290258.379999999888241,10092183.410000000149012
FS( 31 ),1272417.199999999953434,1288043.709999999962747,1174198.829999999841675,1407950.520000000251457,1262930.959999999962747,1229167.099999999860302,1229673.300000000046566,1303677.840000000083819,10168059.460000000894070
FS( 32 ),1231989.600000000093132,1290560.219999999972060,1177095.689999999944121,1405470.920000000158325,1260237.010000000009313,1233712.459999999962747,1239965.300000000046566,1294599.969999999972060,10133631.170000001788139
FS( 33 ),1246359.600000000093132,1288931.889999999897555,1176612.879999999888241,1402247.439999999944121,1279094.659999999916181,1236363.919999999925494,1235333.900000000139698,1299730.939999999944121,10164675.230000000447035
FS( 34 ),1271842.399999999906868,1300330.199999999953434,1197373.709999999962747,1442912.880000000121072,1287715.299999999813735,1246212.199999999953434,1245368.600000000093132,1315123.850000000093132,10306879.139999998733401
FS( 35 ),1292726.800000000046566,1298997.929999999934807,1188683.129999999888241,1433986.320000000065193,1288792.880000000121072,1236363.919999999925494,1241766.400000000139698,1327753.929999999934807,10309071.309999998658895
FS( 36 ),1279314.800000000046566,1254588.929999999934807,1183372.219999999972060,1401999.480000000214204,1280711.030000000027940,1223485.400000000139698,1235333.900000000139698,1294205.280000000027940,10153011.040000000968575
FS( 37 ),1342926.000000000232831,1258733.770000000018626,1172267.590000000083819,1385634.120000000111759,1272629.179999999934807,1228283.280000000027940,1226843.000000000000000,1292231.830000000074506,10179548.770000001415610
FS( 38 ),1338710.800000000279397,1259918.010000000009313,1165508.250000000000000,1381170.840000000316650,1277478.290000000037253,1234596.280000000027940,1222983.500000000232831,1281180.510000000009313,10161546.480000000447035
FS( 39 ),1318018.000000000232831,1250888.179999999934807,1179509.739999999990687,1407454.600000000093132,1276939.500000000000000,1232576.120000000111759,1226585.700000000186265,1283153.959999999962747,10175125.800000000745058
FS( 40 ),1330855.199999999953434,1246447.280000000027940,1147644.279999999795109,1412165.840000000316650,1261314.589999999850988,1239772.939999999944121,1226843.000000000000000,1293415.900000000139698,10158459.029999999329448
FS( 41 ),1321275.199999999953434,1240526.079999999841675,1126400.639999999897555,1377947.360000000102445,1238146.619999999878928,1226263.120000000111759,1229673.300000000046566,1313150.400000000139698,10073382.720000000670552
FS( 42 ),1304989.200000000186265,1234604.880000000121072,1131228.739999999990687,1356126.880000000121072,1234913.880000000121072,1214773.459999999962747,1225041.900000000139698,1313545.090000000083819,10015224.029999999329448
FS( 43 ),1335645.199999999953434,1239933.959999999962747,1122055.349999999860302,1352903.400000000139698,1230064.769999999785796,1213763.379999999888241,1254116.800000000046566,1325385.790000000037253,10073868.649999998509884
FS( 44 ),1340052.000000000000000,1244522.889999999897555,1125917.829999999841675,1366541.200000000186265,1233297.510000000009313,1203031.280000000027940,1244596.699999999953434,1338805.250000000000000,10096764.660000000149012
FS( 45 ),1323191.200000000186265,1243042.589999999850988,1110950.719999999972060,1369020.800000000046566,1217672.600000000093132,1195329.419999999925494,1244339.400000000139698,1336437.110000000102445,10039983.839999999850988
FS( 46 ),1322041.600000000093132,1246447.280000000027940,1111433.529999999795109,1412165.840000000316650,1228987.189999999944121,1195708.199999999953434,1240994.500000000000000,1337226.490000000223517,10095004.630000000819564
FS( 47 ),1335070.400000000139698,1236529.270000000018626,1105157.000000000000000,1389601.480000000214204,1230064.769999999785796,1191415.360000000102445,1232246.300000000046566,1314334.469999999972060,10034419.050000000745058
FS( 48 ),1316485.199999999953434,1226463.229999999748543,1093086.750000000000000,1360342.200000000186265,1211207.119999999878928,1186112.439999999944121,1228644.100000000093132,1302888.459999999962747,9925229.500000000000000
FS( 49 ),1331813.200000000186265,1236381.239999999990687,1086327.409999999916181,1374475.920000000158325,1217133.810000000055879,1177653.020000000018626,1216293.700000000186265,1305256.600000000093132,9945334.900000000372529
FS( 50 ),1340243.600000000093132,1254292.869999999878928,1110950.719999999972060,1426547.520000000251457,1244612.100000000093132,1192425.439999999944121,1221954.300000000046566,1332490.209999999962747,10123516.760000001639128
FS( 51 ),1348865.600000000093132,1267319.510000000009313,1123986.590000000083819,1450351.680000000167638,1253232.739999999990687,1196213.239999999990687,1216808.300000000046566,1347093.740000000223517,10203871.400000002235174
FS( 52 ),1357679.200000000186265,1276645.399999999906868,1126883.449999999953434,1441425.120000000111759,1263469.750000000000000,1195960.719999999972060,1202914.100000000093132,1359723.820000000065193,10224701.560000000521541
FS( 53 ),1364960.000000000000000,1269391.929999999934807,1119158.489999999990687,1427787.320000000065193,1260237.010000000009313,1184344.800000000046566,1198282.700000000186265,1361302.580000000074506,10185464.830000000074506
FS( 54 ),1371666.000000000232831,1277089.489999999990687,1110467.909999999916181,1452335.360000000102445,1276939.500000000000000,1202273.719999999972060,1213720.700000000186265,1367222.929999999934807,10271715.609999999403954
FS( 55 ),1380862.800000000046566,1270872.229999999748543,1099846.090000000083819,1461509.880000000121072,1288792.880000000121072,1205430.219999999972060,1212176.900000000139698,1378274.250000000000000,10297765.250000000000000
FS( 56 ),1392933.600000000093132,1292928.699999999953434,1108536.669999999925494,1458782.320000000065193,1286637.719999999972060,1202021.199999999953434,1199311.900000000139698,1379853.010000000009313,10321005.119999999180436
FS( 57 ),1427038.400000000139698,1298257.780000000027940,1107088.239999999990687,1460518.040000000037253,1300646.260000000009313,1194319.340000000083819,1196738.900000000139698,1381037.080000000074506,10365644.039999999105930
FS( 58 ),1423014.800000000046566,1320018.189999999944121,1093569.559999999823049,1467212.960000000195578,1296874.729999999981374,1201011.120000000111759,1195709.699999999953434,1364854.790000000037253,10362265.850000001490116
FS( 59 ),1436810.000000000000000,1239933.959999999962747,1074739.969999999972060,1449111.880000000121072,1279094.659999999916181,1189521.459999999962747,1198025.400000000139698,1332490.209999999962747,10199727.539999999105930
FS( 60 ),1455970.000000000000000,1251332.270000000018626,1080050.879999999888241,1434482.240000000223517,1281249.820000000065193,1195455.680000000167638,1189277.199999999953434,1330911.449999999953434,10218729.539999999105930
FS( 61 ),1439684.000000000000000,1254884.989999999990687,1084396.169999999925494,1395552.520000000251457,1306034.159999999916181,1196718.280000000027940,1197510.800000000046566,1410244.139999999897555,10285025.060000002384186
FS( 62 ),1450413.600000000093132,1247631.520000000018626,1088741.459999999962747,1381170.840000000316650,1312499.639999999897555,1204167.620000000111759,1166892.100000000093132,1403929.100000000093132,10255445.879999998956919
FS( 63 ),1414201.200000000186265,1244522.889999999897555,1102260.139999999897555,1393320.880000000121072,1321120.280000000027940,1212753.300000000046566,1172810.000000000000000,1401955.650000000139698,10262944.339999999850988
FS( 64 ),1436810.000000000000000,1235937.149999999906868,1096466.419999999925494,1386378.000000000000000,1320042.699999999953434,1212500.780000000027940,1164061.800000000046566,1402745.030000000027940,10254941.880000000819564
FS( 65 ),1430678.800000000046566,1234012.760000000009313,1089224.269999999785796,1393816.800000000046566,1318426.329999999841675,1218687.520000000018626,1160202.300000000279397,1397614.059999999823049,10242662.840000001713634
FS( 66 ),1423398.000000000232831,1237417.449999999953434,1089707.079999999841675,1375467.760000000009313,1310883.269999999785796,1227778.239999999990687,1163804.500000000000000,1402350.340000000083819,10230806.640000000596046
FS( 67 ),1441791.600000000093132,1241858.349999999860302,1090189.889999999897555,1356126.880000000121072,1307111.739999999990687,1228662.060000000055879,1176412.199999999953434,1418532.629999999888241,10260685.349999997764826
FS( 68 ),1438151.200000000186265,1244226.829999999841675,1113847.579999999841675,1367285.080000000074506,1294719.570000000065193,1229924.659999999916181,1167149.400000000139698,1446160.929999999934807,10301465.250000000000000
FS( 69 ),1425888.800000000046566,1246743.339999999850988,1123986.590000000083819,1386378.000000000000000,1306572.949999999953434,1236111.400000000139698,1182587.400000000139698,1506943.189999999944121,10415211.669999999925494
FS( 70 ),1402705.199999999953434,1238305.630000000121072,1115778.819999999832362,1365549.360000000102445,1296335.939999999944121,1227273.199999999953434,1178985.200000000186265,1480104.270000000018626,10305037.619999999180436
FS( 71 ),1424930.800000000279397,1247039.399999999906868,1135091.219999999972060,1400759.680000000167638,1297952.310000000055879,1224874.260000000009313,1204200.600000000093132,1491155.590000000083819,10426003.859999999403954
FS( 72 ),1420715.600000000093132,1245707.130000000121072,1132194.359999999869615,1400511.719999999972060,1302262.630000000121072,1225884.340000000083819,1209346.600000000093132,1483656.480000000214204,10420278.860000001266599
FS( 73 ),1423398.000000000232831,1241266.229999999748543,1145713.040000000037253,1389105.560000000288710,1316271.169999999925494,1233081.159999999916181,1224527.300000000279397,1474578.610000000102445,10447941.070000000298023
FS( 74 ),1425122.399999999906868,1246447.280000000027940,1158748.909999999916181,1398280.080000000074506,1325430.600000000093132,1238762.860000000102445,1218094.800000000279397,1506153.809999999823049,10517040.740000000223517
FS( 75 ),1445623.600000000093132,1239933.959999999962747,1031769.880000000004657,1416133.200000000186265,1314116.010000000009313,1231818.560000000055879,1230445.200000000186265,1500628.150000000139698,10410468.560000000521541
FS( 76 ),1437001.600000000093132,1239637.899999999906868,1039977.649999999906868,1420596.480000000214204,1321120.280000000027940,1223737.919999999925494,1236877.700000000186265,1493523.730000000214204,10412473.260000001639128
FS( 77 ),1419566.000000000232831,1244078.800000000046566,1027907.399999999906868,1407950.520000000251457,1325430.600000000093132,1232954.900000000139698,1235333.900000000139698,1468263.570000000065193,10361485.690000001341105
FS( 78 ),1422056.800000000046566,1238601.689999999944121,1034183.930000000051223,1401999.480000000214204,1330818.500000000000000,1237121.479999999981374,1236877.700000000186265,1450107.830000000074506,10351767.410000002011657
FS( 79 ),1409602.800000000046566,1223946.719999999972060,1025010.539999999920838,1386378.000000000000000,1323275.439999999944121,1231566.040000000037253,1238421.500000000232831,1463527.290000000037253,10301728.330000001937151
FS( 80 ),1426463.600000000093132,1215657.040000000037253,1036597.979999999864958,1399519.880000000121072,1359374.369999999878928,1233586.199999999953434,1251029.199999999953434,1476157.369999999878928,10398385.639999998733401
FS( 81 ),1422823.200000000186265,1226907.319999999832362,1036115.169999999925494,1400511.719999999972060,1286098.929999999934807,1240783.020000000018626,1259262.800000000046566,1482867.100000000093132,10355369.259999999776483
FS( 82 ),1433552.800000000046566,1249407.880000000121072,1026941.779999999911524,1377451.439999999944121,1279633.449999999953434,1248989.919999999925494,1277788.399999999906868,1485629.929999999934807,10379395.599999999627471
FS( 83 ),1459993.600000000093132,1248815.760000000009313,1024044.919999999925494,1369764.680000000167638,1274245.549999999813735,1239899.199999999953434,1275730.000000000000000,1474183.920000000158325,10366677.630000000819564
FS( 84 ),1494290.000000000000000,1253404.689999999944121,1026941.779999999911524,1380674.920000000158325,1287715.299999999813735,1225505.560000000055879,1282162.500000000000000,1484051.170000000158325,10434745.919999999925494
FS( 85 ),1522072.000000000000000,1252368.479999999748543,1025976.159999999916181,1379435.120000000111759,1284482.560000000055879,1229419.620000000111759,1282162.500000000000000,1504969.740000000223517,10480886.180000001564622
FS( 86 ),1508851.600000000093132,1247187.429999999934807,1018251.199999999953434,1411917.880000000121072,1276939.500000000000000,1218561.260000000009313,1291168.000000000000000,1517599.820000000065193,10490476.690000001341105
FS( 87 ),1550045.600000000093132,1241562.290000000037253,1026458.969999999972060,1367285.080000000074506,1268857.649999999906868,1216919.879999999888241,1280361.400000000139698,1512074.160000000149012,10463565.029999999329448
FS( 88 ),1546405.199999999953434,1243042.589999999850988,1025976.159999999916181,1373236.120000000111759,1279094.659999999916181,1208460.459999999962747,1268782.900000000139698,1536939.629999999888241,10481937.719999998807907
FS( 89 ),1554452.399999999906868,1249555.909999999916181,1009560.619999999878928,1363317.719999999972060,1307111.739999999990687,1204925.180000000167638,1255917.900000000139698,1499838.770000000018626,10444680.240000000223517
FS( 90 ),1532801.600000000093132,1265691.179999999934807,1027424.589999999967404,1386625.960000000195578,1337283.979999999981374,1222222.800000000046566,1270841.300000000046566,1514047.610000000102445,10556939.019999999552965
FS( 91 ),1550428.800000000046566,1274424.949999999953434,1024527.729999999864958,1440681.240000000223517,1343210.669999999925494,1208586.719999999972060,1275215.400000000139698,1527861.760000000009313,10644937.269999999552965
FS( 92 ),1547938.000000000232831,1279309.939999999944121,1024044.919999999925494,1475395.640000000130385,1337283.979999999981374,1204925.180000000167638,1271870.500000000000000,1504180.360000000102445,10644948.519999999552965
FS( 93 ),1536442.000000000000000,1262434.520000000018626,1008112.189999999827705,1449607.800000000046566,1315732.380000000121072,1202778.760000000009313,1259520.100000000093132,1484445.860000000102445,10519073.609999999403954
FS( 94 ),1534334.400000000139698,1266727.389999999897555,990248.219999999972060,1439441.439999999944121,1318426.329999999841675,1188132.599999999860302,1243310.200000000186265,1469052.949999999953434,10449673.529999997466803
FS( 95 ),1517473.600000000093132,1273832.829999999841675,977212.349999999860302,1466221.120000000111759,1308728.109999999869615,1192425.439999999944121,1244854.000000000232831,1448134.379999999888241,10428881.829999998211861
FS( 96 ),1525904.000000000000000,1293520.819999999832362,998455.989999999874271,1468948.680000000167638,1317348.750000000000000,1205177.699999999953434,1237392.300000000279397,1455633.490000000223517,10502381.730000000447035
FS( 97 ),1519006.400000000139698,1286711.439999999944121,1010043.430000000051223,1490273.240000000223517,1328663.339999999850988,1191667.879999999888241,1232503.600000000093132,1441424.650000000139698,10500293.980000000447035
FS( 98 ),1507510.400000000139698,1305215.189999999944121,1013905.909999999916181,1536393.800000000046566,1355064.049999999813735,1211238.180000000167638,1258233.600000000093132,1443792.790000000037253,10631353.919999998062849
FS( 99 ),1490266.400000000139698,1295889.300000000046566,1017285.579999999958090,1550279.560000000288710,1354525.260000000009313,1201263.639999999897555,1255403.300000000046566,1430768.020000000018626,10595681.060000000521541
FS( 100 ),1502720.400000000139698,1316465.469999999972060,1020182.439999999827705,1546064.240000000223517,1350214.939999999944121,1218561.260000000009313,1269040.200000000186265,1452475.969999999972060,10675724.919999999925494
FS( 101 ),1560392.000000000000000,1331712.559999999823049,1041426.079999999958090,1549535.680000000167638,1364223.479999999981374,1215909.800000000046566,1270069.400000000139698,1445371.549999999813735,10778640.550000000745058
FS( 102 ),1553877.600000000093132,1345775.409999999916181,1047219.799999999930151,1568628.600000000093132,1370150.169999999925494,1218940.040000000037253,1271355.899999999906868,1463527.290000000037253,10839474.809999998658895
FS( 103 ),1543531.200000000186265,1349328.130000000121072,1052530.709999999962747,1584002.120000000111759,1384697.500000000000000,1222727.840000000083819,1279332.199999999953434,1477736.129999999888241,10893885.829999998211861
FS( 104 ),1532993.200000000186265,1345183.290000000037253,1063152.529999999795109,1574827.600000000093132,1379309.600000000093132,1223611.659999999916181,1281133.300000000046566,1471815.780000000027940,10872026.960000000894070
FS( 105 ),1517856.800000000046566,1345183.290000000037253,1074257.159999999916181,1574827.600000000093132,1392779.350000000093132,1224874.260000000009313,1284992.800000000046566,1471815.780000000027940,10886587.039999999105930
FS( 106 ),1535675.600000000093132,1344295.109999999869615,1082947.739999999990687,1567884.719999999972060,1398706.040000000037253,1225126.780000000027940,1287823.100000000093132,1476552.059999999823049,10919011.150000000372529
FS( 107 ),1514024.800000000046566,1330380.290000000037253,1062186.909999999916181,1549039.760000000009313,1389546.609999999869615,1217298.659999999916181,1273414.300000000046566,1466684.809999999823049,10802576.140000000596046
FS( 108 ),1480686.400000000139698,1329640.139999999897555,1061221.290000000037253,1542096.880000000121072,1389007.820000000065193,1218940.040000000037253,1279589.500000000000000,1456817.559999999823049,10757999.630000000819564
FS( 109 ),1488733.600000000093132,1312172.599999999860302,1062669.719999999972060,1539369.320000000065193,1371766.540000000037253,1210228.099999999860302,1279846.800000000046566,1426031.740000000223517,10690818.419999999925494
FS( 110 ),1478195.600000000093132,1316465.469999999972060,1077154.019999999785796,1522260.080000000074506,1378770.810000000055879,1216919.879999999888241,1289366.900000000139698,1437083.059999999823049,10716215.820000000298023
FS( 111 ),1487584.000000000000000,1319574.099999999860302,1076188.399999999906868,1523995.800000000046566,1370150.169999999925494,1204672.659999999916181,1281133.300000000046566,1411428.209999999962747,10674726.640000000596046
FS( 112 ),1468615.600000000093132,1328011.809999999823049,1066532.199999999953434,1504406.960000000195578,1363684.689999999944121,1205303.959999999962747,1274186.200000000186265,1402350.340000000083819,10613091.759999999776483
FS( 113 ),1458652.399999999906868,1339854.209999999962747,1072808.729999999748543,1508126.360000000102445,1375538.070000000065193,1209596.800000000046566,1283449.000000000232831,1422479.530000000027940,10670505.099999999627471
FS( 114 ),1466316.400000000139698,1330676.349999999860302,1071360.300000000046566,1479363.000000000000000,1373921.699999999953434,1197349.580000000074506,1366814.199999999953434,1380642.389999999897555,10666443.919999999925494
FS( 115 ),1495631.200000000186265,1340594.359999999869615,1081982.119999999878928,1506142.680000000167638,1428339.489999999990687,1202273.719999999972060,1363726.600000000093132,1412217.590000000083819,10830907.759999999776483
FS( 116 ),1525520.800000000279397,1367979.909999999916181,1099846.090000000083819,1520276.400000000139698,1436960.130000000121072,1205303.959999999962747,1351376.200000000186265,1450897.209999999962747,10958160.699999999254942
FS( 117 ),1517090.400000000139698,1362058.709999999962747,1099846.090000000083819,1521516.200000000186265,1429955.859999999869615,1212879.560000000055879,1350861.600000000093132,1456028.179999999934807,10950236.599999999627471
FS( 118 ),1479920.000000000000000,1353621.000000000000000,1097914.849999999860302,1521020.280000000260770,1392779.350000000093132,1198612.180000000167638,1336710.100000000093132,1435898.990000000223517,10816476.750000000000000
FS( 119 ),1502912.000000000000000,1341186.479999999748543,1102260.139999999897555,1621940.000000000000000,1378770.810000000055879,1200506.080000000074506,1333622.500000000000000,1427610.500000000000000,10908808.509999999776483
FS( 120 ),1509618.000000000232831,1326975.599999999860302,1102742.949999999953434,1613013.439999999944121,1363684.689999999944121,1197980.879999999888241,1321272.100000000093132,1418137.939999999944121,10853425.599999999627471
FS( 121 ),1522263.600000000093132,1309804.119999999878928,1089224.269999999785796,1579290.880000000121072,1353986.469999999972060,1203536.319999999832362,1327704.600000000093132,1423268.910000000149012,10809079.169999998062849
FS( 122 ),1494673.200000000186265,1275609.189999999944121,1071843.109999999869615,1532922.360000000102445,1336745.189999999944121,1192299.180000000167638,1337482.000000000000000,1452870.660000000149012,10694444.890000000596046
FS( 123 ),1506744.000000000000000,1351400.550000000046566,1062186.909999999916181,1522012.120000000111759,1331896.079999999841675,1187753.819999999832362,1351633.500000000232831,1422084.840000000083819,10735711.820000000298023
FS( 124 ),1386419.200000000186265,1368868.089999999850988,1050116.659999999916181,1520524.360000000102445,1341594.299999999813735,1189142.680000000167638,1360381.699999999953434,1431557.400000000139698,10648604.390000000596046
FS( 125 ),1370708.000000000232831,1341482.540000000037253,1045288.559999999823049,1579538.840000000316650,1329740.919999999925494,1176137.900000000139698,1343399.900000000139698,1446950.309999999823049,10633246.970000000670552
FS( 126 ),1368025.600000000093132,1379674.280000000027940,1061221.290000000037253,1600119.520000000251457,1332973.659999999916181,1184344.800000000046566,1376848.900000000139698,1454844.110000000102445,10758052.160000000149012
FS( 127 ),1370133.200000000186265,1390184.409999999916181,1057841.619999999878928,1607062.400000000139698,1322197.859999999869615,1189016.419999999925494,1362954.699999999953434,1493523.730000000214204,10792914.339999999850988
FS( 128 ),1372815.600000000093132,1368127.939999999944121,1040460.459999999962747,1578051.080000000074506,1290409.250000000000000,1174496.520000000018626,1340055.000000000000000,1439845.889999999897555,10604261.740000000223517
FS( 129 ),1392550.400000000139698,1369312.179999999934807,1052530.709999999962747,1587721.520000000251457,1283404.979999999981374,1175380.340000000083819,1376848.900000000139698,1434714.920000000158325,10672463.950000001117587
FS( 130 ),1403088.400000000139698,1361318.559999999823049,1061221.290000000037253,1583754.160000000149012,1267241.280000000027940,1181567.080000000074506,1377363.500000000232831,1413796.350000000093132,10649350.620000001043081
FS( 131 ),1402896.800000000046566,1389000.169999999925494,1085844.599999999860302,1609789.960000000195578,1292564.409999999916181,1198738.439999999944121,1383538.700000000186265,1428005.189999999944121,10790378.269999997690320
