代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11313201.040000000968575
真實報酬,1313201.040000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22074.011993138210528
風險,61414.320688127212634
起點值,0.359427764498674
找到最佳解世代,1775
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
AXP[1](5),CSCO[4](1),JNJ[12](9),KO[14](28),MSFT[18](8),PG[21](7),TRV[22](2),VZ[26](26),XOM[29](3),
FS( 16 ),1158023.479999999748543,1179922.540000000037253,1104849.159999999916181,1129104.000000000000000,1166930.040000000037253,1147870.439999999944121,1177467.659999999683350,1131936.699999999953434,1138373.530000000260770,10334478.550000000745058
FS( 17 ),1170216.079999999841675,1193374.419999999925494,1115285.559999999823049,1121528.000000000000000,1177588.399999999906868,1139350.040000000037253,1183147.259999999776483,1118647.919999999692664,1143475.290000000037253,10362613.969999998807907
FS( 18 ),1165687.399999999906868,1183544.199999999953434,1121895.280000000027940,1116793.000000000000000,1154623.479999999981374,1138376.280000000027940,1183620.559999999823049,1092268.699999999953434,1135822.649999999906868,10292632.549999998882413
FS( 19 ),1172422.359999999869615,1188976.689999999944121,1133549.260000000009313,1122238.250000000000000,1131109.159999999916181,1138619.720000000204891,1181632.699999999720603,1056765.839999999850988,1140127.260000000242144,10265442.239999998360872
FS( 20 ),1192278.879999999888241,1208378.439999999944121,1144942.329999999841675,1133128.750000000000000,1168907.879999999888241,1150548.280000000027940,1191666.659999999683350,1071046.319999999832362,1152562.800000000279397,10413461.339999999850988
FS( 21 ),1192627.239999999990687,1223382.459999999962747,1157466.010000000009313,1139521.000000000000000,1147481.280000000027940,1174283.680000000167638,1188448.219999999972060,1092070.359999999869615,1168346.370000000111759,10483627.620000001043081
FS( 22 ),1196807.559999999823049,1224675.910000000149012,1167206.649999999906868,1153015.750000000000000,1129351.079999999841675,1186455.680000000167638,1197440.919999999692664,1081955.019999999785796,1210435.890000000130385,10547345.459999999031425
FS( 23 ),1200987.879999999888241,1224934.600000000093132,1155726.609999999869615,1166037.000000000000000,1161875.559999999823049,1193272.000000000000000,1193181.219999999972060,1071839.679999999701977,1192898.589999999850988,10560754.139999998733401
FS( 24 ),1206561.639999999897555,1222606.389999999897555,1155726.609999999869615,1166273.750000000000000,1178137.800000000046566,1186090.520000000018626,1194506.459999999962747,1073823.079999999841675,1205174.700000000186265,10588901.949999999254942
FS( 25 ),1218870.359999999869615,1228297.569999999832362,1156770.250000000000000,1166273.750000000000000,1165062.079999999841675,1191933.080000000074506,1188542.879999999888241,1066881.179999999701977,1199913.510000000242144,10582545.659999998286366
FS( 26 ),1212251.519999999785796,1208119.750000000000000,1148508.100000000093132,1170061.750000000000000,1156711.199999999953434,1182438.920000000158325,1199996.739999999990687,1062517.699999999953434,1190666.570000000298023,10531273.250000000000000
FS( 27 ),1213761.079999999841675,1220795.559999999823049,1151552.050000000046566,1171955.750000000000000,1161106.399999999906868,1189376.959999999962747,1190814.719999999972060,1070054.619999999878928,1179506.470000000204891,10548924.609999999403954
FS( 28 ),1224095.759999999776483,1230884.469999999972060,1148073.250000000000000,1174560.000000000000000,1156491.439999999944121,1196193.280000000027940,1187312.299999999813735,1072038.019999999785796,1181419.629999999888241,10571069.149999998509884
FS( 29 ),1242558.839999999850988,1238903.859999999869615,1166858.770000000018626,1175743.750000000000000,1174511.760000000009313,1208243.560000000055879,1204729.739999999990687,1079376.599999999860302,1202145.530000000260770,10693073.410000000149012
FS( 30 ),1249061.559999999823049,1228814.949999999953434,1169380.899999999906868,1178821.500000000000000,1173632.719999999972060,1208000.120000000111759,1212113.219999999739230,1080566.639999999664724,1215697.080000000074506,10716089.689999999478459
FS( 31 ),1238146.279999999795109,1252097.049999999813735,1168163.320000000065193,1079386.500000000000000,1174621.639999999897555,1198505.959999999962747,1201605.959999999962747,1071641.339999999850988,1216015.939999999944121,10600184.989999998360872
FS( 32 ),1246971.399999999906868,1278742.119999999878928,1186166.109999999869615,1071100.250000000000000,1189125.800000000046566,1198749.400000000139698,1218739.419999999925494,1094053.759999999776483,1238973.859999999869615,10722623.119999999180436
FS( 33 ),1236752.839999999850988,1284433.299999999813735,1180165.179999999934807,1061393.500000000000000,1188576.399999999906868,1217129.120000000111759,1222147.179999999701977,1099607.279999999795109,1247264.220000000204891,10737470.019999999552965
FS( 34 ),1240004.199999999953434,1283915.919999999925494,1185905.199999999953434,1067785.750000000000000,1177368.639999999897555,1208487.000000000000000,1228205.419999999925494,1105954.159999999683350,1252047.120000000111759,10749674.410000000149012
FS( 35 ),1238030.159999999916181,1278224.739999999757856,1177816.989999999990687,1085778.750000000000000,1202201.520000000018626,1214573.000000000000000,1228962.699999999720603,1113689.419999999692664,1240727.589999999850988,10780005.869999999180436
FS( 36 ),1247668.119999999878928,1296333.040000000037253,1188079.449999999953434,1072047.250000000000000,1219342.800000000046566,1220293.840000000083819,1240321.899999999906868,1128961.599999999860302,1250293.390000000130385,10863342.390000000596046
FS( 37 ),1241746.000000000000000,1313923.959999999962747,1184600.649999999906868,1063997.750000000000000,1226155.359999999869615,1212016.879999999888241,1254236.919999999925494,1126184.839999999850988,1251568.830000000074506,10874432.189999999478459
FS( 38 ),1241862.119999999878928,1324012.869999999878928,1183817.920000000158325,1058079.000000000000000,1234616.119999999878928,1215181.600000000093132,1261620.399999999906868,1123408.079999999841675,1254119.709999999962747,10896718.820000000298023
FS( 39 ),1247435.879999999888241,1334619.160000000149012,1181730.640000000130385,1063997.750000000000000,1232528.399999999906868,1203983.360000000102445,1255467.500000000000000,1124994.799999999813735,1267033.540000000037253,10911792.030000001192093
FS( 40 ),1251151.719999999739230,1339275.580000000074506,1188427.329999999841675,1073467.750000000000000,1230990.079999999841675,1199601.439999999944121,1258212.639999999897555,1128961.599999999860302,1260018.620000000111759,10930107.760000001639128
FS( 41 ),1264621.639999999897555,1329962.739999999757856,1203299.199999999953434,1074414.750000000000000,1236484.079999999841675,1198262.520000000018626,1259348.559999999823049,1129754.959999999962747,1275483.330000000074506,10971632.779999999329448
FS( 42 ),1265782.839999999850988,1323495.489999999757856,1204429.809999999823049,1080807.000000000000000,1233517.320000000065193,1203496.480000000214204,1251018.479999999981374,1115474.479999999981374,1280425.660000000149012,10958448.560000000521541
FS( 43 ),1264041.039999999804422,1327117.149999999906868,1206951.940000000176951,1079623.250000000000000,1227364.040000000037253,1206174.320000000065193,1256130.119999999878928,1112301.039999999804422,1278512.500000000000000,10958216.399999998509884
FS( 44 ),1265550.599999999860302,1336688.679999999934807,1209734.979999999981374,1076072.000000000000000,1227913.439999999944121,1204226.800000000279397,1247705.379999999888241,1104367.439999999711290,1264004.370000000111759,10936264.689999997615814
FS( 45 ),1252545.159999999916181,1326858.459999999962747,1202342.530000000027940,1072047.250000000000000,1212969.760000000009313,1199601.439999999944121,1244770.919999999925494,1116664.519999999785796,1278034.209999999962747,10905835.250000000000000
FS( 46 ),1253938.599999999860302,1321167.280000000027940,1200777.070000000065193,1061630.250000000000000,1214288.320000000065193,1197897.360000000102445,1240321.899999999906868,1121226.339999999850988,1259699.760000000242144,10870947.880000000819564
FS( 47 ),1272285.559999999823049,1343155.929999999934807,1205125.570000000065193,1093354.750000000000000,1239780.479999999981374,1212138.600000000093132,1248368.000000000000000,1142052.039999999804422,1271975.870000000111759,11028237.799999997019768
FS( 48 ),1282388.000000000000000,1349105.799999999813735,1210517.709999999962747,1090277.000000000000000,1248461.000000000000000,1217859.439999999944121,1256414.099999999860302,1139076.939999999711290,1275483.330000000074506,11069584.319999998435378
FS( 49 ),1302244.519999999785796,1360488.160000000149012,1212518.020000000018626,1094301.750000000000000,1258130.439999999944121,1231613.800000000279397,1259064.579999999841675,1143638.759999999776483,1286802.859999999869615,11148803.889999998733401
FS( 50 ),1304683.039999999804422,1364368.510000000009313,1200429.190000000176951,1081990.750000000000000,1259119.359999999869615,1233317.879999999888241,1259632.539999999804422,1149390.619999999878928,1282498.250000000000000,11135431.139999998733401
FS( 51 ),1318269.079999999841675,1376268.250000000000000,1196776.449999999953434,1072520.750000000000000,1273623.520000000018626,1246950.520000000018626,1270234.459999999962747,1158117.579999999841675,1277874.780000000260770,11190636.390000000596046
FS( 52 ),1318617.439999999711290,1384287.639999999897555,1193036.739999999990687,1075125.000000000000000,1291863.599999999860302,1235630.560000000055879,1277428.619999999878928,1151770.699999999953434,1292701.770000000018626,11220463.069999996572733
FS( 53 ),1308398.879999999888241,1379113.840000000083819,1204081.929999999934807,1078676.250000000000000,1292742.639999999897555,1240377.640000000130385,1258401.959999999962747,1140465.319999999832362,1289353.740000000223517,11191613.200000001117587
FS( 54 ),1286336.079999999841675,1377820.389999999897555,1194080.379999999888241,1077966.000000000000000,1291314.199999999953434,1238186.680000000167638,1243256.359999999869615,1143837.099999999860302,1296528.089999999850988,11149326.279999999329448
FS( 55 ),1298528.679999999701977,1395411.309999999823049,1201124.949999999953434,1077492.500000000000000,1320981.800000000046566,1247559.120000000111759,1272033.000000000000000,1156134.179999999701977,1304021.300000000279397,11273287.839999999850988
FS( 56 ),1271124.359999999869615,1364368.510000000009313,1190775.520000000018626,1087436.000000000000000,1286149.839999999850988,1237456.360000000102445,1277049.979999999981374,1185290.159999999683350,1283135.970000000204891,11182787.700000001117587
FS( 57 ),1266247.319999999832362,1364109.819999999832362,1188166.420000000158325,1089803.500000000000000,1292852.520000000018626,1241107.959999999962747,1277523.279999999795109,1191637.039999999804422,1274207.890000000130385,11185656.750000000000000
FS( 58 ),1271588.839999999850988,1377044.319999999832362,1205212.540000000037253,1104245.250000000000000,1295599.520000000018626,1254010.280000000027940,1277807.259999999776483,1202545.739999999990687,1290788.609999999869615,11278843.359999997541308
FS( 59 ),1265550.599999999860302,1374716.109999999869615,1206343.149999999906868,1103535.000000000000000,1283073.199999999953434,1252549.640000000130385,1290775.679999999701977,1207504.239999999990687,1280903.950000000186265,11264952.570000000298023
FS( 60 ),1267640.759999999776483,1380407.290000000037253,1207908.609999999869615,1102824.750000000000000,1284831.280000000027940,1260461.439999999944121,1295981.979999999981374,1171803.039999999804422,1287281.149999999906868,11259141.300000000745058
FS( 61 ),1269266.439999999711290,1396704.760000000009313,1215822.879999999888241,1109453.750000000000000,1295929.159999999916181,1266547.439999999944121,1298443.139999999897555,1172794.739999999990687,1288237.729999999981374,11313201.040000000968575
