訓練日期,20180327 - 20180627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11030627.109999999403954
真實報酬,1030627.109999999403954

夏普值報酬,0.094362711000000
夏普值風險,0.042195538204744
夏普值,2.236319644558797

預期報酬,22121.383376181089261
風險,128000.929567092913203
趨勢值,0.172822052550688
找到最佳解世代,1671
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](5),MRK[17](3),NKE[19](4),UNH[23](1),V[25](2),
20180412,1965756.220000000437722,2099924.300000000279397,2056752.629999999888241,2047196.930000000167638,2007128.540000000037253,10176758.620000001043081
20180413,1959406.380000000353903,2115838.170000000391155,2040971.149999999906868,2047562.090000000083819,2001823.580000000074506,10165601.370000001043081
20180416,1977888.950000000186265,2170611.490000000223517,2035204.840000000083819,2102701.250000000000000,2020556.719999999972060,10306963.250000000000000
20180417,1983331.670000000158325,2193557.070000000298023,2048861.890000000130385,2177832.919999999925494,2052386.479999999981374,10455970.030000001192093
20180418,2039346.330000000074506,2180603.920000000391155,2009104.699999999953434,2158205.570000000298023,2052386.479999999981374,10439647.000000000000000
20180419,2007937.300000000279397,2170241.400000000372529,1994840.669999999925494,2152363.009999999776483,2055038.959999999962747,10380421.339999999850988
20180420,2007143.570000000065193,2177273.109999999869615,2005766.310000000055879,2145972.709999999962747,2059017.680000000167638,10395173.380000000819564
20180423,2014513.920000000158325,2229825.890000000130385,2029742.019999999785796,2139399.830000000074506,2063327.959999999962747,10476809.620000001043081
20180424,1998639.320000000065193,2223904.450000000186265,2032473.429999999934807,2138304.349999999627471,2010444.139999999897555,10403765.690000001341105
20180425,2011452.389999999897555,2206880.310000000055879,2023368.729999999981374,2138304.349999999627471,2009449.459999999962747,10389455.239999998360872
20180426,2105906.260000000242144,2198738.330000000074506,2065250.349999999860302,2163956.839999999850988,2106762.319999999832362,10640614.099999999627471
20180427,2114297.120000000111759,2200958.870000000111759,2111077.339999999850988,2192713.190000000409782,2089023.860000000102445,10708070.379999998956919
20180430,2095474.380000000353903,2178753.470000000204891,2075569.010000000009313,2158205.570000000298023,2103446.720000000204891,10611449.150000000372529
20180501,2093546.750000000000000,2145815.459999999962747,2066767.799999999813735,2162313.620000000111759,2113890.860000000335276,10582334.489999998360872
20180502,2108060.669999999925494,2120649.339999999850988,2071623.640000000130385,2131366.309999999590218,2095157.719999999972060,10526857.680000001564622
20180503,2077218.590000000083819,2129161.410000000149012,2030349.000000000000000,2137665.320000000298023,2108420.120000000111759,10482814.440000001341105
20180504,2098082.350000000093132,2137303.390000000130385,2066767.799999999813735,2153641.070000000298023,2124666.560000000055879,10580461.169999999925494
20180507,2081414.020000000251457,2123610.060000000055879,2104400.560000000055879,2134287.589999999850988,2142902.359999999869615,10586614.589999999850988
20180508,2098195.740000000223517,2100664.479999999981374,2077693.439999999711290,2118311.839999999850988,2153512.280000000260770,10548377.780000001192093
20180509,2113163.220000000204891,2144705.190000000409782,2062215.449999999953434,2092568.060000000055879,2169095.600000000093132,10581747.519999999552965
20180510,2122234.419999999925494,2148776.180000000167638,2061304.979999999981374,2133648.559999999590218,2169095.600000000093132,10635059.740000000223517
20180511,2157952.270000000018626,2209100.850000000093132,2076782.970000000204891,2175368.089999999850988,2185342.040000000037253,10804546.219999998807907
20180514,2166683.300000000279397,2208730.760000000242144,2089226.060000000055879,2217544.070000000298023,2175229.460000000428408,10857413.650000002235174
20180515,2131532.399999999906868,2190966.440000000409782,2109256.399999999906868,2186505.469999999739230,2173405.879999999888241,10791666.589999999850988
20180516,2113390.000000000000000,2211321.390000000130385,2165098.560000000055879,2206771.849999999627471,2169924.500000000000000,10866506.300000000745058
20180517,2101484.050000000279397,2186155.270000000018626,2152958.959999999962747,2218091.809999999590218,2154009.620000000111759,10812699.710000000894070
20180518,2125182.560000000055879,2188745.900000000372529,2164491.579999999608845,2233428.530000000260770,2154009.620000000111759,10865858.190000001341105
20180521,2152055.990000000223517,2167650.770000000018626,2166312.519999999552965,2263189.070000000298023,2166111.560000000055879,10915319.910000000149012
20180522,2118946.110000000335276,2163209.690000000409782,2164188.089999999850988,2238358.190000000409782,2166940.460000000428408,10851642.540000002831221
20180523,2116678.310000000055879,2189856.170000000391155,2165098.560000000055879,2229959.509999999776483,2186336.720000000204891,10887929.270000001415610
20180524,2122121.030000000260770,2188375.810000000055879,2190591.720000000204891,2215992.139999999664724,2186502.500000000000000,10903583.199999999254942
20180525,2118719.330000000074506,2186895.450000000186265,2192716.149999999906868,2236258.519999999552965,2176389.919999999925494,10910979.369999999180436
20180529,2097742.180000000167638,2161359.240000000223517,2152351.979999999981374,2210879.899999999441206,2150030.899999999906868,10772364.200000001117587
20180530,2121440.690000000409782,2210211.120000000111759,2192109.169999999925494,2236167.229999999515712,2165780.000000000000000,10925708.210000000894070
20180531,2115317.630000000353903,2203179.410000000149012,2179059.099999999627471,2204854.759999999776483,2167106.240000000223517,10869517.140000000596046
20180601,2124388.830000000074506,2241298.680000000167638,2208194.140000000130385,2221652.120000000111759,2169261.379999999888241,10964795.149999998509884
20180604,2169858.220000000204891,2295331.820000000298023,2240667.569999999832362,2233337.240000000223517,2206064.540000000037253,11145259.390000000596046
20180605,2176434.840000000316650,2272016.150000000372529,2247344.349999999627471,2231511.440000000409782,2214187.760000000242144,11141494.540000000968575
20180606,2195144.190000000409782,2292001.010000000242144,2268588.649999999906868,2270035.820000000298023,2259279.919999999925494,11285049.590000001713634
20180607,2224398.810000000055879,2294221.550000000279397,2268892.140000000130385,2273048.389999999664724,2218829.600000000093132,11279390.490000000223517
20180608,2248891.050000000279397,2316056.859999999869615,2273141.000000000000000,2288567.690000000409782,2233749.800000000279397,11360406.400000002235174
20180611,2263745.140000000130385,2306804.609999999869615,2263732.810000000055879,2316867.589999999850988,2219990.060000000055879,11371140.210000000894070
20180612,2282681.270000000018626,2310875.600000000093132,2254628.109999999869615,2315041.790000000037253,2235739.160000000149012,11398965.929999999701977
20180613,2271342.270000000018626,2316426.950000000186265,2249165.290000000037253,2308560.200000000186265,2228113.280000000260770,11373607.990000002086163
20180614,2264085.310000000055879,2278307.680000000167638,2267071.200000000186265,2331017.540000000037253,2238060.080000000074506,11378541.810000000521541
20180615,2273950.240000000223517,2295701.910000000149012,2301669.060000000055879,2336951.389999999664724,2239717.879999999888241,11447990.480000000447035
20180618,2275651.090000000316650,2257212.550000000279397,2294688.790000000037253,2326818.200000000186265,2257953.679999999701977,11412324.310000000521541
20180619,2258869.370000000111759,2258692.910000000149012,2253717.640000000130385,2309929.549999999813735,2239883.660000000149012,11321093.129999998956919
20180620,2257395.300000000279397,2267945.160000000149012,2267678.179999999701977,2308012.459999999962747,2246349.080000000074506,11347380.180000001564622
20180621,2271342.270000000018626,2264244.260000000242144,2244005.959999999962747,2299613.780000000260770,2230268.419999999925494,11309474.689999999478459
20180622,2238459.169999999925494,2274976.870000000111759,2228527.970000000204891,2322253.700000000186265,2243530.820000000298023,11307748.530000001192093
20180625,2226780.000000000000000,2260543.359999999869615,2195751.049999999813735,2288841.559999999590218,2170587.620000000111759,11142503.589999999850988
20180626,2226553.220000000204891,2247220.120000000111759,2202124.339999999850988,2280260.299999999813735,2197443.980000000447035,11153601.960000000894070
20180627,2211358.960000000428408,2216132.560000000055879,2165402.049999999813735,2265653.899999999441206,2172079.640000000130385,11030627.109999999403954
