代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14907971.019999999552965
真實報酬,4907971.019999999552965

夏普值報酬,0.482097102000000
夏普值風險,0.108415126362329
夏普值,4.446769728320073

二次趨勢線,-43.137165408668764 x^2 + 30452.715727297014382 x + 10000000.000000000000000
二次加權預期報酬,15872.353819166975882
風險,208278.680544678558363
二次加權趨勢值,0.076207290048403
一次趨勢線,22251.294060161268135 x + 10000000.000000000000000
一次預期報酬,22251.294060161268135
一次風險,373661.411595317884348
一次趨勢值,0.059549349677723
找到最佳解世代,1745
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](14),MCD[15](22),PFE[20](3),UNH[23](1),WBA[27](4),XOM[29](9),
FS( 12 ),1741272.560000000055879,1746611.600000000093132,1725227.500000000000000,1844402.679999999934807,1834208.500000000000000,1720248.619999999878928,10611975.459999999031425
FS( 13 ),1773246.800000000046566,1770595.280000000260770,1704145.360000000102445,1845001.119999999646097,1852406.000000000000000,1735557.940000000176951,10680956.500000000000000
FS( 14 ),1801224.260000000009313,1751608.199999999953434,1698289.209999999962747,1837221.399999999906868,1810991.000000000000000,1712593.959999999962747,10611932.030000001192093
FS( 15 ),1807219.429999999934807,1783836.270000000251457,1734597.340000000083819,1855174.599999999860302,1845503.500000000000000,1748217.570000000065193,10774552.710000000894070
FS( 16 ),1823872.679999999934807,1746361.770000000251457,1707659.050000000046566,1850387.080000000074506,1891311.000000000000000,1758227.510000000009313,10777823.089999999850988
FS( 17 ),1829867.849999999860302,1770595.280000000260770,1759193.169999999925494,1883301.279999999795109,1874996.000000000000000,1777952.979999999981374,10895910.560000000521541
FS( 18 ),1833864.630000000121072,1758853.270000000251457,1788473.919999999925494,1842008.919999999925494,1825423.500000000000000,1790318.199999999953434,10838946.439999999478459
FS( 19 ),1827869.459999999962747,1743113.979999999981374,1756850.709999999962747,1815079.119999999646097,1814756.000000000000000,1793262.299999999813735,10750935.570000000298023
FS( 20 ),1831866.239999999990687,1733370.609999999869615,1767391.780000000027940,1821661.959999999962747,1777106.000000000000000,1776480.930000000167638,10707881.519999999552965
FS( 21 ),1835863.020000000018626,1742114.660000000149012,1756850.709999999962747,1822260.399999999906868,1791538.500000000000000,1757049.869999999878928,10705681.160000000149012
FS( 22 ),1879161.469999999972060,1755105.820000000065193,1813069.750000000000000,1881505.959999999962747,1827933.500000000000000,1823586.530000000027940,10980367.029999999329448
FS( 23 ),1877829.209999999962747,1760102.420000000158325,1913795.530000000027940,1940153.080000000074506,1808481.000000000000000,1846550.510000000009313,11146915.750000000000000
FS( 24 ),1883824.380000000121072,1766098.340000000083819,1925507.830000000074506,1969476.639999999664724,1788401.000000000000000,1846550.510000000009313,11179862.700000001117587
FS( 25 ),1877829.209999999962747,1760102.420000000158325,1896227.080000000074506,1999997.080000000074506,1768948.500000000000000,1846256.100000000093132,11149364.389999998733401
FS( 26 ),1890485.679999999934807,1792330.489999999990687,1902083.229999999748543,2001792.400000000139698,1757026.000000000000000,1824469.760000000009313,11168191.560000000521541
FS( 27 ),1902476.020000000018626,1821810.430000000167638,1923165.370000000111759,2004186.159999999916181,1778988.500000000000000,1838601.440000000176951,11269231.919999999925494
FS( 28 ),1897813.109999999869615,1819811.790000000037253,1940733.820000000065193,1994611.119999999646097,1770831.000000000000000,1823292.119999999878928,11247096.959999999031425
FS( 29 ),1866505.000000000000000,1788083.379999999888241,1873973.709999999962747,1914420.159999999683350,1740083.500000000000000,1777952.979999999981374,10961022.730000000447035
FS( 30 ),1855180.790000000037253,1800325.050000000046566,1897398.309999999823049,1922798.320000000065193,1758908.500000000000000,1773242.419999999925494,11007857.389999998733401
FS( 31 ),1856513.050000000046566,1796077.940000000176951,1883343.549999999813735,1916813.919999999925494,1767693.500000000000000,1763821.299999999813735,10984267.260000001639128
FS( 32 ),1861175.959999999962747,1793579.640000000130385,1877487.400000000139698,1909034.199999999720603,1768948.500000000000000,1762938.070000000065193,10973167.769999999552965
FS( 33 ),1869169.520000000018626,1829305.330000000074506,1905596.919999999925494,1935964.000000000000000,1770831.000000000000000,1790612.610000000102445,11101483.379999998956919
FS( 34 ),1859843.700000000186265,1830054.820000000065193,1885686.010000000242144,1947334.359999999869615,1770203.500000000000000,1770887.139999999897555,11064013.530000001192093
FS( 35 ),1841192.060000000055879,1823059.580000000074506,1877487.400000000139698,1902451.359999999869615,1767066.000000000000000,1745567.879999999888241,10956828.280000001192093
FS( 36 ),1841858.189999999944121,1825807.709999999962747,1864603.869999999878928,1891679.439999999711290,1785263.500000000000000,1733791.479999999981374,10943008.189999999478459
FS( 37 ),1851850.140000000130385,1832303.290000000037253,1885686.010000000242144,1885096.599999999860302,1787146.000000000000000,1751750.489999999990687,10993836.529999999329448
FS( 38 ),1853848.529999999795109,1816813.830000000074506,1852891.570000000065193,1857568.359999999869615,1753888.500000000000000,1735263.530000000027940,10870278.319999998435378
FS( 39 ),1845188.839999999850988,1828555.840000000083819,1872802.479999999981374,1912624.839999999850988,1725651.000000000000000,1734380.299999999813735,10919207.300000000745058
FS( 40 ),1837195.279999999795109,1827806.350000000093132,1862261.409999999916181,1906042.000000000000000,1703061.000000000000000,1721720.669999999925494,10858090.709999999031425
FS( 41 ),1870501.779999999795109,1848542.239999999990687,1884514.780000000027940,1937160.879999999655411,1714356.000000000000000,1760582.789999999804422,11015662.469999998807907
FS( 42 ),1850517.880000000121072,1817313.489999999990687,1857576.489999999990687,1909632.639999999897555,1706198.500000000000000,1737029.989999999990687,10878272.990000000223517
FS( 43 ),1861175.959999999962747,1825308.050000000046566,1863432.639999999897555,1898262.279999999795109,1686746.000000000000000,1740268.500000000000000,10875197.429999999701977
FS( 44 ),1909137.320000000065193,1862282.890000000130385,1906768.150000000139698,1950326.560000000055879,1737573.500000000000000,1793262.299999999813735,11159354.719999998807907
FS( 45 ),1911135.709999999962747,1874274.729999999981374,1920822.909999999683350,1966484.439999999711290,1775851.000000000000000,1797678.449999999953434,11246251.239999998360872
FS( 46 ),1917130.880000000121072,1876023.540000000037253,1927850.290000000037253,2029320.639999999664724,1775851.000000000000000,1805333.110000000102445,11331513.459999999031425
FS( 47 ),1919795.399999999906868,1893761.469999999972060,1912624.299999999813735,2021540.919999999925494,1787773.500000000000000,1782663.539999999804422,11318163.129999998956919
FS( 48 ),1926456.700000000186265,1900756.709999999962747,1939562.589999999850988,2025730.000000000000000,1799068.500000000000000,1788551.739999999990687,11380130.240000000223517
FS( 49 ),1941777.689999999944121,1858035.780000000260770,1964158.419999999925494,2035903.479999999981374,1802206.000000000000000,1797384.039999999804422,11399469.410000000149012
FS( 50 ),1949105.120000000111759,1874024.900000000139698,1989925.479999999748543,2064030.159999999916181,1817266.000000000000000,1801800.190000000176951,11496155.849999999627471
FS( 51 ),1933118.000000000000000,1863032.379999999888241,1987583.019999999785796,2077794.279999999795109,1823541.000000000000000,1795911.989999999990687,11480984.669999999925494
FS( 52 ),1918463.140000000130385,1847293.090000000083819,2000466.549999999813735,2071211.439999999711290,1833581.000000000000000,1796206.399999999906868,11467225.619999999180436
FS( 53 ),1912467.969999999972060,1866530.000000000000000,2022719.919999999925494,2050864.479999999981374,1832953.500000000000000,1795911.989999999990687,11481451.859999999403954
FS( 54 ),1915798.620000000111759,1868778.469999999972060,2011007.620000000111759,2049069.159999999916181,1827306.000000000000000,1795028.760000000009313,11466992.630000000819564
FS( 55 ),1917130.880000000121072,1856786.629999999888241,1998124.089999999850988,2042486.320000000065193,1832953.500000000000000,1789434.969999999972060,11436920.390000000596046
FS( 56 ),1931119.609999999869615,1876523.199999999953434,2022719.919999999925494,2090361.519999999785796,1834836.000000000000000,1812104.539999999804422,11567668.789999999105930
FS( 57 ),1935782.520000000018626,1886516.400000000139698,2007493.929999999934807,2110110.040000000037253,1864956.000000000000000,1811810.129999999888241,11616673.019999999552965
FS( 58 ),1939779.300000000046566,1877022.859999999869615,2016863.769999999785796,2135244.519999999552965,1869348.500000000000000,1809160.440000000176951,11647423.389999998733401
FS( 59 ),1927788.959999999962747,1864781.190000000176951,1995781.629999999888241,2120881.959999999962747,1851778.500000000000000,1800328.139999999897555,11561344.380000000819564
FS( 60 ),1952435.770000000018626,1876273.369999999878928,2037945.909999999683350,2138236.719999999739230,1905116.000000000000000,1817992.739999999990687,11728004.509999999776483
FS( 61 ),1951769.640000000130385,1867779.150000000139698,2011007.620000000111759,2115496.000000000000000,1904488.500000000000000,1816815.100000000093132,11667360.009999999776483
FS( 62 ),1968422.890000000130385,1864531.359999999869615,2041459.599999999860302,2096944.359999999869615,2121603.500000000000000,1827119.449999999953434,11920085.159999998286366
FS( 63 ),1957098.679999999934807,1860034.420000000158325,2037945.909999999683350,2106519.400000000372529,2110308.500000000000000,1813282.180000000167638,11885193.089999999850988
FS( 64 ),1949105.120000000111759,1861533.400000000139698,2011007.620000000111759,2101133.439999999478459,2102151.000000000000000,1819170.379999999888241,11844104.960000000894070
FS( 65 ),1969089.020000000018626,1871776.430000000167638,2012178.849999999860302,2120283.519999999552965,2113446.000000000000000,1841251.129999999888241,11928028.949999999254942
FS( 66 ),1961095.459999999962747,1872525.920000000158325,1979384.409999999683350,2067022.359999999869615,2077678.500000000000000,1830946.780000000027940,11788657.429999997839332
FS( 67 ),1987074.529999999795109,1894261.129999999888241,2018035.000000000000000,2098739.679999999701977,2132271.000000000000000,1862448.649999999906868,11992833.990000000223517
FS( 68 ),1990405.179999999934807,1883768.270000000251457,2013350.080000000074506,2037698.799999999580905,2135408.500000000000000,1875991.510000000009313,11936626.339999999850988
FS( 69 ),1979747.099999999860302,1895260.449999999953434,2035603.449999999953434,2055053.560000000055879,2125368.500000000000000,1879818.840000000083819,11970855.900000000372529
FS( 70 ),1979080.969999999972060,1901256.369999999878928,2044973.290000000037253,2055652.000000000000000,2132271.000000000000000,1895422.569999999832362,12008660.199999999254942
FS( 71 ),1983743.880000000121072,1888515.040000000037253,2035603.449999999953434,2073605.199999999720603,2117838.500000000000000,1900427.539999999804422,11999737.609999999403954
FS( 72 ),1985076.140000000130385,1888265.209999999962747,2047315.750000000000000,2095747.479999999981374,2136036.000000000000000,1904843.690000000176951,12057288.269999999552965
FS( 73 ),1996400.349999999860302,1892512.320000000065193,2076596.500000000000000,2113700.679999999701977,2183726.000000000000000,1914853.630000000121072,12177793.480000000447035
FS( 74 ),1995734.219999999972060,1924740.390000000130385,2068397.889999999897555,2141228.919999999925494,2164273.500000000000000,1922508.289999999804422,12216887.209999999031425
FS( 75 ),1996400.349999999860302,1935732.910000000149012,2078938.959999999962747,2153197.719999999739230,2169921.000000000000000,1919269.780000000027940,12253464.719999998807907
FS( 76 ),1998398.739999999990687,1931735.629999999888241,2084795.110000000102445,2169355.599999999627471,2159253.500000000000000,1951360.469999999972060,12294903.050000000745058
FS( 77 ),2009722.950000000186265,1923491.239999999990687,2036774.679999999934807,2112503.799999999813735,2110308.500000000000000,1917208.910000000149012,12110014.080000000074506
FS( 78 ),2037034.279999999795109,1933984.100000000093132,2068397.889999999897555,2198080.719999999739230,2135408.500000000000000,1943411.400000000139698,12316320.889999998733401
FS( 79 ),2047692.359999999869615,1959716.590000000083819,2064884.199999999953434,2183718.160000000149012,2139801.000000000000000,1952538.109999999869615,12348354.419999999925494
FS( 80 ),2052355.270000000018626,1962464.719999999972060,2049658.209999999962747,2229798.040000000037253,2137918.500000000000000,1953126.930000000167638,12385325.669999999925494
FS( 81 ),2032371.370000000111759,1966212.170000000158325,2063712.969999999972060,2247751.240000000223517,2161136.000000000000000,1949005.190000000176951,12420192.939999999478459
FS( 82 ),2039698.800000000046566,1967711.150000000139698,2048486.979999999748543,2248349.679999999701977,2142311.000000000000000,1958720.719999999972060,12405282.330000000074506
FS( 83 ),2038366.540000000037253,1935732.910000000149012,2023891.150000000139698,2150205.519999999552965,2130388.500000000000000,1933401.459999999962747,12211990.080000001937151
FS( 84 ),2039032.669999999925494,1935732.910000000149012,2057856.820000000065193,2169355.599999999627471,2142311.000000000000000,1949594.010000000009313,12293887.009999999776483
FS( 85 ),2042363.320000000065193,1942977.979999999981374,2040288.370000000111759,2157386.799999999813735,2125996.000000000000000,1957543.079999999841675,12266559.549999998882413
FS( 86 ),2055685.919999999925494,1945726.109999999869615,2063712.969999999972060,2160977.439999999478459,2136663.500000000000000,1971085.940000000176951,12333855.879999998956919
FS( 87 ),2060348.830000000074506,1958717.270000000251457,2043802.059999999823049,2214238.599999999627471,2164273.500000000000000,1997288.430000000167638,12438672.689999999478459
FS( 88 ),2063679.479999999981374,1961215.570000000065193,2060199.280000000027940,2193891.639999999664724,2207571.000000000000000,2001115.760000000009313,12487676.729999998584390
FS( 89 ),2080332.729999999981374,1978204.010000000242144,2035603.449999999953434,2202269.799999999813735,2255888.500000000000000,2042627.569999999832362,12594930.060000000521541
FS( 90 ),2084329.510000000009313,1981201.969999999972060,2012178.849999999860302,2205860.439999999478459,2205061.000000000000000,2060880.989999999990687,12549516.759999999776483
FS( 91 ),2080332.729999999981374,1981451.800000000046566,1996952.860000000102445,2221419.879999999888241,2201923.500000000000000,2070302.109999999869615,12552386.879999998956919
FS( 92 ),2086327.899999999906868,1976205.369999999878928,1989925.479999999748543,2213041.719999999739230,2211336.000000000000000,2079428.819999999832362,12556269.289999999105930
FS( 93 ),2083663.380000000121072,1986198.570000000065193,1971185.799999999813735,2223813.639999999664724,2203178.500000000000000,2094149.319999999832362,12562193.210000000894070
FS( 94 ),2091656.939999999944121,1991195.170000000158325,1988754.250000000000000,2242365.279999999329448,2209453.500000000000000,2114758.019999999552965,12638187.160000000149012
FS( 95 ),2095653.719999999972060,1969959.619999999878928,1973528.260000000242144,2194490.080000000074506,2185608.500000000000000,2090027.579999999841675,12509271.759999999776483
FS( 96 ),2096985.979999999981374,1975455.879999999888241,1961815.959999999962747,2122677.279999999329448,2165528.500000000000000,2075012.670000000158325,12397480.269999999552965
FS( 97 ),2067676.260000000009313,1934233.930000000167638,1944247.510000000242144,2095149.039999999804422,2134153.500000000000000,2029673.530000000027940,12205137.770000001415610
FS( 98 ),2082331.120000000111759,1957967.780000000260770,1930192.750000000000000,2114299.120000000111759,2134153.500000000000000,2031734.400000000139698,12250682.669999999925494
FS( 99 ),2126295.700000000186265,1974206.729999999981374,1971185.799999999813735,2132252.320000000298023,2159881.000000000000000,2070007.699999999953434,12433833.250000000000000
FS( 100 ),2142282.819999999366701,1989696.190000000176951,1967672.110000000102445,2154394.599999999627471,2181216.000000000000000,2076779.130000000121072,12512044.849999999627471
FS( 101 ),2140950.559999999590218,1986698.229999999981374,1947761.199999999953434,2181922.839999999850988,2189373.500000000000000,2066474.780000000027940,12513185.109999997541308
FS( 102 ),2118968.269999999552965,1973956.900000000139698,1940733.820000000065193,2157386.799999999813735,2132271.000000000000000,2030851.170000000158325,12354171.959999999031425
FS( 103 ),2152274.770000000484288,1985698.910000000149012,1954788.580000000074506,2165166.519999999552965,2152978.500000000000000,2057348.069999999832362,12468259.350000001490116
FS( 104 ),2135621.520000000484288,1962214.890000000130385,1931363.979999999748543,2147213.320000000298023,2113446.000000000000000,2038211.420000000158325,12328075.130000000819564
FS( 105 ),2111640.839999999850988,1955219.650000000139698,1939562.589999999850988,2189702.560000000521541,2183726.000000000000000,2044688.440000000176951,12424544.080000000074506
FS( 106 ),2104313.410000000149012,1956218.969999999972060,1909110.610000000102445,2185513.480000000447035,2186863.500000000000000,2047926.949999999953434,12389950.919999999925494
FS( 107 ),2154939.290000000037253,1980952.140000000130385,1955959.809999999823049,2254334.080000000074506,2238318.500000000000000,2100037.519999999552965,12684545.339999999850988
FS( 108 ),2161600.589999999850988,1983200.609999999869615,1954788.580000000074506,2277074.799999999813735,2265928.500000000000000,2104453.669999999925494,12747050.749999998137355
FS( 109 ),2148277.990000000223517,1992694.150000000139698,1958302.269999999785796,2263310.679999999701977,2312991.000000000000000,2095915.780000000027940,12771495.869999999180436
FS( 110 ),2131624.740000000223517,1988197.209999999962747,1968843.339999999850988,2231593.359999999403954,2280988.500000000000000,2099448.700000000186265,12700699.849999997764826
FS( 111 ),2136287.650000000372529,2007184.290000000037253,1964158.419999999925494,2200474.480000000447035,2272831.000000000000000,2103864.849999999627471,12684804.689999999478459
FS( 112 ),2144947.339999999850988,1967211.489999999990687,1958302.269999999785796,2204663.560000000521541,2288518.500000000000000,2115346.839999999850988,12678994.000000000000000
FS( 113 ),2159602.200000000186265,1938980.699999999953434,1962987.190000000176951,2193293.200000000186265,2282243.500000000000000,2119762.990000000223517,12656873.780000001192093
FS( 114 ),2153607.030000000260770,1937731.550000000046566,1993439.169999999925494,2194490.080000000074506,2286008.500000000000000,2125062.370000000111759,12690342.699999999254942
FS( 115 ),2159602.200000000186265,1926489.199999999953434,2013350.080000000074506,2208254.200000000186265,2286636.000000000000000,2130361.750000000000000,12724697.429999999701977
FS( 116 ),2128294.089999999850988,1926489.199999999953434,2003980.239999999990687,2184316.599999999627471,2306088.500000000000000,2125062.370000000111759,12674235.000000000000000
FS( 117 ),2156271.549999999813735,1923241.410000000149012,2000466.549999999813735,2121480.400000000372529,2329933.500000000000000,2115346.839999999850988,12646744.250000000000000
FS( 118 ),2176255.450000000186265,1916496.000000000000000,2016863.769999999785796,2131055.439999999478459,2366956.000000000000000,2126240.009999999776483,12733870.669999999925494
FS( 119 ),2188245.790000000037253,1918994.300000000046566,1994610.400000000139698,2097542.799999999813735,2358171.000000000000000,2124767.959999999962747,12682336.250000000000000
FS( 120 ),2175589.319999999366701,1921742.430000000167638,2011007.620000000111759,2105322.519999999552965,2339346.000000000000000,2126240.009999999776483,12679251.899999998509884
FS( 121 ),2180918.360000000335276,1920243.449999999953434,2035603.449999999953434,2114299.120000000111759,2311108.500000000000000,2140960.509999999776483,12703137.390000000596046
FS( 122 ),2184915.139999999664724,1923990.900000000139698,2056685.589999999850988,2144819.560000000521541,2437863.500000000000000,2143315.790000000037253,12891594.480000000447035
FS( 123 ),2184249.009999999776483,1922741.750000000000000,2062541.739999999990687,2140630.480000000447035,2459198.500000000000000,2155092.190000000409782,12924457.670000001788139
FS( 124 ),2166929.629999999888241,1909500.760000000242144,2048486.979999999748543,2126866.359999999403954,2444766.000000000000000,2149498.400000000372529,12846052.130000000819564
FS( 125 ),2176921.580000000074506,1909500.760000000242144,2060199.280000000027940,2137638.279999999329448,2476768.500000000000000,2161569.209999999962747,12922601.609999999403954
FS( 126 ),2180252.229999999515712,1923491.239999999990687,2061370.510000000242144,2149008.639999999664724,2477396.000000000000000,2160097.160000000149012,12951619.780000001192093
FS( 127 ),2181584.490000000223517,1917745.150000000139698,2048486.979999999748543,2150803.959999999962747,2462336.000000000000000,2159802.750000000000000,12920763.330000000074506
FS( 128 ),2190910.309999999590218,1917745.150000000139698,2050829.440000000176951,2160977.439999999478459,2444766.000000000000000,2152736.910000000149012,12917969.250000000000000
FS( 129 ),2172258.669999999925494,1913747.869999999878928,2070740.349999999860302,2222018.320000000298023,2467356.000000000000000,2194837.540000000037253,13040962.750000000000000
FS( 130 ),2127627.959999999962747,1856536.800000000046566,2107048.479999999981374,2242365.279999999329448,2488063.500000000000000,2205141.890000000596046,13026787.910000000149012
FS( 131 ),2114971.490000000223517,1865280.850000000093132,2121103.239999999757856,2249546.560000000521541,2522576.000000000000000,2199253.690000000409782,13072735.830000001937151
FS( 132 ),2099650.500000000000000,1854038.500000000000000,2129301.850000000093132,2296224.879999999888241,2530106.000000000000000,2213385.370000000111759,13122711.100000001490116
FS( 133 ),2095653.719999999972060,1858035.780000000260770,2148041.529999999795109,2301012.400000000372529,2515046.000000000000000,2225456.179999999701977,13143249.609999999403954
FS( 134 ),2100316.629999999888241,1837799.550000000046566,2138671.689999999944121,2301012.400000000372529,2569638.500000000000000,2211913.320000000298023,13159356.089999999850988
FS( 135 ),2088326.290000000037253,1846293.770000000251457,2133986.770000000018626,2338714.120000000111759,2562108.500000000000000,2228400.280000000260770,13197833.730000000447035
FS( 136 ),2099650.500000000000000,1838798.869999999878928,2151555.220000000204891,2325548.439999999478459,2585326.000000000000000,2254602.769999999552965,13255485.799999998882413
FS( 137 ),2111640.839999999850988,1815564.680000000167638,2133986.770000000018626,2369833.000000000000000,2612936.000000000000000,2258430.099999999627471,13302395.389999998733401
FS( 138 ),2102981.150000000372529,1850291.050000000046566,2148041.529999999795109,2439850.480000000447035,2600386.000000000000000,2291698.429999999701977,13433252.640000000596046
FS( 139 ),2114305.360000000335276,1865780.510000000242144,2152726.449999999720603,2446433.320000000298023,2633643.500000000000000,2317312.099999999627471,13530205.240000000223517
FS( 140 ),2112306.969999999739230,1882519.119999999878928,2145699.069999999832362,2427283.240000000223517,2590346.000000000000000,2303474.830000000074506,13461633.230000000447035
FS( 141 ),2096319.849999999860302,1877772.350000000093132,2136329.229999999981374,2412322.240000000223517,2611053.500000000000000,2289048.740000000223517,13422849.910000000149012
FS( 142 ),2090990.810000000055879,1874024.900000000139698,2150383.989999999757856,2418306.639999999664724,2616073.500000000000000,2325261.169999999925494,13475045.009999999776483
FS( 143 ),2106977.929999999701977,1883268.609999999869615,2160925.060000000055879,2382400.240000000223517,2603523.500000000000000,2313779.179999999701977,13450878.519999999552965
FS( 144 ),2096985.979999999981374,1885766.910000000149012,2163267.520000000018626,2430873.879999999888241,2587836.000000000000000,2316428.870000000111759,13481163.160000000149012
FS( 145 ),2096985.979999999981374,1878022.180000000167638,2150383.989999999757856,2408731.599999999627471,2590973.500000000000000,2345281.049999999813735,13470382.300000000745058
FS( 146 ),2088326.290000000037253,1857536.119999999878928,2164438.750000000000000,2530813.359999999403954,2577168.500000000000000,2351758.070000000298023,13570045.089999999850988
FS( 147 ),2072339.169999999925494,1830804.310000000055879,2125788.159999999683350,2449425.519999999552965,2532616.000000000000000,2325555.580000000074506,13336532.740000000223517
FS( 148 ),2093655.330000000074506,1840547.680000000167638,2133986.770000000018626,2456606.799999999813735,2537636.000000000000000,2375310.870000000111759,13437747.449999999254942
FS( 149 ),2100316.629999999888241,1835551.080000000074506,2251109.770000000018626,2517647.679999999701977,2649958.500000000000000,2470405.299999999813735,13824992.960000000894070
FS( 150 ),2093655.330000000074506,1839798.190000000176951,2220657.790000000037253,2510466.400000000372529,2633643.500000000000000,2455684.799999999813735,13753910.010000001639128
FS( 151 ),2084329.510000000009313,1844544.959999999962747,2245253.620000000111759,2575696.359999999403954,2654978.500000000000000,2456568.030000000260770,13861374.980000000447035
FS( 152 ),2083663.380000000121072,1850041.219999999972060,2260479.609999999869615,2542782.160000000149012,2658743.500000000000000,2451857.469999999739230,13847571.339999999850988
FS( 153 ),2082331.120000000111759,1835051.420000000158325,2230027.629999999888241,2502088.240000000223517,2654978.500000000000000,2470994.120000000111759,13775475.030000001192093
FS( 154 ),2094321.459999999962747,1882768.949999999953434,2244082.390000000130385,2511663.279999999329448,2684471.000000000000000,2443025.169999999925494,13860336.250000000000000
FS( 155 ),2103647.280000000260770,1897009.260000000242144,2231198.859999999869615,2517647.679999999701977,2676941.000000000000000,2430365.540000000037253,13856813.620000001043081
FS( 156 ),2116303.750000000000000,1892762.150000000139698,2228856.399999999906868,2539191.519999999552965,2671921.000000000000000,2449502.190000000409782,13898541.010000001639128
FS( 157 ),2117636.009999999776483,1902255.690000000176951,2205431.799999999813735,2536199.320000000298023,2671921.000000000000000,2438314.609999999403954,13871762.429999999701977
FS( 158 ),2102981.150000000372529,1904753.989999999990687,2231198.859999999869615,2540986.839999999850988,2646193.500000000000000,2499846.299999999813735,13925964.640000000596046
FS( 159 ),2104979.540000000037253,1902505.520000000251457,2231198.859999999869615,2515253.919999999925494,2656861.000000000000000,2442730.759999999776483,13853533.599999999627471
FS( 160 ),2111640.839999999850988,1899257.729999999981374,2258137.149999999906868,2543380.599999999627471,2647448.500000000000000,2463928.280000000260770,13923797.100000001490116
FS( 161 ),2150276.379999999888241,1898258.410000000149012,2268678.220000000204891,2548766.560000000521541,2673803.500000000000000,2469522.070000000298023,14009309.140000000596046
FS( 162 ),2150276.379999999888241,1902005.859999999869615,2247596.080000000074506,2563727.560000000521541,2681961.000000000000000,2487775.490000000223517,14033346.370000001043081
FS( 163 ),2123631.179999999701977,1891263.170000000158325,2212459.180000000167638,2570908.839999999850988,2646821.000000000000000,2515450.030000000260770,13960537.399999998509884
FS( 164 ),2128960.219999999739230,1878521.840000000083819,2197233.189999999944121,2567916.639999999664724,2587208.500000000000000,2563438.859999999403954,13923283.250000000000000
FS( 165 ),2127627.959999999962747,1879021.500000000000000,2213630.409999999683350,2558341.599999999627471,2592856.000000000000000,2531053.759999999776483,13902535.229999998584390
FS( 166 ),2142282.819999999366701,1859784.590000000083819,2208945.489999999757856,2544577.480000000447035,2633643.500000000000000,2512505.929999999701977,13901743.809999998658895
