代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11536553.830000000074506
真實報酬,1536553.830000000074506

夏普值報酬,0.144955383000000
夏普值風險,0.050623900038049
夏普值,2.863378421872901

二次趨勢線,687.233648428742526 x^2 + -17534.171847680001520 x + 10000000.000000000000000
二次加權預期報酬,40651.610385953536024
風險,103558.404631439509103
二次加權趨勢值,0.392547669410620
一次趨勢線,15193.301425524941806 x + 10000000.000000000000000
一次預期報酬,15193.301425524941806
一次風險,327755.168194908299483
一次趨勢值,0.046355642564543
找到最佳解世代,1763
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](5),GS[8](1),MSFT[18](9),
FS( 36 ),3369589.669999999925494,3455183.959999999962747,3453144.599999999627471,10277919.230000000447035
FS( 37 ),3348301.350000000093132,3464085.410000000614673,3530703.799999999813735,10343091.560000000521541
FS( 38 ),3351960.279999999795109,3472591.240000000689179,3530125.000000000000000,10354677.519999999552965
FS( 39 ),3365930.739999999757856,3502658.360000000335276,3509288.200000000186265,10377878.300000000745058
FS( 40 ),3323686.729999999981374,3516109.440000000409782,3478611.799999999813735,10318408.969999998807907
FS( 41 ),3453412.429999999701977,3504043.030000000260770,3465299.399999999441206,10422755.859999999403954
FS( 42 ),3484347.020000000018626,3525802.130000000819564,3468193.399999999906868,10478343.550000000745058
FS( 43 ),3541892.010000000242144,3522241.550000000279397,3461247.799999999813735,10525382.359999999403954
FS( 44 ),3505635.339999999850988,3492965.670000000856817,3439832.199999999720603,10438434.210000000894070
FS( 45 ),3505635.339999999850988,3485646.700000000651926,3427098.600000000093132,10418381.640000000596046
FS( 46 ),3485344.910000000149012,3479910.209999999962747,3398158.600000000093132,10363414.720000000670552
FS( 47 ),3554199.319999999832362,3589892.570000000298023,3497133.399999999906868,10641226.290000000968575
FS( 48 ),3568835.040000000037253,3598596.209999999962747,3500027.399999999906868,10667459.650000000372529
FS( 49 ),3580477.089999999850988,3810450.720000000204891,3482663.399999999906868,10873592.210000000894070
FS( 50 ),3585466.540000000037253,3973446.160000000614673,3397579.799999999813735,10956493.500000000000000
FS( 51 ),3547214.089999999850988,4034173.830000000540167,3416101.399999999906868,10997490.320000000298023
FS( 52 ),3545550.939999999944121,4137826.270000000484288,3364009.399999999441206,11047387.609999999403954
FS( 53 ),3624384.250000000000000,4177586.080000000540167,3407419.399999999441206,11209390.730000000447035
FS( 54 ),3604093.819999999832362,4080065.750000000000000,3452565.799999999813735,11136726.370000001043081
FS( 55 ),3596443.330000000074506,4146727.720000000204891,3509867.000000000000000,11253039.050000000745058
FS( 56 ),3632367.370000000111759,4160970.040000000502914,3493081.799999999813735,11286420.210000000894070
FS( 57 ),3664965.110000000335276,4175410.170000000856817,3522600.599999999627471,11362976.880000000819564
FS( 58 ),3679600.830000000074506,4176003.600000000558794,3537649.399999999441206,11393254.830000000074506
FS( 59 ),3692240.770000000018626,4199740.800000000745058,3495975.799999999813735,11387958.370000001043081
FS( 60 ),3692240.770000000018626,4181344.470000000204891,3503500.199999999720603,11377086.439999999478459
FS( 61 ),3675609.270000000018626,4160970.040000000502914,3508130.599999999627471,11344710.910000000149012
FS( 62 ),3637024.189999999944121,4188663.440000000409782,3535913.000000000000000,11361601.630000000819564
FS( 63 ),3710868.050000000279397,4337812.180000000633299,3487872.599999999627471,11536553.830000000074506
