代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10967202.080000000074506
真實報酬,967202.080000000074506

夏普值報酬,0.088020208000000
夏普值風險,0.033416335405807
夏普值,2.634047298457060

二次趨勢線,-260.454352793456508 x^2 + 34661.985957161086844 x + 10000000.000000000000000
二次加權預期報酬,12957.456557706384046
風險,112011.132811731775291
二次加權趨勢值,0.115680077796243
一次趨勢線,22453.969533026109275 x + 10000000.000000000000000
一次預期報酬,22453.969533026109275
一次風險,159945.809383168176282
一次趨勢值,0.140384856718785
找到最佳解世代,1581
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](2),NKE[19](1),WBA[27](3),
FS( 23 ),3473852.040000000502914,3570493.020000000018626,3703202.790000000037253,10747548.850000001490116
FS( 24 ),3416092.680000000167638,3514648.000000000000000,3665370.139999999664724,10596111.820000000298023
FS( 25 ),3465015.720000000204891,3533504.759999999776483,3716555.489999999757856,10715076.970000000670552
FS( 26 ),3401221.800000000279397,3500142.799999999813735,3681838.469999999739230,10583204.070000000298023
FS( 27 ),3379454.280000000260770,3457352.459999999962747,3672491.580000000074506,10509299.320000000298023
FS( 28 ),3404885.640000000130385,3518999.560000000055879,3749937.239999999757856,10673823.439999999478459
FS( 29 ),3325143.240000000223517,3474758.699999999720603,3726347.469999999739230,10526250.410000000149012
FS( 30 ),3385488.840000000316650,3497241.759999999776483,3862099.919999999459833,10744831.519999999552965
FS( 31 ),3382902.600000000558794,3500868.060000000055879,3839400.330000000074506,10723171.990000000223517
FS( 32 ),3444325.800000000279397,3536405.799999999813735,3880348.609999999869615,10861081.209999999031425
FS( 33 ),3444325.800000000279397,3565416.199999999720603,3888360.229999999515712,10898103.230000000447035
FS( 34 ),3510490.439999999944121,3698138.780000000260770,3927083.060000000055879,11135713.280000001192093
FS( 35 ),3548206.439999999944121,3679282.020000000018626,3913285.270000000018626,11140774.730000000447035
FS( 36 ),3513076.680000000167638,3650271.620000000111759,3916845.989999999757856,11080195.290000000968575
FS( 37 ),3431179.080000000074506,3590075.040000000037253,3822486.909999999683350,10843742.029999999329448
FS( 38 ),3461136.360000000335276,3602404.459999999962747,3758393.949999999720603,10821935.769999999552965
FS( 39 ),3457041.480000000447035,3621986.479999999981374,3796226.600000000093132,10875255.560000000521541
FS( 40 ),3505964.520000000018626,3658974.740000000223517,3827382.899999999441206,10992323.160000000149012
FS( 41 ),3459196.680000000167638,3638667.459999999962747,3769076.109999999869615,10866941.250000000000000
FS( 42 ),3430748.040000000502914,3610382.320000000298023,3750382.330000000074506,10791513.690000001341105
FS( 43 ),3458119.080000000074506,3614008.620000000111759,3826492.719999999739230,10898621.419999999925494
FS( 44 ),3492386.759999999776483,3616909.659999999683350,3917291.080000000074506,11026588.500000000000000
FS( 45 ),3493033.319999999832362,3612558.100000000093132,3884799.509999999776483,10990391.929999999701977
FS( 46 ),3488291.879999999888241,3656798.959999999962747,3902603.109999999869615,11047694.949999999254942
FS( 47 ),3498852.360000000335276,3652447.399999999906868,4122477.569999999832362,11273778.330000000074506
FS( 48 ),3510059.400000000372529,3625612.780000000260770,4095772.169999999459833,11231445.349999999627471
FS( 49 ),3499714.439999999944121,3600228.680000000167638,4081974.379999999422580,11181918.500000000000000
FS( 50 ),3497990.280000000260770,3609657.060000000055879,4093991.810000000055879,11201640.150000000372529
FS( 51 ),3537430.439999999944121,3620535.959999999962747,4074407.850000000093132,11232375.250000000000000
FS( 52 ),3515878.439999999944121,3622711.740000000223517,3984499.669999999459833,11123090.849999999627471
FS( 53 ),3462860.520000000018626,3574119.320000000298023,3870556.629999999422580,10907537.469999998807907
FS( 54 ),3581181.000000000000000,3626338.040000000037253,3877678.069999999832362,11085198.109999999403954
FS( 55 ),3540232.200000000186265,3637216.939999999944121,3876342.799999999813735,11053792.940000001341105
FS( 56 ),3563939.400000000372529,3632140.120000000111759,3873227.169999999459833,11069307.689999999478459
FS( 57 ),3669113.160000000149012,3666952.600000000093132,3858539.199999999720603,11194605.959999999031425
FS( 58 ),3659199.240000000223517,3661150.520000000018626,3826937.810000000055879,11147288.570000000298023
FS( 59 ),3679673.640000000130385,3660425.259999999776483,3833169.069999999832362,11173268.970000000670552
FS( 60 ),3748424.520000000018626,3621261.220000000204891,3831388.709999999497086,11201075.449999999254942
FS( 61 ),3758769.480000000447035,3632865.380000000353903,3764180.119999999646097,11155815.980000000447035
FS( 62 ),3691742.759999999776483,3584272.959999999962747,3691185.359999999869615,10967202.080000000074506
