代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10426275.009999997913837
真實報酬,426275.009999997913837

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21427.482941709444276
風險,16584.299045791056415
起點值,1.292034283905870
找到最佳解世代,1915
找到最佳解實驗#,2
找到最佳解次數,9

stock[index](rank)
投資組合檔數,9
CAT[3](7),DIS[6](16),JNJ[12](1),JPM[13](5),MCD[15](6),MRK[17](11),V[25](20),WBA[27](9),WMT[28](24),
FS( 8 ),1131193.270000000018626,1099804.639999999897555,1134793.839999999850988,1147931.920000000158325,1130960.690000000176951,1161908.529999999795109,1152295.000000000000000,1141471.719999999972060,1101322.329999999841675,10201682.940000001341105
FS( 9 ),1124538.790000000037253,1100022.070000000065193,1138087.479999999981374,1141463.380000000121072,1128494.890000000130385,1164865.000000000000000,1148577.000000000000000,1139720.139999999897555,1096026.819999999832362,10181796.570000002160668
FS( 10 ),1136897.110000000102445,1110893.570000000065193,1135107.520000000018626,1153156.510000000242144,1128248.310000000055879,1152232.809999999823049,1147147.000000000000000,1147310.319999999832362,1106938.780000000027940,10217932.929999999701977
FS( 11 ),1131193.270000000018626,1120460.489999999990687,1138401.159999999916181,1164849.640000000130385,1123193.419999999925494,1143363.399999999906868,1145431.000000000000000,1149937.689999999944121,1110629.589999999850988,10227460.660000000149012
FS( 12 ),1137253.600000000093132,1139594.329999999841675,1143420.040000000037253,1155395.620000000111759,1131330.560000000055879,1149007.569999999832362,1143143.000000000000000,1149061.899999999906868,1104852.669999999925494,10253060.290000000968575
FS( 13 ),1160068.959999999962747,1138072.320000000065193,1148595.760000000009313,1155893.200000000186265,1137495.060000000055879,1155189.279999999795109,1131703.000000000000000,1144682.949999999953434,1110469.120000000111759,10282170.649999998509884
FS( 14 ),1161257.260000000009313,1146552.089999999850988,1140126.399999999906868,1157883.520000000018626,1146002.070000000065193,1161102.219999999972060,1137137.000000000000000,1152856.989999999990687,1116566.979999999981374,10319485.529999999329448
FS( 15 ),1150919.050000000046566,1173078.550000000046566,1142635.839999999850988,1150171.030000000027940,1152536.440000000176951,1150888.959999999729916,1137137.000000000000000,1153732.780000000027940,1115122.750000000000000,10326223.400000000372529
FS( 16 ),1147948.300000000046566,1173078.550000000046566,1146556.839999999850988,1153654.090000000083819,1150440.510000000009313,1155726.819999999832362,1140855.000000000000000,1151397.339999999850988,1119936.850000000093132,10339595.299999998882413
FS( 17 ),1135827.639999999897555,1182428.040000000037253,1159417.719999999972060,1173308.500000000000000,1155495.399999999906868,1168090.239999999757856,1142857.000000000000000,1158111.729999999981374,1107259.719999999972060,10382796.990000000223517
FS( 18 ),1158048.850000000093132,1181993.179999999934807,1154712.520000000018626,1160371.420000000158325,1163385.959999999962747,1153845.429999999934807,1117975.000000000000000,1170664.719999999972060,1112876.169999999925494,10373874.250000000000000
FS( 19 ),1171714.300000000046566,1173948.270000000018626,1167102.879999999888241,1172313.340000000083819,1170290.199999999953434,1173465.639999999664724,1120263.000000000000000,1169497.000000000000000,1121541.550000000046566,10440137.179999999701977
FS( 20 ),1172308.449999999953434,1169599.669999999925494,1162084.000000000000000,1172562.130000000121072,1167207.949999999953434,1169165.319999999832362,1108251.000000000000000,1163950.329999999841675,1119294.969999999972060,10404424.820000000298023
FS( 21 ),1169218.870000000111759,1171556.540000000037253,1159417.719999999972060,1170571.810000000055879,1174851.930000000167638,1162446.069999999832362,1129129.000000000000000,1166577.699999999953434,1122504.370000000111759,10426275.009999997913837
