訓練日期,20121114 - 20130219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12314264.929999999701977
真實報酬,2314264.929999999701977

夏普值報酬,0.222726493000000
夏普值風險,0.059380458808156
夏普值,3.750838196107174

預期報酬,35704.723532803058333
風險,76389.823589056089986
趨勢值,0.467401570723332
找到最佳解世代,2037
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
CSCO[4](14),GS[8](12),JNJ[12](16),JPM[13](1),MMM[16](5),NKE[19](7),WBA[27](2),
20121123,1597285.189999999944121,1475668.600000000093132,1429598.600000000093132,1466032.900000000139698,1447814.200000000186265,1511023.479999999981374,1452716.550000000046566,10380142.520000001415610
20121126,1615937.009999999776483,1483395.549999999813735,1419939.160000000149012,1458540.520000000251457,1444767.360000000102445,1525390.199999999953434,1451838.530000000027940,10399811.330000000074506
20121127,1607458.909999999916181,1452365.099999999860302,1414184.600000000093132,1453902.380000000121072,1448295.280000000260770,1514771.319999999832362,1450082.489999999990687,10341063.080000000074506
20121128,1596437.379999999655411,1463648.899999999906868,1424049.560000000055879,1456756.620000000111759,1458237.600000000325963,1547877.239999999990687,1462813.780000000027940,10409824.080000000074506
20121129,1611697.959999999962747,1456289.899999999906868,1422610.919999999925494,1470671.040000000037253,1453747.520000000251457,1545378.679999999701977,1481691.209999999962747,10442090.230000000447035
20121130,1603219.859999999869615,1444760.800000000046566,1433092.440000000176951,1465676.120000000111759,1458558.320000000065193,1522267.000000000000000,1488715.369999999878928,10416292.910000000149012
20121203,1613393.580000000074506,1452242.449999999953434,1431448.280000000027940,1456043.060000000288710,1448134.920000000158325,1523516.279999999795109,1504958.739999999990687,10429740.310000000521541
20121204,1625262.920000000158325,1429920.149999999906868,1435764.199999999953434,1447480.340000000083819,1445248.440000000176951,1525390.199999999953434,1504519.730000000214204,10413588.980000000447035
20121205,1628654.159999999916181,1436665.899999999906868,1438024.919999999925494,1469957.480000000214204,1455511.480000000214204,1525390.199999999953434,1561591.030000000027940,10515798.169999999925494
20121206,1651545.030000000027940,1437524.449999999953434,1439669.079999999841675,1479590.540000000037253,1458558.320000000065193,1537258.359999999869615,1573883.310000000055879,10578032.089999999850988
20121207,1639675.689999999944121,1429797.499999999767169,1447889.880000000121072,1518479.560000000288710,1467538.480000000214204,1539756.919999999692664,1584858.560000000055879,10627999.589999999850988
20121210,1677827.139999999897555,1435194.100000000093132,1450972.679999999934807,1509560.060000000288710,1473311.440000000176951,1531636.599999999860302,1595833.810000000055879,10674338.830000001937151
20121211,1676979.330000000074506,1457884.349999999860302,1461248.679999999934807,1521333.800000000046566,1502336.600000000325963,1552249.719999999972060,1609004.109999999869615,10781039.589999999850988
20121212,1672740.280000000027940,1448440.300000000046566,1458371.399999999906868,1525971.940000000176951,1493356.440000000176951,1549126.519999999785796,1609882.130000000121072,10757892.010000001639128
20121213,1673588.089999999850988,1453468.949999999953434,1454055.479999999981374,1526328.720000000204891,1483414.120000000111759,1519768.439999999711290,1602857.969999999972060,10713484.770000001415610
20121214,1683761.809999999823049,1464016.849999999860302,1452822.359999999869615,1527399.060000000288710,1479886.200000000186265,1513522.039999999804422,1613833.219999999972060,10735244.540000000968575
20121217,1704957.059999999823049,1514671.299999999813735,1457960.359999999869615,1551303.320000000065193,1491913.200000000186265,1530387.319999999832362,1630515.600000000093132,10881711.159999998286366
20121218,1727847.929999999934807,1567165.500000000000000,1458165.880000000121072,1565217.739999999990687,1505062.719999999972060,1544754.039999999804422,1648515.009999999776483,11016731.819999998435378
20121219,1718522.019999999785796,1560787.699999999953434,1451589.239999999990687,1553087.220000000204891,1491752.840000000083819,1527264.119999999878928,1634905.699999999953434,10937911.839999997988343
20121220,1715978.589999999850988,1591082.250000000000000,1454055.479999999981374,1588765.220000000204891,1509552.800000000046566,1546003.319999999832362,1648515.009999999776483,11053955.669999999925494
20121221,1692239.909999999916181,1575383.049999999813735,1444190.519999999785796,1569855.880000000121072,1493035.719999999972060,1641573.239999999990687,1594077.770000000018626,11010359.089999997988343
20121224,1681218.379999999655411,1564344.550000000046566,1439052.519999999785796,1567001.640000000130385,1494478.959999999962747,1649068.919999999692664,1601101.929999999934807,10996269.899999998509884
20121226,1688848.670000000158325,1559683.849999999860302,1442135.320000000065193,1568428.760000000242144,1492554.639999999897555,1603470.199999999953434,1609443.119999999878928,10964567.559999998658895
20121227,1665957.799999999813735,1553674.000000000000000,1440491.160000000149012,1556655.020000000251457,1485659.160000000149012,1616587.639999999664724,1603735.989999999990687,10922763.770000001415610
20121228,1649001.599999999860302,1539569.250000000000000,1427954.440000000176951,1542740.600000000093132,1471868.200000000186265,1592851.319999999832362,1604175.000000000000000,10828163.410000000149012
20121231,1665957.799999999813735,1564589.850000000093132,1440696.679999999934807,1568785.540000000037253,1489026.719999999972060,1611590.519999999785796,1624808.469999999972060,10965458.580000000074506
20130102,1724456.689999999944121,1614876.349999999860302,1455905.160000000149012,1593403.360000000102445,1519976.200000000186265,1619086.199999999953434,1670904.520000000018626,11198611.480000000447035
20130103,1733782.599999999860302,1606045.549999999813735,1453849.959999999962747,1590192.340000000083819,1518212.240000000223517,1635951.479999999981374,1659051.250000000000000,11197088.419999999925494
20130104,1736326.030000000027940,1649831.599999999860302,1470497.079999999841675,1618377.960000000195578,1529437.440000000176951,1651567.479999999981374,1632271.639999999897555,11288312.230000000447035
20130107,1720217.639999999897555,1646765.349999999860302,1467414.280000000027940,1620161.860000000102445,1531361.760000000009313,1654066.039999999804422,1669587.489999999990687,11309577.419999999925494
20130108,1721913.259999999776483,1631924.700000000186265,1467619.799999999813735,1623372.880000000121072,1531522.120000000111759,1636576.119999999878928,1675733.630000000121072,11288665.509999999776483
20130109,1721065.449999999953434,1647501.249999999767169,1474196.440000000176951,1622302.540000000037253,1546114.880000000121072,1638450.039999999804422,1688025.910000000149012,11337659.509999999776483
20130110,1732934.790000000037253,1684909.500000000000000,1483650.359999999869615,1646563.580000000074506,1553812.160000000149012,1641573.239999999990687,1693294.030000000027940,11436740.660000000149012
20130111,1736326.030000000027940,1681965.899999999906868,1486938.679999999934807,1646206.800000000046566,1544030.200000000186265,1658438.519999999785796,1716561.560000000055879,11470470.689999999478459
20130114,1777868.719999999739230,1669700.899999999906868,1491254.600000000093132,1636930.520000000251457,1556859.000000000000000,1661561.719999999972060,1713927.500000000000000,11508105.960000000894070
20130115,1778716.530000000027940,1663077.800000000046566,1487349.719999999972060,1653699.180000000167638,1560226.560000000288710,1675303.799999999813735,1725341.759999999776483,11543718.349999999627471
20130116,1782955.580000000074506,1730535.300000000046566,1491665.639999999897555,1670467.840000000083819,1565197.719999999972060,1678427.000000000000000,1729292.850000000093132,11648544.929999997839332
20130117,1776173.099999999860302,1729554.099999999860302,1498242.280000000027940,1656910.199999999953434,1572895.000000000000000,1670306.679999999701977,1727975.819999999832362,11632060.179999999701977
20130118,1782107.769999999785796,1771745.699999999720603,1505024.440000000176951,1657623.760000000242144,1583478.760000000009313,1664684.919999999692664,1721390.669999999925494,11686059.019999999552965
20130122,1769390.619999999878928,1790143.199999999720603,1493926.359999999869615,1660478.000000000000000,1592940.000000000000000,1670306.679999999701977,1733682.949999999953434,11710870.809999998658895
20130123,1748195.369999999878928,1785359.850000000093132,1497214.679999999934807,1649417.820000000065193,1595505.760000000009313,1658438.519999999785796,1734999.980000000214204,11669134.980000000447035
20130124,1782107.769999999785796,1778000.850000000093132,1502352.679999999934807,1654412.739999999990687,1598392.240000000223517,1682174.839999999850988,1731487.899999999906868,11728932.020000001415610
20130125,1793129.299999999813735,1771868.350000000093132,1519205.320000000065193,1682598.360000000102445,1613145.360000000102445,1735269.239999999990687,1741585.130000000121072,11856804.060000000521541
20130128,1785499.009999999776483,1768066.199999999953434,1513039.719999999972060,1664045.800000000046566,1614107.520000000251457,1702163.319999999832362,1760462.560000000055879,11807387.130000000819564
20130129,1761760.330000000074506,1804247.949999999953434,1529275.799999999813735,1681171.239999999990687,1632709.280000000260770,1684048.759999999776483,1758706.520000000018626,11851922.880000000819564
20130130,1744804.129999999655411,1804861.199999999953434,1522699.160000000149012,1681528.020000000251457,1616512.920000000158325,1674679.159999999683350,1750365.329999999841675,11795452.919999999925494
20130131,1743956.319999999832362,1813569.350000000093132,1519205.320000000065193,1678673.780000000027940,1612503.920000000158325,1688421.239999999990687,1754316.419999999925494,11810649.349999999627471
20130201,1765999.379999999655411,1838589.949999999953434,1524548.840000000083819,1707216.180000000167638,1628700.280000000260770,1677177.719999999972060,1769681.770000000018626,11911917.119999999180436
20130204,1765151.569999999832362,1809399.250000000000000,1523110.199999999953434,1701150.920000000158325,1616031.840000000083819,1675928.439999999711290,1756511.469999999972060,11847286.689999999478459
20130205,1787194.629999999655411,1845335.699999999720603,1534413.799999999813735,1740753.500000000000000,1627577.760000000009313,1683424.119999999878928,1814460.789999999804422,12033163.299999997019768
20130206,1796520.540000000037253,1853553.250000000000000,1549416.760000000009313,1734331.460000000195578,1646820.959999999962747,1691544.439999999711290,1819289.899999999906868,12091480.309999998658895
20130207,1788890.250000000000000,1843005.349999999860302,1542634.600000000093132,1720773.820000000065193,1639284.040000000037253,1707785.079999999841675,1813582.770000000018626,12055958.909999998286366
20130208,1793977.109999999869615,1859440.449999999953434,1551266.440000000176951,1735045.020000000251457,1646339.880000000121072,1705286.519999999785796,1817533.859999999869615,12108892.279999999329448
20130211,1803303.019999999785796,1867290.050000000046566,1549827.799999999813735,1736115.360000000102445,1645698.440000000176951,1724650.359999999869615,1821045.939999999711290,12147933.969999998807907
20130212,1777868.719999999739230,1890225.600000000093132,1557843.079999999841675,1753240.800000000046566,1659168.679999999934807,1720902.519999999785796,1841679.410000000149012,12200931.809999998658895
20130213,1792281.489999999990687,1895254.250000000000000,1554965.799999999813735,1736828.920000000158325,1649547.080000000074506,1704037.239999999990687,1821045.939999999711290,12153963.719999998807907
20130214,1779564.339999999850988,1912547.900000000139698,1558048.600000000093132,1756095.040000000037253,1648264.200000000186265,1705911.159999999683350,1837728.319999999832362,12198162.560000000521541
20130215,1779564.339999999850988,1901018.800000000046566,1565241.799999999813735,1743964.520000000251457,1655480.400000000139698,1716530.039999999804422,1806558.609999999869615,12168361.509999997913837
20130219,1819411.409999999916181,1945908.699999999953434,1581683.399999999906868,1764300.980000000214204,1670714.600000000325963,1701538.679999999701977,1830704.160000000149012,12314264.929999999701977
