代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14522920.219999998807907
真實報酬,4522920.219999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17084.953605346865515
風險,181754.966602021246217
起點值,0.093999927070806
找到最佳解世代,1502
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
BA[2](4),MMM[16](1),MRK[17](15),NKE[19](3),UNH[23](10),UTX[24](2),
FS( 33 ),1614333.500000000465661,1831955.600000000093132,1702144.079999999841675,1751542.000000000000000,1731448.959999999729916,1805949.819999999832362,10437377.960000000894070
FS( 34 ),1617144.750000000232831,1813844.080000000074506,1719883.119999999646097,1736753.000000000000000,1687139.859999999869615,1788886.559999999823049,10363655.369999999180436
FS( 35 ),1643743.500000000232831,1806282.959999999962747,1713432.559999999823049,1753471.000000000000000,1688056.600000000093132,1774005.809999999823049,10378996.429999999701977
FS( 36 ),1657799.750000000232831,1820701.840000000083819,1732381.079999999841675,1751542.000000000000000,1664526.939999999944121,1795434.089999999850988,10422389.699999999254942
FS( 37 ),1622551.000000000232831,1789226.479999999981374,1714238.879999999888241,1737396.000000000000000,1628774.079999999841675,1753371.170000000158325,10245561.609999999403954
FS( 38 ),1635958.500000000465661,1799073.520000000018626,1710207.279999999795109,1745112.000000000000000,1621134.579999999841675,1769839.199999999953434,10281329.080000000074506
FS( 39 ),1672937.250000000232831,1821229.359999999869615,1732381.079999999841675,1747041.000000000000000,1646192.139999999897555,1797021.369999999878928,10416806.199999999254942
FS( 40 ),1662989.750000000465661,1828790.479999999981374,1722705.239999999757856,1750899.000000000000000,1633357.780000000027940,1796624.550000000046566,10395370.800000000745058
FS( 41 ),1671207.250000000232831,1824746.159999999916181,1718673.639999999897555,1762473.000000000000000,1635496.840000000083819,1788291.329999999841675,10400892.220000000670552
FS( 42 ),1667098.500000000232831,1816130.000000000000000,1747298.000000000000000,1759901.000000000000000,1629385.239999999990687,1768450.329999999841675,10388267.070000000298023
FS( 43 ),1701049.750000000232831,1836703.280000000027940,1743669.559999999823049,1765045.000000000000000,1634885.679999999934807,1805949.819999999832362,10487307.089999999850988
FS( 44 ),1710132.250000000232831,1840395.919999999925494,1761005.439999999711290,1777905.000000000000000,1638247.059999999823049,1806941.869999999878928,10534631.539999999105930
FS( 45 ),1752733.500000000232831,1838285.840000000083819,1744475.879999999888241,1775333.000000000000000,1644053.079999999841675,1819640.109999999869615,10574525.410000000149012
FS( 46 ),1756626.000000000232831,1858859.119999999878928,1732381.079999999841675,1758615.000000000000000,1644358.659999999916181,1826782.869999999878928,10577626.729999998584390
FS( 47 ),1793604.750000000232831,1860617.520000000018626,1760199.119999999646097,1753471.000000000000000,1656581.859999999869615,1843449.309999999823049,10667927.560000000521541
FS( 48 ),1819987.250000000232831,1848660.399999999906868,1815835.199999999720603,1720035.000000000000000,1675527.819999999832362,1848012.739999999990687,10728062.410000000149012
FS( 49 ),1832746.000000000232831,1847957.040000000037253,1797693.000000000000000,1763759.000000000000000,1664832.519999999785796,1846822.280000000027940,10753813.839999999850988
FS( 50 ),1829934.750000000232831,1864310.159999999916181,1784791.879999999888241,1758615.000000000000000,1672472.019999999785796,1854163.449999999953434,10764291.259999999776483
FS( 51 ),1869076.000000000465661,1870992.080000000074506,1777535.000000000000000,1761187.000000000000000,1672472.019999999785796,1850790.479999999981374,10802056.580000000074506
FS( 52 ),1842044.750000000465661,1853583.919999999925494,1758989.639999999897555,1741254.000000000000000,1680722.679999999934807,1840671.569999999832362,10717270.560000000521541
FS( 53 ),1849181.000000000232831,1849539.600000000093132,1761811.760000000009313,1730966.000000000000000,1685917.540000000037253,1847417.510000000009313,10724837.410000000149012
FS( 54 ),1846153.500000000232831,1857979.919999999925494,1778744.479999999748543,1763116.000000000000000,1677055.719999999972060,1854163.449999999953434,10777217.069999998435378
FS( 55 ),1823663.500000000232831,1845319.439999999944121,1765440.199999999720603,1723250.000000000000000,1682556.159999999916181,1833925.630000000121072,10674158.930000001564622
FS( 56 ),1834259.750000000000000,1871343.760000000009313,1769874.959999999729916,1914221.000000000000000,1664221.359999999869615,1856941.190000000176951,10910866.019999999552965
FS( 57 ),1834908.500000000000000,1849363.760000000009313,1761408.599999999627471,1914864.000000000000000,1676444.559999999823049,1841266.800000000046566,10878260.220000000670552
FS( 58 ),1873184.750000000232831,1865189.359999999869615,1789629.799999999813735,1912292.000000000000000,1700585.379999999888241,1838290.650000000139698,10979175.939999999478459
FS( 59 ),1864102.250000000232831,1851473.840000000083819,1777938.159999999916181,1879499.000000000000000,1730226.639999999897555,1837497.010000000009313,10940740.900000000372529
FS( 60 ),1856533.500000000000000,1869409.520000000018626,1781969.760000000009313,1897503.000000000000000,1748255.859999999869615,1853766.630000000121072,11007442.270000001415610
FS( 61 ),1843558.500000000232831,1857804.080000000074506,1788017.159999999916181,1873069.000000000000000,1802037.939999999944121,1843647.719999999972060,11008138.400000000372529
FS( 62 ),1818473.500000000232831,1873102.159999999916181,1810594.119999999646097,1893645.000000000000000,1886683.600000000093132,1845036.589999999850988,11127538.969999998807907
FS( 63 ),1824312.250000000232831,1858331.600000000093132,1828736.319999999832362,1894288.000000000000000,1884544.540000000037253,1849203.199999999953434,11139419.910000000149012
FS( 64 ),1837071.000000000232831,1860793.359999999869615,1827123.679999999934807,1907791.000000000000000,1895545.419999999925494,1848409.559999999823049,11176738.020000001415610
FS( 65 ),1863453.500000000232831,1860090.000000000000000,1819463.639999999897555,1896217.000000000000000,1897684.479999999981374,1838092.239999999990687,11175004.859999999403954
FS( 66 ),1875996.000000000232831,1859562.479999999981374,1833574.239999999757856,1927724.000000000000000,1891267.300000000046566,1859322.109999999869615,11247450.130000000819564
FS( 67 ),1885943.500000000000000,1863079.280000000027940,1834783.719999999739230,1925795.000000000000000,1900129.119999999878928,1874004.449999999953434,11283739.069999998435378
FS( 68 ),1899134.750000000000000,1893675.439999999944121,1888404.000000000000000,1938655.000000000000000,1907157.459999999729916,1888488.380000000121072,11415519.029999999329448
FS( 69 ),1914488.500000000232831,1903522.479999999981374,1903320.919999999925494,1967590.000000000000000,1924575.519999999785796,1901186.619999999878928,11514688.039999999105930
FS( 70 ),1922273.500000000232831,1893499.600000000093132,1899289.319999999832362,1947657.000000000000000,1926103.419999999925494,1898607.290000000037253,11487434.129999998956919
FS( 71 ),1876428.500000000232831,1859738.320000000065193,1873083.919999999925494,1918722.000000000000000,1882099.900000000139698,1855552.319999999832362,11265628.960000000894070
FS( 72 ),1879023.500000000232831,1866596.080000000074506,1893241.919999999925494,1945085.000000000000000,1919380.659999999916181,1875194.910000000149012,11378526.070000000298023
FS( 73 ),1874698.500000000232831,1854814.800000000046566,1885178.719999999739230,1957945.000000000000000,1895545.419999999925494,1842258.849999999860302,11310445.289999999105930
FS( 74 ),1862372.250000000232831,1846022.800000000046566,1877115.520000000018626,1934797.000000000000000,1824039.699999999953434,1816465.550000000046566,11160816.820000000298023
FS( 75 ),1902162.250000000000000,1858859.119999999878928,1914609.399999999906868,1958588.000000000000000,1834735.000000000000000,1849600.020000000018626,11318557.789999999105930
FS( 76 ),1880104.750000000232831,1860441.679999999934807,1931945.279999999795109,1972734.000000000000000,1809677.439999999944121,1857734.829999999841675,11312641.980000000447035
FS( 77 ),1906919.750000000465661,1888400.239999999990687,1960569.639999999897555,1983022.000000000000000,1788898.000000000000000,1843052.489999999990687,11370866.119999999180436
FS( 78 ),1964226.000000000232831,1896840.560000000055879,1933154.760000000009313,1978521.000000000000000,1796537.500000000000000,1825394.000000000000000,11394677.820000000298023
FS( 79 ),1982391.000000000232831,1844264.399999999906868,1908965.159999999916181,1995882.000000000000000,1813344.400000000139698,1827576.510000000009313,11372427.470000000670552
FS( 80 ),2007908.500000000000000,1825097.840000000083819,1929929.479999999748543,1990095.000000000000000,1817622.519999999785796,1808529.150000000139698,11379186.490000000223517
FS( 81 ),1987364.750000000465661,1825801.199999999953434,1927913.679999999934807,2013886.000000000000000,1833818.259999999776483,1817854.420000000158325,11406642.310000000521541
FS( 82 ),1976768.500000000232831,1841275.119999999878928,1894854.559999999823049,2044750.000000000000000,1831373.619999999878928,1811306.890000000130385,11400332.689999999478459
FS( 83 ),1971794.750000000465661,1838461.679999999934807,1842040.599999999627471,2037034.000000000000000,1824956.439999999944121,1806545.050000000046566,11320836.520000001415610
FS( 84 ),1994068.500000000000000,1864661.840000000083819,1843653.239999999757856,2035748.000000000000000,1817622.519999999785796,1820433.750000000000000,11376191.849999999627471
FS( 85 ),2027154.750000000232831,1896137.199999999953434,1841234.279999999795109,2075614.000000000000000,1800510.040000000037253,1847417.510000000009313,11488071.779999999329448
FS( 86 ),2036886.000000000232831,1896313.040000000037253,1813416.239999999757856,2056324.000000000000000,1839624.280000000027940,1854957.089999999850988,11497524.649999998509884
FS( 87 ),2049861.000000000465661,1899302.320000000065193,1825107.879999999888241,2055038.000000000000000,1848791.679999999934807,1862496.670000000158325,11540601.550000000745058
FS( 88 ),2033642.250000000465661,1902643.280000000027940,1813819.399999999906868,2054395.000000000000000,1910213.259999999776483,1872615.579999999841675,11587332.769999999552965
FS( 89 ),2045968.500000000232831,1932887.760000000009313,1833977.399999999906868,2049251.000000000000000,1894934.259999999776483,1880155.160000000149012,11637178.080000000074506
FS( 90 ),2037967.250000000232831,1942734.800000000046566,1852522.760000000009313,2082044.000000000232831,1922436.459999999729916,1889877.250000000000000,11727586.519999999552965
FS( 91 ),2049212.250000000232831,1943086.479999999981374,1861392.279999999795109,2078829.000000000000000,1906546.300000000046566,1883924.949999999953434,11722995.259999999776483
FS( 92 ),2078406.000000000232831,1944669.040000000037253,1880743.959999999729916,2119338.000000000000000,1886378.019999999785796,1903369.130000000121072,11812908.150000000372529
FS( 93 ),2098084.750000000000000,1960670.479999999981374,1883969.239999999757856,2116766.000000000000000,1882711.059999999823049,1900988.209999999962747,11843193.739999998360872
FS( 94 ),2088569.750000000232831,1953109.359999999869615,1869455.479999999748543,2071756.000000000000000,1898906.800000000046566,1888289.969999999972060,11770091.360000001266599
FS( 95 ),2139172.250000000000000,1958736.239999999990687,1854135.399999999906868,2100048.000000000000000,1920297.400000000139698,1931543.349999999860302,11903936.640000000596046
FS( 96 ),2134847.250000000000000,1964538.959999999962747,1822688.919999999925494,2100691.000000000000000,1911741.159999999916181,1929162.430000000167638,11863673.719999998807907
FS( 97 ),2135496.000000000000000,1969638.320000000065193,1908158.839999999850988,2097476.000000000000000,1921214.139999999897555,1935511.550000000046566,11967498.850000001490116
FS( 98 ),2117763.500000000000000,1948185.840000000083819,1883162.919999999925494,2072398.999999999767169,1903184.919999999925494,1909718.250000000000000,11834418.429999999701977
FS( 99 ),2157121.000000000000000,1941503.919999999925494,1908158.839999999850988,2036391.000000000000000,1905629.559999999823049,1894639.089999999850988,11843447.410000000149012
FS( 100 ),2162527.250000000000000,1939042.159999999916181,1901305.119999999646097,2019030.000000000000000,1896462.159999999916181,1885710.640000000130385,11804081.330000000074506
FS( 101 ),2164906.000000000000000,1962253.040000000037253,1919850.479999999748543,2034462.000000000000000,1935576.400000000139698,1904162.770000000018626,11921214.689999999478459
FS( 102 ),2142848.500000000000000,1954164.399999999906868,1889613.479999999748543,2023531.000000000000000,1935881.979999999981374,1887297.920000000158325,11833341.279999999329448
FS( 103 ),2174204.750000000000000,1959263.760000000009313,1897676.679999999934807,2006813.000000000000000,1975912.959999999729916,1903964.359999999869615,11917839.509999997913837
FS( 104 ),2141334.750000000000000,1939042.159999999916181,1882759.760000000009313,1982379.000000000000000,1913880.219999999972060,1882932.900000000139698,11742332.790000000968575
FS( 105 ),2178529.750000000000000,1945020.719999999972060,1953312.760000000009313,2026746.000000000000000,1919075.079999999841675,1889480.430000000167638,11912168.739999998360872
FS( 106 ),2154093.500000000000000,1934646.159999999916181,1993225.599999999627471,2018387.000000000000000,1905629.559999999823049,1870631.479999999981374,11876617.300000000745058
FS( 107 ),2129873.500000000000000,1909501.040000000037253,1964601.239999999757856,1985594.000000000000000,1886989.179999999934807,1845433.410000000149012,11721996.369999999180436
FS( 108 ),2157337.250000000000000,1910907.760000000009313,1959360.159999999916181,1998454.000000000000000,1892184.040000000037253,1840274.750000000000000,11758521.960000000894070
FS( 109 ),2216373.500000000000000,1953812.719999999972060,1942830.599999999627471,2017744.000000000000000,1912046.739999999990687,1874996.500000000000000,11917808.059999998658895
FS( 110 ),2210967.250000000000000,1948537.520000000018626,1953715.919999999925494,2026746.000000000000000,1945966.119999999878928,1867853.739999999990687,11953790.549999998882413
FS( 111 ),2200371.000000000000000,1938162.959999999962747,1917431.520000000018626,1998454.000000000000000,1953605.619999999878928,1858726.880000000121072,11866755.980000000447035
FS( 112 ),2181557.250000000000000,1917238.000000000000000,1904933.559999999823049,1974663.000000000000000,1950549.819999999832362,1838885.880000000121072,11767831.509999999776483
FS( 113 ),2209237.250000000000000,1955395.280000000027940,1931138.959999999729916,1985594.000000000000000,1960328.380000000121072,1870829.890000000130385,11912527.760000001639128
FS( 114 ),2202101.000000000000000,1952406.000000000000000,1933154.760000000009313,1990095.000000000000000,1949633.079999999841675,1865472.819999999832362,11892866.660000000149012
FS( 115 ),2228051.000000000000000,1967879.919999999925494,1927107.359999999636784,1991381.000000000000000,1967051.140000000130385,1884520.180000000167638,11965994.599999999627471
FS( 116 ),2250757.250000000000000,1986518.959999999962747,1925091.559999999823049,1998454.000000000000000,2007082.120000000111759,1908130.969999999972060,12076038.860000001266599
FS( 117 ),2211183.500000000000000,1961901.359999999869615,1918237.839999999850988,1985594.000000000000000,1994247.760000000009313,1868647.380000000121072,11939815.839999999850988
FS( 118 ),2154742.250000000000000,1912842.000000000000000,1867036.520000000018626,1954087.000000000000000,1949633.079999999841675,1832338.349999999860302,11670683.199999999254942
FS( 119 ),2162094.750000000000000,1927085.040000000037253,1894854.559999999823049,1947657.000000000000000,1952688.879999999888241,1828965.380000000121072,11713349.610000001266599
FS( 120 ),2116033.500000000000000,1890334.479999999981374,1871068.119999999646097,1927724.000000000000000,1975607.380000000121072,1815275.089999999850988,11596046.570000000298023
FS( 121 ),2133766.000000000000000,1903346.639999999897555,1863811.239999999757856,1941870.000000000000000,1947494.019999999785796,1821028.979999999981374,11611320.879999998956919
FS( 122 ),2178746.000000000000000,1928667.600000000093132,1882356.599999999627471,1988809.000000000000000,1979579.919999999925494,1844838.180000000167638,11803001.299999998882413
FS( 123 ),2230646.000000000000000,1938514.639999999897555,1906143.039999999804422,2003598.000000000000000,2019610.900000000139698,1855353.910000000149012,11953870.490000000223517
FS( 124 ),2215292.250000000000000,1922864.879999999888241,1872680.760000000009313,2047322.000000000000000,2000970.520000000018626,1844044.540000000037253,11903178.949999999254942
FS( 125 ),2232592.250000000000000,1922161.520000000018626,1867439.679999999934807,2004241.000000000000000,2005554.219999999739230,1879758.339999999850988,11911751.009999999776483
FS( 126 ),2194316.000000000000000,1911962.800000000046566,1876712.359999999636784,2013243.000000000000000,1994553.339999999850988,1861107.800000000046566,11851899.300000000745058
FS( 127 ),2225023.500000000000000,1924623.280000000027940,1876712.359999999636784,2020959.000000000000000,2002804.000000000232831,1879559.930000000167638,11929686.070000000298023
FS( 128 ),2253352.250000000000000,1961373.840000000083819,1901305.119999999646097,2046036.000000000000000,2022055.540000000037253,1915273.729999999981374,12099400.480000000447035
FS( 129 ),2257028.500000000000000,1971748.399999999906868,1911384.119999999646097,2048608.000000000000000,2064531.159999999916181,1924202.180000000167638,12177506.359999999403954
FS( 130 ),2263732.250000000000000,1993200.879999999888241,1919850.479999999748543,2055681.000000000000000,2077059.939999999944121,1944836.819999999832362,12254365.369999999180436
FS( 131 ),2281464.750000000000000,1994607.600000000093132,1933557.919999999925494,2044750.000000000000000,2068503.699999999953434,1940273.390000000130385,12263161.359999999403954
FS( 132 ),2311307.250000000000000,2013950.000000000000000,1947668.520000000018626,2048608.000000000000000,2088977.559999999823049,1977971.290000000037253,12388486.620000001043081
FS( 133 ),2202966.000000000000000,2024676.239999999990687,1956941.199999999720603,2047322.000000000000000,2077976.679999999934807,1980749.030000000027940,12290635.149999998509884
FS( 134 ),2284924.750000000000000,2019576.879999999888241,1956134.879999999888241,2037034.000000000000000,2066364.640000000130385,1988883.839999999850988,12352922.990000000223517
FS( 135 ),2254001.000000000000000,2010609.040000000037253,1944443.239999999757856,2015815.000000000000000,2044668.459999999729916,1983923.589999999850988,12253464.329999998211861
FS( 136 ),2266111.000000000000000,2015884.239999999990687,1940411.639999999897555,2036391.000000000000000,2023889.020000000018626,2001185.260000000009313,12283876.160000000149012
FS( 137 ),2327526.000000000000000,2030654.800000000046566,1910980.959999999729916,2035748.000000000000000,2155899.580000000074506,2010708.940000000176951,12471522.279999999329448
FS( 138 ),2313037.250000000000000,2043139.439999999944121,1926704.199999999720603,2037034.000000000000000,2183401.780000000260770,2033327.680000000167638,12536648.349999997764826
FS( 139 ),2310874.750000000000000,2044722.000000000000000,1923882.079999999841675,2035105.000000000000000,2205709.120000000111759,2025986.510000000009313,12546283.459999999031425
FS( 140 ),2330986.000000000000000,2052986.479999999981374,1932348.439999999711290,2031890.000000000000000,2221293.700000000186265,2085707.920000000158325,12655216.540000000968575
FS( 141 ),2312821.000000000000000,2045601.199999999953434,1925897.879999999888241,2013886.000000000000000,2216404.419999999925494,2083128.589999999850988,12597743.089999999850988
FS( 142 ),2307414.750000000000000,2049469.679999999934807,1942024.279999999795109,2009385.000000000000000,2219154.639999999664724,2079160.390000000130385,12606612.739999998360872
FS( 143 ),2283627.250000000000000,2055799.919999999925494,1954925.399999999906868,2010671.000000000000000,2206625.859999999403954,2082731.770000000018626,12594385.199999999254942
FS( 144 ),2266543.500000000000000,2050524.719999999972060,1948878.000000000000000,2016458.000000000000000,2224349.500000000000000,2084715.869999999878928,12591473.589999997988343
FS( 145 ),2286438.500000000000000,2054569.040000000037253,1937186.359999999636784,2020959.000000000000000,2208459.339999999850988,2094636.369999999878928,12602252.609999997541308
FS( 146 ),2272814.750000000000000,2064943.600000000093132,1942024.279999999795109,2022888.000000000000000,2226182.979999999515712,2094636.369999999878928,12623493.979999998584390
FS( 147 ),2307414.750000000000000,2082175.919999999925494,1958553.839999999850988,2121267.000000000000000,2235655.959999999962747,2126580.380000000353903,12831651.849999999627471
FS( 148 ),2333364.750000000000000,2079538.320000000065193,1956941.199999999720603,2131555.000000000000000,2208153.759999999776483,2138286.569999999832362,12847843.599999999627471
FS( 149 ),2324714.750000000000000,2073559.760000000009313,1956538.039999999804422,2134770.000000000000000,2241156.400000000372529,2115866.240000000223517,12846609.190000001341105
FS( 150 ),2314767.250000000000000,2066174.479999999981374,1952909.599999999627471,2139271.000000000000000,2238100.599999999627471,2087295.199999999953434,12798522.129999998956919
FS( 151 ),2301359.750000000000000,2071977.199999999953434,1957344.359999999636784,2110336.000000000000000,2228322.040000000037253,2103763.229999999981374,12773106.579999998211861
FS( 152 ),2288817.250000000000000,2086923.600000000093132,1954119.079999999841675,2123839.000000000000000,2236267.120000000111759,2108326.660000000149012,12798296.710000000894070
FS( 153 ),2277788.500000000000000,2080417.520000000018626,1950893.799999999813735,2132198.000000000000000,2228627.620000000111759,2095628.420000000158325,12765557.860000001266599
FS( 154 ),2254217.250000000000000,2081648.399999999906868,1954119.079999999841675,2138628.000000000000000,2212126.299999999813735,2094041.140000000130385,12734784.170000001788139
FS( 155 ),2297251.000000000000000,2086747.760000000009313,1952506.439999999711290,2116123.000000000000000,2241461.979999999515712,2119040.799999999813735,12813134.980000000447035
FS( 156 ),2252487.250000000000000,2068284.560000000055879,1958150.679999999934807,2068541.000000000000000,2215182.099999999627471,2084517.459999999962747,12647167.050000000745058
FS( 157 ),2221563.500000000000000,2037160.879999999888241,1933961.079999999841675,2041535.000000000000000,2181873.879999999888241,2043446.589999999850988,12459544.929999999701977
FS( 158 ),2237566.000000000000000,2038040.080000000074506,1923075.760000000009313,2046679.000000000000000,2182790.620000000111759,2045232.280000000027940,12473387.740000000223517
FS( 159 ),2264597.250000000000000,2032940.719999999972060,1918237.839999999850988,2080115.000000000000000,2191346.859999999403954,2036303.829999999841675,12523545.499999998137355
FS( 160 ),2262651.000000000000000,2029599.760000000009313,1917431.520000000018626,2078186.000000000000000,2214265.359999999403954,2031740.400000000139698,12533878.039999999105930
FS( 161 ),2247081.000000000000000,1994431.760000000009313,1913399.919999999925494,2062111.000000000000000,2195624.979999999515712,2017851.699999999953434,12430504.359999999403954
FS( 162 ),2273679.750000000000000,2016411.760000000009313,1927510.520000000018626,2085259.000000000000000,2199291.939999999478459,2042851.359999999869615,12545008.329999998211861
FS( 163 ),2281032.250000000000000,2011664.080000000074506,1924285.239999999757856,2064040.000000000000000,2216710.000000000000000,2039676.800000000046566,12537412.370000001043081
FS( 164 ),2282113.500000000000000,2010433.199999999953434,1919850.479999999748543,2055038.000000000000000,2211820.719999999739230,2029756.300000000046566,12509016.199999999254942
FS( 165 ),2231943.500000000000000,1982298.800000000046566,1899289.319999999832362,2019673.000000000000000,2185540.839999999850988,1982931.540000000037253,12301681.000000000000000
FS( 166 ),2233241.000000000000000,1987046.479999999981374,1898483.000000000000000,2037677.000000000000000,2186152.000000000000000,1983725.180000000167638,12326328.660000000149012
FS( 167 ),2269138.500000000000000,1992673.359999999869615,1898886.159999999916181,2040892.000000000000000,2213654.200000000186265,1993248.859999999869615,12408497.079999998211861
FS( 168 ),2247297.250000000000000,1997245.199999999953434,1906546.199999999720603,2019673.000000000000000,2192263.599999999627471,1986106.099999999860302,12349135.349999999627471
FS( 169 ),2270868.500000000000000,1990914.959999999962747,1903320.919999999925494,2067255.000000000000000,2217321.160000000149012,2036899.059999999823049,12486583.599999999627471
FS( 170 ),2300278.500000000000000,2014301.679999999934807,1922269.439999999711290,2094261.000000000000000,2241461.979999999515712,2050787.760000000009313,12623364.359999997541308
