代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13609051.330000001937151
真實報酬,3609051.330000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14844.201757355867812
風險,216695.344517342629842
起點值,0.068502633457212
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](6),GS[8](5),HD[9](3),NKE[19](4),UNH[23](1),
FS( 16 ),1990054.530000000260770,2120009.889999999664724,1980445.600000000093132,1984102.579999999841675,2098913.150000000372529,10173525.750000000000000
FS( 17 ),2007632.570000000065193,2113296.049999999813735,1984845.340000000316650,2015384.599999999860302,2092563.170000000158325,10213721.730000000447035
FS( 18 ),1994449.040000000270084,2102985.509999999776483,1980690.030000000260770,1992820.520000000018626,2068140.170000000158325,10139085.269999999552965
FS( 19 ),2015727.720000000204891,2109579.459999999962747,1981667.750000000000000,2010256.400000000139698,2094272.780000000027940,10211504.109999999403954
FS( 20 ),1993755.170000000158325,2104663.969999999739230,1979467.880000000353903,2002564.099999999860302,2058126.739999999990687,10138577.859999999403954
FS( 21 ),2017115.459999999962747,2107301.549999999813735,1998533.420000000391155,2041538.420000000158325,2025888.380000000121072,10190377.230000000447035
FS( 22 ),1986353.889999999897555,2072653.340000000083819,1976290.290000000037253,1977948.739999999990687,1979484.679999999934807,9992730.939999999478459
FS( 23 ),1974789.389999999897555,2041242.159999999916181,1949402.990000000223517,1968717.979999999981374,1990230.799999999813735,9924383.320000000298023
FS( 24 ),2017809.330000000074506,2058506.319999999832362,1956247.030000000260770,1978461.559999999823049,2009280.739999999990687,10020304.979999998584390
FS( 25 ),2006476.120000000111759,2031291.289999999804422,1956247.030000000260770,1972307.719999999972060,1978019.299999999813735,9944341.460000000894070
FS( 26 ),2002775.480000000214204,2035127.770000000018626,1968224.100000000093132,1977948.739999999990687,1990475.030000000027940,9974551.119999999180436
FS( 27 ),1977796.160000000149012,2027454.809999999823049,1967001.950000000186265,1957435.940000000176951,1935767.510000000242144,9865456.370000001043081
FS( 28 ),2008789.020000000018626,2065340.049999999813735,2014910.230000000447035,1975897.459999999962747,1956771.290000000037253,10021708.050000000745058
FS( 29 ),2023822.870000000111759,2067737.850000000093132,2025909.580000000074506,1975897.459999999962747,1950665.540000000037253,10044033.300000000745058
FS( 30 ),2017115.459999999962747,2066179.280000000027940,2026887.300000000279397,1967692.339999999850988,1959213.590000000083819,10037087.970000000670552
FS( 31 ),2026135.770000000018626,2066658.840000000083819,2031775.900000000372529,1981025.660000000149012,1990719.260000000242144,10096315.430000001564622
FS( 32 ),2049496.060000000055879,2070974.879999999888241,2049863.720000000204891,1982051.299999999813735,1998290.389999999897555,10150676.349999999627471
FS( 33 ),2064992.490000000223517,2061024.010000000009313,2045708.410000000149012,1977948.739999999990687,1989742.340000000083819,10139415.990000000223517
FS( 34 ),2080951.500000000000000,2092794.860000000102445,2043264.110000000335276,2014358.959999999962747,2010990.350000000093132,10242359.780000001192093
FS( 35 ),2083726.980000000214204,2085721.350000000093132,2156679.630000000353903,2013333.319999999832362,2038588.340000000083819,10378049.620000001043081
FS( 36 ),2077944.730000000214204,2086560.579999999841675,2218275.990000000223517,2023589.719999999972060,2037611.420000000158325,10443982.440000001341105
FS( 37 ),2090434.389999999897555,2099988.259999999776483,2228053.190000000409782,2024102.540000000037253,2045915.239999999990687,10488493.619999999180436
FS( 38 ),2092978.580000000074506,2103824.740000000223517,2225120.030000000260770,2033333.299999999813735,2046159.469999999972060,10501416.120000001043081
FS( 39 ),2090434.389999999897555,2132598.339999999850988,2229275.340000000316650,2051794.819999999832362,2057394.049999999813735,10561496.940000001341105
FS( 40 ),2082107.949999999953434,2132958.009999999776483,2239785.830000000074506,2037948.680000000167638,2078886.290000000037253,10571686.760000001639128
FS( 41 ),2090203.100000000325963,2131879.000000000000000,2245652.150000000372529,2044102.520000000018626,2109659.269999999552965,10621496.040000000968575
FS( 42 ),2086965.040000000270084,2129960.759999999776483,2261295.670000000391155,2021025.619999999878928,2108682.350000000558794,10607929.440000001341105
FS( 43 ),2078869.889999999897555,2147464.700000000186265,2285494.240000000223517,2014358.959999999962747,2116986.169999999925494,10643173.959999999031425
FS( 44 ),2100148.569999999832362,2155377.440000000409782,2228053.190000000409782,2032820.479999999981374,2109903.500000000000000,10626303.179999999701977
FS( 45 ),2103386.629999999888241,2153339.309999999590218,2175500.740000000223517,2021025.619999999878928,2119672.700000000186265,10572925.000000000000000
FS( 46 ),2084883.430000000167638,2159094.030000000260770,2198232.730000000447035,2049230.719999999972060,2126266.910000000149012,10617707.820000002160668
FS( 47 ),2103386.629999999888241,2155137.660000000149012,2239296.970000000204891,2103589.640000000130385,2143118.780000000260770,10744529.679999999701977
FS( 48 ),2094597.610000000102445,2159453.700000000186265,2219987.000000000000000,2112820.400000000372529,2147026.459999999962747,10733885.170000001788139
FS( 49 ),2072393.770000000018626,2126963.509999999776483,2173789.730000000447035,2098461.439999999944121,2162901.410000000149012,10634509.859999999403954
FS( 50 ),2070543.449999999953434,2156576.339999999850988,2181611.490000000223517,2114871.680000000167638,2130907.280000000260770,10654510.240000002086163
FS( 51 ),2080951.500000000000000,2170123.910000000149012,2180878.200000000186265,2097948.619999999646097,2126755.370000000111759,10656657.600000001490116
FS( 52 ),2074012.800000000046566,2196140.040000000037253,2171589.860000000335276,2098461.439999999944121,2104774.669999999925494,10644978.810000000521541
FS( 53 ),2083495.690000000176951,2205851.129999999888241,2184789.080000000074506,2092820.420000000158325,2101111.219999999739230,10668067.539999999105930
FS( 54 ),2087890.199999999953434,2206570.469999999739230,2206543.350000000093132,2082051.200000000186265,2128709.209999999962747,10711764.429999999701977
FS( 55 ),2089277.940000000176951,2215921.889999999664724,2229764.200000000186265,2090256.319999999832362,2124557.299999999813735,10749777.649999998509884
FS( 56 ),2089509.230000000214204,2252728.120000000111759,2251029.610000000335276,2102051.180000000167638,2140188.019999999552965,10835506.160000000149012
FS( 57 ),2092978.580000000074506,2232466.709999999962747,2257140.360000000335276,2097948.619999999646097,2144339.929999999701977,10824874.199999999254942
FS( 58 ),2065223.780000000260770,2221556.719999999739230,2246141.010000000242144,2069230.700000000186265,2143607.240000000223517,10745759.450000001117587
FS( 59 ),2042557.360000000102445,2219158.919999999925494,2236363.810000000055879,2054358.920000000158325,2114788.100000000558794,10667227.109999999403954
FS( 60 ),2068924.420000000158325,2251769.000000000000000,2273761.600000000093132,2072820.440000000176951,2154353.360000000335276,10821628.820000000298023
FS( 61 ),2037006.399999999906868,2207169.919999999925494,2246385.440000000409782,2045128.160000000149012,2104774.669999999925494,10640464.590000001713634
FS( 62 ),2052502.830000000074506,2219518.589999999850988,2269361.860000000335276,2294871.500000000000000,2115032.330000000074506,10951287.110000001266599
FS( 63 ),2054584.440000000176951,2204052.780000000260770,2270339.580000000074506,2285127.919999999925494,2112834.259999999776483,10926938.980000000447035
FS( 64 ),2059210.240000000223517,2200935.639999999664724,2242474.560000000055879,2287179.200000000186265,2106484.280000000260770,10896283.920000001788139
FS( 65 ),2023591.580000000074506,2166527.209999999962747,2224875.600000000093132,2248717.700000000186265,2073024.770000000018626,10736736.859999999403954
FS( 66 ),2007401.280000000260770,2192663.229999999515712,2254696.060000000055879,2289743.299999999813735,2073513.230000000214204,10818017.100000001490116
FS( 67 ),2045795.420000000158325,2254886.139999999664724,2286471.960000000428408,2315384.299999999813735,2100866.990000000223517,11003404.810000000521541
FS( 68 ),2048339.610000000102445,2247812.629999999888241,2279627.920000000391155,2287692.020000000018626,2078153.600000000093132,10941625.779999999329448
FS( 69 ),2014802.560000000055879,2203693.110000000335276,2260317.950000000186265,2258461.279999999795109,2056172.899999999906868,10793447.800000000745058
FS( 70 ),2037931.560000000055879,2237741.870000000111759,2299915.610000000335276,2277948.439999999944121,2115520.790000000037253,10969058.269999999552965
FS( 71 ),1982421.959999999962747,2173360.940000000409782,2274983.750000000000000,2236922.839999999850988,2074490.149999999906868,10742179.640000000596046
FS( 72 ),1995374.199999999953434,2162690.729999999515712,2262273.390000000130385,2235897.200000000186265,2085480.500000000000000,10741716.019999999552965
FS( 73 ),1940789.760000000009313,2143388.440000000409782,2214609.540000000037253,2189743.400000000372529,2050311.380000000121072,10538842.520000001415610
FS( 74 ),1946109.430000000167638,2142549.209999999962747,2202388.040000000037253,2182051.099999999627471,2022713.389999999897555,10495811.169999999925494
FS( 75 ),1898463.690000000176951,2125045.270000000484288,2147391.290000000037253,2184102.380000000353903,2006594.209999999962747,10361596.839999999850988
FS( 76 ),1890599.830000000074506,2069176.530000000027940,2172567.580000000074506,2231794.640000000130385,2085480.500000000000000,10449619.080000000074506
FS( 77 ),1938939.440000000176951,2121088.899999999441206,2205810.060000000055879,2235384.380000000353903,2153620.669999999925494,10654843.450000001117587
FS( 78 ),1978027.449999999953434,2132238.669999999925494,2245163.290000000037253,2279486.900000000372529,2162412.950000000186265,10797329.260000001639128
FS( 79 ),2024748.030000000260770,2160292.929999999701977,2302604.340000000316650,2324102.240000000223517,2221272.379999999888241,11033019.920000001788139
FS( 80 ),2014571.270000000018626,2120129.780000000260770,2281583.360000000335276,2304102.259999999776483,2192453.240000000223517,10912839.910000000149012
FS( 81 ),2035156.080000000074506,2158854.250000000000000,2317270.140000000130385,2317435.580000000074506,2214189.709999999962747,11042905.760000001639128
FS( 82 ),2049496.060000000055879,2198298.059999999590218,2321914.310000000055879,2330768.900000000372529,2238124.250000000000000,11138601.580000000074506
FS( 83 ),2045795.420000000158325,2205011.899999999441206,2333646.950000000186265,2349743.240000000223517,2250091.519999999552965,11184289.029999999329448
FS( 84 ),2080026.340000000316650,2233905.389999999664724,2361023.110000000335276,2370768.859999999869615,2262547.250000000000000,11308270.950000001117587
FS( 85 ),2070774.740000000223517,2231028.030000000260770,2356867.800000000279397,2357948.359999999869615,2270362.610000000335276,11286981.539999999105930
FS( 86 ),2086733.750000000000000,2241698.240000000223517,2383755.100000000093132,2384615.000000000000000,2292831.769999999552965,11389633.859999999403954
FS( 87 ),2113563.390000000130385,2277905.020000000484288,2383755.100000000093132,2384102.180000000167638,2320429.759999999776483,11479755.449999999254942
FS( 88 ),2121195.959999999962747,2287975.780000000260770,2348801.610000000335276,2396409.859999999869615,2316766.309999999590218,11471149.519999999552965
FS( 89 ),2089740.520000000018626,2281261.940000000409782,2345624.020000000018626,2409230.359999999869615,2319697.070000000298023,11445553.910000000149012
FS( 90 ),2104774.370000000111759,2276106.669999999925494,2341224.280000000260770,2427691.880000000353903,2339723.929999999701977,11489521.130000000819564
FS( 91 ),2127903.370000000111759,2290013.910000000149012,2378133.210000000428408,2425640.599999999627471,2349737.360000000335276,11571428.449999999254942
FS( 92 ),2081645.370000000111759,2286537.099999999627471,2386932.690000000409782,2404614.979999999981374,2286237.559999999590218,11445967.699999999254942
FS( 93 ),2076556.990000000223517,2299605.110000000335276,2399398.620000000111759,2434871.359999999869615,2314079.780000000260770,11524511.859999999403954
FS( 94 ),2081182.790000000270084,2300564.229999999515712,2398909.760000000242144,2432820.080000000074506,2337037.400000000372529,11550514.259999999776483
FS( 95 ),2079332.470000000204891,2280182.929999999701977,2407464.810000000055879,2456922.619999999646097,2336793.169999999925494,11560696.000000000000000
FS( 96 ),2092978.580000000074506,2280902.270000000484288,2419930.740000000223517,2464614.919999999925494,2342166.230000000447035,11600592.740000002086163
FS( 97 ),2100148.569999999832362,2277785.129999999888241,2401354.060000000055879,2448717.500000000000000,2322872.059999999590218,11550877.320000000298023
FS( 98 ),2091128.260000000009313,2277185.679999999701977,2396221.030000000260770,2463076.459999999962747,2356087.339999999850988,11583698.769999999552965
FS( 99 ),2088121.490000000223517,2273708.870000000111759,2346112.880000000353903,2473845.680000000167638,2398094.900000000372529,11579883.820000000298023
FS( 100 ),2077482.149999999906868,2268313.820000000298023,2363711.840000000316650,2486153.359999999869615,2365612.309999999590218,11561273.480000000447035
FS( 101 ),2056203.470000000204891,2275027.660000000149012,2384977.250000000000000,2494871.299999999813735,2365368.080000000074506,11576447.759999999776483
FS( 102 ),2057591.209999999962747,2273109.419999999925494,2402331.780000000260770,2497948.220000000204891,2361948.860000000335276,11592929.490000002086163
FS( 103 ),2095060.190000000176951,2278864.139999999664724,2405264.940000000409782,2511794.359999999869615,2366589.230000000447035,11657572.860000001266599
FS( 104 ),2119808.220000000204891,2264357.450000000186265,2371289.170000000391155,2494871.299999999813735,2391012.230000000447035,11641338.370000001043081
FS( 105 ),2126053.050000000279397,2260281.190000000409782,2388154.840000000316650,2507691.799999999813735,2396141.059999999590218,11678321.939999997615814
FS( 106 ),2139699.160000000149012,2258962.399999999441206,2429707.940000000409782,2546153.299999999813735,2408841.019999999552965,11783363.820000000298023
FS( 107 ),2144093.670000000391155,2256444.709999999962747,2416997.580000000074506,2505127.700000000186265,2419342.910000000149012,11742006.570000000298023
FS( 108 ),2161903.000000000000000,2280302.820000000298023,2399398.620000000111759,2513845.640000000130385,2438148.620000000111759,11793598.699999999254942
FS( 109 ),2153576.560000000055879,2289414.459999999962747,2409909.110000000335276,2525640.500000000000000,2461838.929999999701977,11840379.559999998658895
FS( 110 ),2156352.040000000037253,2301403.459999999962747,2418708.590000000316650,2539999.459999999962747,2434240.940000000409782,11850704.490000002086163
FS( 111 ),2168610.410000000149012,2343364.959999999962747,2435574.260000000242144,2547178.939999999944121,2450360.120000000111759,11945088.690000001341105
FS( 112 ),2169535.569999999832362,2357392.089999999850988,2454884.230000000447035,2505640.520000000018626,2440346.690000000409782,11927799.100000001490116
FS( 113 ),2149644.629999999888241,2360629.120000000111759,2435574.260000000242144,2488204.640000000130385,2467211.990000000223517,11901264.640000000596046
FS( 114 ),2119345.640000000130385,2302002.910000000149012,2418464.160000000149012,2504102.060000000055879,2420075.600000000558794,11763990.370000001043081
FS( 115 ),2122121.120000000111759,2320465.969999999739230,2450973.350000000093132,2485640.540000000037253,2435706.320000000298023,11814907.300000000745058
FS( 116 ),2116107.580000000074506,2263877.889999999664724,2438996.280000000260770,2466153.380000000353903,2412016.009999999776483,11697151.140000000596046
FS( 117 ),2102461.470000000204891,2224553.969999999739230,2445595.890000000130385,2447179.040000000037253,2400048.740000000223517,11619839.110000001266599
FS( 118 ),2085577.300000000046566,2197818.500000000000000,2372511.320000000298023,2390256.020000000018626,2340945.080000000074506,11387108.220000000670552
FS( 119 ),2113563.390000000130385,2218439.580000000074506,2418464.160000000149012,2423076.500000000000000,2421296.750000000000000,11594840.380000000819564
FS( 120 ),2142012.060000000055879,2297327.200000000186265,2460750.550000000279397,2489230.279999999795109,2497008.049999999813735,11886328.140000000596046
FS( 121 ),2148488.180000000167638,2317348.830000000074506,2491548.730000000447035,2431794.439999999944121,2503113.799999999813735,11892293.980000000447035
FS( 122 ),2178787.170000000391155,2331256.070000000298023,2529924.240000000223517,2459999.540000000037253,2516546.450000000186265,12016513.469999998807907
FS( 123 ),2190120.379999999888241,2343964.410000000149012,2536279.420000000391155,2461025.180000000167638,2511906.080000000074506,12043295.470000000670552
FS( 124 ),2183875.550000000279397,2348640.120000000111759,2531390.820000000298023,2469230.299999999813735,2507754.169999999925494,12040890.959999999031425
FS( 125 ),2197984.240000000223517,2343364.959999999962747,2536034.990000000223517,2483076.439999999944121,2504579.179999999701977,12065039.810000000521541
FS( 126 ),2208854.870000000111759,2352236.820000000298023,2555100.530000000260770,2494871.299999999813735,2499206.120000000111759,12110269.640000000596046
FS( 127 ),2190351.670000000391155,2346482.099999999627471,2548745.350000000093132,2484102.080000000074506,2511906.080000000074506,12081587.279999999329448
FS( 128 ),2178555.879999999888241,2323942.780000000260770,2565855.450000000186265,2465640.560000000055879,2468921.600000000558794,12002916.269999999552965
FS( 129 ),2168379.120000000111759,2330896.399999999441206,2528213.230000000447035,2436922.640000000130385,2461350.469999999739230,11925761.859999999403954
FS( 130 ),2136692.390000000130385,2258123.169999999925494,2475171.920000000391155,2397435.500000000000000,2420808.290000000037253,11688231.269999999552965
FS( 131 ),2125359.180000000167638,2212445.080000000074506,2467594.590000000316650,2383589.359999999869615,2415923.690000000409782,11604911.899999998509884
FS( 132 ),2147100.439999999944121,2245414.830000000074506,2552167.370000000111759,2432820.080000000074506,2440590.919999999925494,11818093.639999998733401
FS( 133 ),2169304.280000000260770,2281261.940000000409782,2608630.700000000186265,2488717.459999999962747,2557088.629999999888241,12105003.010000001639128
FS( 134 ),2179943.620000000111759,2246254.059999999590218,2563900.010000000242144,2461538.000000000000000,2533154.089999999850988,11984789.779999999329448
FS( 135 ),2184800.709999999962747,2218919.139999999664724,2552411.800000000279397,2457948.259999999776483,2504579.179999999701977,11918659.089999999850988
FS( 136 ),2201684.879999999888241,2217240.679999999701977,2535546.130000000353903,2436409.819999999832362,2517279.139999999664724,11908160.649999998509884
FS( 137 ),2179481.040000000037253,2160892.379999999888241,2508903.260000000242144,2403076.520000000018626,2523629.120000000111759,11775982.320000000298023
FS( 138 ),2182256.520000000018626,2140031.520000000484288,2469061.170000000391155,2379999.619999999646097,2551227.110000000335276,11722575.940000001341105
FS( 139 ),2201453.590000000316650,2124925.379999999888241,2545078.900000000372529,2384615.000000000000000,2583221.240000000223517,11839294.110000001266599
FS( 140 ),2191276.830000000074506,2105742.979999999515712,2523813.490000000223517,2400512.419999999925494,2579557.790000000037253,11800903.509999997913837
FS( 141 ),2178093.300000000279397,2123966.259999999776483,2530657.530000000260770,2397948.319999999832362,2669922.889999999664724,11900588.300000000745058
FS( 142 ),2200759.720000000204891,2182592.469999999739230,2592742.750000000000000,2457948.259999999776483,2780559.080000000074506,12214602.279999999329448
FS( 143 ),2190814.250000000000000,2164009.520000000484288,2575632.650000000372529,2465640.560000000055879,2735376.530000000260770,12131473.510000001639128
FS( 144 ),2196596.500000000000000,2163170.290000000037253,2599831.220000000204891,2470768.759999999776483,2725851.559999999590218,12156218.329999998211861
FS( 145 ),2173467.500000000000000,2116053.520000000484288,2570499.620000000111759,2423076.500000000000000,2686774.759999999776483,11969871.900000000372529
FS( 146 ),2143399.800000000279397,2074811.360000000102445,2560233.560000000055879,2392820.119999999646097,2648919.110000000335276,11820183.949999999254942
FS( 147 ),2156120.750000000000000,2110059.020000000484288,2630629.400000000372529,2432820.080000000074506,2671632.500000000000000,12001261.750000000000000
FS( 148 ),2103849.209999999962747,2067138.399999999906868,2552411.800000000279397,2365640.660000000149012,2594944.280000000260770,11683984.350000001490116
FS( 149 ),2126284.340000000316650,2104064.520000000484288,2552656.230000000447035,2356922.720000000204891,2620344.200000000186265,11760272.010000001639128
FS( 150 ),2176474.270000000018626,2161012.270000000484288,2621341.060000000055879,2393845.759999999776483,2633044.160000000149012,11985717.520000001415610
FS( 151 ),2342540.490000000223517,2143508.330000000074506,2649939.370000000111759,2372820.140000000130385,2635730.690000000409782,12144539.019999999552965
FS( 152 ),2373995.930000000167638,2167366.440000000409782,2664116.310000000055879,2393332.939999999944121,2657711.389999999664724,12256523.010000001639128
FS( 153 ),2359655.950000000186265,2199257.179999999701977,2665338.460000000428408,2353845.799999999813735,2627915.330000000074506,12206012.720000000670552
FS( 154 ),2352948.540000000037253,2184750.490000000223517,2648228.360000000335276,2337948.380000000353903,2600805.799999999813735,12124681.570000000298023
FS( 155 ),2357343.050000000279397,2212804.750000000000000,2705180.550000000279397,2378461.160000000149012,2661374.839999999850988,12315164.350000001490116
FS( 156 ),2356186.600000000093132,2249850.759999999776483,2696381.070000000298023,2341538.119999999646097,2682867.080000000074506,12326823.629999998956919
FS( 157 ),2395737.189999999944121,2275387.330000000074506,2741600.620000000111759,2358974.000000000000000,2682622.850000000558794,12454321.990000002086163
FS( 158 ),2409383.300000000279397,2266035.910000000149012,2735001.010000000242144,2359999.640000000130385,2672853.650000000372529,12443273.510000001639128
FS( 159 ),2408226.850000000093132,2278264.690000000409782,2737689.740000000223517,2355384.259999999776483,2680669.009999999776483,12460234.550000000745058
FS( 160 ),2402213.310000000055879,2262079.540000000037253,2737445.310000000055879,2400512.419999999925494,2680913.240000000223517,12483163.820000000298023
FS( 161 ),2402907.180000000167638,2267354.700000000186265,2711780.160000000149012,2402563.700000000186265,2687263.219999999739230,12471868.960000000894070
FS( 162 ),2418172.319999999832362,2296128.299999999813735,2743556.060000000055879,2434358.540000000037253,2750518.790000000037253,12642734.009999997913837
FS( 163 ),2428349.080000000074506,2281741.500000000000000,2744533.780000000260770,2436409.819999999832362,2842837.730000000447035,12733871.910000000149012
FS( 164 ),2420947.800000000279397,2304640.490000000223517,2853793.990000000223517,2446666.220000000204891,2819147.419999999925494,12845195.920000001788139
FS( 165 ),2441763.899999999906868,2298645.990000000223517,2843039.070000000298023,2482563.619999999646097,2785443.679999999701977,12851456.259999999776483
FS( 166 ),2418403.610000000335276,2304400.709999999962747,2820307.080000000074506,2487179.000000000000000,2775918.709999999962747,12806209.109999999403954
FS( 167 ),2407301.689999999944121,2275507.219999999739230,2804907.990000000223517,2490255.919999999925494,2775186.019999999552965,12753158.839999999850988
FS( 168 ),2449165.180000000167638,2299485.219999999739230,2838394.900000000372529,2532307.160000000149012,2793991.730000000447035,12913344.190000001341105
FS( 169 ),2459804.520000000018626,2293250.940000000409782,2837172.750000000000000,2512307.180000000167638,2756380.309999999590218,12858915.699999999254942
FS( 170 ),2441763.899999999906868,2274068.540000000037253,2805152.420000000391155,2500512.319999999832362,2779826.389999999664724,12801323.570000000298023
FS( 171 ),2429274.240000000223517,2278984.030000000260770,2833261.870000000111759,2524614.859999999869615,2803516.700000000186265,12869651.699999999254942
FS( 172 ),2401288.149999999906868,2240978.899999999441206,2797575.090000000316650,2485127.720000000204891,2756868.769999999552965,12681838.629999998956919
FS( 173 ),2434593.910000000149012,2253207.679999999701977,2817129.490000000223517,2498461.040000000037253,2806203.230000000447035,12809595.350000001490116
FS( 174 ),2384403.979999999981374,2190625.099999999627471,2751377.820000000298023,2474871.319999999832362,2746611.110000000335276,12547889.330000001937151
FS( 175 ),2379778.180000000167638,2208248.929999999701977,2763843.750000000000000,2444614.939999999944121,2752961.089999999850988,12549446.889999998733401
FS( 176 ),2478770.300000000279397,2277425.459999999962747,2837906.040000000037253,2488204.640000000130385,2805714.769999999552965,12888021.209999999031425
FS( 177 ),2461886.129999999888241,2270112.169999999925494,2806619.000000000000000,2456922.619999999646097,2814751.280000000260770,12810291.199999999254942
FS( 178 ),2483396.100000000093132,2300804.009999999776483,2847683.240000000223517,2472820.040000000037253,2894614.490000000223517,12999317.880000000819564
FS( 179 ),2473913.209999999962747,2284858.639999999664724,2825195.680000000167638,2475384.140000000130385,2872145.330000000074506,12931497.000000000000000
FS( 180 ),2497273.500000000000000,2305839.389999999664724,2837417.180000000167638,2500512.319999999832362,2929783.610000000335276,13070826.000000000000000
FS( 181 ),2483396.100000000093132,2277665.240000000223517,2814929.620000000111759,2521025.119999999646097,2949322.009999999776483,13046338.089999999850988
FS( 182 ),2507912.840000000316650,2315550.479999999515712,2871881.810000000055879,2614871.180000000167638,2909756.750000000000000,13219973.060000000521541
FS( 183 ),2503055.750000000000000,2301523.349999999627471,2837172.750000000000000,2601537.859999999869615,2907314.450000000186265,13150604.160000000149012
FS( 184 ),2477382.560000000055879,2293370.830000000074506,2839128.190000000409782,2581025.060000000055879,2884845.290000000037253,13075751.929999999701977
FS( 185 ),2428580.370000000111759,2246254.059999999590218,2778753.980000000447035,2538461.000000000000000,2846256.950000000186265,12838306.359999999403954
FS( 186 ),2434131.330000000074506,2244935.270000000484288,2746733.650000000372529,2547178.939999999944121,2839174.280000000260770,12812153.470000002533197
FS( 187 ),2439682.290000000037253,2254766.250000000000000,2783153.720000000204891,2561025.080000000074506,2882158.759999999776483,12920786.099999999627471
FS( 188 ),2454484.850000000093132,2290253.690000000409782,2801974.830000000074506,2587178.900000000372529,2955183.530000000260770,13089075.800000000745058
FS( 189 ),2426036.180000000167638,2253687.240000000223517,2777042.970000000204891,2572819.939999999944121,2888997.200000000186265,12918583.530000001192093
FS( 190 ),2438757.129999999888241,2304760.379999999888241,2765310.330000000074506,2552819.959999999962747,2868481.879999999888241,12930129.679999999701977
FS( 191 ),2451709.370000000111759,2296607.860000000335276,2799774.960000000428408,2555384.060000000055879,2866283.809999999590218,12969760.060000002384186
FS( 192 ),2443151.640000000130385,2302602.360000000335276,2809796.590000000316650,2557435.339999999850988,2874587.629999999888241,12987573.559999998658895
FS( 193 ),2438525.840000000316650,2306678.620000000111759,2793908.640000000130385,2554358.419999999925494,2866039.580000000074506,12959511.100000001490116
FS( 194 ),2460035.810000000055879,2308716.750000000000000,2825440.110000000335276,2585640.439999999944121,2886554.900000000372529,13066388.010000001639128
FS( 195 ),2469518.700000000186265,2336651.120000000111759,2800508.250000000000000,2582563.520000000018626,2895347.179999999701977,13084588.769999999552965
