代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13597043.980000000447035
真實報酬,3597043.980000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15585.671641128708870
風險,226710.514892167149810
起點值,0.068747017087151
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](3),INTC[11](8),NKE[19](4),TRV[22](2),
FS( 31 ),1827339.480000000214204,1653385.200000000186265,1602208.280000000027940,1688469.179999999934807,1648297.179999999934807,1829792.739999999990687,10249496.060000000521541
FS( 32 ),1811832.120000000111759,1637652.560000000288710,1600738.559999999823049,1667948.540000000037253,1633960.539999999804422,1824263.020000000018626,10176399.339999999850988
FS( 33 ),1838539.239999999990687,1642556.240000000223517,1624254.080000000074506,1655764.410000000149012,1656361.539999999804422,1828410.309999999823049,10245889.820000000298023
FS( 34 ),1860292.620000000111759,1656041.360000000102445,1606197.520000000018626,1669872.349999999860302,1668458.079999999841675,1832162.619999999878928,10293028.549999998882413
FS( 35 ),1860723.380000000121072,1656858.640000000363216,1636851.679999999934807,1669872.349999999860302,1641128.859999999869615,1830187.719999999972060,10295626.630000000819564
FS( 36 ),1865677.120000000111759,1679333.840000000083819,1639371.199999999953434,1680132.669999999925494,1662185.799999999813735,1833940.029999999795109,10360644.659999998286366
FS( 37 ),1868477.060000000055879,1682602.960000000195578,1654068.400000000139698,1676926.319999999832362,1677418.479999999748543,1836902.379999999888241,10396399.600000001490116
FS( 38 ),1889584.300000000046566,1702422.000000000000000,1662466.800000000046566,1685904.099999999860302,1698923.439999999944121,1833940.029999999795109,10473244.669999998062849
FS( 39 ),1925122.000000000000000,1711003.440000000176951,1673174.760000000009313,1712837.440000000176951,1716396.219999999972060,1846381.899999999906868,10584919.760000001639128
FS( 40 ),1919952.880000000121072,1708142.960000000195578,1672964.800000000046566,1723739.030000000027940,1708779.879999999888241,1845789.429999999701977,10579372.980000000447035
FS( 41 ),1955059.820000000065193,1716928.720000000204891,1677583.920000000158325,1728869.190000000176951,1711019.979999999748543,1858428.789999999804422,10647894.419999999925494
FS( 42 ),1947736.900000000139698,1716520.080000000307336,1684512.600000000093132,1751954.910000000149012,1723116.519999999785796,1845591.939999999944121,10669436.949999999254942
FS( 43 ),1934383.340000000083819,1721832.400000000139698,1697320.160000000149012,1748107.290000000037253,1718636.319999999832362,1850726.679999999701977,10671010.189999999478459
FS( 44 ),1961736.600000000093132,1713863.920000000158325,1693750.840000000083819,1773758.090000000083819,1692651.159999999916181,1844801.979999999748543,10680566.589999999850988
FS( 45 ),1984136.120000000111759,1721219.440000000176951,1691021.360000000102445,1769910.470000000204891,1705643.739999999757856,1869685.719999999972060,10741620.850000001490116
FS( 46 ),1991889.800000000046566,1732252.720000000204891,1687662.000000000000000,1773758.090000000083819,1699819.479999999748543,1875610.419999999925494,10760996.509999999776483
FS( 47 ),1986289.919999999925494,1728779.280000000260770,1693120.959999999962747,1806462.860000000102445,1707883.839999999850988,1863563.529999999795109,10786104.389999998733401
FS( 48 ),2018166.160000000149012,1746555.120000000344589,1692491.080000000074506,1789789.840000000083819,1717740.280000000027940,1869488.229999999748543,10834234.710000000894070
FS( 49 ),2030012.060000000055879,1731639.760000000242144,1695220.559999999823049,1810951.750000000000000,1709675.919999999692664,1878177.789999999804422,10855681.839999997988343
FS( 50 ),2021612.239999999990687,1722649.680000000400469,1675694.280000000027940,1791072.379999999888241,1683242.739999999757856,1874227.989999999990687,10768503.310000000521541
FS( 51 ),1987797.580000000074506,1691797.360000000102445,1646719.800000000046566,1792996.190000000176951,1675178.379999999888241,1876202.889999999897555,10670696.200000001117587
FS( 52 ),1966044.200000000186265,1691797.360000000102445,1639161.239999999990687,1915478.760000000009313,1671594.219999999972060,1884299.979999999748543,10768379.760000001639128
FS( 53 ),1985859.160000000149012,1702013.360000000102445,1656587.920000000158325,1924456.540000000037253,1670250.159999999916181,1885287.429999999701977,10824458.570000000298023
FS( 54 ),1983274.600000000093132,1699152.880000000121072,1680103.439999999944121,1920608.919999999925494,1682346.699999999720603,1880547.669999999925494,10846038.209999999031425
FS( 55 ),1985428.400000000139698,1707734.320000000298023,1694590.679999999934807,1919326.379999999888241,1706987.799999999813735,1884102.489999999990687,10898174.070000000298023
FS( 56 ),1978536.239999999990687,1711616.400000000139698,1688921.760000000009313,1929586.699999999953434,1694443.239999999757856,1888052.289999999804422,10891160.629999998956919
FS( 57 ),1958075.139999999897555,1692206.000000000000000,1683252.840000000083819,1936640.669999999925494,1682346.699999999720603,1868105.800000000046566,10820631.150000000372529
FS( 58 ),1956352.100000000093132,1690980.080000000307336,1693120.959999999962747,1938564.479999999981374,1690411.059999999823049,1875215.439999999944121,10844648.120000001043081
FS( 59 ),1944506.200000000186265,1689345.520000000484288,1688711.800000000046566,1955878.770000000018626,1679658.579999999841675,1869685.719999999972060,10827790.590000001713634
FS( 60 ),1946229.239999999990687,1714272.560000000288710,1690811.400000000139698,1980247.030000000027940,1713260.079999999841675,1873438.029999999795109,10918262.339999999850988
FS( 61 ),1957859.760000000242144,1725510.160000000381842,1695430.520000000018626,1973834.330000000074506,1721772.459999999962747,1864550.979999999748543,10938962.210000000894070
FS( 62 ),1981120.800000000046566,1742877.360000000102445,1703409.000000000000000,1983453.379999999888241,1740141.280000000027940,1854873.969999999972060,11005879.790000000968575
FS( 63 ),2001581.900000000139698,1751867.440000000176951,1699839.679999999934807,1981529.569999999832362,1737453.159999999916181,1857836.319999999832362,11030112.070000000298023
FS( 64 ),2014289.320000000065193,1766782.800000000279397,1717896.239999999990687,1986659.729999999981374,1747309.599999999860302,1880350.179999999701977,11113291.869999999180436
FS( 65 ),2013427.800000000046566,1766169.840000000083819,1721255.600000000093132,1986659.729999999981374,1742829.399999999906868,1868698.270000000018626,11099044.640000000596046
FS( 66 ),2025273.700000000186265,1774342.640000000363216,1722725.320000000065193,1996920.050000000046566,1757614.059999999823049,1873043.050000000046566,11149922.820000002160668
FS( 67 ),2067057.419999999925494,1769234.640000000363216,1709497.840000000083819,1989866.080000000074506,1762094.259999999776483,1867315.839999999850988,11165070.080000000074506
FS( 68 ),2053703.859999999869615,1754319.280000000260770,1695640.480000000214204,1974475.599999999860302,1740141.280000000027940,1859218.750000000000000,11077503.250000000000000
FS( 69 ),2054565.380000000121072,1782106.800000000279397,1695010.600000000093132,1980888.300000000046566,1762990.299999999813735,1870278.189999999944121,11145843.570000000298023
FS( 70 ),2047027.080000000074506,1774751.280000000260770,1667085.920000000158325,2004615.290000000037253,1736109.099999999860302,1862378.589999999850988,11091971.259999999776483
FS( 71 ),2050903.919999999925494,1775364.240000000223517,1671495.080000000074506,2003974.020000000018626,1731628.899999999906868,1869883.209999999962747,11103253.370000001043081
FS( 72 ),2077395.660000000149012,1772708.080000000307336,1668345.679999999934807,2019364.500000000000000,1746413.559999999823049,1887262.329999999841675,11171493.810000000521541
FS( 73 ),2053057.719999999972060,1760244.560000000288710,1676744.080000000074506,2033472.440000000176951,1748205.639999999897555,1894964.439999999944121,11166692.880000000819564
FS( 74 ),2041427.200000000186265,1743898.960000000195578,1672544.879999999888241,2222005.819999999832362,1723116.519999999785796,1888447.270000000018626,11291444.649999998509884
FS( 75 ),2005027.980000000214204,1737360.720000000204891,1670235.320000000065193,2161085.170000000391155,1714604.139999999897555,1870278.189999999944121,11158595.520000001415610
FS( 76 ),2033888.900000000139698,1753297.680000000400469,1681363.199999999953434,2161085.170000000391155,1736557.119999999878928,1882917.550000000046566,11249113.620000001043081
FS( 77 ),2023335.280000000027940,1751867.440000000176951,1673594.679999999934807,2184170.890000000130385,1720876.419999999692664,1881337.629999999888241,11235186.339999999850988
FS( 78 ),2040134.919999999925494,1761470.480000000214204,1691021.360000000102445,2230983.600000000093132,1725804.639999999897555,1809648.759999999776483,11259067.760000001639128
FS( 79 ),2093333.780000000027940,1757997.040000000270084,1701099.439999999944121,2212386.770000000018626,1733420.979999999748543,1812611.109999999869615,11310853.119999999180436
FS( 80 ),2089887.700000000186265,1773525.360000000102445,1704878.719999999972060,2196355.020000000018626,1760750.199999999720603,1834335.009999999776483,11359736.009999999776483
FS( 81 ),2103672.020000000018626,1761879.120000000344589,1701309.400000000139698,2196355.020000000018626,1741037.319999999832362,1818930.789999999804422,11323187.669999999925494
FS( 82 ),2132748.319999999832362,1780676.560000000288710,1702149.239999999990687,2195072.479999999981374,1756270.000000000000000,1814586.009999999776483,11381506.609999999403954
FS( 83 ),2118964.000000000000000,1761266.160000000381842,1700259.600000000093132,2192507.399999999906868,1749549.699999999720603,1799576.770000000018626,11322127.629999998956919
FS( 84 ),2114010.260000000242144,1781902.480000000214204,1716636.480000000214204,2202767.720000000204891,1783599.219999999972060,1796021.949999999953434,11394942.110000001266599
FS( 85 ),2059088.359999999869615,1754727.920000000158325,1697530.119999999878928,2173269.300000000279397,1728044.739999999757856,1768768.329999999841675,11181432.770000001415610
FS( 86 ),2070503.500000000000000,1744511.920000000158325,1674434.520000000018626,2163650.250000000000000,1719980.379999999888241,1769755.779999999795109,11142840.349999999627471
FS( 87 ),2058872.980000000214204,1782515.440000000176951,1680313.400000000139698,2183529.619999999646097,1728492.759999999776483,1775482.989999999990687,11209211.189999999478459
FS( 88 ),2048750.120000000111759,1772503.760000000242144,1680313.400000000139698,2104653.410000000149012,1723116.519999999785796,1760078.770000000018626,11089419.980000000447035
FS( 89 ),2045304.040000000037253,1769234.640000000363216,1690601.439999999944121,2106577.220000000204891,1728044.739999999757856,1771533.189999999944121,11111299.270000001415610
FS( 90 ),2034965.800000000046566,1747168.080000000307336,1689551.639999999897555,2095675.629999999888241,1710123.939999999944121,1775482.989999999990687,11052972.080000000074506
FS( 91 ),2040565.679999999934807,1774546.960000000195578,1730703.800000000046566,2090545.470000000204891,1726252.659999999916181,1786937.409999999916181,11149555.980000000447035
FS( 92 ),2067488.179999999934807,1787827.760000000242144,1740152.000000000000000,2117478.810000000055879,1726252.659999999916181,1790492.229999999748543,11229695.640000000596046
FS( 93 ),2067057.419999999925494,1781902.480000000214204,1740991.840000000083819,2124532.780000000260770,1719084.339999999850988,1798984.300000000046566,11232557.160000000149012
FS( 94 ),2094410.679999999934807,1789870.960000000195578,1745191.040000000037253,2186735.970000000204891,1730732.859999999869615,1802539.119999999878928,11349484.629999998956919
FS( 95 ),2100010.560000000055879,1810507.280000000260770,1760728.080000000074506,2176475.649999999906868,1731628.899999999906868,1821300.669999999925494,11400655.140000000596046
FS( 96 ),2110348.800000000279397,1824196.720000000204891,1757158.760000000009313,2191224.860000000335276,1728044.739999999757856,1819523.259999999776483,11430501.140000000596046
FS( 97 ),2135763.640000000130385,1838294.800000000279397,1755059.160000000149012,2206615.339999999850988,1759854.159999999916181,1836507.399999999906868,11532098.500000000000000
FS( 98 ),2165270.700000000186265,1840746.640000000363216,1852480.600000000093132,2202126.450000000186265,1758958.119999999878928,1834927.479999999748543,11654513.990000002086163
FS( 99 ),2166132.219999999739230,1835638.640000000363216,1905390.520000000018626,2212386.770000000018626,1767918.519999999785796,1838877.279999999795109,11726347.949999999254942
FS( 100 ),2166347.600000000093132,1846671.920000000158325,1913788.920000000158325,2254069.319999999832362,1768366.539999999804422,1855268.949999999953434,11804517.249999998137355
FS( 101 ),2182285.719999999739230,1848919.440000000176951,1911269.400000000139698,2240602.649999999906868,1776430.899999999906868,1851516.639999999897555,11811028.750000001862645
FS( 102 ),2187024.080000000074506,1846671.920000000158325,1914838.719999999972060,2232266.140000000130385,1792559.619999999878928,1862181.100000000093132,11835545.579999998211861
FS( 103 ),2173024.379999999888241,1839316.400000000139698,1923867.000000000000000,2231624.869999999646097,1780463.079999999841675,1860403.689999999944121,11808703.419999999925494
FS( 104 ),2199731.500000000000000,1846467.600000000325963,1928906.040000000037253,2230983.600000000093132,1785839.319999999832362,1871463.129999999888241,11863395.190000001341105
FS( 105 ),2202316.060000000055879,1843607.120000000344589,1942343.480000000214204,2222005.819999999832362,1765678.419999999692664,1863168.550000000046566,11839123.450000001117587
FS( 106 ),2207700.560000000055879,1836455.920000000158325,1963129.520000000018626,2239320.110000000335276,1759854.159999999916181,1870475.679999999701977,11876939.949999999254942
FS( 107 ),2224930.959999999962747,1855253.360000000102445,1913788.920000000158325,2216875.660000000149012,1775982.879999999888241,1866723.369999999878928,11853559.150000000372529
FS( 108 ),2131025.279999999795109,1858113.840000000083819,1868647.520000000018626,2216875.660000000149012,1765678.419999999692664,1865735.919999999925494,11706080.640000000596046
FS( 109 ),2113364.120000000111759,1841768.240000000223517,1888173.800000000046566,2238678.839999999850988,1790319.519999999785796,1861588.629999999888241,11733897.149999998509884
FS( 110 ),2131671.419999999925494,1858113.840000000083819,1923447.080000000074506,2244450.270000000018626,1837809.639999999897555,1860601.179999999701977,11856097.429999999701977
FS( 111 ),2118533.240000000223517,1850349.680000000400469,1906860.239999999990687,2265612.179999999701977,1845874.000000000000000,1842037.119999999878928,11829270.459999999031425
FS( 112 ),2110564.180000000167638,1830734.960000000195578,1867177.800000000046566,2238678.839999999850988,1833329.439999999944121,1833742.539999999804422,11714231.759999999776483
FS( 113 ),2175393.560000000055879,1829100.400000000139698,1873896.520000000018626,2245732.810000000055879,1847666.079999999841675,1840062.219999999972060,11811855.590000001713634
FS( 114 ),2184654.900000000372529,1838294.800000000279397,1873266.639999999897555,2245732.810000000055879,1832881.419999999692664,1835124.969999999972060,11809959.540000000968575
FS( 115 ),2189608.640000000130385,1832165.200000000186265,1865288.160000000149012,2220082.009999999776483,1833329.439999999944121,1825250.469999999972060,11765727.919999999925494
FS( 116 ),2188962.500000000000000,1840542.320000000298023,1876626.000000000000000,2214951.850000000093132,1828401.219999999972060,1847566.839999999850988,11797054.730000000447035
FS( 117 ),2172378.240000000223517,1844424.400000000139698,1895312.439999999944121,2239961.379999999888241,1818992.799999999813735,1849344.250000000000000,11820417.509999999776483
FS( 118 ),2187885.600000000093132,1845650.320000000298023,1915258.639999999897555,2243167.729999999981374,1826161.119999999878928,1849541.739999999990687,11867669.150000000372529
FS( 119 ),2192408.580000000074506,1845854.640000000363216,1933525.160000000149012,2255351.860000000335276,1836465.579999999841675,1871858.109999999869615,11935467.929999999701977
FS( 120 ),2174532.040000000037253,1848919.440000000176951,1938774.160000000149012,2232907.410000000149012,1832881.419999999692664,1868500.779999999795109,11896519.250000000000000
FS( 121 ),2176685.840000000316650,1824401.040000000270084,1929325.959999999962747,2225853.439999999944121,1807792.299999999813735,1868303.289999999804422,11832365.870000001043081
FS( 122 ),2210715.879999999888241,1804377.680000000400469,1920927.559999999823049,2207256.610000000335276,1794799.719999999972060,1847566.839999999850988,11785648.290000000968575
FS( 123 ),2191547.060000000055879,1827670.160000000381842,1953051.439999999944121,2228418.520000000018626,1810928.439999999944121,1872055.600000000093132,11883675.219999998807907
FS( 124 ),2107979.620000000111759,1799474.000000000000000,1929535.920000000158325,2189301.050000000279397,1786735.359999999869615,1850529.189999999944121,11663559.139999998733401
FS( 125 ),2170009.060000000055879,1813163.440000000176951,1949272.160000000149012,2196996.290000000037253,2004921.099999999860302,1864353.489999999990687,11998719.540000000968575
FS( 126 ),2156224.740000000223517,1815002.320000000298023,1950112.000000000000000,2238037.569999999832362,1996408.719999999972060,1851911.619999999878928,12007700.970000000670552
FS( 127 ),2170009.060000000055879,1819088.720000000204891,1926176.559999999823049,2232907.410000000149012,1998200.799999999813735,1855268.949999999953434,12001655.500000000000000
FS( 128 ),2136194.400000000372529,1787623.440000000176951,1911059.439999999944121,2179682.000000000000000,1964599.299999999813735,1838679.789999999804422,11817842.370000001043081
FS( 129 ),2151701.760000000242144,1773321.040000000270084,1936674.559999999823049,2149542.310000000055879,2000440.899999999906868,1838087.319999999832362,11849771.890000000596046
FS( 130 ),2145671.120000000111759,1807238.160000000381842,1963969.360000000102445,2182247.080000000074506,2022841.899999999906868,1865538.429999999701977,11987510.050000000745058
FS( 131 ),2145671.120000000111759,1809485.680000000400469,1958090.480000000214204,2187377.239999999757856,1998648.819999999832362,1870278.189999999944121,11969555.530000001192093
FS( 132 ),2126933.060000000055879,1779859.280000000260770,1941503.639999999897555,2146335.959999999962747,1973111.679999999934807,1849739.229999999748543,11817486.850000001490116
FS( 133 ),2171085.959999999962747,1800291.280000000260770,1975517.160000000149012,2197637.560000000055879,1990136.439999999944121,1865340.939999999944121,12000013.339999999850988
FS( 134 ),2175824.319999999832362,1751254.480000000214204,1954101.239999999990687,2155955.009999999776483,1954294.839999999850988,1854281.500000000000000,11845715.390000000596046
FS( 135 ),2169578.300000000279397,1762696.400000000139698,1943183.320000000065193,2046297.840000000083819,1953398.799999999813735,1857243.850000000093132,11732402.509999999776483
FS( 136 ),2149763.340000000316650,1714476.880000000121072,1902241.119999999878928,2018081.959999999962747,1913077.000000000000000,1846974.369999999878928,11544618.669999999925494
FS( 137 ),2126933.060000000055879,1719176.240000000223517,1891743.119999999878928,2061047.050000000046566,1906356.699999999720603,1850134.209999999962747,11555394.379999998956919
FS( 138 ),2100872.080000000074506,1677086.320000000298023,1844502.119999999878928,2005897.830000000074506,1908148.780000000027940,1816758.399999999906868,11353269.530000001192093
FS( 139 ),2073303.440000000176951,1670139.440000000176951,1866128.000000000000000,1978323.220000000204891,1949814.639999999897555,1813203.579999999841675,11350916.320000002160668
FS( 140 ),2103672.020000000018626,1712842.320000000298023,1894682.559999999823049,2012310.530000000027940,1952950.780000000027940,1841444.649999999906868,11517906.860000001266599
FS( 141 ),2148686.439999999944121,1747372.400000000139698,1928486.119999999878928,2025135.929999999934807,1991480.500000000000000,1840654.689999999944121,11681820.080000000074506
FS( 142 ),2207054.419999999925494,1788645.040000000270084,1977826.719999999972060,2091186.739999999990687,2030458.239999999757856,1861193.649999999906868,11956368.810000000521541
FS( 143 ),2218254.180000000167638,1779654.960000000195578,1959770.160000000149012,2069383.560000000288710,2012985.459999999962747,1887657.309999999823049,11927709.630000000819564
FS( 144 ),2257884.100000000093132,1797839.440000000176951,1990424.320000000065193,2096316.899999999906868,2024633.979999999748543,1911158.619999999878928,12078261.359999999403954
FS( 145 ),2266283.919999999925494,1810507.280000000260770,1994413.559999999823049,2127739.129999999888241,2036282.500000000000000,1930117.659999999916181,12165348.050000000745058
FS( 146 ),2263914.740000000223517,1807238.160000000381842,2004491.639999999897555,2129021.670000000391155,2052859.239999999757856,1952631.520000000018626,12210160.970000000670552
FS( 147 ),2299021.680000000167638,1837477.520000000484288,2028007.160000000149012,2163650.250000000000000,2071228.059999999823049,1969615.659999999916181,12369004.330000001937151
FS( 148 ),2311944.479999999981374,1829304.720000000204891,2024437.840000000083819,2175193.110000000335276,2060027.559999999823049,1963493.469999999972060,12364405.180000001564622
FS( 149 ),2304190.800000000279397,1843402.800000000279397,2047533.439999999944121,2089262.929999999934807,2083324.599999999860302,1974947.889999999897555,12342666.460000000894070
FS( 150 ),2326159.560000000055879,1867103.920000000158325,2047533.439999999944121,2180964.540000000037253,2082876.579999999841675,1990747.089999999850988,12495389.130000000819564
FS( 151 ),2356312.760000000242144,1873846.480000000214204,2017509.160000000149012,2200202.640000000130385,2093629.059999999823049,1973960.439999999944121,12515464.540000000968575
FS( 152 ),2339082.359999999869615,1846058.960000000195578,2014779.679999999934807,2214951.850000000093132,2104829.559999999590218,1997264.259999999776483,12516970.669999999925494
FS( 153 ),2344682.240000000223517,1859339.760000000242144,2011000.400000000139698,2164932.790000000037253,2120958.280000000260770,2004373.899999999906868,12505291.370000001043081
FS( 154 ),2341236.160000000149012,1879771.760000000242144,2042704.360000000102445,2168780.410000000149012,2119166.200000000186265,2012668.479999999748543,12564331.370000001043081
FS( 155 ),2347912.939999999944121,1838907.760000000242144,2050262.920000000158325,2153389.929999999701977,2100797.379999999888241,2021753.020000000018626,12513027.949999999254942
FS( 156 ),2344036.100000000093132,1834412.720000000204891,2060970.879999999888241,2132869.290000000037253,2127230.559999999590218,2033997.399999999906868,12533520.950000001117587
FS( 157 ),2362774.160000000149012,1838499.120000000344589,2060550.959999999962747,2136075.640000000130385,2125438.479999999515712,2033009.949999999953434,12556352.309999998658895
FS( 158 ),2396158.060000000055879,1836864.560000000288710,2067899.559999999823049,2140564.530000000260770,2146495.419999999925494,2035379.829999999841675,12623365.960000000894070
FS( 159 ),2429972.719999999739230,1848919.440000000176951,2078607.520000000018626,2159802.629999999888241,2153215.719999999739230,2038737.159999999916181,12709259.189999997615814
FS( 160 ),2459264.400000000372529,1855253.360000000102445,2062650.559999999823049,2177116.920000000391155,2139327.099999999627471,2022937.959999999962747,12716554.300000000745058
FS( 161 ),2455172.180000000167638,1847284.880000000121072,2058241.400000000139698,2195713.750000000000000,2151871.660000000149012,2029257.639999999897555,12737545.510000001639128
FS( 162 ),2487048.419999999925494,1844628.720000000204891,2015199.600000000093132,2225853.439999999944121,2161280.080000000074506,2031232.539999999804422,12765246.799999998882413
FS( 163 ),2469818.020000000018626,1835230.000000000000000,2030316.719999999972060,2202767.720000000204891,2172032.559999999590218,2034787.359999999869615,12744956.379999998956919
FS( 164 ),2505140.340000000316650,1816432.560000000288710,2048583.239999999990687,2305370.920000000391155,2179648.899999999441206,2043279.429999999701977,12898459.390000000596046
FS( 165 ),2508586.419999999925494,1817658.480000000214204,2063490.400000000139698,2282285.200000000186265,2182337.019999999552965,2050191.579999999841675,12904553.099999999627471
FS( 166 ),2555108.500000000000000,1850758.320000000298023,2066009.920000000158325,2324609.020000000018626,2194433.559999999590218,2049796.600000000093132,13040719.919999999925494
FS( 167 ),2532924.359999999869615,1872620.560000000288710,2036825.480000000214204,2329097.910000000149012,2179648.899999999441206,2042686.959999999962747,12993808.170000001788139
FS( 168 ),2563077.560000000055879,1878137.200000000186265,2051312.719999999972060,2366291.569999999832362,2190849.399999999441206,2061251.020000000018626,13110923.469999998807907
FS( 169 ),2561569.900000000372529,1890192.080000000307336,2087005.920000000158325,2388736.020000000018626,2224450.899999999441206,2062830.939999999944121,13214789.759999999776483
FS( 170 ),2478433.219999999739230,1894074.160000000381842,2076088.000000000000000,2383605.860000000335276,2188609.299999999813735,2062633.449999999953434,13083447.989999998360872
