代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11616376.219999998807907
真實報酬,1616376.219999998807907

夏普值報酬,0.152937622000000
夏普值風險,0.048499858131213
夏普值,3.153362254921221

二次趨勢線,-179.877502544924283 x^2 + 39551.214421627460979 x + 10000000.000000000000000
二次加權預期報酬,24081.749202763970970
風險,111614.951403705825214
二次加權趨勢值,0.215757377483071
一次趨勢線,30850.163135733448144 x + 10000000.000000000000000
一次預期報酬,30850.163135733448144
一次風險,139675.070940282894298
一次趨勢值,0.220870932286286
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](10),BA[2](2),DD[7](1),
FS( 25 ),3823696.399999999906868,3470875.620000000111759,3741714.750000000000000,11036287.769999999552965
FS( 26 ),3789484.999999999534339,3456023.600000000093132,3698499.750000000000000,10944009.349999999627471
FS( 27 ),3787774.430000000167638,3436005.660000000149012,3722268.000000000000000,10946049.089999999850988
FS( 28 ),3755273.599999999627471,3417279.200000000186265,3785650.000000000000000,10958203.800000000745058
FS( 29 ),3701675.739999999757856,3400812.830000000074506,3901610.250000000000000,11004099.820000000298023
FS( 30 ),3807160.889999999664724,3365620.000000000000000,3843990.250000000000000,11016772.140000000596046
FS( 31 ),3987911.119999999646097,3429871.130000000353903,3885044.500000000000000,11302827.750000000000000
FS( 32 ),4060325.249999999534339,3363037.040000000037253,3872080.000000000000000,11295443.289999999105930
FS( 33 ),4055763.729999999515712,3316866.630000000353903,3810858.749999999534339,11183490.109999999403954
FS( 34 ),4091685.700000000186265,3340759.010000000242144,3783489.250000000000000,11215934.960000000894070
FS( 35 ),4135590.329999999608845,3381117.760000000242144,3756839.999999999534339,11273549.089999999850988
FS( 36 ),4081422.279999999795109,3378211.930000000167638,3789971.500000000000000,11249606.710000000894070
FS( 37 ),4092255.889999999664724,3354965.290000000037253,3809418.250000000000000,11256640.429999999701977
FS( 38 ),4096817.409999999683350,3394678.300000000279397,3814460.000000000000000,11305956.710000000894070
FS( 39 ),4080852.089999999385327,3405655.880000000353903,3973635.250000000000000,11460144.219999998807907
FS( 40 ),4096817.409999999683350,3407270.229999999981374,3964272.000000000000000,11468360.640000000596046
FS( 41 ),3979928.459999999497086,3332364.390000000130385,3852633.250000000000000,11164927.099999999627471
FS( 42 ),3998744.729999999515712,3334301.609999999869615,3841109.250000000000000,11174156.589999999850988
FS( 43 ),4005016.819999999366701,3387898.030000000260770,3848311.750000000000000,11241227.599999999627471
FS( 44 ),3968524.659999999683350,3355288.160000000149012,3836067.500000000000000,11159881.320000000298023
FS( 45 ),3979928.459999999497086,3390480.990000000223517,3840389.000000000000000,11210799.449999999254942
FS( 46 ),4062035.819999999366701,3434391.310000000055879,3874961.000000000000000,11371389.129999998956919
FS( 47 ),4034096.509999999776483,3443431.670000000391155,3939783.500000000000000,11417312.679999999701977
FS( 48 ),4058044.489999999757856,3424705.209999999962747,3954908.749999999534339,11437659.449999999254942
FS( 49 ),4123046.149999999906868,3460866.649999999906868,3980837.750000000000000,11564751.550000000745058
FS( 50 ),4028964.799999999813735,3492507.910000000149012,4101119.500000000000000,11622593.210000000894070
FS( 51 ),3810011.839999999385327,3526732.130000000353903,4087434.750000000000000,11424179.719999998807907
FS( 52 ),3850495.329999999608845,3545135.720000000204891,3985879.500000000465661,11381511.550000000745058
FS( 53 ),3786634.049999999813735,3594534.830000000074506,4089595.500000000000000,11470765.379999998956919
FS( 54 ),3666323.959999999497086,3734660.410000000149012,4082393.000000000000000,11483378.369999999180436
FS( 55 ),3709088.209999999497086,3781153.689999999944121,4073029.750000000000000,11563272.649999998509884
FS( 56 ),3784923.479999999515712,3822803.920000000391155,4191150.750000000000000,11798879.150000000372529
FS( 57 ),3847074.189999999944121,3843467.600000000093132,4165221.750000000000000,11855764.539999999105930
FS( 58 ),3807160.889999999664724,3765655.930000000167638,4072309.500000000000000,11645127.320000000298023
FS( 59 ),3996463.969999999739230,3794068.490000000223517,4024773.000000000000000,11815306.460000000894070
FS( 60 ),3983919.790000000037253,3842176.120000000111759,4011808.500000000000000,11837905.410000000149012
FS( 61 ),3922339.270000000018626,3826355.490000000223517,4088155.000000000000000,11836850.759999999776483
FS( 62 ),3960541.999999999534339,3854445.180000000167638,4101839.750000000000000,11916827.929999999701977
FS( 63 ),3932032.499999999534339,3833781.500000000000000,4002445.250000000000000,11768260.250000000000000
FS( 64 ),3883566.349999999627471,3793745.620000000111759,3939063.250000000000000,11616376.219999998807907
