代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11571080.939999999478459
真實報酬,1571080.939999999478459

夏普值報酬,0.148408094000000
夏普值風險,0.048585314970794
夏普值,3.054587463088653

二次趨勢線,84.242829051448922 x^2 + 3201.608330738196400 x + 10000000.000000000000000
二次平均預期報酬,13731.961962169316394
風險,93417.399964808704681
二次平均趨勢值,0.146995762752360
一次趨勢線,11067.655621686742961 x + 10000000.000000000000000
一次預期報酬,11067.655621686742961
一次風險,173560.662377223750809
一次趨勢值,0.063768226452327
找到最佳解世代,2164
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](3),CAT[3](1),CSCO[4](5),DD[7](6),INTC[11](7),MCD[15](11),MRK[17](8),
FS( 17 ),1421701.360000000102445,1451141.899999999906868,1428571.000000000000000,1403644.880000000121072,1369301.560000000055879,1393899.219999999972060,1516320.599999999860302,9984583.519999999552965
FS( 18 ),1308171.520000000251457,1469897.999999999767169,1412337.250000000000000,1402272.800000000046566,1379272.119999999878928,1395529.090000000083819,1526134.699999999720603,9893618.480000000447035
FS( 19 ),1293347.560000000288710,1440492.250000000000000,1405843.750000000000000,1456698.640000000130385,1367085.880000000121072,1380267.580000000074506,1507083.800000000046566,9850822.460000000894070
FS( 20 ),1290816.640000000363216,1481501.349999999860302,1427272.300000000046566,1475679.080000000074506,1370409.399999999906868,1389898.629999999888241,1544608.299999999813735,9980188.699999999254942
FS( 21 ),1292805.220000000204891,1492786.799999999813735,1422726.850000000093132,1482082.120000000111759,1359331.000000000000000,1395380.920000000158325,1529021.199999999953434,9974137.109999999403954
FS( 22 ),1295336.140000000363216,1469103.250000000000000,1399350.250000000000000,1455326.560000000055879,1326649.719999999972060,1378341.369999999878928,1503331.349999999860302,9827441.640000000596046
FS( 23 ),1313956.480000000214204,1470374.849999999860302,1415584.000000000000000,1464245.080000000074506,1319448.760000000009313,1379378.560000000055879,1544608.299999999813735,9907599.030000001192093
FS( 24 ),1323899.380000000353903,1461791.549999999813735,1427272.300000000046566,1460586.199999999953434,1302831.160000000149012,1386638.889999999897555,1545185.599999999860302,9908208.080000000074506
FS( 25 ),1323718.600000000093132,1491515.199999999720603,1460389.149999999906868,1484597.600000000093132,1328865.399999999906868,1406790.010000000009313,1552113.199999999953434,10047992.159999998286366
FS( 26 ),1342158.160000000149012,1508046.000000000000000,1472077.450000000186265,1485054.959999999962747,1341051.640000000130385,1421310.670000000158325,1580978.199999999953434,10150680.080000000074506
FS( 27 ),1366201.900000000139698,1502164.849999999860302,1482467.049999999813735,1492830.080000000074506,1345483.000000000000000,1405604.649999999906868,1584442.000000000000000,10179196.529999999329448
FS( 28 ),1384279.900000000139698,1509476.549999999813735,1474674.850000000093132,1525302.640000000130385,1355453.560000000055879,1412716.810000000055879,1607822.649999999906868,10269729.960000002756715
FS( 29 ),1384099.120000000111759,1528709.500000000000000,1483765.750000000000000,1510209.760000000242144,1359884.920000000158325,1406049.160000000149012,1587617.149999999906868,10260338.360000001266599
FS( 30 ),1406154.280000000260770,1527755.799999999813735,1446103.449999999953434,1507922.959999999962747,1368193.719999999972060,1414494.849999999860302,1590503.649999999906868,10261131.710000000894070
FS( 31 ),1404888.820000000065193,1534749.599999999860302,1464934.599999999860302,1521186.399999999906868,1371517.240000000223517,1419236.290000000037253,1600317.749999999767169,10316833.699999999254942
FS( 32 ),1410131.440000000176951,1534908.549999999813735,1455194.350000000093132,1523473.200000000186265,1371517.240000000223517,1422792.369999999878928,1607533.999999999767169,10325554.150000000372529
FS( 33 ),1387895.500000000000000,1529345.299999999813735,1446752.800000000046566,1512267.879999999888241,1357115.320000000065193,1415828.379999999888241,1588771.749999999767169,10237979.929999999701977
FS( 34 ),1371806.080000000074506,1540630.750000000000000,1448051.500000000000000,1535135.879999999888241,1370409.399999999906868,1418791.780000000027940,1610997.800000000046566,10295826.189999999478459
FS( 35 ),1356620.560000000288710,1549849.849999999860302,1437012.550000000046566,1529418.879999999888241,1352683.960000000195578,1429163.680000000167638,1617348.099999999860302,10272100.580000000074506
FS( 36 ),1362405.520000000251457,1546988.749999999767169,1436363.199999999953434,1528961.520000000018626,1364316.280000000027940,1429904.530000000027940,1621677.849999999860302,10290620.650000000372529
FS( 37 ),1348304.680000000167638,1532524.299999999813735,1418181.399999999906868,1537880.040000000037253,1363762.360000000102445,1431682.570000000065193,1613884.299999999813735,10246222.649999998509884
FS( 38 ),1336192.420000000158325,1545081.349999999860302,1424025.550000000046566,1557546.520000000018626,1373732.920000000158325,1420866.160000000149012,1624275.699999999953434,10281723.619999999180436
FS( 39 ),1362767.080000000074506,1537133.849999999860302,1423376.200000000186265,1579728.479999999981374,1371517.240000000223517,1408864.389999999897555,1635533.049999999813735,10318923.289999999105930
FS( 40 ),1359151.480000000214204,1541425.499999999767169,1415584.000000000000000,1586360.200000000186265,1371517.240000000223517,1409901.580000000074506,1645058.500000000000000,10329001.500000000000000
FS( 41 ),1362947.860000000102445,1530934.799999999813735,1400648.949999999953434,1577441.680000000167638,1357115.320000000065193,1397603.469999999972060,1628605.449999999953434,10255300.530000001192093
FS( 42 ),1371986.860000000102445,1542220.249999999767169,1416882.699999999953434,1610828.959999999962747,1363208.439999999944121,1407382.690000000176951,1647079.050000000046566,10359591.949999999254942
FS( 43 ),1374879.340000000083819,1531888.500000000000000,1420129.449999999953434,1625464.479999999981374,1357115.320000000065193,1407975.369999999878928,1641883.350000000093132,10359338.809999998658895
FS( 44 ),1370721.400000000139698,1551439.349999999860302,1416882.699999999953434,1621119.560000000055879,1364316.280000000027940,1416272.889999999897555,1652852.049999999813735,10393607.230000000447035
FS( 45 ),1369998.280000000260770,1542697.099999999860302,1411038.550000000046566,1612429.720000000204891,1364870.200000000186265,1415087.530000000027940,1658913.699999999953434,10375038.080000000074506
FS( 46 ),1371263.739999999990687,1537928.599999999860302,1408441.150000000139698,1622720.319999999832362,1375948.600000000093132,1410642.430000000167638,1654583.949999999953434,10381531.789999999105930
FS( 47 ),1384460.680000000167638,1539359.149999999906868,1403246.349999999860302,1604197.240000000223517,1369855.479999999981374,1463687.290000000037253,1636398.999999999767169,10401208.190000001341105
FS( 48 ),1385906.920000000158325,1539041.249999999767169,1416882.699999999953434,1596650.799999999813735,1371517.240000000223517,1462650.099999999860302,1639862.800000000046566,10412514.810000000521541
FS( 49 ),1370540.620000000111759,1519808.299999999813735,1397402.199999999953434,1587274.919999999925494,1360992.760000000009313,1442795.320000000065193,1610420.499999999767169,10289237.619999999180436
FS( 50 ),1355174.320000000065193,1516311.399999999906868,1386363.250000000000000,1584302.080000000074506,1357115.320000000065193,1445906.889999999897555,1607822.649999999906868,10252998.910000000149012
FS( 51 ),1360416.940000000176951,1520762.000000000000000,1396752.850000000093132,1595736.080000000074506,1368193.719999999972060,1446203.229999999981374,1623987.049999999813735,10312054.870000001043081
FS( 52 ),1372348.420000000158325,1532524.299999999813735,1404545.050000000046566,1617460.680000000167638,1374840.760000000009313,1441906.300000000046566,1626873.549999999813735,10370502.059999998658895
FS( 53 ),1371986.860000000102445,1526643.149999999906868,1404545.050000000046566,1615631.240000000223517,1385919.160000000149012,1423977.729999999981374,1616193.500000000000000,10344899.689999999478459
FS( 54 ),1365478.780000000260770,1529345.299999999813735,1417532.049999999813735,1636212.439999999944121,1408629.880000000121072,1431386.229999999981374,1604647.500000000000000,10393235.179999999701977
FS( 55 ),1376144.800000000279397,1548101.399999999906868,1405194.400000000139698,1635069.040000000037253,1394227.960000000195578,1414643.020000000018626,1577803.049999999813735,10351186.670000001788139
FS( 56 ),1392595.780000000260770,1539518.099999999860302,1400648.949999999953434,1633468.280000000260770,1391458.360000000102445,1425163.090000000083819,1552401.849999999860302,10335257.410000000149012
FS( 57 ),1407600.520000000251457,1567175.399999999906868,1450648.899999999906868,1649247.200000000186265,1410291.640000000130385,1421162.500000000000000,1593101.499999999767169,10499230.660000000149012
FS( 58 ),1394042.020000000251457,1554618.349999999860302,1449350.199999999953434,1609685.560000000055879,1405860.280000000027940,1420125.310000000055879,1617059.449999999953434,10450744.169999999925494
FS( 59 ),1388076.280000000260770,1564950.099999999860302,1429869.699999999953434,1562806.160000000149012,1401982.840000000083819,1424866.750000000000000,1608688.599999999860302,10381243.429999999701977
FS( 60 ),1386449.260000000242144,1579891.399999999906868,1449999.549999999813735,1569666.560000000055879,1419154.360000000102445,1440869.109999999869615,1615904.849999999860302,10461938.089999999850988
FS( 61 ),1386268.480000000214204,1579573.500000000000000,1455843.700000000186265,1582472.640000000130385,1429678.840000000083819,1452574.540000000037253,1638708.199999999953434,10525122.899999998509884
FS( 62 ),1398923.080000000074506,1586567.299999999813735,1499999.500000000000000,1618832.760000000242144,1439649.399999999906868,1450648.330000000074506,1627162.199999999720603,10621785.570000000298023
FS( 63 ),1401273.220000000204891,1631391.199999999720603,1492856.649999999906868,1625007.120000000111759,1434110.200000000186265,1446055.060000000055879,1629760.050000000046566,10660456.500000001862645
FS( 64 ),1391511.100000000093132,1630119.599999999860302,1499350.149999999906868,1614030.479999999981374,1462914.040000000037253,1447092.250000000000000,1622543.800000000046566,10667564.420000001788139
FS( 65 ),1373433.100000000093132,1624079.500000000000000,1474674.850000000093132,1585674.160000000149012,1449066.040000000037253,1450203.820000000065193,1619945.949999999720603,10577080.419999999925494
FS( 66 ),1351920.280000000260770,1607230.799999999813735,1483765.750000000000000,1560976.720000000204891,1467345.399999999906868,1437461.200000000186265,1593101.499999999767169,10501804.650000002235174
FS( 67 ),1351920.280000000260770,1627576.399999999906868,1489609.900000000139698,1565550.319999999832362,1490610.040000000037253,1453315.389999999897555,1588771.749999999767169,10567357.080000000074506
FS( 68 ),1369636.720000000204891,1637113.399999999674037,1501298.199999999953434,1594821.359999999869615,1494487.479999999981374,1457315.979999999981374,1648233.649999999906868,10702909.790000000968575
FS( 69 ),1351920.280000000260770,1625510.050000000046566,1470778.750000000000000,1553430.280000000260770,1464021.880000000121072,1473318.340000000083819,1612152.399999999906868,10551134.980000000447035
FS( 70 ),1341977.380000000353903,1612635.099999999860302,1458441.100000000093132,1528961.520000000018626,1450173.880000000121072,1471243.960000000195578,1614172.949999999953434,10477608.889999998733401
FS( 71 ),1347400.780000000260770,1633775.449999999953434,1483765.750000000000000,1546798.560000000055879,1471222.840000000083819,1483393.899999999906868,1604070.199999999953434,10570430.480000000447035
FS( 72 ),1337638.660000000149012,1629324.849999999860302,1486363.150000000139698,1549085.359999999869615,1482855.160000000149012,1494062.139999999897555,1617925.399999999906868,10597257.720000000670552
FS( 73 ),1340350.360000000102445,1636159.699999999953434,1495454.050000000046566,1579499.799999999813735,1491717.880000000121072,1494062.139999999897555,1623987.049999999813735,10661233.980000000447035
FS( 74 ),1355716.660000000149012,1634570.199999999720603,1507142.350000000093132,1586588.879999999888241,1497811.000000000000000,1485468.280000000027940,1630048.699999999953434,10697349.069999998435378
FS( 75 ),1371806.080000000074506,1631550.149999999906868,1519480.000000000000000,1587503.600000000093132,1492825.719999999972060,1476874.420000000158325,1652563.399999999906868,10732606.370000001043081
FS( 76 ),1373252.320000000065193,1648239.899999999906868,1527272.199999999953434,1593906.640000000130385,1486732.600000000093132,1471688.469999999972060,1667573.199999999953434,10768668.330000000074506
FS( 77 ),1355174.320000000065193,1643312.449999999720603,1525973.500000000000000,1607856.120000000111759,1481747.320000000065193,1468873.239999999990687,1659779.649999999906868,10742719.599999999627471
FS( 78 ),1466354.020000000251457,1673512.949999999953434,1514934.549999999813735,1603511.200000000186265,1481747.320000000065193,1479393.310000000055879,1660645.599999999860302,10880101.949999999254942
FS( 79 ),1477200.820000000065193,1664134.899999999906868,1493506.000000000000000,1579499.799999999813735,1454605.240000000223517,1492580.440000000176951,1652274.750000000000000,10813804.949999999254942
FS( 80 ),1534327.300000000279397,1657300.050000000046566,1494804.699999999953434,1540166.839999999850988,1458482.679999999934807,1486357.300000000046566,1636110.349999999860302,10807552.220000000670552
FS( 81 ),1529807.800000000279397,1673830.849999999860302,1503895.600000000093132,1585902.839999999850988,1466791.479999999981374,1503989.530000000027940,1694994.949999999953434,10959216.049999998882413
FS( 82 ),1524022.840000000083819,1675420.349999999860302,1500648.849999999860302,1625007.120000000111759,1478423.800000000046566,1502211.489999999990687,1690376.550000000046566,10996114.000000000000000
FS( 83 ),1527638.440000000176951,1670174.999999999767169,1494155.350000000093132,1586360.200000000186265,1465129.719999999972060,1495988.349999999860302,1720973.449999999720603,10960423.509999999776483
FS( 84 ),1530350.140000000363216,1669221.300000000046566,1489609.900000000139698,1585674.160000000149012,1462914.040000000037253,1502952.340000000083819,1680562.449999999953434,10921287.330000000074506
FS( 85 ),1552043.739999999990687,1661432.749999999767169,1490908.600000000093132,1607398.760000000242144,1449619.960000000195578,1498655.410000000149012,1692397.100000000093132,10952459.319999998435378
FS( 86 ),1535231.200000000186265,1651101.000000000000000,1475324.199999999953434,1599394.959999999962747,1451281.719999999972060,1495840.180000000167638,1648522.299999999813735,10856698.559999998658895
FS( 87 ),1529807.800000000279397,1663022.250000000000000,1485064.449999999953434,1612658.399999999906868,1460698.360000000102445,1510805.349999999860302,1611863.750000000000000,10873923.360000001266599
FS( 88 ),1518599.440000000176951,1668108.649999999906868,1494804.699999999953434,1602596.479999999981374,1459036.600000000093132,1510657.180000000167638,1582710.099999999860302,10836516.149999998509884
FS( 89 ),1512272.140000000363216,1670016.049999999813735,1494804.699999999953434,1604654.600000000093132,1456820.920000000158325,1525177.840000000083819,1593678.800000000046566,10857428.050000000745058
FS( 90 ),1531073.260000000242144,1688136.349999999860302,1505843.650000000139698,1632324.879999999888241,1460698.360000000102445,1524140.649999999906868,1595987.999999999767169,10938208.150000000372529
FS( 91 ),1533423.400000000139698,1703236.599999999860302,1484415.099999999860302,1630038.080000000074506,1465129.719999999972060,1534068.040000000037253,1609265.899999999906868,10959579.839999999850988
FS( 92 ),1533784.960000000195578,1693381.699999999953434,1481168.349999999860302,1634840.359999999869615,1458482.679999999934807,1526659.540000000037253,1627162.199999999720603,10955482.789999999105930
FS( 93 ),1520768.800000000279397,1668903.399999999674037,1570129.300000000046566,1583158.680000000167638,1440757.240000000223517,1518806.530000000027940,1613307.000000000000000,10915833.949999999254942
FS( 94 ),1543185.520000000251457,1685434.199999999953434,1582466.949999999953434,1595050.040000000037253,1430232.760000000009313,1528289.410000000149012,1612729.699999999720603,10977391.579999998211861
FS( 95 ),1561444.300000000279397,1675261.399999999906868,1581168.250000000000000,1606712.720000000204891,1442419.000000000000000,1512731.560000000055879,1626584.899999999906868,11006325.130000000819564
FS( 96 ),1561805.860000000102445,1614383.549999999813735,1566233.199999999953434,1619747.479999999981374,1442419.000000000000000,1504434.040000000037253,1616482.149999999906868,10925508.279999999329448
FS( 97 ),1565963.800000000279397,1635364.949999999720603,1589609.800000000046566,1626379.200000000186265,1451281.719999999972060,1519695.550000000046566,1633223.849999999860302,11021521.869999999180436
FS( 98 ),1568313.940000000176951,1638543.949999999720603,1583116.300000000046566,1621119.560000000055879,1448512.119999999878928,1518065.680000000167638,1630626.000000000000000,11008300.550000000745058
FS( 99 ),1586030.380000000353903,1653644.199999999953434,1592207.199999999953434,1650390.600000000093132,1456267.000000000000000,1511398.030000000027940,1639862.800000000046566,11089803.210000000894070
FS( 100 ),1615859.080000000074506,1648080.949999999953434,1604544.850000000093132,1658623.080000000074506,1479531.640000000130385,1516732.149999999906868,1636398.999999999767169,11159773.750000001862645
FS( 101 ),1611520.360000000102445,1635841.799999999813735,1611687.699999999953434,1686064.680000000167638,1488948.280000000027940,1501026.129999999888241,1628028.149999999906868,11163120.100000001490116
FS( 102 ),1640987.500000000000000,1646809.349999999860302,1602596.800000000046566,1708704.000000000000000,1493379.640000000130385,1501618.810000000055879,1665552.649999999906868,11259651.750000000000000
FS( 103 ),1634840.980000000214204,1625033.199999999953434,1598700.699999999953434,1697270.000000000000000,1513320.760000000009313,1502952.340000000083819,1670171.049999999813735,11242292.030000001192093
FS( 104 ),1623632.620000000111759,1649352.550000000046566,1609090.300000000046566,1710076.080000000074506,1509997.240000000223517,1511842.540000000037253,1672191.599999999860302,11286185.929999999701977
FS( 105 ),1646591.680000000167638,1660955.899999999674037,1602596.800000000046566,1713277.600000000093132,1532154.040000000037253,1503248.680000000167638,1671614.299999999813735,11330442.000000000000000
FS( 106 ),1665392.800000000279397,1658094.799999999813735,1590908.500000000000000,1709161.359999999869615,1528830.520000000251457,1517917.510000000009313,1672191.599999999860302,11342500.089999999850988
FS( 107 ),1671900.880000000353903,1700216.549999999813735,1603895.500000000000000,1713734.959999999962747,1532154.040000000037253,1518065.680000000167638,1677098.649999999906868,11417069.259999999776483
FS( 108 ),1667200.600000000093132,1719608.449999999953434,1612337.049999999813735,1730199.919999999925494,1560403.960000000195578,1510805.349999999860302,1669882.399999999906868,11470440.730000000447035
FS( 109 ),1693956.040000000270084,1728668.599999999860302,1610389.000000000000000,1725626.319999999832362,1546002.040000000037253,1502211.489999999990687,1672480.249999999767169,11479336.740000000223517
FS( 110 ),1703898.940000000176951,1737569.799999999813735,1623376.000000000000000,1730885.959999999962747,1564281.399999999906868,1494802.989999999990687,1688356.000000000000000,11543174.089999999850988
FS( 111 ),1696848.520000000251457,1727714.899999999906868,1625973.399999999906868,1721510.080000000074506,1547109.880000000121072,1487987.170000000158325,1697592.800000000046566,11504739.750000001862645
FS( 112 ),1668466.060000000288710,1695289.099999999860302,1601298.100000000093132,1693382.439999999944121,1548771.640000000130385,1478207.950000000186265,1682871.649999999906868,11368289.939999999478459
FS( 113 ),1650207.280000000260770,1697196.499999999767169,1603895.500000000000000,1706417.200000000186265,1654570.360000000102445,1489024.359999999869615,1681139.750000000000000,11482453.950000001117587
FS( 114 ),1666839.040000000270084,1697832.299999999813735,1592856.550000000046566,1703215.680000000167638,1662325.240000000223517,1498062.729999999981374,1676232.699999999953434,11497367.240000000223517
FS( 115 ),1664669.680000000167638,1695607.000000000000000,1590908.500000000000000,1693382.439999999944121,1659001.719999999972060,1500581.619999999878928,1675944.050000000046566,11480098.009999999776483
FS( 116 ),1666477.480000000214204,1708481.949999999953434,1599350.050000000046566,1710304.760000000242144,1657893.880000000121072,1501766.979999999981374,1686046.799999999813735,11530324.899999998509884
FS( 117 ),1660692.520000000251457,1704826.099999999860302,1604544.850000000093132,1695669.240000000223517,1666756.600000000093132,1510064.500000000000000,1682871.649999999906868,11525428.460000000894070
FS( 118 ),1643518.420000000158325,1738682.449999999720603,1612337.049999999813735,1708704.000000000000000,1672849.719999999972060,1510212.670000000158325,1700767.949999999953434,11587075.259999999776483
FS( 119 ),1642072.180000000167638,1729145.449999999953434,1603895.500000000000000,1722424.799999999813735,1674511.479999999981374,1510064.500000000000000,1688644.649999999906868,11570761.560000000521541
FS( 120 ),1632129.280000000260770,1713727.299999999813735,1592856.550000000046566,1703901.720000000204891,1689467.320000000065193,1503545.020000000018626,1671902.949999999953434,11507533.139999998733401
FS( 121 ),1633575.520000000251457,1723741.149999999906868,1605194.199999999953434,1713277.600000000093132,1710516.280000000027940,1505619.399999999906868,1699036.049999999813735,11590963.199999999254942
FS( 122 ),1643337.640000000363216,1725012.749999999767169,1600648.750000000000000,1697270.000000000000000,1704977.080000000074506,1504137.700000000186265,1689510.599999999860302,11564897.520000001415610
FS( 123 ),1662861.880000000353903,1729145.449999999953434,1603895.500000000000000,1680805.040000000037253,1713285.880000000121072,1503396.849999999860302,1660645.599999999860302,11554039.199999999254942
FS( 124 ),1680035.980000000214204,1727397.000000000000000,1613635.750000000000000,1675774.080000000074506,1711624.119999999878928,1492728.609999999869615,1669882.399999999906868,11571080.939999999478459
